0	Index      	 *	Score 	Summary	Detail	
1	21154 11234	 * 	208.86	DCR|3DMG|2VULN|2AART	1FEWX|26VULN|35AART|467DMG|6BPWR|8TLV|9ERES|aRCR
32	51131 51611	   	195.60	DCR|3VULN|1MDPS|1AART|1ASPD|1ZMB	1DUST|289VULN|3AART|4MDPS|5ZMB|6RCR|7ASPD|aBEXP
33	51131 51612	   	195.60	DCR|3VULN|1MDPS|1AART|1ASPD|1ZMB	1DUST|289VULN|3AART|4MDPS|5ZMB|6RCR|7ASPD|aLWND
34	21131 51413	   	195.60	DCR|3VULN|1MDPS|1AART|1ASPD|1ZMB	1FEWX|29aVULN|3AART|4MDPS|5ZMB|6RCR|7ASPD|8DUST
35	35132 11224	 * 	195.56	ACR|3VULN|2ASPD|2CDMG|1DMG	17CDMG|2RCR|378VULN|49ASPD|5LHND|67CGEN|7BPWR|aDMG
36	35133 11224	   	195.56	ACR|3VULN|2ASPD|2CDMG|1DMG	17CDMG|2RCR|378VULN|49ASPD|5LWND|67CGEN|7BPWR|aDMG
37	35136 11224	   	195.56	ACR|3VULN|2ASPD|2CDMG|1DMG	17CDMG|2RCR|378VULN|49ASPD|5FEWX|67CGEN|7BPWR|aDMG
38	35131 51322	 * 	194.89	ACR|2VULN|2ASPD|1AART|2CDMG|2DUR	17CDMG|2RCR|37VULN|4aASPD|5TLV|67DUR|7BPWR|8AART|9BEXP
39	35131 51332	   	194.89	ACR|2VULN|2ASPD|1AART|2CDMG|2DUR	17CDMG|2RCR|37VULN|4aASPD|5TLV|67DUR|7BPWR|8AART|9LHND
40	35131 51342	   	194.89	ACR|2VULN|2ASPD|1AART|2CDMG|2DUR	17CDMG|2RCR|37VULN|4aASPD|5TLV|67DUR|7BPWR|8AART|9FEWX
41	35131 51214	   	194.69	ACR|3VULN|2CDMG|1ASPD|1DMG|2DUR	17CDMG|2RCR|378VULN|4ASPD|59TLV|67DUR|7BPWR|aDMG
42	33134 32314	   	194.53	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR	1CDMG|2LHND|39VULN|4DUR|5RPLT|6ASPD|7ZMB|8AART|aRCR
43	33134 36114	   	194.53	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR	1CDMG|2LHND|39VULN|4DUR|5RPLT|6ASPD|7AART|8ZMB|aRCR
44	33134 42314	   	194.53	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1CDMG|2LHND|39VULN|4DUR|5RPLT|6DMG|7ZMB|8AART|aRCR
45	33424 32314	   	194.53	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR	1CDMG|2LHND|3RPLT|4DUR|59VULN|6ASPD|7ZMB|8AART|aRCR
46	36134 32314	   	194.53	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR	1CDMG|2LWND|39VULN|4DUR|5RPLT|6ASPD|7ZMB|8AART|aRCR
47	21131 51112	   	194.12	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG|1ZMB	1FEWX|2aVULN|3AART|4MDPS|5ZMB|6RCR|7ASPD|8CDMG|9AME
48	21131 51123	   	194.12	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG|1ZMB	1FEWX|2aVULN|3AART|4MDPS|5ZMB|6RCR|7ASPD|8CDMG|9BEXP
49	51131 51112	   	194.02	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG|1ZMB	1DUST|2aVULN|3AART|4MDPS|5ZMB|6RCR|7ASPD|8CDMG|9AME
50	51131 51123	   	194.02	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG|1ZMB	1DUST|2aVULN|3AART|4MDPS|5ZMB|6RCR|7ASPD|8CDMG|9BEXP
51	21131 51453	   	194.02	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG|1ZMB	1FEWX|2aVULN|3AART|4MDPS|5ZMB|6RCR|7ASPD|8DUST|9CDMG
52	21153 15523	   	193.94	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1FEWX|2aVULN|3AART|4DMG|5DUST|6LHND|7ASPD|8RCR|9ZMB
53	21153 25523	   	193.94	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1FEWX|2aVULN|3AART|4DMG|5DUST|6LWND|7ASPD|8RCR|9ZMB
54	21131 51114	 * 	193.80	DCR|1MDPS|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1FEWX|2VULN|3AART|4MDPS|5ZMB|6RCR|7ASPD|8CDMG|9AME|aDMG
55	21131 51152	 * 	193.80	DCR|1MDPS|1VULN|1AART|1ASPD|1NUKE|1CDMG|1ZMB	1FEWX|2VULN|3AART|4MDPS|5ZMB|6RCR|7ASPD|8CDMG|9BELT|aNUKE
56	35135 13212	 * 	193.78	ACR|2VULN|2ASPD|1AART|1DMG|1CDMG	1CDMG|2RCR|37VULN|4aASPD|5AART|6LHND|8DUST|9DMG
57	35135 16312	   	193.78	ACR|2VULN|2ASPD|1AART|1DMG|1CDMG	1CDMG|2RCR|38VULN|4aASPD|5AART|6LHND|7DUST|9DMG
58	51131 51114	   	193.70	DCR|1MDPS|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1DUST|2VULN|3AART|4MDPS|5ZMB|6RCR|7ASPD|8CDMG|9AME|aDMG
59	51131 51152	   	193.70	DCR|1MDPS|1VULN|1AART|1ASPD|1NUKE|1CDMG|1ZMB	1DUST|2VULN|3AART|4MDPS|5ZMB|6RCR|7ASPD|8CDMG|9BELT|aNUKE
60	21131 51366	 * 	193.63	DCR|2AART|1MDPS|1VULN|1ASPD|1DMG|1ZMB	1FEWX|2VULN|39AART|4MDPS|5ZMB|6RCR|7ASPD|8CGEN|aDMG
61	23332 31666	   	193.63	DCR|2AART|1MDPS|1VULN|1ASPD|1DMG|1ZMB	1FEWX|2CGEN|39AART|4MDPS|5ZMB|6RCR|7VULN|8ASPD|aDMG
62	21135 53313	   	193.58	DCR|3VULN|1MDPS|1AART|1ASPD|1AAC|1DUR	1FEWX|29aVULN|3AART|4MDPS|5AAC|6RCR|7DUR|8ASPD
63	21131 51266	   	193.53	DCR|2AART|1MDPS|1VULN|1ASPD|1DMG|1ZMB	1FEWX|2VULN|39AART|4MDPS|5ZMB|6RCR|7ASPD|8TLV|aDMG
64	51135 53313	   	193.48	DCR|3VULN|1MDPS|1AART|1ASPD|1DUR	1DUST|279VULN|3AART|4MDPS|5TLV|6RCR|8ASPD|aDUR
65	21143 36143	   	193.29	DCR|2VULN|1AART|1DMG|1CDMG|1SPLREG	1FEWX|28VULN|3AART|4SPLREG|5RCVC|6RCR|7DMG|9CDMG|aCGEN
66	21143 36142	   	193.19	DCR|2VULN|1AART|1DMG|1CDMG|1SPLREG	1FEWX|28VULN|3AART|4SPLREG|5RCVC|6RCR|7DMG|9CDMG|aTLV
67	35135 22411	 * 	193.08	ACR|2ASPD|1VULN|1AART|2CDMG|1NUKE|1AAC|1ZMB	17CDMG|2RCR|3VULN|47ASPD|5AART|67VENFST|7BPWR|8ZMB|9NUKE|aAAC
68	41331 23215	   	192.91	ACR|3DMG|2VULN|1ASPD|1CDMG|2RCVC	12RCVC|39aDMG|4RCR|5aTLV|6ASPD|7CDMG|8aVULN|aBPWR
69	51153 11234	   	192.58	DCR|3DMG|2VULN|1AART	15DUST|26VULN|3AART|467DMG|6BPWR|8TLV|9ERES|aRCR
70	32433 22166	   	192.44	DCR|2VULN|2DMG|1CDMG|1AAC|1ZMB|1DUR	1CDMG|2AAC|3aDMG|4DUR|5ZMB|6aCGEN|7LHND|8RCR|9aVULN|aBPWR
71	21352 63331	   	192.19	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1FEWX|28VULN|3MULFIG|4DMG|5RPLT|6RCR|7AART|9DUR|aCDMG
72	21131 51515	   	192.09	DCR|2VULN|1MDPS|2ASPD|1AART|1ZMB	18FEWX|29VULN|3AART|4MDPS|5ZMB|6RCR|7aASPD
73	21131 51611	   	192.09	DCR|2VULN|1MDPS|2ASPD|1AART|1ZMB	1FEWX|29VULN|3AART|4MDPS|5ZMB|6RCR|78ASPD|aBEXP
74	21131 51612	   	192.09	DCR|2VULN|1MDPS|2ASPD|1AART|1ZMB	1FEWX|29VULN|3AART|4MDPS|5ZMB|6RCR|78ASPD|aLWND
75	21131 51614	   	192.09	DCR|2VULN|1MDPS|2ASPD|1AART|1ZMB	1aFEWX|29VULN|3AART|4MDPS|5ZMB|6RCR|78ASPD
76	21131 51616	   	192.09	DCR|2VULN|1MDPS|2ASPD|1AART|1ZMB	1FEWX|29VULN|3AART|4MDPS|5ZMB|6RCR|78ASPD|aLHND
77	21131 51653	   	192.09	DCR|2VULN|1MDPS|2ASPD|1AART|1ZMB	1FEWX|2aVULN|3AART|4MDPS|5ZMB|6RCR|78ASPD|9RPLT
78	35131 42312	   	192.04	ACR|2ASPD|1VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1CDMG|2RCR|3VULN|4aASPD|5TLV|6DMG|7ZMB|8AART|9DUR
79	21135 53353	   	191.99	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG|1AAC|1DUR	1FEWX|2aVULN|3AART|4MDPS|5AAC|6RCR|7DUR|8ASPD|9CDMG
80	21226 37614	   	191.91	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1FEWX|29VULN|3CGEN|4DUR|5MBVNT|6ASPD|7AART|8RCR|aDMG
81	22321 33515	   	191.81	DCR|2VULN|1AART|1ASPD|1DMG|1AAC|1DUR	1FEWX|2AAC|3AART|4DMG|59VULN|6DUST|7DUR|8RCR|aASPD
82	22322 31515	   	191.81	DCR|2VULN|1AART|1ASPD|1DMG|1AAC|1DUR	1FEWX|2AAC|3AART|4DMG|5DUR|6DUST|79VULN|8RCR|aASPD
83	33352 34332	 * 	191.70	DCR|2AART|2ASPD|1VULN|1CDMG|1AAC	1CDMG|2LHND|3LWND|4VULN|5AAC|69AART|7RCR|8aASPD
84	36112 34332	   	191.70	DCR|2AART|2ASPD|1VULN|1CDMG|1AAC	1CDMG|2LWND|3VULN|4AAC|5LHND|69AART|7RCR|8aASPD
85	36162 34332	   	191.70	DCR|2AART|2ASPD|1VULN|1CDMG|1AAC	1CDMG|2LWND|3VULN|4LHND|5AAC|69AART|7RCR|8aASPD
86	33115 34332	   	191.60	DCR|2AART|2ASPD|1VULN|1CDMG|1AAC	1CDMG|2LHND|3VULN|4AAC|5LEGI|69AART|7RCR|8aASPD
87	36115 34332	   	191.60	DCR|2AART|2ASPD|1VULN|1CDMG|1AAC	1CDMG|2LWND|3VULN|4AAC|5LEGI|69AART|7RCR|8aASPD
88	21134 21335	 * 	191.53	DCR|3VULN|2AART|1MDPS|1CDMG	1FEWX|267VULN|3aAART|4MDPS|5DUST|8CDMG|9RCR
89	51132 21335	   	191.53	DCR|3VULN|2AART|1MDPS|1CDMG	1DUST|267VULN|3aAART|4MDPS|5FEWX|8CDMG|9RCR
90	35135 22412	   	191.36	ACR|2ASPD|1AART|1VULN|2CDMG|1NUKE|1ZMB	17CDMG|2RCR|3VULN|47ASPD|5AART|67VENFST|7BPWR|8ZMB|9NUKE|aTLV
91	35135 22413	   	191.36	ACR|2ASPD|1AART|2CDMG|1VULN|1NUKE|1ZMB	17CDMG|2RCR|3VULN|47ASPD|5AART|67VENFST|7BPWR|8ZMB|9NUKE|aCGEN
92	35531 31241	 * 	191.27	ACR|4VULN|3ZMB|2CDMG|1DUR	17CDMG|2RCR|379ZMB|4DUR|5TLV|678aVULN|7BPWR
93	35131 21514	 * 	191.20	ACR|3VULN|2DMG|1ASPD|1CDMG	1CDMG|2RCR|378VULN|4ASPD|5TLV|6CGEN|9aDMG
94	35131 51221	 * 	191.14	ACR|3VULN|1MDPS|3CDMG|1ASPD|2DUR	179CDMG|2RCR|378VULN|4ASPD|5TLV|67DUR|7BPWR|aMDPS
95	35131 42224	   	191.13	ACR|2VULN|2DMG|2CDMG|1ASPD|1ZMB	19CDMG|2RCR|38VULN|4ASPD|5TLV|6aDMG|7ZMB
96	51135 51131	   	191.12	DCR|2VULN|1MDPS|1AART|2CDMG|1ASPD	19DUST|29VULN|3AART|4MDPS|5TLV|6RCR|7ASPD|89CDMG|9BPWR|aLWND
97	51135 51133	   	191.12	DCR|2VULN|1MDPS|1AART|2CDMG|1ASPD	19DUST|29VULN|3AART|4MDPS|5TLV|6RCR|7ASPD|89CDMG|9BPWR|aAME
98	35131 51352	   	191.01	ACR|2VULN|1AART|2CDMG|1ASPD|2DUR|1ZMB	17CDMG|2RCR|37VULN|4ASPD|5TLV|67DUR|7BPWR|8AART|9MULARM|aZMB
99	21141 36143	   	190.83	DCR|2VULN|1AART|1DMG|1CDMG|1SPLREG	15FEWX|28VULN|3AART|4SPLREG|6RCR|7DMG|9CDMG|aCGEN
100	41333 32215	   	190.81	ACR|3DMG|2VULN|2CDMG|1ZMB|2RCVC	12RCVC|39aDMG|4RCR|5ZMB|6aCDMG|7RMIN|8aVULN|aBPWR
101	21141 36142	   	190.73	DCR|2VULN|1AART|1DMG|1CDMG|1SPLREG	15FEWX|28VULN|3AART|4SPLREG|6RCR|7DMG|9CDMG|aTLV
102	31522 61533	 * 	190.58	DCR|3VULN|1DMG|1CDMG|1ZMB|1DUR	1CDMG|2DMSP|3ZMB|4DMG|5CGEN|6DUR|78aVULN|9RCR
103	35131 51235	   	190.57	ACR|4VULN|2CDMG|1ASPD|2DUR	17CDMG|2RCR|378aVULN|4ASPD|5TLV|67DUR|7BPWR|9BEXP
104	32333 52166	 * 	190.49	DCR|2VULN|2ASPD|1DMG|1CDMG|1AAC	1CDMG|2AAC|3aCGEN|4DMG|5LWND|6aASPD|7LHND|8RCR|9aVULN|aBPWR
105	33134 32364	   	190.22	DCR|2AART|1VULN|1ASPD|1CDMG|1ZMB|1DUR	1CDMG|2LHND|3VULN|4DUR|5RPLT|6ASPD|7ZMB|89AART|aRCR
106	33352 34342	   	190.09	DCR|2VULN|1AART|1ASPD|1CDMG|1AAC|1DUR	1CDMG|2LHND|3LWND|4aVULN|5AAC|6AART|7RCR|8ASPD|9DUR
107	36112 34342	   	190.09	DCR|2VULN|1AART|1ASPD|1CDMG|1AAC|1DUR	1CDMG|2LWND|3aVULN|4AAC|5LHND|6AART|7RCR|8ASPD|9DUR
108	35131 51324	 * 	190.04	ACR|2VULN|1MDPS|1AART|2CDMG|1ASPD|2DUR	17CDMG|2RCR|37VULN|4ASPD|5TLV|67DUR|7BPWR|8AART|9BEXP|aMDPS
109	35131 51334	   	190.04	ACR|2VULN|1MDPS|1AART|2CDMG|1ASPD|2DUR	17CDMG|2RCR|37VULN|4ASPD|5TLV|67DUR|7BPWR|8AART|9LHND|aMDPS
110	35131 51351	   	190.04	ACR|2VULN|1MDPS|1AART|2CDMG|1ASPD|2DUR	17CDMG|2RCR|37VULN|4ASPD|5TLV|67DUR|7BPWR|8AART|9MULARM|aMDPS
111	35152 42322	   	189.99	ACR|2VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1CDMG|2RCR|34VULN|5LHND|6DMG|7ZMB|8AART|9BEXP|aASPD
112	35153 42322	   	189.99	ACR|2VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1CDMG|2RCR|34VULN|5LWND|6DMG|7ZMB|8AART|9BEXP|aASPD
113	21135 51613	   	189.96	DCR|2VULN|1MDPS|2ASPD|1AART|1AAC|1DUR	1FEWX|29VULN|3AART|4MDPS|5AAC|6RCR|78ASPD|aDUR
114	33541 21511	 * 	189.84	DCR|2VULN|2CDMG|1ASPD|1DMG|1ZMB	15CDMG|2LHND|3ZMB|4ASPD|6ERES|78VULN|9DMG|aRCR
115	21131 51165	 * 	189.81	DCR|2AART|1MDPS|1VULN|1ASPD|1CDMG|1ZMB	1FEWX|2VULN|3aAART|4MDPS|5ZMB|6RCR|7ASPD|8CDMG|9DMSP
116	33635 31314	   	189.79	DCR|2ASPD|1AART|1VULN|1DMG|1CDMG	1CDMG|2LHND|3BEXP|48ASPD|5AART|6VULN|7FEWX|9DMG|aRCR
117	35132 11312	   	189.75	ACR|2VULN|2ASPD|1AART|2CDMG|1DUR	17CDMG|2RCR|37VULN|4aASPD|5LHND|67CGEN|7BPWR|8AART|9DUR
118	35133 11312	   	189.75	ACR|2VULN|2ASPD|1AART|2CDMG|1DUR	17CDMG|2RCR|37VULN|4aASPD|5LWND|67CGEN|7BPWR|8AART|9DUR
119	35135 22621	   	189.75	ACR|2VULN|2ASPD|1AART|2CDMG|1DUR	17CDMG|2RCR|3aVULN|47ASPD|5AART|67VENFST|7BPWR|8DUR|9RPLT
120	35136 11312	   	189.75	ACR|2VULN|2ASPD|1AART|2CDMG|1DUR	17CDMG|2RCR|37VULN|4aASPD|5FEWX|67CGEN|7BPWR|8AART|9DUR
121	35331 31312	   	189.65	ACR|2VULN|2ASPD|1AART|2CDMG|1DUR	17CDMG|2RCR|37LWND|4aASPD|5TLV|67VULN|7BPWR|8AART|9DUR
122	35152 41323	 * 	189.56	ACR|4VULN|1ASPD|1DMG|1CDMG	1CDMG|2RCR|347aVULN|5LHND|6DMG|8CGEN|9ASPD
123	35153 41323	   	189.56	ACR|4VULN|1ASPD|1DMG|1CDMG	1CDMG|2RCR|347aVULN|5LWND|6DMG|8CGEN|9ASPD
124	31135 23177	 * 	189.53	DCR|2VULN|2DMG|2CDMG|1DUR	1aCDMG|2DMSP|3LHND|4aDMG|5DUR|6CGEN|7MBVNT|8RCR|9aVULN|aBPWR
125	35131 36412	   	189.46	ACR|4VULN|1ASPD|1DMG|1CDMG	1CDMG|2RCR|369aVULN|4ASPD|5TLV|7DMG|8LIT
126	35131 41412	   	189.46	ACR|4VULN|1ASPD|1DMG|1CDMG	1CDMG|2RCR|379aVULN|4ASPD|5TLV|6DMG|8LIT
127	35154 12121	 * 	189.46	ACR|4VULN|1MDPS|1ASPD|1DMG|1CDMG	1CDMG|2RCR|348aVULN|5MDPS|6LHND|7DMG|9ASPD
128	35154 22121	   	189.46	ACR|4VULN|1MDPS|1ASPD|1DMG|1CDMG	1CDMG|2RCR|348aVULN|5MDPS|6LWND|7DMG|9ASPD
129	35131 11312	   	189.45	ACR|2VULN|2ASPD|1AART|2CDMG|1DUR	17CDMG|2RCR|37VULN|4aASPD|5TLV|67DUST|7BPWR|8AART|9DUR
130	51131 51623	   	189.30	DCR|2VULN|1MDPS|1AART|1ASPD|2ZMB|1DUR	1DUST|28VULN|3AART|4MDPS|59ZMB|6RCR|7ASPD|aDUR
131	21143 42521	   	189.29	DCR|2VULN|1AART|1DMG|1CDMG|1SPLREG	1FEWX|2aVULN|3AART|4SPLREG|5RCVC|6DMG|7CDMG|8RCR|9RPLT
132	35512 31312	   	189.08	ACR|2VULN|1AART|2CDMG|1ASPD|2ZMB|1DUR	17CDMG|2RCR|37ZMB|4MLV|5LHND|67VULN|7BPWR|8AART|9DUR|aASPD
133	35513 31312	   	189.08	ACR|2VULN|1AART|2CDMG|1ASPD|2ZMB|1DUR	17CDMG|2RCR|37ZMB|4MLV|5LWND|67VULN|7BPWR|8AART|9DUR|aASPD
134	35521 31312	   	188.98	ACR|2VULN|1AART|2CDMG|1ASPD|2ZMB|1DUR	17CDMG|2RCR|37ZMB|4LWND|5TLV|67VULN|7BPWR|8AART|9DUR|aASPD
135	35531 31322	   	188.98	ACR|2VULN|1AART|2CDMG|1ASPD|2ZMB|1DUR	17CDMG|2RCR|37ZMB|4DUR|5TLV|67VULN|7BPWR|8AART|9BEXP|aASPD
136	35531 31332	   	188.98	ACR|2VULN|1AART|2CDMG|1ASPD|2ZMB|1DUR	17CDMG|2RCR|37ZMB|4DUR|5TLV|67VULN|7BPWR|8AART|9LHND|aASPD
137	35531 31342	   	188.98	ACR|2VULN|1AART|2CDMG|1ASPD|2ZMB|1DUR	17CDMG|2RCR|37ZMB|4DUR|5TLV|67VULN|7BPWR|8AART|9FEWX|aASPD
138	25223 62432	 * 	188.64	DCR|4VULN|1MDPS|1ASPD	1FEWX|2RCVC|3BEXP|4568VULN|7RCR|9ASPD|aMDPS
139	33635 34322	   	188.55	DCR|3ASPD|1VULN|1AART|1CDMG	1CDMG|2LHND|3BEXP|48aASPD|5AART|6VULN|7RCR|9ERES
140	31533 52234	   	188.12	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB	1CDMG|2DMSP|3ZMB|48VULN|5LWND|6ASPD|7LEGI|9RCR|aAART
141	21132 25515	   	188.09	DCR|2VULN|1MDPS|2ASPD|1AART|1ZMB	15FEWX|29VULN|3AART|4MDPS|6ZMB|7aASPD|8RCR
142	35351 23612	   	187.96	ACR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1CDMG|2RCR|3LWND|48VULN|5RMIN|6DUR|7AART|9DMG|aASPD
143	35631 23612	   	187.96	ACR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1CDMG|2RCR|3FEWX|48VULN|5RMIN|6DUR|7AART|9DMG|aASPD
144	35152 43312	   	187.86	ACR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1CDMG|2RCR|34VULN|5LHND|6DMG|7ERES|8AART|9DUR|aASPD
145	35153 43312	   	187.86	ACR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1CDMG|2RCR|34VULN|5LWND|6DMG|7ERES|8AART|9DUR|aASPD
146	35113 23612	   	187.86	ACR|2VULN|1AART|1ASPD|1DMG|1CDMG|1AAC|1DUR	1CDMG|2RCR|38VULN|4AAC|5LWND|6DUR|7AART|9DMG|aASPD
147	35116 23612	   	187.86	ACR|2VULN|1AART|1ASPD|1DMG|1CDMG|1AAC|1DUR	1CDMG|2RCR|38VULN|4AAC|5FEWX|6DUR|7AART|9DMG|aASPD
