0	Index      	 *	Score 	Summary	Detail	
1	12228 44824	 * 	226.30	DCR|3DMG|3ASPD|3ZMB|1VULN	179ZMB|2VULN|3LEGI|4MBVNT|579DMG|679ASPD|79BPWR|8RMIN|aRCR
37	12428 44374	   	207.69	DCR|3VULN|2ASPD|1DMG|2ZMB	17ZMB|278VULN|3DUST|4MBVNT|5DMG|67ASPD|7BPWR|9RCR|aRMIN
38	22212 44225	   	207.64	DCR|3VULN|2DMG|1CDMG|2ZMB	1aDMG|29aVULN|3LEGI|4CDMG|5RCVC|6FEWX|7aZMB|8RCR|aBPWR
39	22212 34225	   	207.54	DCR|3VULN|2DMG|1CDMG|2ZMB	1aDMG|29aVULN|3LEGI|4CDMG|5RCVC|6DUST|7aZMB|8RCR|aBPWR
40	22115 73181	   	207.48	DCR|2VULN|2DMG|1ASPD|1CDMG|2DUR	18DMG|28VULN|3CDMG|4CANARM|5MBVNT|6RMIN|78DUR|8BPWR|9ASPD|aRCR
41	63228 43371	   	207.46	DCR|3VULN|2DMG|2ASPD	178VULN|2ERES|3LEGI|4MBVNT|58DMG|68ASPD|8BPWR|9RCR|aAME
42	63228 43373	   	207.46	DCR|3VULN|2DMG|2ASPD	178VULN|2ERES|3LEGI|4MBVNT|58DMG|68ASPD|8BPWR|9RCR|aBEXP
43	63228 44471	   	207.46	DCR|3VULN|2DMG|2ASPD	178VULN|2ERES|3LEGI|4MBVNT|57DMG|67ASPD|7BPWR|9RCR|aAME
44	63228 44473	   	207.46	DCR|3VULN|2DMG|2ASPD	178VULN|2ERES|3LEGI|4MBVNT|57DMG|67ASPD|7BPWR|9RCR|aBEXP
45	12228 44374	   	207.45	DCR|2VULN|2DMG|2ASPD|2ZMB	17ZMB|28VULN|3LEGI|4MBVNT|57DMG|67ASPD|7BPWR|9RCR|aRMIN
46	12428 44438	   	207.39	DCR|3ASPD|2VULN|1DMG|1AAC|2ZMB	17ZMB|27VULN|3DUST|4MBVNT|5DMG|679ASPD|7BPWR|8RCR|aAAC
47	12225 44376	   	206.65	DCR|3VULN|2ASPD|1CDMG|2ZMB	17ZMB|278VULN|3LEGI|4MBVNT|5RMIN|67ASPD|7BPWR|9RCR|aCDMG
48	24156 22122	 * 	206.48	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG	1DMG|2CGEN|3RMIN|4CDMG|57AART|6RCR|8VULN|9DUST|aASPD
49	12428 44474	 * 	206.42	DCR|3VULN|1MDPS|2ASPD|1DMG|2ZMB	17ZMB|27aVULN|3DUST|4MBVNT|5DMG|67ASPD|7BPWR|8RCR|9MDPS
50	25156 22122	   	206.38	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG	1DMG|2ERES|3RMIN|4CDMG|57AART|6RCR|8VULN|9DUST|aASPD
51	12225 44375	 * 	206.25	DCR|4VULN|2ASPD|2ZMB	17ZMB|278aVULN|3LEGI|4MBVNT|5RMIN|67ASPD|7BPWR|9RCR
52	22446 11121	   	205.98	DCR|2VULN|2DMG|2ASPD|1CDMG	18DMG|28VULN|35DUST|4DMSP|6CGEN|78ASPD|8BPWR|9RCR|aCDMG
53	26616 13321	 * 	205.49	DCR|2VULN|2DMG|1AART|1ASPD	18DMG|2AART|3LIT|4BELT|58VULN|6RCR|78CGEN|8BPWR|9DMSP|aASPD
54	63228 43336	   	205.46	DCR|3VULN|2DMG|2ASPD	178VULN|2ERES|3LEGI|4MBVNT|58DMG|68ASPD|8BPWR|9LIT|aRCR
55	63228 44436	   	205.46	DCR|3VULN|2DMG|2ASPD	178VULN|2ERES|3LEGI|4MBVNT|57DMG|67ASPD|7BPWR|9LIT|aRCR
56	12428 44441	   	205.43	DCR|3VULN|2ASPD|1DMG|2ZMB	17ZMB|27aVULN|3DUST|4MBVNT|5DMG|67ASPD|7BPWR|8RCR|9ERES
57	22133 33651	 * 	205.39	DCR|1MDPS|2DMG|1AART|1VULN|1ASPD|1CDMG|1ZMB	16DMG|2VULN|3CDMG|4MDPS|5LIT|7ZMB|8AART|9RCR|aASPD
58	22333 42326	   	205.29	DCR|3DMG|2VULN|1AART|1DUR	17aDMG|2aVULN|3TLV|4RPLT|5AART|6DUR|8RCR|9aCGEN|aBPWR
59	22333 42356	   	205.29	DCR|3DMG|2VULN|1AART|1DUR	17aDMG|2aVULN|3TLV|4RPLT|5AART|6DUR|8RCR|9aLWND|aBPWR
60	16114 24231	   	205.24	DCR|2VULN|2AART|1DMG|1ZMB|1DUR	1ZMB|23AART|4RCVC|5DUR|6RCR|7DMG|89VULN|aLWND
61	16114 24232	   	205.24	DCR|2VULN|2AART|1DMG|1ZMB|1DUR	1ZMB|23AART|4RCVC|5DUR|6RCR|7DMG|89VULN|aFEWX
62	16114 24233	   	205.24	DCR|2VULN|2AART|1DMG|1ZMB|1DUR	1ZMB|23AART|4RCVC|5DUR|6RCR|7DMG|89VULN|aCGEN
63	16112 24235	   	205.24	DCR|2VULN|2AART|1DMG|1ZMB|1DUR	1ZMB|23AART|4RCVC|5LWND|6RCR|7DMG|8DUR|9aVULN
64	12228 44441	   	205.18	DCR|2VULN|2DMG|2ASPD|2ZMB	17ZMB|2aVULN|3LEGI|4MBVNT|57DMG|67ASPD|7BPWR|8RCR|9ERES
65	22211 14225	   	205.18	DCR|3VULN|2DMG|1CDMG|2ZMB	1aDMG|29aVULN|3LEGI|4CDMG|56LHND|7aZMB|8RCR|aBPWR
66	22333 42346	   	205.09	DCR|3DMG|2VULN|1AART|1DUR	17aDMG|2aVULN|3TLV|4RPLT|5AART|6DUR|8RCR|9aDUST|aBPWR
67	16114 24132	   	204.92	DCR|2AART|1VULN|1ASPD|1DMG|1ZMB|1DUR	1ZMB|23AART|4RCVC|5DUR|6RCR|7DMG|8LWND|9VULN|aASPD
68	16112 24232	   	204.92	DCR|2AART|1VULN|1ASPD|1DMG|1ZMB|1DUR	1ZMB|23AART|4RCVC|5LWND|6RCR|7DMG|8DUR|9VULN|aASPD
69	16112 24362	   	204.92	DCR|2AART|1VULN|1ASPD|1DMG|1ZMB|1DUR	1ZMB|23AART|4RCVC|5LWND|6RCR|7DMG|8VULN|9DUR|aASPD
70	16114 24222	   	204.82	DCR|2AART|1VULN|1ASPD|1DMG|1ZMB|1DUR	1ZMB|23AART|4RCVC|5DUR|6RCR|7DMG|8VULN|9MBVNT|aASPD
71	16122 24135	   	204.81	DCR|2VULN|2AART|1DMG|1ZMB|1DUR	1ZMB|23AART|4DUR|5RCVC|6RCR|7DMG|8LWND|9aVULN
72	16122 24231	   	204.81	DCR|2VULN|2AART|1DMG|1ZMB|1DUR	1ZMB|23AART|4DUR|5RCVC|6RCR|7DMG|89VULN|aLWND
73	16122 24232	   	204.81	DCR|2VULN|2AART|1DMG|1ZMB|1DUR	1ZMB|23AART|4DUR|5RCVC|6RCR|7DMG|89VULN|aFEWX
74	16122 24233	   	204.81	DCR|2VULN|2AART|1DMG|1ZMB|1DUR	1ZMB|23AART|4DUR|5RCVC|6RCR|7DMG|89VULN|aCGEN
75	16122 24226	   	204.71	DCR|2VULN|2AART|1DMG|1ZMB|1DUR	1ZMB|23AART|4DUR|5RCVC|6RCR|7DMG|8aVULN|9MBVNT
76	16122 24234	   	204.71	DCR|2VULN|2AART|1DMG|1ZMB|1DUR	1ZMB|23AART|4DUR|5RCVC|6RCR|7DMG|89VULN|aDUST
77	16122 24235	   	204.71	DCR|2VULN|2AART|1DMG|1ZMB|1DUR	1ZMB|23AART|4DUR|5RCVC|6RCR|7DMG|89VULN|aLEGI
78	16122 24132	   	204.49	DCR|2AART|1VULN|1ASPD|1DMG|1ZMB|1DUR	1ZMB|23AART|4DUR|5RCVC|6RCR|7DMG|8LWND|9VULN|aASPD
79	16122 24243	   	204.49	DCR|2AART|1VULN|1ASPD|1DMG|1ZMB|1DUR	1ZMB|23AART|4DUR|5RCVC|6RCR|7DMG|8VULN|9LIT|aASPD
80	16142 24232	   	204.49	DCR|2AART|1VULN|1ASPD|1DMG|1ZMB|1DUR	1ZMB|23AART|4LWND|5RCVC|6RCR|7DMG|8DUR|9VULN|aASPD
81	12228 44275	   	204.46	DCR|2VULN|2DMG|2ASPD|2ZMB	17ZMB|2aVULN|3LEGI|4MBVNT|57DMG|67ASPD|7BPWR|8RCVC|9RCR
82	16122 24222	   	204.39	DCR|2AART|1VULN|1ASPD|1DMG|1ZMB|1DUR	1ZMB|23AART|4DUR|5RCVC|6RCR|7DMG|8VULN|9MBVNT|aASPD
83	12315 52133	 * 	204.20	DCR|2VULN|2AART|1DMG|1CDMG|1ZMB	1ZMB|28VULN|3TLV|47AART|5CDMG|6CGEN|9RCR|aDMG
84	16325 52133	   	204.20	DCR|2VULN|2AART|1DMG|1CDMG|1ZMB	1ZMB|27AART|3TLV|48VULN|5CDMG|6CGEN|9RCR|aDMG
85	26126 13235	 * 	204.12	DCR|3DMG|2AART|1MDPS|1VULN|2DUR	156DMG|23AART|45DUR|5BPWR|7CGEN|8MDPS|9RCR|aVULN
86	24156 22133	 * 	204.11	DCR|2AART|2DMG|1VULN|1CDMG	1aDMG|29CGEN|3RMIN|4CDMG|57AART|6RCR|8VULN
87	12428 44444	   	203.84	DCR|2VULN|2ASPD|1DMG|1CDMG|2ZMB	17ZMB|27VULN|3DUST|4MBVNT|5DMG|67ASPD|7BPWR|8RCR|9ERES|aCDMG
88	63213 65121	 * 	203.77	DCR|3VULN|2DMG|3CDMG|1SELL	158VULN|25ERES|3LEGI|4SELL|58BPWR|68aCDMG|78DMG|9RCR
89	12526 73224	   	203.63	DCR|3VULN|2ASPD|1DMG|2ZMB	17ZMB|27aVULN|3LWND|4MBVNT|5LIT|67ASPD|7BPWR|8DMG|9RCR
90	12228 44474	 * 	203.62	DCR|2VULN|1MDPS|2DMG|2ASPD|2ZMB	17ZMB|2aVULN|3LEGI|4MBVNT|57DMG|67ASPD|7BPWR|8RCR|9MDPS
91	12426 73224	   	203.53	DCR|3VULN|2ASPD|1DMG|2ZMB	17ZMB|27aVULN|3DUST|4MBVNT|5LIT|67ASPD|7BPWR|8DMG|9RCR
92	12428 44371	   	203.53	DCR|3VULN|2ASPD|1DMG|2ZMB	17ZMB|278VULN|3DUST|4MBVNT|5DMG|67ASPD|7BPWR|9RCR|aAME
93	12428 44373	   	203.53	DCR|3VULN|2ASPD|1DMG|2ZMB	17ZMB|278VULN|3DUST|4MBVNT|5DMG|67ASPD|7BPWR|9RCR|aBEXP
94	63213 65122	   	203.49	DCR|3VULN|2DMG|2CDMG|1AAC|1SELL	158VULN|25ERES|3LEGI|4SELL|58BPWR|68CDMG|78DMG|9RCR|aAAC
95	16116 23125	 * 	203.38	DCR|3VULN|3AART|2ZMB	1aZMB|238AART|4RCVC|59aVULN|6RCR|7aFEWX|aBPWR
96	12228 44371	   	203.28	DCR|2VULN|2DMG|2ASPD|2ZMB	17ZMB|28VULN|3LEGI|4MBVNT|57DMG|67ASPD|7BPWR|9RCR|aAME
97	12228 44373	   	203.28	DCR|2VULN|2DMG|2ASPD|2ZMB	17ZMB|28VULN|3LEGI|4MBVNT|57DMG|67ASPD|7BPWR|9RCR|aBEXP
98	12228 44378	   	203.28	DCR|2VULN|2DMG|2ASPD|2ZMB	17ZMB|28VULN|3LEGI|4MBVNT|57DMG|67ASPD|7BPWR|9RCR|aCGEN
99	16116 21125	   	203.18	DCR|3VULN|3AART|2ZMB	1aZMB|238AART|4RCVC|59aVULN|6RCR|7aDUST|aBPWR
100	12228 44377	   	203.18	DCR|2VULN|2DMG|2ASPD|2ZMB	17ZMB|28VULN|3LEGI|4MBVNT|57DMG|67ASPD|7BPWR|9RCR|aERES
101	61323 61162	 * 	203.15	DCR|3VULN|1MDPS|2ASPD|2CDMG	148VULN|2DMSP|3RPLT|5AME|68CDMG|78ASPD|8BPWR|9RCR|aMDPS
102	26616 13312	 * 	203.10	DCR|2VULN|2DMG|1MDPS|1AART|1DUR	18DMG|2AART|3LIT|4BELT|58VULN|6RCR|78CGEN|8BPWR|9DUR|aMDPS
103	16126 24212	   	202.99	DCR|2AART|3ZMB|1VULN|1DMG|2DUR	159ZMB|23AART|45DUR|5BPWR|6RCR|7DMG|8VULN|aLIT
104	16126 24213	   	202.99	DCR|2AART|3ZMB|1VULN|1DMG|2DUR	159ZMB|23AART|45DUR|5BPWR|6RCR|7DMG|8VULN|aLWND
105	13421 11322	 * 	202.80	DCR|3DMG|1MDPS|1VULN|1AART|1ASPD|1ZMB	1ZMB|2RPLT|378DMG|4VULN|5MDPS|6ASPD|9AART|aRCR
106	23422 35236	 * 	202.78	DCR|4VULN|3DMG|1NUKE	189DMG|2RPLT|3NUKE|4789VULN|589DUST|6BELT|89BPWR|aRCR
107	16114 24224	   	202.34	DCR|2AART|2DMG|1VULN|1ZMB|1DUR	1ZMB|23AART|4RCVC|5DUR|6RCR|7aDMG|8VULN|9MBVNT
108	26333 24313	   	202.16	DCR|2AART|1ASPD|1DMG|1NUKE|1CDMG|1ZMB	1DMG|24AART|3TLV|5ASPD|6CDMG|7CGEN|8RCR|9ZMB|aNUKE
109	12228 43376	   	202.14	DCR|3VULN|1ASPD|1DMG|1CDMG|1ZMB	1ZMB|278VULN|3LEGI|4MBVNT|5DMG|6ASPD|9RCR|aCDMG
110	12228 43435	   	202.11	DCR|3VULN|2ASPD|1DMG|1ZMB	1ZMB|27aVULN|3LEGI|4MBVNT|5DMG|69ASPD|8RCR
111	12428 43435	   	202.11	DCR|3VULN|2ASPD|1DMG|1ZMB	1ZMB|27aVULN|3DUST|4MBVNT|5DMG|69ASPD|8RCR
112	16152 24232	   	202.03	DCR|2AART|1VULN|1ASPD|1DMG|1ZMB|1DUR	1ZMB|23AART|4AELBLL|5LWND|6RCR|7DMG|8DUR|9VULN|aASPD
113	26126 24323	   	202.02	DCR|3DMG|2AART|1VULN|2DUR	157DMG|23AART|45DUR|5BPWR|6DUST|8BASFIG|9VULN|aRCR
114	16122 24224	   	201.92	DCR|2AART|2DMG|1VULN|1ZMB|1DUR	1ZMB|23AART|4DUR|5RCVC|6RCR|7aDMG|8VULN|9MBVNT
115	62315 41331	   	201.91	DCR|3VULN|2CDMG|1DMG|2DUR|1AAC	18aVULN|2LIT|3AAC|4RCVC|58DUR|6RCR|78CDMG|8BPWR|9DMG
116	12228 43375	 * 	201.74	DCR|4VULN|1ASPD|1DMG|1ZMB	1ZMB|278aVULN|3LEGI|4MBVNT|5DMG|6ASPD|9RCR
117	22133 33652	 * 	201.40	DCR|2AART|1MDPS|2DMG|1VULN|1CDMG|1ZMB	16DMG|2VULN|3CDMG|4MDPS|5LIT|7ZMB|8aAART|9RCR
118	23523 52333	   	201.24	DCR|3DMG|2VULN|1AART	17aDMG|2RPLT|3AME|4aVULN|5AART|6aLWND|8RCR|9RMIN|aBPWR
119	21611 61252	 * 	201.23	DCR|2VULN|2DMG|1AART|1CDMG|1SELL	19DMG|2SELL|39ERES|4BELT|5CDMG|6RCR|7CGEN|89VULN|9BPWR|aAART
120	25211 61252	 * 	201.23	DCR|2VULN|2DMG|1AART|1CDMG|1SELL	19DMG|29ERES|3SELL|4BELT|5CDMG|6RCR|7CGEN|89VULN|9BPWR|aAART
121	12228 44438	   	201.16	DCR|3ASPD|2DMG|1VULN|1AAC|2ZMB	17ZMB|2VULN|3LEGI|4MBVNT|57DMG|679ASPD|7BPWR|8RCR|aAAC
122	26616 12221	   	201.16	DCR|2DMG|1AART|1VULN|1ASPD|1CDMG	19DMG|2AART|3LIT|4BELT|5VULN|6RCR|7FEWX|8CDMG|aASPD
123	23523 25333	   	201.14	DCR|3DMG|2VULN|1AART	16aDMG|2RPLT|3aAME|4aVULN|5AART|7LEGI|8RCR|9RMIN|aBPWR
124	16112 24234	   	201.11	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1ZMB|23AART|4RCVC|5LWND|6RCR|7DMG|8DUR|9VULN|aCDMG
125	22266 32363	 * 	201.09	DCR|2DMG|1MDPS|2ASPD|1AART|1VULN	18DMG|2VULN|3LEGI|4MDPS|59ASPD|6RMIN|7RCR|aAART
126	12228 44444	   	201.05	DCR|2DMG|2ASPD|1VULN|1CDMG|2ZMB	17ZMB|2VULN|3LEGI|4MBVNT|57DMG|67ASPD|7BPWR|8RCR|9ERES|aCDMG
127	26116 11411	 * 	200.91	DCR|2VULN|2AART|2DMG	16DMG|23AART|49RCVC|5aVULN|7LIT|8RCR
128	61323 61161	 * 	200.85	DCR|3VULN|2ASPD|3CDMG	148VULN|2DMSP|3RPLT|5AME|68aCDMG|78ASPD|8BPWR|9RCR
129	22115 83181	 * 	200.69	DCR|2DMG|1VULN|2CDMG|1ASPD|2DUR|1ZMB	18DMG|2VULN|38CDMG|4CANARM|5MBVNT|6ZMB|78DUR|8BPWR|9ASPD|aRCR
130	16122 24134	   	200.68	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1ZMB|23AART|4DUR|5RCVC|6RCR|7DMG|8LWND|9VULN|aCDMG
131	16122 24242	   	200.68	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1ZMB|23AART|4DUR|5RCVC|6RCR|7DMG|8VULN|9LIT|aCDMG
132	12428 44431	   	200.62	DCR|3ASPD|2VULN|1DMG|2ZMB	17ZMB|27VULN|3DUST|4MBVNT|5DMG|679ASPD|7BPWR|8RCR|aCGEN
133	12428 44432	   	200.62	DCR|3ASPD|2VULN|1DMG|2ZMB	17ZMB|27VULN|3DUST|4MBVNT|5DMG|679ASPD|7BPWR|8RCR|aBEXP
134	12428 44433	   	200.62	DCR|3ASPD|2VULN|1DMG|2ZMB	17ZMB|27VULN|3DUST|4MBVNT|5DMG|679ASPD|7BPWR|8RCR|aMLV
135	12428 44435	   	200.62	DCR|3ASPD|2VULN|1DMG|2ZMB	17ZMB|27VULN|3DUST|4MBVNT|5DMG|679ASPD|7BPWR|8RCR|aAELBLL
136	12428 44436	   	200.62	DCR|3ASPD|2VULN|1DMG|2ZMB	17ZMB|27VULN|3DUST|4MBVNT|5DMG|679ASPD|7BPWR|8RCR|aAME
137	12428 44437	   	200.62	DCR|3ASPD|2VULN|1DMG|2ZMB	17ZMB|27VULN|3DUST|4MBVNT|5DMG|679ASPD|7BPWR|8RCR|aLWND
138	16122 24225	   	200.58	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1ZMB|23AART|4DUR|5RCVC|6RCR|7DMG|8VULN|9MBVNT|aCDMG
139	12228 43436	   	200.53	DCR|2VULN|2ASPD|1DMG|1CDMG|1ZMB	1ZMB|27VULN|3LEGI|4MBVNT|5DMG|69ASPD|8RCR|aCDMG
140	12428 43436	   	200.53	DCR|2VULN|2ASPD|1DMG|1CDMG|1ZMB	1ZMB|27VULN|3DUST|4MBVNT|5DMG|69ASPD|8RCR|aCDMG
141	12428 44448	   	200.52	DCR|3ASPD|2VULN|1DMG|2ZMB	17ZMB|27VULN|3DUST|4MBVNT|5DMG|67aASPD|7BPWR|8RCR|9ERES
142	26126 13231	 * 	200.41	DCR|3DMG|2AART|1MDPS|1ASPD|2DUR	156DMG|23AART|45DUR|5BPWR|7CGEN|8MDPS|9RCR|aASPD
143	16553 22233	 * 	200.41	DCR|2ASPD|1AART|1DMG|1NUKE|1CDMG|1ZMB	1ZMB|2AART|3LHND|4DMG|59ASPD|6LWND|7CDMG|8RCR|aNUKE
144	63213 61121	   	200.40	DCR|3VULN|2ASPD|3CDMG|1SELL	158VULN|25ERES|3LEGI|4SELL|58BPWR|68aCDMG|78ASPD|9RCR
145	63214 61121	   	200.40	DCR|3VULN|2ASPD|3CDMG|1SELL	158VULN|2ERES|3LEGI|4SELL|68aCDMG|78ASPD|8BPWR|9RCR
146	12228 44276	   	200.33	DCR|2DMG|2ASPD|1VULN|1CDMG|2ZMB	17ZMB|2VULN|3LEGI|4MBVNT|57DMG|67ASPD|7BPWR|8RCVC|9RCR|aCDMG
147	16112 24316	   	199.83	DCR|2AART|1VULN|1ASPD|1DMG|2ZMB	19ZMB|23AART|4RCVC|5LWND|6RCR|7DMG|8VULN|aASPD
148	24124 21125	 * 	199.81	DCR|2VULN|2DMG|2ASPD|2AAC	18DMG|2CGEN|3RMIN|4aAAC|5DMSP|68VULN|78ASPD|8BPWR|9RCR
149	12423 44374	   	199.71	DCR|3VULN|2ASPD|1CDMG|2ZMB	17ZMB|278VULN|3DUST|4MBVNT|5AME|67ASPD|7BPWR|9RCR|aCDMG
150	23221 11322	   	199.40	DCR|3DMG|1MDPS|1VULN|1AART|1ASPD	178DMG|2RPLT|3RMIN|4VULN|5MDPS|6ASPD|9AART|aRCR
151	22261 62363	 * 	199.33	DCR|3VULN|1MDPS|1AART|1ASPD|1DMG	1DMG|257VULN|3LEGI|4MDPS|6ASPD|8CGEN|9RCR|aAART
152	12423 44375	   	199.31	DCR|4VULN|2ASPD|2ZMB	17ZMB|278aVULN|3DUST|4MBVNT|5AME|67ASPD|7BPWR|9RCR
153	22131 61222	 * 	199.13	DCR|3VULN|1MDPS|1AART|1DMG|1CDMG	1DMG|269VULN|3CDMG|4MDPS|5ERES|7RCVC|8RCR|aAART
