0	Index      	 *	Score 	Summary	Detail	
1	61124 13422	 * 	228.03	DCR|3ASPD|2AART|2DMG|2CDMG	17AART|25aBASARM|345ASPD|5aBPWR|6RCR|8aDMG|9aCDMG
15	55322 31523	   	207.35	DCR|3VULN|1AART|2CDMG|1DMG	1BELT|2AART|38LHND|4RMIN|58CDMG|68aVULN|7RCR|8BPWR|9DMG
16	61124 13321	   	206.63	DCR|3ASPD|2AART|1VULN|1CDMG	17AART|25BASARM|345ASPD|5BPWR|6RCR|8MLV|9CDMG|aVULN
17	33122 15626	 * 	205.39	DCR|2VULN|2DMG|1AART|1ASPD	1LEGI|2DMSP|3RMIN|4aDMG|5AART|6RCR|7ASPD|8aVULN|9aBEXP|aBPWR
18	33122 15636	   	205.19	DCR|2VULN|2DMG|1AART|1ASPD	1LEGI|2DMSP|3RMIN|4aDMG|5AART|6RCR|7ASPD|8aVULN|9aDUST|aBPWR
19	61124 16322	   	205.02	DCR|3ASPD|2VULN|1AART|1ZMB	1AART|25BASARM|345ASPD|5BPWR|6RCR|7ZMB|8aVULN|9LWND
20	56132 14322	 * 	204.87	DCR|3DMG|1VULN|1AART|1ASPD|1DUR	1BELT|2DUR|347DMG|5BEXP|6ASPD|8RCR|9VULN|aAART
21	61124 16331	   	204.70	DCR|3ASPD|1VULN|1AART|1DMG|1ZMB	1AART|25BASARM|345ASPD|5BPWR|6RCR|7ZMB|8VULN|9DMG|aDMSP
22	61124 16333	   	204.70	DCR|3ASPD|1AART|1VULN|1DMG|1ZMB	1AART|25BASARM|345ASPD|5BPWR|6RCR|7ZMB|8VULN|9DMG|aLHND
23	61124 16332	   	204.60	DCR|3ASPD|1AART|1VULN|1DMG|1ZMB	1AART|25BASARM|345ASPD|5BPWR|6RCR|7ZMB|8VULN|9DMG|aERES
24	61121 41623	 * 	204.15	DCR|2VULN|2ASPD|1AART|1DMG|1ZMB	1AART|2BASARM|34ASPD|58VULN|6LHND|7ZMB|9DMG|aRCR
25	55312 16323	 * 	203.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1BELT|2AART|3LHND|4MLV|5CDMG|6RCR|7DMG|89VULN|aASPD
26	55332 16323	   	203.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1BELT|2AART|3LHND|4ERES|5CDMG|6RCR|7DMG|89VULN|aASPD
27	61253 25133	 * 	203.12	ACR|3VULN|2AART|2ASPD|2DUR	1aAART|279BASARM|3RCR|4BELT|57DUR|679VULN|79BPWR|89ASPD
28	61124 13423	   	202.91	DCR|3ASPD|2AART|1DMG|1CDMG	17AART|25BASARM|345ASPD|5BPWR|6RCR|8DMG|9CDMG|aLWND
29	61124 12351	   	202.89	DCR|3ASPD|2VULN|1AART|1DUR	1AART|25BASARM|345ASPD|5BPWR|6RCR|7TLV|89VULN|aDUR
30	55212 31223	   	201.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1BELT|2AART|3FEWX|4MLV|5CDMG|69VULN|7RCR|8DMG|aASPD
31	55312 31323	   	201.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1BELT|2AART|3LHND|4MLV|5CDMG|69VULN|7RCR|8DMG|aASPD
32	65612 31323	   	201.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1AART|2LHND|3BELT|4MLV|5CDMG|69VULN|7RCR|8DMG|aASPD
33	55232 31223	   	201.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1BELT|2AART|3FEWX|4ERES|5CDMG|69VULN|7RCR|8DMG|aASPD
34	55332 31323	   	201.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1BELT|2AART|3LHND|4ERES|5CDMG|69VULN|7RCR|8DMG|aASPD
35	65632 31323	   	201.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1AART|2LHND|3BELT|4ERES|5CDMG|69VULN|7RCR|8DMG|aASPD
36	55312 16322	   	201.72	DCR|3VULN|1AART|1DMG|1CDMG	1BELT|2AART|3LHND|4MLV|5CDMG|6RCR|7DMG|89aVULN
37	55322 16323	   	201.72	DCR|3VULN|1AART|1DMG|1CDMG	1BELT|2AART|3LHND|4RMIN|5CDMG|6RCR|7DMG|89aVULN
38	55122 13223	   	201.62	DCR|3VULN|1AART|1DMG|1CDMG|1AAC	1BELT|2AART|3AAC|49aVULN|5CDMG|6RCR|7BEXP|8DMG
39	55122 13423	   	201.62	DCR|3VULN|1AART|1ASPD|1CDMG|1AAC	1BELT|2AART|3AAC|49aVULN|5CDMG|6RCR|7BEXP|8ASPD
40	55122 14323	   	201.62	DCR|3VULN|1AART|1DMG|1CDMG|1AAC	1BELT|2AART|3AAC|49aVULN|5CDMG|6RCR|7LHND|8DMG
41	55332 16322	   	201.62	DCR|3VULN|1AART|1DMG|1CDMG	1BELT|2AART|3LHND|4ERES|5CDMG|6RCR|7DMG|89aVULN
42	55122 13226	   	201.38	DCR|2VULN|2DMG|1AART|1CDMG|1AAC	1BELT|2AART|3AAC|49VULN|5CDMG|6RCR|7BEXP|8aDMG
43	55122 13263	   	201.38	DCR|2VULN|2DMG|1AART|1CDMG|1AAC	1BELT|2AART|3AAC|4aVULN|5CDMG|6RCR|7BEXP|89DMG
44	36623 12133	 * 	200.67	DCR|1SPLARM|2VULN|1ASPD|1DMG|1CDMG|1ZMB	1LEGI|2RCVC|35VULN|4DMG|6ZMB|7ASPD|8SPLARM|9CDMG|aRCR
45	55122 23216	   	199.97	DCR|3VULN|2AART|1CDMG|1AAC|1ZMB	1BELT|29AART|3AAC|478VULN|5CDMG|6ZMB|aRCR
46	24232 62226	 * 	199.94	DCR|3VULN|2DMG|1MDPS|1CDMG|1DUR	1aCGEN|2BEXP|3MDPS|4aDMG|5DUR|6CDMG|79aVULN|8RCR|aBPWR
47	55122 13623	 * 	199.86	DCR|2VULN|2AART|1DMG|1CDMG|1AAC	1BELT|28AART|3AAC|4aVULN|5CDMG|6RCR|7BEXP|9DMG
48	55212 31222	   	199.72	DCR|3VULN|1AART|1DMG|1CDMG	1BELT|2AART|3FEWX|4MLV|5CDMG|69aVULN|7RCR|8DMG
49	55212 31422	   	199.72	DCR|3VULN|1AART|1ASPD|1CDMG	1BELT|2AART|3FEWX|4MLV|5CDMG|69aVULN|7RCR|8ASPD
50	55222 31223	   	199.72	DCR|3VULN|1AART|1DMG|1CDMG	1BELT|2AART|3FEWX|4RMIN|5CDMG|69aVULN|7RCR|8DMG
51	55222 31423	   	199.72	DCR|3VULN|1AART|1ASPD|1CDMG	1BELT|2AART|3FEWX|4RMIN|5CDMG|69aVULN|7RCR|8ASPD
52	55312 31322	   	199.72	DCR|3VULN|1AART|1DMG|1CDMG	1BELT|2AART|3LHND|4MLV|5CDMG|69aVULN|7RCR|8DMG
53	55312 31422	   	199.72	DCR|3VULN|1AART|1ASPD|1CDMG	1BELT|2AART|3LHND|4MLV|5CDMG|69aVULN|7RCR|8ASPD
54	55322 31323	   	199.72	DCR|3VULN|1AART|1DMG|1CDMG	1BELT|2AART|3LHND|4RMIN|5CDMG|69aVULN|7RCR|8DMG
55	55322 31423	   	199.72	DCR|3VULN|1AART|1ASPD|1CDMG	1BELT|2AART|3LHND|4RMIN|5CDMG|69aVULN|7RCR|8ASPD
56	65612 31322	   	199.72	DCR|3VULN|1AART|1DMG|1CDMG	1AART|2LHND|3BELT|4MLV|5CDMG|69aVULN|7RCR|8DMG
57	65622 31323	   	199.72	DCR|3VULN|1AART|1DMG|1CDMG	1AART|2LHND|3BELT|4RMIN|5CDMG|69aVULN|7RCR|8DMG
58	55232 31222	   	199.62	DCR|3VULN|1AART|1DMG|1CDMG	1BELT|2AART|3FEWX|4ERES|5CDMG|69aVULN|7RCR|8DMG
59	55232 31422	   	199.62	DCR|3VULN|1AART|1ASPD|1CDMG	1BELT|2AART|3FEWX|4ERES|5CDMG|69aVULN|7RCR|8ASPD
60	55332 31322	   	199.62	DCR|3VULN|1AART|1DMG|1CDMG	1BELT|2AART|3LHND|4ERES|5CDMG|69aVULN|7RCR|8DMG
61	55332 31422	   	199.62	DCR|3VULN|1AART|1ASPD|1CDMG	1BELT|2AART|3LHND|4ERES|5CDMG|69aVULN|7RCR|8ASPD
62	65632 31322	   	199.62	DCR|3VULN|1AART|1DMG|1CDMG	1AART|2LHND|3BELT|4ERES|5CDMG|69aVULN|7RCR|8DMG
63	55212 31226	   	199.48	DCR|2VULN|2DMG|1AART|1CDMG	1BELT|2AART|3FEWX|4MLV|5CDMG|69VULN|7RCR|8aDMG
64	55222 31226	   	199.48	DCR|2VULN|2DMG|1AART|1CDMG	1BELT|2AART|3FEWX|4RMIN|5CDMG|69VULN|7RCR|8aDMG
65	55312 31326	   	199.48	DCR|2VULN|2DMG|1AART|1CDMG	1BELT|2AART|3LHND|4MLV|5CDMG|69VULN|7RCR|8aDMG
66	55322 31326	   	199.48	DCR|2VULN|2DMG|1AART|1CDMG	1BELT|2AART|3LHND|4RMIN|5CDMG|69VULN|7RCR|8aDMG
67	55512 31222	   	199.48	DCR|2VULN|2DMG|1AART|1CDMG	1BELT|2AART|3CGEN|4LWND|5CDMG|6aVULN|7RCR|89DMG
68	55232 31226	   	199.38	DCR|2VULN|2DMG|1AART|1CDMG	1BELT|2AART|3FEWX|4ERES|5CDMG|69VULN|7RCR|8aDMG
69	55332 31326	   	199.38	DCR|2VULN|2DMG|1AART|1CDMG	1BELT|2AART|3LHND|4ERES|5CDMG|69VULN|7RCR|8aDMG
70	55512 31223	 * 	199.16	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG	1BELT|2AART|3CGEN|4LWND|5CDMG|6VULN|7RCR|89DMG|aASPD
71	23322 11426	 * 	198.13	DCR|2DMG|1AART|1VULN|1NUKE|1ZMB	1CGEN|2AART|3LHND|4RCVC|58DMG|6RCR|7ZMB|9VULN|aNUKE
72	62322 11426	   	198.13	DCR|2DMG|1AART|1VULN|1NUKE|1ZMB	1AART|2CGEN|3LHND|4RCVC|58DMG|6RCR|7ZMB|9VULN|aNUKE
