0	Index      	 *	Score 	Summary	Detail	
1	42111 11321	 * 	219.77	DCR|3VULN|1SPLARM|1MDPS|1AART|2DUR	14DUR|268VULN|3LIT|5AART|7RCR|9SPLARM|aMDPS
42	42221 66222	   	203.05	DCR|3VULN|2ASPD|3DUR|1ZMB	189DUR|248VULN|3CGEN|5ZMB|68ASPD|7RCR|8BPWR|aBEXP
43	42221 66231	   	203.05	DCR|3VULN|2ASPD|3DUR|1ZMB	18aDUR|248VULN|3CGEN|5ZMB|68ASPD|7RCR|8BPWR|9LIT
44	42221 66223	   	202.95	DCR|3VULN|2ASPD|3DUR|1ZMB	189DUR|248VULN|3CGEN|5ZMB|68ASPD|7RCR|8BPWR|aERES
45	31663 12363	 * 	202.89	DCR|4VULN|2AART|1MDPS	17LWND|24AART|3679VULN|57CGEN|7BPWR|8RCR|aMDPS
46	16133 23623	 * 	202.73	DCR|1SPLARM|2VULN|2AART|1CDMG|1DUR	1RPLT|28AART|3CDMG|4LIT|5DUR|6RCR|7SPLARM|9aVULN
47	31661 12363	   	202.69	DCR|4VULN|2AART|1MDPS	17LWND|24AART|3679VULN|57ERES|7BPWR|8RCR|aMDPS
48	15322 14884	 * 	202.50	DCR|2AART|2DMG|1VULN|2CDMG	1RPLT|2MBVNT|39CDMG|4VULN|59DMG|69TLV|7RCR|8aAART|9BPWR
49	16114 23133	   	202.12	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1RPLT|2AART|3CDMG|48VULN|5DMG|6RMIN|7BELT|9RCR|aASPD
50	24121 11365	 * 	202.07	DCR|2VULN|2DMG|1ASPD|1CDMG|1DUR	1BEXP|26DMG|3DUR|4aVULN|5CDMG|7LIT|8RCR|9ASPD
51	31645 12333	   	201.92	DCR|3VULN|2DMG|1AART	17aLWND|2AART|367VULN|47aAME|5RCVC|7aBPWR|8RCR|9aDMG
52	64132 16222	 * 	201.91	DCR|3VULN|1AART|1ASPD|1AAC|1ZMB|1DUR	1AAC|2ASPD|3DUST|4AART|5ZMB|68aVULN|7RCR|9DUR
53	16132 16313	   	201.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1RPLT|2AART|3CDMG|4LIT|5DMG|6aVULN|7RCR|8ASPD|9BASFIG
54	36321 11145	   	201.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1LWND|2ASPD|3FEWX|4aVULN|5CDMG|6DMG|7RCR|8TLV|9AART
55	64231 12611	 * 	201.84	DCR|2SPLARM|2VULN|2ASPD|1AART|1AAC	1AAC|24ASPD|34SPLARM|4BPWR|59FEWX|6RCR|7aVULN|8AART
56	31663 12321	   	201.84	DCR|4VULN|2AART|1DUR	17LWND|24AART|367aVULN|57CGEN|7BPWR|8RCR|9DUR
57	42121 11331	   	201.82	DCR|5VULN|1AART|1DUR	1DUR|2689aVULN|34LIT|5AART|7RCR
58	61232 11443	 * 	201.81	DCR|4VULN|2ASPD|1CDMG|1AAC	1AAC|2367VULN|3BPWR|4CDMG|5aASPD|8DLOT|9RCR
59	31133 63153	   	201.72	DCR|3VULN|1AART|1DMG|1CDMG	1LWND|2AART|3LHND|4CDMG|59aVULN|6RCR|7DMG|8MLV
60	31133 63453	   	201.72	DCR|3VULN|1AART|1DMG|1CDMG	1LWND|2AART|3LHND|4CDMG|59aVULN|6RCR|7DMG|8CGEN
61	31255 16333	   	201.72	DCR|3VULN|2DMG|1AART	1aLWND|2AART|37CGEN|46aVULN|5RCVC|8RCR|9aDMG|aBPWR
62	31661 12321	   	201.64	DCR|4VULN|2AART|1DUR	17LWND|24AART|367aVULN|57ERES|7BPWR|8RCR|9DUR
63	31631 63153	   	201.62	DCR|3VULN|1AART|1DMG|1CDMG	1LWND|2AART|39aVULN|4CDMG|5DUST|6RCR|7DMG|8MLV
64	31631 63335	   	201.62	DCR|3VULN|1AART|1DMG|1CDMG	1LWND|2AART|39aVULN|4CDMG|5DUST|6RCR|7DMG|8BEXP
65	31631 65321	   	201.62	DCR|3VULN|1AART|1DMG|1CDMG	1LWND|2AART|378VULN|4CDMG|5DUST|6RCR|9DMG|aLIT
66	31631 65322	   	201.62	DCR|3VULN|1AART|1DMG|1CDMG	1LWND|2AART|378VULN|4CDMG|5DUST|6RCR|9DMG|aRPLT
67	31625 12333	   	201.62	DCR|3VULN|2DMG|1AART	17aLWND|2AART|367VULN|47aTLV|5RCVC|7aBPWR|8RCR|9aDMG
68	31655 12333	   	201.62	DCR|3VULN|2DMG|1AART	17aLWND|2AART|367VULN|47aERES|5RCVC|7aBPWR|8RCR|9aDMG
69	31631 65323	   	201.52	DCR|3VULN|1AART|1DMG|1CDMG	1LWND|2AART|378VULN|4CDMG|5DUST|6RCR|9DMG|aTLV
70	36321 11622	 * 	201.50	DCR|2ASPD|1VULN|2CDMG|1DMG|2ZMB|1DUR	1LWND|29ASPD|3FEWX|4VULN|59CDMG|6DMG|7RCR|89ZMB|9BPWR|aDUR
71	16132 61633	   	201.48	DCR|2VULN|2DMG|1AART|1CDMG	1RPLT|2AART|3CDMG|4LIT|58DMG|6RCR|7AELBLL|9aVULN
72	14421 11343	   	201.38	DCR|2VULN|2DMG|1AART|1CDMG	1RPLT|27DMG|3MSLFST|4AME|5AART|6RCR|8CDMG|9aVULN
73	31631 63316	   	201.38	DCR|2VULN|2DMG|1AART|1CDMG	1LWND|2AART|3aVULN|4CDMG|5DUST|6RCR|7aDMG|8BEXP|9aMSLFST|aBPWR
74	31631 63336	   	201.38	DCR|2VULN|2DMG|1AART|1CDMG	1LWND|2AART|39VULN|4CDMG|5DUST|6RCR|7aDMG|8BEXP
75	42221 66232	   	201.21	DCR|3VULN|2ASPD|2DUR|2ZMB	18DUR|248VULN|3CGEN|5aZMB|68ASPD|7RCR|8BPWR|9LIT
76	14411 11363	   	200.96	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG	1RPLT|27DMG|3MSLFST|4ERES|5AART|6RCR|8ASPD|9VULN|aCDMG
77	52631 11363	   	200.96	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG	1MSLREG|2RPLT|3ERES|47DMG|5AART|6RCR|8ASPD|9VULN|aCDMG
78	16114 32633	   	200.90	DCR|2VULN|2DMG|1AART|2CDMG	1RPLT|2AART|38CDMG|48VULN|59DMG|6AME|78TLV|8BPWR|aRCR
79	31662 11623	 * 	200.87	DCR|3VULN|2AART|3ZMB	19LWND|24AART|369VULN|579ZMB|8RCVC|9BPWR|aRCR
80	15322 27224	 * 	200.50	DCR|3DMG|3ZMB|1VULN|2CDMG	1RPLT|2MBVNT|38CDMG|4VULN|58aDMG|678ZMB|8BPWR|9RCR
81	15322 47272	   	200.43	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1RPLT|2MBVNT|3CDMG|49VULN|5DMG|6DUR|7RCR|8AART|aZMB
82	31255 12331	   	200.38	DCR|3VULN|1AART|1DMG|1CDMG	17LWND|2AART|37CGEN|467VULN|5RCVC|7BPWR|8RCR|9DMG|aCDMG
83	31645 12331	   	200.38	DCR|3VULN|1AART|1DMG|1CDMG	17LWND|2AART|367VULN|47AME|5RCVC|7BPWR|8RCR|9DMG|aCDMG
84	64132 16223	   	200.33	DCR|2VULN|1AART|1ASPD|1CDMG|1AAC|1ZMB|1DUR	1AAC|2ASPD|3DUST|4AART|5ZMB|68VULN|7RCR|9DUR|aCDMG
85	31625 12331	   	200.18	DCR|3VULN|1AART|1DMG|1CDMG	17LWND|2AART|367VULN|47TLV|5RCVC|7BPWR|8RCR|9DMG|aCDMG
86	31655 12331	   	200.18	DCR|3VULN|1AART|1DMG|1CDMG	17LWND|2AART|367VULN|47ERES|5RCVC|7BPWR|8RCR|9DMG|aCDMG
87	22251 11354	 * 	200.10	DCR|4VULN|1DMG|1CDMG|1DUR	1BEXP|289aVULN|3CGEN|4DUR|5CDMG|6DMG|7RCR
88	25221 11354	   	200.10	DCR|4VULN|1DMG|1CDMG|1DUR	1BEXP|2DUR|3CGEN|489aVULN|5CDMG|6DMG|7RCR
89	35221 11354	   	200.10	DCR|4VULN|1DMG|1CDMG|1DUR	1LWND|2DUR|3CGEN|489aVULN|5CDMG|6DMG|7RCR
90	32121 11354	   	200.10	DCR|4VULN|1DMG|1CDMG|1DUR	1LWND|2CGEN|3DUR|489aVULN|5CDMG|6DMG|7RCR
91	42231 11354	   	200.10	DCR|4VULN|1DMG|1CDMG|1DUR	1DUR|289aVULN|3CGEN|4LWND|5CDMG|6DMG|7RCR
92	24112 31354	   	200.00	DCR|4VULN|1DMG|1CDMG|1DUR	1BEXP|2DMG|3DUR|4ERES|5CDMG|689aVULN|7RCR
93	26112 31354	   	200.00	DCR|4VULN|1ASPD|1CDMG|1DUR	1BEXP|2ASPD|3DUR|4ERES|5CDMG|689aVULN|7RCR
94	61232 11415	   	199.81	DCR|4VULN|2ASPD|1CDMG|1AAC	1AAC|2367VULN|3BPWR|4CDMG|59ASPD|8DLOT|aRCR
95	22231 11356	   	199.72	DCR|3VULN|1AART|1DMG|1CDMG	1BEXP|289VULN|3CGEN|4LWND|5CDMG|6DMG|7RCR|aAART
96	22262 11356	   	199.72	DCR|3VULN|1AART|1DMG|1CDMG	1BEXP|289VULN|3CGEN|4DMG|5CDMG|6LWND|7RCR|aAART
97	16116 26212	   	199.52	DCR|3VULN|1AART|1DMG|1CDMG	1RPLT|2AART|3CDMG|469VULN|5ERES|7RCR|8MBVNT|aDMG
98	64231 12522	   	199.50	DCR|2SPLARM|3ASPD|2VULN|1AAC|1DUR	1AAC|248ASPD|34SPLARM|48BPWR|58FEWX|6RCR|78VULN|9LIT|aDUR
99	15322 13772	 * 	199.33	DCR|2DMG|2ASPD|1VULN|2CDMG|1DUR	1RPLT|2MBVNT|39CDMG|4VULN|59DMG|6TLV|7DUR|89ASPD|9BPWR|aRCR
100	42251 15212	   	199.25	DCR|3VULN|2ASPD|3DUR|1ZMB	147DUR|27aVULN|3aCGEN|5ZMB|67LIT|7aBPWR|8aASPD|9RCR
101	26121 11333	   	199.15	DCR|2VULN|2CDMG|1ASPD|1DMG|2DUR	1BEXP|2ASPD|3aDUR|48VULN|59CDMG|6DMG|7RCR
102	36121 11333	   	199.15	DCR|2VULN|2CDMG|1ASPD|1DMG|2DUR	1LWND|2ASPD|3aDUR|48VULN|59CDMG|6DMG|7RCR
103	31663 14333	   	199.11	DCR|2VULN|2AART|2DMG	1aLWND|24AART|36VULN|5aCGEN|7RCVC|8RCR|9aDMG|aBPWR
104	36321 11146	   	199.06	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG	1LWND|2ASPD|3FEWX|4VULN|5CDMG|6aDMG|7RCR|8TLV|9AART
105	16132 64132	   	199.06	DCR|2DMG|1AART|1VULN|2CDMG|1ZMB	1RPLT|2AART|38CDMG|478LIT|58DMG|6RCR|8BPWR|9ZMB|aVULN
106	36123 53213	 * 	198.98	DCR|2VULN|1ASPD|1DMG|3DUR|1CDMG	158LWND|2ASPD|378DUR|48VULN|6RCR|8BPWR|9DMG|aCDMG
107	31661 14333	   	198.91	DCR|2VULN|2AART|2DMG	1aLWND|24AART|36VULN|5aERES|7RCVC|8RCR|9aDMG|aBPWR
108	31663 11262	   	198.35	DCR|2VULN|2AART|1DMG|1ZMB|1DUR	1LWND|24AART|36VULN|5CGEN|7ZMB|8RCR|9DUR|aDMG
109	61223 66223	   	198.27	DCR|3VULN|2ASPD|1CDMG|1AAC|1DUR	1AAC|238VULN|38BPWR|4DUST|58TLV|68ASPD|7RCR|9DUR|aCDMG
110	31661 11262	   	198.25	DCR|2VULN|2AART|1DMG|1ZMB|1DUR	1LWND|24AART|36VULN|5ERES|7ZMB|8RCR|9DUR|aDMG
111	31133 63233	   	198.22	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1LWND|2aAART|3LHND|4CDMG|5VULN|6RCR|7DMG|8DUR|9ZMB
112	31443 63233	   	198.22	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1LWND|2aAART|3CDMG|4LHND|5VULN|6RCR|7DMG|8DUR|9ZMB
113	62262 12532	   	198.11	DCR|4VULN|2DMG|1AAC	1AAC|28FEWX|3MULFIG|4RCVC|58DMG|6RCR|789aVULN|8BPWR
114	34123 53215	   	198.08	DCR|3VULN|2DMG|3DUR	158LWND|29DMG|378DUR|48aVULN|6RCR|8BPWR
115	64231 12243	 * 	198.03	DCR|2SPLARM|2VULN|2ASPD|1DMG|1AAC	1AAC|24ASPD|34SPLARM|4BPWR|5FEWX|6RCR|79VULN|8DLOT|aDMG
116	16114 33133	   	197.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1RPLT|2AART|3CDMG|48VULN|5DMG|6AME|7BELT|9RCR|aASPD
117	42221 66233	   	197.90	DCR|3VULN|2ASPD|2DUR|1ZMB	18DUR|248VULN|3CGEN|5ZMB|68ASPD|7RCR|8BPWR|9LIT|aDLOT
118	16114 13133	   	197.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1RPLT|2AART|3CDMG|48VULN|5DMG|6ERES|7BELT|9RCR|aASPD
119	16116 63133	   	197.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1RPLT|2AART|3CDMG|48VULN|5ERES|6DMG|7BELT|9RCR|aASPD
120	36321 11623	 * 	197.82	DCR|1MDPS|2ASPD|1VULN|2CDMG|1DMG|2ZMB	1LWND|29ASPD|3FEWX|4VULN|59CDMG|6DMG|7RCR|89ZMB|9BPWR|aMDPS
121	42221 66212	   	197.80	DCR|3VULN|2ASPD|2DUR|1ZMB|1SELL	18DUR|248VULN|3CGEN|5ZMB|68ASPD|7RCR|8BPWR|9SELL|aLEGI
122	42221 66213	   	197.80	DCR|3VULN|2ASPD|2DUR|1ZMB|1SELL	18DUR|248VULN|3CGEN|5ZMB|68ASPD|7RCR|8BPWR|9SELL|aLIT
123	31663 12335	   	197.75	DCR|3VULN|2AART|1DMG	17LWND|24AART|367VULN|57aCGEN|7BPWR|8RCR|9DMG
124	31663 12336	   	197.75	DCR|3VULN|2AART|1DMG	17aLWND|24AART|367VULN|57CGEN|7BPWR|8RCR|9DMG
125	31133 64153	   	197.73	DCR|3VULN|2AART|1CDMG	1LWND|28AART|3LHND|4CDMG|59aVULN|6RCR|7FEWX
126	61123 66211	   	197.72	DCR|4VULN|2ASPD|1AAC|1DUR|1SELL	1AAC|248aVULN|3DUR|58TLV|68ASPD|7RCR|8BPWR|9SELL
127	42141 63331	   	197.69	DCR|4VULN|1AART|2DUR	17DUR|289aVULN|3LIT|4RCVC|5AART|6RCR
128	31663 12334	   	197.65	DCR|3VULN|2AART|1DMG|1MSE	17LWND|24AART|367VULN|57CGEN|7BPWR|8RCR|9DMG|aMSE
129	16132 16116	 * 	197.64	DCR|2AART|1VULN|1DMG|1NUKE|1CDMG	1RPLT|28AART|3CDMG|4LIT|5DMG|6VULN|7RCR|9BELT|aNUKE
130	31131 65153	   	197.63	DCR|3VULN|2AART|1CDMG	1LWND|28AART|3LHND|4CDMG|5DUST|6RCR|79aVULN
131	31663 14331	   	197.57	DCR|2VULN|2AART|1DMG|1CDMG	1LWND|24AART|36VULN|5CGEN|7RCVC|8RCR|9DMG|aCDMG
132	31661 12335	   	197.55	DCR|3VULN|2AART|1DMG	17LWND|24AART|367VULN|57ERES|7BPWR|8RCR|9DMG|aCGEN
133	15342 47432	 * 	197.54	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG	1RPLT|2MBVNT|3CDMG|4FEWX|5DMG|68AART|7RCR|9ASPD|aVULN
134	62121 11365	   	197.52	DCR|2VULN|1AART|2CDMG|1DMG|1AAC|1DUR	1AAC|2FEWX|3DUR|48VULN|5aCDMG|6DMG|7RCR|9AART
135	31663 16333	   	197.50	DCR|2VULN|2AART|2DMG	1aLWND|24AART|36VULN|57aCGEN|8RCR|9aDMG|aBPWR
136	31661 14331	   	197.47	DCR|2VULN|2AART|1DMG|1CDMG	1LWND|24AART|36VULN|5ERES|7RCVC|8RCR|9DMG|aCDMG
137	31661 16231	   	197.45	DCR|3VULN|2AART|1DMG	1LWND|24AART|36aVULN|5ERES|7CGEN|8RCR|9DMG
138	31663 13231	   	197.45	DCR|3VULN|2AART|1DMG	1LWND|24AART|36aVULN|5CGEN|7ERES|8RCR|9DMG
139	31661 12334	   	197.45	DCR|3VULN|2AART|1DMG|1MSE	17LWND|24AART|367VULN|57ERES|7BPWR|8RCR|9DMG|aMSE
140	31631 65331	 * 	197.40	DCR|4VULN|1AART|1CDMG	1LWND|2AART|3789VULN|4CDMG|5DUST|6RCR|aAME
141	31631 65332	   	197.40	DCR|4VULN|1AART|1CDMG	1LWND|2AART|3789VULN|4CDMG|5DUST|6RCR|aDMSP
142	31631 65333	   	197.40	DCR|4VULN|1AART|1CDMG	1aLWND|2AART|3789VULN|4CDMG|5DUST|6RCR
143	61221 63351	   	197.26	DCR|4VULN|2DMG|1AAC|1ZMB	1AAC|2389VULN|39BPWR|49DUST|5ZMB|6MSLREG|79DMG|aRCR
144	31661 13333	   	197.20	DCR|2VULN|2AART|2DMG	1aLWND|24AART|36VULN|57aERES|8RCR|9aDMG|aBPWR
145	16133 23341	   	196.99	DCR|1SPLARM|2VULN|1AART|1CDMG|1ZMB|1DUR	1RPLT|2AART|3CDMG|4LIT|5DUR|6RCR|7SPLARM|89VULN|aZMB
146	14421 11332	   	196.65	DCR|3DMG|1VULN|1AART|1CDMG	1RPLT|279DMG|3MSLFST|4AME|5AART|6RCR|8CDMG|aVULN
147	14421 11342	   	196.65	DCR|3DMG|1VULN|1AART|1CDMG	1RPLT|27aDMG|3MSLFST|4AME|5AART|6RCR|8CDMG|9VULN
148	26121 21362	   	196.47	DCR|3VULN|2ASPD|1CDMG|1DUR	1BEXP|29ASPD|3DUR|46aVULN|5CDMG|7LIT|8RCR
149	22141 11331	   	196.40	DCR|5VULN|1AART	1BEXP|2689aVULN|3LIT|4RCVC|5AART|7RCR
150	31663 11632	   	196.35	DCR|2VULN|2AART|1DMG|1ZMB|1DUR	1LWND|24AART|36VULN|5CGEN|7ZMB|8DUR|9RCR|aDMG
151	31661 11632	   	196.25	DCR|2VULN|2AART|1DMG|1ZMB|1DUR	1LWND|24AART|36VULN|5ERES|7ZMB|8DUR|9RCR|aDMG
152	16135 23343	   	196.08	DCR|3VULN|1SPLARM|1AART|1CDMG	1RPLT|2AART|3CDMG|4LIT|5DUST|6RCR|7SPLARM|89aVULN
153	36321 11344	   	196.01	DCR|3VULN|1ASPD|1DMG|1CDMG	1LWND|2ASPD|39FEWX|48aVULN|5CDMG|6DMG|7RCR
154	31663 16331	   	195.96	DCR|2VULN|2AART|1DMG|1CDMG	1LWND|24AART|36VULN|57CGEN|8RCR|9DMG|aCDMG
155	64231 11432	   	195.90	DCR|2SPLARM|3VULN|2ASPD|1AAC	1AAC|24ASPD|34SPLARM|4BPWR|57FEWX|6RCR|89aVULN
156	26121 11312	   	195.89	DCR|2VULN|1ASPD|1DMG|1CDMG|2DUR	1BEXP|2ASPD|3aDUR|48VULN|5CDMG|6DMG|7RCR|9RMIN
157	36121 11312	   	195.89	DCR|2VULN|1ASPD|1DMG|1CDMG|2DUR	1LWND|2ASPD|3aDUR|48VULN|5CDMG|6DMG|7RCR|9RMIN
158	31663 13253	   	195.86	DCR|2VULN|2AART|1DMG|1CDMG	1LWND|24AART|36VULN|5CGEN|7ERES|8RCR|9CDMG|aDMG
159	63132 16512	   	195.84	DCR|2VULN|1AART|1ASPD|1DMG|1AAC|1ZMB	1AAC|2CGEN|3DUST|4AART|5ZMB|69VULN|7RCR|8ASPD|aDMG
160	61231 11324	 * 	195.81	DCR|3VULN|1MDPS|1DMG|1NUKE|1CDMG|1AAC	1AAC|238VULN|3BPWR|4CDMG|5MDPS|6DMG|7RCR|9LWND|aNUKE
161	61231 11326	 * 	195.81	DCR|3VULN|1MDPS|1ASPD|1DMG|1CDMG|1AAC	1AAC|238VULN|3BPWR|4CDMG|5MDPS|6DMG|7RCR|9LWND|aASPD
162	61231 11344	   	195.81	DCR|3VULN|1MDPS|1DMG|1NUKE|1CDMG|1AAC	1AAC|238VULN|3BPWR|4CDMG|5MDPS|6DMG|7RCR|9FEWX|aNUKE
163	61231 11346	   	195.81	DCR|3VULN|1MDPS|1ASPD|1DMG|1CDMG|1AAC	1AAC|238VULN|3BPWR|4CDMG|5MDPS|6DMG|7RCR|9FEWX|aASPD
164	64231 12241	   	195.80	DCR|2SPLARM|3VULN|2ASPD|1AAC	1AAC|24ASPD|34SPLARM|4BPWR|5FEWX|6RCR|79aVULN|8DLOT
165	16132 16324	 * 	195.79	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG	1RPLT|2AART|3CDMG|4LIT|5DMG|6VULN|7RCR|8aASPD|9LHND
