0	Index      	Bounty	 *	Score 	Summary	Detail	
1	35233 13842	8	 * 	273.33	DCR|4VULN|3DUR|3TLV	17aDUR|2DUST|37aTLV|479aVULN|5MBVNT|6DLOT|7aBPWR|8RCR
26	31233 84822	8	   	262.04	DCR|3VULN|3DUR|2TLV|1AART	19aDUR|2FEWX|3aTLV|46aVULN|5MBVNT|7AART|8RCR|aBPWR
27	31436 34822	8	   	262.04	DCR|3VULN|3DUR|2TLV|1AART	19aDUR|2FEWX|34aVULN|5aTLV|6MBVNT|7AART|8RCR|aBPWR
28	34233 84822	8	   	262.04	DCR|3VULN|3DUR|2TLV|1AART	19aDUR|2BEXP|3aTLV|46aVULN|5MBVNT|7AART|8RCR|aBPWR
29	35231 34842	8	   	261.94	DCR|3VULN|3DUR|2TLV|1AART	15aDUR|2DUST|3aTLV|49aVULN|6MBVNT|7AART|8RCR|aBPWR
30	35233 74842	8	   	261.94	DCR|3VULN|3DUR|2TLV|1AART	16aDUR|2DUST|3aTLV|49aVULN|5MBVNT|7AART|8RCR|aBPWR
31	35233 84822	8	   	261.94	DCR|3VULN|3DUR|2TLV|1AART	19aDUR|2DUST|3aTLV|46aVULN|5MBVNT|7AART|8RCR|aBPWR
32	41411 22312	5	   	261.88	DCR|4VULN|2DUR|1TLV|1AART	134aVULN|24aFEWX|4aBPWR|5AART|6TLV|7RCR|8DUST|9aDUR
33	41432 42212	7	   	261.78	DCR|4VULN|2DUR|1TLV|1AART	138aVULN|2aFEWX|4AART|5DUST|6RCR|7TLV|9aDUR|aBPWR
34	33135 66231	10	 * 	261.63	DCR|2VULN|3DUR|1TLV|1DMG|1CDMG	157DUR|2ASPD|3FEWX|45VULN|5BPWR|6CDMG|8RCR|9DMG|aTLV
35	41412 33311	9	   	261.59	DCR|5VULN|1TLV|1CDMG	1349aVULN|24FEWX|4BPWR|5TLV|6CDMG|7ASPD|8RCR
36	41412 33315	10	   	261.59	DCR|5VULN|1TLV|1CDMG	1349aVULN|24FEWX|4BPWR|5TLV|6CDMG|7ASPD|8RCR
37	44412 33311	9	   	261.59	DCR|5VULN|1TLV|1CDMG	1349aVULN|24BEXP|4BPWR|5TLV|6CDMG|7ASPD|8RCR
38	41231 33311	9	   	261.49	DCR|5VULN|1TLV|1CDMG	1459aVULN|2FEWX|3TLV|6CDMG|7ASPD|8RCR
39	41231 33315	10	   	261.49	DCR|5VULN|1TLV|1CDMG	1459aVULN|2FEWX|3TLV|6CDMG|7ASPD|8RCR
40	44231 33311	9	   	261.49	DCR|5VULN|1TLV|1CDMG	1459aVULN|2BEXP|3TLV|6CDMG|7ASPD|8RCR
41	44231 33315	10	   	261.49	DCR|5VULN|1TLV|1CDMG	1459aVULN|2BEXP|3TLV|6CDMG|7ASPD|8RCR
42	45231 33311	9	   	261.39	DCR|5VULN|1TLV|1CDMG	1459aVULN|2DUST|3TLV|6CDMG|7ASPD|8RCR
43	45231 33315	10	   	261.39	DCR|5VULN|1TLV|1CDMG	1459aVULN|2DUST|3TLV|6CDMG|7ASPD|8RCR
44	45412 33311	9	   	261.39	DCR|5VULN|1TLV|1CDMG	1349aVULN|24DUST|4BPWR|5TLV|6CDMG|7ASPD|8RCR
45	32231 52361	8	 * 	260.70	DCR|3VULN|2DUR|1TLV|2CDMG|1AART	19DUR|2ZMB|3MBVNT|479VULN|5AART|6RCR|89CDMG|9BPWR|aTLV
46	32231 52461	7	   	260.70	DCR|3VULN|2DUR|1TLV|2CDMG|1AART	19DUR|2ZMB|3MBVNT|479VULN|5AART|6RCR|89CDMG|9BPWR|aTLV
47	32231 56461	6	   	260.70	DCR|3VULN|2DUR|1TLV|2CDMG|1AART	19DUR|2ZMB|3MBVNT|479VULN|5AART|6RCR|89CDMG|9BPWR|aTLV
48	43233 15122	1	   	260.59	DCR|3VULN|2DMG|2DUR|1AART	15aVULN|2ASPD|3aDMG|4BEXP|6MLV|7RCR|8aDUR|9AART|aBPWR
49	43233 15122	2	   	260.59	DCR|3VULN|2DMG|2DUR|1AART	15aVULN|2ASPD|3aDMG|4BEXP|6MLV|7RCR|8aDUR|9AART|aBPWR
50	43243 15122	1	   	260.59	DCR|3VULN|2DMG|2DUR|1AART	15aVULN|2ASPD|3aDMG|4FEWX|6MLV|7RCR|8aDUR|9AART|aBPWR
51	43243 15122	2	   	260.59	DCR|3VULN|2DMG|2DUR|1AART	15aVULN|2ASPD|3aDMG|4FEWX|6MLV|7RCR|8aDUR|9AART|aBPWR
52	43211 25122	1	   	260.49	DCR|3VULN|2DMG|2DUR|1AART	16aVULN|2ASPD|3aDMG|4ERES|5BEXP|7RCR|8aDUR|9AART|aBPWR
53	43211 25122	2	   	260.49	DCR|3VULN|2DMG|2DUR|1AART	16aVULN|2ASPD|3aDMG|4ERES|5BEXP|7RCR|8aDUR|9AART|aBPWR
54	43236 25122	2	   	260.49	DCR|3VULN|2DMG|2DUR|1AART	16aVULN|2ASPD|3aDMG|4BEXP|5ERES|7RCR|8aDUR|9AART|aBPWR
55	43236 25122	1	   	260.49	DCR|3VULN|2DMG|2DUR|1AART	16aVULN|2ASPD|3aDMG|4BEXP|5ERES|7RCR|8aDUR|9AART|aBPWR
56	32236 74633	4	   	260.40	DCR|4VULN|2TLV|2DUR	18DUR|256ZMB|3MBVNT|4568VULN|568BPWR|78TLV|9RPLT|aRCR
57	32236 74633	5	   	260.40	DCR|4VULN|2TLV|2DUR	18DUR|256ZMB|3MBVNT|4568VULN|568BPWR|78TLV|9RPLT|aRCR
58	35233 12842	8	   	260.00	DCR|4VULN|2TLV|2DUR	1aDUR|2DUST|3aTLV|479aVULN|5MBVNT|6DLOT|8RCR|aBPWR
59	41131 36533	9	 * 	259.70	DCR|5VULN|1TLV|2CDMG	14579VULN|2FEWX|37ZMB|67CDMG|7BPWR|8TLV|aRCR
60	42131 36533	9	   	259.70	DCR|5VULN|1TLV|2CDMG	14579VULN|2ZMB|37FEWX|67CDMG|7BPWR|8TLV|aRCR
61	33135 41331	6	   	259.44	DCR|3VULN|2DUR|1TLV|1DMG	15DUR|2ASPD|3FEWX|45aVULN|5BPWR|6TLV|7RCR|8RCVC|9DMG
62	33135 43331	8	   	259.44	DCR|3VULN|2DUR|1TLV|1DMG	15DUR|2ASPD|3FEWX|45aVULN|5BPWR|6TLV|7RCVC|8RCR|9DMG
63	41221 13353	9	 * 	259.32	DCR|3VULN|2TLV|2DUR|2CDMG	17aVULN|27FEWX|3aTLV|4LHND|57DUR|6DLOT|7aBPWR|8aCDMG|9RCR
64	44221 13353	9	   	259.32	DCR|3VULN|2TLV|2DUR|2CDMG	17aVULN|27BEXP|3aTLV|4LHND|57DUR|6DLOT|7aBPWR|8aCDMG|9RCR
65	44412 31112	8	   	259.19	DCR|4VULN|2TLV|2CDMG|1AART	1348VULN|249BEXP|48BPWR|58TLV|68CDMG|7AART|aRCR
66	41412 31122	9	   	259.09	DCR|4VULN|2TLV|2CDMG|1AART	1348VULN|24FEWX|48BPWR|58TLV|68CDMG|7AART|9MBVNT|aRCR
67	44412 31122	9	   	259.09	DCR|4VULN|2TLV|2CDMG|1AART	1348VULN|24BEXP|48BPWR|58TLV|68CDMG|7AART|9MBVNT|aRCR
68	41231 36422	9	   	258.99	DCR|4VULN|2TLV|2CDMG|1AART	1457VULN|2FEWX|37TLV|67CDMG|7BPWR|8AART|9MBVNT|aRCR
69	41231 31122	9	   	258.99	DCR|4VULN|2TLV|2CDMG|1AART	1458VULN|2FEWX|38TLV|68CDMG|7AART|8BPWR|9MBVNT|aRCR
70	44231 31122	9	   	258.99	DCR|4VULN|2TLV|2CDMG|1AART	1458VULN|2BEXP|38TLV|68CDMG|7AART|8BPWR|9MBVNT|aRCR
71	42231 32552	7	 * 	258.94	DCR|4VULN|2DMG|1TLV	1458VULN|28ZMB|3MBVNT|68DMG|7RCVC|8BPWR|9TLV|aRCR
72	45231 31122	9	   	258.89	DCR|4VULN|2TLV|2CDMG|1AART	1458VULN|2DUST|38TLV|68CDMG|7AART|8BPWR|9MBVNT|aRCR
73	45412 31122	9	   	258.89	DCR|4VULN|2TLV|2CDMG|1AART	1348VULN|24DUST|48BPWR|58TLV|68CDMG|7AART|9MBVNT|aRCR
74	41412 33351	10	   	258.51	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	134VULN|24FEWX|4BPWR|5TLV|6CDMG|7ASPD|8RCR|9DMG|aDUR
75	41231 33351	10	   	258.41	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	145VULN|2FEWX|3TLV|6CDMG|7ASPD|8RCR|9DMG|aDUR
76	44231 33351	10	   	258.41	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	145VULN|2BEXP|3TLV|6CDMG|7ASPD|8RCR|9DMG|aDUR
77	45231 33351	10	   	258.31	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	145VULN|2DUST|3TLV|6CDMG|7ASPD|8RCR|9DMG|aDUR
78	42238 12824	7	 * 	258.17	DCR|3VULN|3DMG|2DUR	148VULN|2ZMB|3MBVNT|58aDMG|68DUR|7RCR|8BPWR|9FEWX
79	42238 12844	7	   	258.17	DCR|3VULN|3DMG|2DUR	148VULN|2ZMB|3MBVNT|58aDMG|68DUR|7RCR|8BPWR|9BEXP
80	31235 24613	4	   	257.95	DCR|3VULN|3DUR|1TLV|1CDMG	158DUR|2FEWX|3TLV|456VULN|5BPWR|7CDMG|9LWND|aRCR
81	31235 36363	4	   	257.95	DCR|3VULN|3DUR|1TLV|1CDMG	158DUR|2FEWX|3TLV|459VULN|5BPWR|6LWND|7CDMG|aRCR
82	43131 55312	8	   	257.87	DCR|4VULN|1TLV|1DMG	1458VULN|2ASPD|3FEWX|6LIT|7RCR|9DMG|aTLV
83	62131 55312	8	   	257.87	DCR|4VULN|1TLV|1DMG	1ASPD|2458VULN|3FEWX|6LIT|7RCR|9DMG|aTLV
84	43212 52341	2	 * 	257.72	DCR|2VULN|2DMG|1TLV|2CDMG|1DUR	17VULN|2ASPD|37DMG|4ERES|5LWND|67CDMG|7BPWR|8DUR|9TLV|aRCR
85	43212 52341	1	   	257.72	DCR|2VULN|2DMG|1TLV|2CDMG|1DUR	17VULN|2ASPD|37DMG|4ERES|5LWND|67CDMG|7BPWR|8DUR|9TLV|aRCR
86	34423 12433	7	 * 	257.69	DCR|5VULN|3DUR	168DUR|248BEXP|3458aVULN|48BPWR|7RCVC|9RCR
87	43363 21531	4	   	257.60	DCR|4VULN|1TLV|1DMG|2ASPD	158aVULN|28ASPD|3LHND|4TLV|68FEWX|7RCR|8BPWR|9DMG
88	43363 21531	5	   	257.60	DCR|4VULN|1TLV|1DMG|2ASPD	158aVULN|28ASPD|3LHND|4TLV|68FEWX|7RCR|8BPWR|9DMG
89	62363 21531	5	   	257.60	DCR|4VULN|1TLV|1DMG|2ASPD	18ASPD|258aVULN|3LHND|4TLV|68FEWX|7RCR|8BPWR|9DMG
90	62363 21531	4	   	257.60	DCR|4VULN|1TLV|1DMG|2ASPD	18ASPD|258aVULN|3LHND|4TLV|68FEWX|7RCR|8BPWR|9DMG
91	35423 12433	7	   	257.39	DCR|5VULN|3DUR	168DUR|248DUST|3458aVULN|48BPWR|7RCVC|9RCR
92	41411 22413	6	 * 	256.80	DCR|5VULN|1DMG|1CDMG|1AART	1348aVULN|24FEWX|4BPWR|5AART|6DMG|7RCR|9CDMG
93	31426 34842	8	   	256.68	DCR|3VULN|2TLV|2DUR|2AART	1aDUR|24FEWX|34aVULN|4aBPWR|5aTLV|6MBVNT|79AART|8RCR
94	32236 21882	5	 * 	256.66	5VULN|3DMG|3DUR|1TLV	189DUR|25ZMB|3MBVNT|45689VULN|589BPWR|789DMG|aTLV
95	32236 21882	4	   	256.66	5VULN|3DMG|3DUR|1TLV	189DUR|25ZMB|3MBVNT|45689VULN|589BPWR|789DMG|aTLV
96	31233 84842	8	   	256.58	DCR|3VULN|2TLV|2DUR|2AART	1aDUR|2FEWX|3aTLV|46aVULN|5MBVNT|79AART|8RCR|aBPWR
97	31436 34842	8	   	256.58	DCR|3VULN|2TLV|2DUR|2AART	1aDUR|2FEWX|34aVULN|5aTLV|6MBVNT|79AART|8RCR|aBPWR
98	34233 84842	8	   	256.58	DCR|3VULN|2TLV|2DUR|2AART	1aDUR|2BEXP|3aTLV|46aVULN|5MBVNT|79AART|8RCR|aBPWR
99	42238 12813	7	   	256.17	DCR|3VULN|2DMG|2DUR|1CDMG	148VULN|2ZMB|3MBVNT|58DMG|68DUR|7RCR|8BPWR|9CGEN|aCDMG
100	42238 12821	7	   	256.17	DCR|3VULN|2DMG|2DUR|1CDMG	148VULN|2ZMB|3MBVNT|58DMG|68DUR|7RCR|8BPWR|9FEWX|aCDMG
101	42238 12841	7	   	256.17	DCR|3VULN|2DMG|2DUR|1CDMG	148VULN|2ZMB|3MBVNT|58DMG|68DUR|7RCR|8BPWR|9BEXP|aCDMG
102	43131 55313	10	   	256.14	DCR|5VULN|1TLV	14589VULN|2ASPD|3FEWX|6LIT|7RCR|aTLV
103	43131 55323	8	   	256.14	DCR|5VULN|1TLV	1458aVULN|2ASPD|3FEWX|6LIT|7RCR|9TLV
104	62131 55313	10	   	256.14	DCR|5VULN|1TLV	1ASPD|24589VULN|3FEWX|6LIT|7RCR|aTLV
105	62131 55323	8	   	256.14	DCR|5VULN|1TLV	1ASPD|2458aVULN|3FEWX|6LIT|7RCR|9TLV
106	41411 21633	10	   	255.86	DCR|3VULN|2DMG|1TLV|1AART	134VULN|24FEWX|4BPWR|5AART|68DMG|7TLV|9ASPD|aRCR
107	13132 32643	1	 * 	255.73	DCR|3VULN|2DMG|2TLV|1AART	1RPLT|28aVULN|3aDMG|4LWND|5ZMB|6AART|7aTLV|9RCR|aBPWR
108	32237 21847	4	 * 	255.65	DCR|3VULN|3DUR|2DMG	158DUR|2ZMB|3MBVNT|468VULN|78DMG|8BPWR|9BBNT|aRCR
109	31423 13145	5	   	254.93	DCR|3VULN|2DUR|1DMG|2ASPD|1CDMG	1aDUR|24FEWX|34aVULN|4aBPWR|5BELT|6DMG|7RCR|8CDMG|9aASPD
110	31433 13145	5	   	254.83	DCR|3VULN|2DUR|1DMG|2ASPD|1CDMG	1aDUR|2FEWX|34aVULN|5BELT|6DMG|7RCR|8CDMG|9aASPD|aBPWR
111	33253 41124	1	 * 	254.63	DCR|2VULN|3DUR|2DMG|3ASPD	148DUR|258ASPD|38DMG|6BBNT|7RCR|8BPWR|9aVULN
112	33253 41124	2	   	254.63	DCR|2VULN|3DUR|2DMG|3ASPD	148DUR|258ASPD|38DMG|6BBNT|7RCR|8BPWR|9aVULN
113	32231 52364	8	 * 	254.56	DCR|3VULN|2DUR|1DMG|2CDMG|1AART	19DUR|2ZMB|3MBVNT|479VULN|5AART|6RCR|89CDMG|9BPWR|aDMG
114	32231 52464	7	   	254.56	DCR|3VULN|2DUR|1DMG|2CDMG|1AART	19DUR|2ZMB|3MBVNT|479VULN|5AART|6RCR|89CDMG|9BPWR|aDMG
115	32231 56464	6	   	254.56	DCR|3VULN|2DUR|1DMG|2CDMG|1AART	19DUR|2ZMB|3MBVNT|479VULN|5AART|6RCR|89CDMG|9BPWR|aDMG
116	45211 22463	1	   	254.19	DCR|3VULN|2TLV|2CDMG|1DUR|1AART	17aVULN|2aCDMG|3DUR|4BEXP|5aTLV|6MBVNT|8RCR|9AART|aBPWR
117	31422 36253	8	   	254.06	DCR|3VULN|3DUR|1TLV|1AART	179DUR|245FEWX|349VULN|49BPWR|6RCR|8AART|aTLV
118	32236 51522	7	 * 	253.79	DCR|2VULN|2DMG|2DUR|1TLV|1AART	1aDUR|25aZMB|3MBVNT|45VULN|5aBPWR|6TLV|7aDMG|8RCR|9AART
119	33135 41622	6	   	253.70	DCR|2VULN|3DUR|2TLV|2ASPD|1AART	15aDUR|2aASPD|3FEWX|45VULN|5aBPWR|6aTLV|7RCR|8RMIN|9AART
120	32234 61522	7	   	253.69	DCR|2VULN|2DMG|2DUR|1TLV|1AART	1aDUR|2aZMB|3MBVNT|46VULN|5TLV|7aDMG|8RCR|9AART|aBPWR
121	31235 23211	4	   	253.03	DCR|3VULN|2DUR|1TLV|1CDMG	15DUR|2FEWX|3TLV|456VULN|5BPWR|7LIT|8LHND|9CDMG|aRCR
122	31235 24521	4	   	253.03	DCR|3VULN|2DUR|1TLV|1CDMG	15DUR|2FEWX|3TLV|456VULN|5BPWR|7CDMG|8LIT|9BEXP|aRCR
123	34235 23211	4	   	253.03	DCR|3VULN|2DUR|1TLV|1CDMG	15DUR|2BEXP|3TLV|456VULN|5BPWR|7LIT|8LHND|9CDMG|aRCR
124	35235 23211	4	   	252.93	DCR|3VULN|2DUR|1TLV|1CDMG	15DUR|2DUST|3TLV|456VULN|5BPWR|7LIT|8LHND|9CDMG|aRCR
125	32234 31132	10	   	252.80	DCR|3VULN|2TLV|2DUR|1CDMG	17DUR|2ZMB|3MBVNT|478VULN|57TLV|6BELT|7BPWR|9RCR|aCDMG
126	42284 31132	10	   	252.80	DCR|3VULN|2TLV|2DUR|1CDMG	178VULN|2ZMB|3MBVNT|47DUR|57TLV|6BELT|7BPWR|9RCR|aCDMG
127	31233 13812	9	   	252.38	DCR|3VULN|3DUR|3TLV	17aDUR|29FEWX|37aTLV|47aVULN|5MBVNT|6DLOT|7aBPWR|8RCR
128	31233 13852	8	   	252.38	DCR|3VULN|3DUR|3TLV	17aDUR|29FEWX|37aTLV|47aVULN|5MBVNT|6DLOT|7aBPWR|8RCR
129	32234 31131	10	   	252.38	DCR|3VULN|3DUR|2TLV	17aDUR|2ZMB|3MBVNT|478VULN|57TLV|6BELT|7BPWR|9RCR
130	32234 31132	9	   	252.38	DCR|3VULN|3DUR|2TLV	17aDUR|2ZMB|3MBVNT|478VULN|57TLV|6BELT|7BPWR|9RCR
131	34233 13832	9	   	252.38	DCR|3VULN|3DUR|3TLV	17aDUR|2BEXP|37aTLV|47aVULN|5MBVNT|6DLOT|7aBPWR|8RCR|9DMSP
132	34233 13872	8	   	252.38	DCR|3VULN|3DUR|3TLV	17aDUR|29BEXP|37aTLV|47aVULN|5MBVNT|6DLOT|7aBPWR|8RCR
133	42284 31131	10	   	252.38	DCR|3VULN|3DUR|2TLV	178VULN|2ZMB|3MBVNT|47aDUR|57TLV|6BELT|7BPWR|9RCR
134	42284 31132	9	   	252.38	DCR|3VULN|3DUR|2TLV	178VULN|2ZMB|3MBVNT|47aDUR|57TLV|6BELT|7BPWR|9RCR
135	31233 12822	8	   	252.28	DCR|3VULN|3DUR|2TLV	19aDUR|2FEWX|3aTLV|47aVULN|5MBVNT|6DLOT|8RCR|aBPWR
136	34233 12822	8	   	252.28	DCR|3VULN|3DUR|2TLV	19aDUR|2BEXP|3aTLV|47aVULN|5MBVNT|6DLOT|8RCR|aBPWR
137	35233 13832	9	   	252.28	DCR|3VULN|3DUR|3TLV	17aDUR|2DUST|37aTLV|47aVULN|5MBVNT|6DLOT|7aBPWR|8RCR|9DMSP
138	31233 13828	8	   	252.28	DCR|3VULN|3DUR|2TLV	179DUR|2FEWX|37TLV|47aVULN|5MBVNT|6DLOT|7BPWR|8RCR
139	41253 32622	8	   	252.26	DCR|2VULN|3DMG|1TLV|1CDMG|1AART	1aVULN|2aFEWX|3TLV|4CDMG|5RPLT|6RCR|78aDMG|9AART|aBPWR
140	41411 23533	10	   	252.18	DCR|3VULN|2DMG|2DUR|1AART	134VULN|24FEWX|4BPWR|5AART|69DMG|78DUR|aRCR
141	35233 12822	8	   	252.18	DCR|3VULN|3DUR|2TLV	19aDUR|2DUST|3aTLV|47aVULN|5MBVNT|6DLOT|8RCR|aBPWR
142	35233 13832	8	   	252.18	DCR|3VULN|3DUR|3TLV	17aDUR|29DUST|37aTLV|47aVULN|5MBVNT|6DLOT|7aBPWR|8RCR
143	35233 13872	9	   	252.18	DCR|3VULN|3DUR|3TLV	17aDUR|29DUST|37aTLV|47aVULN|5MBVNT|6DLOT|7aBPWR|8RCR
144	31235 52631	4	   	252.12	DCR|4VULN|2DUR|1TLV	15DUR|2FEWX|3TLV|4578VULN|5BPWR|6RPLT|9MLV|aRCR
145	13112 24635	1	   	251.80	DCR|3VULN|3DMG|1DUR	1RPLT|249VULN|367DMG|5ASPD|8DUR|aRCR
146	41412 33312	9	   	251.55	DCR|4VULN|1TLV|1CDMG	1349VULN|24FEWX|4BPWR|5TLV|6CDMG|7ASPD|8RCR|aLIT
147	44412 33312	9	   	251.55	DCR|4VULN|1TLV|1CDMG	1349VULN|24BEXP|4BPWR|5TLV|6CDMG|7ASPD|8RCR|aLIT
148	41231 33312	9	   	251.45	DCR|4VULN|1TLV|1CDMG	1459VULN|2FEWX|3TLV|6CDMG|7ASPD|8RCR|aLIT
149	44231 33312	9	   	251.45	DCR|4VULN|1TLV|1CDMG	1459VULN|2BEXP|3TLV|6CDMG|7ASPD|8RCR|aLIT
150	41253 32621	9	   	251.44	DCR|3VULN|2DMG|1TLV|1CDMG	19aVULN|2FEWX|3TLV|4CDMG|5RPLT|6RCR|78DMG
151	43316 22341	5	   	251.40	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	17VULN|2ASPD|37LHND|4ERES|5CDMG|67DMG|7BPWR|8DUR|9TLV|aRCR
152	45231 33312	9	   	251.35	DCR|4VULN|1TLV|1CDMG	1459VULN|2DUST|3TLV|6CDMG|7ASPD|8RCR|aLIT
153	45412 33312	9	   	251.35	DCR|4VULN|1TLV|1CDMG	1349VULN|24DUST|4BPWR|5TLV|6CDMG|7ASPD|8RCR|aLIT
154	44261 33311	9	   	251.23	DCR|4VULN|2TLV|1CDMG	159aVULN|2BEXP|34TLV|6CDMG|7ASPD|8RCR
155	31135 41331	6	   	251.14	DCR|3VULN|2DUR|1TLV|1DMG	15DUR|2FEWX|3ZMB|45aVULN|5BPWR|6TLV|7RCR|8RCVC|9DMG
156	32135 41331	6	   	251.14	DCR|3VULN|2DUR|1TLV|1DMG	15DUR|2ZMB|3FEWX|45aVULN|5BPWR|6TLV|7RCR|8RCVC|9DMG
157	31235 21121	4	   	251.14	DCR|3VULN|2DUR|1TLV|1DMG	15DUR|2FEWX|3TLV|456VULN|5BPWR|7DMG|8BELT|9CGEN|aRCR
158	31422 32156	6	   	251.14	DCR|3VULN|2DUR|1TLV|1DMG	1aDUR|245FEWX|34aVULN|4aBPWR|6RCR|7TLV|8DMG|9aDUST
159	31423 13342	5	   	251.14	DCR|3VULN|2DUR|1TLV|1DMG	1aDUR|24FEWX|348VULN|4BPWR|5BELT|6DMG|7RCR|9TLV
160	31426 23341	9	   	251.14	DCR|3VULN|2DUR|1TLV|2CDMG|1NUKE	19DUR|24FEWX|349VULN|49BPWR|5TLV|6LWND|79CDMG|8NUKE|aRCR
161	32236 47348	4	   	251.14	DCR|3VULN|2DUR|1TLV|2CDMG	1aDUR|25ZMB|3MBVNT|45aVULN|5aBPWR|6TLV|7CGEN|8RCR|9aCDMG
162	32236 47348	5	   	251.14	DCR|3VULN|2DUR|1TLV|2CDMG	1aDUR|25ZMB|3MBVNT|45aVULN|5aBPWR|6TLV|7CGEN|8RCR|9aCDMG
163	34235 21121	4	   	251.14	DCR|3VULN|2DUR|1TLV|1DMG	15DUR|2BEXP|3TLV|456VULN|5BPWR|7DMG|8BELT|9CGEN|aRCR
