0	Index      	 *	Score 	Summary	Detail	
1	24612 41221	 * 	230.01	DCR|3ASPD|2DMG|3CDMG|1AART|3DUR	189CDMG|258DUR|3LWND|4AART|69DMG|789ASPD|89BPWR|aRCR
32	46221 36131	   	213.38	4VULN|3DMG|2ASPD|1NUKE|1CDMG|1ZMB	137DMG|2378VULN|37BPWR|4ZMB|5CDMG|67ASPD|9LWND|aNUKE
33	46221 36121	   	213.28	4VULN|3DMG|2ASPD|1NUKE|1CDMG|1ZMB|1MSE	137DMG|2378VULN|37BPWR|4ZMB|5CDMG|67ASPD|9MSE|aNUKE
34	46211 13431	   	211.76	DCR|3VULN|2DMG|2ASPD	13DMG|23aVULN|3aBPWR|4LWND|5FEWX|6aCGEN|7RCR|8DUST|9aASPD
35	46211 33431	   	211.76	DCR|3VULN|2DMG|2ASPD	13DMG|23aVULN|3aBPWR|4LWND|5FEWX|6aMLV|7RCR|8DUST|9aASPD
36	46213 13431	   	211.76	DCR|3VULN|2DMG|2ASPD	13DMG|23aVULN|3aBPWR|4LWND|5BEXP|6aCGEN|7RCR|8DUST|9aASPD
37	46213 33431	   	211.76	DCR|3VULN|2DMG|2ASPD	13DMG|23aVULN|3aBPWR|4LWND|5BEXP|6aMLV|7RCR|8DUST|9aASPD
38	46211 13133	 * 	211.70	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	13DMG|23VULN|3BPWR|4LWND|5FEWX|6CGEN|7RCR|8DUR|9ASPD|aAART
39	46211 33133	   	211.70	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	13DMG|23VULN|3BPWR|4LWND|5FEWX|6MLV|7RCR|8DUR|9ASPD|aAART
40	46212 53133	   	211.70	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	13DMG|23VULN|3BPWR|4LWND|5CGEN|6FEWX|7RCR|8DUR|9ASPD|aAART
41	46213 13133	   	211.70	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	13DMG|23VULN|3BPWR|4LWND|5BEXP|6CGEN|7RCR|8DUR|9ASPD|aAART
42	46213 33133	   	211.70	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	13DMG|23VULN|3BPWR|4LWND|5BEXP|6MLV|7RCR|8DUR|9ASPD|aAART
43	46233 53133	   	211.70	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	13DMG|23VULN|3BPWR|4CGEN|5LWND|6FEWX|7RCR|8DUR|9ASPD|aAART
44	46212 33133	   	211.60	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	13DMG|23VULN|3BPWR|4LWND|5CGEN|6DUST|7RCR|8DUR|9ASPD|aAART
45	46233 33133	   	211.60	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	13DMG|23VULN|3BPWR|4CGEN|5LWND|6DUST|7RCR|8DUR|9ASPD|aAART
46	46236 33133	   	211.60	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	13DMG|23VULN|3BPWR|4CGEN|5LHND|6DUST|7RCR|8DUR|9ASPD|aAART
47	46243 33133	   	211.60	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	13DMG|23VULN|3BPWR|4MLV|5LWND|6DUST|7RCR|8DUR|9ASPD|aAART
48	46253 33133	   	211.60	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	13DMG|23VULN|3BPWR|4AME|5LWND|6DUST|7RCR|8DUR|9ASPD|aAART
49	46214 33133	   	211.50	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	13DMG|23VULN|3BPWR|4LWND|5ERES|6DUST|7RCR|8DUR|9ASPD|aAART
50	46221 12632	 * 	210.50	DCR|2VULN|2DMG|1NUKE|1CDMG|1ZMB|1DUR	13DMG|23VULN|3BPWR|4ZMB|5CDMG|6BELT|7MLV|8DUR|9RCR|aNUKE
51	46221 13632	   	210.50	DCR|2VULN|2DMG|1NUKE|1CDMG|1ZMB|1DUR	13DMG|23VULN|3BPWR|4ZMB|5CDMG|6BELT|7CGEN|8DUR|9RCR|aNUKE
52	22143 32523	   	210.06	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1CDMG|1AAC|1DUR	1CDMG|2MDPS|36VULN|4DMG|5AAC|7RCR|8ASPD|9AART|aDUR
53	32122 66323	   	210.03	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1LWND|2AART|3LHND|459VULN|6RCR|7CDMG|8DMG|aDUR
54	46332 12234	   	209.71	DCR|2VULN|2DMG|1MDPS|1AART|1CDMG|1ZMB	18DMG|2aVULN|3ZMB|4MDPS|5FEWX|6AART|7RCR|9CDMG
55	46333 12234	   	209.71	DCR|2VULN|2DMG|1MDPS|1AART|1CDMG|1ZMB	18DMG|2aVULN|3ZMB|4MDPS|5BEXP|6AART|7RCR|9CDMG
56	46211 25321	   	209.49	DCR|3VULN|2DMG|1AART|1ZMB	13DMG|236VULN|3BPWR|49LWND|5FEWX|7ZMB|8RCR|aAART
57	46213 25321	   	209.49	DCR|3VULN|2DMG|1AART|1ZMB	13DMG|236VULN|3BPWR|49LWND|5BEXP|7ZMB|8RCR|aAART
58	46223 24131	 * 	208.82	DCR|3DMG|2VULN|1ASPD|2ZMB	13aDMG|23VULN|3BPWR|46ZMB|5LWND|7RCR|8AELBLL|9ASPD
59	21234 36361	   	208.70	DCR|1MDPS|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1CDMG|2MLV|3DUR|4AART|5LIT|6DMG|7RCR|8ASPD|9VULN|aMDPS
60	21241 36361	   	208.70	DCR|1MDPS|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1CDMG|2MLV|3DUR|4LIT|5AART|6DMG|7RCR|8ASPD|9VULN|aMDPS
61	32122 66313	   	208.66	DCR|3VULN|1AART|1DMG|1CDMG	1LWND|2AART|3LHND|45aVULN|6RCR|7CDMG|8DMG|9SPLREG
62	23233 52421	 * 	208.34	DCR|3VULN|1ASPD|1DMG|1CDMG|1ZMB	1CDMG|2BEXP|3LIT|49aVULN|5DMG|6RCR|7ASPD|8ZMB
63	32122 66332	 * 	208.27	DCR|2VULN|2AART|1DMG|1CDMG|1DUR	1LWND|2aAART|3LHND|45VULN|6RCR|7CDMG|8DMG|9DUR
64	32422 46221	   	207.37	DCR|3ASPD|3CDMG|1AART|1DMG|2DUR	168LWND|2AART|389ASPD|4DMG|59DUR|789CDMG|89BPWR|aRCR
65	46334 23311	   	206.88	DCR|4VULN|1MDPS|2DMG|2ZMB	1aDMG|256aVULN|35ZMB|4MDPS|5aBPWR|7RCR|8AME|9aLHND
66	22363 24218	   	206.80	DCR|2VULN|2DMG|1MDPS|1AART|2CDMG	16CDMG|2MDPS|3MBVNT|4RPLT|56DMG|6BPWR|7RCR|8aVULN|9AART
67	22143 32221	   	206.70	DCR|2VULN|1MDPS|2DMG|1AART|2CDMG|1AAC	1aCDMG|2MDPS|36VULN|4aDMG|5AAC|7RCR|8aERES|9AART|aBPWR
68	22143 32621	   	206.70	DCR|2VULN|1MDPS|2DMG|1AART|2CDMG|1AAC	1aCDMG|2MDPS|36VULN|4aDMG|5AAC|7RCR|8aTLV|9AART|aBPWR
69	32224 62241	   	206.43	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG	1LWND|2AART|3TLV|4DMG|59VULN|6RCR|7CGEN|8ASPD|aMDPS
70	46221 15323	 * 	206.17	DCR|3VULN|2DMG|1CDMG|1ZMB|1DUR	13DMG|237VULN|3BPWR|4ZMB|5CDMG|6BELT|8DUR|9ERES|aRCR
71	32422 15241	 * 	205.84	DCR|3VULN|1AART|1ASPD|1DMG|1DUR	1LWND|2AART|3ASPD|4DMG|5DUR|679VULN|8BEXP|aRCR
72	46222 21361	   	205.68	DCR|3VULN|2DMG|1ASPD|1AAC|1ZMB	13DMG|23aVULN|3BPWR|4ZMB|5AAC|6LHND|7MLV|8RCR|9ASPD
73	46222 31361	   	205.68	DCR|3VULN|2DMG|1ASPD|1AAC|1ZMB	13DMG|23aVULN|3BPWR|4ZMB|5AAC|6FEWX|7MLV|8RCR|9ASPD
74	46223 31361	   	205.68	DCR|3VULN|2DMG|1ASPD|1AAC|1ZMB	13DMG|23aVULN|3BPWR|4ZMB|5LWND|6AAC|7MLV|8RCR|9ASPD
75	41133 24512	   	205.45	DCR|1MDPS|2DMG|1VULN|1ASPD|1CDMG|1DUR	16DMG|2DUR|3LWND|4SPLREG|5CDMG|7ASPD|8VULN|9RCR|aMDPS
76	43233 24512	   	205.45	DCR|1MDPS|2DMG|1VULN|1ASPD|1CDMG|1DUR	16DMG|2LWND|3DUR|4SPLREG|5CDMG|7ASPD|8VULN|9RCR|aMDPS
77	32224 62243	   	205.43	DCR|3VULN|1AART|1ASPD|1DMG	1LWND|2AART|3TLV|4DMG|59aVULN|6RCR|7CGEN|8ASPD
78	46331 51311	 * 	205.37	DCR|3VULN|3DMG|1MDPS|1ZMB	18aDMG|27aVULN|3ZMB|4MDPS|5CGEN|6RCR|9aLHND|aBPWR
79	46334 23133	   	205.23	DCR|3VULN|1MDPS|1AART|1DMG|2ZMB|1DUR	1DMG|256VULN|35ZMB|4MDPS|5BPWR|7RCR|8DUR|9ERES|aAART
80	22143 33421	   	204.70	DCR|2VULN|1MDPS|2DMG|1AART|2CDMG|1AAC	1aCDMG|2MDPS|36VULN|4aDMG|5AAC|7aTLV|8RCR|9AART|aBPWR
81	32424 11412	   	204.70	DCR|2VULN|2ASPD|1AART|1DMG|1AAC	17LWND|2AART|39ASPD|4DMG|56VULN|8RCR|aAAC
82	43112 32524	 * 	204.55	DCR|3DMG|3ASPD|3ZMB	19aDMG|234LWND|5RPLT|69aZMB|7RCR|89aASPD|9aBPWR
83	32122 62241	 * 	204.30	DCR|3VULN|1MDPS|1AART|1ASPD	1LWND|2AART|3LHND|459VULN|6RCR|7CGEN|8ASPD|aMDPS
84	32122 62461	   	204.30	DCR|3VULN|1MDPS|1AART|1ASPD	1LWND|2AART|3LHND|458VULN|6RCR|7CGEN|9ASPD|aMDPS
85	33213 55335	   	204.26	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1LWND|2RPLT|3AART|4ASPD|5CDMG|6DUR|79VULN|8DMG|aRCR
86	46211 13136	 * 	204.17	DCR|2VULN|2DMG|1ASPD|1CDMG|1DUR	13DMG|23VULN|3BPWR|4LWND|5FEWX|6CGEN|7RCR|8DUR|9ASPD|aCDMG
87	46211 33136	   	204.17	DCR|2VULN|2DMG|1ASPD|1CDMG|1DUR	13DMG|23VULN|3BPWR|4LWND|5FEWX|6MLV|7RCR|8DUR|9ASPD|aCDMG
88	46213 13136	   	204.17	DCR|2VULN|2DMG|1ASPD|1CDMG|1DUR	13DMG|23VULN|3BPWR|4LWND|5BEXP|6CGEN|7RCR|8DUR|9ASPD|aCDMG
89	46213 33136	   	204.17	DCR|2VULN|2DMG|1ASPD|1CDMG|1DUR	13DMG|23VULN|3BPWR|4LWND|5BEXP|6MLV|7RCR|8DUR|9ASPD|aCDMG
90	32422 11241	 * 	204.08	DCR|2VULN|2AART|1ASPD|1DMG|1DUR	1LWND|27AART|3ASPD|4DMG|5DUR|69VULN|8BEXP|aRCR
91	32422 11541	   	204.08	DCR|2VULN|2AART|1ASPD|1DMG|1DUR	1LWND|27AART|3ASPD|4DMG|5DUR|69VULN|8LHND|aRCR
92	46212 33136	   	204.07	DCR|2VULN|2DMG|1ASPD|1CDMG|1DUR	13DMG|23VULN|3BPWR|4LWND|5CGEN|6DUST|7RCR|8DUR|9ASPD|aCDMG
93	46233 33136	   	204.07	DCR|2VULN|2DMG|1ASPD|1CDMG|1DUR	13DMG|23VULN|3BPWR|4CGEN|5LWND|6DUST|7RCR|8DUR|9ASPD|aCDMG
94	46314 31132	   	204.05	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1DMG|258VULN|3ZMB|4AART|6CDMG|7CGEN|9RPLT|aRCR
95	46314 32132	   	204.05	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1DMG|258VULN|3ZMB|4AART|6CDMG|7AME|9RPLT|aRCR
96	46321 21361	 * 	203.94	DCR|4VULN|1ASPD|1DMG|1ZMB	1DMG|267aVULN|3ZMB|4LWND|5BEXP|8RCR|9ASPD
97	46311 41132	   	203.81	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	16DMG|28VULN|3ZMB|4AART|5CDMG|7CGEN|9RPLT|aRCR
98	46311 42132	   	203.81	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	16DMG|28VULN|3ZMB|4AART|5CDMG|7AME|9RPLT|aRCR
99	22321 32568	   	203.54	DCR|2VULN|1MDPS|2ASPD|1AART|2CDMG	19CDMG|2MDPS|3MBVNT|4LIT|59VULN|6DMSP|7RCR|89ASPD|9BPWR|aAART
100	22161 32521	   	203.44	DCR|2VULN|1MDPS|2ASPD|1AART|2CDMG|1AAC	1aCDMG|2MDPS|3aVULN|4AAC|5ERES|6AELBLL|7RCR|8aASPD|9AART|aBPWR
101	33112 33243	   	203.43	DCR|3VULN|1AART|1ASPD|1DMG	1LWND|2RPLT|389VULN|4DUST|5AART|6DMG|7RCR|aASPD
102	33142 23243	   	203.43	DCR|3VULN|1AART|1ASPD|1DMG	1LWND|2RPLT|389VULN|4DMG|5DUST|6AART|7RCR|aASPD
103	44111 13632	 * 	203.39	DCR|3DMG|2VULN|1AART|1DUR	158DMG|28AME|3AELBLL|4AART|6BEXP|78VULN|8BPWR|9RCR|aDUR
104	46334 21331	 * 	203.34	DCR|4VULN|1MDPS|1DMG|1CDMG|2ZMB	1DMG|2567VULN|35ZMB|4MDPS|5BPWR|8RCR|9BELT|aCDMG
105	46331 51111	   	203.26	DCR|3VULN|2DMG|1MDPS|2DUR|1ZMB	1aDMG|27aVULN|3ZMB|4MDPS|5CGEN|6RCR|8aDUR|9RCVC|aBPWR
106	46223 23321	   	203.18	DCR|2VULN|2DMG|1AART|2ZMB|1DUR	13DMG|23VULN|3BPWR|46ZMB|59LWND|7DUR|8RCR|aAART
107	46223 23351	   	203.18	DCR|2VULN|2DMG|1AART|2ZMB|1DUR	13DMG|23VULN|3BPWR|46ZMB|5LWND|7DUR|8RCR|9RCVC|aAART
108	46141 13131	   	202.58	DCR|3VULN|2ASPD|1DMG|1DUR	1DMG|24aVULN|34LWND|4aBPWR|5FEWX|6aCGEN|7RCR|8DUR|9aASPD
109	46141 33131	   	202.58	DCR|3VULN|2ASPD|1DMG|1DUR	1DMG|24aVULN|34LWND|4aBPWR|5FEWX|6aMLV|7RCR|8DUR|9aASPD
110	46143 13131	   	202.58	DCR|3VULN|2ASPD|1DMG|1DUR	1DMG|24aVULN|34LWND|4aBPWR|5BEXP|6aCGEN|7RCR|8DUR|9aASPD
111	46143 33131	   	202.58	DCR|3VULN|2ASPD|1DMG|1DUR	1DMG|24aVULN|34LWND|4aBPWR|5BEXP|6aMLV|7RCR|8DUR|9aASPD
112	32122 61461	 * 	202.54	DCR|2VULN|2AART|1MDPS|1ASPD	1LWND|27AART|3LHND|45VULN|6RCR|8CGEN|9ASPD|aMDPS
113	46152 13131	   	202.48	DCR|3VULN|2ASPD|1DMG|1DUR	1DMG|26aVULN|3LWND|4BEXP|5aCGEN|7RCR|8DUR|9aASPD|aBPWR
114	46621 13131	   	202.48	DCR|3VULN|2ASPD|1DMG|1DUR	1DMG|26aVULN|3CGEN|4LHND|5aBEXP|7RCR|8DUR|9aASPD|aBPWR
115	32224 61241	 * 	202.44	DCR|2VULN|2AART|1MDPS|1DMG	1LWND|27AART|3TLV|4DMG|59VULN|6RCR|8BEXP|aMDPS
116	46131 23131	   	202.38	DCR|3VULN|2ASPD|1DMG|1DUR	1DMG|26aVULN|3LWND|4TLV|5aBEXP|7RCR|8DUR|9aASPD|aBPWR
117	46142 33131	   	202.38	DCR|3VULN|2ASPD|1DMG|1DUR	1DMG|24aVULN|34LWND|4aBPWR|5CGEN|6aDUST|7RCR|8DUR|9aASPD
118	23233 52641	   	202.30	DCR|1MDPS|1AART|1VULN|1ASPD|1DMG|1CDMG	1CDMG|2BEXP|3LIT|4VULN|5DMG|6RCR|7ASPD|8MSLREG|9AART|aMDPS
119	32224 66211	   	202.30	DCR|1MDPS|1VULN|1AART|1ASPD|1DMG|1CDMG	1LWND|2AART|3TLV|4DMG|5VULN|6RCR|7CDMG|8LIT|9ASPD|aMDPS
120	46221 12332	   	202.19	DCR|2VULN|2DMG|1NUKE|1CDMG|1ZMB	13DMG|23VULN|3BPWR|4ZMB|5CDMG|6BELT|7MLV|8BEXP|9RCR|aNUKE
121	46221 12532	   	202.09	DCR|2VULN|2DMG|1NUKE|1CDMG|1ZMB	13DMG|23VULN|3BPWR|4ZMB|5CDMG|6BELT|7MLV|8DUST|9RCR|aNUKE
122	46221 13532	   	202.09	DCR|2VULN|2DMG|1NUKE|1CDMG|1ZMB	13DMG|23VULN|3BPWR|4ZMB|5CDMG|6BELT|7CGEN|8DUST|9RCR|aNUKE
123	46533 23131	   	202.04	DCR|2VULN|2DMG|2ASPD|1DUR	1aDMG|26VULN|3aFEWX|4TLV|5LEGI|7RCR|8DUR|9aASPD|aBPWR
124	21141 36363	   	201.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1CDMG|2MLV|39VULN|4LIT|5AART|6DMG|7RCR|8ASPD|aRCVC
125	32223 13441	   	201.85	DCR|2VULN|2DMG|1MDPS|1AART	1LWND|2AART|3TLV|48DMG|5LEGI|69VULN|7RCR|aMDPS
126	32623 13441	   	201.85	DCR|2VULN|1MDPS|2DMG|1AART	1LWND|2AART|3ERES|48DMG|5LEGI|69VULN|7RCR|aMDPS
127	21141 36361	   	201.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1CDMG|2MLV|39VULN|4LIT|5AART|6DMG|7RCR|8ASPD|aLEGI
128	21141 36362	   	201.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1CDMG|2MLV|39VULN|4LIT|5AART|6DMG|7RCR|8ASPD|aTLV
129	46223 24112	 * 	201.80	DCR|2VULN|2DMG|3ZMB|1CDMG	13DMG|23VULN|3BPWR|46aZMB|5LWND|7RCR|8AELBLL|9CDMG
130	22143 32524	   	201.75	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1CDMG|1AAC	1CDMG|2MDPS|36VULN|4DMG|5AAC|7RCR|8ASPD|9AART|aLWND
131	22143 32525	   	201.75	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1CDMG|1AAC	1CDMG|2MDPS|36VULN|4DMG|5AAC|7RCR|8ASPD|9AART|aRPLT
132	22143 32526	   	201.75	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1CDMG|1AAC	1CDMG|2MDPS|36VULN|4DMG|5AAC|7RCR|8ASPD|9AART|aRMIN
133	32122 66321	   	201.72	DCR|3VULN|1AART|1DMG|1CDMG	1LWND|2AART|3LHND|459VULN|6RCR|7CDMG|8DMG|aAME
134	32122 66322	   	201.72	DCR|3VULN|1AART|1DMG|1CDMG	1LWND|2AART|3LHND|459VULN|6RCR|7CDMG|8DMG|aRPLT
135	32122 66324	   	201.72	DCR|3VULN|1AART|1DMG|1CDMG	1LWND|2AART|3LHND|459VULN|6RCR|7CDMG|8DMG|aLIT
136	22143 32521	   	201.65	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1CDMG|1AAC	1CDMG|2MDPS|36VULN|4DMG|5AAC|7RCR|8ASPD|9AART|aTSLARM
137	22143 32522	   	201.65	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1CDMG|1AAC	1CDMG|2MDPS|36VULN|4DMG|5AAC|7RCR|8ASPD|9AART|aLEGI
138	32122 66326	   	201.62	DCR|3VULN|1AART|1DMG|1CDMG|1MSE	1LWND|2AART|3LHND|459VULN|6RCR|7CDMG|8DMG|aMSE
139	46221 36112	   	201.62	4VULN|3DMG|2ASPD|1CDMG|1ZMB|1DUR	137DMG|2378VULN|37BPWR|4ZMB|5CDMG|67ASPD|9DUR|aBEXP
140	46221 36133	   	201.62	4VULN|3DMG|2ASPD|1CDMG|1ZMB|1DUR	137DMG|2378VULN|37BPWR|4ZMB|5CDMG|67ASPD|9LWND|aDUR
141	46211 25313	   	201.56	DCR|4VULN|2DMG|1ZMB	13DMG|236aVULN|3BPWR|4LWND|5FEWX|7ZMB|8RCR|9LHND
142	46213 25313	   	201.56	DCR|4VULN|2DMG|1ZMB	13DMG|236aVULN|3BPWR|4LWND|5BEXP|7ZMB|8RCR|9LHND
143	32122 61463	 * 	201.55	DCR|3VULN|2AART|1ASPD	1LWND|27AART|3LHND|45aVULN|6RCR|8CGEN|9ASPD
144	22373 24425	   	201.54	DCR|2VULN|1MDPS|2ASPD|1AART|2CDMG	1aCDMG|2MDPS|3MBVNT|4BELT|5FEWX|6AART|7aASPD|8RCR|9aVULN|aBPWR
145	22374 84425	   	201.54	DCR|2VULN|1MDPS|2ASPD|1AART|2CDMG	1aCDMG|2MDPS|3MBVNT|4BELT|5AART|6BEXP|7aASPD|8RCR|9aVULN|aBPWR
146	22378 24425	   	201.54	DCR|2VULN|1MDPS|2ASPD|1AART|2CDMG	1aCDMG|2MDPS|3MBVNT|4BELT|5BEXP|6AART|7aASPD|8RCR|9aVULN|aBPWR
147	46211 25331	   	201.46	DCR|4VULN|2DMG|1ZMB	13DMG|236aVULN|3BPWR|4LWND|5FEWX|7ZMB|8RCR|9ERES
148	46213 25331	   	201.46	DCR|4VULN|2DMG|1ZMB	13DMG|236aVULN|3BPWR|4LWND|5BEXP|7ZMB|8RCR|9ERES
149	32224 61243	 * 	201.45	DCR|3VULN|2AART|1DMG	1LWND|27AART|3TLV|4DMG|59aVULN|6RCR|8BEXP
150	22374 28425	   	201.44	DCR|2VULN|1MDPS|2ASPD|1AART|2CDMG	1aCDMG|2MDPS|3MBVNT|4BELT|5AART|6LEGI|7aASPD|8RCR|9aVULN|aBPWR
