0	Index      	 *	Score 	Summary	Detail	
1	13621 45221	 * 	205.95	DCR|3VULN|1AART|1ASPD|1CDMG|1AAC|1ZMB	1MLV|2AAC|3CDMG|478VULN|5ZMB|6AART|9RCR|aASPD
16	31452 43132	 * 	195.33	DCR|4VULN|1MDPS|2DMG|1DUR	19ERES|2679VULN|3MDPS|4CGEN|5DUR|89DMG|9BPWR|aRCR
17	23231 25521	   	195.16	DCR|2VULN|2DMG|1ASPD|2DUR	1RPLT|2ERES|3aVULN|4SNIFST|5ASPD|6RCR|7aDUR|8MULFIG|9aDMG|aBPWR
18	41312 12532	   	193.91	DCR|2VULN|1AART|1ASPD|1DMG|1AAC|1DUR	1FEWX|2DUR|3ASPD|4DMG|5AAC|6BEXP|7RCR|8AART|9aVULN
19	11516 22263	 * 	193.81	DCR|3VULN|1ASPD|1DMG|1CDMG	1MLV|267VULN|3TLV|4ERES|5DMG|8RCR|9ASPD|aCDMG
20	22631 21134	 * 	193.79	DCR|4VULN|1ASPD|1CDMG	1RPLT|289aVULN|3AME|4SNIFST|5ASPD|6RCR|7CDMG
21	22231 21134	   	193.69	DCR|4VULN|1ASPD|1CDMG	1RPLT|289aVULN|3TLV|4SNIFST|5ASPD|6RCR|7CDMG
22	13126 45221	 * 	193.35	DCR|3VULN|2ASPD|1AART|1AAC|1SELL	1MLV|2AAC|3SELL|478VULN|5aASPD|6AART|9RCR
23	22331 51216	 * 	193.34	DCR|3VULN|2DMG|1ASPD	1RPLT|238VULN|4BELT|56DMG|7DMSP|9RCR|aASPD
24	33126 45221	 * 	193.25	DCR|3VULN|2ASPD|1AART|1AAC|1SELL	1ERES|2AAC|3SELL|478VULN|5aASPD|6AART|9RCR
25	22631 21153	   	192.19	DCR|2VULN|1AART|1ASPD|1CDMG|1DUR	1RPLT|28VULN|3AME|4SNIFST|5ASPD|6RCR|7CDMG|9DUR|aAART
26	22231 21153	   	192.09	DCR|2VULN|1AART|1ASPD|1CDMG|1DUR	1RPLT|28VULN|3TLV|4SNIFST|5ASPD|6RCR|7CDMG|9DUR|aAART
27	11615 21632	   	191.94	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1MLV|24VULN|3DLOT|5LWND|6AART|7ZMB|8ASPD|9RCR|aDMG
28	21324 11441	   	191.91	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1DUR	1RPLT|2DUR|36VULN|4ASPD|5BEXP|7MDPS|8RCR|9AART|aDMG
29	21314 11342	 * 	191.78	DCR|3VULN|1AART|1DMG|1DUR	1RPLT|2DUR|369VULN|4RMIN|5BEXP|7RCR|8AART|aDMG
30	21334 11342	   	191.78	DCR|3VULN|1AART|1DMG|1DUR	1RPLT|2DUR|369VULN|4MLV|5BEXP|7RCR|8AART|aDMG
31	21342 11342	   	191.78	DCR|3VULN|1AART|1DMG|1DUR	1RPLT|2DUR|349VULN|5BEXP|6MLV|7RCR|8AART|aDMG
32	21342 21342	   	191.78	DCR|3VULN|1AART|1DMG|1DUR	1RPLT|2DUR|349VULN|5BEXP|6AME|7RCR|8AART|aDMG
33	22311 61342	   	191.78	DCR|3VULN|1AART|1DMG|1DUR	1RPLT|239VULN|4RMIN|5BEXP|6DUR|7RCR|8AART|aDMG
34	22321 61414	   	191.78	DCR|3VULN|1AART|1DMG|1DUR	1RPLT|23aVULN|4BEXP|5CGEN|6DUR|7RCR|8DMG|9AART
35	22324 61342	   	191.68	DCR|3VULN|1AART|1DMG|1DUR	1RPLT|239VULN|4BEXP|5TLV|6DUR|7RCR|8AART|aDMG
36	22331 61216	 * 	191.60	DCR|4VULN|1ASPD|1DMG	1RPLT|2368VULN|4BELT|5DMG|7DMSP|9RCR|aASPD
37	21344 31342	   	191.58	DCR|3VULN|1AART|1DMG|1DUR	1RPLT|2DUR|349VULN|5TLV|6DUST|7RCR|8AART|aDMG
38	23231 25222	   	191.49	DCR|3VULN|1ASPD|1CDMG|2DUR	1RPLT|28ERES|389VULN|4SNIFST|5ASPD|6RCR|78DUR|8BPWR|aCDMG
39	23231 25266	   	191.49	DCR|3VULN|1ASPD|1CDMG|2DUR	1RPLT|28ERES|38aVULN|4SNIFST|5ASPD|6RCR|78DUR|8BPWR|9CDMG
40	11116 43253	 * 	191.43	DCR|3VULN|2DMG|1CDMG	1MLV|269VULN|3FEWX|47DMG|5ERES|8RCR|aCDMG
41	23231 25223	   	191.09	DCR|4VULN|1ASPD|2DUR	1RPLT|28ERES|389aVULN|4SNIFST|5ASPD|6RCR|78DUR|8BPWR
42	41312 42162	   	191.01	DCR|2DMG|1VULN|1AART|1ASPD|1AAC|1DUR	1FEWX|2DUR|3ASPD|4aDMG|5AAC|6VULN|7RCR|8TLV|9AART
43	43111 44132	 * 	191.00	DCR|1VULN|1AART|2CDMG|1ASPD|1DMG	1FEWX|2BELT|3aCDMG|4DMG|5VULN|6RCR|7AART|8ASPD|9AME
44	21356 24112	 * 	190.98	DCR|2VULN|2DMG|1AART|2DUR	1RPLT|27DUR|37VULN|4LHND|5FEWX|67DMG|7BPWR|8CGEN|9AART|aRCR
45	21356 24312	   	190.98	DCR|2VULN|2DMG|1AART|2DUR	1RPLT|27DUR|37VULN|4LHND|5FEWX|67DMG|7BPWR|8RMIN|9AART|aRCR
46	43111 44122	   	190.90	DCR|1VULN|1AART|2CDMG|1ASPD|1DMG	1FEWX|2BELT|3aCDMG|4DMG|5VULN|6RCR|7AART|8ASPD|9TLV
47	21363 54112	 * 	190.88	DCR|2VULN|2DMG|1MDPS|1AART|2DUR	1RPLT|27DUR|37VULN|47DMG|5MDPS|6DMSP|7BPWR|8CGEN|9AART|aRCR
48	24422 11116	   	190.22	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB	1RPLT|2AART|3LHND|4aVULN|5ASPD|6CDMG|7ZMB|8RCR|9FEWX
49	21442 11413	 * 	190.02	DCR|2VULN|2AART|1DMG|1DUR	1RPLT|2DUR|3LHND|46VULN|5MLV|7RCR|8DMG|9aAART
50	21341 41413	   	190.02	DCR|2VULN|2AART|1DMG|1DUR	1RPLT|2DUR|34VULN|5CGEN|6LHND|7RCR|8DMG|9aAART
51	21345 11413	   	190.02	DCR|2VULN|2AART|1DMG|1DUR	1RPLT|2DUR|34VULN|5LWND|6MLV|7RCR|8DMG|9aAART
52	21345 21413	   	190.02	DCR|2VULN|2AART|1DMG|1DUR	1RPLT|2DUR|34VULN|5LWND|6AME|7RCR|8DMG|9aAART
53	21352 11413	   	190.02	DCR|2VULN|2AART|1DMG|1DUR	1RPLT|2DUR|36VULN|4LHND|5MLV|7RCR|8DMG|9aAART
54	21354 11413	   	190.02	DCR|2VULN|2AART|1DMG|1DUR	1RPLT|2DUR|36VULN|4LHND|5AME|7RCR|8DMG|9aAART
55	22312 41413	   	190.02	DCR|2VULN|2AART|1DMG|1DUR	1RPLT|23VULN|4RMIN|5DUR|6LHND|7RCR|8DMG|9aAART
56	22362 41413	   	190.02	DCR|2VULN|2AART|1DMG|1DUR	1RPLT|23VULN|4CGEN|5DUR|6LHND|7RCR|8DMG|9aAART
57	21353 11413	   	189.92	DCR|2VULN|2AART|1DMG|1DUR	1RPLT|2DUR|36VULN|4LHND|5TLV|7RCR|8DMG|9aAART
58	21443 11413	   	189.92	DCR|2VULN|2AART|1DMG|1DUR	1RPLT|2DUR|3LHND|46VULN|5TLV|7RCR|8DMG|9aAART
59	11261 24253	   	189.89	DCR|4VULN|1ASPD|1CDMG	1MLV|2469VULN|34AME|4BPWR|5FEWX|7ASPD|8RCR|aCDMG
60	11261 24221	   	189.88	DCR|3VULN|1AART|1ASPD|1DUR	1MLV|246VULN|34AME|4BPWR|5FEWX|7ASPD|8RCR|9DUR|aAART
61	61261 24221	   	189.88	DCR|3VULN|1AART|1ASPD|1DUR	1CGEN|246VULN|34AME|4BPWR|5FEWX|7ASPD|8RCR|9DUR|aAART
62	24422 11142	   	189.80	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1RPLT|2AART|3LHND|4VULN|5ASPD|6CDMG|7ZMB|8RCR|9TLV|aDMG
63	31261 24253	   	189.79	DCR|4VULN|1ASPD|1CDMG	1ERES|2469VULN|34AME|4BPWR|5FEWX|7ASPD|8RCR|aCDMG
64	31261 24221	   	189.78	DCR|3VULN|1AART|1ASPD|1DUR	1ERES|246VULN|34AME|4BPWR|5FEWX|7ASPD|8RCR|9DUR|aAART
65	22332 51343	   	189.78	DCR|3VULN|1AART|1DMG|1DUR	1RPLT|235VULN|4BELT|5BPWR|6MLV|7AART|8RCR|9DUR|aDMG
66	22332 61343	   	189.78	DCR|3VULN|1AART|1DMG|1DUR	1RPLT|235VULN|4BELT|5BPWR|6AME|7AART|8RCR|9DUR|aDMG
67	11433 51411	   	189.78	DCR|1MDPS|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1MLV|2VULN|3MDPS|4ASPD|5CDMG|6AME|7RCR|8DMG|9AART|aDUR
68	41312 12535	   	189.78	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1AAC|1DUR	1FEWX|2DUR|3ASPD|4DMG|5AAC|6BEXP|7RCR|8AART|9VULN|aCDMG
69	61433 11411	   	189.78	DCR|1MDPS|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1CGEN|2VULN|3MDPS|4ASPD|5CDMG|6MLV|7RCR|8DMG|9AART|aDUR
70	61433 21411	   	189.78	DCR|1MDPS|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1CGEN|2VULN|3MDPS|4ASPD|5CDMG|6AME|7RCR|8DMG|9AART|aDUR
71	11433 64313	 * 	189.70	DCR|2AART|1MDPS|2ASPD|1VULN|1CDMG	1MLV|2VULN|3MDPS|47ASPD|5CDMG|6LHND|8RCR|9aAART
72	61433 11431	 * 	189.70	DCR|1MDPS|2DMG|2ASPD|1VULN|1CDMG	19CGEN|2VULN|3MDPS|49ASPD|5CDMG|6MLV|7RCR|89DMG|9BPWR|aLHND
73	61433 21431	   	189.70	DCR|1MDPS|2DMG|2ASPD|1VULN|1CDMG	19CGEN|2VULN|3MDPS|49ASPD|5CDMG|6AME|7RCR|89DMG|9BPWR|aLHND
74	61133 24253	   	189.69	DCR|4VULN|1ASPD|1CDMG	1CGEN|2469VULN|3FEWX|5ERES|7ASPD|8RCR|aCDMG
75	11561 24221	   	189.68	DCR|3VULN|1AART|1ASPD|1DUR	1MLV|246VULN|34TLV|4BPWR|5FEWX|7ASPD|8RCR|9DUR|aAART
76	21324 11453	 * 	189.68	DCR|3VULN|1MDPS|1AART|1ASPD|1DUR	1RPLT|2DUR|369VULN|4ASPD|5BEXP|7MDPS|8RCR|aAART
77	61133 24221	   	189.68	DCR|3VULN|1AART|1ASPD|1DUR	1CGEN|246VULN|3FEWX|5ERES|7ASPD|8RCR|9DUR|aAART
78	11433 21411	   	189.68	DCR|1MDPS|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1MLV|2VULN|3MDPS|4ASPD|5CDMG|6TLV|7RCR|8DMG|9AART|aDUR
79	31433 11411	   	189.68	DCR|1MDPS|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1ERES|2VULN|3MDPS|4ASPD|5CDMG|6MLV|7RCR|8DMG|9AART|aDUR
80	31433 21411	   	189.68	DCR|1MDPS|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1ERES|2VULN|3MDPS|4ASPD|5CDMG|6AME|7RCR|8DMG|9AART|aDUR
81	61433 11432	   	189.60	DCR|1MDPS|2DMG|2ASPD|1VULN|1CDMG	19CGEN|2VULN|3MDPS|49ASPD|5CDMG|6MLV|7RCR|89DMG|9BPWR|aDUST
82	61433 11433	   	189.60	DCR|2DMG|1MDPS|2ASPD|1VULN|1CDMG	19CGEN|2VULN|3MDPS|49ASPD|5CDMG|6MLV|7RCR|89DMG|9BPWR|aERES
83	61433 21432	   	189.60	DCR|1MDPS|2DMG|2ASPD|1VULN|1CDMG	19CGEN|2VULN|3MDPS|49ASPD|5CDMG|6AME|7RCR|89DMG|9BPWR|aDUST
84	61433 21433	   	189.60	DCR|2DMG|1MDPS|2ASPD|1VULN|1CDMG	19CGEN|2VULN|3MDPS|49ASPD|5CDMG|6AME|7RCR|89DMG|9BPWR|aERES
85	31561 22263	   	189.59	DCR|4VULN|1ASPD|1CDMG	1ERES|2467VULN|34TLV|4BPWR|5FEWX|8RCR|9ASPD|aCDMG
86	31561 24221	   	189.58	DCR|3VULN|1AART|1ASPD|1DUR	1ERES|246VULN|34TLV|4BPWR|5FEWX|7ASPD|8RCR|9DUR|aAART
87	22323 23361	 * 	189.50	DCR|4VULN|1AART|1CDMG	1RPLT|2389VULN|4BEXP|5BELT|6AART|7CDMG|aRCR
88	22333 23361	   	189.50	DCR|4VULN|1AART|1CDMG	1RPLT|2389VULN|4BELT|5BEXP|6AART|7CDMG|aRCR
89	24311 13361	   	189.50	DCR|4VULN|1AART|1CDMG	1RPLT|2AART|3BELT|4BEXP|5689VULN|7CDMG|aRCR
90	13121 45221	   	189.46	DCR|3VULN|1AART|1ASPD|1AAC|1ZMB|1SELL	1MLV|2AAC|3SELL|478VULN|5ZMB|6AART|9RCR|aASPD
91	11116 43221	   	189.43	DCR|2VULN|2DMG|1AART|1DUR	1MLV|26VULN|3FEWX|47DMG|5ERES|8RCR|9DUR|aAART
92	33121 45221	   	189.36	DCR|3VULN|1AART|1ASPD|1AAC|1ZMB|1SELL	1ERES|2AAC|3SELL|478VULN|5ZMB|6AART|9RCR|aASPD
93	41233 15623	   	189.34	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG|2DUR	1FEWX|23DUR|48VULN|5MDPS|6AART|7ASPD|9CDMG|aRCR
94	21343 52531	   	189.32	DCR|2VULN|1ASPD|1DMG|1CDMG|1DUR|1SPLREG	1RPLT|2DUR|34VULN|5ASPD|6SPLREG|7DUST|8CDMG|9RCR|aDMG
95	31612 35411	   	188.77	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB	1ERES|24VULN|3DLOT|5RCVC|6DMG|7ZMB|8RCR|9CDMG|aASPD
96	63126 43221	 * 	188.44	DCR|3ASPD|2VULN|1AART|1AAC|1SELL	1CGEN|2AAC|3SELL|48VULN|57aASPD|6AART|9RCR
97	33126 43221	 * 	188.34	DCR|3ASPD|2VULN|1AART|1AAC|1SELL	1ERES|2AAC|3SELL|48VULN|57aASPD|6AART|9RCR
98	24422 11242	   	188.22	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB	1RPLT|2AART|38LHND|4aVULN|5ASPD|6CDMG|7ZMB|9RCR
99	24422 11342	   	188.22	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB	1RPLT|2AART|3LHND|4aVULN|5ASPD|6CDMG|7ZMB|8DMSP|9RCR
100	42151 12622	   	188.19	DCR|1AART|1ASPD|1DMG|1NUKE|1CDMG|1ZMB	1FEWX|2BEXP|3ZMB|4ASPD|5LWND|6DMG|7RCR|8AART|9CDMG|aNUKE
101	63621 41221	   	188.12	DCR|2VULN|1AART|1ASPD|1CDMG|1AAC|1ZMB	17CGEN|2AAC|3CDMG|48VULN|5ZMB|6AART|9RCR|aASPD
102	41312 42511	   	187.96	DCR|3VULN|1ASPD|1DMG|1AAC|1DUR	1FEWX|2DUR|3ASPD|4DMG|5AAC|69aVULN|7RCR|8RMIN
103	22112 36462	   	187.93	DCR|3VULN|1AART|1ASPD	1RPLT|279VULN|3ASPD|4CGEN|5RCVC|6RCR|8FEWX|aAART
104	21326 24633	   	187.89	DCR|2VULN|2ASPD|1DMG|2DUR	1RPLT|27DUR|37VULN|49ASPD|5LHND|67LWND|7BPWR|8RCR|aDMG
105	23231 25264	 * 	187.88	DCR|2VULN|2ASPD|1CDMG|2DUR	1RPLT|28ERES|38VULN|4SNIFST|5aASPD|6RCR|78DUR|8BPWR|9CDMG
106	41312 42111	   	187.86	DCR|3VULN|1ASPD|1DMG|1AAC|1DUR	1FEWX|2DUR|3ASPD|4DMG|5AAC|69aVULN|7RCR|8TLV
107	41231 11341	 * 	187.79	DCR|2VULN|1MDPS|2ASPD|1DMG|2DUR	1aFEWX|23DUR|4aVULN|5LWND|6DMG|7MDPS|8RCR|9aASPD|aBPWR
108	22331 54325	   	187.79	DCR|3VULN|3DMG	1RPLT|237VULN|4BELT|567DMG|7BPWR|8BEXP|9RCVC|aRCR
109	22331 34332	   	187.78	DCR|3VULN|1AART|1DMG|1DUR	1RPLT|23aVULN|4BELT|5DMG|6DUR|7AART|8LIT|9RCR
110	21126 14112	 * 	187.61	DCR|2VULN|2ASPD|1AART|2DUR	1RPLT|27DUR|37ASPD|4BEXP|5FEWX|67VULN|7BPWR|8CGEN|9AART|aRCR
111	11616 23262	   	187.60	DCR|2VULN|1AART|1ASPD|1DMG	1MLV|24VULN|3DLOT|5CGEN|6RCR|7AART|8ASPD|9BEXP|aDMG
112	43413 24333	   	187.60	DCR|2VULN|1AART|1ASPD|1DMG	1FEWX|2BELT|3AART|4MLV|5ERES|6RCR|7ASPD|8aVULN|9DMG
113	21323 54112	 * 	187.51	DCR|2VULN|1MDPS|2ASPD|1AART|2DUR	1RPLT|27DUR|37VULN|47ASPD|5MDPS|6DMSP|7BPWR|8CGEN|9AART|aRCR
114	22631 21132	 * 	187.30	DCR|3VULN|1MDPS|1ASPD|1CDMG	1RPLT|289VULN|3AME|4SNIFST|5ASPD|6RCR|7CDMG|aMDPS
115	22231 21132	   	187.20	DCR|3VULN|1MDPS|1ASPD|1CDMG	1RPLT|289VULN|3TLV|4SNIFST|5ASPD|6RCR|7CDMG|aMDPS
116	23231 21142	   	187.20	DCR|3VULN|1MDPS|1ASPD|1CDMG	1RPLT|2ERES|389VULN|4SNIFST|5ASPD|6RCR|7CDMG|aMDPS
117	41313 66211	   	187.13	DCR|2VULN|1MDPS|1ASPD|1DMG|1CDMG|1DUR	1FEWX|2DUR|3ASPD|4DMG|5MDPS|68VULN|7RCR|9RCVC|aCDMG
118	21333 23231	 * 	187.11	DCR|2DMG|1MDPS|1VULN|1AART|1ASPD|1DUR	1RPLT|2DUR|3VULN|4MLV|5MDPS|6AART|7aDMG|8ASPD|9RCR
119	21363 21231	   	187.11	DCR|2DMG|1MDPS|1VULN|1AART|1ASPD|1DUR	1RPLT|2DUR|3VULN|4aDMG|5MDPS|6AART|7MLV|8ASPD|9RCR
120	21363 25531	   	187.11	DCR|2DMG|1MDPS|1VULN|1AART|1ASPD|1DUR	1RPLT|2DUR|3VULN|4aDMG|5MDPS|6AART|7ASPD|8MLV|9RCR
121	31134 33132	   	187.03	DCR|4VULN|1MDPS|2DMG	19ERES|2479VULN|3FEWX|5MDPS|6CGEN|89DMG|9BPWR|aRCR
122	21363 24231	   	187.01	DCR|2DMG|1MDPS|1VULN|1AART|1ASPD|1DUR	1RPLT|2DUR|3VULN|4aDMG|5MDPS|6AART|7ERES|8ASPD|9RCR
123	31451 43132	   	186.93	DCR|4VULN|1MDPS|2DMG	19ERES|2679VULN|3MDPS|4CGEN|5DUST|89DMG|9BPWR|aRCR
124	31116 22263	 * 	186.92	DCR|3VULN|1MDPS|1ASPD|1DMG	15ERES|267VULN|3FEWX|4DMG|8RCR|9ASPD|aMDPS
125	41312 42512	   	186.38	DCR|2VULN|1ASPD|1DMG|1CDMG|1AAC|1DUR	1FEWX|2DUR|3ASPD|4DMG|5AAC|69VULN|7RCR|8RMIN|aCDMG
126	41313 66231	   	186.38	DCR|2VULN|1MDPS|1ASPD|1DMG|1CDMG|1DUR	1FEWX|2DUR|3ASPD|4DMG|5MDPS|68VULN|7RCR|9DMSP|aCDMG
127	22631 21221	 * 	186.31	DCR|2VULN|3ZMB|1ASPD|1CDMG	1RPLT|29VULN|3AME|49SNIFST|5ASPD|6RCR|7CDMG|89aZMB|9BPWR
128	22123 44362	   	186.29	DCR|2VULN|1MDPS|2ASPD|1AART|1ZMB	1RPLT|27VULN|37ASPD|467BEXP|5MDPS|7BPWR|8AART|9RCR|aZMB
129	41312 42112	   	186.28	DCR|2VULN|1ASPD|1DMG|1CDMG|1AAC|1DUR	1FEWX|2DUR|3ASPD|4DMG|5AAC|69VULN|7RCR|8TLV|aCDMG
130	22631 21156	   	186.25	DCR|3VULN|1ASPD|1CDMG|1DUR	1RPLT|28aVULN|3AME|4SNIFST|5ASPD|6RCR|7CDMG|9DUR
131	23231 25245	 * 	186.24	DCR|2VULN|1AART|1ASPD|3DUR	1RPLT|28ERES|38VULN|4SNIFST|5ASPD|6RCR|789DUR|8BPWR|aAART
132	22231 21221	   	186.21	DCR|2VULN|3ZMB|1ASPD|1CDMG	1RPLT|29VULN|3TLV|49SNIFST|5ASPD|6RCR|7CDMG|89aZMB|9BPWR
133	11261 24224	   	186.16	DCR|3VULN|1ASPD|1DMG|1DUR	1MLV|246VULN|34AME|4BPWR|5FEWX|7ASPD|8RCR|9DUR|aDMG
134	22231 21156	   	186.15	DCR|3VULN|1ASPD|1CDMG|1DUR	1RPLT|28aVULN|3TLV|4SNIFST|5ASPD|6RCR|7CDMG|9DUR
135	23231 21156	   	186.15	DCR|3VULN|1ASPD|1CDMG|1DUR	1RPLT|2ERES|38aVULN|4SNIFST|5ASPD|6RCR|7CDMG|9DUR
136	23231 25122	   	186.15	DCR|3VULN|1ASPD|1CDMG|1DUR	1RPLT|2ERES|389VULN|4SNIFST|5ASPD|6RCR|7DUR|aCDMG
137	23231 25166	   	186.15	DCR|3VULN|1ASPD|1CDMG|1DUR	1RPLT|2ERES|38aVULN|4SNIFST|5ASPD|6RCR|7DUR|9CDMG
138	31261 24224	   	186.06	DCR|3VULN|1ASPD|1DMG|1DUR	1ERES|246VULN|34AME|4BPWR|5FEWX|7ASPD|8RCR|9DUR|aDMG
139	41312 12522	   	186.06	DCR|1AART|1ASPD|1DMG|1NUKE|1CDMG|1AAC|1DUR	1FEWX|2DUR|3ASPD|4DMG|5AAC|6BEXP|7RCR|8AART|9CDMG|aNUKE
140	22331 34335	   	186.02	DCR|2VULN|2AART|1DMG|1DUR	1RPLT|23VULN|4BELT|5DMG|6DUR|7aAART|8LIT|9RCR
141	22332 51342	   	185.96	DCR|3VULN|1AART|1CDMG|1DUR	1RPLT|235VULN|4BELT|5BPWR|6MLV|7AART|8RCR|9DUR|aCDMG
142	22332 61342	   	185.96	DCR|3VULN|1AART|1CDMG|1DUR	1RPLT|235VULN|4BELT|5BPWR|6AME|7AART|8RCR|9DUR|aCDMG
143	61133 24224	   	185.96	DCR|3VULN|1ASPD|1DMG|1DUR	1CGEN|246VULN|3FEWX|5ERES|7ASPD|8RCR|9DUR|aDMG
144	21322 51244	 * 	185.92	DCR|2VULN|2AART|1ASPD|1DUR	1RPLT|2DUR|3aVULN|4ASPD|5ERES|67AART|8LWND|9RCR
145	13623 42362	   	185.86	DCR|3VULN|1AART|1CDMG|1AAC|1DUR	1MLV|2AAC|3CDMG|469VULN|5DUR|7BEXP|8RCR|aAART
146	13621 45222	   	185.79	DCR|3VULN|1AART|1CDMG|1AAC|1ZMB	1MLV|2AAC|3CDMG|478VULN|5ZMB|6AART|9RCR|aMSLREG
147	13621 45223	   	185.79	DCR|3VULN|1AART|1CDMG|1AAC|1ZMB	1MLV|2AAC|3CDMG|478VULN|5ZMB|6AART|9RCR|aERES
148	21333 23233	   	185.78	DCR|1MDPS|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1RPLT|2DUR|3VULN|4MLV|5MDPS|6AART|7DMG|8ASPD|9RCR|aCDMG
149	21363 21233	   	185.78	DCR|1MDPS|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1RPLT|2DUR|3VULN|4DMG|5MDPS|6AART|7MLV|8ASPD|9RCR|aCDMG
150	21363 25533	   	185.78	DCR|1MDPS|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1RPLT|2DUR|3VULN|4DMG|5MDPS|6AART|7ASPD|8MLV|9RCR|aCDMG
151	23231 25123	   	185.75	DCR|4VULN|1ASPD|1DUR	1RPLT|2ERES|389aVULN|4SNIFST|5ASPD|6RCR|7DUR
152	41312 42316	   	185.71	DCR|2VULN|1ASPD|1DMG|2DUR|1AAC|1ZMB	1FEWX|2aDUR|3ASPD|4DMG|5AAC|69VULN|7RCR|8ZMB
153	41312 42341	   	185.71	DCR|2VULN|1ASPD|1DMG|2DUR|1AAC|1ZMB	1FEWX|29DUR|3ASPD|4DMG|5AAC|6aVULN|7RCR|8ZMB
154	21363 24233	   	185.68	DCR|1MDPS|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1RPLT|2DUR|3VULN|4DMG|5MDPS|6AART|7ERES|8ASPD|9RCR|aCDMG
155	21363 25123	 * 	185.60	DCR|2AART|1MDPS|1VULN|1ASPD|1DMG|1DUR	1RPLT|2DUR|3VULN|4DMG|5MDPS|6aAART|7ASPD|8BELT|9RCR
