0	Index      	 *	Score 	Summary	Detail	
1	53123 11135	 * 	196.22	DCR|3VULN|3DMG|3DUR|1CDMG	124DUR|379LIT|579DMG|679VULN|79BPWR|8RCR|aCDMG
53	21712 28224	   	173.83	DCR|2VULN|1AART|1DMG|2ZMB|1CDMG	1aZMB|2MBVNT|3BEXP|4aVULN|5CDMG|6AART|7RCR|8DMG|9aFEWX|aBPWR
54	24533 23125	   	173.78	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1ZMB|2ERES|3AART|4DUST|5LEGI|6RCR|7DMG|8CDMG|9aVULN
55	41123 51322	 * 	173.67	DCR|3DMG|1AART|1VULN|2ZMB|1DUR	1VULN|28ZMB|3LHND|4DUR|567DMG|9AART|aRCR
56	51113 51322	   	173.67	DCR|3DMG|1AART|1VULN|2ZMB|1DUR	1DUR|28ZMB|3LHND|4VULN|567DMG|9AART|aRCR
57	21712 28284	   	173.63	DCR|2VULN|1AART|1DMG|2ZMB|1CDMG	1aZMB|2MBVNT|3BEXP|4aVULN|5CDMG|6AART|7RCR|8DMG|9aDUST|aBPWR
58	21113 83433	   	173.58	DCR|3DMG|1AART|1VULN|1ZMB	1ZMB|2MBVNT|3LHND|4VULN|59aDMG|6RCR|7AART|8LIT
59	24523 63311	 * 	173.46	DCR|3VULN|3ZMB|1AART|1SELL	19aZMB|2ERES|3AART|4DMSP|5SELL|6RCR|79aFEWX|89aVULN|9aBPWR
60	21233 36281	   	172.97	DCR|2VULN|2DMG|1AART|2ZMB	18ZMB|2MBVNT|37LIT|48VULN|58DMG|6AART|8BPWR|9RCR|aLHND
61	21233 36283	   	172.97	DCR|2VULN|2DMG|1AART|2ZMB	18ZMB|2MBVNT|37LIT|48VULN|58DMG|6AART|8BPWR|9RCR|aDMSP
62	21233 36285	   	172.97	DCR|2VULN|2DMG|1AART|2ZMB	18ZMB|2MBVNT|37LIT|48VULN|58DMG|6AART|8BPWR|9RCR|aMLV
63	21233 36288	   	172.97	DCR|2VULN|2DMG|1AART|2ZMB	18ZMB|2MBVNT|37LIT|48VULN|58DMG|6AART|8BPWR|9RCR|aRPLT
64	21233 36282	   	172.87	DCR|2VULN|2DMG|1AART|2ZMB	18ZMB|2MBVNT|37LIT|48VULN|58DMG|6AART|8BPWR|9RCR|aERES
65	24313 63311	 * 	172.86	DCR|3VULN|3ZMB|1AART|1SELL	19aZMB|2ERES|3DMSP|4AART|5SELL|6RCR|79aFEWX|89aVULN|9aBPWR
66	24316 15311	 * 	172.63	DCR|2AART|2VULN|2CDMG|2ZMB	1aZMB|2ERES|3DMSP|46AART|5aVULN|7RCR|8aCDMG|9MBVNT|aBPWR
67	21113 86152	   	172.38	DCR|3VULN|1AART|1DMG|1ZMB	1ZMB|2MBVNT|3LHND|478VULN|5DMG|6RCR|9AART|aLWND
68	21113 86153	   	172.38	DCR|3VULN|1AART|1DMG|1ZMB	1ZMB|2MBVNT|3LHND|478VULN|5DMG|6RCR|9AART|aBELT
69	21113 86154	   	172.38	DCR|3VULN|1AART|1DMG|1ZMB	1ZMB|2MBVNT|3LHND|478VULN|5DMG|6RCR|9AART|aCGEN
70	41333 65311	   	171.88	DCR|3VULN|1AART|2CDMG|1ZMB	15aVULN|2ZMB|3aCGEN|4RCVC|6AART|7RCR|8aCDMG|9MBVNT|aBPWR
71	21113 86126	   	171.78	DCR|3VULN|1AART|1DMG|1ZMB	1ZMB|2MBVNT|3LHND|478VULN|5DMG|6RCR|9BEXP|aAART
72	12352 16315	 * 	171.76	DCR|2VULN|2DMG|1AART|2ASPD	19CGEN|2AART|3RMIN|4RPLT|57DMG|69ASPD|89VULN|9BPWR|aRCR
73	43153 11315	   	171.76	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	16VULN|2DUR|3BEXP|4ZMB|57DMG|8RPLT|9AART|aRCR
74	41123 23425	 * 	171.62	DCR|2VULN|2AART|1DMG|1ZMB|1DUR	19VULN|2ZMB|3LHND|4DUR|5DMG|6BEXP|7aAART|8RCR
75	51113 23425	   	171.62	DCR|2VULN|2AART|1DMG|1ZMB|1DUR	1DUR|2ZMB|3LHND|49VULN|5DMG|6BEXP|7aAART|8RCR
76	51123 13425	   	171.62	DCR|2VULN|2AART|1DMG|1ZMB|1DUR	1DUR|2ZMB|3LHND|4BEXP|5DMG|69VULN|7aAART|8RCR
77	21113 83286	   	171.58	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1ZMB|2MBVNT|3LHND|4aVULN|5DMG|6RCR|7AART|8CDMG|9RMIN
78	21113 83432	   	171.58	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1ZMB|2MBVNT|3LHND|4VULN|59DMG|6RCR|7AART|8LIT|aCDMG
79	21113 83236	   	171.48	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1ZMB|2MBVNT|3LHND|4aVULN|5DMG|6RCR|7AART|8CDMG|9ERES
80	21613 83236	   	171.48	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1ZMB|2MBVNT|3LWND|4aVULN|5DMG|6RCR|7AART|8CDMG|9ERES
81	12322 23123	   	170.61	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1CGEN|2AART|3RMIN|49VULN|5BEXP|6RCR|7DMG|8CDMG|aDUR
82	12322 23126	   	170.61	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1CGEN|2AART|3RMIN|49VULN|5BEXP|6RCR|7DMG|8CDMG|aASPD
83	12324 23123	   	170.61	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1CGEN|2AART|3RMIN|49VULN|5FEWX|6RCR|7DMG|8CDMG|aDUR
84	12324 23126	   	170.61	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1CGEN|2AART|3RMIN|49VULN|5FEWX|6RCR|7DMG|8CDMG|aASPD
85	12322 26336	   	170.61	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1CGEN|2AART|3RMIN|47VULN|5BEXP|6RCR|8ASPD|9CDMG|aDMG
86	12324 26336	   	170.61	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1CGEN|2AART|3RMIN|47VULN|5FEWX|6RCR|8ASPD|9CDMG|aDMG
87	12326 23123	   	170.51	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1CGEN|2AART|3RMIN|49VULN|5DUST|6RCR|7DMG|8CDMG|aDUR
88	12326 23126	   	170.51	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1CGEN|2AART|3RMIN|49VULN|5DUST|6RCR|7DMG|8CDMG|aASPD
89	12326 23163	   	170.51	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1CGEN|2AART|3RMIN|4VULN|5DUST|6RCR|79DMG|8CDMG|aDUR
90	12326 23166	   	170.51	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	1CGEN|2AART|3RMIN|4VULN|5DUST|6RCR|79DMG|8CDMG|aASPD
91	21432 86147	 * 	170.28	DCR|2DMG|1AART|1VULN|1FLTHEA|1ZMB	1ZMB|2MBVNT|3ERES|4RCVC|5AART|69DMG|7RCR|8VULN|aFLTHEA
92	21374 84141	   	170.22	DCR|3VULN|2DMG|2ZMB	1aZMB|2MBVNT|3CGEN|4aDMG|5BEXP|6RCR|7MGNSTR|89aVULN|aBPWR
93	41432 23334	   	169.88	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	18VULN|2ZMB|3RPLT|47LIT|5DMG|6RCR|9CDMG|aAART
94	21712 28236	   	169.68	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1ZMB|2MBVNT|3BEXP|4aVULN|5CDMG|6AART|7RCR|8DMG|9ERES
95	22225 65321	 * 	169.62	DCR|3VULN|1AART|2ZMB|1CDMG	1aZMB|2DMSP|35aVULN|45CGEN|5aBPWR|6AART|7RCR|8CDMG|9aLHND
96	41333 65321	   	169.52	DCR|3VULN|1AART|2ZMB|1CDMG	15aVULN|2aZMB|3CGEN|4RCVC|6AART|7RCR|8CDMG|9aLHND|aBPWR
97	22223 65321	   	169.52	DCR|3VULN|1AART|2ZMB|1CDMG	1aZMB|2DMSP|35aVULN|4CGEN|6AART|7RCR|8CDMG|9aLHND|aBPWR
98	22223 65423	 * 	169.42	DCR|3VULN|1AART|2ZMB|2ASPD	1aZMB|2DMSP|35aVULN|4CGEN|6AART|7RCR|8LIT|9aASPD|aBPWR
99	46312 15332	   	169.40	DCR|2AART|2VULN|1CDMG|1ZMB|1ASPD	12VULN|3DMSP|46AART|5LWND|7RCR|8CDMG|9ZMB|aASPD
100	21862 44236	   	169.40	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1ZMB|2MBVNT|3DUST|4RCR|5CDMG|6aVULN|7AART|8DMG|9ERES
101	21113 86117	   	169.17	DCR|3VULN|1DMG|1CDMG|1ZMB|1ASPD	1ZMB|2MBVNT|3LHND|478VULN|5DMG|6RCR|9CDMG|aASPD
102	21713 86111	   	169.17	DCR|3VULN|1DMG|1CDMG|1ZMB|1DUR	1ZMB|2MBVNT|3BEXP|478VULN|5DMG|6RCR|9CDMG|aDUR
103	21813 86111	   	169.07	DCR|3VULN|1DMG|1CDMG|1ZMB|1DUR	1ZMB|2MBVNT|3DUST|478VULN|5DMG|6RCR|9CDMG|aDUR
104	24533 23342	 * 	169.00	DCR|2AART|2DMG|3ZMB	189ZMB|2ERES|3aAART|49DUST|5LEGI|6RCR|79DMG|9BPWR
105	21713 84326	   	168.96	DCR|2DMG|1AART|1VULN|2DUR|1ZMB	1ZMB|2MBVNT|3BEXP|4VULN|58DMG|6RCR|7aDUR|9AART
106	44231 14233	   	168.72	DCR|3VULN|3DMG	139VULN|2BELT|39BPWR|4MLV|59FEWX|69aDMG|7RCR|8RMIN
107	44232 14233	   	168.52	DCR|3VULN|3DMG	139VULN|2BELT|39BPWR|4MLV|59DUST|69aDMG|7RCR|8RMIN
108	52233 36216	 * 	168.52	DCR|3DMG|1AART|3DUR|1CDMG	179DUR|2BEXP|379LIT|4RMIN|579DMG|6AART|79BPWR|8RCR|aCDMG
109	21562 47444	 * 	168.32	ACR|2VULN|3ZMB|1AART|3DUR	13aZMB|2MBVNT|4RCR|5DMSP|6aVULN|78aDUR|9AART|aBPWR
110	21862 42416	   	168.30	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1ZMB|2MBVNT|3DUST|4RCR|5CDMG|67VULN|8CGEN|9AART|aDMG
111	21862 42216	   	168.20	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1ZMB|2MBVNT|3DUST|4RCR|5CDMG|67VULN|8ERES|9AART|aDMG
112	21113 86226	   	168.18	DCR|2VULN|2AART|1DMG|1ZMB	1ZMB|2MBVNT|3LHND|47VULN|5DMG|6RCR|8BEXP|9aAART
113	21113 86426	   	168.18	DCR|2VULN|2AART|1DMG|1ZMB	1ZMB|2MBVNT|3LHND|47VULN|5DMG|6RCR|8FEWX|9aAART
114	21863 54141	 * 	168.14	ACR|3VULN|2DMG|2ZMB	1aZMB|2MBVNT|3DUST|4RCR|5aDMG|6CGEN|7MGNSTR|89aVULN|aBPWR
115	21713 84162	   	168.12	DCR|2VULN|1AART|1DMG|2ZMB|1DUR	1aZMB|2MBVNT|3BEXP|49VULN|5DMG|6RCR|7DUR|8AART
116	41432 22133	   	168.12	DCR|2VULN|2DMG|2ZMB|1CDMG	19VULN|2aZMB|3RPLT|4LIT|58DMG|6RCR|7CDMG
117	21114 87121	 * 	168.12	DCR|2VULN|2DMG|2ZMB|1FLTHEA	1aZMB|2MBVNT|35LHND|4aVULN|6RCR|7FLTHEA|8TLV|9aDMG|aBPWR
118	21114 87621	   	168.12	DCR|2VULN|2DMG|2ZMB|1FLTHEA	1aZMB|2MBVNT|35LHND|4aVULN|6RCR|7FLTHEA|8ERES|9aDMG|aBPWR
119	21813 84162	   	168.02	DCR|2VULN|1AART|1DMG|2ZMB|1DUR	1aZMB|2MBVNT|3DUST|49VULN|5DMG|6RCR|7DUR|8AART
120	21362 86142	 * 	167.97	DCR|2AART|3ZMB|1VULN|1DMG	149ZMB|2MBVNT|3CGEN|5aAART|6DMG|7RCR|8VULN
121	21522 86142	   	167.97	DCR|2AART|3ZMB|1VULN|1DMG	139ZMB|2MBVNT|4CGEN|5aAART|6DMG|7RCR|8VULN
122	12321 23364	   	167.97	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1CGEN|2AART|3RMIN|49VULN|5LWND|6RCR|7DMG|8ZMB|aDUR
123	12322 23364	   	167.97	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1CGEN|2AART|3RMIN|49VULN|5BEXP|6RCR|7DMG|8ZMB|aDUR
124	12324 23364	   	167.97	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1CGEN|2AART|3RMIN|49VULN|5FEWX|6RCR|7DMG|8ZMB|aDUR
125	12326 23324	   	167.87	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1CGEN|2AART|3RMIN|4VULN|5DUST|6RCR|79DMG|8ZMB|aDUR
126	12326 23364	   	167.87	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1CGEN|2AART|3RMIN|49VULN|5DUST|6RCR|7DMG|8ZMB|aDUR
127	11372 35316	 * 	167.76	DCR|2AART|2DMG|2VULN	139CGEN|2MBVNT|49DMG|58AART|69VULN|7RPLT|9BPWR|aRCR
128	11472 35316	   	167.76	DCR|2AART|2DMG|2VULN	139CGEN|2MBVNT|39BPWR|49DMG|58AART|69VULN|7RPLT|aRCR
129	41123 52413	   	167.66	DCR|3DMG|2VULN|2ZMB|1DUR	18VULN|28ZMB|3LHND|4DUR|568DMG|7BELT|8BPWR|9CGEN|aRCR
130	21611 83243	 * 	167.62	DCR|4VULN|1AART|1ZMB	1ZMB|2MBVNT|3LWND|489aVULN|5CGEN|6RCR|7AART
131	21672 83243	   	167.62	DCR|4VULN|1AART|1ZMB	1ZMB|2MBVNT|3LWND|4CGEN|589aVULN|6RCR|7AART
132	21713 84322	   	167.52	DCR|2DMG|1AART|1VULN|2ZMB|1DUR	1aZMB|2MBVNT|3BEXP|4VULN|58DMG|6RCR|7DUR|9AART
133	21713 86422	   	167.52	DCR|2VULN|1AART|1DMG|2ZMB|1DUR	1aZMB|2MBVNT|3BEXP|47VULN|5DMG|6RCR|8DUR|9AART
134	21462 86143	   	167.42	DCR|2DMG|1AART|1VULN|2ZMB|1ASPD	14ZMB|2MBVNT|3ERES|5AART|69DMG|7RCR|8VULN|aASPD
135	22253 65321	   	167.40	DCR|2VULN|3ZMB|1AART|1CDMG	14aZMB|2DMSP|3aVULN|5CGEN|6AART|7RCR|8CDMG|9aLHND|aBPWR
136	21711 74344	   	167.38	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1ZMB|2MBVNT|3BEXP|4VULN|5CGEN|6AART|79DMG|8RCR|aCDMG
137	21113 83245	   	167.24	DCR|1AART|1VULN|2CDMG|1DMG|1ZMB|1DUR	1ZMB|2MBVNT|3LHND|4VULN|5DMG|6RCR|7AART|89CDMG|aDUR
138	21613 83245	   	167.24	DCR|1AART|1VULN|2CDMG|1DMG|1ZMB|1DUR	1ZMB|2MBVNT|3LWND|4VULN|5DMG|6RCR|7AART|89CDMG|aDUR
139	21562 32533	 * 	167.22	ACR|3DMG|3ZMB|1AART	139ZMB|2MBVNT|4RCR|5DMSP|689DMG|7RCVC|9BPWR|aAART
140	24532 24223	   	167.17	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1ZMB|2ERES|3AART|4DUST|5FEWX|6RCR|7DUR|89VULN|aDMG
141	35131 62341	 * 	167.14	DCR|1AART|1VULN|1DMG|1FLTHEA|1CDMG|1ZMB	12RMIN|3ZMB|4FLTHEA|5DMG|6RCR|7VULN|8AART|9CDMG|aRCVC
142	35131 62343	   	167.14	DCR|1AART|1VULN|1DMG|1CDMG|1FLTHEA|1ZMB	12RMIN|3ZMB|4FLTHEA|5DMG|6RCR|7VULN|8AART|9CDMG|aCGEN
143	21562 21821	 * 	167.12	ACR|2VULN|3ZMB|1AART|1CDMG	13aZMB|2MBVNT|4RCR|5DMSP|6CDMG|7AART|8aVULN|9aCGEN|aBPWR
144	21562 21844	   	167.12	ACR|2VULN|3ZMB|1AART|1CDMG	13aZMB|2MBVNT|4RCR|5DMSP|6CDMG|7AART|8aVULN|9aLWND|aBPWR
145	21863 16111	 * 	167.09	ACR|3VULN|1DMG|1CDMG|1ZMB|1DUR	1ZMB|2MBVNT|3DUST|4RCR|5DMG|678VULN|9CDMG|aDUR
146	35131 62342	   	167.04	DCR|1AART|1VULN|1DMG|1FLTHEA|1CDMG|1ZMB	12RMIN|3ZMB|4FLTHEA|5DMG|6RCR|7VULN|8AART|9CDMG|aNUKE
147	53124 11134	   	166.91	DCR|3VULN|2DMG|3DUR	124DUR|37aLIT|57CGEN|67aVULN|7aBPWR|8RCR|9aDMG
148	21376 84431	   	166.80	DCR|2VULN|2DMG|2ZMB|2DUR	1aZMB|2MBVNT|3CGEN|4aDMG|58DUR|6RCR|7MGNSTR|9aVULN|aBPWR
149	53123 12131	   	166.71	DCR|3DMG|2VULN|3DUR	124DUR|39LIT|579DMG|69VULN|8RCR|9BPWR|aRPLT
150	53123 12133	   	166.71	DCR|3DMG|2VULN|3DUR	124DUR|39LIT|579DMG|69VULN|8RCR|9BPWR|aDMSP
151	53123 12135	   	166.71	DCR|3DMG|2VULN|3DUR	124DUR|39LIT|579DMG|69VULN|8RCR|9BPWR|aRCVC
152	55423 12131	   	166.71	DCR|3DMG|2VULN|3DUR	134DUR|29LIT|579DMG|69VULN|8RCR|9BPWR|aRPLT
153	55423 12133	   	166.71	DCR|3DMG|2VULN|3DUR	134DUR|29LIT|579DMG|69VULN|8RCR|9BPWR|aDMSP
154	53121 11134	   	166.71	DCR|3VULN|2DMG|3DUR	124DUR|37aLIT|57TLV|67aVULN|7aBPWR|8RCR|9aDMG
155	53123 11121	   	166.71	DCR|3DMG|2VULN|3DUR	124DUR|37LIT|579DMG|67VULN|7BPWR|8RCR|aRPLT
156	53123 11123	   	166.71	DCR|3DMG|2VULN|3DUR	124DUR|37LIT|579DMG|67VULN|7BPWR|8RCR|aDMSP
157	53123 11125	   	166.71	DCR|3DMG|2VULN|3DUR	124DUR|37LIT|579DMG|67VULN|7BPWR|8RCR|aRCVC
158	55423 11121	   	166.71	DCR|3DMG|2VULN|3DUR	134DUR|27LIT|579DMG|67VULN|7BPWR|8RCR|aRPLT
159	55423 11123	   	166.71	DCR|3DMG|2VULN|3DUR	134DUR|27LIT|579DMG|67VULN|7BPWR|8RCR|aDMSP
160	12322 24263	   	166.66	DCR|4VULN|1AART|1DUR	1CGEN|2AART|3RMIN|489aVULN|5BEXP|6RCR|7DUR
161	12324 24263	   	166.66	DCR|4VULN|1AART|1DUR	1CGEN|2AART|3RMIN|489aVULN|5FEWX|6RCR|7DUR
