0	Index      	 *	Score 	Summary	Detail	
1	11123 46262	 * 	191.64	DCR|2VULN|2DMG|3ZMB|1AART|1DUR	169ZMB|2DUR|37DMG|46VULN|5AART|6BPWR|8RPLT|aRCR
22	11325 56312	   	175.51	DCR|2DMG|1AART|1VULN|2ZMB|2DUR	18ZMB|28DUR|3RCVC|4RMIN|5AART|6RCR|78DMG|8BPWR|9VULN|aCGEN
23	11325 56313	   	175.51	DCR|2DMG|1AART|1VULN|2ZMB|2DUR	18ZMB|28DUR|3RCVC|4RMIN|5AART|6RCR|78DMG|8BPWR|9VULN|aLWND
24	15153 22343	 * 	174.89	DCR|2AART|3CDMG|1VULN|1DMG|1ZMB	1ZMB|269CDMG|3MLV|45AART|7DMG|8RCR|aVULN
25	31263 16151	   	174.64	DCR|3VULN|2DMG|2DUR|1ASPD	1LHND|29DUR|3FEWX|4LIT|59DMG|6RCR|7ASPD|89aVULN|9BPWR
26	13123 15223	   	174.42	DCR|2VULN|2DMG|1AART|1ZMB	1ZMB|2LWND|39DMG|4aVULN|5AART|6RMIN|7RCR|8CGEN
27	13123 15351	 * 	174.33	DCR|2VULN|1AART|1DMG|2ZMB|1CDMG	1aZMB|2LWND|3DMG|49VULN|5AART|6RMIN|7RCR|8CDMG
28	13123 25123	   	174.32	DCR|2VULN|2DMG|1AART|1ZMB	1ZMB|2LWND|39DMG|4aVULN|5AART|6TLV|7RCR|8RMIN
29	13123 35123	   	174.32	DCR|2VULN|2DMG|1AART|1ZMB	1ZMB|2LWND|39DMG|4aVULN|5AART|6ERES|7RCR|8RMIN
30	16123 15223	   	174.32	DCR|2VULN|2DMG|1AART|1ZMB	1ZMB|2LEGI|39DMG|4aVULN|5AART|6RMIN|7RCR|8CGEN
31	13123 35421	   	174.23	DCR|2VULN|1AART|1DMG|2ZMB|1CDMG	1aZMB|2LWND|3DMG|48VULN|5AART|6ERES|7RCR|9CDMG
32	14123 35421	   	174.23	DCR|2VULN|1AART|1DMG|2ZMB|1CDMG	1aZMB|2BEXP|3DMG|48VULN|5AART|6ERES|7RCR|9CDMG
33	16123 15351	   	174.23	DCR|2VULN|1AART|1DMG|2ZMB|1CDMG	1aZMB|2LEGI|3DMG|49VULN|5AART|6RMIN|7RCR|8CDMG
34	13123 25323	   	174.22	DCR|2VULN|2DMG|1AART|1ZMB	1ZMB|2LWND|39DMG|4aVULN|5AART|6TLV|7RCR|8ERES
35	16123 25123	   	174.22	DCR|2VULN|2DMG|1AART|1ZMB	1ZMB|2LEGI|39DMG|4aVULN|5AART|6TLV|7RCR|8RMIN
36	16123 35123	   	174.22	DCR|2DMG|2VULN|1AART|1ZMB	1ZMB|2LEGI|39DMG|4aVULN|5AART|6ERES|7RCR|8RMIN
37	11123 42165	   	174.17	DCR|2VULN|1AART|1DMG|2ZMB|1CDMG|1DUR	16ZMB|2DUR|3DMG|46VULN|5AART|6BPWR|7CDMG|8RMIN|9LIT|aRCR
38	12213 65411	 * 	174.15	ACR|2VULN|1AART|1DMG|2ZMB|2ASPD	1aZMB|2TLV|3BELT|4RCR|5aVULN|6AART|7CGEN|8DMG|9aASPD|aBPWR
39	16123 35421	   	174.13	DCR|2VULN|1AART|1DMG|2ZMB|1CDMG	1aZMB|2LEGI|3DMG|48VULN|5AART|6ERES|7RCR|9CDMG
40	16123 25323	   	174.12	DCR|2DMG|2VULN|1AART|1ZMB	1ZMB|2LEGI|39DMG|4aVULN|5AART|6TLV|7RCR|8ERES
41	13123 35436	   	174.07	DCR|2VULN|2DMG|1AART|1ZMB|1SELL	1ZMB|2LWND|3aDMG|48VULN|5AART|6ERES|7RCR|9SELL
42	12213 11421	 * 	173.85	ACR|3VULN|1AART|1DMG|2ZMB	18ZMB|2TLV|3BELT|4RCR|568VULN|78LWND|8BPWR|9DMG|aAART
43	12213 23421	   	173.85	ACR|3VULN|1AART|1DMG|2ZMB	18ZMB|2TLV|3BELT|4RCR|578VULN|68LWND|8BPWR|9DMG|aAART
44	12216 13421	   	173.85	ACR|3VULN|1AART|1DMG|2ZMB	18ZMB|2TLV|3BELT|4RCR|58BEXP|678VULN|8BPWR|9DMG|aAART
45	12213 16421	   	173.65	ACR|3VULN|1AART|1DMG|2ZMB	18ZMB|2TLV|3BELT|4RCR|568VULN|78DUST|8BPWR|9DMG|aAART
46	32633 23526	 * 	173.53	DCR|3DMG|2AART|1VULN	13LHND|239DMG|3BPWR|4RMIN|5VULN|6RCR|7DUST|8aAART
47	32133 23526	   	173.43	DCR|3DMG|2AART|1VULN	1LHND|239DMG|4RMIN|5VULN|6RCR|7DUST|8aAART
48	32633 22522	   	173.18	DCR|3DMG|1AART|1VULN|1ZMB	13LHND|239DMG|3BPWR|4RMIN|5VULN|6RCR|7FEWX|8AART|aZMB
49	15113 42233	 * 	173.13	ACR|2VULN|3ZMB|1DMG|2CDMG|1ASPD	168ZMB|28CDMG|3MLV|4LWND|5RCR|78VULN|8BPWR|9ASPD|aDMG
50	15313 42233	   	173.13	ACR|2VULN|3ZMB|1DMG|2CDMG|1ASPD	168ZMB|28CDMG|3LWND|4CGEN|5RCR|78VULN|8BPWR|9ASPD|aDMG
51	32133 22522	   	173.08	DCR|3DMG|1AART|1VULN|1ZMB	1LHND|239DMG|4RMIN|5VULN|6RCR|7FEWX|8AART|aZMB
52	32633 23522	   	173.08	DCR|3DMG|1AART|1VULN|1ZMB	13LHND|239DMG|3BPWR|4RMIN|5VULN|6RCR|7DUST|8AART|aZMB
53	15333 42233	   	173.03	ACR|2VULN|3ZMB|1DMG|2CDMG|1ASPD	168ZMB|28CDMG|3LWND|4ERES|5RCR|78VULN|8BPWR|9ASPD|aDMG
54	32133 23522	   	172.98	DCR|3DMG|1AART|1VULN|1ZMB	1LHND|239DMG|4RMIN|5VULN|6RCR|7DUST|8AART|aZMB
55	32134 25522	   	172.98	DCR|3DMG|1AART|1VULN|1ZMB	1LHND|239DMG|4RMIN|5DUST|6RCR|7VULN|8AART|aZMB
56	11122 66262	   	172.75	DCR|2VULN|3ZMB|1AART|1DMG|1DUR	169ZMB|2DUR|3DMG|45VULN|7AART|8RPLT|aRCR
57	23233 34242	 * 	172.67	ACR|2VULN|2DMG|1AART|2DUR	12BELT|3aDMG|4FEWX|5RCR|6RPLT|7AART|8aVULN|9aDUR|aBPWR
58	11155 21351	   	172.62	DCR|2DMG|1AART|1VULN|3DUR|1ZMB|1ASPD	1ZMB|278DUR|34DMG|5AART|6ASPD|9VULN|aRCR
59	26114 13521	 * 	172.55	ACR|3VULN|1AART|1DMG|2ASPD	1BELT|28MLV|38ASPD|4RCR|5MBVNT|678VULN|8BPWR|9DMG|aAART
60	13123 15463	 * 	172.48	DCR|3VULN|1AART|1DMG|1ZMB	1ZMB|2LWND|3DMG|48aVULN|5AART|6RMIN|7RCR|9CGEN
61	13123 25463	   	172.38	DCR|3VULN|1AART|1DMG|1ZMB	1ZMB|2LWND|3DMG|48aVULN|5AART|6TLV|7RCR|9CGEN
62	13123 35463	   	172.38	DCR|3VULN|1AART|1DMG|1ZMB	1ZMB|2LWND|3DMG|48aVULN|5AART|6ERES|7RCR|9CGEN
63	13123 15413	   	172.38	DCR|3VULN|1AART|1DMG|1ZMB	1ZMB|2LWND|3DMG|48aVULN|5AART|6RMIN|7RCR|9ERES
64	13123 25413	   	172.28	DCR|3VULN|1AART|1DMG|1ZMB	1ZMB|2LWND|3DMG|48aVULN|5AART|6TLV|7RCR|9ERES
65	16123 15413	   	172.28	DCR|3VULN|1AART|1DMG|1ZMB	1ZMB|2LEGI|3DMG|48aVULN|5AART|6RMIN|7RCR|9ERES
66	11123 16351	   	172.22	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1ZMB|2DUR|3DMG|479VULN|5AART|6RMIN|8RPLT|aRCR
67	16123 25413	   	172.18	DCR|3VULN|1AART|1DMG|1ZMB	1ZMB|2LEGI|3DMG|48aVULN|5AART|6TLV|7RCR|9ERES
68	22522 32544	 * 	172.10	ACR|2DMG|1AART|2CDMG|3DUR|1ZMB	1BELT|29aDUR|3AART|4ZMB|5RCR|6MBVNT|79DMG|89CDMG|9BPWR
69	12216 12413	 * 	171.32	ACR|3VULN|3ZMB|1DMG|1DUR	178ZMB|2TLV|3BELT|4RCR|578BEXP|678VULN|78BPWR|9DUR|aDMG
70	11325 56332	   	171.10	DCR|3DMG|1AART|2ZMB|2DUR	18ZMB|28DUR|3RCVC|4RMIN|5AART|6RCR|789DMG|8BPWR|aBEXP
71	32633 26225	   	171.02	DCR|3VULN|3DMG	13LHND|238DMG|3BPWR|4RMIN|57aVULN|6RCR|9CGEN
72	32633 26251	   	171.02	DCR|3VULN|3DMG	13LHND|238DMG|3BPWR|4RMIN|579VULN|6RCR|aRPLT
73	32633 26252	   	171.02	DCR|3VULN|3DMG	13LHND|238DMG|3BPWR|4aRMIN|579VULN|6RCR
74	32633 26253	   	171.02	DCR|3VULN|3DMG	13LHND|238DMG|3BPWR|4RMIN|579VULN|6RCR|aFEWX
75	11325 56333	   	171.00	DCR|3DMG|1AART|2ZMB|2DUR	18ZMB|28DUR|3RCVC|4RMIN|5AART|6RCR|789DMG|8BPWR|aDUST
76	32633 23553	   	170.95	DCR|2VULN|2DMG|1AART|1DUR	13LHND|23DMG|3BPWR|4RMIN|5aVULN|6RCR|7DUST|8AART|9DUR
77	32133 24256	   	170.92	DCR|3VULN|3DMG	1LHND|238DMG|4RMIN|59aVULN|6RCR|7DMSP
78	32133 26225	   	170.92	DCR|3VULN|3DMG	1LHND|238DMG|4RMIN|57aVULN|6RCR|9CGEN
79	32133 26245	   	170.92	DCR|3VULN|3DMG	1LHND|238DMG|4RMIN|57aVULN|6RCR|9MLV
80	32133 26251	   	170.92	DCR|3VULN|3DMG	1LHND|238DMG|4RMIN|579VULN|6RCR|aRPLT
81	32133 26252	   	170.92	DCR|3VULN|3DMG	1LHND|238DMG|4aRMIN|579VULN|6RCR
82	32133 26253	   	170.92	DCR|3VULN|3DMG	1LHND|238DMG|4RMIN|579VULN|6RCR|aFEWX
83	32133 26254	   	170.92	DCR|3VULN|3DMG	1LHND|238DMG|4RMIN|579VULN|6RCR|aCGEN
84	32133 26266	   	170.92	DCR|3VULN|3DMG	1LHND|238DMG|4RMIN|57aVULN|6RCR|9RCVC
85	32133 23553	   	170.85	DCR|2VULN|2DMG|1AART|1DUR	1LHND|23DMG|4RMIN|5aVULN|6RCR|7DUST|8AART|9DUR
86	13123 15325	   	170.48	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1ZMB|2LWND|3aDMG|4VULN|5AART|6RMIN|7RCR|8CDMG|9BELT
87	13123 15336	   	170.48	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1ZMB|2LWND|3aDMG|4VULN|5AART|69RMIN|7RCR|8CDMG
88	13123 15353	   	170.48	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1ZMB|2LWND|3DMG|49VULN|5AART|6RMIN|7RCR|8CDMG|aRCVC
89	13123 15355	   	170.48	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1ZMB|2LWND|3DMG|49VULN|5AART|6RMIN|7RCR|8CDMG|aFEWX
90	13123 35422	   	170.38	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1ZMB|2LWND|3DMG|48VULN|5AART|6ERES|7RCR|9CDMG|aMLV
91	13123 35423	   	170.38	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1ZMB|2LWND|3DMG|48VULN|5AART|6ERES|7RCR|9CDMG|aRCVC
92	13123 35425	   	170.38	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1ZMB|2LWND|3DMG|48VULN|5AART|6ERES|7RCR|9CDMG|aFEWX
93	14123 25123	   	170.38	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1ZMB|2BEXP|39DMG|4VULN|5AART|6TLV|7RCR|8RMIN|aCDMG
94	14123 35123	   	170.38	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1ZMB|2BEXP|39DMG|4VULN|5AART|6ERES|7RCR|8RMIN|aCDMG
95	14123 35422	   	170.38	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1ZMB|2BEXP|3DMG|48VULN|5AART|6ERES|7RCR|9CDMG|aMLV
96	16123 15325	   	170.38	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1ZMB|2LEGI|3aDMG|4VULN|5AART|6RMIN|7RCR|8CDMG|9BELT
97	16123 15336	   	170.38	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1ZMB|2LEGI|3aDMG|4VULN|5AART|69RMIN|7RCR|8CDMG
98	16123 15353	   	170.38	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1ZMB|2LEGI|3DMG|49VULN|5AART|6RMIN|7RCR|8CDMG|aRCVC
99	13123 15352	   	170.38	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1ZMB|2LWND|3DMG|49VULN|5AART|6RMIN|7RCR|8CDMG|aTLV
100	32223 24115	 * 	170.33	DCR|2DMG|1AART|1VULN|2CDMG|1DUR	1LHND|2aDMG|3MLV|4VULN|5AART|6aTLV|7DUR|8RCR|9aCDMG|aBPWR
101	32223 34115	   	170.33	DCR|2DMG|1AART|1VULN|2CDMG|1DUR	1LHND|2aDMG|3MLV|4VULN|5AART|6aERES|7DUR|8RCR|9aCDMG|aBPWR
102	32323 23115	   	170.33	DCR|2DMG|1AART|1VULN|2CDMG|1DUR	1LHND|2aDMG|3CGEN|4VULN|5AART|6aTLV|7DUR|8RCR|9aCDMG|aBPWR
103	32323 33115	   	170.33	DCR|2DMG|1AART|1VULN|2CDMG|1DUR	1LHND|2aDMG|3CGEN|4VULN|5AART|6aERES|7DUR|8RCR|9aCDMG|aBPWR
104	15216 21125	   	170.32	DCR|3VULN|2DMG|1CDMG|1ZMB	1ZMB|2CDMG|3RCVC|468VULN|57DMG|9BELT|aRCR
105	12213 63125	 * 	170.29	ACR|4VULN|1AART|2ZMB	19ZMB|2TLV|3BELT|4RCR|589aVULN|6AART|79LIT|9BPWR
106	13123 35326	   	170.28	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1ZMB|2LWND|3aDMG|4VULN|5AART|68ERES|7RCR|9CDMG
107	14123 25413	   	170.28	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1ZMB|2BEXP|3DMG|48VULN|5AART|6TLV|7RCR|9ERES|aCDMG
108	14123 35326	   	170.28	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1ZMB|2BEXP|3aDMG|4VULN|5AART|68ERES|7RCR|9CDMG
109	16123 15352	   	170.28	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1ZMB|2LEGI|3DMG|49VULN|5AART|6RMIN|7RCR|8CDMG|aTLV
110	16123 35422	   	170.28	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1ZMB|2LEGI|3DMG|48VULN|5AART|6ERES|7RCR|9CDMG|aMLV
111	16123 35423	   	170.28	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1ZMB|2LEGI|3DMG|48VULN|5AART|6ERES|7RCR|9CDMG|aRCVC
112	22566 32232	   	170.26	DCR|2VULN|1AART|1DMG|2DUR|1ZMB	16BELT|24DUR|3AART|5ZMB|7RCR|8DMG|9aVULN
113	16123 35326	   	170.18	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1ZMB|2LEGI|3aDMG|4VULN|5AART|68ERES|7RCR|9CDMG
114	26316 13421	   	170.10	ACR|3VULN|1AART|1DMG|1ZMB	1BELT|28MLV|3ZMB|4RCR|58BEXP|678VULN|8BPWR|9DMG|aAART
115	12213 61412	   	170.10	ACR|2VULN|1AART|1DMG|2ASPD|1ZMB	1ZMB|2TLV|3BELT|4RCR|5aVULN|6AART|79ASPD|8DMG
116	26114 12542	 * 	169.96	ACR|4VULN|3ASPD|1DMG	1BELT|278MLV|378ASPD|4RCR|5MBVNT|678aVULN|78BPWR|9DMG
117	22522 21436	   	169.93	ACR|2DMG|1AART|1VULN|1ZMB|1DUR|1ASPD	1BELT|2DUR|3AART|4ZMB|5RCR|6CGEN|7ASPD|8aDMG|9VULN
118	13153 36163	   	169.72	DCR|3DMG|1AART|1VULN|1ZMB|1ASPD	1ZMB|2LWND|347DMG|5VULN|6DLOT|8ASPD|9AART|aRCR
119	32633 22521	   	169.12	DCR|3DMG|1AART|1VULN|1ASPD	13LHND|239DMG|3BPWR|4RMIN|5VULN|6RCR|7FEWX|8AART|aASPD
120	11325 52234	   	169.10	DCR|2DMG|1AART|2ZMB|1CDMG|2DUR	1aZMB|2aDUR|3RCVC|4RMIN|5AART|6RCR|7CDMG|8MGNSTR|9aDMG|aBPWR
121	32133 22521	   	169.02	DCR|3DMG|1AART|1VULN|1ASPD	1LHND|239DMG|4RMIN|5VULN|6RCR|7FEWX|8AART|aASPD
122	32633 23521	   	169.02	DCR|3DMG|1AART|1VULN|1ASPD	13LHND|239DMG|3BPWR|4RMIN|5VULN|6RCR|7DUST|8AART|aASPD
123	32633 21461	 * 	169.01	DCR|3DMG|2VULN|1CDMG	13LHND|238DMG|3BPWR|4RMIN|5aVULN|6RCR|7CGEN|9CDMG
124	32133 23521	   	168.92	DCR|3DMG|1AART|1VULN|1ASPD	1LHND|239DMG|4RMIN|5VULN|6RCR|7DUST|8AART|aASPD
125	32134 25521	   	168.92	DCR|3DMG|1AART|1VULN|1ASPD	1LHND|239DMG|4RMIN|5DUST|6RCR|7VULN|8AART|aASPD
126	32126 65311	   	168.91	DCR|3DMG|2VULN|1CDMG	19LHND|239DMG|4RPLT|5CDMG|6RCR|7aVULN|89CANHEL|9BPWR
127	32133 21461	   	168.91	DCR|3DMG|2VULN|1CDMG	1LHND|238DMG|4RMIN|5aVULN|6RCR|7CGEN|9CDMG
128	32133 25424	   	168.91	DCR|3VULN|2DMG|1CDMG	1LHND|23DMG|4RMIN|58aVULN|6RCR|7RPLT|9CDMG
129	32133 25426	   	168.91	DCR|3DMG|2VULN|1CDMG	1LHND|23aDMG|4RMIN|58VULN|6RCR|7RPLT|9CDMG
130	11625 53331	 * 	168.86	DCR|3ZMB|1AART|1VULN|3DUR|2ASPD	138ZMB|238DUR|38BPWR|4RMIN|5AART|6RCR|78ASPD|9LWND|aVULN
131	11625 53332	 * 	168.86	DCR|3ZMB|1AART|1DMG|3DUR|2ASPD	138ZMB|238DUR|38BPWR|4RMIN|5AART|6RCR|78ASPD|9LWND|aDMG
132	15153 22311	   	168.85	DCR|2AART|1VULN|1DMG|2CDMG|1ZMB	1ZMB|26CDMG|3MLV|45AART|7DMG|8RCR|9RCVC|aVULN
133	15153 32341	   	168.85	DCR|2AART|1VULN|1DMG|2CDMG|1ZMB	1ZMB|29CDMG|36MLV|45AART|7DMG|8RCR|aVULN
134	11625 53321	   	168.76	DCR|3ZMB|1AART|1VULN|3DUR|2ASPD	138ZMB|238DUR|38BPWR|4RMIN|5AART|6RCR|78ASPD|9DUST|aVULN
135	11625 53322	   	168.76	DCR|3ZMB|1AART|1DMG|3DUR|2ASPD	138ZMB|238DUR|38BPWR|4RMIN|5AART|6RCR|78ASPD|9DUST|aDMG
136	15113 42231	 * 	168.72	ACR|3VULN|3ZMB|2CDMG|1ASPD	168ZMB|28CDMG|3MLV|4LWND|5RCR|78aVULN|8BPWR|9ASPD
137	15313 42231	   	168.72	ACR|3VULN|3ZMB|2CDMG|1ASPD	168ZMB|28CDMG|3LWND|4CGEN|5RCR|78aVULN|8BPWR|9ASPD
138	11126 15411	   	168.70	DCR|2VULN|2DMG|1CDMG|1ZMB|1DUR	1ZMB|2DUR|38DMG|4aVULN|5CGEN|6CDMG|7RCR|9ERES
139	15333 42231	   	168.62	ACR|3VULN|3ZMB|2CDMG|1ASPD	168ZMB|28CDMG|3LWND|4ERES|5RCR|78aVULN|8BPWR|9ASPD
140	12216 13462	   	168.49	ACR|4VULN|1AART|2ZMB	18ZMB|2TLV|3BELT|4RCR|58BEXP|678aVULN|8BPWR|9AART
141	12213 16462	   	168.29	ACR|4VULN|1AART|2ZMB	18ZMB|2TLV|3BELT|4RCR|568aVULN|78DUST|8BPWR|9AART
142	22522 32541	   	168.28	ACR|2DMG|1AART|2CDMG|2DUR|1ZMB	1BELT|29DUR|3AART|4ZMB|5RCR|6MBVNT|79DMG|89CDMG|9BPWR|aLWND
143	22522 32542	   	168.28	ACR|2DMG|1AART|2CDMG|2DUR|1ZMB	1BELT|29DUR|3AART|4ZMB|5RCR|6MBVNT|79DMG|89CDMG|9BPWR|aLIT
144	22522 32547	   	168.28	ACR|2DMG|1AART|2CDMG|2DUR|1ZMB	1BELT|29DUR|3AART|4ZMB|5RCR|6MBVNT|79DMG|89CDMG|9BPWR|aMLV
145	22522 32543	   	168.18	ACR|2DMG|1AART|2CDMG|2DUR|1ZMB	1BELT|29DUR|3AART|4ZMB|5RCR|6MBVNT|79DMG|89CDMG|9BPWR|aDUST
146	11353 53225	   	168.10	DCR|3DMG|1AART|2ZMB|2DUR	19ZMB|24DUR|3RCVC|589DMG|6RCR|79LHND|9BPWR|aAART
147	32223 44621	   	168.08	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	16LHND|2DMG|3MLV|46VULN|5AART|6BPWR|7ERES|8RCR|9CDMG|aZMB
148	22522 32548	   	168.04	ACR|2DMG|1AART|2CDMG|2DUR|1ZMB|1SELL	1BELT|29DUR|3AART|4ZMB|5RCR|6MBVNT|79DMG|89CDMG|9BPWR|aSELL
149	11123 14351	   	168.02	DCR|2VULN|2AART|1DMG|1ZMB|1DUR	1ZMB|2DUR|3DMG|49VULN|57AART|6RMIN|8RPLT|aRCR
150	12216 13463	 * 	167.92	ACR|3VULN|3ZMB|1AART	18aZMB|2TLV|3BELT|4RCR|58BEXP|678VULN|8BPWR|9AART
151	32316 21533	   	167.85	DCR|2VULN|2DMG|1AART|1DUR	1LHND|29DMG|3CGEN|4DUST|5AART|6aVULN|7DUR|8RCR
152	33426 21533	   	167.85	DCR|2VULN|2DMG|1AART|1DUR	1LHND|2BEXP|3TLV|49DMG|5AART|6aVULN|7DUR|8RCR
153	33526 21533	   	167.85	DCR|2VULN|2DMG|1AART|1DUR	1LHND|2BEXP|3ERES|49DMG|5AART|6aVULN|7DUR|8RCR
154	36326 21533	   	167.85	DCR|2VULN|2DMG|1AART|1DUR	1LHND|2LWND|3TLV|49DMG|5AART|6aVULN|7DUR|8RCR
155	63116 21533	   	167.85	DCR|2VULN|2DMG|1AART|1DUR	1CGEN|2LWND|39DMG|4DUST|5AART|6aVULN|7DUR|8RCR
156	12355 52313	   	167.82	DCR|2AART|2DMG|1VULN|1ZMB|1ASPD	1ZMB|23TLV|4ASPD|59AART|67DMG|8VULN|aRCR
157	32436 21533	   	167.75	DCR|2VULN|2DMG|1AART|1DUR	1LHND|29DMG|3DUST|4ERES|5AART|6aVULN|7DUR|8RCR
158	12213 16463	   	167.72	ACR|3VULN|3ZMB|1AART	18aZMB|2TLV|3BELT|4RCR|568VULN|78DUST|8BPWR|9AART
159	13126 15234	   	167.38	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1ZMB|2LWND|3DMG|49VULN|5CGEN|6CDMG|7RCR|8NUKE|aAART
160	32112 65236	   	167.36	DCR|2VULN|2DMG|1AART|1CDMG	1LHND|23DMG|4LEGI|5LWND|67VULN|8CDMG|9AART|aRCR
161	11123 43463	   	167.36	DCR|2VULN|1AART|1DMG|2ZMB|1DUR|1ASPD	16ZMB|2DUR|3DMG|46VULN|5AART|6BPWR|7ASPD|8CGEN|9TLV|aRCR
162	12213 61421	   	167.34	ACR|2VULN|1AART|1DMG|2ZMB|1ASPD	1aZMB|2TLV|3BELT|4RCR|5aVULN|6AART|7ASPD|8DMG|9aERES|aBPWR
163	12213 61433	   	167.34	ACR|2VULN|1AART|1DMG|2ZMB|1ASPD	1aZMB|2TLV|3BELT|4RCR|59VULN|6AART|7ASPD|8DMG
164	12621 15234	   	167.28	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1ZMB|2TLV|3LHND|49VULN|5NUKE|6CDMG|7RCR|8DMG|aAART
