0	Index      	 *	Score 	Summary	Detail	
1	22611 11553	 * 	200.87	DCR|3VULN|2DMG|1AART|2CDMG|1DUR	159LWND|249VULN|34CDMG|49BPWR|6DUR|79DMG|8RCR|aAART
14	32635 43164	 * 	190.98	DCR|3VULN|3DMG|2CDMG	19BEXP|27aVULN|3MBVNT|489DMG|59CDMG|6RCR|9BPWR
15	32635 48133	 * 	190.72	DCR|2VULN|2DMG|3CDMG|1AART	19BEXP|2aVULN|3MBVNT|49DMG|589CDMG|6RCR|7AART|9BPWR
16	62431 31163	   	190.62	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB|1DUR	1CGEN|28DMG|3CDMG|4ZMB|5RCR|6DUR|7aVULN|9AART
17	62431 31363	   	188.69	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1CGEN|2DMG|3CDMG|4ZMB|5RCR|6DUR|78aVULN|9AART
18	32635 43318	 * 	188.53	DCR|4VULN|1AART|1DMG|1CDMG	1BEXP|2789VULN|3MBVNT|4DMG|5CDMG|6RCR|aAART
19	46222 12513	   	188.33	ACR|3DMG|2VULN|1AART|1ASPD	1RPLT|2RCR|37CGEN|457DMG|67VULN|7BPWR|8ASPD|9DUST|aAART
20	46322 12423	   	188.23	ACR|3DMG|2VULN|1AART|1DUR	1RPLT|2RCR|37ERES|457DMG|67VULN|7BPWR|8DUR|9CGEN|aAART
21	46421 13313	   	188.23	ACR|3VULN|2DMG|1AART|1ASPD	1RPLT|2RCR|34DMG|578VULN|6ASPD|9LIT|aAART
22	46322 12513	   	188.13	ACR|3DMG|2VULN|1AART|1ASPD	1RPLT|2RCR|37ERES|457DMG|67VULN|7BPWR|8ASPD|9DUST|aAART
23	46222 12322	 * 	188.04	ACR|4VULN|3DMG	1RPLT|2RCR|37CGEN|457DMG|678aVULN|7BPWR|9FEWX
24	46222 12335	   	188.04	ACR|4VULN|3DMG	1RPLT|2RCR|37CGEN|457DMG|678aVULN|7BPWR|9DMSP
25	46322 12335	   	187.84	ACR|4VULN|3DMG	1RPLT|2RCR|37ERES|457DMG|678aVULN|7BPWR|9DMSP
26	46322 12342	   	187.84	ACR|4VULN|3DMG	1RPLT|2RCR|37ERES|457DMG|678aVULN|7BPWR|9FEWX
27	32634 33118	   	187.64	ACR|3VULN|2DMG|1AART|1CDMG	1BEXP|279VULN|3MBVNT|48DMG|5RCR|6CDMG|aAART
28	22612 11516	 * 	186.81	DCR|5VULN|1DMG|2CDMG|1DUR	1LWND|2459aVULN|34CDMG|4BPWR|6DUR|7DMG|8RCR
29	62124 12321	   	186.70	DCR|3VULN|2DMG|1AART|2DUR	1aCGEN|24DMG|38aVULN|5AART|6BELT|7aDUR|9RCR|aBPWR
30	62144 12121	   	186.70	DCR|3VULN|2DMG|1AART|2DUR	1aCGEN|28DMG|34aVULN|5AART|6BELT|7aDUR|9RCR|aBPWR
31	32634 33164	 * 	186.60	ACR|3VULN|3DMG|2CDMG	19BEXP|27aVULN|3MBVNT|489DMG|5RCR|69CDMG|9BPWR
32	32634 38133	 * 	186.34	ACR|2VULN|2DMG|3CDMG|1AART	19BEXP|2aVULN|3MBVNT|49DMG|5RCR|689CDMG|7AART|9BPWR
33	22613 61341	   	185.81	DCR|2VULN|2AART|1DMG|2CDMG|1ASPD|1DUR	1LWND|24VULN|34CDMG|4BPWR|5DMG|68AART|7ASPD|9RCR|aDUR
34	22443 26221	 * 	185.43	ACR|4VULN|1AART|1DMG|2DUR	18LWND|2489VULN|3RCVC|5RCR|6AART|78DUR|8BPWR|aDMG
35	52443 23221	   	185.43	ACR|4VULN|1AART|1DMG|2DUR	18DUR|2489VULN|3RCVC|5RCR|6AART|78LHND|8BPWR|aDMG
36	22613 61242	   	185.02	DCR|2VULN|2DMG|1AART|2CDMG|1ASPD	18LWND|24VULN|34CDMG|4BPWR|5aDMG|6AART|7ASPD|9RCR
37	22613 63142	   	185.02	DCR|2VULN|2DMG|1AART|2CDMG|1ASPD	17LWND|24VULN|34CDMG|4BPWR|5aDMG|6AART|8ASPD|9RCR
38	46222 12325	   	184.94	ACR|3VULN|3DMG|1ZMB	1RPLT|2RCR|37CGEN|457DMG|678VULN|7BPWR|9FEWX|aZMB
39	46222 12332	   	184.94	ACR|3VULN|3DMG|1ZMB	1RPLT|2RCR|37CGEN|457DMG|678VULN|7BPWR|9DMSP|aZMB
40	22612 31551	   	184.83	DCR|4VULN|2DMG|2CDMG	19aLWND|2459VULN|34CDMG|49BPWR|6FEWX|79DMG|8RCR
41	22612 31552	   	184.83	DCR|4VULN|2DMG|2CDMG	19LWND|2459VULN|34CDMG|49BPWR|6FEWX|79DMG|8RCR|aMLV
42	22612 31553	   	184.73	DCR|4VULN|2DMG|2CDMG	19LWND|2459VULN|34CDMG|49BPWR|6FEWX|79DMG|8RCR|aERES
43	46322 12312	   	184.64	ACR|3VULN|3DMG|1ZMB	1RPLT|2RCR|379ERES|457DMG|678VULN|7BPWR|aZMB
44	46221 12161	   	184.37	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1RPLT|2RCR|37CGEN|47DMG|5DMSP|67VULN|7BPWR|8ZMB|9AART|aDUR
45	46321 12161	   	184.17	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1RPLT|2RCR|37ERES|47DMG|5DMSP|67VULN|7BPWR|8ZMB|9AART|aDUR
46	32634 33318	 * 	184.15	ACR|4VULN|1AART|1DMG|1CDMG	1BEXP|2789VULN|3MBVNT|4DMG|5RCR|6CDMG|aAART
47	62432 33433	   	183.27	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	17CGEN|25DMG|3CDMG|4ZMB|6aVULN|8RCR|9AART
48	62144 12321	   	183.21	DCR|4VULN|1AART|1DMG|2DUR	1aCGEN|2DMG|348aVULN|5AART|6BELT|7aDUR|9RCR|aBPWR
49	22612 11523	   	183.08	DCR|3VULN|1AART|1DMG|2CDMG|1DUR	1LWND|245VULN|34CDMG|4BPWR|6DUR|7DMG|8RCR|9FEWX|aAART
50	52611 11523	   	183.08	DCR|3VULN|1AART|1DMG|2CDMG|1DUR	1DUR|246VULN|34CDMG|4BPWR|5LWND|7DMG|8RCR|9FEWX|aAART
51	22612 11533	   	182.98	DCR|3VULN|1AART|1DMG|2CDMG|1DUR	1LWND|245VULN|34CDMG|4BPWR|6DUR|7DMG|8RCR|9DUST|aAART
52	52611 11533	   	182.98	DCR|3VULN|1AART|1DMG|2CDMG|1DUR	1DUR|246VULN|34CDMG|4BPWR|5LWND|7DMG|8RCR|9DUST|aAART
53	46421 11313	   	182.96	ACR|3VULN|2DMG|1ZMB|1ASPD|1DUR	1RPLT|2RCR|34DMG|589VULN|6ASPD|7ZMB|aDUR
54	46421 13113	   	182.96	ACR|3VULN|2DMG|1ZMB|1ASPD|1DUR	1RPLT|2RCR|34DMG|579VULN|6ASPD|8ZMB|aDUR
55	62431 31116	   	182.48	ACR|3VULN|2DMG|1CDMG|1ZMB|1DUR	1CGEN|28DMG|3CDMG|4ZMB|5RCR|6DUR|79aVULN
56	32635 43363	   	182.27	DCR|3VULN|2DMG|2CDMG|1DUR	19BEXP|278VULN|3MBVNT|49DMG|59CDMG|6RCR|9BPWR|aDUR
57	46421 11233	   	182.24	ACR|3DMG|1AART|1VULN|1ZMB|1ASPD	1RPLT|2RCR|34aDMG|5VULN|6ASPD|7ZMB|8FEWX|9AART
58	46423 11333	   	182.24	ACR|3DMG|1AART|1VULN|1ZMB|1ASPD	1RPLT|2RCR|34aDMG|5BEXP|6ASPD|7ZMB|8VULN|9AART
59	46221 12353	   	182.09	ACR|3VULN|2DMG|1AART	1RPLT|2RCR|37CGEN|47DMG|5DMSP|678VULN|7BPWR|9AART|aFEWX
60	46221 12352	   	181.99	ACR|3VULN|2DMG|1AART	1RPLT|2RCR|37CGEN|47DMG|5DMSP|678VULN|7BPWR|9AART|aERES
61	46321 12352	   	181.89	ACR|3VULN|2DMG|1AART	1RPLT|2RCR|37ERES|47DMG|5DMSP|678VULN|7BPWR|9AART|aCGEN
62	46321 12353	   	181.89	ACR|3VULN|2DMG|1AART	1RPLT|2RCR|37ERES|47DMG|5DMSP|678VULN|7BPWR|9AART|aFEWX
63	46421 11113	   	181.54	ACR|3DMG|1AART|1VULN|1ZMB|1ASPD	1RPLT|2RCR|348DMG|5VULN|6ASPD|7ZMB|9DUST|aAART
64	46221 12313	   	181.49	ACR|3VULN|2DMG|1AART	1RPLT|2RCR|37CGEN|47DMG|5DMSP|678VULN|7BPWR|9LIT|aAART
65	46322 12123	   	181.29	ACR|3DMG|2VULN|1AART	1RPLT|2RCR|37ERES|457DMG|67VULN|7BPWR|8FEWX|9CGEN|aAART
66	46222 12613	   	181.29	ACR|3DMG|2VULN|1AART	1RPLT|2RCR|37CGEN|457DMG|67VULN|7BPWR|8ERES|9DUST|aAART
67	46321 12313	   	181.29	ACR|3VULN|2DMG|1AART	1RPLT|2RCR|37ERES|47DMG|5DMSP|678VULN|7BPWR|9LIT|aAART
68	46421 21123	   	181.29	ACR|3DMG|2VULN|1AART	1RPLT|2RCR|346DMG|56VULN|6BPWR|7FEWX|8ERES|9CGEN|aAART
69	46421 21313	   	181.29	ACR|3DMG|2VULN|1AART	1RPLT|2RCR|346DMG|56VULN|6BPWR|78FEWX|9DUST|aAART
70	46421 22133	   	181.29	ACR|3DMG|2VULN|1AART	1RPLT|2RCR|346DMG|56VULN|6BPWR|79LHND|8ERES|aAART
71	46421 23123	   	181.29	ACR|3DMG|2VULN|1AART	1RPLT|2RCR|346DMG|56VULN|6BPWR|7BEXP|8ERES|9CGEN|aAART
72	46322 12223	   	181.19	ACR|3DMG|2VULN|1AART	1RPLT|2RCR|37ERES|457DMG|67VULN|7BPWR|8DUST|9CGEN|aAART
73	46322 13633	   	181.19	ACR|3DMG|2VULN|1AART	1RPLT|2RCR|39ERES|459DMG|69VULN|7DLOT|8RMIN|9BPWR|aAART
74	46421 23321	   	181.14	ACR|3DMG|2VULN|1AART|1SELL	1RPLT|2RCR|346DMG|56VULN|6BPWR|7BEXP|8FEWX|9SELL|aAART
75	46222 12532	   	180.88	ACR|3VULN|3DMG|1ASPD	1RPLT|2RCR|37CGEN|457DMG|67aVULN|7BPWR|8ASPD|9RMIN
76	46222 12321	   	180.88	ACR|3VULN|3DMG|1DUR	1RPLT|2RCR|37CGEN|457DMG|678VULN|7BPWR|9FEWX|aDUR
77	46222 12314	   	180.78	ACR|3VULN|3DMG|1ASPD	1RPLT|2RCR|37CGEN|457DMG|678VULN|7BPWR|9ERES|aASPD
78	46222 12361	   	180.78	ACR|3VULN|3DMG|1ASPD	1RPLT|2RCR|37CGEN|457DMG|678VULN|7BPWR|9ASPD|aTLV
79	46222 12362	   	180.78	ACR|3VULN|3DMG|1ASPD	1RPLT|2RCR|37CGEN|457DMG|678VULN|7BPWR|9ASPD|aLEGI
80	46322 12532	   	180.68	ACR|3VULN|3DMG|1ASPD	1RPLT|2RCR|37ERES|457DMG|67aVULN|7BPWR|8ASPD|9RMIN
81	46322 12324	   	180.68	ACR|3VULN|3DMG|1ASPD	1RPLT|2RCR|37ERES|457DMG|678VULN|7BPWR|9CGEN|aASPD
82	46322 12341	   	180.68	ACR|3VULN|3DMG|1DUR	1RPLT|2RCR|37ERES|457DMG|678VULN|7BPWR|9FEWX|aDUR
83	46421 12322	   	180.68	ACR|3VULN|3DMG|1ASPD	1RPLT|2RCR|347DMG|58aVULN|6ASPD|9FEWX
84	46222 12363	   	180.63	ACR|3VULN|3DMG|1ASPD|1SELL	1RPLT|2RCR|37CGEN|457DMG|678VULN|7BPWR|9ASPD|aSELL
85	46322 12315	   	180.58	ACR|3VULN|3DMG|1ASPD	1RPLT|2RCR|379ERES|457DMG|678VULN|7BPWR|aASPD
86	46322 12361	   	180.58	ACR|3VULN|3DMG|1ASPD	1RPLT|2RCR|37ERES|457DMG|678VULN|7BPWR|9ASPD|aTLV
87	46322 12362	   	180.58	ACR|3VULN|3DMG|1ASPD	1RPLT|2RCR|37ERES|457DMG|678VULN|7BPWR|9ASPD|aLEGI
88	46322 12363	   	180.43	ACR|3VULN|3DMG|1ASPD|1SELL	1RPLT|2RCR|37ERES|457DMG|678VULN|7BPWR|9ASPD|aSELL
89	32635 48131	   	180.07	DCR|2DMG|3CDMG|1AART|1VULN|1DUR	19BEXP|2VULN|3MBVNT|49DMG|589CDMG|6RCR|7AART|9BPWR|aDUR
90	22612 31516	   	179.87	DCR|5VULN|1DMG|2CDMG	1LWND|2459aVULN|34CDMG|4BPWR|6FEWX|7DMG|8RCR
91	41226 15114	 * 	179.77	DCR|3DMG|2VULN|1AART	1RPLT|2MBVNT|3aCGEN|49aDMG|5BELT|6RCR|7aVULN|8AART|aBPWR
92	62242 22125	   	179.57	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	1CGEN|2DMG|3BASHEA|46aVULN|5AART|7CDMG|8RCR|9ASPD
93	41326 15113	   	179.57	DCR|3DMG|2VULN|1AART	1RPLT|2MBVNT|3aERES|49aDMG|5BELT|6RCR|7aVULN|8AART|aBPWR
94	42422 31333	   	179.42	DCR|3DMG|1AART|1VULN|1ZMB|1ASPD	1RPLT|2ASPD|3BEXP|45aDMG|6RCR|7ZMB|8VULN|9AART
95	62431 31316	   	178.99	ACR|4VULN|1DMG|1CDMG|1ZMB|1DUR	1CGEN|2DMG|3CDMG|4ZMB|5RCR|6DUR|789aVULN
96	22613 61343	   	178.78	DCR|2VULN|2AART|1DMG|2CDMG|1ASPD	1LWND|24VULN|34CDMG|4BPWR|5DMG|68AART|7ASPD|9RCR|aTLV
97	46421 22211	   	178.77	ACR|3DMG|2VULN|1CDMG|1DUR	1RPLT|2RCR|346DMG|56VULN|6BPWR|7LHND|8CDMG|9BEXP|aDUR
98	46421 22231	   	178.67	ACR|3DMG|2VULN|1CDMG|1DUR	1RPLT|2RCR|346DMG|56VULN|6BPWR|7LHND|8CDMG|9DUST|aDUR
99	62431 31161	   	178.33	ACR|2DMG|1AART|1VULN|1CDMG|2DUR|1ZMB	1CGEN|28DMG|3CDMG|4ZMB|5RCR|6aDUR|7VULN|9AART
100	62431 31361	   	178.33	ACR|2VULN|1AART|1DMG|1CDMG|2DUR|1ZMB	1CGEN|2DMG|3CDMG|4ZMB|5RCR|6aDUR|78VULN|9AART
101	46421 23231	   	178.15	ACR|3DMG|2VULN|2CDMG	1RPLT|2RCR|346DMG|56VULN|6BPWR|7BEXP|89CDMG|aLHND
102	46421 23232	   	178.15	ACR|3DMG|2VULN|2CDMG	1RPLT|2RCR|346DMG|56VULN|6BPWR|7BEXP|89CDMG|aRCVC
103	46421 23233	   	178.05	ACR|3DMG|2VULN|2CDMG	1RPLT|2RCR|346DMG|56VULN|6BPWR|7BEXP|89CDMG|aERES
104	32634 33165	   	177.89	ACR|3DMG|2VULN|2CDMG|1ASPD	19BEXP|27VULN|3MBVNT|489DMG|5RCR|69CDMG|9BPWR|aASPD
105	32634 33363	   	177.89	ACR|3VULN|2DMG|2CDMG|1DUR	19BEXP|278VULN|3MBVNT|49DMG|5RCR|69CDMG|9BPWR|aDUR
106	46222 11351	   	177.68	ACR|2VULN|2DMG|2AART	17RPLT|2RCR|3CGEN|45DMG|68VULN|9aAART
107	46222 23351	   	177.68	ACR|2VULN|2DMG|2AART	16RPLT|2RCR|3CGEN|45DMG|78VULN|9aAART
108	46322 11351	   	177.58	ACR|2VULN|2DMG|2AART	17RPLT|2RCR|3ERES|45DMG|68VULN|9aAART
109	46322 23351	   	177.58	ACR|2VULN|2DMG|2AART	16RPLT|2RCR|3ERES|45DMG|78VULN|9aAART
110	22611 11551	   	177.57	DCR|3VULN|2DMG|2CDMG|1DUR	159LWND|249VULN|34CDMG|49BPWR|6DUR|79DMG|8RCR|aDLOT
111	62125 11234	   	177.52	DCR|3VULN|2DMG|1CDMG|1ZMB	1CGEN|24DMG|36aVULN|5LIT|7RCR|8CDMG|9ZMB
112	46221 12163	   	177.44	ACR|2VULN|2DMG|1AART|1ZMB	1RPLT|2RCR|37CGEN|47DMG|5DMSP|67VULN|7BPWR|8ZMB|9AART|aBEXP
113	22443 21421	   	177.29	ACR|3VULN|2AART|1DMG|1DUR	1LWND|249VULN|3RCVC|5RCR|67AART|8DUR|aDMG
114	46321 12163	   	177.24	ACR|2VULN|2DMG|1AART|1ZMB	1RPLT|2RCR|37ERES|47DMG|5DMSP|67VULN|7BPWR|8ZMB|9AART|aBEXP
115	53122 53341	   	177.01	DCR|2AART|2VULN|2CDMG|2DUR|1ZMB	17DUR|27CGEN|3aAART|4ZMB|58CDMG|67VULN|7BPWR|9RCR
116	32635 43235	   	176.96	DCR|2VULN|2DMG|1AART|1CDMG	1BEXP|27VULN|3MBVNT|4aDMG|5CDMG|6RCR|8FEWX|9AART
117	46222 22115	   	176.23	ACR|3DMG|2VULN|1ZMB|1DUR	16RPLT|2RCR|3aCGEN|45aDMG|7DUR|8ZMB|9aVULN|aBPWR
118	46222 12411	   	176.23	ACR|3DMG|2VULN|1ZMB|1DUR	1RPLT|2RCR|37CGEN|457DMG|67VULN|7BPWR|8DUR|9LIT|aZMB
119	46222 12432	   	176.23	ACR|3DMG|2VULN|1ZMB|1DUR	1RPLT|2RCR|37CGEN|457DMG|67VULN|7BPWR|8DUR|9LWND|aZMB
120	22613 32553	   	176.14	DCR|3VULN|1AART|1DMG|2CDMG	169LWND|249VULN|34CDMG|49BPWR|5DMG|79DUST|8RCR|aAART
121	46322 12411	   	176.03	ACR|3DMG|2VULN|1ZMB|1DUR	1RPLT|2RCR|37ERES|457DMG|67VULN|7BPWR|8DUR|9LIT|aZMB
122	46322 12432	   	176.03	ACR|3DMG|2VULN|1ZMB|1DUR	1RPLT|2RCR|37ERES|457DMG|67VULN|7BPWR|8DUR|9LHND|aZMB
123	46322 22115	   	176.03	ACR|3DMG|2VULN|1ZMB|1DUR	16RPLT|2RCR|3aERES|45aDMG|7DUR|8ZMB|9aVULN|aBPWR
124	46421 11132	   	176.03	ACR|3DMG|2VULN|1ZMB|1ASPD	1RPLT|2RCR|348DMG|5aVULN|6ASPD|7ZMB|9RMIN
125	46421 11311	   	176.03	ACR|3VULN|2DMG|1ZMB|1ASPD	1RPLT|2RCR|34DMG|589VULN|6ASPD|7ZMB|aLWND
126	46421 11312	   	176.03	ACR|3VULN|2DMG|1ZMB|1ASPD	1RPLT|2RCR|34DMG|589VULN|6ASPD|7ZMB|aCGEN
127	46421 13111	   	176.03	ACR|3VULN|2DMG|1ZMB|1ASPD	1RPLT|2RCR|34DMG|579VULN|6ASPD|8ZMB|aLWND
128	46421 13112	   	176.03	ACR|3VULN|2DMG|1ZMB|1ASPD	1RPLT|2RCR|34DMG|579VULN|6ASPD|8ZMB|aCGEN
129	46321 12113	   	176.03	ACR|3VULN|2DMG|1ZMB|1DUR	1RPLT|2RCR|37ERES|47DMG|5DMSP|679VULN|7BPWR|8ZMB|aDUR
130	42421 36133	 * 	175.94	DCR|3DMG|1AART|3ASPD|2ZMB	1RPLT|279ASPD|37BEXP|479DMG|5DMSP|6RCR|79BPWR|89ZMB|aAART
131	32635 43113	   	175.75	DCR|3VULN|2DMG|1CDMG|1DUR	1BEXP|279VULN|3MBVNT|48DMG|5CDMG|6RCR|aDUR
132	52333 14623	 * 	175.73	DCR|3VULN|1AART|1DMG|3DUR	156DUR|29aVULN|3LHND|4AART|7DMG|8RCR
133	32634 38131	   	175.69	ACR|2DMG|3CDMG|1AART|1VULN|1DUR	19BEXP|2VULN|3MBVNT|49DMG|5RCR|689CDMG|7AART|9BPWR|aDUR
134	41441 62181	   	175.65	DCR|2VULN|2DMG|1AART|2DUR	1RPLT|2MBVNT|3aDMG|4LSRHEA|5AART|6aDUR|7RCR|8BELT|9aVULN|aBPWR
135	46422 22322	 * 	175.57	ACR|2DMG|1AART|1VULN|1FLTHEA|1ASPD|1DUR	1RPLT|2RCR|34DMG|5LHND|6FLTHEA|7VULN|8DUR|9ASPD|aAART
136	32634 22145	   	175.39	ACR|3VULN|2AART|1DMG|1ASPD	1BEXP|268VULN|3MBVNT|4DMG|5RCR|7ASPD|9aAART
137	32635 43162	   	175.33	DCR|3DMG|2VULN|2CDMG	19BEXP|27VULN|3MBVNT|489DMG|59CDMG|6RCR|9BPWR|aLHND
138	32635 43163	   	175.33	DCR|3DMG|2VULN|2CDMG	19BEXP|27VULN|3MBVNT|489DMG|59CDMG|6RCR|9BPWR|aCGEN
139	32635 43361	   	175.33	DCR|3VULN|2DMG|2CDMG	19BEXP|278VULN|3MBVNT|49DMG|59CDMG|6RCR|9BPWR|aLWND
140	32635 43362	   	175.33	DCR|3VULN|2DMG|2CDMG	19BEXP|278VULN|3MBVNT|49DMG|59CDMG|6RCR|9BPWR|aCGEN
141	32635 43364	   	175.33	DCR|3VULN|2DMG|2CDMG	19BEXP|278VULN|3MBVNT|49DMG|59CDMG|6RCR|9BPWR|aLHND
142	32635 43161	   	175.23	DCR|3DMG|2VULN|2CDMG	19BEXP|27VULN|3MBVNT|489DMG|59CDMG|6RCR|9BPWR|aTLV
143	32635 42345	 * 	175.03	DCR|3DMG|1AART|1VULN|1CDMG	1BEXP|2VULN|3MBVNT|48aDMG|5CDMG|6RCR|7LWND|9AART
144	41421 13826	 * 	174.97	DCR|3VULN|3DMG|2ASPD	1RPLT|2MBVNT|348DMG|578VULN|68ASPD|8BPWR|9FEWX|aRCR
145	41421 13846	   	174.97	DCR|3VULN|3DMG|2ASPD	1RPLT|2MBVNT|348DMG|578VULN|68ASPD|8BPWR|9LWND|aRCR
146	41426 42348	   	174.93	DCR|3DMG|1AART|1VULN|1CDMG	1RPLT|2MBVNT|345DMG|5BPWR|6RCR|7TLV|8VULN|9AART|aCDMG
147	62124 12621	 * 	174.86	DCR|2VULN|2DMG|1AART|3DUR	1aCGEN|24DMG|3aVULN|5AART|6BELT|78aDUR|9RCR|aBPWR
148	42422 36323	 * 	174.63	DCR|3DMG|1AART|1VULN|2ASPD	1RPLT|27ASPD|37BEXP|457DMG|6RCR|7BPWR|8VULN|9CGEN|aAART
149	62242 22111	   	174.56	DCR|2VULN|2DMG|1AART|1CDMG	1CGEN|29DMG|3BASHEA|46VULN|5AART|7CDMG|8RCR|aBEXP
150	62242 22113	   	174.56	DCR|2VULN|2DMG|1AART|1CDMG	1CGEN|29DMG|3BASHEA|46VULN|5AART|7CDMG|8RCR|aMLV
151	22613 12451	   	174.49	DCR|2VULN|1AART|1DMG|2CDMG|1ZMB	1LWND|24VULN|34CDMG|4BPWR|5DMG|6BELT|7RCR|8ZMB|9AART|aCGEN
152	22613 12452	   	174.49	DCR|2VULN|1AART|1DMG|2CDMG|1ZMB	1LWND|24VULN|34CDMG|4BPWR|5DMG|6BELT|7RCR|8ZMB|9AART|aLIT
153	22613 12453	   	174.49	DCR|2VULN|1AART|1DMG|2CDMG|1ZMB	1aLWND|24VULN|34CDMG|4BPWR|5DMG|6BELT|7RCR|8ZMB|9AART
154	62124 11163	   	174.47	DCR|3DMG|2VULN|1AART	1aCGEN|248DMG|3aVULN|5AART|6BELT|7aLHND|9RCR|aBPWR
155	62124 11321	   	174.47	DCR|3VULN|2DMG|1AART	1aCGEN|24DMG|38aVULN|5AART|6BELT|7aLHND|9RCR|aBPWR
156	62144 11121	   	174.47	DCR|3VULN|2DMG|1AART	1aCGEN|28DMG|34aVULN|5AART|6BELT|7aLHND|9RCR|aBPWR
157	62242 22112	   	174.46	DCR|2VULN|2DMG|1AART|1CDMG	1CGEN|29DMG|3BASHEA|46VULN|5AART|7CDMG|8RCR|aERES
158	22613 61241	   	174.37	DCR|2VULN|1AART|1DMG|2CDMG|1ASPD|1DUR	18LWND|24VULN|34CDMG|4BPWR|5DMG|6AART|7ASPD|9RCR|aDUR
159	22613 63141	   	174.37	DCR|2VULN|1AART|1DMG|2CDMG|1ASPD|1DUR	17LWND|24VULN|34CDMG|4BPWR|5DMG|6AART|8ASPD|9RCR|aDUR
160	62242 22116	   	174.32	DCR|2VULN|2DMG|1AART|1CDMG|1SELL	1CGEN|29DMG|3BASHEA|46VULN|5AART|7CDMG|8RCR|aSELL
161	41441 24453	   	174.27	DCR|3VULN|2DMG|1AART	1RPLT|2MBVNT|38DMG|4LSRHEA|5AART|68aVULN|78LWND|8BPWR|9RCR
162	41441 22255	   	174.22	DCR|2VULN|2DMG|1AART|1ZMB	1RPLT|2MBVNT|3aDMG|4LSRHEA|5AART|69VULN|7RCR|8ZMB
163	32634 38345	   	174.14	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1BEXP|29VULN|3MBVNT|4DMG|5RCR|6CDMG|7AART|8ZMB|aDUR
164	46422 22313	 * 	174.02	ACR|2VULN|2DMG|1FLTHEA|1ZMB|1DUR	1RPLT|2RCR|34DMG|5LHND|6FLTHEA|79VULN|8DUR|aZMB
165	22611 11516	   	173.98	DCR|4VULN|1DMG|2CDMG|1DUR	15LWND|249aVULN|34CDMG|4BPWR|6DUR|7DMG|8RCR
166	22612 11511	   	173.98	DCR|4VULN|1DMG|2CDMG|1DUR	1aLWND|2459VULN|34CDMG|4BPWR|6DUR|7DMG|8RCR
167	22612 11512	   	173.98	DCR|4VULN|1DMG|2CDMG|1DUR	1LWND|2459VULN|34CDMG|4BPWR|6DUR|7DMG|8RCR|aMLV
168	22612 11514	   	173.98	DCR|4VULN|1DMG|2CDMG|1DUR	1LWND|2459VULN|34CDMG|4BPWR|6DUR|7DMG|8RCR|aBEXP
169	22612 11515	   	173.98	DCR|4VULN|1DMG|2CDMG|1DUR	1LWND|2459VULN|34CDMG|4BPWR|6DUR|7DMG|8RCR|aRPLT
