0	Index      	 *	Score 	Summary	Detail	
1	45136 11434	 * 	195.14	ACR|3VULN|3DMG|1AART	1LEGI|29aVULN|3aLIT|4RCR|5AART|68aDMG|7MBVNT|aBPWR
56	32324 52613	 * 	174.24	ACR|2DMG|1VULN|2FLTHEA|2ASPD|1CDMG|1DUR	1LSRICY|2VULN|3aASPD|4RCR|5aFLTHEA|6TLV|7aDMG|8DUR|9CDMG|aBPWR
57	32224 42523	   	174.23	ACR|3VULN|1DMG|1FLTHEA|1ZMB|1DUR|1ASPD	1LSRICY|267VULN|3DMG|4RCR|5FLTHEA|8ASPD|9DUR|aZMB
58	32324 42423	   	174.23	ACR|3VULN|1DMG|1FLTHEA|1ZMB|1DUR|1ASPD	1LSRICY|267VULN|3ASPD|4RCR|5FLTHEA|8DMG|9DUR|aZMB
59	32325 35253	   	173.98	ACR|3DMG|1AART|1VULN|1DUR|1ASPD	1LSRICY|2VULN|3ASPD|4RCR|5RPLT|6DUR|79aDMG|8AART
60	34221 17325	   	173.97	ACR|3DMG|2VULN|1CDMG|1DUR	19LSRICY|2DUR|389DMG|4RCR|59VULN|6MBVNT|7DMSP|9BPWR|aCDMG
61	32144 11311	 * 	173.92	DCR|2VULN|2DMG|2CDMG|1ZMB|1ASPD	1LSRICY|2aVULN|3RCVC|4ZMB|5ASPD|6aDMG|7MLV|8aCDMG|9RCR|aBPWR
62	32144 12311	   	173.92	DCR|2VULN|2DMG|2CDMG|1ZMB|1ASPD	1LSRICY|2aVULN|3RCVC|4ZMB|5ASPD|6aDMG|7CGEN|8aCDMG|9RCR|aBPWR
63	32221 53541	 * 	173.90	ACR|3VULN|1DMG|2ASPD|1CDMG|1ZMB	1LSRICY|25aVULN|3DMG|4RCR|6ZMB|7aERES|8CDMG|9aASPD|aBPWR
64	32224 43324	   	173.87	ACR|3VULN|2DMG|1FLTHEA|1DUR	1LSRICY|26aVULN|38DMG|4RCR|5FLTHEA|7RMIN|9DUR
65	32224 42261	   	173.87	ACR|3VULN|2DMG|1FLTHEA|1ASPD	1LSRICY|267VULN|39DMG|4RCR|5FLTHEA|8LWND|aASPD
66	32224 42411	   	173.87	ACR|3VULN|2DMG|1FLTHEA|1ASPD	1LSRICY|267VULN|38DMG|4RCR|5FLTHEA|9ASPD|aLHND
67	32222 12136	   	173.87	ACR|3DMG|2VULN|1CDMG|1ASPD	1LSRICY|27VULN|39aDMG|4RCR|5ASPD|6LHND|8CDMG
68	32224 42112	   	173.87	ACR|3VULN|2DMG|1FLTHEA|1ASPD	1LSRICY|267VULN|3aDMG|4RCR|5FLTHEA|8LIT|9ASPD
69	32324 42142	   	173.87	ACR|3VULN|2DMG|1FLTHEA|1ASPD	1LSRICY|267VULN|3ASPD|4RCR|5FLTHEA|8LIT|9aDMG
70	31321 22136	   	173.87	ACR|3DMG|2VULN|1CDMG|1ASPD	1LSRICY|2LHND|3ASPD|4RCR|57VULN|69aDMG|8CDMG
71	32222 54335	 * 	173.85	ACR|2VULN|2DMG|2CDMG|2ASPD	19LSRICY|29VULN|3aDMG|4RCR|57ASPD|6RCVC|89CDMG|9BPWR
72	32144 13311	   	173.82	DCR|2VULN|2DMG|2CDMG|1ZMB|1ASPD	1LSRICY|2aVULN|3RCVC|4ZMB|5ASPD|6aDMG|7TLV|8aCDMG|9RCR|aBPWR
73	32224 42412	   	173.77	ACR|3VULN|2DMG|1FLTHEA|1ASPD	1LSRICY|267VULN|38DMG|4RCR|5FLTHEA|9ASPD|aTLV
74	32222 62136	   	173.77	ACR|3VULN|2DMG|1CDMG|1ASPD	1LSRICY|27aVULN|39DMG|4RCR|5ASPD|6LEGI|8CDMG
75	31225 51351	   	173.64	ACR|2VULN|2DMG|1AART|1ZMB	1LSRICY|2LHND|39DMG|4RCR|5RPLT|6ZMB|7AART|8aVULN
76	32225 51151	   	173.64	ACR|2VULN|2DMG|1AART|1ZMB	1LSRICY|2aVULN|39DMG|4RCR|5RPLT|6ZMB|7AART|8BEXP
77	32225 21652	   	173.64	ACR|2VULN|2DMG|1AART|1ZMB	1LSRICY|2aVULN|38DMG|4RCR|5RPLT|6CGEN|7AART|9ZMB
78	31221 52513	   	173.63	ACR|3DMG|1AART|1VULN|2DUR	1aLSRICY|2LHND|39aDMG|4RCR|5VULN|6AART|7DUST|8aDUR|aBPWR
79	32221 32336	   	173.54	ACR|2VULN|2DMG|1AART|1ZMB	1LSRICY|25VULN|3aDMG|4RCR|6CGEN|7AART|8DUST|9ZMB
80	32225 51352	   	173.54	ACR|2VULN|2DMG|1AART|1ZMB	1LSRICY|2aVULN|39DMG|4RCR|5RPLT|6ZMB|7AART|8TLV
81	33151 22536	 * 	173.45	DCR|3VULN|2DMG|1CDMG|1ASPD	1LSRICY|2CDMG|3BEXP|49DMG|58aVULN|6ASPD|7RCR
82	33251 22536	   	173.45	DCR|3VULN|2DMG|1CDMG|1ASPD	1LSRICY|2CDMG|3FEWX|49DMG|58aVULN|6ASPD|7RCR
83	32221 22335	 * 	173.45	ACR|3DMG|2VULN|2CDMG	19LSRICY|25VULN|39aDMG|4RCR|6RMIN|7DMSP|89CDMG|9BPWR
84	32222 21336	   	173.38	ACR|3DMG|1AART|1VULN|1ASPD|1DUR	1LSRICY|2VULN|38aDMG|4RCR|5ASPD|6DUR|7CGEN|9AART
85	32323 21336	   	173.38	ACR|3DMG|1AART|1VULN|1ASPD|1DUR	1LSRICY|2VULN|3ASPD|4RCR|5DUR|68aDMG|7CGEN|9AART
86	34321 21336	   	173.38	ACR|3DMG|1AART|1VULN|1ASPD|1DUR	1LSRICY|2DUR|3ASPD|4RCR|5VULN|68aDMG|7CGEN|9AART
87	45131 33313	 * 	173.05	ACR|3VULN|1AART|1DMG|1CDMG	1LEGI|25aVULN|3LIT|4RCR|6CDMG|7DMG|8RMIN|9AART
88	32223 22512	   	172.97	ACR|2VULN|2DMG|1AART|2DUR	1LSRICY|27VULN|39DMG|4RCR|5TLV|68DUR|aAART
89	32221 41542	   	172.90	ACR|4VULN|1AART|1DMG	1LSRICY|2568VULN|3DMG|4RCR|7MLV|9DUST|aAART
90	32221 43542	   	172.80	ACR|4VULN|1AART|1DMG	1LSRICY|2568VULN|3DMG|4RCR|7TLV|9DUST|aAART
91	32222 24253	   	172.77	ACR|2DMG|1AART|1VULN|1FLTHEA|1ASPD|1DUR	19LSRICY|2VULN|39DMG|4RCR|5ASPD|6DUR|7AART|89LIT|9BPWR|aFLTHEA
92	32221 41352	   	172.55	ACR|3VULN|1AART|1DMG|1CDMG	1LSRICY|256VULN|3DMG|4RCR|7MLV|8CDMG|9LIT|aAART
93	32221 42352	   	172.55	ACR|3VULN|1AART|1DMG|1CDMG	1LSRICY|256VULN|3DMG|4RCR|7CGEN|8CDMG|9LIT|aAART
94	32221 42542	   	172.55	ACR|3VULN|1AART|1DMG|1CDMG	1LSRICY|256VULN|3DMG|4RCR|7CGEN|8LIT|9CDMG|aAART
95	32224 42153	 * 	172.55	ACR|3VULN|1AART|1DMG|1FLTHEA	1LSRICY|267VULN|3DMG|4RCR|5FLTHEA|8LIT|9FEWX|aAART
96	32224 42163	   	172.55	ACR|3VULN|1AART|1DMG|1FLTHEA	1LSRICY|267VULN|3DMG|4RCR|5FLTHEA|8LIT|9BEXP|aAART
97	32221 43352	   	172.45	ACR|3VULN|1AART|1DMG|1CDMG	1LSRICY|256VULN|3DMG|4RCR|7TLV|8CDMG|9LIT|aAART
98	32221 53436	   	172.34	ACR|2VULN|2DMG|1AART|1ZMB	1LSRICY|25VULN|3aDMG|4RCR|6ZMB|7ERES|8FEWX|9AART
99	32221 55412	   	171.84	ACR|2VULN|2DMG|1AART|1ZMB	1LSRICY|25VULN|39DMG|4RCR|6ZMB|78FEWX|aAART
100	32226 44112	   	171.84	ACR|2VULN|2DMG|1AART|1ZMB	15LSRICY|26VULN|39DMG|4RCR|7FEWX|8ZMB|aAART
101	14531 11233	   	171.81	ACR|3VULN|1AART|1DMG|1ZMB	1ZMB|2MLV|379VULN|4RCVC|5RCR|6LWND|8AART|aDMG
102	32324 52262	   	171.77	ACR|2VULN|2DMG|1CDMG|1FLTHEA|1ASPD	1LSRICY|2aVULN|3ASPD|4RCR|5FLTHEA|6TLV|79DMG|8CDMG
103	32221 23112	   	171.74	ACR|2VULN|2DMG|1AART|1ZMB	1LSRICY|25VULN|39DMG|4RCR|6RMIN|7ERES|8ZMB|aAART
104	31225 51353	   	171.70	ACR|3DMG|1AART|1VULN|1ZMB	1LSRICY|2LHND|39aDMG|4RCR|5RPLT|6ZMB|7AART|8VULN
105	32225 51153	   	171.70	ACR|3DMG|1AART|1VULN|1ZMB	1LSRICY|2VULN|39aDMG|4RCR|5RPLT|6ZMB|7AART|8BEXP
106	32225 51512	   	171.70	ACR|3VULN|1AART|1DMG|1ZMB	1LSRICY|29aVULN|3DMG|4RCR|5RPLT|6ZMB|7AART|8CGEN
107	32221 32413	   	171.60	ACR|3VULN|1AART|1DMG|1ZMB	1LSRICY|25aVULN|3DMG|4RCR|6CGEN|7AART|8NUKE|9ZMB
108	32225 51312	   	171.60	ACR|3VULN|1AART|1DMG|1ZMB	1LSRICY|29aVULN|3DMG|4RCR|5RPLT|6ZMB|7AART|8TLV
109	32221 54423	   	171.43	ACR|3DMG|2VULN|1ZMB|1ASPD	19LSRICY|25VULN|39aDMG|4RCR|6ZMB|7ASPD|89FEWX|9BPWR
110	32321 26621	   	171.43	ACR|3VULN|2DMG|1ZMB|1ASPD	19LSRICY|259VULN|3ASPD|4RCR|6RMIN|7LWND|89DMG|9BPWR|aZMB
111	32222 34335	   	171.34	ACR|2VULN|2DMG|2CDMG|2ASPD	19LSRICY|29VULN|3aDMG|4RCR|57ASPD|6DMSP|89CDMG|9BPWR
112	32221 45112	   	171.23	ACR|3VULN|2DMG|1ZMB|1DUR	1LSRICY|256VULN|39DMG|4RCR|7LWND|8ZMB|aDUR
113	32221 45113	   	171.23	ACR|3VULN|2DMG|1ZMB|1ASPD	1LSRICY|256VULN|39DMG|4RCR|7LWND|8ZMB|aASPD
114	32221 51612	   	171.23	ACR|3DMG|2VULN|1ZMB|1DUR	1LSRICY|25VULN|389DMG|4RCR|6ZMB|7LHND|aDUR
115	32225 35136	   	171.23	ACR|3VULN|2DMG|1ZMB|1DUR	1LSRICY|29aVULN|37DMG|4RCR|5RPLT|6DUR|8ZMB
116	32321 44113	   	171.23	ACR|3VULN|2DMG|1ZMB|1ASPD	1LSRICY|256VULN|3ASPD|4RCR|7FEWX|8ZMB|9aDMG
117	32221 41252	   	171.13	ACR|3VULN|1AART|1DMG|2DUR	1LSRICY|256VULN|3DMG|4RCR|7MLV|89DUR|aAART
118	32221 42252	   	171.13	ACR|3VULN|1AART|1DMG|2DUR	1LSRICY|256VULN|3DMG|4RCR|7CGEN|89DUR|aAART
119	32221 43252	   	171.03	ACR|3VULN|1AART|1DMG|2DUR	1LSRICY|256VULN|3DMG|4RCR|7TLV|89DUR|aAART
120	33124 64313	 * 	170.93	DCR|2VULN|1AART|1DMG|2CDMG|1DUR	1LSRICY|2aCDMG|3BEXP|4AART|5DUR|6DMG|79VULN|8RCR
121	34522 13236	   	170.68	ACR|2DMG|1AART|1VULN|2DUR|1ZMB	1LSRICY|26DUR|3AART|4RCR|5MLV|7aDMG|8VULN|9ZMB
122	32224 11661	   	170.45	ACR|2VULN|2DMG|1FLTHEA|2DUR|1ASPD	1LSRICY|27VULN|39DMG|4RCR|5FLTHEA|68DUR|aASPD
123	32224 42111	 * 	170.39	ACR|4VULN|1DMG|1FLTHEA|1ASPD	1LSRICY|267aVULN|3DMG|4RCR|5FLTHEA|8LIT|9ASPD
124	32224 42363	   	170.39	ACR|4VULN|1DMG|1FLTHEA|1ASPD	1LSRICY|267aVULN|3DMG|4RCR|5FLTHEA|8RPLT|9ASPD
125	32324 42141	   	170.39	ACR|4VULN|1DMG|1FLTHEA|1ASPD	1LSRICY|267aVULN|3ASPD|4RCR|5FLTHEA|8LIT|9DMG
126	32324 42363	   	170.39	ACR|4VULN|1DMG|1FLTHEA|1ASPD	1LSRICY|267aVULN|3ASPD|4RCR|5FLTHEA|8RPLT|9DMG
127	45133 14111	   	170.34	ACR|3VULN|1AART|1DMG|1DUR	1LEGI|269VULN|3LIT|4RCR|5RCVC|7AART|8DMG|aDUR
128	31221 51114	   	170.17	ACR|2VULN|2DMG|1AART|1DUR	1LSRICY|2LHND|3aDMG|4RCR|59VULN|6AART|7CGEN|8DUR
129	32221 32234	 * 	170.14	ACR|2VULN|2AART|1DMG|1CDMG	1LSRICY|25VULN|3DMG|4RCR|69CGEN|7aAART|8CDMG
130	34521 41113	   	170.14	ACR|3DMG|1AART|1VULN|1DUR	1aLSRICY|2DUR|3AART|4RCR|5aBEXP|6DUST|7VULN|89aDMG|aBPWR
131	31221 53114	   	170.07	ACR|2VULN|2DMG|1AART|1DUR	1LSRICY|2LHND|3aDMG|4RCR|59VULN|6AART|7ERES|8DUR
132	34221 51314	   	170.07	ACR|2VULN|2DMG|1AART|1DUR	1LSRICY|2DUR|3aDMG|4RCR|59VULN|6AART|7CGEN|8DUST
133	34221 52343	   	170.07	ACR|2VULN|2DMG|1AART|1DUR	1LSRICY|2DUR|3aDMG|4RCR|59VULN|6AART|7DUST|8LIT
134	34521 21114	   	170.04	ACR|3DMG|1AART|1VULN|1DUR	1LSRICY|2DUR|3AART|4RCR|5BEXP|6LHND|7VULN|89aDMG
135	34221 53314	   	169.97	ACR|2VULN|2DMG|1AART|1DUR	1LSRICY|2DUR|3aDMG|4RCR|59VULN|6AART|7ERES|8DUST
136	32224 42131	   	169.93	ACR|3VULN|1DMG|1FLTHEA|1CDMG|1ASPD	1LSRICY|267VULN|3DMG|4RCR|5FLTHEA|8LIT|9CDMG|aASPD
137	32224 42134	   	169.93	ACR|3VULN|1DMG|1FLTHEA|1CDMG|1DUR	1LSRICY|267VULN|3DMG|4RCR|5FLTHEA|8LIT|9CDMG|aDUR
138	32224 13363	   	169.93	ACR|3VULN|1DMG|1FLTHEA|1CDMG|1DUR	1LSRICY|29aVULN|3DMG|4RCR|5FLTHEA|6DUR|7CDMG|8CGEN
139	33124 64312	   	169.91	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	1LSRICY|2CDMG|3BEXP|4AART|5aDUR|6DMG|79VULN|8RCR
140	32221 44162	   	169.90	ACR|3VULN|1AART|1DMG|1ZMB	1LSRICY|256VULN|3DMG|4RCR|7FEWX|8ZMB|9BEXP|aAART
141	32221 45223	   	169.90	ACR|3VULN|1AART|1DMG|1ZMB	1LSRICY|256VULN|3DMG|4RCR|7LWND|8LIT|9ZMB|aAART
142	32221 41341	 * 	169.86	ACR|4VULN|1DMG|2CDMG	1aLSRICY|256aVULN|3DMG|4RCR|7MLV|8aCDMG|9MBVNT|aBPWR
143	32221 42341	   	169.86	ACR|4VULN|1DMG|2CDMG	1aLSRICY|256aVULN|3DMG|4RCR|7CGEN|8aCDMG|9MBVNT|aBPWR
144	32224 52323	   	169.83	ACR|3DMG|1VULN|1CDMG|1FLTHEA|1DUR	1LSRICY|2VULN|378DMG|4RCR|5FLTHEA|6TLV|9CDMG|aDUR
145	32224 15363	   	169.83	ACR|3VULN|1DMG|1FLTHEA|1CDMG|1DUR	1LSRICY|29aVULN|3DMG|4RCR|5FLTHEA|6DUR|7ERES|8CDMG
146	32221 44132	   	169.80	ACR|3VULN|1AART|1DMG|1ZMB	1LSRICY|256VULN|3DMG|4RCR|7FEWX|8ZMB|9DUST|aAART
147	32221 52562	   	169.80	ACR|3VULN|1AART|1DMG|1ZMB	1LSRICY|258VULN|3DMG|4RCR|6ZMB|7DMSP|9DUST|aAART
148	32221 43341	   	169.76	ACR|4VULN|1DMG|2CDMG	1aLSRICY|256aVULN|3DMG|4RCR|7TLV|8aCDMG|9MBVNT|aBPWR
149	32321 54522	 * 	169.70	ACR|3VULN|1AART|3ASPD|1ZMB	1LSRICY|258VULN|379ASPD|4RCR|6ZMB|aAART
150	32225 51633	   	169.70	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	1LSRICY|2VULN|38DMG|4RCR|5RPLT|6ZMB|7AART|9CDMG|aLHND
151	32221 32215	   	169.60	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LSRICY|25VULN|3DMG|4RCR|6CGEN|7AART|8CDMG|9MBVNT|aZMB
152	32225 51631	   	169.60	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	1LSRICY|2VULN|38DMG|4RCR|5RPLT|6ZMB|7AART|9CDMG|aDUST
153	32225 21251	   	169.57	ACR|2VULN|2DMG|1AART|1DUR	1LSRICY|2aVULN|39DMG|4RCR|5RPLT|6CGEN|7AART|8DUR
154	32225 21622	   	169.57	ACR|2VULN|2DMG|1AART|1ASPD	1LSRICY|2aVULN|38DMG|4RCR|5RPLT|6CGEN|7AART|9ASPD
155	32325 21616	   	169.57	ACR|2VULN|2DMG|1AART|1ASPD	1LSRICY|29VULN|3ASPD|4RCR|5RPLT|6CGEN|7AART|8aDMG
156	32325 21652	   	169.57	ACR|2VULN|2DMG|1AART|1ASPD	1LSRICY|2aVULN|3ASPD|4RCR|5RPLT|6CGEN|7AART|89DMG
157	32221 41512	   	169.56	ACR|5VULN|1DMG|1DUR	1LSRICY|25689VULN|3DMG|4RCR|7MLV|aDUR
158	32221 32141	   	169.47	ACR|2VULN|2DMG|1AART|1DUR	1LSRICY|25VULN|39DMG|4RCR|6CGEN|7AART|8CANHEL|aDUR
159	32225 41251	   	169.47	ACR|2VULN|2DMG|1AART|1DUR	1LSRICY|2aVULN|39DMG|4RCR|5RPLT|6ERES|7AART|8DUR
160	32225 41622	   	169.47	ACR|2VULN|2DMG|1AART|1ASPD	1LSRICY|2aVULN|38DMG|4RCR|5RPLT|6ERES|7AART|9ASPD
161	32221 43512	   	169.46	ACR|5VULN|1DMG|1DUR	1LSRICY|25689VULN|3DMG|4RCR|7TLV|aDUR
162	32221 46512	   	169.46	ACR|5VULN|1DMG|1DUR	1LSRICY|25689VULN|3DMG|4RCR|7ERES|aDUR
163	31221 32442	   	169.42	ACR|2VULN|2DMG|1CDMG|1ZMB|1DUR	1LSRICY|2LHND|3aDMG|4RCR|5aVULN|6CDMG|7aLIT|8DUR|9ZMB|aBPWR
164	34221 32142	   	169.42	ACR|2VULN|2DMG|1CDMG|1ZMB|1DUR	1LSRICY|2DUR|3aDMG|4RCR|5aVULN|6CDMG|7aLIT|8LHND|9ZMB|aBPWR
165	34221 32642	   	169.42	ACR|2VULN|2DMG|1CDMG|1ZMB|1DUR	1LSRICY|2DUR|3aDMG|4RCR|5aVULN|6CDMG|7aLIT|8LWND|9ZMB|aBPWR
