0	Index      	 *	Score 	Summary	Detail	
1	53421 43113	 * 	183.61	DCR|3DMG|2AART|2VULN	1248LHND|348DMG|48BPWR|59AART|6RCVC|78VULN|aRCR
25	41123 62232	   	175.10	ACR|3VULN|1AART|2CDMG|1ZMB	1TLV|2ZMB|3RCR|48CDMG|5AART|6LHND|79aVULN
26	41122 45122	 * 	175.00	ACR|1AART|1VULN|1DMG|1FLTHEA|1CDMG|1ZMB|1DUR	1TLV|2ZMB|3RCR|4CDMG|5VULN|6FLTHEA|7AART|8FEWX|9DUR|aDMG
27	41133 16421	   	174.88	ACR|2VULN|1AART|1DMG|2ZMB|1DUR|1ASPD	1TLV|24ZMB|3RCR|5DMG|68VULN|7DUR|9AART|aASPD
28	41133 32563	   	174.53	ACR|2DMG|3ZMB|1AART|1VULN	17TLV|247ZMB|3RCR|57DMG|6LEGI|7BPWR|8VULN|9AART|aDMSP
29	41133 12423	   	174.53	ACR|2VULN|3ZMB|1AART|1DMG	1TLV|24aZMB|3RCR|5DMG|68VULN|7LWND|9AART
30	41122 45131	 * 	174.37	ACR|1AART|1VULN|2CDMG|1DMG|1FLTHEA|1ZMB	1TLV|2ZMB|3RCR|4aCDMG|5VULN|6FLTHEA|7AART|8FEWX|9DMG
31	41133 12214	 * 	173.93	ACR|2DMG|1AART|1VULN|2ZMB|2DUR	1aTLV|24ZMB|3RCR|5aDMG|6VULN|7LWND|8AART|9aDUR|aBPWR
32	41122 41632	   	173.80	ACR|1AART|1VULN|1DMG|1FLTHEA|1CDMG|1ZMB|1DUR	1TLV|2ZMB|3RCR|4CDMG|5VULN|6FLTHEA|7LWND|8DUR|9AART|aDMG
33	41122 15422	   	173.33	ACR|3VULN|1AART|1CDMG|1ZMB|1ASPD	1TLV|2ZMB|3RCR|4CDMG|57aVULN|6RCVC|8ASPD|9AART
34	41133 32354	 * 	173.32	ACR|3DMG|3ZMB|1VULN|1ASPD	17TLV|247ZMB|3RCR|578DMG|6LEGI|7BPWR|9ASPD|aVULN
35	41123 11144	   	173.10	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1TLV|2ZMB|3RCR|4CDMG|5AART|6DMG|7LWND|8DUST|9aVULN
36	41123 11524	   	173.10	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1TLV|2ZMB|3RCR|4CDMG|5AART|6DMG|7LWND|8aVULN|9DUST
37	41123 22634	   	173.10	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	18TLV|2ZMB|3RCR|4CDMG|5AART|6LWND|79VULN|aDMG
38	41123 12632	   	173.00	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	17TLV|2ZMB|3RCR|4CDMG|5AART|6DMG|8AIRHEL|9aVULN
39	41123 35643	   	173.00	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1TLV|2ZMB|3RCR|4CDMG|5AART|6ERES|7MBVNT|89VULN|aDMG
40	51321 22124	   	172.85	DCR|2AART|2DMG|1VULN|1ASPD|1DUR	1LHND|2aAART|38DMG|4DUST|5VULN|6ASPD|7RCR|9DUR
41	51421 22124	   	172.85	DCR|2AART|2DMG|1VULN|1ASPD|1DUR	1LHND|2aAART|3ASPD|4DUST|5VULN|68DMG|7RCR|9DUR
42	51342 43212	   	172.52	DCR|3DMG|1AART|1VULN|1ASPD	1LHND|2AART|38aDMG|4LIT|5ERES|6RCR|7VULN|9ASPD
43	51322 23256	   	172.38	DCR|2AART|2VULN|1DMG|1ZMB	1LHND|27AART|3DMG|4DUST|5RPLT|6RCR|8aVULN|9ZMB
44	51211 22185	   	172.25	DCR|2VULN|2DMG|1AART|1ASPD	1aLHND|2AART|3MBVNT|4aMLV|59VULN|6ASPD|7RCR|8aDMG|aBPWR
45	21422 36116	 * 	172.23	DCR|3DMG|1AART|1VULN|1CDMG	14BEXP|2DMSP|349DMG|4BPWR|5VULN|6CGEN|7RCR|8CDMG|aAART
46	51281 32346	   	172.15	DCR|2VULN|2DMG|1AART|1DUR	1aLHND|2AART|3MBVNT|4CGEN|5aVULN|6ERES|7RCR|8DUR|9aDMG|aBPWR
47	51361 16321	   	172.15	DCR|2VULN|2DMG|1AART|1DUR	1LHND|2AART|3aDMG|4LWND|59VULN|6LIT|7RCR|8DUR
48	51361 22135	   	172.15	DCR|2VULN|2DMG|1AART|1ASPD	1LHND|2AART|38DMG|4LWND|5aVULN|6ASPD|7RCR|9RMIN
49	51361 16111	   	172.15	DCR|2VULN|2DMG|1AART|1DUR	1LHND|2AART|3aDMG|4LWND|58VULN|6LIT|7RCR|9DUR
50	51231 82343	   	172.05	DCR|2VULN|2DMG|1AART|1DUR	1LHND|2AART|3MBVNT|49DMG|5aVULN|6CGEN|7RCR|8DUR
51	51321 16111	   	172.05	DCR|2VULN|2DMG|1AART|1DUR	1LHND|2AART|3aDMG|4DUST|58VULN|6LIT|7RCR|9DUR
52	51321 16321	   	172.05	DCR|2VULN|2DMG|1AART|1DUR	1LHND|2AART|3aDMG|4DUST|59VULN|6LIT|7RCR|8DUR
53	51321 22135	   	172.05	DCR|2VULN|2DMG|1AART|1ASPD	1LHND|2AART|38DMG|4DUST|5aVULN|6ASPD|7RCR|9RMIN
54	51324 26111	   	172.05	DCR|2VULN|2DMG|1AART|1DUR	1LHND|2AART|3aDMG|4DUST|5LIT|68VULN|7RCR|9DUR
55	51324 26321	   	172.05	DCR|2VULN|2DMG|1AART|1DUR	1LHND|2AART|3aDMG|4DUST|5LIT|69VULN|7RCR|8DUR
56	51421 22135	   	172.05	DCR|2VULN|2DMG|1AART|1ASPD	1LHND|2AART|3ASPD|4DUST|5aVULN|68DMG|7RCR|9RMIN
57	41122 45321	   	171.90	ACR|2VULN|1AART|2CDMG|1FLTHEA|1ZMB	1TLV|2ZMB|3RCR|48CDMG|59VULN|6FLTHEA|7AART|aCGEN
58	41122 45322	   	171.90	ACR|2VULN|1AART|2CDMG|1FLTHEA|1ZMB	1TLV|2ZMB|3RCR|48CDMG|59VULN|6FLTHEA|7AART|aLWND
59	33324 51115	 * 	171.70	ACR|4VULN|1AART|1DMG	12LIT|3DMG|469aVULN|5RCR|7ERES|8AART
60	21314 16233	 * 	171.68	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1BEXP|2DMSP|3AART|4CDMG|5ZMB|6LHND|7RCR|89VULN|aDMG
61	21314 36233	   	171.68	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1BEXP|2DMSP|3AART|4CDMG|5ZMB|6LWND|7RCR|89VULN|aDMG
62	25314 16233	   	171.68	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	12BEXP|2BPWR|3AART|4CDMG|5ZMB|6LHND|7RCR|89VULN|aDMG
63	25314 36233	   	171.68	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	12BEXP|2BPWR|3AART|4CDMG|5ZMB|6LWND|7RCR|89VULN|aDMG
64	33324 55111	   	171.58	ACR|3VULN|1AART|1DMG|1ASPD|1DUR	12LIT|3DMG|469VULN|5RCR|7ASPD|8AART|aDUR
65	41125 22232	 * 	171.33	ACR|2VULN|3CDMG|1AART|1ZMB|1DUR	1aTLV|2ZMB|3RCR|48aCDMG|5DUR|6FEWX|7AART|9aVULN|aBPWR
66	53426 12233	 * 	171.32	DCR|3VULN|3DMG	1249aLHND|349DMG|49aBPWR|5BELT|6RCR|7DMSP|89aVULN
67	33324 51114	 * 	171.25	ACR|3VULN|1AART|1DMG|1CDMG	12LIT|3DMG|469VULN|5RCR|7ERES|8AART|aCDMG
68	41113 11263	 * 	170.82	ACR|3VULN|3ZMB|1AART	17TLV|27aZMB|3RCR|4LWND|5CGEN|679VULN|7BPWR|8AART
69	43143 22346	   	170.75	DCR|2VULN|2DMG|1AART|1DUR	1aTLV|2LEGI|3aVULN|4AART|5CGEN|6MBVNT|7RCR|8DUR|9aDMG|aBPWR
70	41163 11263	   	170.72	ACR|3VULN|3ZMB|1AART	17TLV|27aZMB|3RCR|4ERES|5LHND|679VULN|7BPWR|8AART
71	32234 43212	   	170.62	DCR|3DMG|1AART|1VULN|1ASPD	1LIT|2ERES|3LEGI|48aDMG|5AART|6RCR|7VULN|9ASPD
72	51231 82344	   	170.12	DCR|3DMG|1AART|1VULN|1DUR	1LHND|2AART|3MBVNT|49aDMG|5VULN|6CGEN|7RCR|8DUR
73	21311 45325	 * 	170.11	DCR|3VULN|2AART|1CDMG	1aBEXP|2DMSP|37AART|4CDMG|5aLSRHEA|6RCR|89aVULN|aBPWR
74	41114 22226	   	170.04	ACR|4VULN|1DMG|1ZMB|1DUR	1TLV|2ZMB|3RCR|4LWND|5DUR|679aVULN|8DMG
75	51312 15513	   	169.88	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	14LHND|2AART|36DMG|5BEXP|7ZMB|8RCR|9VULN|aCDMG
76	25366 11133	   	169.70	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	129BEXP|29BPWR|3AART|49SNIHEL|5RCR|6DMG|7ZMB|89VULN|aCDMG
77	51323 15513	   	169.68	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1LHND|2AART|36DMG|45DUST|7ZMB|8RCR|9VULN|aCDMG
78	41123 22216	 * 	169.44	ACR|2VULN|1AART|3CDMG|2ZMB	19TLV|29ZMB|3RCR|48aCDMG|5AART|6LWND|79VULN|9BPWR
79	41123 62216	   	169.44	ACR|2VULN|1AART|3CDMG|2ZMB	19TLV|29ZMB|3RCR|48aCDMG|5AART|6LHND|79VULN|9BPWR
80	41123 26611	   	169.26	ACR|1AART|1VULN|1DMG|1FLTHEA|1CDMG|1ZMB	1TLV|2ZMB|3RCR|4CDMG|5AART|6LWND|7BELT|8FLTHEA|9VULN|aDMG
81	41133 11364	 * 	168.99	ACR|2AART|3ZMB|1VULN|1DMG	1TLV|249ZMB|3RCR|5DMG|6VULN|7MLV|8aAART
82	41123 14116	   	168.86	ACR|1AART|1VULN|1DMG|2CDMG|1ZMB|1DUR	1TLV|2ZMB|3RCR|47CDMG|5AART|6DMG|8RPLT|9VULN|aDUR
83	41123 22632	   	168.69	ACR|3VULN|1AART|1CDMG|1ZMB	18TLV|2ZMB|3RCR|4CDMG|5AART|6LWND|79aVULN
84	41123 62632	   	168.69	ACR|3VULN|1AART|1CDMG|1ZMB	18TLV|2ZMB|3RCR|4CDMG|5AART|6LHND|79aVULN
85	41113 11215	   	168.64	ACR|2VULN|1AART|1DMG|2ZMB|1DUR	17TLV|27ZMB|3RCR|4LWND|5CGEN|67VULN|7BPWR|8AART|9DUR|aDMG
86	41133 11313	   	168.54	ACR|2VULN|1AART|1DMG|2ZMB|1DUR	1TLV|24ZMB|3RCR|5DMG|69VULN|7MLV|8AART|aDUR
87	41133 11353	   	168.54	ACR|2DMG|1AART|1VULN|2ZMB|1DUR	1TLV|24ZMB|3RCR|59DMG|6VULN|7MLV|8AART|aDUR
88	41133 12261	   	168.54	ACR|2VULN|1AART|1DMG|2ZMB|1ASPD	1TLV|24ZMB|3RCR|5DMG|69VULN|7LWND|8AART|aASPD
89	41163 11215	   	168.54	ACR|2VULN|1AART|1DMG|2ZMB|1DUR	17TLV|27ZMB|3RCR|4ERES|5LHND|67VULN|7BPWR|8AART|9DUR|aDMG
90	51352 23226	   	168.41	DCR|2AART|2VULN|1DMG|1DUR	1LHND|27AART|3DMG|4RPLT|5DUR|6RCR|8aVULN|9RMIN
91	51352 23232	   	168.41	DCR|2AART|2VULN|1DMG|1DUR	1LHND|27AART|3DMG|4RPLT|5DUR|6RCR|8aVULN|9BEXP
92	41131 22254	 * 	168.32	ACR|2VULN|2DMG|3ZMB	15TLV|245ZMB|3RCR|5BPWR|67VULN|8aDMG|9RPLT
93	51361 22123	   	168.21	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	19LHND|2AART|38DMG|4LWND|5VULN|6ASPD|7RCR|aCDMG
94	51361 22521	   	168.21	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	1LHND|2AART|3aDMG|4LWND|5VULN|6ASPD|7RCR|8CDMG|9RPLT
95	51461 22123	   	168.21	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	19LHND|2AART|3ASPD|4LWND|5VULN|68DMG|7RCR|aCDMG
96	41122 45231	   	168.19	ACR|1AART|1VULN|2CDMG|1FLTHEA|1ZMB|1DUR|1ASPD	1TLV|2ZMB|3RCR|4aCDMG|5VULN|6FLTHEA|7AART|8ASPD|9DUR
97	51231 82347	   	168.11	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1LHND|2AART|3MBVNT|49DMG|5VULN|6CGEN|7RCR|8DUR|aCDMG
98	41122 45132	   	168.06	ACR|1AART|1VULN|1DMG|1FLTHEA|1CDMG|1ZMB	1TLV|2ZMB|3RCR|4CDMG|5VULN|6FLTHEA|7AART|8aFEWX|9DMG
99	51321 22113	   	168.01	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	1LHND|2AART|38DMG|49DUST|5VULN|6ASPD|7RCR|aCDMG
100	51421 22113	   	168.01	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	1LHND|2AART|3ASPD|49DUST|5VULN|68DMG|7RCR|aCDMG
101	41133 16422	   	167.94	ACR|2VULN|1AART|1DMG|2ZMB|1DUR	1TLV|24ZMB|3RCR|5DMG|68VULN|7DUR|9AART|aMLV
102	41133 12421	   	167.94	ACR|2VULN|1AART|1DMG|2ZMB|1ASPD	1TLV|24ZMB|3RCR|5DMG|68VULN|7LWND|9AART|aASPD
103	51231 23845	   	167.45	DCR|2VULN|2DMG|1AART|1ASPD	1aLHND|2AART|3MBVNT|4aDMG|57VULN|6ASPD|8aMLV|9RCR|aBPWR
104	41122 45233	 * 	167.17	ACR|1AART|1VULN|1FLTHEA|1CDMG|2DUR|1ZMB|1ASPD	1TLV|2ZMB|3RCR|4CDMG|5VULN|6FLTHEA|7AART|8ASPD|9aDUR
105	51352 23252	 * 	167.12	DCR|2AART|1VULN|1DMG|2DUR|1ZMB	1LHND|27AART|3DMG|4RPLT|5aDUR|6RCR|8VULN|9ZMB
106	41112 26226	   	167.05	ACR|4VULN|1DMG|2ZMB	17TLV|27ZMB|3RCR|4LWND|5FEWX|679aVULN|7BPWR|8DMG
107	41122 43533	 * 	166.96	ACR|2VULN|1DMG|2CDMG|1FLTHEA|1ZMB	1TLV|2ZMB|3RCR|49CDMG|5aVULN|6FLTHEA|7DMG|8FEWX
108	41133 32356	 * 	166.91	ACR|3DMG|3ZMB|1CDMG|1ASPD	17TLV|247ZMB|3RCR|578DMG|6LEGI|7BPWR|9ASPD|aCDMG
109	41113 11233	 * 	166.62	ACR|2VULN|2AART|3ZMB	17TLV|27aZMB|3RCR|4LWND|5CGEN|67VULN|7BPWR|89AART
110	21422 36112	 * 	166.61	DCR|3DMG|2VULN|1CDMG	14BEXP|2DMSP|349DMG|4BPWR|5aVULN|6CGEN|7RCR|8CDMG
111	33324 53224	 * 	166.57	ACR|2VULN|2DMG|1AART|1ASPD	127LIT|3aDMG|46VULN|5RCR|8AART|9ASPD
112	41163 11233	   	166.52	ACR|2VULN|2AART|3ZMB	17TLV|27aZMB|3RCR|4ERES|5LHND|67VULN|7BPWR|89AART
113	41133 32112	   	166.48	ACR|3DMG|3ZMB|1VULN	179TLV|247ZMB|3RCR|579DMG|6LEGI|79BPWR|89LWND|aVULN
114	41123 14153	 * 	166.39	ACR|2DMG|1AART|2CDMG|1ZMB|1DUR	1TLV|2ZMB|3RCR|47CDMG|5AART|69DMG|8RPLT|aDUR
115	41131 22211	   	166.38	ACR|3VULN|3ZMB|1DMG	15TLV|245ZMB|3RCR|5BPWR|67aVULN|8DMG|9CGEN
116	41131 22222	   	166.38	ACR|3VULN|3ZMB|1DMG	15TLV|245ZMB|3RCR|5BPWR|679VULN|8DMG|aRPLT
117	41131 22223	   	166.38	ACR|3VULN|3ZMB|1DMG	15TLV|245ZMB|3RCR|5BPWR|679VULN|8DMG|aCGEN
118	41131 22225	   	166.38	ACR|3VULN|3ZMB|1DMG	15TLV|245ZMB|3RCR|5BPWR|679VULN|8DMG|aBEXP
119	43141 11513	 * 	166.32	DCR|3VULN|1AART|1DMG|1DUR	17TLV|2LEGI|359VULN|4AART|6DMG|8RCR|aDUR
120	41131 22231	   	166.28	ACR|3VULN|3ZMB|1DMG	15TLV|245ZMB|3RCR|5BPWR|67aVULN|8DMG|9ERES
121	41131 22221	   	166.14	ACR|3VULN|3ZMB|1DMG|1SELL	15TLV|245ZMB|3RCR|5BPWR|679VULN|8DMG|aSELL
122	32234 43262	   	165.97	DCR|2DMG|1AART|1VULN|1ZMB|1ASPD	1LIT|2ERES|3LEGI|48DMG|5AART|6RCR|7VULN|9ZMB|aASPD
123	32234 43331	   	165.97	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1LIT|2ERES|3LEGI|4aDMG|5AART|6RCR|7VULN|8DUR|9ZMB
124	51111 45323	   	165.96	DCR|2AART|2VULN|1CDMG|1ZMB	13LHND|27AART|4CDMG|5LSRHEA|6RCR|89VULN|aZMB
125	36221 26215	 * 	165.92	DCR|2VULN|2DMG|2ZMB|1CDMG	1aLIT|2CDMG|3aDMG|4BELT|59VULN|6CGEN|7RCR|8aZMB|aBPWR
126	51231 82345	   	165.91	DCR|2AART|2DMG|1VULN|1DUR	1LHND|2aAART|3MBVNT|49DMG|5VULN|6CGEN|7RCR|8DUR
127	51321 22141	   	165.91	DCR|2AART|2DMG|1VULN|1ASPD	1LHND|2aAART|38DMG|4DUST|5VULN|6ASPD|7RCR|9LWND
128	51361 22111	   	165.91	DCR|2AART|2DMG|1VULN|1ASPD	1LHND|2aAART|38DMG|4LWND|5VULN|6ASPD|7RCR|9DUST
129	51421 22141	   	165.91	DCR|2AART|2DMG|1VULN|1ASPD	1LHND|2aAART|3ASPD|4DUST|5VULN|68DMG|7RCR|9LWND
130	51461 22111	   	165.91	DCR|2AART|2DMG|1VULN|1ASPD	1LHND|2aAART|3ASPD|4LWND|5VULN|68DMG|7RCR|9DUST
131	51321 22165	   	165.81	DCR|2AART|2DMG|1VULN|1ASPD	1LHND|2aAART|38DMG|4DUST|5VULN|6ASPD|7RCR|9MBVNT
132	41123 14631	   	165.68	ACR|1AART|1VULN|2CDMG|1DMG|2ZMB	1TLV|2aZMB|3RCR|47CDMG|5AART|6DMG|8AIRHEL|9VULN
133	41123 24232	   	165.59	ACR|2VULN|1AART|3CDMG|1ZMB	1aTLV|2ZMB|3RCR|48aCDMG|5AART|6LWND|7BEXP|9aVULN|aBPWR
134	41123 25232	   	165.59	ACR|2VULN|1AART|3CDMG|1ZMB	1aTLV|2ZMB|3RCR|48aCDMG|5AART|6LWND|7FEWX|9aVULN|aBPWR
135	41123 64232	   	165.59	ACR|2VULN|1AART|3CDMG|1ZMB	1aTLV|2ZMB|3RCR|48aCDMG|5AART|6LHND|7BEXP|9aVULN|aBPWR
136	41123 65232	   	165.59	ACR|2VULN|1AART|3CDMG|1ZMB	1aTLV|2ZMB|3RCR|48aCDMG|5AART|6LHND|7FEWX|9aVULN|aBPWR
137	51361 16313	   	165.57	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1LHND|2AART|3aDMG|4LWND|5VULN|6LIT|7RCR|8DUR|9ZMB
138	51361 62111	   	165.57	DCR|2DMG|1AART|1VULN|1ZMB|1ASPD	1LHND|2AART|3aDMG|4LWND|5VULN|6ZMB|7RCR|8ASPD|9FEWX
139	51361 62121	   	165.57	DCR|2DMG|1AART|1VULN|1ZMB|1ASPD	1LHND|2AART|3aDMG|4LWND|5VULN|6ZMB|7RCR|8ASPD|9BEXP
140	41123 22236	   	165.49	ACR|2VULN|1AART|3CDMG|1ZMB	1TLV|2ZMB|3RCR|48aCDMG|5AART|6LWND|79VULN
141	41123 62236	   	165.49	ACR|2VULN|1AART|3CDMG|1ZMB	1TLV|2ZMB|3RCR|48aCDMG|5AART|6LHND|79VULN
142	51321 16313	   	165.47	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1LHND|2AART|3aDMG|4DUST|5VULN|6LIT|7RCR|8DUR|9ZMB
143	51324 26313	   	165.47	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1LHND|2AART|3aDMG|4DUST|5LIT|6VULN|7RCR|8DUR|9ZMB
144	21311 45323	   	165.36	DCR|2AART|2VULN|1CDMG|1ZMB	1BEXP|2DMSP|37AART|4CDMG|5LSRHEA|6RCR|89VULN|aZMB
145	25311 45323	   	165.36	DCR|2AART|2VULN|1CDMG|1ZMB	12BEXP|2BPWR|37AART|4CDMG|5LSRHEA|6RCR|89VULN|aZMB
146	41125 22632	   	165.19	ACR|2VULN|1AART|2CDMG|1ZMB|1DUR	18aTLV|2ZMB|3RCR|4aCDMG|5DUR|6FEWX|7AART|9aVULN|aBPWR
147	51231 82643	   	165.11	DCR|2VULN|2DMG|1AART	1LHND|2AART|3MBVNT|49DMG|5aVULN|6CGEN|7RCR|8FEWX
148	51321 16126	   	165.11	DCR|2VULN|2DMG|1AART	1LHND|2AART|3aDMG|4DUST|58VULN|6LIT|7RCR|9MLV
149	51321 16141	   	165.11	DCR|2VULN|2DMG|1AART	1LHND|2AART|3aDMG|4DUST|58VULN|6LIT|7RCR|9FEWX
150	51321 16161	   	165.11	DCR|2VULN|2DMG|1AART	1LHND|2AART|3aDMG|4DUST|58VULN|6LIT|7RCR|9BEXP
151	51326 16121	   	165.11	DCR|2VULN|2DMG|1AART	1LHND|2AART|3aDMG|4DUST|5BEXP|6LIT|7RCR|89VULN
152	51363 16121	   	165.11	DCR|2VULN|2DMG|1AART	1LHND|2AART|3aDMG|4LWND|5DUST|6LIT|7RCR|89VULN
153	51231 52215	   	165.01	DCR|2VULN|2DMG|1AART	1LHND|2AART|3MBVNT|4aDMG|59VULN|6MLV|7RCR|8BASHEA
154	51231 82215	   	165.01	DCR|2VULN|2DMG|1AART	1LHND|2AART|3MBVNT|4aDMG|59VULN|6CGEN|7RCR|8BASHEA
155	51233 82443	   	165.01	DCR|2VULN|2DMG|1AART	1LHND|2AART|3MBVNT|49DMG|5DUST|6CGEN|7RCR|8aVULN
156	51321 16621	   	165.01	DCR|2VULN|2DMG|1AART	1LHND|2AART|3aDMG|4DUST|59VULN|6LIT|7RCR|8LEGI
157	51231 32215	   	164.91	DCR|2VULN|2DMG|1AART	1LHND|2AART|3MBVNT|4aDMG|59VULN|6ERES|7RCR|8BASHEA
158	51231 44462	   	164.85	DCR|2VULN|2DMG|1AART|1DUR	1LHND|2AART|3MBVNT|49DMG|58VULN|6LWND|7DUR|aRCR
159	33316 15122	 * 	164.70	DCR|2AART|2DMG|1CDMG|1ZMB|1ASPD	125LIT|35DMG|4aAART|5BPWR|6ZMB|7ASPD|8CDMG|9RCR
160	33324 15115	   	164.64	ACR|3VULN|1AART|1DMG|1ASPD	12LIT|3DMG|49aVULN|5RCR|6DMSP|7ASPD|8AART
161	33324 55113	   	164.64	ACR|3VULN|1AART|1DMG|1ASPD	12LIT|3DMG|469VULN|5RCR|7ASPD|8AART|aCGEN
162	43141 16221	   	164.61	DCR|2AART|2VULN|1DMG|1DUR	1TLV|2LEGI|35VULN|4aAART|6DMG|7RCR|8DUR|9LHND
163	33324 51151	   	164.54	ACR|3VULN|1AART|1DMG|1ASPD	12LIT|3DMG|46aVULN|5RCR|7ERES|8AART|9ASPD
164	33324 51111	   	164.54	ACR|3VULN|1AART|1DMG|1DUR	12LIT|3DMG|469VULN|5RCR|7ERES|8AART|aDUR
165	35324 51111	   	164.54	ACR|3VULN|1AART|1DMG|1DUR	1LIT|2DMSP|3DMG|469VULN|5RCR|7ERES|8AART|aDUR
