0	Index      	 *	Score 	Summary	Detail	
1	51512 14321	 * 	224.45	DCR|5VULN|3DMG|1AART	1AART|2569aVULN|3MGNLIT|49aDMG|7RCR|89aLHND|9aBPWR
48	53522 12212	   	200.12	ACR|2DMG|1AART|3ZMB|1VULN|2ASPD	1AART|258ZMB|3RCR|4VULN|68DMG|78ASPD|8BPWR|9CGEN|aDUR
49	53522 12223	   	200.12	ACR|2DMG|1AART|3ZMB|1VULN|2ASPD	1AART|258ZMB|3RCR|4VULN|68DMG|78ASPD|8BPWR|9DUR|aLWND
50	53522 12224	   	200.12	ACR|2DMG|1AART|3ZMB|1VULN|2ASPD	1AART|258ZMB|3RCR|4VULN|68DMG|78ASPD|8BPWR|9DUR|aLHND
51	53522 12225	   	200.12	ACR|2DMG|1AART|3ZMB|1VULN|2ASPD	1AART|258ZMB|3RCR|4VULN|68DMG|78ASPD|8BPWR|9DUR|aLIT
52	53522 12221	   	200.02	ACR|2DMG|1AART|3ZMB|1VULN|2ASPD	1AART|258ZMB|3RCR|4VULN|68DMG|78ASPD|8BPWR|9DUR|aLSRREG
53	53522 12234	   	200.02	ACR|2DMG|1AART|3ZMB|1VULN|2ASPD	1AART|258ZMB|3RCR|4VULN|68DMG|78ASPD|8BPWR|9MBVNT|aDUR
54	53522 12222	   	199.88	ACR|2DMG|1AART|3ZMB|1VULN|2ASPD|1SELL	1AART|258ZMB|3RCR|4VULN|68DMG|78ASPD|8BPWR|9DUR|aSELL
55	53542 12211	   	199.34	ACR|3DMG|2VULN|1AART|2ZMB	1AART|28ZMB|3RCR|49CGEN|568DMG|78VULN|8BPWR|aLHND
56	53542 12212	   	199.34	ACR|3DMG|2VULN|1AART|2ZMB	1AART|28ZMB|3RCR|49CGEN|568DMG|78VULN|8BPWR|aFEWX
57	53542 12231	   	199.34	ACR|3DMG|2VULN|1AART|2ZMB	1AART|28ZMB|3RCR|4CGEN|568DMG|78VULN|8BPWR|9BELT|aLHND
58	53542 12233	   	199.34	ACR|3DMG|2VULN|1AART|2ZMB	1AART|28ZMB|3RCR|4CGEN|568DMG|78VULN|8BPWR|9BELT|aFEWX
59	53521 11211	   	199.34	ACR|3VULN|2DMG|1AART|2ZMB	1AART|2aZMB|3RCR|47aVULN|5LIT|6BEXP|8aDMG|9RCVC|aBPWR
60	53521 31211	   	199.34	ACR|3VULN|2DMG|1AART|2ZMB	1AART|2aZMB|3RCR|47aVULN|5LIT|6LWND|8aDMG|9RCVC|aBPWR
61	53532 11431	   	198.80	ACR|2DMG|1AART|3ZMB|1VULN|2DUR	1AART|257ZMB|3RCR|47DUR|67DMG|7BPWR|8LHND|9VULN|aASPD
62	54521 11111	   	198.04	ACR|3VULN|2DMG|1AART|2ASPD	1AART|2aDMG|3RCR|47aVULN|5LIT|6BEXP|8aASPD|9RCVC|aBPWR
63	54521 31111	   	198.04	ACR|3VULN|2DMG|1AART|2ASPD	1AART|2aDMG|3RCR|47aVULN|5LIT|6LWND|8aASPD|9RCVC|aBPWR
64	52112 43521	 * 	197.37	DCR|2AART|2VULN|2FLTHEA|2ZMB|1CDMG|1SELL	13AART|2SELL|4aFLTHEA|5aZMB|6RCR|7CDMG|8ASPD|9aVULN|aBPWR
65	53526 11312	   	197.32	ACR|2VULN|2DMG|1AART|3ZMB	1AART|25aZMB|3RCR|45VULN|5aBPWR|6aDMG|79aLWND|8RMIN
66	53525 11322	   	197.22	ACR|2VULN|2DMG|1AART|3ZMB	1AART|29aZMB|3RCR|45VULN|6aDMG|7aLWND|8RMIN|aBPWR
67	53521 12241	   	197.22	ACR|2VULN|2DMG|1AART|3ZMB	1AART|29aZMB|3RCR|4aVULN|5LIT|6BEXP|7RCVC|8aDMG|aBPWR
68	53521 32241	   	197.22	ACR|2VULN|2DMG|1AART|3ZMB	1AART|29aZMB|3RCR|4aVULN|5LIT|6LWND|7RCVC|8aDMG|aBPWR
69	53525 12233	   	197.14	ACR|2VULN|2DMG|1AART|2ZMB|2ASPD	1AART|28ZMB|3RCR|45VULN|68DMG|78ASPD|8BPWR|9ERES|aLHND
70	53525 12211	   	196.99	ACR|2VULN|2DMG|1AART|2ZMB|2ASPD|1SELL	1AART|28ZMB|3RCR|45VULN|68DMG|78ASPD|8BPWR|9SELL|aLWND
71	53525 12213	   	196.99	ACR|2VULN|2DMG|1AART|2ZMB|2ASPD|1SELL	1AART|28ZMB|3RCR|45VULN|68DMG|78ASPD|8BPWR|9SELL|aBEXP
72	53525 12212	   	196.89	ACR|2VULN|2DMG|1AART|2ZMB|2ASPD|1SELL	1AART|28ZMB|3RCR|45VULN|68DMG|78ASPD|8BPWR|9SELL|aERES
73	52111 42224	 * 	196.07	DCR|2AART|2DMG|1VULN|1CDMG|1FLTHEA|1SELL	13AART|2SELL|4FLTHEA|5ASPD|6RCR|7aDMG|8CDMG|9VULN
74	54523 11323	   	195.93	ACR|3DMG|2AART|2VULN	15AART|269DMG|3RCR|4aVULN|79MGNLIT|89LHND|9BPWR
75	53531 41211	   	195.92	ACR|2VULN|2DMG|1AART|2ZMB|2DUR	1AART|2aZMB|3RCR|4aDUR|5LIT|67VULN|8aDMG|9RCVC|aBPWR
76	51512 14231	   	195.77	DCR|4VULN|2DMG|1AART	1AART|256aVULN|3MGNLIT|4aDMG|7RCR|8RCVC|9aLWND|aBPWR
77	51512 14322	   	195.77	DCR|4VULN|2DMG|1AART	1AART|2569VULN|3MGNLIT|49DMG|7RCR|89LHND|9BPWR|aCGEN
78	54523 11122	   	195.73	ACR|3DMG|2AART|2VULN	15AART|268DMG|3RCR|49VULN|7MGNLIT|aLWND
79	54523 11133	   	195.73	ACR|3DMG|2AART|2VULN	15AART|268DMG|3RCR|4aVULN|7MGNLIT|9FEWX
80	54523 13233	   	195.73	ACR|3DMG|2AART|2VULN	15AART|268DMG|3RCR|48VULN|78DUST|8BPWR|9RPLT|aFEWX
81	51512 14323	   	195.67	DCR|4VULN|2DMG|1AART	1AART|2569VULN|3MGNLIT|49DMG|7RCR|89LHND|9BPWR|aTLV
82	54523 11123	   	195.63	ACR|3DMG|2AART|2VULN	15AART|268DMG|3RCR|49VULN|7MGNLIT|aNUKE
83	54523 13211	   	195.63	ACR|3DMG|2AART|2VULN	15AART|268DMG|3RCR|48VULN|78DUST|8BPWR|9CGEN|aCANHEL
84	54523 13213	   	195.63	ACR|3DMG|2AART|2VULN	15AART|268DMG|3RCR|48VULN|78aDUST|8BPWR|9CGEN
85	54523 13231	   	195.63	ACR|3DMG|2AART|2VULN	15AART|268DMG|3RCR|48VULN|78DUST|8BPWR|9RPLT|aTLV
86	51512 14121	   	195.57	DCR|4VULN|2DMG|1AART	1AART|2569VULN|3MGNLIT|48DMG|7RCR|aCGEN
87	51523 42321	 * 	195.51	DCR|3VULN|2AART|2DMG	18AART|29aVULN|3MGNLIT|4RPLT|5aLWND|6RCR|7aDMG|aBPWR
88	51512 14123	   	195.47	DCR|4VULN|2DMG|1AART	1AART|2569VULN|3MGNLIT|48DMG|7RCR|aERES
89	53526 11221	   	195.30	ACR|3VULN|1AART|1DMG|2ZMB|1CDMG	1AART|25ZMB|3RCR|45aVULN|5BPWR|6DMG|7LWND|8LHND|9CDMG
90	53332 14162	   	195.01	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1AART|2ZMB|3ASPD|4aVULN|56DMG|7FEWX|8RCR|9CDMG
91	53332 13162	   	194.91	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1AART|2ZMB|3ASPD|4aVULN|56DMG|7DUST|8RCR|9CDMG
