0	Index      	 *	Score 	Summary	Detail	
1	13623 26512	 * 	189.93	ACR|3DMG|2AART|2VULN	19CGEN|2RMIN|3aAART|4LIT|5RCR|689DMG|79VULN|9BPWR
59	22413 66221	 * 	172.52	ACR|4VULN|2AART|1DUR	1678VULN|2CGEN|3LIT|4aAART|5RCR|9DUR
60	14235 23363	   	172.47	ACR|2VULN|1AART|1DMG|1FLTHEA|1DUR|1ASPD	1CGEN|2DUR|3ERES|4RCR|5ASPD|6DMG|7AART|89VULN|aFLTHEA
61	23343 23264	   	172.44	ACR|2VULN|2DMG|1AART|1ZMB	15VULN|2RMIN|3LWND|4RCR|67DMG|8RPLT|9AART|aZMB
62	22343 23362	   	172.33	ACR|3VULN|1AART|1DMG|2DUR	159VULN|2CGEN|3LWND|4RCR|6DMG|7aDUR|8AART
63	22212 36612	   	172.21	ACR|2VULN|2DMG|1AART|1DUR|1ASPD	19VULN|2CGEN|369ERES|4DUR|5RCR|7ASPD|89DMG|9BPWR|aAART
64	22143 23552	   	172.15	ACR|3VULN|2AART|1DMG	159VULN|2CGEN|3BEXP|4RCR|6DMG|7aAART|8RMIN
65	23143 23311	   	171.84	ACR|2VULN|2DMG|1AART|1ZMB	15VULN|2RMIN|38BEXP|4RCR|67DMG|9ZMB|aAART
66	26331 21424	   	171.77	DCR|3VULN|2DMG|1AART	189VULN|247ERES|39LWND|5AART|69DMG|9BPWR|aRCR
67	23143 33611	   	171.74	ACR|2VULN|2DMG|1AART|1ZMB	15VULN|2RMIN|3BEXP|4RCR|6ZMB|78DMG|9DUST|aAART
68	22143 23434	   	171.70	ACR|3VULN|1AART|1DMG|1ZMB	158VULN|2CGEN|3BEXP|4RCR|6DMG|7AART|9ZMB|aLHND
69	22143 23442	   	171.70	ACR|3VULN|1AART|1DMG|1ZMB	158VULN|29CGEN|3BEXP|4RCR|6DMG|7AART|aZMB
70	22143 33224	   	171.70	ACR|3VULN|1AART|1DMG|1ZMB	15aVULN|2CGEN|3BEXP|4RCR|6ZMB|7AART|8RPLT|9DMG
71	23416 13211	   	171.68	ACR|2VULN|2DMG|2AART	19VULN|2RMIN|3LIT|4DMSP|5RCR|69ERES|7aAART|89DMG|9BPWR
72	26143 33611	   	171.64	ACR|2VULN|2DMG|1AART|1ZMB	15VULN|2ERES|3BEXP|4RCR|6ZMB|78DMG|9DUST|aAART
73	22143 23431	   	171.60	ACR|3VULN|1AART|1DMG|1ZMB	158VULN|2CGEN|3BEXP|4RCR|6DMG|7AART|9ZMB|aLEGI
74	23232 64262	   	171.60	ACR|3VULN|1AART|1DMG|1ZMB	169VULN|2RMIN|3ERES|4RCR|5DMSP|7AART|8ZMB|aDMG
75	22123 32834	   	171.58	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	15VULN|2CGEN|3BEXP|4MBVNT|6RCR|7AART|8DMG|9ZMB|aCDMG
76	22123 32885	   	171.58	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	15VULN|2CGEN|3BEXP|4MBVNT|6RCR|7AART|8DMG|9CDMG|aZMB
77	23231 64262	   	171.50	ACR|3VULN|1AART|1DMG|1ZMB	169VULN|2RMIN|35ERES|4RCR|7AART|8ZMB|aDMG
78	25161 33532	 * 	171.41	DCR|3VULN|1DMG|1CDMG|1ZMB|1ASPD|1DUR	13aVULN|2RPLT|4ZMB|5DUR|6CDMG|7DMG|8RCR|9ASPD
79	23233 36614	   	171.33	ACR|3DMG|2VULN|1ZMB|1ASPD	19VULN|2RMIN|3ERES|4RCR|59CGEN|6ZMB|7ASPD|89aDMG|9BPWR
80	21523 32364	   	171.32	DCR|3VULN|1AART|1DMG|1ASPD	159VULN|2DUST|3ASPD|4MBVNT|6RCR|7AART|8RCVC|aDMG
81	23416 13214	   	171.24	ACR|2VULN|2DMG|1AART|1ZMB	19VULN|2RMIN|3LIT|4DMSP|5RCR|69ERES|7AART|89DMG|9BPWR|aZMB
82	61311 45333	   	171.08	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1ZMB|2BELT|3CDMG|4LWND|5DMG|6RCR|7BEXP|8AART|9aVULN
83	23211 25254	   	170.46	DCR|2VULN|2DMG|1AART|2ASPD	17VULN|2RMIN|3ERES|4AART|57ASPD|67DMG|7BPWR|8LIT|9CGEN|aRCR
84	23211 25355	   	170.46	DCR|2VULN|2DMG|1AART|2ASPD	17VULN|2RMIN|3ERES|4AART|57ASPD|67DMG|7BPWR|8BEXP|9LWND|aRCR
85	26411 35211	   	170.40	DCR|3VULN|2AART|2DUR	189VULN|2ERES|39LIT|4aAART|59DUR|6RCR|7RCVC|9BPWR
86	23211 25224	   	170.36	DCR|2VULN|2DMG|1AART|2ASPD	17VULN|2RMIN|3ERES|4AART|57ASPD|67DMG|7BPWR|8LIT|9TLV|aRCR
87	23211 25435	   	170.36	DCR|2VULN|2DMG|1AART|2ASPD	17VULN|2RMIN|3ERES|4AART|57ASPD|67DMG|7BPWR|8DUST|9FEWX|aRCR
88	23211 25625	   	170.36	DCR|2VULN|2DMG|1AART|2ASPD	17VULN|2RMIN|3ERES|4AART|57ASPD|67DMG|7BPWR|8FEWX|9DUST|aRCR
89	62122 86442	 * 	170.30	DCR|2VULN|3ZMB|1AART|1CDMG	18aZMB|2aFEWX|3BEXP|4MBVNT|5AART|6RCR|7CDMG|9aVULN|aBPWR
90	64326 32422	   	170.06	DCR|3ZMB|1AART|1DMG|1VULN|2DUR	138ZMB|23DUR|3BPWR|4VULN|5MBVNT|6RCR|7AART|9DMG|aLHND
91	64326 32423	   	170.06	DCR|3ZMB|1AART|1DMG|1VULN|2DUR	138ZMB|23DUR|3BPWR|4VULN|5MBVNT|6RCR|7AART|9DMG|aFEWX
92	22142 26633	 * 	169.96	ACR|4VULN|1DMG|2CDMG	189aVULN|2CGEN|39BEXP|4RCR|5LHND|6DMG|79CDMG|9BPWR
93	22143 24633	   	169.96	ACR|4VULN|1DMG|2CDMG	159aVULN|2CGEN|39BEXP|4RCR|6DMG|7LWND|89CDMG|9BPWR
94	64326 32421	   	169.96	DCR|3ZMB|1AART|1DMG|1VULN|2DUR	138ZMB|23DUR|3BPWR|4VULN|5MBVNT|6RCR|7AART|9DMG|aERES
95	26112 32684	 * 	169.86	DCR|2VULN|2DMG|1AART|1CDMG	19VULN|2ERES|39BEXP|4LIT|5AART|6CDMG|79DMG|8MBVNT|9BPWR|aRCR
96	13623 22153	   	169.77	ACR|2VULN|2DMG|1AART|1DUR	1aCGEN|2RMIN|3AART|4LIT|5RCR|6aDMG|7LHND|8DUR|9aVULN|aBPWR
97	23262 41631	   	169.72	DCR|2VULN|2DMG|1AART|1ZMB	1aVULN|2RMIN|3ERES|4aLHND|5AART|6ZMB|7FEWX|8aDMG|9RCR|aBPWR
98	21622 12631	   	169.65	DCR|2VULN|2DMG|1AART|2DUR	1aVULN|2DUST|3aDUR|4TLV|56LHND|7AART|8aDMG|9RCR|aBPWR
99	13535 23433	 * 	169.60	ACR|2VULN|1AART|1DMG|2ASPD|1ZMB	1CGEN|2RMIN|38VULN|4RCR|5aASPD|6DMG|7AART|9ZMB
100	23323 32258	   	169.52	DCR|3VULN|1AART|1DMG|1DUR	159VULN|2RMIN|3LWND|4MBVNT|6RCR|7AART|8DUR|aDMG
101	22123 32872	   	169.52	DCR|3VULN|1AART|1DMG|1DUR	159VULN|2CGEN|3BEXP|4MBVNT|6RCR|7AART|8DMG|aDUR
102	22143 23326	   	169.47	ACR|2VULN|2DMG|1AART|1DUR	15VULN|2CGEN|3BEXP|4RCR|69DMG|7AART|8ERES|aDUR
103	23235 32615	   	169.22	ACR|2VULN|2DMG|2ASPD|1ZMB|1DUR	19VULN|2RMIN|3ERES|4RCR|59ASPD|6ZMB|7CGEN|89DMG|9BPWR|aDUR
104	26411 36213	   	169.21	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1VULN|2ERES|3LIT|4AART|5DUR|6RCR|7BASHEA|89DMG|aCDMG
105	23143 36131	   	169.21	ACR|3VULN|1AART|2DUR|1ZMB|1ASPD	159VULN|2RMIN|39BEXP|4RCR|6ZMB|7ASPD|89DUR|9BPWR|aAART
106	22413 35212	   	169.17	ACR|2VULN|2DMG|1AART|1ASPD	19VULN|27CGEN|39LIT|4AART|5RCR|6RMIN|89DMG|9BPWR|aASPD
107	23143 26133	   	169.17	ACR|4VULN|1DMG|2DUR|1ASPD	159aVULN|2RMIN|39BEXP|4RCR|6DMG|7ASPD|89DUR|9BPWR
108	41211 23432	   	169.15	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1RPLT|2CGEN|3CDMG|4AART|5ASPD|6DMG|78VULN|9RCR|aDUR
109	22343 24231	   	169.14	ACR|3VULN|3DMG	159VULN|2CGEN|379LWND|4RCR|69aDMG|8RPLT|9BPWR
110	22343 26231	   	169.14	ACR|3VULN|3DMG	159VULN|2aCGEN|39LWND|4RCR|679DMG|8RPLT|9BPWR
111	22343 26235	   	169.14	ACR|3VULN|3DMG	159VULN|2CGEN|39LWND|4RCR|679DMG|8RPLT|9BPWR|aFEWX
112	22343 26236	   	169.14	ACR|3VULN|3DMG	159VULN|2CGEN|39LWND|4RCR|679DMG|8RPLT|9BPWR|aRMIN
113	22343 26232	   	169.04	ACR|3VULN|3DMG	159VULN|2CGEN|39LWND|4RCR|679DMG|8RPLT|9BPWR|aERES
114	26143 23231	   	169.04	ACR|3VULN|3DMG	159VULN|2ERES|39BEXP|4RCR|679DMG|8RPLT|9BPWR|aCGEN
115	26143 23233	   	169.04	ACR|3VULN|3DMG	159VULN|2ERES|39aBEXP|4RCR|679DMG|8RPLT|9BPWR
116	26143 23235	   	169.04	ACR|3VULN|3DMG	159VULN|2ERES|39BEXP|4RCR|679DMG|8RPLT|9BPWR|aFEWX
117	26143 23236	   	169.04	ACR|3VULN|3DMG	159VULN|2ERES|39BEXP|4RCR|679DMG|8RPLT|9BPWR|aRMIN
118	26343 23231	   	169.04	ACR|3VULN|3DMG	159VULN|2ERES|39LWND|4RCR|679DMG|8RPLT|9BPWR|aCGEN
119	26343 23233	   	169.04	ACR|3VULN|3DMG	159VULN|2ERES|39LWND|4RCR|679DMG|8RPLT|9BPWR|aBEXP
120	26343 23235	   	169.04	ACR|3VULN|3DMG	159VULN|2ERES|39LWND|4RCR|679DMG|8RPLT|9BPWR|aFEWX
121	26343 23236	   	169.04	ACR|3VULN|3DMG	159VULN|2ERES|39LWND|4RCR|679DMG|8RPLT|9BPWR|aRMIN
122	26343 24231	   	169.04	ACR|3VULN|3DMG	159VULN|2ERES|379LWND|4RCR|69aDMG|8RPLT|9BPWR
123	22143 33432	 * 	169.02	ACR|3VULN|3ZMB|1AART	158VULN|2CGEN|3BEXP|4RCR|69aZMB|7AART
124	22143 36632	   	168.73	ACR|2VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	15VULN|2CGEN|3BEXP|4RCR|6ZMB|7ASPD|8DMG|9AART|aDUR
125	23143 36632	   	168.73	ACR|2VULN|1AART|1DMG|1ZMB|1ASPD|1DUR	15VULN|2RMIN|3BEXP|4RCR|6ZMB|7ASPD|8DMG|9AART|aDUR
126	22126 72831	   	168.52	DCR|2VULN|2DMG|1AART|1ZMB	1aVULN|2aCGEN|3BEXP|4MBVNT|5ZMB|6RMIN|7AART|8aDMG|9RCR|aBPWR
127	23126 52831	   	168.52	DCR|2VULN|2DMG|1AART|1ZMB	1aVULN|2RMIN|3aBEXP|4MBVNT|5ZMB|6CGEN|7AART|8aDMG|9RCR|aBPWR
128	23343 23265	   	168.37	ACR|2VULN|2DMG|1AART|1ASPD	15VULN|2RMIN|3LWND|4RCR|67DMG|8RPLT|9AART|aASPD
129	22323 34148	   	168.32	DCR|3VULN|1AART|1DMG|1DUR	157VULN|2CGEN|3LWND|4MBVNT|6RCR|8DUR|9AART|aDMG
130	22411 34211	   	168.30	DCR|3VULN|2AART|2DUR	189VULN|27CGEN|39LIT|4aAART|59DUR|6RCR|9BPWR
131	14231 21344	   	168.27	ACR|2VULN|2DMG|1AART|1DUR	1CGEN|2DUR|3ERES|4RCR|5aVULN|6BELT|78DMG|9AART
132	26323 34148	   	168.22	DCR|3VULN|1AART|1DMG|1DUR	157VULN|2ERES|3LWND|4MBVNT|6RCR|8DUR|9AART|aDMG
133	22123 32266	   	168.07	DCR|4VULN|2AART	159aVULN|2CGEN|3BEXP|4MBVNT|6RCR|78AART
134	23123 32266	   	168.07	DCR|4VULN|2AART	159aVULN|2RMIN|3BEXP|4MBVNT|6RCR|78AART
135	22413 66222	   	168.01	ACR|4VULN|1AART|1ASPD|1DUR	1678VULN|2CGEN|3LIT|4AART|5RCR|9DUR|aASPD
136	26123 32266	   	167.97	DCR|4VULN|2AART	159aVULN|2ERES|3BEXP|4MBVNT|6RCR|78AART
137	22411 34214	   	167.85	DCR|3VULN|1AART|2DUR|1ZMB	189VULN|27CGEN|39LIT|4AART|59DUR|6RCR|9BPWR|aZMB
138	26343 33316	   	167.80	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	15VULN|2ERES|3LWND|4RCR|6ZMB|7DMG|8LIT|9CDMG|aAART
139	22143 26611	   	167.67	ACR|2VULN|2DMG|1AART|1ASPD	15VULN|2CGEN|3BEXP|4RCR|68DMG|7ASPD|9DUST|aAART
140	23143 26611	   	167.67	ACR|2VULN|2DMG|1AART|1ASPD	15VULN|2RMIN|3BEXP|4RCR|68DMG|7ASPD|9DUST|aAART
141	22143 23553	   	167.64	ACR|3VULN|1AART|1DMG|1ASPD	159VULN|2CGEN|3BEXP|4RCR|6DMG|7AART|8RMIN|aASPD
142	22123 32267	   	167.61	DCR|3VULN|2AART|1CDMG	159VULN|2CGEN|3BEXP|4MBVNT|6RCR|78AART|aCDMG
143	23123 32267	   	167.61	DCR|3VULN|2AART|1CDMG	159VULN|2RMIN|3BEXP|4MBVNT|6RCR|78AART|aCDMG
144	22143 22233	 * 	167.58	ACR|4VULN|2DMG	159aVULN|27CGEN|39BEXP|4RCR|69DMG|8RPLT|9BPWR
145	22343 22233	   	167.58	ACR|4VULN|2DMG	159aVULN|27CGEN|39LWND|4RCR|69DMG|8RPLT|9BPWR
146	22143 23162	   	167.54	ACR|3VULN|1AART|1DMG|1DUR	159VULN|2CGEN|3BEXP|4RCR|6DMG|7AART|8DUST|aDUR
147	22143 23356	   	167.54	ACR|3VULN|1AART|1DMG|1DUR	159VULN|2CGEN|3BEXP|4RCR|6DMG|7AART|8ERES|aDUR
148	22143 23422	   	167.54	ACR|3VULN|1AART|1DMG|1DUR	158VULN|2CGEN|3BEXP|4RCR|6DMG|7AART|9DUST|aDUR
149	22123 32886	   	167.51	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	15VULN|2CGEN|3BEXP|4MBVNT|6RCR|7AART|8DMG|9CDMG|aASPD
150	26123 32267	   	167.51	DCR|3VULN|2AART|1CDMG	159VULN|2ERES|3BEXP|4MBVNT|6RCR|78AART|aCDMG
151	14231 63223	   	167.44	ACR|3VULN|1AART|1DMG|1DUR	1CGEN|2DUR|3ERES|4RCR|569VULN|7AART|8SNIHEL|aDMG
152	21523 32263	 * 	167.41	DCR|3VULN|2AART|2ASPD	159VULN|2DUST|3aASPD|4MBVNT|6RCR|78AART
153	22323 33444	   	167.40	DCR|3VULN|1AART|1CDMG|2DUR	158VULN|2CGEN|38LWND|4MBVNT|6RCR|78DUR|8BPWR|9AART|aCDMG
154	41225 23432	   	167.35	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1RPLT|2CGEN|3CDMG|48VULN|5ASPD|6DMG|7AART|9RCR|aDUR
155	22155 23331	   	167.31	DCR|3VULN|1AART|1DMG|2DUR	15aVULN|2CGEN|3aBEXP|4LHND|6DMG|7aDUR|8AART|9RCR|aBPWR
156	21523 32472	   	167.30	DCR|3VULN|1AART|1ZMB|1ASPD|1DUR	159VULN|2DUST|3ASPD|4MBVNT|6RCR|7AART|8ZMB|aDUR
157	64321 34122	   	167.28	DCR|2VULN|3ZMB|1AART|2DUR	13aZMB|23DUR|3aBPWR|4aVULN|5DMSP|6RCR|7RPLT|8AART|9aFEWX
158	64321 34132	   	167.28	DCR|2VULN|3ZMB|1AART|2DUR	13aZMB|23DUR|3aBPWR|4aVULN|5DMSP|6RCR|7RPLT|8AART|9aLWND
159	22343 23341	   	167.24	ACR|3VULN|1AART|1DMG|1DUR	15aVULN|2CGEN|3aLWND|4RCR|6DMG|7DUR|8AART|9aFEWX|aBPWR
160	23416 13212	   	167.17	ACR|2VULN|2DMG|1AART|1ASPD	19VULN|2RMIN|3LIT|4DMSP|5RCR|69ERES|7AART|89DMG|9BPWR|aASPD
161	22142 15633	   	167.13	ACR|3VULN|2DMG|1CDMG	19aVULN|2CGEN|39BEXP|4RCR|56LHND|7CDMG|89DMG|9BPWR
162	64321 34112	   	167.08	DCR|2VULN|3ZMB|1AART|2DUR	13aZMB|23DUR|3aBPWR|4aVULN|5DMSP|6RCR|7RPLT|8AART|9aDUST
163	22143 24262	   	167.04	ACR|3VULN|1AART|1DMG|1DUR	159VULN|2CGEN|3BEXP|4RCR|6DMG|7LWND|8AART|aDUR
164	23143 24162	   	167.04	ACR|3VULN|1AART|1DMG|1DUR	159VULN|2RMIN|3BEXP|4RCR|6DMG|7LWND|8AART|aDUR
165	22343 23361	   	167.04	ACR|3VULN|1AART|1DMG|1DUR	159VULN|2CGEN|3LWND|4RCR|6DMG|7DUR|8AART|aLHND
166	22343 23363	   	167.04	ACR|3VULN|1AART|1DMG|1DUR	159VULN|2CGEN|3LWND|4RCR|6DMG|7DUR|8AART|aMGNSTR
167	26343 33142	   	166.98	ACR|2VULN|1AART|1DMG|2DUR|1ZMB	15VULN|2ERES|3LWND|4RCR|6ZMB|7DMG|8aDUR|9AART
168	21523 32447	   	166.97	DCR|3VULN|1AART|2ASPD|1ZMB	15aVULN|2DUST|39ASPD|4MBVNT|6RCR|7AART|8ZMB
