0	Index      	 *	Score 	Summary	Detail	
1	33125 62262	 * 	224.63	DCR|3ASPD|2VULN|2DMG|2CDMG	169ASPD|249AME|37VULN|56DMG|69BPWR|89CDMG|aRCR
42	32141 31126	   	202.62	DCR|2VULN|2ASPD|1AART|2CDMG	17ASPD|27VULN|3MLV|4RCVC|5LHND|67CDMG|7BPWR|8AME|9RCR|aAART
43	32241 31126	   	202.62	DCR|2VULN|2ASPD|1AART|2CDMG	17ASPD|27VULN|3CGEN|4RCVC|5LHND|67CDMG|7BPWR|8AME|9RCR|aAART
44	32211 21323	   	202.34	DCR|3VULN|1ASPD|1DMG|1CDMG|1ZMB	1ASPD|257VULN|3CGEN|4LWND|6DMG|8CDMG|9RCR|aZMB
45	32152 31125	   	202.10	DCR|3VULN|2ASPD|2CDMG|1DUR	17ASPD|27aVULN|34MLV|5DUR|67CDMG|7BPWR|8AME|9RCR
46	24311 25421	 * 	201.68	DCR|2VULN|2AART|1ASPD|1DMG	1FEWX|2LHND|3DMG|4ERES|56VULN|7RCR|8aAART|9ASPD
47	11232 36516	 * 	201.62	ACR|2VULN|2DMG|3CDMG|1AART|2ZMB	156AME|256CDMG|3AART|4RCR|56aBPWR|7aZMB|8aVULN|9aDMG
48	33122 65315	   	200.70	DCR|2VULN|2ASPD|1DMG|1CDMG|1DUR	16ASPD|24AME|3aVULN|5DUR|7RCR|8CDMG|9DMG
49	32352 25232	   	200.10	DCR|4VULN|1ASPD|1CDMG|1DUR	1ASPD|269aVULN|3FEWX|4MLV|5DUR|7RCR|8CDMG
50	33132 25232	   	200.10	DCR|4VULN|1ASPD|1CDMG|1DUR	1ASPD|2AME|369aVULN|4FEWX|5DUR|7RCR|8CDMG
51	33241 25232	   	200.10	DCR|4VULN|1ASPD|1CDMG|1DUR	1ASPD|2AME|3FEWX|4DUR|569aVULN|7RCR|8CDMG
52	35241 25232	   	200.10	DCR|4VULN|1ASPD|1CDMG|1DUR	1ASPD|2MLV|3FEWX|4DUR|569aVULN|7RCR|8CDMG
53	13245 23225	   	200.07	DCR|2VULN|2DMG|1ASPD|1CDMG|1DUR	12AME|3DUR|45DMG|6aVULN|7CDMG|8ASPD|9RCR
54	33124 11728	   	200.00	DCR|3VULN|2ASPD|2CDMG|1DUR	17ASPD|24AME|378VULN|57CDMG|6MBVNT|7BPWR|9DUR|aRCR
55	32312 25232	   	200.00	DCR|4VULN|1ASPD|1CDMG|1DUR	1ASPD|269aVULN|3FEWX|4ERES|5DUR|7RCR|8CDMG
56	33161 16161	 * 	199.88	DCR|2VULN|2ASPD|1AART|1DMG|1SELL	1aASPD|2AME|3aVULN|4LIT|5SELL|6DMG|7RCR|8aFEWX|9AART|aBPWR
57	31462 31125	   	199.81	DCR|3VULN|2ASPD|1CDMG|2DUR	17ASPD|2CDMG|37DUR|4AELBLL|5ERES|67aVULN|7BPWR|8AME|9RCR
58	32151 31126	   	199.74	DCR|2VULN|2ASPD|1AART|2CDMG	17ASPD|27VULN|34MLV|5LHND|67CDMG|7BPWR|8AME|9RCR|aAART
59	32142 36125	   	199.58	DCR|2VULN|2ASPD|1DMG|1CDMG|1DUR	18ASPD|2aVULN|3MLV|4RCVC|5DUR|6CDMG|7DMG|9RCR
60	33142 36125	   	199.58	DCR|2VULN|2ASPD|1DMG|1CDMG|1DUR	18ASPD|2AME|3aVULN|4RCVC|5DUR|6CDMG|7DMG|9RCR
61	33122 65511	   	199.00	DCR|3ASPD|2VULN|1CDMG|2DUR	168ASPD|24AME|38VULN|58DUR|7RCR|8BPWR|9RMIN|aCDMG
62	31346 25113	   	198.95	DCR|2VULN|2ASPD|1AART|1CDMG|1SELL	1aASPD|2CDMG|3aBEXP|4RCVC|5SELL|6aVULN|7RCR|8AART|9BELT|aBPWR
63	32245 63323	   	198.92	DCR|2DMG|2ASPD|1VULN|1CDMG|1ZMB	16ASPD|2VULN|3CGEN|4RCVC|56DMG|6BPWR|7LWND|8CDMG|9RCR|aZMB
64	32211 25123	   	198.73	DCR|2VULN|2ASPD|1DMG|1CDMG|1ZMB	18ASPD|25VULN|3CGEN|4LWND|6DMG|7CDMG|9RCR|aZMB
65	32352 25421	   	198.50	DCR|2VULN|2ASPD|1AART|1ZMB|1DUR	19ASPD|26VULN|3FEWX|4MLV|5DUR|7RCR|8AART|aZMB
66	33132 25421	   	198.50	DCR|2VULN|2ASPD|1AART|1ZMB|1DUR	19ASPD|2AME|36VULN|4FEWX|5DUR|7RCR|8AART|aZMB
67	33241 25421	   	198.50	DCR|2VULN|2ASPD|1AART|1ZMB|1DUR	19ASPD|2AME|3FEWX|4DUR|56VULN|7RCR|8AART|aZMB
68	32312 25421	   	198.40	DCR|2VULN|2ASPD|1AART|1ZMB|1DUR	19ASPD|26VULN|3FEWX|4ERES|5DUR|7RCR|8AART|aZMB
69	32211 11325	   	198.12	DCR|4VULN|1ASPD|1CDMG|1ZMB	1ASPD|257aVULN|3CGEN|4LWND|6ZMB|8CDMG|9RCR
70	33443 33432	   	197.94	DCR|2VULN|2CDMG|1ASPD|1DMG|1ZMB	1ASPD|2AME|38CDMG|4BEXP|5ZMB|6RCR|7DMG|9aVULN
71	31511 23125	   	197.78	DCR|3VULN|2ASPD|1CDMG|1DUR	18ASPD|2CDMG|3RCVC|47aVULN|5LWND|6DUR|9RCR
72	32111 25122	 * 	197.76	DCR|2VULN|1MDPS|2ASPD|1DMG|1CDMG	18ASPD|25VULN|3MLV|4LWND|6DMG|7CDMG|9RCR|aMDPS
73	32111 36122	   	197.76	DCR|2VULN|1MDPS|2ASPD|1DMG|1CDMG	18ASPD|25VULN|3MLV|4LWND|6CDMG|7DMG|9RCR|aMDPS
74	32351 36122	   	197.76	DCR|2VULN|1MDPS|2ASPD|1DMG|1CDMG	18ASPD|25VULN|3FEWX|4MLV|6CDMG|7DMG|9RCR|aMDPS
75	33111 25122	   	197.76	DCR|2VULN|1MDPS|2ASPD|1DMG|1CDMG	18ASPD|2AME|35VULN|4LWND|6DMG|7CDMG|9RCR|aMDPS
76	33111 36122	   	197.76	DCR|2VULN|1MDPS|2ASPD|1DMG|1CDMG	18ASPD|2AME|35VULN|4LWND|6CDMG|7DMG|9RCR|aMDPS
77	33131 36122	   	197.76	DCR|2VULN|1MDPS|2ASPD|1DMG|1CDMG	18ASPD|2AME|35VULN|4FEWX|6CDMG|7DMG|9RCR|aMDPS
78	35111 25122	   	197.76	DCR|2VULN|1MDPS|2ASPD|1DMG|1CDMG	18ASPD|2MLV|35VULN|4LWND|6DMG|7CDMG|9RCR|aMDPS
79	35111 36122	   	197.76	DCR|2VULN|1MDPS|2ASPD|1DMG|1CDMG	18ASPD|2MLV|35VULN|4LWND|6CDMG|7DMG|9RCR|aMDPS
80	32361 45113	 * 	197.69	DCR|3VULN|2ASPD|2AAC|1AART	1aASPD|25aVULN|3aFEWX|46AAC|7RCR|8AART|9BELT|aBPWR
81	33211 25422	   	197.69	DCR|3VULN|2ASPD|1AART	19ASPD|2AME|3FEWX|4LWND|56aVULN|7RCR|8AART
82	35211 25422	   	197.69	DCR|3VULN|2ASPD|1AART	19ASPD|2MLV|3FEWX|4LWND|56aVULN|7RCR|8AART
83	32311 36122	   	197.66	DCR|2VULN|1MDPS|2ASPD|1DMG|1CDMG	18ASPD|25VULN|3FEWX|4ERES|6CDMG|7DMG|9RCR|aMDPS
84	36111 25122	   	197.66	DCR|2VULN|1MDPS|2ASPD|1DMG|1CDMG	18ASPD|2TLV|35VULN|4LWND|6DMG|7CDMG|9RCR|aMDPS
85	36111 36122	   	197.66	DCR|2VULN|1MDPS|2ASPD|1DMG|1CDMG	18ASPD|2TLV|35VULN|4LWND|6CDMG|7DMG|9RCR|aMDPS
86	36211 25422	   	197.59	DCR|3VULN|2ASPD|1AART	19ASPD|2TLV|3FEWX|4LWND|56aVULN|7RCR|8AART
87	33132 25424	 * 	197.53	DCR|2VULN|1MDPS|2ASPD|1AART|1DUR	19ASPD|2AME|36VULN|4FEWX|5DUR|7RCR|8AART|aMDPS
88	32242 31123	   	197.48	DCR|2VULN|2ASPD|2CDMG|1ZMB|1DUR	17ASPD|27VULN|3CGEN|4RCVC|5DUR|67CDMG|7BPWR|8AME|9RCR|aZMB
89	32312 25424	   	197.43	DCR|2VULN|1MDPS|2ASPD|1AART|1DUR	19ASPD|26VULN|3FEWX|4ERES|5DUR|7RCR|8AART|aMDPS
90	12616 41232	   	197.19	DCR|3VULN|3ASPD|1CDMG	17AME|267VULN|3CDMG|4LHND|567ASPD|67BPWR|8DUST|9ERES|aRCR
91	33132 25452	   	197.02	DCR|3VULN|1AART|1ASPD|2DUR	1ASPD|2AME|36aVULN|4FEWX|59DUR|7RCR|8AART
92	31521 31125	   	197.00	DCR|3VULN|2ASPD|2CDMG	17ASPD|27CDMG|3RCVC|4ERES|5FEWX|67aVULN|7BPWR|8AME|9RCR
93	31523 31125	   	197.00	DCR|3VULN|2ASPD|2CDMG	17ASPD|27CDMG|3RCVC|4ERES|5BEXP|67aVULN|7BPWR|8AME|9RCR
94	31542 31125	   	197.00	DCR|3VULN|2ASPD|2CDMG	17ASPD|27CDMG|3RCVC|4BEXP|5ERES|67aVULN|7BPWR|8AME|9RCR
95	32312 25452	   	196.92	DCR|3VULN|1AART|1ASPD|2DUR	1ASPD|26aVULN|3FEWX|4ERES|59DUR|7RCR|8AART
96	32152 36125	   	196.70	DCR|2VULN|2ASPD|1DMG|1CDMG|1DUR	18ASPD|2aVULN|34MLV|5DUR|6CDMG|7DMG|9RCR
97	33122 36125	   	196.70	DCR|2VULN|2ASPD|1DMG|1CDMG|1DUR	18ASPD|24AME|3aVULN|5DUR|6CDMG|7DMG|9RCR
98	31342 31125	   	196.58	DCR|3VULN|2ASPD|2CDMG	17ASPD|27CDMG|3BEXP|4RCVC|5ERES|67aVULN|7BPWR|8AME|9RCR
99	32142 31122	   	196.51	DCR|2VULN|1MDPS|2ASPD|2CDMG|1DUR	17ASPD|27VULN|3MLV|4RCVC|5DUR|67CDMG|7BPWR|8AME|9RCR|aMDPS
100	33111 65521	   	196.31	DCR|3VULN|3ASPD|1CDMG|1AAC	168ASPD|2AME|358VULN|48LWND|7RCR|8BPWR|9AAC|aCDMG
101	31246 25113	   	196.06	DCR|2VULN|2ASPD|1AART|1CDMG|1SELL	1aASPD|2CDMG|3DMSP|4aBEXP|5SELL|6aVULN|7RCR|8AART|9BELT|aBPWR
102	33211 25211	   	196.01	DCR|3VULN|1ASPD|1DMG|1CDMG	1ASPD|2AME|3FEWX|4LWND|56aVULN|7RCR|8CDMG|9DMG
103	33211 25236	   	196.01	DCR|3VULN|1ASPD|1DMG|1CDMG	1ASPD|2AME|3FEWX|4LWND|569VULN|7RCR|8CDMG|aDMG
104	35211 25211	   	196.01	DCR|3VULN|1ASPD|1DMG|1CDMG	1ASPD|2MLV|3FEWX|4LWND|56aVULN|7RCR|8CDMG|9DMG
105	35211 25236	   	196.01	DCR|3VULN|1ASPD|1DMG|1CDMG	1ASPD|2MLV|3FEWX|4LWND|569VULN|7RCR|8CDMG|aDMG
106	32352 25212	   	195.84	DCR|2VULN|1MDPS|1ASPD|1DMG|1CDMG|1DUR	1ASPD|26VULN|3FEWX|4MLV|5DUR|7RCR|8CDMG|9DMG|aMDPS
107	33132 25212	   	195.84	DCR|2VULN|1MDPS|1ASPD|1DMG|1CDMG|1DUR	1ASPD|2AME|36VULN|4FEWX|5DUR|7RCR|8CDMG|9DMG|aMDPS
108	33241 25212	   	195.84	DCR|2VULN|1MDPS|1ASPD|1DMG|1CDMG|1DUR	1ASPD|2AME|3FEWX|4DUR|56VULN|7RCR|8CDMG|9DMG|aMDPS
109	35241 25212	   	195.84	DCR|2VULN|1MDPS|1ASPD|1DMG|1CDMG|1DUR	1ASPD|2MLV|3FEWX|4DUR|56VULN|7RCR|8CDMG|9DMG|aMDPS
110	32312 25212	   	195.74	DCR|2VULN|1MDPS|1ASPD|1DMG|1CDMG|1DUR	1ASPD|26VULN|3FEWX|4ERES|5DUR|7RCR|8CDMG|9DMG|aMDPS
111	32242 21323	   	195.70	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1ASPD|27VULN|3CGEN|4RCVC|5DUR|6DMG|8CDMG|9RCR|aZMB
112	31511 52126	   	195.42	DCR|2VULN|2ASPD|1AART|1CDMG	18ASPD|2CDMG|3RCVC|47VULN|5LWND|6LHND|9RCR|aAART
113	33111 65513	   	195.34	DCR|3VULN|3ASPD|1DUR	168ASPD|2AME|358VULN|48LWND|7RCR|8BPWR|9RMIN|aDUR
114	32111 31666	 * 	195.22	5VULN|3ASPD|3CDMG|1AART	179ASPD|25789VULN|3MLV|4LWND|679CDMG|79BPWR|aAART
115	32241 21325	   	194.89	DCR|3VULN|1ASPD|1DMG|1CDMG	1ASPD|27aVULN|3CGEN|4RCVC|5LHND|6DMG|8CDMG|9RCR
116	32245 11325	   	194.89	DCR|3VULN|1ASPD|1DMG|1CDMG	1ASPD|27aVULN|3CGEN|4RCVC|5DMG|6LWND|8CDMG|9RCR
117	11232 41422	   	194.81	ACR|2DMG|2ASPD|1VULN|1AART|2CDMG	158AME|25CDMG|3AART|4RCR|58BPWR|68DMG|78ASPD|9VULN|aDMSP
118	11232 41423	   	194.81	ACR|2DMG|2ASPD|1VULN|1AART|2CDMG	158AME|25CDMG|3AART|4RCR|58BPWR|68DMG|78ASPD|9VULN|aBEXP
119	11232 41425	   	194.81	ACR|2DMG|2ASPD|1AART|1VULN|2CDMG	158AME|25CDMG|3AART|4RCR|58BPWR|68DMG|78ASPD|9VULN|aLHND
120	11232 41421	   	194.71	ACR|2DMG|2ASPD|1AART|1VULN|2CDMG	158AME|25CDMG|3AART|4RCR|58BPWR|68DMG|78ASPD|9VULN|aTLV
121	11232 41424	   	194.71	ACR|2DMG|2ASPD|1AART|1VULN|2CDMG	158AME|25CDMG|3AART|4RCR|58BPWR|68DMG|78ASPD|9VULN|aERES
