0	Index      	 *	Score 	Summary	Detail	
1	14242 14523	 * 	220.44	DCR|2MDPS|2VULN|2DMG|2CDMG|1ASPD	1aMDPS|27DMG|3RPLT|47CDMG|5MBVNT|67VULN|7BPWR|8RCR|9ASPD
13	25122 12142	   	211.16	DCR|3VULN|2DMG|1ASPD|2DUR	1aDUR|2BEXP|34aVULN|5ASPD|6ERES|7RMIN|8aDMG|9RCR|aBPWR
14	11663 13323	 * 	209.84	DCR|3VULN|1MDPS|2ASPD|1AART|1CDMG	1MDPS|2BELT|356VULN|4CDMG|7AART|8aASPD|9RCR
15	31343 13323	   	209.84	DCR|3VULN|1MDPS|2ASPD|1AART|1CDMG	156VULN|2CDMG|3BELT|4MDPS|7AART|8aASPD|9RCR
16	14242 14513	   	209.50	DCR|2VULN|2DMG|1MDPS|2CDMG|1ASPD|1DUR	1MDPS|27DMG|3RPLT|47CDMG|5MBVNT|67VULN|7BPWR|8RCR|9DUR|aASPD
17	14621 22163	   	209.03	DCR|2VULN|1MDPS|2DMG|1AART|1CDMG|2ZMB	1MDPS|2aDMG|3ERES|4aVULN|5AART|6BEXP|7CDMG|8aZMB|9RCR|aBPWR
18	35323 33612	 * 	208.81	DCR|4VULN|2DMG|1MDPS|2DUR	138aVULN|2CGEN|4MDPS|5aDMG|6RCVC|7RCR|9aDUR|aBPWR
19	35323 33212	 * 	208.62	DCR|3VULN|3DMG|1MDPS|2DUR	13aVULN|2CGEN|4MDPS|59aDMG|6RCVC|7RCR|8aDUR|aBPWR
20	35316 21623	   	207.37	DCR|3VULN|1MDPS|1ASPD|1DMG|1CDMG	138VULN|2CGEN|4DMG|5CDMG|6RCR|7ASPD|9RPLT|aMDPS
21	14324 22362	 * 	207.28	DCR|2VULN|1MDPS|1AART|2CDMG|1ASPD|1DMG	1MDPS|2DMG|37CDMG|4AART|5aVULN|6RPLT|8RCR|9ASPD
22	14242 14511	   	207.26	DCR|3VULN|2DMG|1MDPS|2CDMG|1DUR	1MDPS|27DMG|3RPLT|47CDMG|5MBVNT|67aVULN|7BPWR|8RCR|9DUR
23	25122 33141	   	207.09	DCR|3VULN|2DMG|1ASPD|2DUR	1aDUR|27BEXP|34aVULN|5ASPD|6FEWX|8aDMG|9RCR|aBPWR
24	25122 63141	   	207.09	DCR|3VULN|2DMG|1ASPD|2DUR	1aDUR|27BEXP|34aVULN|5ASPD|6LWND|8aDMG|9RCR|aBPWR
25	36322 36141	   	206.99	DCR|3VULN|2DMG|1ASPD|2DUR	14aVULN|2aDUR|36FEWX|5ASPD|7LEGI|8aDMG|9RCR|aBPWR
26	35323 23612	   	206.78	DCR|4VULN|2DMG|1MDPS|2DUR	138aVULN|26CGEN|4MDPS|5aDMG|7RCR|9aDUR|aBPWR
27	35323 23212	   	206.58	DCR|3VULN|3DMG|1MDPS|2DUR	13aVULN|26CGEN|4MDPS|59aDMG|7RCR|8aDUR|aBPWR
28	32325 23322	 * 	206.58	DCR|4VULN|1MDPS|2DMG|1NUKE|2ZMB	135aVULN|2ERES|4MDPS|6NUKE|7RCR|8aZMB|9aDMG|aBPWR
29	32325 33322	   	206.58	DCR|4VULN|1MDPS|2DMG|1AAC|2ZMB	135aVULN|2ERES|4MDPS|6AAC|7RCR|8aZMB|9aDMG|aBPWR
30	35312 53221	 * 	206.05	DCR|5VULN|1DMG|1CDMG	1368aVULN|2CGEN|4DMG|5LIT|7RCR|9CDMG
31	36162 22142	   	206.01	DCR|3VULN|2DMG|1ASPD|1DUR	13aVULN|2DUR|4aBEXP|5ASPD|6CGEN|7RMIN|8aDMG|9RCR|aBPWR
32	36322 22142	   	206.01	DCR|3VULN|2DMG|1ASPD|1DUR	14aVULN|2DUR|3aFEWX|5ASPD|6CGEN|7RMIN|8aDMG|9RCR|aBPWR
33	36422 22142	   	206.01	DCR|3VULN|2DMG|1ASPD|1DUR	14aVULN|2DUR|3aLHND|5ASPD|6CGEN|7RMIN|8aDMG|9RCR|aBPWR
34	36162 12142	   	205.91	DCR|3VULN|2DMG|1ASPD|1DUR	13aVULN|2DUR|4aBEXP|5ASPD|6ERES|7RMIN|8aDMG|9RCR|aBPWR
35	36322 12142	   	205.91	DCR|3VULN|2DMG|1ASPD|1DUR	14aVULN|2DUR|3aFEWX|5ASPD|6ERES|7RMIN|8aDMG|9RCR|aBPWR
36	36422 12142	   	205.91	DCR|3VULN|2DMG|1ASPD|1DUR	14aVULN|2DUR|3aLHND|5ASPD|6ERES|7RMIN|8aDMG|9RCR|aBPWR
37	36321 32322	 * 	205.52	DCR|4VULN|1AART|1DMG|1DUR	1456VULN|2DUR|3FEWX|7CANSTR|8RCR|9DMG|aAART
38	36113 41243	 * 	205.29	DCR|3VULN|3ASPD|1CDMG|1DUR	136VULN|2DUR|4CDMG|569ASPD|6BPWR|78ERES|aRCR
39	26323 25512	 * 	205.26	DCR|3VULN|2DMG|1AART|1AAC|1DUR	1DUR|2AAC|345VULN|6aDMG|7AART|8LIT|9RCR
40	26324 31512	   	205.26	DCR|3VULN|2DMG|1AART|1AAC|1DUR	1DUR|2AAC|347VULN|5AART|6aDMG|8LIT|9RCR
41	36123 25512	 * 	205.26	DCR|3VULN|2DMG|1AART|1NUKE|1DUR	134VULN|2DUR|5NUKE|6aDMG|7AART|8LIT|9RCR
42	36133 25512	   	205.26	DCR|3VULN|2DMG|1AART|1AAC|1DUR	135VULN|2DUR|4AAC|6aDMG|7AART|8LIT|9RCR
43	36134 31512	   	205.26	DCR|3VULN|2DMG|1AART|1AAC|1DUR	137VULN|2DUR|4AAC|5AART|6aDMG|8LIT|9RCR
44	35316 21114	   	205.19	DCR|2VULN|2DMG|2CDMG|1ASPD	13VULN|2CGEN|4aDMG|59CDMG|6RCR|7ASPD|8BEXP
45	35316 21214	   	205.19	DCR|2VULN|2DMG|2CDMG|1ASPD	13VULN|2CGEN|4aDMG|59CDMG|6RCR|7ASPD|8LWND
46	35316 21314	   	205.19	DCR|2VULN|2DMG|2CDMG|1ASPD	13VULN|2CGEN|4aDMG|59CDMG|6RCR|7ASPD|8FEWX
47	14324 22363	 * 	204.49	DCR|2DMG|1MDPS|1VULN|1AART|2CDMG|1ASPD	1MDPS|2aDMG|37CDMG|4AART|5VULN|6RPLT|8RCR|9ASPD
48	52223 26115	 * 	204.45	DCR|4VULN|2ASPD|2DUR	1RPLT|27DUR|3RMIN|4679VULN|57ASPD|7BPWR|8BEXP|aRCR
49	36113 36151	   	204.41	DCR|2VULN|2ASPD|1AART|1CDMG|1DUR	13VULN|2DUR|4CDMG|59ASPD|6BEXP|7RCR|8LWND|aAART
50	36113 16311	 * 	204.31	DCR|3VULN|1ASPD|1NUKE|1CDMG|1DUR	139VULN|2DUR|4CDMG|5ASPD|6LHND|7RCR|8MLV|aNUKE
51	36113 16611	   	204.31	DCR|3VULN|1ASPD|1NUKE|1CDMG|1DUR	139VULN|2DUR|4CDMG|5ASPD|6LHND|7RCR|8CGEN|aNUKE
52	36113 36311	   	204.31	DCR|3VULN|1ASPD|1NUKE|1CDMG|1DUR	139VULN|2DUR|4CDMG|5ASPD|6BEXP|7RCR|8MLV|aNUKE
53	14324 25312	 * 	204.27	DCR|1SPLARM|2DMG|1MDPS|1VULN|1AART|1ASPD|1CDMG	1MDPS|27DMG|3CDMG|4AART|5VULN|6RPLT|8RCR|9SPLARM|aASPD
54	36113 51533	   	204.16	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	13VULN|2DUR|4CDMG|5ASPD|6TSLFST|7DMG|8AART|9DMSP|aRCR
55	35316 21126	   	203.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	13VULN|2CGEN|4DMG|5CDMG|6RCR|7ASPD|8BEXP|9MLV|aAART
56	35316 21131	   	203.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	13VULN|2CGEN|4DMG|5CDMG|6RCR|7ASPD|8BEXP|9LWND|aAART
57	35316 21141	   	203.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	13VULN|2CGEN|4DMG|5CDMG|6RCR|7ASPD|8BEXP|9LHND|aAART
58	35316 21326	   	203.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	13VULN|2CGEN|4DMG|5CDMG|6RCR|7ASPD|8FEWX|9MLV|aAART
59	35316 21331	   	203.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	13VULN|2CGEN|4DMG|5CDMG|6RCR|7ASPD|8FEWX|9LWND|aAART
60	35316 21341	   	203.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	13VULN|2CGEN|4DMG|5CDMG|6RCR|7ASPD|8FEWX|9LHND|aAART
61	35316 21431	   	203.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	13VULN|2CGEN|4DMG|5CDMG|6RCR|7ASPD|8LIT|9RPLT|aAART
62	35316 21531	   	203.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	13VULN|2CGEN|4DMG|5CDMG|6RCR|7ASPD|8DUST|9LWND|aAART
63	21345 52211	 * 	203.83	DCR|2VULN|2DMG|2CDMG|3DUR	13aDUR|2aCDMG|4RPLT|59DMG|6RCR|7DUST|8aVULN|aBPWR
64	14322 34512	   	203.68	DCR|2VULN|2DMG|1MDPS|1AART|1CDMG|1DUR	1MDPS|2aDMG|3CDMG|4AART|5LWND|67VULN|8DUR|9RCR
65	14321 34512	   	203.58	DCR|2VULN|2DMG|1MDPS|1AART|1CDMG|1DUR	1MDPS|2aDMG|3CDMG|4AART|5DUST|67VULN|8DUR|9RCR
66	14324 31512	   	203.58	DCR|2VULN|2DMG|1MDPS|1AART|1CDMG|1DUR	1MDPS|2aDMG|3CDMG|4AART|56VULN|7DUST|8DUR|9RCR
67	25112 25141	   	202.94	DCR|3VULN|2DMG|1CDMG|2DUR|1SELL	1aDUR|2BEXP|36aVULN|4SELL|5DUST|7CDMG|8aDMG|9RCR|aBPWR
68	34212 25141	   	202.94	DCR|3VULN|2DMG|1CDMG|2DUR|1SELL	16aVULN|2LWND|3aDUR|4SELL|5DUST|7CDMG|8aDMG|9RCR|aBPWR
69	31361 14163	 * 	202.80	ACR|3ASPD|2VULN|1AART|1DMG|1CDMG	15VULN|2CDMG|3BELT|4RCR|6DMG|789ASPD|aAART
70	36161 21141	   	202.78	DCR|4VULN|2DMG|1NUKE|2DUR	135aVULN|2aDUR|4BEXP|6NUKE|7FEWX|8aDMG|9RCR|aBPWR
71	36161 31141	   	202.78	DCR|4VULN|2DMG|2DUR|1AAC	135aVULN|2aDUR|4BEXP|6AAC|7FEWX|8aDMG|9RCR|aBPWR
72	36421 21141	   	202.78	DCR|4VULN|2DMG|1NUKE|2DUR	145aVULN|2aDUR|3LHND|6NUKE|7FEWX|8aDMG|9RCR|aBPWR
73	36421 31141	   	202.78	DCR|4VULN|2DMG|2DUR|1AAC	145aVULN|2aDUR|3LHND|6AAC|7FEWX|8aDMG|9RCR|aBPWR
74	36122 21141	   	202.68	DCR|4VULN|2DMG|1NUKE|2DUR	134aVULN|2aDUR|5DUST|6NUKE|7FEWX|8aDMG|9RCR|aBPWR
75	36122 24141	   	202.68	DCR|4VULN|2DMG|1NUKE|2DUR	134aVULN|2aDUR|5DUST|6NUKE|7BEXP|8aDMG|9RCR|aBPWR
76	36122 31141	   	202.68	DCR|4VULN|2DMG|2DUR|1AAC	134aVULN|2aDUR|5DUST|6AAC|7FEWX|8aDMG|9RCR|aBPWR
77	36122 34141	   	202.68	DCR|4VULN|2DMG|2DUR|1AAC	134aVULN|2aDUR|5DUST|6AAC|7BEXP|8aDMG|9RCR|aBPWR
78	31333 36365	   	202.31	DCR|3VULN|1ASPD|1DMG|1CDMG|1DUR	156VULN|2CDMG|3BELT|4AELBLL|7DUR|8RCR|9ASPD|aDMG
79	31421 23316	   	201.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	19VULN|2CDMG|3CGEN|4BEXP|5DMG|6ASPD|7RCR|8MLV|aAART
80	35621 23316	   	201.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	19VULN|2CGEN|3CDMG|4BEXP|5DMG|6ASPD|7RCR|8MLV|aAART
81	14324 63111	   	201.85	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1CDMG	1MDPS|2DMG|3CDMG|4AART|5aVULN|6LIT|7RCR|8ASPD|9CGEN
82	36162 33141	   	201.85	DCR|3VULN|2DMG|1ASPD|1DUR	13aVULN|2DUR|47aBEXP|5ASPD|6FEWX|8aDMG|9RCR|aBPWR
83	36322 34141	   	201.85	DCR|3VULN|2DMG|1ASPD|1DUR	14aVULN|2DUR|36aFEWX|5ASPD|7BEXP|8aDMG|9RCR|aBPWR
84	35316 22116	 * 	201.72	DCR|3VULN|1AART|1DMG|1CDMG	139VULN|2CGEN|4DMG|5CDMG|6RCR|7LWND|8BEXP|aAART
85	35316 23216	   	201.72	DCR|3VULN|1AART|1DMG|1CDMG	139VULN|2CGEN|4DMG|5CDMG|6RCR|7FEWX|8LHND|aAART
86	33312 53256	   	201.43	DCR|4VULN|2DMG|1DUR	1368VULN|2MLV|49DMG|5LIT|7RCR|aDUR
87	14242 14522	   	201.19	DCR|2VULN|2DMG|1MDPS|2CDMG|1ASPD	1MDPS|27DMG|3RPLT|47CDMG|5MBVNT|67VULN|7BPWR|8RCR|9ASPD|aMULFIG
88	14242 14524	   	201.19	DCR|2VULN|1MDPS|2DMG|2CDMG|1ASPD	1MDPS|27DMG|3RPLT|47CDMG|5MBVNT|67VULN|7BPWR|8RCR|9ASPD|aBEXP
89	14242 14543	   	201.19	DCR|2VULN|1MDPS|2DMG|2CDMG|1ASPD	1MDPS|27DMG|3RPLT|47CDMG|5MBVNT|67VULN|7BPWR|8RCR|9BEXP|aASPD
90	14242 14533	   	201.09	DCR|2VULN|2DMG|1MDPS|2CDMG|1ASPD	1MDPS|27DMG|3RPLT|47CDMG|5MBVNT|67VULN|7BPWR|8RCR|9DUST|aASPD
91	33312 23442	   	201.06	DCR|3VULN|2DMG|1AART	13aVULN|2MLV|4aDMG|5LIT|6FEWX|7RCR|8aERES|9AART|aBPWR
92	33312 23562	   	201.06	DCR|3VULN|2DMG|1AART	138VULN|2MLV|4aDMG|5LIT|6FEWX|7RCR|9AART
93	35312 23442	   	201.06	DCR|3VULN|2DMG|1AART	13aVULN|2CGEN|4aDMG|5LIT|6FEWX|7RCR|8aERES|9AART|aBPWR
94	35312 23562	   	201.06	DCR|3VULN|2DMG|1AART	138VULN|2CGEN|4aDMG|5LIT|6FEWX|7RCR|9AART
95	32312 23562	   	200.96	DCR|3VULN|2DMG|1AART	138VULN|2ERES|4aDMG|5LIT|6FEWX|7RCR|9AART
96	36113 16331	 * 	200.70	DCR|2VULN|2ASPD|1NUKE|1CDMG|1DUR	13VULN|2DUR|4CDMG|59ASPD|6LHND|7RCR|8MLV|aNUKE
97	36113 16631	   	200.70	DCR|2VULN|2ASPD|1NUKE|1CDMG|1DUR	13VULN|2DUR|4CDMG|59ASPD|6LHND|7RCR|8CGEN|aNUKE
98	36113 36331	   	200.70	DCR|2VULN|2ASPD|1NUKE|1CDMG|1DUR	13VULN|2DUR|4CDMG|59ASPD|6BEXP|7RCR|8MLV|aNUKE
99	24313 16433	 * 	200.69	DCR|2VULN|1AART|1ASPD|3DUR|1CDMG	129DUR|29BPWR|39VULN|4CDMG|5ASPD|69LHND|7RCR|8DMSP|aAART
100	36213 16433	   	200.69	DCR|2VULN|1AART|1ASPD|3DUR|1CDMG	19VULN|239DUR|4CDMG|5ASPD|69LHND|7RCR|8DMSP|9BPWR|aAART
101	34113 16412	   	200.61	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1CDMG	13VULN|2LWND|4CDMG|5ASPD|6LHND|7RCR|8AART|9MDPS|aDMG
102	36113 16361	   	200.53	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR	13VULN|2DUR|4CDMG|5ASPD|6LHND|7RCR|8MLV|9ZMB|aAART
103	36113 36351	   	200.53	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR	13VULN|2DUR|4CDMG|5ASPD|6BEXP|7RCR|8MLV|9AART|aZMB
104	34113 16511	   	200.17	DCR|3VULN|1ASPD|1NUKE|1CDMG	139VULN|2LWND|4CDMG|5ASPD|6LHND|7RCR|8RMIN|aNUKE
105	34113 36333	   	199.92	DCR|3VULN|1AART|1ASPD|1CDMG	139VULN|29LWND|4CDMG|5ASPD|689BEXP|7RCR|9BPWR|aAART
106	36113 46231	   	199.81	DCR|3VULN|2ASPD|1CDMG|2DUR	136VULN|2aDUR|4CDMG|56ASPD|6BPWR|7SNIFST|8AELBLL|9RCR
107	36321 23652	   	199.41	DCR|4VULN|2ASPD|2DUR	145aVULN|2aDUR|3FEWX|6CGEN|7aASPD|8MBVNT|9RCR|aBPWR
108	33312 25342	   	199.26	DCR|3VULN|2DMG|1AART	13aVULN|2MLV|4aDMG|5LIT|6FEWX|7aCGEN|8RCR|9AART|aBPWR
109	35122 26342	   	199.26	DCR|3VULN|2DMG|1AART	14aVULN|2CGEN|3aAME|5LIT|6FEWX|7aDMG|8RCR|9AART|aBPWR
110	32312 25342	   	199.16	DCR|3VULN|2DMG|1AART	13aVULN|2ERES|4aDMG|5LIT|6FEWX|7aCGEN|8RCR|9AART|aBPWR
111	43322 26342	   	199.16	DCR|3VULN|2DMG|1AART	1aCGEN|2TLV|34aVULN|5LIT|6FEWX|7aDMG|8RCR|9AART|aBPWR
112	33313 63342	   	199.06	DCR|3VULN|2DMG|1AART	13aVULN|2MLV|4aDMG|5DUST|6ERES|7aLIT|8RCR|9AART|aBPWR
113	35222 26342	   	199.06	DCR|3VULN|2DMG|1AART	14aVULN|2CGEN|3aTLV|5LIT|6FEWX|7aDMG|8RCR|9AART|aBPWR
114	31332 52611	 * 	199.05	DCR|3ASPD|2VULN|2CDMG	19VULN|29CDMG|3BELT|4AELBLL|5LIT|6RCR|7RMIN|89aASPD|9BPWR
115	14242 14541	   	198.96	DCR|3VULN|2DMG|1MDPS|2CDMG	1MDPS|27DMG|3RPLT|47CDMG|5MBVNT|67aVULN|7BPWR|8RCR|9BEXP
116	14242 14531	   	198.86	DCR|3VULN|1MDPS|2DMG|2CDMG	1MDPS|27DMG|3RPLT|47CDMG|5MBVNT|67aVULN|7BPWR|8RCR|9DUST
117	24422 22142	   	198.48	DCR|2VULN|2DMG|1ASPD|3DUR	12aDUR|2aBPWR|3BEXP|4aVULN|5ASPD|6CGEN|7RMIN|8aDMG|9RCR
118	24422 12142	   	198.38	DCR|2VULN|2DMG|1ASPD|3DUR	12aDUR|2aBPWR|3BEXP|4aVULN|5ASPD|6ERES|7RMIN|8aDMG|9RCR
119	31361 14132	   	198.18	ACR|2VULN|2ASPD|1AART|1DMG|1CDMG|1DUR	15VULN|2CDMG|3BELT|4RCR|6DMG|78ASPD|9DUR|aAART
120	43622 21143	 * 	198.04	DCR|2VULN|2DMG|2ASPD|1DUR	1CGEN|2aTLV|3DUR|46VULN|5aASPD|7FEWX|8aDMG|9RCR|aBPWR
121	35316 21612	   	198.01	DCR|3VULN|1ASPD|1DMG|1CDMG	138VULN|2CGEN|4DMG|5CDMG|6RCR|7ASPD|9LWND|aLIT
122	35316 21613	   	198.01	DCR|3VULN|1ASPD|1DMG|1CDMG	138VULN|2CGEN|4DMG|5CDMG|6RCR|7ASPD|9LWND|aLHND
123	35316 21633	   	198.01	DCR|3VULN|1ASPD|1DMG|1CDMG	138VULN|2CGEN|4DMG|5CDMG|6RCR|7ASPD|9AME|aLWND
124	35316 22111	 * 	198.01	DCR|3VULN|1DMG|1NUKE|1CDMG	139VULN|2CGEN|4DMG|5CDMG|6RCR|7LWND|8BEXP|aNUKE
125	35316 22211	   	198.01	DCR|3VULN|1DMG|1NUKE|1CDMG	139VULN|2CGEN|4DMG|5CDMG|6RCR|7LWND|8LHND|aNUKE
126	35316 23111	   	198.01	DCR|3VULN|1DMG|1NUKE|1CDMG	139VULN|2CGEN|4DMG|5CDMG|6RCR|7FEWX|8BEXP|aNUKE
127	35316 23211	   	198.01	DCR|3VULN|1DMG|1NUKE|1CDMG	139VULN|2CGEN|4DMG|5CDMG|6RCR|7FEWX|8LHND|aNUKE
128	36321 32324	   	198.00	DCR|4VULN|1DMG|1CDMG|1DUR	1456VULN|2DUR|3FEWX|7CANSTR|8RCR|9DMG|aCDMG
129	35316 21611	   	197.91	DCR|3VULN|1ASPD|1DMG|1CDMG	138VULN|2CGEN|4DMG|5CDMG|6RCR|7ASPD|9LWND|aTLV
130	35316 21622	   	197.91	DCR|3VULN|1ASPD|1DMG|1CDMG	138VULN|2CGEN|4DMG|5CDMG|6RCR|7ASPD|9RPLT|aMBVNT
131	35316 21631	   	197.91	DCR|3VULN|1ASPD|1DMG|1CDMG	138VULN|2CGEN|4DMG|5CDMG|6RCR|7ASPD|9AME|aTLV
132	35316 21632	   	197.91	DCR|3VULN|1ASPD|1DMG|1CDMG	138VULN|2CGEN|4DMG|5CDMG|6RCR|7ASPD|9AME|aMBVNT
133	35316 21136	   	197.76	DCR|2VULN|2DMG|1ASPD|1CDMG	13VULN|2CGEN|4aDMG|5CDMG|6RCR|7ASPD|8BEXP|9LWND
134	35316 21234	   	197.76	DCR|2VULN|2DMG|1ASPD|1CDMG	13VULN|2CGEN|4aDMG|5CDMG|6RCR|7ASPD|89LWND
135	35316 21336	   	197.76	DCR|2VULN|2DMG|1ASPD|1CDMG	13VULN|2CGEN|4aDMG|5CDMG|6RCR|7ASPD|8FEWX|9LWND
136	36321 32562	 * 	197.72	DCR|5VULN|1AART|1DUR	14568VULN|2DUR|3FEWX|7CANSTR|9RCR|aAART
137	35342 22142	   	197.71	DCR|3VULN|2DMG|1ASPD	13aVULN|2CGEN|4aFEWX|5ASPD|6LHND|7RMIN|8aDMG|9RCR|aBPWR
138	46322 22142	   	197.71	DCR|3VULN|2DMG|1ASPD	1aCGEN|2BEXP|34aVULN|5ASPD|6LHND|7RMIN|8aDMG|9RCR|aBPWR
139	36312 25141	   	197.69	DCR|3VULN|2DMG|1CDMG|1DUR|1SELL	16aVULN|2DUR|3aFEWX|4SELL|5DUST|7CDMG|8aDMG|9RCR|aBPWR
140	34221 16141	   	197.53	DCR|4VULN|2DMG|1AAC|1DUR	145aVULN|2aLWND|3DUR|6FEWX|7AAC|8aDMG|9RCR|aBPWR
141	34221 21141	   	197.53	DCR|4VULN|2DMG|1NUKE|1DUR	145aVULN|2aLWND|3DUR|6NUKE|7FEWX|8aDMG|9RCR|aBPWR
142	34221 24141	   	197.53	DCR|4VULN|2DMG|1NUKE|1DUR	145aVULN|2aLWND|3DUR|6NUKE|7BEXP|8aDMG|9RCR|aBPWR
143	34221 31141	   	197.53	DCR|4VULN|2DMG|1AAC|1DUR	145aVULN|2aLWND|3DUR|6AAC|7FEWX|8aDMG|9RCR|aBPWR
144	34221 34141	   	197.53	DCR|4VULN|2DMG|1AAC|1DUR	145aVULN|2aLWND|3DUR|6AAC|7BEXP|8aDMG|9RCR|aBPWR
145	32342 31433	 * 	197.43	DCR|3VULN|1AART|1ASPD|1DMG	137VULN|2ERES|4FEWX|5AART|6DMG|8ASPD|9BELT|aRCR
146	36121 16141	   	197.43	DCR|4VULN|2DMG|1AAC|1DUR	134aVULN|2DUR|5LEGI|6aFEWX|7AAC|8aDMG|9RCR|aBPWR
147	36121 21141	   	197.43	DCR|4VULN|2DMG|1NUKE|1DUR	134aVULN|2DUR|5LEGI|6NUKE|7aFEWX|8aDMG|9RCR|aBPWR
148	36121 24141	   	197.43	DCR|4VULN|2DMG|1NUKE|1DUR	134aVULN|2DUR|5LEGI|6NUKE|7aBEXP|8aDMG|9RCR|aBPWR
149	36121 31141	   	197.43	DCR|4VULN|2DMG|1AAC|1DUR	134aVULN|2DUR|5LEGI|6AAC|7aFEWX|8aDMG|9RCR|aBPWR
150	36121 34141	   	197.43	DCR|4VULN|2DMG|1AAC|1DUR	134aVULN|2DUR|5LEGI|6AAC|7aBEXP|8aDMG|9RCR|aBPWR
151	33312 53453	   	197.34	DCR|3VULN|2DMG|1ASPD	136VULN|2MLV|49DMG|5LIT|7RCR|8AELBLL|aASPD
152	11634 21363	 * 	197.29	DCR|2VULN|1MDPS|2DMG|1AART|1ASPD	1MDPS|2BELT|36VULN|46DMG|5AART|6BPWR|7CGEN|8LWND|9ASPD|aRCR
153	11634 23363	   	197.29	DCR|2VULN|1MDPS|2DMG|1AART|1ASPD	1MDPS|2BELT|36VULN|46DMG|5AART|6BPWR|7AME|8LWND|9ASPD|aRCR
154	14326 23324	 * 	197.25	DCR|2DMG|1MDPS|2ASPD|1AART|1CDMG|2ZMB	1MDPS|29DMG|3CDMG|4AART|5BELT|6RPLT|79ZMB|89ASPD|9BPWR|aRCR
155	36122 26141	   	197.23	DCR|4VULN|2DMG|1NUKE|1DUR	134aVULN|2DUR|5aDUST|6NUKE|7LEGI|8aDMG|9RCR|aBPWR
156	36122 36141	   	197.23	DCR|4VULN|2DMG|1AAC|1DUR	134aVULN|2DUR|5aDUST|6AAC|7LEGI|8aDMG|9RCR|aBPWR
157	34621 32322	   	197.22	DCR|4VULN|1AART|1DMG	1456VULN|2LWND|3FEWX|7CANSTR|8RCR|9DMG|aAART
158	11634 21263	   	197.19	DCR|2VULN|2DMG|1MDPS|1AART|1ASPD	1MDPS|2BELT|36VULN|46DMG|5AART|6BPWR|7CGEN|8DUST|9ASPD|aRCR
