0	Index      	 *	Score 	Summary	Detail	
1	65312 23351	 * 	185.87	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1LEGI|2RCR|3LIT|4DUR|59VULN|6AART|7ZMB|8aDMG
106	65221 33621	   	163.14	ACR|2DMG|1VULN|2ASPD|1CDMG|1ZMB	1LEGI|2RCR|37LWND|4CDMG|57DMG|67ASPD|7BPWR|8VULN|9ZMB|aBEXP
107	65221 33623	   	163.14	ACR|2DMG|1VULN|2ASPD|1CDMG|1ZMB	1LEGI|2RCR|37LWND|4CDMG|57DMG|67ASPD|7BPWR|8VULN|9ZMB|aRPLT
108	21413 46313	 * 	163.11	DCR|3VULN|1AART|1CDMG|1ASPD	1BEXP|2LIT|3CDMG|49aVULN|5NUKE|6RCR|7AART|8ASPD
109	31413 46313	   	163.11	DCR|3VULN|1AART|1CDMG|1ASPD	1FEWX|2LIT|3CDMG|49aVULN|5NUKE|6RCR|7AART|8ASPD
110	53342 23314	   	163.07	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	1LIT|2ASPD|39VULN|4FEWX|5DMG|6AART|7RCR|8NUKE|aZMB
111	65332 14212	   	162.97	ACR|2VULN|1AART|1CDMG|1ZMB|1ASPD	1LEGI|2RCR|3LIT|4AART|5ZMB|6CDMG|7TLV|89VULN|aASPD
112	64331 23314	   	162.97	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	1LEGI|2DMG|39VULN|4ASPD|5LIT|6AART|7RCR|8NUKE|aZMB
113	41312 23351	   	162.81	DCR|2VULN|2DMG|1AART	1RMIN|2LWND|39VULN|4LIT|5aDMG|6AART|7RCR|8BEXP
114	43342 23331	   	162.81	DCR|2VULN|2DMG|1AART	1RMIN|2LIT|39VULN|4FEWX|5aDMG|6AART|7RCR|8BEXP
115	41312 23642	   	162.71	DCR|2VULN|2DMG|1AART	1RMIN|2LWND|3aVULN|4LIT|59DMG|6AART|7RCR|8MBVNT
116	41312 23661	   	162.71	DCR|2VULN|2DMG|1AART	1RMIN|2LWND|39VULN|4LIT|5aDMG|6AART|7RCR|8MBVNT
117	41312 43134	   	162.71	DCR|2VULN|2DMG|1AART	1RMIN|2LWND|39VULN|4LIT|58DMG|6RCR|7CANHEL|aAART
118	65312 22351	   	162.58	ACR|2VULN|1AART|1DMG|2DUR	1LEGI|2RCR|3LIT|47DUR|59VULN|6AART|8BEXP|aDMG
119	65336 22212	   	162.55	ACR|2VULN|1AART|1DMG|1ZMB	1LEGI|2RCR|3LIT|4AART|56VULN|7CGEN|8ZMB|9DMG|aLHND
120	65336 22221	   	162.55	ACR|2VULN|1AART|1DMG|1ZMB	1LEGI|2RCR|3LIT|4AART|56VULN|7CGEN|8ZMB|9LWND|aDMG
121	65336 22211	   	162.45	ACR|2VULN|1AART|1DMG|1ZMB	1LEGI|2RCR|3LIT|4AART|56VULN|7CGEN|8ZMB|9DMG|aERES
122	65336 22213	   	162.45	ACR|2VULN|1AART|1DMG|1ZMB	1LEGI|2RCR|3LIT|4AART|56VULN|7CGEN|8ZMB|9DMG|aDUST
123	15622 12151	   	162.38	DCR|2VULN|1AART|1DMG|1CDMG	1TLV|29VULN|3RPLT|4AART|5LWND|6RCR|7LIT|8CDMG|aDMG
124	22221 21534	 * 	162.31	DCR|2VULN|2DMG|3DUR|1CDMG	1BEXP|28aDUR|3LWND|4CDMG|5aDMG|6CGEN|7aVULN|9RCR|aBPWR
125	32221 21534	   	162.31	DCR|2VULN|2DMG|3DUR|1CDMG	1FEWX|28aDUR|3LWND|4CDMG|5aDMG|6CGEN|7aVULN|9RCR|aBPWR
126	65221 33242	 * 	162.22	ACR|2DMG|1AART|2ASPD|1CDMG|1DUR	1LEGI|2RCR|37LWND|4CDMG|57DMG|67ASPD|7BPWR|8RPLT|9DUR|aAART
127	33221 53634	 * 	161.91	DCR|3DMG|2VULN|1CDMG	1FEWX|2aBEXP|3LWND|4CDMG|56aDMG|7CGEN|8aVULN|9RCR|aBPWR
128	33221 54261	   	161.86	DCR|2VULN|2DMG|1CDMG|1ZMB	1FEWX|2BEXP|3LWND|4CDMG|56DMG|7RCR|8aVULN|9ZMB
129	65121 53133	   	161.53	ACR|2DMG|1VULN|1CDMG|2DUR|1ZMB	1LEGI|2RCR|39DUR|4CDMG|56DMG|7ZMB|8ERES|aVULN
130	65312 23261	 * 	161.49	ACR|1AART|1VULN|1DMG|2ZMB|1ASPD|1DUR	1LEGI|2RCR|3LIT|4DUR|5VULN|6AART|78ZMB|9ASPD|aDMG
131	12423 15253	 * 	161.48	ACR|2VULN|2AART|1CDMG|1ZMB	1TLV|2BELT|3LSRHEA|4RCR|5ZMB|67AART|8aVULN|9CDMG
132	65121 53231	   	161.27	ACR|3DMG|2ZMB|1CDMG|2DUR	1LEGI|2RCR|39DUR|4CDMG|569DMG|79ZMB|8RPLT|9BPWR|aBEXP
133	65221 33235	 * 	161.18	ACR|3DMG|3ASPD|1CDMG|1DUR	1LEGI|2RCR|379LWND|4CDMG|579DMG|679ASPD|79BPWR|8RPLT|aDUR
134	65121 53232	   	161.17	ACR|3DMG|2ZMB|1CDMG|2DUR	1LEGI|2RCR|39DUR|4CDMG|569DMG|79ZMB|8RPLT|9BPWR|aCANHEL
135	53342 23252	 * 	161.15	DCR|1AART|1VULN|3ASPD|1DMG|1CDMG	1LIT|28aASPD|3VULN|4FEWX|5DMG|6AART|7RCR|9CDMG
136	53342 31323	   	161.01	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1LIT|2ASPD|39VULN|4FEWX|5DMG|6CGEN|7CDMG|8RCR|aAART
137	41312 23352	   	160.88	DCR|3VULN|1AART|1DMG	1RMIN|2LWND|39aVULN|4LIT|5DMG|6AART|7RCR|8BEXP
138	43342 23332	   	160.88	DCR|3VULN|1AART|1DMG	1RMIN|2LIT|39aVULN|4FEWX|5DMG|6AART|7RCR|8BEXP
139	24131 16324	   	160.85	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR	1BEXP|2TLV|3AART|4RPLT|5DUR|6RCR|7CDMG|8aVULN|9ZMB
140	25131 16321	   	160.85	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR	1BEXP|2ERES|3AART|4RPLT|5DUR|6RCR|7CDMG|8aVULN|9ZMB
141	41312 23641	   	160.78	DCR|3DMG|1AART|1VULN	1RMIN|2LWND|3VULN|4LIT|59aDMG|6AART|7RCR|8MBVNT
142	41312 23662	   	160.78	DCR|3VULN|1AART|1DMG	1RMIN|2LWND|39aVULN|4LIT|5DMG|6AART|7RCR|8MBVNT
143	53342 24212	   	160.77	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	1LIT|2ASPD|39VULN|4FEWX|5DMG|6AART|7ZMB|8RCR|aLHND
144	65124 23332	 * 	160.68	ACR|3CDMG|1VULN|1DMG|1FLTHEA|1ASPD|1DUR	1LEGI|2RCR|3DUR|456CDMG|7DMG|8VULN|9ASPD|aFLTHEA
145	53342 24211	   	160.67	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	1LIT|2ASPD|39VULN|4FEWX|5DMG|6AART|7ZMB|8RCR|aERES
146	53342 24213	   	160.67	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	1LIT|2ASPD|39VULN|4FEWX|5DMG|6AART|7ZMB|8RCR|aDUST
147	53342 24222	   	160.67	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	1LIT|2ASPD|3aVULN|4FEWX|5DMG|6AART|7ZMB|8RCR|9DUST
148	64331 24212	   	160.67	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	1LEGI|2DMG|39VULN|4ASPD|5LIT|6AART|7ZMB|8RCR|aLHND
149	64331 24232	   	160.67	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	1LEGI|2DMG|3aVULN|4ASPD|5LIT|6AART|7ZMB|8RCR|9FEWX
150	15134 24113	   	160.65	DCR|3DMG|1VULN|1CDMG|2DUR|1ASPD|1SELL	19TLV|2VULN|39DUR|4ASPD|5SELL|6CDMG|789DMG|9BPWR|aRCR
151	53322 45213	   	160.58	DCR|2DMG|1AART|1VULN|2ASPD	1LIT|28ASPD|3VULN|4LHND|59DMG|6RCR|7AART|aLWND
152	53322 45231	   	160.58	DCR|2DMG|1AART|1VULN|2ASPD	1LIT|28ASPD|3VULN|4LHND|5aDMG|6RCR|7AART|9BEXP
153	53322 45232	   	160.58	DCR|2VULN|1AART|1DMG|2ASPD	1LIT|28ASPD|3aVULN|4LHND|5DMG|6RCR|7AART|9BEXP
154	64331 24211	   	160.57	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	1LEGI|2DMG|39VULN|4ASPD|5LIT|6AART|7ZMB|8RCR|aERES
155	64331 24213	   	160.57	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	1LEGI|2DMG|39VULN|4ASPD|5LIT|6AART|7ZMB|8RCR|aDUST
156	64331 24222	   	160.57	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	1LEGI|2DMG|3aVULN|4ASPD|5LIT|6AART|7ZMB|8RCR|9DUST
