0	Index      	 *	Score 	Summary	Detail	
1	36233 21621	 * 	213.65	ACR|4VULN|2DMG|1AART|2CDMG	168aVULN|25DMG|3RCR|45CDMG|5BPWR|7LHND|9AART
41	36233 64133	   	202.40	ACR|3VULN|3DMG|2CDMG|1ZMB	18aVULN|258DMG|3RCR|45CDMG|58BPWR|6ZMB|78ERES|9LIT
42	36241 12431	   	202.30	ACR|4VULN|2AART|1DMG|1CDMG	168aVULN|2DMG|3RCR|4LWND|5CDMG|79AART
43	36261 12431	   	202.30	ACR|4VULN|2AART|1DMG|1CDMG	168aVULN|2DMG|3RCR|4LHND|5CDMG|79AART
44	56221 12431	   	202.30	ACR|4VULN|2AART|1DMG|1CDMG	1LWND|2DMG|3RCR|468aVULN|5CDMG|79AART
45	36232 12431	   	202.30	ACR|4VULN|2AART|1DMG|1CDMG	168aVULN|2DMG|3RCR|4CDMG|5LHND|79AART
46	36233 62121	   	201.84	ACR|2VULN|2DMG|1AART|2CDMG|1ZMB	1aVULN|25DMG|3RCR|45CDMG|5BPWR|6ZMB|7RCVC|8ASPD|9AART
47	36225 16213	   	201.28	ACR|3VULN|2DMG|1AART|1CDMG	145VULN|25DMG|3RCR|5BPWR|6ERES|7AART|8DMSP|9DUR|aCDMG
48	36232 62241	   	201.28	ACR|3VULN|2DMG|1AART|1CDMG	189VULN|2aDMG|3RCR|4CDMG|5LHND|6DUR|7AART
49	36225 53112	   	201.23	ACR|4VULN|2DMG|1AART	1459VULN|25DMG|3RCR|5BPWR|6FEWX|7DUR|8AART|aBEXP
50	36241 12511	   	201.20	ACR|3VULN|1AART|1DMG|2CDMG|1ZMB	168VULN|2DMG|3RCR|48LWND|58CDMG|7AART|8BPWR|9ASPD|aZMB
51	36261 12511	   	201.20	ACR|3VULN|1AART|1DMG|2CDMG|1ZMB	168VULN|2DMG|3RCR|48LHND|58CDMG|7AART|8BPWR|9ASPD|aZMB
52	56221 12511	   	201.20	ACR|3VULN|1AART|1DMG|2CDMG|1ZMB	18LWND|2DMG|3RCR|468VULN|58CDMG|7AART|8BPWR|9ASPD|aZMB
53	36232 12511	   	201.20	ACR|3VULN|1AART|1DMG|2CDMG|1ZMB	168VULN|2DMG|3RCR|48CDMG|58LHND|7AART|8BPWR|9ASPD|aZMB
54	36225 53111	   	201.13	ACR|4VULN|2DMG|1AART	1459VULN|25DMG|3RCR|5BPWR|6FEWX|7DUR|8AART|aAIRHEA
55	36225 53113	   	201.13	ACR|4VULN|2DMG|1AART	1459VULN|25DMG|3RCR|5BPWR|6FEWX|7DUR|8AART|aLEGI
56	36225 53123	   	201.13	ACR|4VULN|2DMG|1AART	145aVULN|25DMG|3RCR|5BPWR|6FEWX|7DUR|8AART|9DUST
57	36232 12551	   	200.85	ACR|3VULN|2DMG|1AART|2CDMG	168VULN|2aDMG|3RCR|48CDMG|58LHND|7AART|8BPWR|9LWND
58	36241 12521	   	200.75	ACR|3VULN|2DMG|1AART|2CDMG	168VULN|2aDMG|3RCR|48LWND|58CDMG|7AART|8BPWR|9DUST
59	36261 12521	   	200.75	ACR|3VULN|2DMG|1AART|2CDMG	168VULN|2aDMG|3RCR|48LHND|58CDMG|7AART|8BPWR|9DUST
60	56221 12521	   	200.75	ACR|3VULN|2DMG|1AART|2CDMG	18LWND|2aDMG|3RCR|468VULN|58CDMG|7AART|8BPWR|9DUST
61	36232 12521	   	200.75	ACR|3VULN|2DMG|1AART|2CDMG	168VULN|2aDMG|3RCR|48CDMG|58LHND|7AART|8BPWR|9DUST
62	36225 24121	   	200.38	ACR|4VULN|2DMG|1AART|1SELL	145aVULN|25DMG|3RCR|5BPWR|6SELL|7CGEN|8ASPD|9AART
63	36225 25121	   	200.28	ACR|4VULN|2DMG|1AART|1SELL	145aVULN|25DMG|3RCR|5BPWR|6SELL|7ERES|8ASPD|9AART
64	13153 55121	 * 	200.08	DCR|4VULN|1AART|1DMG|2CDMG	1TLV|24CDMG|346aVULN|4BPWR|5DMG|7RCR|8ASPD|9AART
65	36223 43423	   	200.08	ACR|3VULN|2DMG|1AART|1CDMG	145VULN|27DMG|3RCR|6RMIN|8DUR|9AART|aCDMG
66	36223 13423	   	199.98	ACR|3VULN|2DMG|1AART|1CDMG	145VULN|27DMG|3RCR|6ERES|8DUR|9AART|aCDMG
67	36222 13434	   	199.95	ACR|3DMG|2VULN|1AART|2CDMG	14VULN|257DMG|3RCR|6ERES|8AART|9aCDMG
68	36225 31241	   	199.93	ACR|4VULN|2DMG|1AART	1457VULN|25DMG|3RCR|5BPWR|6BELT|8ERES|9DUR|aAART
69	36235 63121	   	199.80	ACR|3VULN|1AART|1DMG|2CDMG|1ZMB	15aVULN|2DMG|3RCR|47CDMG|6ZMB|8ASPD|9AART
70	36232 11532	   	199.55	ACR|3VULN|2DMG|1AART|2CDMG	168VULN|2aDMG|3RCR|48CDMG|58LHND|7DLOT|8BPWR|9AART
71	36233 21622	   	199.55	ACR|3VULN|2DMG|1AART|2CDMG	168VULN|25DMG|3RCR|45CDMG|5BPWR|7LHND|9AART|aLWND
72	36233 21623	   	199.55	ACR|3VULN|2DMG|1AART|2CDMG	168VULN|25DMG|3RCR|45CDMG|5BPWR|7LHND|9AART|aLIT
73	36233 21624	   	199.55	ACR|3VULN|2DMG|1AART|2CDMG	168VULN|25DMG|3RCR|45CDMG|5BPWR|7aLHND|9AART
74	36241 11532	   	199.55	ACR|3VULN|2DMG|1AART|2CDMG	168VULN|2aDMG|3RCR|48LWND|58CDMG|7DLOT|8BPWR|9AART
75	36261 11532	   	199.55	ACR|3VULN|2DMG|1AART|2CDMG	168VULN|2aDMG|3RCR|48LHND|58CDMG|7DLOT|8BPWR|9AART
76	56221 11532	   	199.55	ACR|3VULN|2DMG|1AART|2CDMG	18LWND|2aDMG|3RCR|468VULN|58CDMG|7DLOT|8BPWR|9AART
77	36162 63123	 * 	199.51	DCR|3VULN|3DMG|3ZMB	178VULN|259DMG|38aZMB|48LIT|6RCR|8BPWR
78	36233 21625	   	199.45	ACR|3VULN|2DMG|1AART|2CDMG	168VULN|25DMG|3RCR|45CDMG|5BPWR|7LHND|9AART|aERES
79	36233 55322	   	199.45	ACR|3DMG|2VULN|1AART|2CDMG	1aVULN|258DMG|3RCR|45CDMG|5BPWR|6ERES|7CGEN|9AART
80	33213 63125	   	199.29	ACR|4VULN|3DMG|1CDMG	1578VULN|2RMIN|3RCR|48LIT|689DMG|8BPWR|aCDMG
81	36213 23125	   	199.29	ACR|4VULN|3DMG|1CDMG	1578VULN|289DMG|3RCR|48LIT|6RMIN|8BPWR|aCDMG
82	36223 42125	   	199.29	ACR|4VULN|3DMG|1CDMG	1458VULN|289DMG|3RCR|6RMIN|78LIT|8BPWR|aCDMG
83	36225 13125	   	199.19	ACR|4VULN|3DMG|1CDMG	1459VULN|257DMG|3RCR|59BPWR|69ERES|89BEXP|aCDMG
84	36225 43312	   	199.19	ACR|4VULN|3DMG|1CDMG	1458VULN|257DMG|3RCR|5BPWR|6RMIN|9MLV|aCDMG
85	36225 21111	   	199.15	ACR|4VULN|3DMG|1CDMG|1SELL	1458VULN|258DMG|3RCR|58BPWR|6SELL|78LHND|9RMIN|aCDMG
86	36225 21131	   	199.15	ACR|4VULN|3DMG|1CDMG|1SELL	1458VULN|258DMG|3RCR|58BPWR|6SELL|78LHND|9CGEN|aCDMG
87	36225 21162	   	199.15	ACR|4VULN|3DMG|1CDMG|1SELL	1458VULN|258DMG|3RCR|58BPWR|6SELL|78LHND|9LWND|aCDMG
88	36225 11532	   	199.09	ACR|4VULN|3DMG|1CDMG	145aVULN|259DMG|3RCR|5BPWR|6ERES|7CGEN|8CDMG
89	36225 13312	   	199.09	ACR|4VULN|3DMG|1CDMG	1458VULN|257DMG|3RCR|5BPWR|6ERES|9MLV|aCDMG
90	33213 63133	 * 	198.67	ACR|5VULN|3DMG	1578aVULN|2RMIN|3RCR|48aLIT|68aDMG|8aBPWR|9DMSP
91	36213 23133	   	198.67	ACR|5VULN|3DMG	1578aVULN|28aDMG|3RCR|48aLIT|6RMIN|8aBPWR|9DMSP
92	36223 42133	   	198.67	ACR|5VULN|3DMG	1458aVULN|28aDMG|3RCR|6RMIN|78aLIT|8aBPWR|9DMSP
93	36225 42121	   	198.57	ACR|5VULN|3DMG	1458aVULN|258DMG|3RCR|58BPWR|6RMIN|78LIT|9FEWX
94	36224 12132	   	198.37	ACR|5VULN|3DMG	1468aVULN|289DMG|3RCR|5RPLT|7DMSP|8BPWR
95	36225 13121	   	198.37	ACR|5VULN|3DMG	1459aVULN|257DMG|3RCR|59BPWR|69ERES|89BEXP
96	36233 24132	   	198.34	ACR|3VULN|3DMG|2CDMG	16aVULN|259DMG|3RCR|45CDMG|5BPWR|7CGEN|8ASPD
97	36225 21113	   	198.32	ACR|5VULN|3DMG|1SELL	1458aVULN|258DMG|3RCR|58BPWR|6SELL|78LHND|9RMIN
98	36225 21133	   	198.32	ACR|5VULN|3DMG|1SELL	1458aVULN|258DMG|3RCR|58BPWR|6SELL|78LHND|9CGEN
99	36225 21152	   	198.32	ACR|5VULN|3DMG|1SELL	1458aVULN|258DMG|3RCR|58BPWR|6SELL|78LHND|9RCVC
100	36225 13334	   	198.27	ACR|5VULN|3DMG	1458aVULN|257DMG|3RCR|5BPWR|6ERES|9DMSP
101	36225 13361	   	198.27	ACR|5VULN|3DMG	1458aVULN|257DMG|3RCR|5BPWR|6ERES|9LWND
102	36225 43331	   	198.27	ACR|5VULN|3DMG	1458aVULN|257DMG|3RCR|5BPWR|6RMIN|9LEGI
103	36233 25132	   	198.24	ACR|3VULN|3DMG|2CDMG	16aVULN|259DMG|3RCR|45CDMG|5BPWR|7ERES|8ASPD
104	36223 21132	   	198.22	ACR|5VULN|3DMG|1SELL	1458aVULN|289DMG|3RCR|6SELL|78LHND|8BPWR
105	36225 13341	   	198.17	ACR|5VULN|3DMG	1458aVULN|257DMG|3RCR|5BPWR|6ERES|9LEGI
106	36162 63133	   	198.15	DCR|4VULN|2DMG|3ZMB	178aVULN|25DMG|38aZMB|48aLIT|6RCR|8aBPWR|9DMSP
107	36225 21632	   	198.12	ACR|5VULN|3DMG|1SELL	1458aVULN|259DMG|3RCR|5BPWR|6SELL|7LHND
108	36225 15333	 * 	197.87	ACR|3VULN|2DMG|2AART	145VULN|25DMG|3RCR|5BPWR|6ERES|7DUR|8LHND|9aAART
109	36232 12415	   	197.79	ACR|4VULN|1AART|1DMG|1CDMG	168aVULN|2DMG|3RCR|4CDMG|5LHND|7AART|9ASPD
110	36233 11535	   	197.74	ACR|3VULN|3DMG|3CDMG	189VULN|259DMG|3RCR|458CDMG|589BPWR|689BEXP|7DLOT|aCGEN
111	36233 11536	   	197.74	ACR|3VULN|3DMG|3CDMG	189VULN|259DMG|3RCR|458CDMG|589BPWR|689BEXP|7DLOT|aLWND
112	36233 11531	   	197.64	ACR|3VULN|3DMG|3CDMG	189VULN|259DMG|3RCR|458CDMG|589BPWR|689BEXP|7DLOT|aCANHEL
113	36233 11534	   	197.64	ACR|3VULN|3DMG|3CDMG	189VULN|259DMG|3RCR|458CDMG|589BPWR|689BEXP|7DLOT|aDUST
114	36233 21111	   	197.64	ACR|3VULN|3DMG|3CDMG	168VULN|25aDMG|3RCR|458CDMG|58BPWR|78LHND|9BEXP
115	36233 21131	   	197.64	ACR|3VULN|3DMG|3CDMG	168VULN|259DMG|3RCR|458CDMG|58BPWR|78LHND|aLWND
116	36233 21132	   	197.64	ACR|3VULN|3DMG|3CDMG	168VULN|259DMG|3RCR|458CDMG|58BPWR|78LHND|aBEXP
117	36233 21133	   	197.64	ACR|3VULN|3DMG|3CDMG	168VULN|259DMG|3RCR|458CDMG|58BPWR|78LHND|aCGEN
118	36233 21121	   	197.54	ACR|3VULN|3DMG|3CDMG	168VULN|25aDMG|3RCR|458CDMG|58BPWR|78LHND|9DUST
119	36261 12361	   	197.36	ACR|4VULN|1AART|1DMG|2CDMG	169aVULN|2DMG|3RCR|49LHND|59CDMG|7AART|8DMSP|9BPWR
120	36232 12361	   	197.36	ACR|4VULN|1AART|1DMG|2CDMG	169aVULN|2DMG|3RCR|49CDMG|59LHND|7AART|8DMSP|9BPWR
121	36232 12462	   	197.36	ACR|4VULN|1AART|1DMG|2CDMG	1689VULN|2DMG|3RCR|49CDMG|59LHND|7AART|9BPWR|aLWND
122	36232 12463	   	197.36	ACR|4VULN|1AART|1DMG|2CDMG	1689VULN|2DMG|3RCR|49CDMG|59LHND|7AART|9BPWR|aLIT
123	36232 12541	   	197.36	ACR|4VULN|1AART|1DMG|2CDMG	168aVULN|2DMG|3RCR|48CDMG|589LHND|7AART|8BPWR
124	36223 13426	   	197.33	ACR|3VULN|2DMG|1AART|1ZMB	145VULN|27DMG|3RCR|6ERES|8DUR|9AART|aZMB
125	36225 51122	   	196.93	ACR|3VULN|2DMG|1AART|1ZMB	145VULN|25DMG|3RCR|5BPWR|6FEWX|7ASPD|8RMIN|9ZMB|aAART
126	36225 61122	   	196.93	ACR|3VULN|2DMG|1AART|1ZMB	145VULN|25DMG|3RCR|5BPWR|6LHND|7ASPD|8RMIN|9ZMB|aAART
127	36225 15112	   	196.83	ACR|3VULN|2DMG|1AART|1ZMB	145VULN|25DMG|3RCR|5BPWR|6ERES|7DUR|8ZMB|9CGEN|aAART
128	33213 63123	   	196.64	ACR|4VULN|3DMG|1ZMB	1578VULN|2RMIN|3RCR|48LIT|689DMG|8BPWR|aZMB
129	36213 23123	   	196.64	ACR|4VULN|3DMG|1ZMB	1578VULN|289DMG|3RCR|48LIT|6RMIN|8BPWR|aZMB
130	36223 42123	   	196.64	ACR|4VULN|3DMG|1ZMB	1458VULN|289DMG|3RCR|6RMIN|78LIT|8BPWR|aZMB
131	36235 24121	   	196.59	ACR|4VULN|1AART|1DMG|1CDMG	156aVULN|2DMG|3RCR|4CDMG|7CGEN|8ASPD|9AART
132	36222 16631	   	196.52	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB	14VULN|25DMG|3RCR|6ERES|7AART|8CDMG|9DUR|aZMB
133	36235 25121	   	196.49	ACR|4VULN|1AART|1DMG|1CDMG	156aVULN|2DMG|3RCR|4CDMG|7ERES|8ASPD|9AART
134	36222 16121	   	196.44	ACR|3VULN|3DMG|1AART	14aVULN|25aDMG|3RCR|6ERES|7AART|8CGEN|9aFEWX|aBPWR
135	36225 31631	   	196.36	ACR|5VULN|2DMG|1CDMG	14578VULN|25DMG|3RCR|5BPWR|6BELT|9LWND|aCDMG
136	36225 16122	   	196.34	ACR|3VULN|3DMG|1AART	145VULN|25aDMG|3RCR|5BPWR|6ERES|7AART|8CGEN|9FEWX
137	36225 31251	   	196.26	ACR|5VULN|2DMG|1CDMG	14579VULN|25DMG|3RCR|5BPWR|6BELT|8ERES|aCDMG
138	36225 31611	   	196.26	ACR|5VULN|2DMG|1CDMG	14578VULN|25DMG|3RCR|5BPWR|6BELT|9ERES|aCDMG
139	36235 12121	   	196.16	ACR|4VULN|1AART|1DMG|2CDMG	158aVULN|2DMG|3RCR|48CDMG|68BEXP|7DMSP|8BPWR|9AART
140	36235 21122	   	196.16	ACR|4VULN|1AART|1DMG|2CDMG	1568VULN|2DMG|3RCR|48CDMG|78LHND|8BPWR|9AART|aLWND
141	36235 21123	   	196.16	ACR|4VULN|1AART|1DMG|2CDMG	1568VULN|2DMG|3RCR|48CDMG|78LHND|8BPWR|9AART|aLIT
142	36235 21124	   	196.16	ACR|4VULN|1AART|1DMG|2CDMG	1568VULN|2DMG|3RCR|48CDMG|78aLHND|8BPWR|9AART
143	36236 21121	   	196.16	ACR|4VULN|1AART|1DMG|2CDMG	168aVULN|2DMG|3RCR|48CDMG|5RCVC|78LHND|8BPWR|9AART
144	36333 21561	 * 	196.11	DCR|3VULN|3DMG|2CDMG|2DUR	158VULN|28aDMG|3BEXP|45CDMG|58BPWR|68DUR|7DLOT|9RCR
145	36233 21141	   	196.09	ACR|4VULN|2DMG|3CDMG	168aVULN|25DMG|3RCR|458CDMG|58BPWR|789LHND
146	36235 21125	   	196.06	ACR|4VULN|1AART|1DMG|2CDMG	1568VULN|2DMG|3RCR|48CDMG|78LHND|8BPWR|9AART|aERES
147	36225 13421	   	195.74	ACR|3VULN|3DMG|1AART	145VULN|257DMG|3RCR|5BPWR|6ERES|8AART|9LWND|aCGEN
148	36225 13422	   	195.74	ACR|3VULN|3DMG|1AART	145VULN|257DMG|3RCR|5BPWR|6ERES|8AART|9LWND|aDMSP
149	36222 13443	   	195.64	ACR|3VULN|3DMG|1AART	14aVULN|257DMG|3RCR|6ERES|8AART|9CGEN
150	36225 13423	   	195.64	ACR|3VULN|3DMG|1AART	145VULN|257DMG|3RCR|5BPWR|6ERES|8AART|9LWND|aTLV
151	36233 66112	   	195.50	ACR|2VULN|2DMG|1AART|2CDMG|1ZMB	19VULN|25DMG|3RCR|45CDMG|5BPWR|6ZMB|7RPLT|8AART|aBEXP
152	33233 53233	   	195.44	ACR|3VULN|2DMG|3CDMG|2ASPD	15aVULN|2RMIN|3RCR|457CDMG|5aBPWR|6ERES|8aASPD|9aDMG
153	36233 66111	   	195.40	ACR|2VULN|2DMG|1AART|2CDMG|1ZMB	19VULN|25DMG|3RCR|45CDMG|5BPWR|6ZMB|7RPLT|8AART|aAIRHEA
154	36233 66113	   	195.40	ACR|2VULN|2DMG|1AART|2CDMG|1ZMB	19VULN|25DMG|3RCR|45CDMG|5BPWR|6ZMB|7RPLT|8AART|aLEGI
155	36233 24513	 * 	195.34	ACR|2VULN|2DMG|2AART|2CDMG	16VULN|25DMG|3RCR|45CDMG|5BPWR|7CGEN|8MGNLIT|9aAART
156	36233 23113	   	195.24	ACR|2VULN|2DMG|2AART|2CDMG	16VULN|25DMG|3RCR|45CDMG|5BPWR|7BASHEA|8CGEN|9aAART
157	36233 31113	   	195.24	ACR|2VULN|2DMG|2AART|2CDMG	17VULN|25DMG|3RCR|45CDMG|5BPWR|6AIRHEL|8CGEN|9aAART
158	36222 21123	   	195.10	ACR|3VULN|3DMG|1AART|1SELL	148VULN|258DMG|3RCR|6SELL|78LHND|8BPWR|9AART|aRPLT
159	36222 21124	   	195.10	ACR|3VULN|3DMG|1AART|1SELL	148VULN|258DMG|3RCR|6SELL|78LHND|8BPWR|9AART|aLIT
160	36222 21125	   	195.10	ACR|3VULN|3DMG|1AART|1SELL	148VULN|258DMG|3RCR|6SELL|78LHND|8BPWR|9AART|aBEXP
161	36222 21126	   	195.10	ACR|3VULN|3DMG|1AART|1SELL	148VULN|258DMG|3RCR|6SELL|78LHND|8BPWR|9AART|aLWND
162	35122 43263	 * 	195.03	DCR|4VULN|2AART|1DMG|1ZMB	157aVULN|28AART|3ZMB|4LWND|6DMG|9RCR
163	36222 21121	   	195.00	ACR|3VULN|3DMG|1AART|1SELL	148VULN|258DMG|3RCR|6SELL|78LHND|8BPWR|9AART|aERES
164	36222 21122	   	195.00	ACR|3VULN|3DMG|1AART|1SELL	148VULN|258DMG|3RCR|6SELL|78LHND|8BPWR|9AART|aDUST
165	36225 23113	   	194.90	ACR|3VULN|3DMG|1AART|1SELL	145VULN|25aDMG|3RCR|5BPWR|6SELL|7BASHEA|8CGEN|9AART
166	36223 16121	   	194.89	ACR|4VULN|2DMG|1AART	145aVULN|2aDMG|3RCR|6ERES|7AART|8CGEN|9aFEWX|aBPWR
167	36241 12532	   	194.71	ACR|3VULN|2AART|1DMG|2CDMG	168VULN|2DMG|3RCR|48aLWND|58CDMG|79AART|8BPWR
168	36241 12533	   	194.71	ACR|3VULN|2AART|1DMG|2CDMG	168VULN|2DMG|3RCR|48LWND|58CDMG|79AART|8BPWR|aBELT
169	36261 12532	   	194.71	ACR|3VULN|2AART|1DMG|2CDMG	168VULN|2DMG|3RCR|48LHND|58CDMG|79AART|8BPWR|aLWND
170	36261 12533	   	194.71	ACR|3VULN|2AART|1DMG|2CDMG	168VULN|2DMG|3RCR|48LHND|58CDMG|79AART|8BPWR|aLIT
171	56221 12532	   	194.71	ACR|3VULN|2AART|1DMG|2CDMG	18aLWND|2DMG|3RCR|468VULN|58CDMG|79AART|8BPWR
172	56221 12533	   	194.71	ACR|3VULN|2AART|1DMG|2CDMG	18LWND|2DMG|3RCR|468VULN|58CDMG|79AART|8BPWR|aBELT
173	36232 12532	   	194.71	ACR|3VULN|2AART|1DMG|2CDMG	168VULN|2DMG|3RCR|48CDMG|58LHND|79AART|8BPWR|aLWND
174	36232 12533	   	194.71	ACR|3VULN|2AART|1DMG|2CDMG	168VULN|2DMG|3RCR|48CDMG|58LHND|79AART|8BPWR|aLIT
175	36232 12534	   	194.71	ACR|3VULN|2AART|1DMG|2CDMG	168VULN|2DMG|3RCR|48CDMG|58aLHND|79AART|8BPWR
176	36232 42531	   	194.71	ACR|3VULN|2AART|1DMG|2CDMG	18aVULN|2DMG|3RCR|48CDMG|568LHND|79AART|8BPWR
177	36241 12411	   	194.69	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	168VULN|2DMG|3RCR|4LWND|5CDMG|7AART|9ASPD|aZMB
178	36261 12411	   	194.69	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	168VULN|2DMG|3RCR|4LHND|5CDMG|7AART|9ASPD|aZMB
179	56221 12411	   	194.69	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	1LWND|2DMG|3RCR|468VULN|5CDMG|7AART|9ASPD|aZMB
