0	Index      	 *	Score 	Summary	Detail	
1	31634 62333	 * 	218.84	DCR|2VULN|2DMG|1AART|1ASPD|2DUR	1aMSLFST|2aDUR|3ASPD|48DMG|5BELT|6RCR|7aVULN|9AART|aBPWR
25	53362 11126	   	204.21	DCR|2VULN|3CDMG|1ASPD|1DMG|2DUR	1ASPD|247CDMG|3DMG|56DUR|8RCR|9aVULN
26	53112 52211	 * 	203.85	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1CDMG	1ASPD|2CDMG|3BEXP|47VULN|5MDPS|6RCR|8LHND|9AART|aDMG
27	53612 52211	   	203.75	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1CDMG	1ASPD|2CDMG|3DUST|47VULN|5MDPS|6RCR|8LHND|9AART|aDMG
28	53332 12535	 * 	203.15	DCR|2DMG|2ASPD|1AART|1CDMG|2DUR	14ASPD|2CDMG|3aDMG|56DUR|7RCR|8CGEN|9AART
29	53332 12635	   	203.15	DCR|2DMG|2ASPD|1AART|1CDMG|2DUR	14ASPD|2CDMG|3aDMG|56DUR|7RCR|8AME|9AART
30	53332 12145	 * 	202.90	DCR|2DMG|2ASPD|1VULN|1CDMG|2DUR|1SELL	14ASPD|2CDMG|3aDMG|56DUR|7RCR|8SELL|9VULN
31	61112 13463	   	202.44	DCR|2VULN|2ASPD|1AART|1CDMG|1ZMB	1ZMB|2LIT|3AART|4LWND|58ASPD|6aVULN|7CDMG|9RCR
32	61122 13463	   	202.44	DCR|2VULN|2ASPD|1AART|1CDMG|1ZMB	1ZMB|2LIT|3AART|4LHND|58ASPD|6aVULN|7CDMG|9RCR
33	61332 13463	   	202.44	DCR|2VULN|2ASPD|1AART|1CDMG|1ZMB	1ZMB|2LIT|3LWND|4AART|58ASPD|6aVULN|7CDMG|9RCR
34	15252 44333	   	201.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1FEWX|2CDMG|3MBVNT|45VULN|6RMIN|7RCR|8AART|9ASPD|aDMG
35	53332 12531	 * 	201.64	DCR|2AART|2ASPD|1DMG|1CDMG|2DUR	14ASPD|2CDMG|3DMG|56DUR|7RCR|8CGEN|9aAART
36	53332 12631	   	201.64	DCR|2AART|2ASPD|1DMG|1CDMG|2DUR	14ASPD|2CDMG|3DMG|56DUR|7RCR|8AME|9aAART
37	51112 12463	   	201.53	DCR|3VULN|1AART|1ASPD|1DMG	1ASPD|2LIT|3AART|4LWND|5DMG|69aVULN|7FEWX|8RCR
38	51122 12463	   	201.53	DCR|3VULN|1AART|1ASPD|1DMG	1ASPD|2LIT|3AART|4LHND|5DMG|69aVULN|7FEWX|8RCR
39	51332 12463	   	201.53	DCR|3VULN|1AART|1ASPD|1DMG	1ASPD|2LIT|3LWND|4AART|5DMG|69aVULN|7FEWX|8RCR
40	15612 52211	 * 	201.38	DCR|2VULN|1MDPS|2DMG|1AART|1CDMG	1FEWX|2CDMG|3aDMG|47VULN|5MDPS|6RCR|8LHND|9AART
41	51112 13462	   	200.10	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG|1DUR	18ASPD|2LIT|3AART|4LWND|5DMG|6VULN|7CDMG|9RCR|aDUR
42	51122 13462	   	200.10	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG|1DUR	18ASPD|2LIT|3AART|4LHND|5DMG|6VULN|7CDMG|9RCR|aDUR
43	51332 13462	   	200.10	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG|1DUR	18ASPD|2LIT|3LWND|4AART|5DMG|6VULN|7CDMG|9RCR|aDUR
44	52226 12431	 * 	199.74	DCR|2VULN|2DMG|2ASPD|1DUR	1aASPD|2TLV|3RMIN|4aVULN|5DUR|6CGEN|7RCVC|8aDMG|9RCR|aBPWR
45	52226 32431	   	199.74	DCR|2VULN|2DMG|2ASPD|1DUR	1aASPD|2TLV|3RMIN|4aVULN|5DUR|6MLV|7RCVC|8aDMG|9RCR|aBPWR
46	53332 14335	 * 	198.90	DCR|2DMG|2ASPD|1VULN|1CDMG|2DUR|1SELL	14ASPD|2CDMG|3aDMG|56DUR|7SELL|8VULN|9RCR
47	15251 84241	 * 	198.88	DCR|3DMG|2VULN|2CDMG	18FEWX|28CDMG|3MBVNT|4aVULN|5AME|689DMG|7RCR|8BPWR
48	53331 23521	 * 	198.60	DCR|3ASPD|1AART|2CDMG|1DMG|1ZMB	147ASPD|2aCDMG|3DMG|5ERES|6AART|8ZMB|9RCR
49	15251 84244	 * 	198.56	DCR|3DMG|1VULN|2CDMG|1ASPD	18FEWX|28CDMG|3MBVNT|4VULN|5AME|689DMG|7RCR|8BPWR|aASPD
50	53332 12412	   	198.49	DCR|3ASPD|1VULN|1DMG|1CDMG|2DUR	14aASPD|2CDMG|3DMG|56DUR|7RCR|8VULN|9AME
51	53332 12512	   	198.49	DCR|3ASPD|1VULN|1DMG|1CDMG|2DUR	14aASPD|2CDMG|3DMG|56DUR|7RCR|8CGEN|9VULN
52	53332 12612	   	198.49	DCR|3ASPD|1VULN|1DMG|1CDMG|2DUR	14aASPD|2CDMG|3DMG|56DUR|7RCR|8AME|9VULN
53	53332 12432	   	198.39	DCR|3ASPD|1VULN|1DMG|1CDMG|2DUR	14aASPD|2CDMG|3DMG|56DUR|7RCR|8VULN|9ERES
54	61112 11453	   	198.35	DCR|2VULN|2AART|1ASPD|1ZMB|1DUR	1ZMB|2LIT|39AART|4LWND|5ASPD|6aVULN|7DUR|8RCR
55	61122 11453	   	198.35	DCR|2VULN|2AART|1ASPD|1ZMB|1DUR	1ZMB|2LIT|39AART|4LHND|5ASPD|6aVULN|7DUR|8RCR
56	61332 11453	   	198.35	DCR|2VULN|2AART|1ASPD|1ZMB|1DUR	1ZMB|2LIT|3LWND|49AART|5ASPD|6aVULN|7DUR|8RCR
57	15232 54352	 * 	198.28	ACR|2VULN|2ASPD|1AART|1DMG|1CDMG|1DUR	17FEWX|2CDMG|3MBVNT|4RCR|57VULN|67ASPD|7BPWR|8AART|9DUR|aDMG
58	51112 13161	   	197.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1ASPD|2LIT|3AART|4LWND|5DMG|68VULN|7CDMG|9RCR|aFEWX
59	51112 13164	   	197.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1ASPD|2LIT|3AART|4LWND|5DMG|68VULN|7CDMG|9RCR|aAELBLL
60	51122 13161	   	197.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1ASPD|2LIT|3AART|4LHND|5DMG|68VULN|7CDMG|9RCR|aFEWX
61	51122 13164	   	197.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1ASPD|2LIT|3AART|4LHND|5DMG|68VULN|7CDMG|9RCR|aAELBLL
62	51332 13161	   	197.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1ASPD|2LIT|3LWND|4AART|5DMG|68VULN|7CDMG|9RCR|aFEWX
63	51332 13164	   	197.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1ASPD|2LIT|3LWND|4AART|5DMG|68VULN|7CDMG|9RCR|aAELBLL
64	52214 22131	   	197.94	DCR|2VULN|2DMG|2ASPD|1DUR	1aASPD|24TLV|3RMIN|5aDMG|6DUR|7ERES|8aVULN|9RCR|aBPWR
65	51112 13165	   	197.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1ASPD|2LIT|3AART|4LWND|5DMG|68VULN|7CDMG|9RCR|aERES
66	51112 13166	   	197.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1ASPD|2LIT|3AART|4LWND|5DMG|68VULN|7CDMG|9RCR|aDUST
67	51122 13165	   	197.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1ASPD|2LIT|3AART|4LHND|5DMG|68VULN|7CDMG|9RCR|aERES
68	51122 13166	   	197.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1ASPD|2LIT|3AART|4LHND|5DMG|68VULN|7CDMG|9RCR|aDUST
69	51332 13165	   	197.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1ASPD|2LIT|3LWND|4AART|5DMG|68VULN|7CDMG|9RCR|aERES
70	51332 13166	   	197.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1ASPD|2LIT|3LWND|4AART|5DMG|68VULN|7CDMG|9RCR|aDUST
71	52434 22131	   	197.84	DCR|2VULN|2DMG|2ASPD|1AAC|1DUR	1aASPD|23TLV|4AAC|5aDMG|6DUR|7ERES|8aVULN|9RCR|aBPWR
72	51112 11443	   	197.25	DCR|2VULN|1AART|1ASPD|1DMG|2DUR	1ASPD|2LIT|3AART|4LWND|5DMG|6aVULN|79DUR|8RCR
73	51122 11443	   	197.25	DCR|2VULN|1AART|1ASPD|1DMG|2DUR	1ASPD|2LIT|3AART|4LHND|5DMG|6aVULN|79DUR|8RCR
74	51332 11443	   	197.25	DCR|2VULN|1AART|1ASPD|1DMG|2DUR	1ASPD|2LIT|3LWND|4AART|5DMG|6aVULN|79DUR|8RCR
75	61112 13162	   	196.53	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR	1ZMB|2LIT|3AART|4LWND|5ASPD|68VULN|7CDMG|9RCR|aDUR
76	61122 13162	   	196.53	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR	1ZMB|2LIT|3AART|4LHND|5ASPD|68VULN|7CDMG|9RCR|aDUR
77	61332 13162	   	196.53	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR	1ZMB|2LIT|3LWND|4AART|5ASPD|68VULN|7CDMG|9RCR|aDUR
78	53332 24132	   	196.45	DCR|2VULN|2ASPD|1DMG|1CDMG|1DUR|1SELL	14ASPD|2CDMG|3DMG|5DUR|6LWND|7SELL|8aVULN|9RCR
79	53333 14132	   	196.45	DCR|2VULN|2ASPD|1DMG|1CDMG|1DUR|1SELL	14ASPD|2CDMG|3DMG|5BEXP|6DUR|7SELL|8aVULN|9RCR
80	15232 54351	 * 	196.05	ACR|3VULN|2ASPD|1AART|1CDMG|1DUR	17FEWX|2CDMG|3MBVNT|4RCR|57aVULN|67ASPD|7BPWR|8AART|9DUR
81	33365 32131	   	195.91	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1MSLFST|2BELT|3AART|4DUR|5aVULN|6RCR|7CGEN|8ASPD|9DMG
82	53332 12536	   	195.89	DCR|2ASPD|1AART|1DMG|1CDMG|2DUR|1ZMB	14ASPD|2CDMG|3DMG|56DUR|7RCR|8CGEN|9AART|aZMB
83	53332 12636	   	195.89	DCR|2ASPD|1AART|1DMG|1CDMG|2DUR|1ZMB	14ASPD|2CDMG|3DMG|56DUR|7RCR|8AME|9AART|aZMB
84	32432 35143	   	195.81	DCR|3VULN|1ASPD|1DMG|1CDMG	1MSLFST|2TLV|38aVULN|4ASPD|5CDMG|6MLV|7RCR|9DMG
85	32463 35123	   	195.81	DCR|3VULN|1ASPD|1DMG|1CDMG	1MSLFST|2TLV|38aVULN|4CDMG|5DMG|6MLV|7RCR|9ASPD
86	53236 12633	   	195.69	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG	14ASPD|2CDMG|3ERES|5RMIN|6DMG|7RCR|8AME|9AART|aVULN
87	53336 32633	   	195.69	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG	14ASPD|2CDMG|3DMG|5RMIN|6ERES|7RCR|8AME|9AART|aVULN
88	23232 12456	 * 	195.56	DCR|2VULN|2DMG|1ASPD|1CDMG	1AME|2CDMG|35ERES|4ASPD|69DMG|7RCR|8aVULN
89	53362 12531	 * 	194.85	DCR|2AART|2CDMG|1ASPD|1DMG|2DUR	1ASPD|24CDMG|3DMG|56DUR|7RCR|8CGEN|9aAART
90	53362 12631	   	194.85	DCR|2AART|2CDMG|1ASPD|1DMG|2DUR	1ASPD|24CDMG|3DMG|56DUR|7RCR|8AME|9aAART
91	52321 61126	 * 	194.68	DCR|3ASPD|2VULN|1AART	145ASPD|2TLV|3LWND|6RCR|7LIT|8AART|9aVULN
92	52321 61132	   	194.36	DCR|3ASPD|1VULN|1AART|1DMG	145ASPD|2TLV|3LWND|6RCR|7LIT|8AART|9DMG|aVULN
93	63335 22251	   	194.11	DCR|1MDPS|1AART|1VULN|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1ZMB|2CDMG|3DMG|4ASPD|5MDPS|6DUR|7CGEN|8AART|9VULN|aRCR
94	63112 52111	   	194.02	DCR|2VULN|1MDPS|1AART|1DMG|1CDMG|1ZMB	1ZMB|2CDMG|3BEXP|47VULN|5MDPS|6RCR|8MBVNT|9AART|aDMG
95	63612 52111	   	193.92	DCR|2VULN|1MDPS|1AART|1DMG|1CDMG|1ZMB	1ZMB|2CDMG|3DUST|47VULN|5MDPS|6RCR|8MBVNT|9AART|aDMG
96	53333 33611	   	193.79	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG	14ASPD|2CDMG|3DMG|5BEXP|6AART|7BELT|8RCR|9FEWX|aVULN
97	53333 33651	   	193.69	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG	14ASPD|2CDMG|3DMG|5BEXP|6AART|7BELT|8RCR|9DUST|aVULN
98	33365 32143	   	193.68	DCR|3VULN|1AART|1ASPD|1DUR	1MSLFST|2BELT|3AART|4DUR|59aVULN|6RCR|7CGEN|8ASPD
99	34233 42523	 * 	193.66	DCR|2VULN|2AART|1ASPD|1CDMG	1MSLFST|2TSLFST|38AART|46VULN|5ERES|7ASPD|9RCR|aCDMG
100	53332 24135	 * 	193.66	DCR|2DMG|2ASPD|1VULN|1CDMG|1DUR|1SELL	14ASPD|2CDMG|3aDMG|5DUR|6LWND|7SELL|8VULN|9RCR
101	53333 14135	 * 	193.66	DCR|2DMG|2ASPD|1VULN|1CDMG|1DUR|1SELL	14ASPD|2CDMG|3aDMG|5BEXP|6DUR|7SELL|8VULN|9RCR
102	31424 61233	   	193.43	DCR|2VULN|2DMG|1AART|1DUR	1MSLFST|2DUR|3MLV|49DMG|5BELT|6RCR|7AART|8aVULN
103	52224 32411	   	193.30	DCR|2VULN|2ASPD|1DMG|2DUR	1aASPD|2TLV|3RMIN|4aVULN|5ERES|6RCR|7RCVC|8DMG|9aDUR|aBPWR
104	31634 62331	   	193.01	DCR|2DMG|1VULN|1AART|1ASPD|1DUR	1MSLFST|2DUR|3ASPD|48DMG|5BELT|6RCR|7VULN|9AART|aTLV
105	31634 62332	   	193.01	DCR|2DMG|1AART|1VULN|1ASPD|1DUR	1MSLFST|2DUR|3ASPD|48DMG|5BELT|6RCR|7VULN|9AART|aLEGI
106	53362 12412	   	192.99	DCR|2ASPD|1VULN|2CDMG|1DMG|2DUR	1aASPD|24CDMG|3DMG|56DUR|7RCR|8VULN|9AME
107	53362 12512	   	192.99	DCR|2ASPD|1VULN|2CDMG|1DMG|2DUR	1aASPD|24CDMG|3DMG|56DUR|7RCR|8CGEN|9VULN
108	53362 12612	   	192.99	DCR|2ASPD|1VULN|2CDMG|1DMG|2DUR	1aASPD|24CDMG|3DMG|56DUR|7RCR|8AME|9VULN
109	53332 12233	   	192.99	DCR|2ASPD|1VULN|2CDMG|1DMG|2DUR	14ASPD|28CDMG|3DMG|56DUR|7RCR|9AELBLL|aVULN
110	53362 12432	   	192.89	DCR|2ASPD|1VULN|2CDMG|1DMG|2DUR	1aASPD|24CDMG|3DMG|56DUR|7RCR|8VULN|9ERES
111	53332 12256	   	192.89	DCR|2ASPD|1VULN|2CDMG|1DMG|2DUR	14ASPD|28CDMG|3DMG|56DUR|7RCR|9DUST|aVULN
112	53243 11232	 * 	192.88	DCR|2DMG|2ASPD|1AART|2CDMG|1SELL	1aASPD|2aCDMG|3ERES|4DMSP|5SELL|6CGEN|7AART|8aDMG|9RCR|aBPWR
113	53243 31232	 * 	192.88	DCR|2DMG|2ASPD|1AART|2CDMG|1SELL	1aASPD|2aCDMG|3ERES|4DMSP|5SELL|6MLV|7AART|8aDMG|9RCR|aBPWR
114	53332 12143	   	192.75	DCR|2ASPD|1VULN|2CDMG|1DMG|2DUR|1SELL	14ASPD|2aCDMG|3DMG|56DUR|7RCR|8SELL|9VULN
115	53366 32221	   	192.56	DCR|2VULN|3CDMG|1ASPD|1DMG	1ASPD|248CDMG|3DMG|5RMIN|6ERES|7RCR|9aVULN
116	53332 12414	   	192.50	DCR|2ASPD|1VULN|1DMG|1CDMG|2DUR	14ASPD|2CDMG|3DMG|56DUR|7RCR|8VULN|9AME|aSPLREG
117	53332 12514	   	192.50	DCR|2ASPD|1VULN|1DMG|1CDMG|2DUR	14ASPD|2CDMG|3DMG|56DUR|7RCR|8CGEN|9VULN|aSPLREG
118	53332 12614	   	192.50	DCR|2ASPD|1VULN|1DMG|1CDMG|2DUR	14ASPD|2CDMG|3DMG|56DUR|7RCR|8AME|9VULN|aSPLREG
119	53332 12434	   	192.40	DCR|2ASPD|1VULN|1DMG|1CDMG|2DUR	14ASPD|2CDMG|3DMG|56DUR|7RCR|8VULN|9ERES|aSPLREG
120	53331 52433	   	192.19	DCR|2VULN|2ASPD|1DMG|1CDMG	14ASPD|2CDMG|3DMG|5ERES|6CGEN|7RCR|8aVULN|9TSLFST
121	53112 52214	   	192.09	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG|1DUR	1ASPD|2CDMG|3BEXP|47VULN|5MDPS|6RCR|8LHND|9AART|aDUR
122	53112 52432	 * 	192.06	DCR|3VULN|1MDPS|2ASPD|1CDMG	1aASPD|2CDMG|39BEXP|478VULN|5MDPS|6RCR
123	51112 11426	   	192.01	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1ASPD|2LIT|3AART|4LWND|5DMG|6aVULN|7DUR|8RCR|9LHND
124	51112 11463	   	192.01	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1ASPD|2LIT|3AART|4LWND|5DMG|6aVULN|7DUR|8RCR|9MLV
125	51122 11423	   	192.01	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1ASPD|2LIT|3AART|49LHND|5DMG|6aVULN|7DUR|8RCR
126	51332 11426	   	192.01	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1ASPD|2LIT|3LWND|4AART|5DMG|6aVULN|7DUR|8RCR|9LHND
127	51332 11463	   	192.01	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1ASPD|2LIT|3LWND|4AART|5DMG|6aVULN|7DUR|8RCR|9MLV
128	51112 14453	   	191.94	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1ASPD|2LIT|3AART|4LWND|5DMG|6aVULN|7MBVNT|8ZMB|9RCR
129	51122 14453	   	191.94	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1ASPD|2LIT|3AART|4LHND|5DMG|6aVULN|7MBVNT|8ZMB|9RCR
130	51332 14453	   	191.94	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1ASPD|2LIT|3LWND|4AART|5DMG|6aVULN|7MBVNT|8ZMB|9RCR
131	51112 11436	   	191.91	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1ASPD|2LIT|3AART|4LWND|5DMG|6aVULN|7DUR|8RCR|9LEGI
132	51122 11432	   	191.91	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1ASPD|2LIT|3AART|4LHND|5DMG|6aVULN|7DUR|8RCR|9DUST
133	51332 11436	   	191.91	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1ASPD|2LIT|3LWND|4AART|5DMG|6aVULN|7DUR|8RCR|9LEGI
134	53332 12461	 * 	191.81	DCR|1MDPS|2ASPD|1VULN|1DMG|1CDMG|2DUR|1AAC	14ASPD|2CDMG|3DMG|56DUR|7RCR|8VULN|9MDPS|aAAC
135	61112 12463	   	191.80	DCR|3VULN|1AART|1ASPD|1ZMB	1ZMB|2LIT|3AART|4LWND|5ASPD|69aVULN|7FEWX|8RCR
136	61122 12463	   	191.80	DCR|3VULN|1AART|1ASPD|1ZMB	1ZMB|2LIT|3AART|4LHND|5ASPD|69aVULN|7FEWX|8RCR
137	61332 12463	   	191.80	DCR|3VULN|1AART|1ASPD|1ZMB	1ZMB|2LIT|3LWND|4AART|5ASPD|69aVULN|7FEWX|8RCR
138	15256 34333	   	191.80	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1FEWX|2CDMG|3MBVNT|4VULN|5ZMB|6DMSP|7RCR|8AART|9ASPD|aDMG
139	51112 13461	   	191.79	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG	18ASPD|2LIT|3AART|4LWND|5DMG|6VULN|7CDMG|9RCR|aFEWX
140	51122 13461	   	191.79	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG	18ASPD|2LIT|3AART|4LHND|5DMG|6VULN|7CDMG|9RCR|aFEWX
141	51332 13461	   	191.79	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG	18ASPD|2LIT|3LWND|4AART|5DMG|6VULN|7CDMG|9RCR|aFEWX
142	33365 32134	   	191.78	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1MSLFST|2BELT|3AART|4DUR|5VULN|6RCR|7CGEN|8ASPD|9DMG|aCDMG
143	15251 84224	   	191.53	DCR|2VULN|2DMG|2CDMG|1DUR	18FEWX|28CDMG|3MBVNT|4aVULN|5AME|68DMG|7RCR|8BPWR|9DUR
144	53331 23526	   	191.41	DCR|3ASPD|1AART|1DMG|1CDMG|1AAC|1ZMB	147ASPD|2CDMG|3DMG|5ERES|6AART|8ZMB|9RCR|aAAC
145	53331 23522	   	191.17	DCR|3ASPD|1AART|1DMG|1CDMG|1ZMB	147ASPD|2CDMG|3DMG|5ERES|6AART|8ZMB|9RCR|aAME
146	53331 23523	   	191.17	DCR|3ASPD|1AART|1DMG|1CDMG|1ZMB	147ASPD|2CDMG|3DMG|5ERES|6AART|8ZMB|9RCR|aBELT
147	53331 23524	   	191.17	DCR|3ASPD|1AART|1DMG|1CDMG|1ZMB	147ASPD|2CDMG|3DMG|5ERES|6AART|8ZMB|9RCR|aRMIN
148	15232 54334	 * 	191.15	ACR|3ASPD|2VULN|1AART|1CDMG|1DUR	17FEWX|2CDMG|3MBVNT|4RCR|57VULN|679ASPD|7BPWR|8AART|aDUR
149	53332 12452	 * 	190.61	DCR|2ASPD|1VULN|1DMG|3DUR|1CDMG	14ASPD|2CDMG|3DMG|569DUR|7RCR|8VULN|aRMIN
150	53332 12532	 * 	190.61	DCR|2ASPD|1AART|1DMG|3DUR|1CDMG	14ASPD|2CDMG|3DMG|56aDUR|7RCR|8CGEN|9AART
151	53332 12632	   	190.61	DCR|2ASPD|1AART|1DMG|3DUR|1CDMG	14ASPD|2CDMG|3DMG|56aDUR|7RCR|8AME|9AART
152	53366 31121	   	190.56	DCR|2VULN|3CDMG|1ASPD|1DMG	1ASPD|247CDMG|3DMG|5RMIN|6ERES|8RCR|9aVULN
153	53332 12322	   	190.51	DCR|2ASPD|1VULN|1DMG|3DUR|1CDMG	14ASPD|2CDMG|3DMG|56aDUR|7RCR|8LEGI|9VULN
154	53332 12451	   	190.51	DCR|2ASPD|1VULN|1DMG|3DUR|1CDMG	14ASPD|2CDMG|3DMG|569DUR|7RCR|8VULN|aERES
155	53332 12453	   	190.51	DCR|2ASPD|1VULN|1DMG|3DUR|1CDMG	14ASPD|2CDMG|3DMG|569DUR|7RCR|8VULN|aDUST
