0	Index      	 *	Score 	Summary	Detail	
1	32131 51343	 * 	211.31	DCR|2VULN|2DMG|1AART|2CDMG|1DUR	17LHND|2DUR|3AART|47DMG|5LEGI|67CDMG|7BPWR|8aVULN|9RCR
28	12132 25213	   	203.77	DCR|2VULN|2DMG|1AART|1AAC|1ZMB|1DUR	1BEXP|2DUR|3AART|49DMG|5ZMB|6RCR|7aVULN|8AAC
29	22132 25213	   	203.77	DCR|2VULN|2DMG|1AART|1AAC|1ZMB|1DUR	1FEWX|2DUR|3AART|49DMG|5ZMB|6RCR|7aVULN|8AAC
30	52132 25213	   	203.67	DCR|2VULN|2DMG|1AART|1AAC|1ZMB|1DUR	1DUST|2DUR|3AART|49DMG|5ZMB|6RCR|7aVULN|8AAC
31	12132 25263	   	202.43	DCR|2VULN|1AART|1DMG|1CDMG|1AAC|1ZMB|1DUR	1BEXP|2DUR|3AART|4DMG|5ZMB|6RCR|7aVULN|8AAC|9CDMG
32	22132 25263	   	202.43	DCR|2VULN|1AART|1DMG|1CDMG|1AAC|1ZMB|1DUR	1FEWX|2DUR|3AART|4DMG|5ZMB|6RCR|7aVULN|8AAC|9CDMG
33	52132 25263	   	202.33	DCR|2VULN|1AART|1DMG|1CDMG|1AAC|1ZMB|1DUR	1DUST|2DUR|3AART|4DMG|5ZMB|6RCR|7aVULN|8AAC|9CDMG
34	12122 31543	 * 	202.27	DCR|2VULN|2AART|1DMG|1CDMG|1DUR	1BEXP|2DUR|37AART|4FEWX|5aVULN|6CDMG|8DMG|9RCR
35	22122 31543	   	202.27	DCR|2VULN|2AART|1DMG|1CDMG|1DUR	1FEWX|2DUR|37AART|4BEXP|5aVULN|6CDMG|8DMG|9RCR
36	52122 31543	   	202.17	DCR|2VULN|2AART|1DMG|1CDMG|1DUR	1DUST|2DUR|37AART|4FEWX|5aVULN|6CDMG|8DMG|9RCR
37	43336 13116	 * 	202.14	DCR|3VULN|2DMG|1AART	1aERES|2AART|38RCVC|4LEGI|56aVULN|7aDMG|9RCR|aBPWR
38	21313 21143	 * 	201.92	DCR|2VULN|2ASPD|2CDMG|1DMG	13FEWX|23CDMG|3BPWR|4aASPD|57VULN|6RCR|8MLV|9DMG
39	21313 21543	   	201.92	DCR|2VULN|2ASPD|2CDMG|1DMG	13FEWX|23CDMG|3BPWR|4aASPD|57VULN|6RCR|8CGEN|9DMG
40	11265 11336	 * 	201.62	DCR|3DMG|1MDPS|3CDMG|1AART|1ASPD	17BEXP|267CDMG|3MDPS|4AART|578DMG|7BPWR|9RCR|aASPD
41	31265 11336	   	201.62	DCR|3DMG|1MDPS|3CDMG|1AART|1ASPD	17LHND|267CDMG|3MDPS|4AART|578DMG|7BPWR|9RCR|aASPD
42	21322 51543	 * 	201.39	DCR|2VULN|2AART|1MDPS|2CDMG|1DMG	13FEWX|23CDMG|3BPWR|47AART|5aVULN|6MDPS|8DMG|9RCR
43	32131 51345	   	201.26	DCR|2DMG|1VULN|1AART|2CDMG|1ZMB|1DUR	17LHND|2DUR|3AART|47DMG|5LEGI|67CDMG|7BPWR|8VULN|9RCR|aZMB
44	32133 32555	 * 	200.03	DCR|2VULN|2DMG|1MDPS|1AART|3DUR	1aLHND|25aDUR|3AART|45DMG|5aBPWR|6AME|7MDPS|8RCR|9aVULN
45	32133 22555	   	199.93	DCR|2VULN|2DMG|1MDPS|1AART|3DUR	1aLHND|25aDUR|3AART|45DMG|5aBPWR|6ERES|7MDPS|8RCR|9aVULN
46	63621 13613	   	199.80	DCR|3VULN|1AART|1DMG|2DUR|1AAC	1MLV|2AART|346VULN|58DUR|7DMG|9RCR|aAAC
47	21313 21623	 * 	199.72	DCR|2VULN|1AART|2CDMG|1ASPD|1DUR	13FEWX|23CDMG|3BPWR|4ASPD|57VULN|6RCR|8DUR|9LWND|aAART
48	21313 25153	   	199.72	DCR|2VULN|1AART|2CDMG|1ASPD|1DUR	13FEWX|23CDMG|3BPWR|4ASPD|59VULN|6RCR|7DUR|8LHND|aAART
49	21314 21153	   	199.72	DCR|2VULN|1AART|2CDMG|1ASPD|1DUR	13FEWX|23CDMG|3BPWR|4ASPD|5DUR|6RCR|79VULN|8LHND|aAART
50	21314 22353	   	199.72	DCR|2VULN|1AART|2CDMG|1ASPD|1DUR	13FEWX|23CDMG|3BPWR|4ASPD|5DUR|6RCR|7LIT|8aVULN|9AART
51	21314 22326	 * 	199.40	DCR|1AART|1VULN|2CDMG|1ASPD|1DMG|1DUR	13FEWX|23CDMG|3BPWR|4ASPD|5DUR|6RCR|7LIT|8VULN|9DMG|aAART
52	31263 26433	 * 	199.38	DCR|2VULN|2DMG|1MDPS|1AART|1CDMG	1LHND|2CDMG|3MDPS|4AART|5MLV|69DMG|7RCR|8aVULN
53	12132 25634	   	199.14	DCR|3DMG|1VULN|1AART|1ZMB|1DUR	1BEXP|2DUR|3AART|49aDMG|5ZMB|6RCR|7VULN|8RPLT
54	22132 25634	   	199.14	DCR|3DMG|1VULN|1AART|1ZMB|1DUR	1FEWX|2DUR|3AART|49aDMG|5ZMB|6RCR|7VULN|8RPLT
55	12131 51643	   	199.07	DCR|2VULN|1AART|2CDMG|1DMG|2DUR	17BEXP|27DUR|3AART|4DMG|5LHND|67CDMG|7BPWR|8aVULN|9RCR
56	22131 51643	   	199.07	DCR|2VULN|1AART|2CDMG|1DMG|2DUR	17FEWX|27DUR|3AART|4DMG|5LHND|67CDMG|7BPWR|8aVULN|9RCR
57	32122 51643	   	199.07	DCR|2VULN|1AART|2CDMG|1ASPD|2DUR	17LHND|27DUR|3AART|4BEXP|5ASPD|67CDMG|7BPWR|8aVULN|9RCR
58	32162 51343	   	199.07	DCR|2VULN|1AART|2CDMG|1ASPD|2DUR	17LHND|27DUR|3AART|4LWND|5ASPD|67CDMG|7BPWR|8aVULN|9RCR
59	12132 23356	   	199.04	DCR|3DMG|1MDPS|1VULN|1AART|1ZMB|1DUR	1BEXP|2DUR|3AART|48aDMG|5ZMB|6RCR|7MDPS|9VULN
60	22132 24356	   	199.04	DCR|3DMG|1MDPS|1VULN|1AART|1ZMB|1DUR	1FEWX|2DUR|3AART|48aDMG|5ZMB|6RCR|7MDPS|9VULN
61	21413 21144	   	199.00	DCR|2VULN|1MDPS|1ASPD|1DMG|1CDMG	13FEWX|2CDMG|4ASPD|57VULN|6RCR|8MLV|9DMG|aMDPS
62	32135 63142	   	198.98	DCR|2VULN|2DMG|1AART|2DUR	17LHND|28DUR|3AART|47DMG|57LIT|6RCR|7BPWR|9aVULN
63	52132 23356	   	198.94	DCR|3DMG|1MDPS|1VULN|1AART|1ZMB|1DUR	1DUST|2DUR|3AART|48aDMG|5ZMB|6RCR|7MDPS|9VULN
64	11265 21132	 * 	198.88	DCR|3DMG|2AART|1MDPS|2CDMG|1DUR	17BEXP|27CDMG|3MDPS|4aAART|567DMG|7BPWR|8DUR|9RCR
65	31265 21131	   	198.88	DCR|3DMG|2AART|1MDPS|2CDMG|1DUR	17LHND|27CDMG|3MDPS|4aAART|567DMG|7BPWR|8DUR|9RCR
66	43136 13116	   	198.76	DCR|3VULN|2DMG|1AART	13aERES|2AART|3aBPWR|4LEGI|56aVULN|7aDMG|8RCVC|9RCR
67	51265 21132	   	198.68	DCR|3DMG|2AART|1MDPS|2CDMG|1DUR	17DUST|27CDMG|3MDPS|4aAART|567DMG|7BPWR|8DUR|9RCR
68	21313 21255	   	198.04	DCR|2VULN|2CDMG|1ASPD|1DMG|1ZMB	13FEWX|23CDMG|3BPWR|4ASPD|57VULN|6RCR|8LWND|9DMG|aZMB
69	63612 13134	 * 	197.68	DCR|2VULN|2AART|1ASPD|1DMG	1MLV|25AART|36VULN|4BEXP|7DMG|8RCVC|9ASPD|aRCR
70	43432 13124	   	197.43	DCR|3VULN|1AART|1ASPD|1DMG	1ERES|2AART|3DMG|4BEXP|5ASPD|678VULN|9DMSP|aRCR
71	63432 11124	 * 	197.29	DCR|2VULN|2DMG|1AART|1ASPD	1MLV|2AART|37DMG|4BEXP|5ASPD|68VULN|9DMSP|aRCR
72	12634 13513	   	197.25	DCR|2VULN|1AART|1ASPD|1DMG|2DUR	1BEXP|24DUR|3ASPD|5AART|6aVULN|7LHND|8RCR|9DMG
73	43432 11124	   	197.19	DCR|2VULN|2DMG|1AART|1ASPD	1ERES|2AART|37DMG|4BEXP|5ASPD|68VULN|9DMSP|aRCR
74	16135 63212	   	196.95	DCR|3DMG|1VULN|1AART|1CDMG	17BEXP|2LHND|3AART|478DMG|57LIT|6RCR|7BPWR|9VULN|aCDMG
75	26135 63212	   	196.95	DCR|3DMG|1VULN|1AART|1CDMG	17FEWX|2LHND|3AART|478DMG|57LIT|6RCR|7BPWR|9VULN|aCDMG
76	12131 55353	   	196.53	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1BEXP|2DUR|3AART|4DMG|5LHND|6CDMG|7aVULN|8ZMB|9RCR
77	12132 43153	   	196.53	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1BEXP|2DUR|3AART|4DMG|5ZMB|6LWND|7CDMG|8aVULN|9RCR
78	12133 55353	   	196.53	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1BEXP|2DUR|3AART|4DMG|5LWND|6CDMG|7aVULN|8ZMB|9RCR
79	12136 51353	   	196.53	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1BEXP|2DUR|3AART|4DMG|5aVULN|6CDMG|7LWND|8ZMB|9RCR
80	22131 55353	   	196.53	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1FEWX|2DUR|3AART|4DMG|5LHND|6CDMG|7aVULN|8ZMB|9RCR
81	22132 43153	   	196.53	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1FEWX|2DUR|3AART|4DMG|5ZMB|6LWND|7CDMG|8aVULN|9RCR
82	22133 55353	   	196.53	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1FEWX|2DUR|3AART|4DMG|5LWND|6CDMG|7aVULN|8ZMB|9RCR
83	22136 51353	   	196.53	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1FEWX|2DUR|3AART|4DMG|5aVULN|6CDMG|7LWND|8ZMB|9RCR
84	32122 55353	   	196.53	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR	1LHND|2DUR|3AART|4BEXP|5ASPD|6CDMG|7aVULN|8ZMB|9RCR
85	32136 51353	   	196.53	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1LHND|2DUR|3AART|4DMG|5aVULN|6CDMG|7LWND|8ZMB|9RCR
86	63621 13113	   	196.46	DCR|3VULN|1AART|1DMG|1AAC|1DUR	1MLV|2AART|346VULN|5DUR|7DMG|8RCVC|9RCR|aAAC
87	32131 55353	   	196.43	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1LHND|2DUR|3AART|4DMG|5LEGI|6CDMG|7aVULN|8ZMB|9RCR
88	52132 43153	   	196.43	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DUST|2DUR|3AART|4DMG|5ZMB|6LWND|7CDMG|8aVULN|9RCR
89	12146 31236	   	196.11	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1BEXP|2DUR|3AART|4ZMB|578VULN|6BELT|9DMG|aRCR
90	63232 15124	   	196.11	DCR|3VULN|1AART|1ASPD|1ZMB|1DUR	1MLV|2AART|3ZMB|468VULN|5ASPD|7DUR|9DMSP|aRCR
91	43232 15124	   	196.01	DCR|3VULN|1AART|1ASPD|1ZMB|1DUR	1ERES|2AART|3ZMB|468VULN|5ASPD|7DUR|9DMSP|aRCR
92	21313 21625	   	196.01	DCR|2VULN|2CDMG|1ASPD|1DMG|1DUR	13FEWX|23CDMG|3BPWR|4ASPD|57VULN|6RCR|8DUR|9LWND|aDMG
93	21313 21643	   	196.01	DCR|2VULN|2CDMG|1ASPD|1DMG|1DUR	139FEWX|23CDMG|3BPWR|4ASPD|57VULN|6RCR|8DUR|aDMG
94	21313 21651	   	196.01	DCR|2VULN|2CDMG|1ASPD|1DMG|1DUR	13FEWX|23CDMG|3BPWR|4ASPD|57VULN|6RCR|8DUR|9DMG|aRMIN
95	21313 21652	   	196.01	DCR|2VULN|2CDMG|1ASPD|1DMG|1DUR	13FEWX|23CDMG|3BPWR|4ASPD|57VULN|6RCR|8DUR|9DMG|aBEXP
96	21313 21653	   	196.01	DCR|2VULN|2CDMG|1ASPD|1DMG|1DUR	13FEWX|23CDMG|3BPWR|4ASPD|57VULN|6RCR|8DUR|9DMG|aBELT
97	21313 21654	   	196.01	DCR|2VULN|2CDMG|1ASPD|1DMG|1DUR	13FEWX|23CDMG|3BPWR|4ASPD|57VULN|6RCR|8DUR|9DMG|aAME
98	21313 21656	   	196.01	DCR|2VULN|2CDMG|1ASPD|1DMG|1DUR	13FEWX|23CDMG|3BPWR|4ASPD|57VULN|6RCR|8DUR|9DMG|aLWND
99	21313 25155	   	196.01	DCR|2VULN|2CDMG|1ASPD|1DMG|1DUR	13FEWX|23CDMG|3BPWR|4ASPD|59VULN|6RCR|7DUR|8LHND|aDMG
100	21314 21155	   	196.01	DCR|2VULN|2CDMG|1ASPD|1DMG|1DUR	13FEWX|23CDMG|3BPWR|4ASPD|5DUR|6RCR|79VULN|8LHND|aDMG
101	21314 22325	   	196.01	DCR|2VULN|2CDMG|1ASPD|1DMG|1DUR	13FEWX|23CDMG|3BPWR|4ASPD|5DUR|6RCR|7LIT|8aVULN|9DMG
102	21313 21665	   	195.91	DCR|2VULN|2CDMG|1ASPD|1DMG|1DUR	13FEWX|23CDMG|3BPWR|4ASPD|57VULN|6RCR|8DUR|9DUST|aDMG
103	63622 12335	 * 	195.79	DCR|3VULN|1MDPS|2ASPD|1AART	1aMLV|2AART|34aVULN|5MDPS|6LHND|7LWND|8RCR|9aASPD|aBPWR
104	12135 63216	   	195.78	DCR|3DMG|1AART|1VULN|1AAC|1DUR	17BEXP|2DUR|3AART|478DMG|57LIT|6RCR|7BPWR|9VULN|aAAC
105	22135 63216	   	195.78	DCR|3DMG|1AART|1VULN|1AAC|1DUR	17FEWX|2DUR|3AART|478DMG|57LIT|6RCR|7BPWR|9VULN|aAAC
106	32135 63216	   	195.78	DCR|3DMG|1VULN|1AART|1AAC|1DUR	17LHND|2DUR|3AART|478DMG|57LIT|6RCR|7BPWR|9VULN|aAAC
107	63622 11335	   	195.69	DCR|3VULN|1MDPS|2ASPD|1AART	1aMLV|2AART|34aVULN|5MDPS|6LHND|7DUST|8RCR|9aASPD|aBPWR
108	31263 26432	 * 	195.07	DCR|2AART|2DMG|1MDPS|1VULN|1CDMG	1LHND|2CDMG|3MDPS|4aAART|5MLV|69DMG|7RCR|8VULN
109	12136 43513	   	195.04	DCR|3DMG|1VULN|1AART|1ZMB|1DUR	1BEXP|2DUR|3AART|479DMG|5VULN|6DUST|8RCR|aZMB
110	32136 43513	   	195.04	DCR|3DMG|1AART|1VULN|1ZMB|1DUR	1LHND|2DUR|3AART|479DMG|5VULN|6DUST|8RCR|aZMB
111	52136 13513	   	195.04	DCR|3DMG|1AART|1VULN|1ZMB|1DUR	1DUST|2DUR|3AART|479DMG|5VULN|6LHND|8RCR|aZMB
112	12534 13513	   	194.78	DCR|2VULN|2DMG|1AART|2DUR	1BEXP|24DUR|39DMG|5AART|6aVULN|7LHND|8RCR
113	22534 13513	   	194.78	DCR|2VULN|2DMG|1AART|2DUR	1FEWX|24DUR|39DMG|5AART|6aVULN|7LHND|8RCR
114	12136 42513	   	194.68	DCR|2VULN|2DMG|1AART|2DUR	1BEXP|27DUR|3AART|49DMG|5aVULN|6DUST|8RCR
115	22136 42513	   	194.68	DCR|2VULN|2DMG|1AART|2DUR	1FEWX|27DUR|3AART|49DMG|5aVULN|6DUST|8RCR
116	32136 42513	   	194.68	DCR|2VULN|2DMG|1AART|2DUR	1LHND|27DUR|3AART|49DMG|5aVULN|6DUST|8RCR
117	52136 12513	   	194.68	DCR|2VULN|2DMG|1AART|2DUR	1DUST|27DUR|3AART|49DMG|5aVULN|6LHND|8RCR
118	32136 51531	   	194.65	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1AAC|1DUR	1LHND|2DUR|3AART|4DMG|5VULN|6CDMG|7LWND|8RCR|9ASPD|aAAC
119	32131 55531	   	194.55	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1AAC|1DUR	1LHND|2DUR|3AART|4DMG|5LEGI|6CDMG|7VULN|8RCR|9ASPD|aAAC
120	36353 13412	   	194.46	DCR|3DMG|1AART|1VULN|1ASPD|1AAC	12LHND|347DMG|5VULN|6AART|8AAC|9RCR|aASPD
121	32133 32552	 * 	194.46	DCR|2DMG|1MDPS|1AART|1VULN|1ASPD|2DUR	1LHND|25DUR|3AART|45DMG|5BPWR|6AME|7MDPS|8RCR|9VULN|aASPD
122	12634 13512	   	194.46	DCR|2DMG|1AART|1VULN|1ASPD|2DUR	1BEXP|24DUR|3ASPD|5AART|6VULN|7LHND|8RCR|9aDMG
123	21413 21143	   	194.39	DCR|2VULN|2ASPD|1DMG|1CDMG	13FEWX|2CDMG|4aASPD|57VULN|6RCR|8MLV|9DMG
124	21413 21543	   	194.39	DCR|2VULN|2ASPD|1DMG|1CDMG	13FEWX|2CDMG|4aASPD|57VULN|6RCR|8CGEN|9DMG
125	62353 13412	   	194.36	DCR|3DMG|1VULN|1AART|1ASPD|1AAC	1MLV|2TLV|347DMG|5VULN|6AART|8AAC|9RCR|aASPD
126	32133 22552	   	194.36	DCR|2DMG|1MDPS|1VULN|1AART|1ASPD|2DUR	1LHND|25DUR|3AART|45DMG|5BPWR|6ERES|7MDPS|8RCR|9VULN|aASPD
127	43235 23116	   	194.14	DCR|2VULN|2DMG|1AART|1ZMB	1aERES|2AART|3ZMB|4aVULN|58RCVC|6RMIN|7aDMG|9RCR|aBPWR
128	21313 21615	 * 	193.78	DCR|3VULN|2CDMG|1ASPD|1DUR	13FEWX|23CDMG|3BPWR|4ASPD|57aVULN|6RCR|8DUR|9SNIFST
129	12132 43154	   	193.73	DCR|2DMG|1VULN|1AART|1CDMG|1ZMB|1DUR	1BEXP|2DUR|3AART|4aDMG|5ZMB|6LWND|7CDMG|8VULN|9RCR
130	22132 43154	   	193.73	DCR|2DMG|1VULN|1AART|1CDMG|1ZMB|1DUR	1FEWX|2DUR|3AART|4aDMG|5ZMB|6LWND|7CDMG|8VULN|9RCR
131	11324 21643	   	193.72	DCR|2VULN|1AART|2CDMG|1DMG|1DUR	13BEXP|23CDMG|3BPWR|4AART|5LHND|6DMG|7DUR|8aVULN|9RCR
132	21322 41443	   	193.72	DCR|2VULN|1AART|2CDMG|1ASPD|1DUR	13FEWX|23CDMG|3BPWR|4AART|5aVULN|6ASPD|7DUR|8LWND|9RCR
133	21313 21635	   	193.68	DCR|3VULN|2CDMG|1ASPD|1DUR	13FEWX|23CDMG|3BPWR|4ASPD|57aVULN|6RCR|8DUR|9MSLFST
134	12123 55243	   	193.62	DCR|2VULN|1AART|2CDMG|1ASPD|1DUR	1BEXP|2DUR|3AART|4FEWX|5ASPD|68CDMG|7aVULN|9RCR
135	12131 53643	   	193.62	DCR|2VULN|1AART|2CDMG|1DMG|1DUR	1BEXP|2DUR|3AART|4DMG|5LHND|67CDMG|8aVULN|9RCR
136	12131 55243	   	193.62	DCR|2VULN|1AART|2CDMG|1DMG|1DUR	1BEXP|2DUR|3AART|4DMG|5LHND|68CDMG|7aVULN|9RCR
137	12133 55243	   	193.62	DCR|2VULN|1AART|2CDMG|1DMG|1DUR	1BEXP|2DUR|3AART|4DMG|5LWND|68CDMG|7aVULN|9RCR
138	12136 51243	   	193.62	DCR|2VULN|1AART|2CDMG|1DMG|1DUR	1BEXP|2DUR|3AART|4DMG|5aVULN|68CDMG|7LWND|9RCR
139	12162 32543	   	193.62	DCR|2VULN|1AART|2CDMG|1DMG|1DUR	1BEXP|2DUR|3AART|4LWND|5aVULN|67CDMG|8DMG|9RCR
140	22123 55243	   	193.62	DCR|2VULN|1AART|2CDMG|1ASPD|1DUR	1FEWX|2DUR|3AART|4BEXP|5ASPD|68CDMG|7aVULN|9RCR
141	22131 53643	   	193.62	DCR|2VULN|1AART|2CDMG|1DMG|1DUR	1FEWX|2DUR|3AART|4DMG|5LHND|67CDMG|8aVULN|9RCR
142	22131 55243	   	193.62	DCR|2VULN|1AART|2CDMG|1DMG|1DUR	1FEWX|2DUR|3AART|4DMG|5LHND|68CDMG|7aVULN|9RCR
143	22133 55243	   	193.62	DCR|2VULN|1AART|2CDMG|1DMG|1DUR	1FEWX|2DUR|3AART|4DMG|5LWND|68CDMG|7aVULN|9RCR
144	22136 51243	   	193.62	DCR|2VULN|1AART|2CDMG|1DMG|1DUR	1FEWX|2DUR|3AART|4DMG|5aVULN|68CDMG|7LWND|9RCR
145	22162 32543	   	193.62	DCR|2VULN|1AART|2CDMG|1DMG|1DUR	1FEWX|2DUR|3AART|4LWND|5aVULN|67CDMG|8DMG|9RCR
146	22226 31543	   	193.62	DCR|2VULN|1AART|2CDMG|1DMG|1DUR	15FEWX|2DUR|3DUST|45CDMG|5BPWR|6AART|7aVULN|8DMG|9RCR
147	31314 35343	   	193.62	DCR|2VULN|1AART|2CDMG|1ASPD|1DUR	13LHND|23CDMG|3BPWR|4ASPD|5DUR|6LEGI|7AART|8aVULN|9RCR
148	32122 53643	   	193.62	DCR|2VULN|1AART|2CDMG|1ASPD|1DUR	1LHND|2DUR|3AART|4BEXP|5ASPD|67CDMG|8aVULN|9RCR
149	32122 55243	   	193.62	DCR|2VULN|1AART|2CDMG|1ASPD|1DUR	1LHND|2DUR|3AART|4BEXP|5ASPD|68CDMG|7aVULN|9RCR
150	32136 51243	   	193.62	DCR|2VULN|1AART|2CDMG|1DMG|1DUR	1LHND|2DUR|3AART|4DMG|5aVULN|68CDMG|7LWND|9RCR
151	32162 53343	   	193.62	DCR|2VULN|1AART|2CDMG|1ASPD|1DUR	1LHND|2DUR|3AART|4LWND|5ASPD|67CDMG|8aVULN|9RCR
152	32131 53343	   	193.52	DCR|2VULN|1AART|2CDMG|1DMG|1DUR	1LHND|2DUR|3AART|4DMG|5LEGI|67CDMG|8aVULN|9RCR
153	32131 55243	   	193.52	DCR|2VULN|1AART|2CDMG|1DMG|1DUR	1LHND|2DUR|3AART|4DMG|5LEGI|68CDMG|7aVULN|9RCR
154	51322 21243	   	193.52	DCR|2VULN|1AART|2CDMG|1DMG|1DUR	13DUST|23CDMG|3BPWR|4AART|5aVULN|6DMG|7DUR|8FEWX|9RCR
155	51322 21443	   	193.52	DCR|2VULN|1AART|2CDMG|1DMG|1DUR	13DUST|23CDMG|3BPWR|4AART|5aVULN|6DMG|7DUR|8LWND|9RCR
