0	Index      	 *	Score 	Summary	Detail	
1	52533 41231	 * 	228.20	DCR|1SPLARM|3DMG|1AART|1VULN|1CDMG|1DUR	1AART|2LIT|3VULN|468DMG|5CDMG|7DUR|9RCR|aSPLARM
95	51331 12235	   	201.38	DCR|2VULN|2DMG|1AART|1CDMG	1AART|2DUST|34VULN|5FEWX|6RCR|7aDMG|8MLV|9CDMG
96	51331 12535	   	201.38	DCR|2VULN|2DMG|1AART|1CDMG	1AART|2DUST|34VULN|5FEWX|6RCR|7aDMG|8AME|9CDMG
97	65532 13221	   	201.38	DCR|2VULN|2DMG|1AART|1CDMG	19DMG|2LWND|3aVULN|4TLV|5AART|6RCR|7LIT|8CDMG
98	51612 12153	 * 	201.36	DCR|2AART|1VULN|1ASPD|1DMG|1NUKE	13AART|2DUST|4DMG|5LWND|6LIT|7RCR|8ASPD|9VULN|aNUKE
99	51613 12153	   	201.36	DCR|2AART|1VULN|1ASPD|1DMG|1NUKE	13AART|2DUST|4DMG|5FEWX|6LIT|7RCR|8ASPD|9VULN|aNUKE
100	51331 12135	   	201.28	DCR|2VULN|2DMG|1AART|1CDMG	1AART|2DUST|34VULN|5FEWX|6RCR|7aDMG|8ERES|9CDMG
101	62512 32321	   	201.16	DCR|3VULN|2DMG|1AART	19DMG|24FEWX|348VULN|4BPWR|5LIT|6AART|7RCR|aAME
102	62512 32322	   	201.16	DCR|3VULN|2DMG|1AART	19DMG|24FEWX|348VULN|4BPWR|5LIT|6AART|7RCR|aLHND
103	62512 32325	   	201.16	DCR|3VULN|2DMG|1AART	19DMG|24FEWX|348VULN|4BPWR|5LIT|6AART|7RCR|aRCVC
104	62512 32326	   	201.16	DCR|3VULN|2DMG|1AART	19DMG|24FEWX|348VULN|4BPWR|5LIT|6AART|7RCR|aBEXP
105	62512 32334	   	201.16	DCR|3VULN|2DMG|1AART	1aDMG|24FEWX|348VULN|4BPWR|59LIT|6AART|7RCR
106	62514 12321	   	201.16	DCR|3VULN|2DMG|1AART	19DMG|24FEWX|348VULN|4BPWR|5AART|6LIT|7RCR|aAME
107	62514 12322	   	201.16	DCR|3VULN|2DMG|1AART	19DMG|24FEWX|348VULN|4BPWR|5AART|6LIT|7RCR|aLHND
108	64132 31222	   	201.16	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG	17DMG|2CDMG|3AART|4ASPD|5LWND|6RCR|8CGEN|9FEWX|aVULN
109	64132 31231	   	201.16	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG	17DMG|2CDMG|3AART|4ASPD|5LWND|6RCR|8CGEN|9VULN|aRMIN
110	64132 31233	   	201.16	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG	17DMG|2CDMG|3AART|4ASPD|5LWND|6RCR|8CGEN|9VULN|aDMSP
111	64132 31315	   	201.16	DCR|2DMG|1AART|1VULN|1ASPD|1CDMG	17DMG|2CDMG|3AART|4ASPD|5LWND|6RCR|89DMSP|aVULN
112	64132 31341	   	201.16	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG	17DMG|2CDMG|3AART|4ASPD|5LWND|6RCR|8DMSP|9VULN|aCGEN
113	64132 31411	   	201.16	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG	17DMG|2CDMG|3AART|4ASPD|5LWND|6RCR|8BEXP|9LIT|aVULN
114	64132 31422	   	201.16	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG	17DMG|2CDMG|3AART|4ASPD|5LWND|6RCR|8BEXP|9AME|aVULN
115	64132 31611	   	201.16	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG	17DMG|2CDMG|3AART|4ASPD|5LWND|6RCR|8LHND|9LIT|aVULN
116	64132 31622	   	201.16	DCR|2DMG|1AART|1VULN|1ASPD|1CDMG	17DMG|2CDMG|3AART|4ASPD|5LWND|6RCR|8LHND|9AME|aVULN
117	52213 52121	   	201.09	DCR|3ASPD|2VULN|1AART|1DUR	1AART|2LIT|3DUR|49VULN|568ASPD|7RCR|aLWND
118	52213 52122	   	201.09	DCR|3ASPD|2VULN|1AART|1DUR	1AART|2LIT|3DUR|49VULN|568ASPD|7RCR|aAME
119	63126 32314	   	201.06	DCR|3VULN|2DMG|1AART	1aDMG|29BEXP|3LIT|458VULN|6AART|7RCR
120	62512 32323	   	201.06	DCR|3VULN|2DMG|1AART|1MSE	19DMG|24FEWX|348VULN|4BPWR|5LIT|6AART|7RCR|aMSE
121	62514 12323	   	201.06	DCR|3VULN|2DMG|1AART|1MSE	19DMG|24FEWX|348VULN|4BPWR|5AART|6LIT|7RCR|aMSE
122	64132 31122	   	201.06	DCR|2DMG|1VULN|1AART|1ASPD|1NUKE|1CDMG	17DMG|2CDMG|3AART|4ASPD|5LWND|6RCR|8NUKE|9FEWX|aVULN
123	64132 31131	   	201.06	DCR|2DMG|1VULN|1AART|1ASPD|1NUKE|1CDMG	17DMG|2CDMG|3AART|4ASPD|5LWND|6RCR|8NUKE|9VULN|aRMIN
124	64132 31133	   	201.06	DCR|2DMG|1VULN|1AART|1ASPD|1NUKE|1CDMG	17DMG|2CDMG|3AART|4ASPD|5LWND|6RCR|8NUKE|9VULN|aDMSP
125	64132 31236	   	201.06	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG	17DMG|2CDMG|3AART|4ASPD|5LWND|6RCR|8CGEN|9VULN|aMBVNT
126	64132 31522	   	201.06	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG	17DMG|2CDMG|3AART|4ASPD|5LWND|6RCR|8TLV|9FEWX|aVULN
127	64132 31531	   	201.06	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG	17DMG|2CDMG|3AART|4ASPD|5LWND|6RCR|8TLV|9VULN|aRMIN
128	64132 31533	   	201.06	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG	17DMG|2CDMG|3AART|4ASPD|5LWND|6RCR|8TLV|9VULN|aDMSP
129	52213 52123	   	200.99	DCR|3ASPD|2VULN|1AART|1DUR	1AART|2LIT|3DUR|49VULN|568ASPD|7RCR|aERES
130	52213 52126	   	200.99	DCR|3ASPD|2VULN|1AART|1DUR|1MSE	1AART|2LIT|3DUR|49VULN|568ASPD|7RCR|aMSE
131	64132 31136	   	200.96	DCR|2DMG|1VULN|1AART|1ASPD|1NUKE|1CDMG	17DMG|2CDMG|3AART|4ASPD|5LWND|6RCR|8NUKE|9VULN|aMBVNT
132	51315 12122	 * 	200.78	DCR|3AART|2ASPD|1VULN|1DMG	15aAART|2DUST|3VULN|48ASPD|6LIT|7RCR|9DMG
133	52213 52223	   	200.67	DCR|3ASPD|1VULN|1AART|1DMG|1DUR	1AART|2LIT|3DUR|4VULN|56aASPD|7RCR|8ERES|9DMG
134	33534 63131	 * 	200.48	ACR|2VULN|1MDPS|1AART|1ASPD|1DMG|1CDMG	1RCR|2RCVC|39VULN|4ASPD|5AART|6CDMG|7MLV|8DMG|aMDPS
135	61512 14332	   	200.43	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DMG|2ZMB|3aVULN|4DUST|5DUR|6AART|7RCR|8CDMG|9SNIFST
136	33534 62131	   	200.38	ACR|2VULN|1MDPS|1AART|1ASPD|1DMG|1CDMG	1RCR|2RCVC|39VULN|4ASPD|5AART|6CDMG|7ERES|8DMG|aMDPS
137	61531 32433	   	200.34	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	1DMG|2ZMB|3aVULN|4ASPD|5CGEN|6AART|7MLV|8DUR|9RCR
138	61262 13523	 * 	200.22	DCR|3DMG|2VULN|1MDPS|1ZMB|1SELL	147DMG|2ZMB|37CGEN|5SELL|67VULN|7BPWR|8AME|9RCR|aMDPS
139	61432 13523	 * 	200.22	DCR|3DMG|2VULN|1MDPS|1ZMB|1SELL	147DMG|2ZMB|37MLV|5SELL|67VULN|7BPWR|8AME|9RCR|aMDPS
140	51312 43513	 * 	200.04	DCR|2VULN|2AART|2ASPD|1DUR	17AART|2DUST|3aVULN|46ASPD|5DUR|8ERES|9RCR
141	61452 32333	   	200.03	DCR|2AART|1VULN|1ASPD|1DMG|1ZMB|1DUR	1DMG|2ZMB|3MLV|4DUR|5LIT|69AART|7RCR|8VULN|aASPD
142	62512 32113	   	199.92	DCR|2VULN|2ASPD|1AART|1DMG	1DMG|24FEWX|34VULN|4BPWR|5LIT|6AART|7RCR|8aASPD|9ERES
143	62514 12113	   	199.92	DCR|2VULN|2ASPD|1AART|1DMG	1DMG|24FEWX|34VULN|4BPWR|5AART|6LIT|7RCR|8aASPD|9ERES
144	63512 32113	   	199.92	DCR|2VULN|2ASPD|1AART|1DMG	1DMG|24BEXP|34VULN|4BPWR|5LIT|6AART|7RCR|8aASPD|9ERES
145	63514 12113	   	199.92	DCR|2VULN|2ASPD|1AART|1DMG	1DMG|24BEXP|34VULN|4BPWR|5AART|6LIT|7RCR|8aASPD|9ERES
146	63126 32113	   	199.82	DCR|2VULN|2ASPD|1AART|1DMG	1DMG|2BEXP|3LIT|45VULN|6AART|7RCR|8aASPD|9ERES
147	62512 32362	 * 	199.65	DCR|3VULN|2AART|1DMG	1DMG|24FEWX|348VULN|4BPWR|5LIT|6aAART|7RCR|9CGEN
148	63512 32335	   	199.65	DCR|3VULN|2AART|1DMG	1DMG|24BEXP|348VULN|4BPWR|5LIT|6aAART|7RCR|9LHND
149	64132 33422	   	199.64	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG	1DMG|2CDMG|3aAART|4ASPD|5LWND|6RCR|7MLV|8BEXP|9VULN
150	15641 32121	   	199.63	DCR|3ASPD|1MDPS|1VULN|1AART|1DUR	15LHND|2LIT|3DUR|458ASPD|5BPWR|6AART|7RCR|9VULN|aMDPS
151	63126 32335	   	199.55	DCR|3VULN|2AART|1DMG	1DMG|2BEXP|3LIT|458VULN|6aAART|7RCR|9LHND
152	64122 31322	   	199.54	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG	1DMG|2CDMG|3aAART|4DUST|5MLV|6RCR|7ASPD|8LHND|9VULN
153	64122 31422	   	199.54	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG	1DMG|2CDMG|3aAART|4DUST|5MLV|6RCR|7ASPD|8BEXP|9VULN
154	64126 31322	   	199.54	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG	1DMG|2CDMG|3aAART|4DUST|5AME|6RCR|7ASPD|8LHND|9VULN
155	64132 32422	   	199.54	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG	1DMG|2CDMG|3aAART|4ASPD|5LWND|6RCR|7ERES|8BEXP|9VULN
156	52213 52111	   	199.53	DCR|3ASPD|1MDPS|1VULN|1AART|1DUR	1AART|2LIT|3DUR|4VULN|568ASPD|7RCR|9LHND|aMDPS
157	52213 52152	   	199.53	DCR|3ASPD|1MDPS|1VULN|1AART|1DUR	1AART|2LIT|3DUR|4VULN|568ASPD|7RCR|9AME|aMDPS
158	52213 52162	   	199.53	DCR|3ASPD|1MDPS|1AART|1VULN|1DUR	1AART|2LIT|3DUR|4VULN|568ASPD|7RCR|9RMIN|aMDPS
