0	Index      	 *	Score 	Summary	Detail	
1	16261 35211	 * 	203.40	DCR|2VULN|2DMG|1AART|1CDMG|2DUR|1ZMB	13DUR|23DMG|3BPWR|4AART|5LIT|6RCR|7CDMG|8aVULN|9ZMB
14	12561 35211	   	180.42	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DUR|2RCVC|3DMG|4AART|5LIT|6RCR|7CDMG|8aVULN|9ZMB
15	12312 33454	   	180.40	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1DUR|2RCVC|3FEWX|46VULN|5CDMG|7AART|8RCR|9aDMG
16	13512 33451	   	180.40	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1DUR|2CGEN|39DMG|46VULN|5CDMG|7AART|8RCR|aLIT
17	13512 33452	   	180.40	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1DUR|2CGEN|39DMG|46VULN|5CDMG|7AART|8RCR|aRMIN
18	13512 33453	   	180.40	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1DUR|2CGEN|39DMG|46VULN|5CDMG|7AART|8RCR|aRPLT
19	11651 23233	 * 	179.57	DCR|3DMG|1AART|3DUR|2ZMB|1FLTHEA	129DUR|29BPWR|39ZMB|4AART|5LIT|6FLTHEA|789DMG|aRCR
20	16431 71341	   	179.49	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	1DUR|24DMG|3MBVNT|5AART|6RCR|7ASPD|8DUST|9aVULN
21	44225 13311	 * 	179.39	ACR|3VULN|2DMG|3CDMG	1DLOT|278CDMG|38aVULN|4RCR|58DMG|6RCVC|8BPWR|9LHND
22	44225 13321	   	179.39	ACR|3VULN|2DMG|3CDMG	1DLOT|278CDMG|38aVULN|4RCR|58DMG|6RCVC|8BPWR|9LWND
23	44225 13331	   	179.29	ACR|3VULN|2DMG|3CDMG	1DLOT|278CDMG|38aVULN|4RCR|58DMG|6RCVC|8BPWR|9DUST
24	16471 12441	 * 	178.87	ACR|3VULN|3DMG|2DUR	19DUR|269DMG|3MBVNT|46aVULN|5RCR|69BPWR|7TLV|89FEWX
25	16471 12141	   	178.67	ACR|3VULN|3DMG|2DUR	19DUR|269DMG|3MBVNT|46aVULN|5RCR|69BPWR|7TLV|89DUST
26	16543 33111	 * 	178.06	DCR|3VULN|2DMG|2CDMG|2DUR	17DUR|27DMG|3BELT|489VULN|5BEXP|67CDMG|7BPWR|aRCR
27	16261 32322	 * 	176.71	DCR|3DMG|1AART|1VULN|2DUR	13DUR|239DMG|3BPWR|4AART|5LIT|6RCR|7CGEN|8AIRHEL|aVULN
28	16261 31352	   	176.61	DCR|3DMG|1AART|1VULN|2DUR	13DUR|239DMG|3BPWR|4AART|5LIT|6RCR|7ERES|8AIRHEL|aVULN
29	16262 12433	   	176.61	DCR|3DMG|1AART|1VULN|2DUR	13DUR|23aDMG|3BPWR|4AART|57ERES|6RCR|8VULN|9LWND
30	16262 12422	   	176.51	DCR|3DMG|1AART|1VULN|2DUR	13DUR|23aDMG|3BPWR|4AART|579ERES|6RCR|8VULN
31	16212 11356	 * 	176.44	DCR|2DMG|2AART|1VULN|2DUR|1ASPD	13DUR|23DMG|3BPWR|4ERES|5ASPD|6RCR|7LWND|8VULN|9aAART
32	16471 14412	   	176.37	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1DUR|26DMG|3MBVNT|46VULN|5RCR|6BPWR|7ZMB|8FEWX|9LHND|aAART
33	16471 14112	   	176.27	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1DUR|26DMG|3MBVNT|46VULN|5RCR|6BPWR|7ZMB|8DUST|9LHND|aAART
34	44221 22213	 * 	175.94	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DLOT|2CDMG|37VULN|4RCR|5DUR|6ZMB|8AART|9RMIN|aDMG
35	44221 22343	   	175.34	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DLOT|2CDMG|37VULN|4RCR|5DUR|6ZMB|8RMIN|9AART|aDMG
36	41131 21242	 * 	174.90	ACR|3DMG|2AART|2CDMG|1SELL	1DLOT|27AART|3aLHND|4RCR|58aDMG|6aCDMG|9SELL|aBPWR
37	16261 35223	   	174.81	DCR|2DMG|1AART|1VULN|1CDMG|2DUR	13DUR|23DMG|3BPWR|4AART|5LIT|6RCR|7CDMG|8VULN|9CGEN|aLHND
38	11561 35221	   	174.71	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	12DUR|2BPWR|3DMG|4AART|5LIT|6RCR|7CDMG|8aVULN|9CGEN
39	16261 35233	   	174.71	DCR|2DMG|1AART|1VULN|1CDMG|2DUR	13DUR|23DMG|3BPWR|4AART|5LIT|6RCR|7CDMG|8VULN|9ERES|aLHND
40	16361 35221	   	174.71	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	13DUR|2DMG|4AART|5LIT|6RCR|7CDMG|8aVULN|9CGEN
41	11561 35231	   	174.61	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	12DUR|2BPWR|3DMG|4AART|5LIT|6RCR|7CDMG|8aVULN|9ERES
42	16261 35131	   	174.61	DCR|2DMG|1AART|1VULN|1CDMG|2DUR	13DUR|23DMG|3BPWR|4AART|5LIT|6RCR|7CDMG|8TLV|9DUST|aVULN
43	16361 35231	   	174.61	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	13DUR|2DMG|4AART|5LIT|6RCR|7CDMG|8aVULN|9ERES
44	16262 12411	   	174.51	DCR|2DMG|1AART|1VULN|1CDMG|2DUR	13DUR|23DMG|3BPWR|4AART|57ERES|6RCR|8VULN|9CANSTR|aCDMG
45	16262 12421	   	174.51	DCR|2DMG|1AART|1VULN|1CDMG|2DUR	13DUR|23DMG|3BPWR|4AART|579ERES|6RCR|8VULN|aCDMG
46	13512 33441	 * 	174.26	DCR|2VULN|2AART|1DMG|1CDMG|1DUR	1DUR|2CGEN|3DMG|46VULN|5CDMG|79AART|8RCR|aLIT
47	13512 33442	   	174.26	DCR|2VULN|2AART|1DMG|1CDMG|1DUR	1DUR|2CGEN|3DMG|46VULN|5CDMG|79AART|8RCR|aRMIN
48	13512 33443	   	174.26	DCR|2VULN|2AART|1DMG|1CDMG|1DUR	1DUR|2CGEN|3DMG|46VULN|5CDMG|79AART|8RCR|aRPLT
49	16471 12442	   	174.22	ACR|3DMG|2VULN|2DUR|1ZMB	19DUR|269DMG|3MBVNT|46VULN|5RCR|69BPWR|7TLV|89FEWX|aZMB
50	16471 11413	   	174.12	ACR|3DMG|2VULN|2DUR|1ZMB	19DUR|268DMG|3MBVNT|46VULN|5RCR|6BPWR|7RCVC|aZMB
51	13322 33421	 * 	174.07	ACR|3DMG|2VULN|1CDMG|1DUR	1DUR|29CGEN|3MLV|4RCR|5CDMG|69VULN|7BEXP|89aDMG|9BPWR
52	13322 36421	   	174.07	ACR|3DMG|2VULN|1CDMG|1DUR	1DUR|29CGEN|3MLV|4RCR|5CDMG|69VULN|7LHND|89aDMG|9BPWR
53	16471 12142	   	174.02	ACR|3DMG|2VULN|2DUR|1ZMB	19DUR|269DMG|3MBVNT|46VULN|5RCR|69BPWR|7TLV|89DUST|aZMB
54	13322 34421	   	173.97	ACR|3DMG|2VULN|1CDMG|1DUR	1DUR|29CGEN|3MLV|4RCR|5CDMG|69VULN|7DUST|89aDMG|9BPWR
55	16262 23411	 * 	173.63	DCR|2DMG|1AART|1VULN|3DUR|1CDMG	137DUR|23DMG|3BPWR|4AART|5ERES|6CDMG|8RCR|9BASICY|aVULN
56	13512 33414	   	173.57	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR|1SELL	1DUR|2CGEN|3DMG|46VULN|5CDMG|7AART|8RCR|9SELL|aZMB
