0	Index      	 *	Score 	Summary	Detail	
1	25533 52332	 * 	208.93	ACR|3DMG|2VULN|3ZMB|3ASPD	1RCR|27aASPD|3LEGI|4VENICY|57aDMG|678ZMB|7aBPWR|9aVULN
31	26436 33223	   	191.10	ACR|2VULN|2DMG|1AART|2CDMG	1RCR|2aDMG|3DMSP|4LIT|5AART|6LEGI|7aCDMG|8RMIN|9aVULN|aBPWR
32	26116 62222	   	191.00	ACR|2VULN|2DMG|1AART|2CDMG	1RCR|26DMG|3aCDMG|4LIT|5AART|79VULN|8RMIN
33	26351 22531	 * 	190.98	ACR|2DMG|1AART|1VULN|2FLTHEA|2DUR|1ASPD	1RCR|27DMG|34FEWX|57FLTHEA|67DUR|7BPWR|8AART|9VULN|aASPD
34	26111 13214	   	189.82	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	1RCR|25DMG|3CDMG|49LIT|6aVULN|7DUR|8AART
35	26111 13243	   	189.82	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	1RCR|25DMG|3CDMG|4LIT|69VULN|7DUR|8AART|aMLV
36	26111 13245	   	189.82	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	1RCR|25DMG|3CDMG|4LIT|69VULN|7DUR|8AART|aRMIN
37	26111 13246	   	189.82	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	1RCR|25DMG|3CDMG|4LIT|69VULN|7DUR|8AART|aLHND
38	26151 22212	   	189.79	ACR|3VULN|3DMG|1CDMG	1RCR|269DMG|3CDMG|49DUST|5LIT|7MGNLIT|89aVULN|9BPWR
39	26111 13241	   	189.72	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	1RCR|25DMG|3CDMG|4LIT|69VULN|7DUR|8AART|aDUST
40	26111 13242	   	189.72	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	1RCR|25DMG|3CDMG|4LIT|69VULN|7DUR|8AART|aAIRHEL
41	26123 22136	 * 	189.19	ACR|3VULN|2DMG|2ZMB|1CDMG	1RCR|2aDMG|3CDMG|49aVULN|5LHND|6RPLT|7CGEN|8aZMB|aBPWR
42	26123 22166	   	189.19	ACR|3DMG|2VULN|2ZMB|1CDMG	1RCR|29aDMG|3CDMG|4aVULN|5LHND|6RPLT|7CGEN|8aZMB|aBPWR
43	26136 63111	 * 	189.06	ACR|3VULN|1AART|1DMG|2CDMG	1RCR|2DMG|34CDMG|5AART|6BEXP|7CGEN|89aVULN
44	26136 13111	   	188.96	ACR|3VULN|1AART|1DMG|2CDMG	1RCR|2DMG|34CDMG|5AART|6DUST|7CGEN|89aVULN
45	26136 53111	   	188.96	ACR|3VULN|1AART|1DMG|2CDMG	1RCR|2DMG|34CDMG|5AART|6LEGI|7CGEN|89aVULN
46	11261 52123	   	188.72	DCR|2VULN|2DMG|1AART|2CDMG|1DUR	1RPLT|27DMG|37VULN|4AART|57CDMG|6BELT|7BPWR|8RCR|9BEXP|aDUR
47	25123 21663	   	188.62	ACR|2VULN|2DMG|1AART|1CDMG|1ASPD	1RCR|2ASPD|3CDMG|48VULN|5LHND|6RPLT|79DMG|aAART
48	26123 21313	   	188.62	ACR|2VULN|2DMG|1AART|1CDMG|1ASPD	1RCR|27DMG|3CDMG|49VULN|5LHND|6RPLT|8ASPD|aAART
49	26123 23363	   	188.62	ACR|2VULN|2DMG|1AART|1CDMG|1ASPD	1RCR|29DMG|3CDMG|47VULN|5LHND|6RPLT|8ASPD|aAART
50	26124 21313	   	188.62	ACR|2VULN|2DMG|1AART|1CDMG|1ASPD	1RCR|27DMG|3CDMG|49VULN|5LWND|6RPLT|8ASPD|aAART
51	26124 23363	   	188.62	ACR|2VULN|2DMG|1AART|1CDMG|1ASPD	1RCR|29DMG|3CDMG|47VULN|5LWND|6RPLT|8ASPD|aAART
52	24122 27714	   	188.55	ACR|2DMG|1AART|1VULN|1FLTHEA|1CDMG|1ZMB	1RCR|2ZMB|3CDMG|4VULN|5DUST|6MBVNT|7FLTHEA|89DMG|aAART
53	26126 21313	   	188.52	ACR|2VULN|2DMG|1AART|1CDMG|1ASPD	1RCR|27DMG|3CDMG|49VULN|5LEGI|6RPLT|8ASPD|aAART
54	26126 23363	   	188.52	ACR|2VULN|2DMG|1AART|1CDMG|1ASPD	1RCR|29DMG|3CDMG|47VULN|5LEGI|6RPLT|8ASPD|aAART
55	26136 22335	   	188.36	ACR|2DMG|1AART|1VULN|2CDMG|2ZMB	1RCR|29DMG|34CDMG|5AART|69ZMB|79CGEN|8NUKE|9BPWR|aVULN
56	22215 43154	 * 	188.34	ACR|4VULN|2DMG|1FLTHEA	1RCR|29LIT|3MBVNT|4579VULN|69DMG|8RMIN|9BPWR|aFLTHEA
57	26125 11353	   	188.24	ACR|4VULN|2DMG|1CDMG	1RCR|2aDMG|3CDMG|469aVULN|5BEXP|7FEWX|8aTLV|aBPWR
58	33244 21226	   	188.23	ACR|3VULN|2DMG|1AART|1DUR	1BELT|2RCR|3DUR|46DMG|589VULN|7BEXP|aAART
59	26122 11353	   	188.14	ACR|4VULN|2DMG|1CDMG	1RCR|2aDMG|3CDMG|469aVULN|5DUST|7FEWX|8aTLV|aBPWR
60	26122 41353	   	188.14	ACR|4VULN|2DMG|1CDMG	1RCR|2aDMG|3CDMG|479aVULN|5DUST|6BEXP|8aTLV|aBPWR
61	22215 43754	   	187.78	ACR|3VULN|2DMG|1FLTHEA|2ASPD	1RCR|29LIT|3MBVNT|457VULN|69DMG|89ASPD|9BPWR|aFLTHEA
62	26111 11263	 * 	187.26	ACR|3DMG|1AART|1VULN|2CDMG	1RCR|25aDMG|3aCDMG|4LIT|6VULN|7aDUST|8AART|9RMIN|aBPWR
63	26612 23612	   	186.92	ACR|4VULN|2DMG|2DUR	1RCR|2aDMG|3TLV|4aDUR|5CGEN|6BEXP|789aVULN|aBPWR
64	24136 32111	   	186.84	ACR|3VULN|1AART|2CDMG|1ZMB|1DUR	1RCR|2ZMB|34CDMG|5AART|6DUR|7ERES|89aVULN
65	22633 35352	   	186.72	ACR|3DMG|1AART|1FLTHEA|2DUR|1ZMB	1RCR|238LIT|38BPWR|4AART|5FLTHEA|689DMG|78DUR|aZMB
66	26123 13335	   	186.69	ACR|3VULN|1AART|1DMG|1CDMG|1ASPD	1RCR|2DMG|3CDMG|469VULN|5LHND|7ASPD|8RMIN|aAART
67	26123 13535	   	186.69	ACR|3VULN|1AART|1DMG|1CDMG|1ASPD	1RCR|2DMG|3CDMG|469VULN|5LHND|7ASPD|8MLV|aAART
68	26123 13635	   	186.69	ACR|3VULN|1AART|1DMG|1CDMG|1ASPD	1RCR|2DMG|3CDMG|469VULN|5LHND|7ASPD|8CGEN|aAART
69	26123 23313	   	186.69	ACR|3VULN|1AART|1DMG|1CDMG|1ASPD	1RCR|2DMG|3CDMG|479VULN|5LHND|6RPLT|8ASPD|aAART
70	26124 13335	   	186.69	ACR|3VULN|1AART|1DMG|1CDMG|1ASPD	1RCR|2DMG|3CDMG|469VULN|5LWND|7ASPD|8RMIN|aAART
71	26124 23313	   	186.69	ACR|3VULN|1AART|1DMG|1CDMG|1ASPD	1RCR|2DMG|3CDMG|479VULN|5LWND|6RPLT|8ASPD|aAART
72	25123 21613	   	186.69	ACR|3VULN|1AART|1DMG|1CDMG|1ASPD	1RCR|2ASPD|3CDMG|489VULN|5LHND|6RPLT|7DMG|aAART
73	25124 21613	   	186.69	ACR|3VULN|1AART|1DMG|1CDMG|1ASPD	1RCR|2ASPD|3CDMG|489VULN|5LWND|6RPLT|7DMG|aAART
74	25125 21613	   	186.69	ACR|3VULN|1AART|1DMG|1CDMG|1ASPD	1RCR|2ASPD|3CDMG|489VULN|5BEXP|6RPLT|7DMG|aAART
75	25126 21613	   	186.59	ACR|3VULN|1AART|1DMG|1CDMG|1ASPD	1RCR|2ASPD|3CDMG|489VULN|5LEGI|6RPLT|7DMG|aAART
76	26122 13535	   	186.59	ACR|3VULN|1AART|1DMG|1CDMG|1ASPD	1RCR|2DMG|3CDMG|469VULN|5DUST|7ASPD|8MLV|aAART
77	26122 13635	   	186.59	ACR|3VULN|1AART|1DMG|1CDMG|1ASPD	1RCR|2DMG|3CDMG|469VULN|5DUST|7ASPD|8CGEN|aAART
78	26123 13235	   	186.59	ACR|3VULN|1AART|1DMG|1CDMG|1ASPD	1RCR|2DMG|3CDMG|469VULN|5LHND|7ASPD|8ERES|aAART
79	26124 13235	   	186.59	ACR|3VULN|1AART|1DMG|1CDMG|1ASPD	1RCR|2DMG|3CDMG|469VULN|5LWND|7ASPD|8ERES|aAART
80	26126 13335	   	186.59	ACR|3VULN|1AART|1DMG|1CDMG|1ASPD	1RCR|2DMG|3CDMG|469VULN|5LEGI|7ASPD|8RMIN|aAART
81	26126 23313	   	186.59	ACR|3VULN|1AART|1DMG|1CDMG|1ASPD	1RCR|2DMG|3CDMG|479VULN|5LEGI|6RPLT|8ASPD|aAART
82	26111 24523	   	186.56	ACR|3DMG|1AART|1VULN|2CDMG	1RCR|256DMG|37CDMG|4LIT|8TLV|9AART|aVULN
83	25122 16125	   	186.49	ACR|3VULN|1AART|2CDMG|1FLTHEA|1ASPD	1RCR|2ASPD|39CDMG|468VULN|5DUST|7FLTHEA|aAART
84	26122 13235	   	186.49	ACR|3VULN|1AART|1DMG|1CDMG|1ASPD	1RCR|2DMG|3CDMG|469VULN|5DUST|7ASPD|8ERES|aAART
85	26126 13235	   	186.49	ACR|3VULN|1AART|1DMG|1CDMG|1ASPD	1RCR|2DMG|3CDMG|469VULN|5LEGI|7ASPD|8ERES|aAART
86	26153 13235	   	186.49	ACR|3VULN|1AART|1DMG|1CDMG|1ASPD	1RCR|2DMG|3CDMG|4DUST|569VULN|7ASPD|8ERES|aAART
87	26136 23633	 * 	186.24	ACR|3DMG|1AART|3CDMG|1ZMB	1RCR|29aDMG|34aCDMG|5AART|6ZMB|7LWND|8aLIT|aBPWR
88	26125 12125	   	185.96	ACR|3VULN|1AART|1DMG|2CDMG	1RCR|2DMG|39CDMG|468VULN|5BEXP|7LSRHEA|aAART
89	26614 22213	   	185.87	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1RCR|26DMG|3TLV|4DUR|59VULN|7BEXP|8ZMB|aAART
90	24623 21325	   	185.87	ACR|2VULN|2DMG|1AART|1ZMB|1ASPD	1RCR|2ZMB|3TLV|4ASPD|58DMG|6LWND|79VULN|aAART
91	26122 12125	   	185.86	ACR|3VULN|1AART|1DMG|2CDMG	1RCR|2DMG|39CDMG|468VULN|5DUST|7LSRHEA|aAART
92	26153 12125	   	185.86	ACR|3VULN|1AART|1DMG|2CDMG	1RCR|2DMG|39CDMG|4DUST|568VULN|7LSRHEA|aAART
93	53231 32111	   	185.62	DCR|2VULN|2DMG|1AART|2CDMG|1ASPD	16DMG|2ASPD|38CDMG|46VULN|5AART|6BPWR|7CGEN|9RCR|aLWND
94	53231 32112	   	185.62	DCR|2VULN|2DMG|1AART|2CDMG|1ASPD	16DMG|2ASPD|38CDMG|46VULN|5AART|6BPWR|7CGEN|9RCR|aBEXP
95	53231 32113	   	185.62	DCR|2VULN|2DMG|1AART|2CDMG|1ASPD	16DMG|2ASPD|38CDMG|46VULN|5AART|6BPWR|7CGEN|9RCR|aRCVC
96	53231 32114	   	185.62	DCR|2VULN|2DMG|1AART|2CDMG|1ASPD	16DMG|2ASPD|38CDMG|46VULN|5AART|6BPWR|7CGEN|9RCR|aLHND
97	53231 32116	   	185.52	DCR|2VULN|2DMG|1AART|2CDMG|1ASPD	16DMG|2ASPD|38CDMG|46VULN|5AART|6BPWR|7CGEN|9RCR|aERES
98	22217 24383	   	185.49	ACR|3DMG|2VULN|1AART	1RCR|2aLIT|3MBVNT|4aVULN|5RPLT|689DMG|7AART|aBPWR
99	22217 24384	   	185.39	ACR|3DMG|2VULN|1AART	1RCR|2LIT|3MBVNT|4aVULN|5RPLT|689DMG|7AART
100	26223 23156	   	185.39	ACR|3VULN|2DMG|1AART	1RCR|28DMG|3BEXP|4RPLT|5TLV|69aVULN|7AART
101	22622 22642	   	185.34	ACR|3DMG|2VULN|1CDMG|1ZMB	1RCR|239LIT|39BPWR|49VULN|5ZMB|6FEWX|789DMG|aCDMG
102	22633 15433	   	185.28	ACR|2VULN|2DMG|1AART|1FLTHEA	1RCR|23LIT|3BPWR|4AART|5FLTHEA|6aVULN|7BELT|89DMG
103	26623 51213	   	185.26	ACR|3DMG|2VULN|1ZMB|1DUR|1ASPD	1RCR|257DMG|3TLV|4ASPD|69VULN|8DUR|aZMB
104	26122 15343	   	185.24	ACR|3VULN|2DMG|1CDMG|1ZMB	1RCR|2aDMG|3CDMG|46aVULN|5DUST|7ZMB|8RMIN|9aMLV|aBPWR
105	26623 31214	   	185.17	ACR|3DMG|1AART|1VULN|2DUR|1ASPD	1RCR|257DMG|3TLV|4ASPD|68DUR|9VULN|aAART
106	26151 22214	   	185.14	ACR|3DMG|2VULN|1CDMG|1ZMB	1RCR|269DMG|3CDMG|49DUST|5LIT|7MGNLIT|89VULN|9BPWR|aZMB
107	26122 15253	   	184.94	ACR|3VULN|2DMG|1CDMG|1ZMB	1RCR|2aDMG|3CDMG|46aVULN|5DUST|7ZMB|8aERES|9NUKE|aBPWR
108	26116 36232	   	184.78	ACR|2VULN|2DMG|1AART|1CDMG	1RCR|2aDMG|3CDMG|4aLIT|5AART|67CGEN|8ERES|9aVULN|aBPWR
109	26116 62221	   	184.68	ACR|2VULN|2DMG|1AART|1CDMG	1RCR|26DMG|3CDMG|4LIT|5AART|79VULN|8RMIN|aFEWX
110	26116 62223	   	184.68	ACR|2VULN|2DMG|1AART|1CDMG	1RCR|26DMG|3CDMG|4LIT|5AART|79VULN|8RMIN|aLWND
111	25151 21223	   	184.66	ACR|2DMG|1AART|1VULN|2CDMG|2ASPD	1RCR|27ASPD|37CDMG|4DUST|5LIT|67DMG|7BPWR|8BEXP|9AART|aVULN
112	26116 21323	   	184.64	ACR|2VULN|2DMG|1AART|1CDMG|1SELL	1RCR|2aDMG|3CDMG|47aLIT|5AART|6SELL|8RPLT|9aVULN|aBPWR
113	26116 21613	   	184.64	ACR|2VULN|2DMG|1AART|1CDMG|1SELL	1RCR|2aDMG|3CDMG|47aLIT|5AART|6SELL|8aVULN|9RPLT|aBPWR
114	26621 31125	   	184.48	ACR|2DMG|1AART|1VULN|2ASPD|1CDMG|1DUR	1RCR|27DMG|35TLV|45ASPD|5BPWR|6DUR|8CDMG|9VULN|aAART
115	26136 21112	   	184.41	ACR|2VULN|1AART|1DMG|2CDMG|1ZMB	1RCR|2DMG|34CDMG|5AART|6ZMB|7FEWX|89VULN|aBEXP
116	26136 21113	   	184.41	ACR|2VULN|1AART|1DMG|2CDMG|1ZMB	1RCR|2DMG|34CDMG|5AART|6ZMB|7FEWX|89VULN|aRPLT
117	26136 21114	   	184.41	ACR|2VULN|1AART|1DMG|2CDMG|1ZMB	1RCR|2DMG|34CDMG|5AART|6ZMB|7FEWX|89VULN|aRCVC
118	26136 21115	   	184.41	ACR|2VULN|1AART|1DMG|2CDMG|1ZMB	1RCR|2DMG|34CDMG|5AART|6ZMB|7aFEWX|89VULN
119	26136 21116	   	184.41	ACR|2VULN|1AART|1DMG|2CDMG|1ZMB	1RCR|2DMG|34CDMG|5AART|6ZMB|7FEWX|89VULN|aCGEN
120	26136 21162	   	184.41	ACR|2DMG|1AART|1VULN|2CDMG|1ZMB	1RCR|2aDMG|34CDMG|5AART|6ZMB|7FEWX|8VULN|9BEXP
121	26136 21632	   	184.41	ACR|2DMG|1AART|1VULN|2CDMG|1ZMB	1RCR|29DMG|34CDMG|5AART|6ZMB|7FEWX|8LIT|aVULN
122	26136 23112	   	184.41	ACR|2VULN|1AART|2CDMG|1DMG|1ZMB	1RCR|2DMG|34CDMG|5AART|6ZMB|7LWND|89VULN|aBEXP
123	26136 23113	   	184.41	ACR|2VULN|1AART|2CDMG|1DMG|1ZMB	1RCR|2DMG|34CDMG|5AART|6ZMB|7LWND|89VULN|aRPLT
124	26136 23114	   	184.41	ACR|2VULN|1AART|2CDMG|1DMG|1ZMB	1RCR|2DMG|34CDMG|5AART|6ZMB|7LWND|89VULN|aRCVC
125	26136 23115	   	184.41	ACR|2VULN|1AART|2CDMG|1DMG|1ZMB	1RCR|2DMG|34CDMG|5AART|6ZMB|7LWND|89VULN|aFEWX
126	26136 23116	   	184.41	ACR|2VULN|1AART|1DMG|2CDMG|1ZMB	1RCR|2DMG|34CDMG|5AART|6ZMB|7LWND|89VULN|aLHND
127	26136 21111	   	184.31	ACR|2VULN|1AART|1DMG|2CDMG|1ZMB	1RCR|2DMG|34CDMG|5AART|6ZMB|7FEWX|89VULN|aERES
128	26136 22351	   	184.31	ACR|2VULN|1AART|1DMG|2CDMG|1ZMB	1RCR|2DMG|34CDMG|5AART|6ZMB|7CGEN|8NUKE|9aVULN
129	26136 23111	   	184.31	ACR|2VULN|1AART|2CDMG|1DMG|1ZMB	1RCR|2DMG|34CDMG|5AART|6ZMB|7LWND|89VULN|aERES
130	22214 22633	   	184.29	ACR|3DMG|2VULN|1AART	1RCR|2aLIT|3MBVNT|4aVULN|567DMG|8RPLT|9AART|aBPWR
131	22214 22634	   	184.19	ACR|3DMG|2VULN|1AART	1RCR|2LIT|3MBVNT|4aVULN|567DMG|8RPLT|9AART
132	22214 22741	   	184.19	ACR|3DMG|2VULN|1AART	1RCR|2LIT|3MBVNT|4aVULN|567DMG|8RCVC|9AART
133	22214 22842	   	184.19	ACR|3DMG|2VULN|1AART	1RCR|2LIT|3MBVNT|48VULN|567DMG|9AART|aCGEN
134	22214 22844	   	184.19	ACR|3DMG|2VULN|1AART	1RCR|2LIT|3MBVNT|48VULN|567DMG|9AART|aRPLT
135	22214 22847	   	184.19	ACR|3DMG|2VULN|1AART	1RCR|2LIT|3MBVNT|48VULN|567DMG|9AART|aBELT
136	22214 22848	   	184.19	ACR|3DMG|2VULN|1AART	1RCR|2LIT|3MBVNT|48VULN|567DMG|9AART|aRCVC
137	33342 26321	 * 	184.19	ACR|3VULN|2DMG|3CDMG	1BELT|2RCR|38aDUST|4aDMG|568CDMG|78aVULN|8aBPWR|9RMIN
138	22214 22843	   	184.09	ACR|3DMG|2VULN|1AART	1RCR|2LIT|3MBVNT|48VULN|567DMG|9AART|aTLV
139	22214 22846	   	184.09	ACR|3DMG|2VULN|1AART	1RCR|2LIT|3MBVNT|48VULN|567DMG|9AART|aERES
140	26252 23143	   	184.04	ACR|3VULN|1AART|1DMG|1ZMB|1ASPD	1RCR|2DMG|3BEXP|4LWND|567VULN|8ZMB|9ASPD|aAART
141	26342 23143	   	184.04	ACR|3VULN|1AART|1DMG|1ZMB|1ASPD	1RCR|2DMG|3FEWX|4BEXP|567VULN|8ZMB|9ASPD|aAART
142	26351 22532	   	184.04	ACR|2DMG|1AART|1VULN|2FLTHEA|2DUR	1RCR|27DMG|34FEWX|57FLTHEA|67DUR|7BPWR|8AART|9VULN|aCGEN
143	21614 23125	   	184.04	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	1RCR|2LWND|3RCVC|4DUR|579VULN|6DMG|8ZMB|aAART
144	23614 23125	   	184.04	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	1RCR|2LHND|3RCVC|4DUR|579VULN|6DMG|8ZMB|aAART
145	11261 52532	   	183.92	DCR|2VULN|2DMG|1AART|2CDMG|1ASPD	1RPLT|27DMG|37VULN|4AART|57CDMG|6BELT|7BPWR|8MLV|9ASPD|aRCR
146	11261 52632	   	183.92	DCR|2VULN|2DMG|1AART|2CDMG|1ASPD	1RPLT|27DMG|37VULN|4AART|57CDMG|6BELT|7BPWR|8CGEN|9ASPD|aRCR
147	11261 52332	   	183.82	DCR|2VULN|2DMG|1AART|2CDMG|1ASPD	1RPLT|27DMG|37VULN|4AART|57CDMG|6BELT|7BPWR|8ERES|9ASPD|aRCR
148	26111 33634	   	183.68	ACR|2DMG|2AART|1VULN|1CDMG|1DUR	1RCR|25DMG|3CDMG|4LIT|6BEXP|7DUR|89AART|aVULN
149	26233 21526	   	183.58	ACR|2DMG|2AART|1VULN|1CDMG|1ASPD	1RCR|25DMG|3BEXP|4VENICY|6CDMG|7ASPD|8aAART|9VULN
150	22633 12461	   	183.45	ACR|3VULN|1AART|2CDMG|1FLTHEA	1RCR|239LIT|39BPWR|4AART|5FLTHEA|679VULN|89CDMG|aLWND
151	22633 12462	   	183.45	ACR|3VULN|1AART|2CDMG|1FLTHEA	1RCR|239LIT|39BPWR|4AART|5FLTHEA|679VULN|89CDMG|aCGEN
152	22217 24332	   	183.38	ACR|2VULN|2DMG|1AART|1CDMG	1RCR|2LIT|3MBVNT|49VULN|5RPLT|68DMG|7AART|aCDMG
153	22217 24582	   	183.38	ACR|2VULN|2DMG|1AART|1CDMG	1RCR|2LIT|3MBVNT|48VULN|5RPLT|69DMG|7AART|aCDMG
154	22633 12165	   	183.35	ACR|3VULN|1AART|1DMG|1FLTHEA	1RCR|23LIT|3BPWR|4AART|5FLTHEA|679VULN|8FEWX|aDMG
155	22633 12365	   	183.25	ACR|3VULN|1AART|1DMG|1FLTHEA	1RCR|23LIT|3BPWR|4AART|5FLTHEA|679VULN|8DUST|aDMG
156	24111 52214	   	183.24	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1RCR|2ZMB|3CDMG|49LIT|5DMG|6aVULN|7ASPD|8AART
157	24111 52243	   	183.24	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1RCR|2ZMB|3CDMG|4LIT|5DMG|69VULN|7ASPD|8AART|aMLV
158	26111 33663	   	183.24	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1RCR|25DMG|3CDMG|4LIT|6BEXP|7DUR|8AART|9ZMB|aVULN
159	22214 23151	   	183.18	ACR|3VULN|3DMG|1DUR	1RCR|29LIT|3MBVNT|479VULN|569DMG|8RMIN|9BPWR|aDUR
160	22215 42151	   	183.18	ACR|3VULN|3DMG|1DUR	1RCR|29LIT|3MBVNT|459VULN|679DMG|8RMIN|9BPWR|aDUR
161	24111 52241	   	183.14	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1RCR|2ZMB|3CDMG|4LIT|5DMG|69VULN|7ASPD|8AART|aDUST
162	24111 52242	   	183.14	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1RCR|2ZMB|3CDMG|4LIT|5DMG|69VULN|7ASPD|8AART|aAIRHEL
163	22214 22117	   	182.98	ACR|3VULN|3DMG|1DUR	1RCR|2LIT|3MBVNT|49aVULN|567DMG|8DUR
