0	Index      	 *	Score 	Summary	Detail	
1	62162 74212	 * 	195.53	ACR|3VULN|2DMG|1AART|1ZMB|1DUR	19DMG|2MBVNT|3ZMB|4RCR|567VULN|8AART|aDUR
21	62161 48313	   	185.25	ACR|3DMG|1AART|1VULN|1CDMG|1ZMB	18aDMG|2MBVNT|3ZMB|4RCR|5CDMG|6DMSP|7AART|9VULN
22	62161 48443	   	185.25	ACR|3DMG|1AART|1VULN|1CDMG|1ZMB	19aDMG|2MBVNT|3ZMB|4RCR|5CDMG|6DMSP|7AART|8VULN
23	62162 74222	 * 	185.10	ACR|4VULN|1AART|1DMG|1ZMB	1DMG|2MBVNT|3ZMB|4RCR|567aVULN|8AART|9LWND
24	62162 74232	   	185.10	ACR|4VULN|1AART|1DMG|1ZMB	1DMG|2MBVNT|3ZMB|4RCR|567aVULN|8AART|9LHND
25	62162 74244	   	185.00	ACR|4VULN|1AART|1DMG|1ZMB	1DMG|2MBVNT|3ZMB|4RCR|567aVULN|8AART|9ERES
26	62162 24436	 * 	183.89	ACR|3VULN|3DMG|2ZMB	19aDMG|2MBVNT|36ZMB|4RCR|57aVULN|8aBEXP|aBPWR
27	62162 24452	   	183.89	ACR|3VULN|3DMG|2ZMB	19aDMG|2MBVNT|36ZMB|4RCR|579VULN|89BEXP|9BPWR
28	62162 24212	 * 	183.73	ACR|2VULN|2DMG|1AART|2ZMB|1DUR	19DMG|2MBVNT|36ZMB|4RCR|57VULN|8AART|aDUR
29	62743 14136	   	183.61	DCR|3DMG|2VULN|2ZMB|1CDMG|1DUR	167DMG|2MBVNT|3CDMG|47VULN|57ZMB|7BPWR|8LWND|9RCR|aDUR
30	63141 51313	 * 	181.75	ACR|2VULN|2AART|1DMG|1CDMG|1ZMB	1DMG|2ZMB|3LWND|4RCR|5CDMG|69AART|7FEWX|8aVULN
31	63341 51313	   	181.75	ACR|2VULN|2AART|1DMG|1CDMG|1ZMB	1DMG|2ZMB|3LHND|4RCR|5CDMG|69AART|7FEWX|8aVULN
32	62148 21531	   	181.37	DCR|3VULN|2DMG|2ZMB|1CDMG	19DMG|2MBVNT|39ZMB|4FEWX|5ERES|689VULN|7RCR|9BPWR|aCDMG
33	35351 31252	 * 	180.86	DCR|2AART|2VULN|1DMG|1CDMG|1DUR	1LIT|2DMG|3CGEN|45AART|6RCR|7DUR|89VULN|aCDMG
34	62161 14216	   	180.77	ACR|3DMG|1AART|2ZMB|1CDMG|2DUR	16aDMG|2MBVNT|3aZMB|4RCR|5CDMG|7AIRHEL|8AART|9aDUR|aBPWR
35	32551 31252	   	180.76	DCR|2AART|2VULN|1DMG|1CDMG|1DUR	1LIT|2ERES|3DMG|45AART|6RCR|7DUR|89VULN|aCDMG
36	63242 63131	   	180.47	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1aDMG|2ZMB|3DUST|4RCR|56VULN|7AART|8DUR|9LIT
37	63242 63123	   	180.37	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1aDMG|2ZMB|39DUST|4RCR|56VULN|7AART|8DUR
38	62274 23228	 * 	180.03	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1DMG|2MBVNT|3CGEN|45aVULN|6ZMB|7AART|8CDMG|9RCR
39	62181 21533	   	180.03	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB	1DMG|2MBVNT|3ZMB|46AART|5LWND|7aVULN|8RCR|9CDMG
40	62162 74432	   	179.84	ACR|3VULN|3DMG|1ZMB	19aDMG|2MBVNT|3ZMB|4RCR|567VULN|8BEXP
41	62162 72223	   	179.60	ACR|3VULN|3DMG|1ZMB|1SELL	19aDMG|2MBVNT|3ZMB|4RCR|568VULN|7SELL
42	62764 44243	 * 	179.50	ACR|2VULN|2DMG|1AART|2CDMG	14DMG|2MBVNT|34CDMG|4BPWR|5RCR|6LWND|7aVULN|8AART|9ERES
43	63212 22543	 * 	178.95	DCR|3VULN|2DMG|3ZMB	19DMG|269ZMB|3DUST|4LWND|59aVULN|7DMSP|8RCR|9BPWR
44	63212 21543	   	178.85	DCR|3VULN|2DMG|3ZMB	19DMG|269ZMB|37DUST|4LWND|59aVULN|8RCR|9BPWR
45	62168 24334	 * 	178.67	ACR|2DMG|3ZMB|1AART|1VULN|1DUR	19DMG|2MBVNT|369ZMB|4RCR|5DUR|7VULN|89MLV|9BPWR|aAART
46	62168 24234	   	178.47	ACR|2DMG|3ZMB|1AART|1VULN|1DUR	19DMG|2MBVNT|369ZMB|4RCR|5DUR|7VULN|89TLV|9BPWR|aAART
47	63242 63122	   	178.44	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	1DMG|2ZMB|39DUST|4RCR|56aVULN|7AART|8DUR
48	62472 21531	   	178.05	DCR|2VULN|2DMG|2ZMB|1CDMG|2DUR	19DMG|2MBVNT|39DUR|4CGEN|58VULN|69ZMB|7RCR|9BPWR|aCDMG
49	62161 62143	   	178.02	ACR|3DMG|1AART|1CDMG|2DUR|1ZMB	19aDMG|2MBVNT|3ZMB|4RCR|5CDMG|6AART|78DUR
50	62162 74224	   	177.94	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	1DMG|2MBVNT|3ZMB|4RCR|567VULN|8AART|9LWND|aDUR
51	62162 74234	   	177.94	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	1DMG|2MBVNT|3ZMB|4RCR|567VULN|8AART|9LHND|aDUR
52	62764 12424	   	177.86	ACR|3DMG|1AART|1VULN|2CDMG	149DMG|2MBVNT|34CDMG|49BPWR|5RCR|69LHND|79FEWX|8AART|aVULN
53	62162 74241	   	177.84	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	1DMG|2MBVNT|3ZMB|4RCR|567VULN|8AART|9ERES|aDUR
54	62261 21531	   	177.52	DCR|3VULN|2DMG|1CDMG|1ZMB	19DMG|2MBVNT|39CGEN|4ZMB|5DUST|689VULN|7RCR|9BPWR|aCDMG
55	63212 22541	 * 	176.95	DCR|2VULN|2DMG|3ZMB|1CDMG	19DMG|269ZMB|3DUST|4LWND|59VULN|7DMSP|8RCR|9BPWR|aCDMG
56	63212 21541	   	176.85	DCR|2VULN|2DMG|3ZMB|1CDMG	19DMG|269ZMB|37DUST|4LWND|59VULN|8RCR|9BPWR|aCDMG
57	35126 42311	   	176.82	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1LIT|2DMG|3DUR|4RPLT|59VULN|6RCR|7CDMG|8ZMB|aAART
58	62162 24213	   	176.79	ACR|2VULN|2DMG|1AART|2ZMB	19DMG|2MBVNT|36ZMB|4RCR|57VULN|8AART|aCGEN
59	62162 24214	   	176.79	ACR|2VULN|2DMG|1AART|2ZMB	19DMG|2MBVNT|36ZMB|4RCR|57VULN|8AART|aRCVC
60	62162 24215	   	176.79	ACR|2VULN|2DMG|1AART|2ZMB	19DMG|2MBVNT|36ZMB|4RCR|57VULN|8AART|aRMIN
61	62162 24216	   	176.79	ACR|2VULN|2DMG|1AART|2ZMB	19DMG|2MBVNT|36ZMB|4RCR|57VULN|8AART|aMLV
62	62162 24217	   	176.79	ACR|2VULN|2DMG|1AART|2ZMB	19DMG|2MBVNT|36ZMB|4RCR|57VULN|8AART|aBEXP
63	62162 24223	   	176.79	ACR|2VULN|2DMG|1AART|2ZMB	1aDMG|2MBVNT|36ZMB|4RCR|57VULN|8AART|9LWND
64	62162 24233	   	176.79	ACR|2VULN|2DMG|1AART|2ZMB	1aDMG|2MBVNT|36ZMB|4RCR|57VULN|8AART|9LHND
65	62162 24211	   	176.69	ACR|2VULN|2DMG|1AART|2ZMB	19DMG|2MBVNT|36ZMB|4RCR|57VULN|8AART|aDUST
66	62743 14131	   	176.67	DCR|3DMG|2VULN|2ZMB|1CDMG	167DMG|2MBVNT|3CDMG|47VULN|57ZMB|7BPWR|8aLWND|9RCR
67	62743 14134	   	176.67	DCR|3DMG|2VULN|2ZMB|1CDMG	167DMG|2MBVNT|3CDMG|47VULN|57ZMB|7BPWR|8LWND|9RCR|aRPLT
68	62743 14135	   	176.67	DCR|3DMG|2VULN|2ZMB|1CDMG	167DMG|2MBVNT|3CDMG|47VULN|57ZMB|7BPWR|8LWND|9RCR|aFEWX
69	62743 14331	   	176.67	DCR|3DMG|2VULN|2ZMB|1CDMG	167DMG|2MBVNT|3CDMG|47VULN|57ZMB|7BPWR|8BEXP|9RCR|aLWND
70	62743 14332	   	176.67	DCR|3DMG|2VULN|2ZMB|1CDMG	167DMG|2MBVNT|3CDMG|47VULN|57ZMB|7BPWR|8BEXP|9RCR|aCGEN
71	62743 14333	   	176.67	DCR|3DMG|2VULN|2ZMB|1CDMG	167DMG|2MBVNT|3CDMG|47VULN|57ZMB|7BPWR|8BEXP|9RCR|aLHND
72	62743 14335	   	176.67	DCR|3DMG|2VULN|2ZMB|1CDMG	167DMG|2MBVNT|3CDMG|47VULN|57ZMB|7BPWR|8BEXP|9RCR|aBELT
73	62743 14336	   	176.67	DCR|3DMG|2VULN|2ZMB|1CDMG	167DMG|2MBVNT|3CDMG|47VULN|57ZMB|7BPWR|8BEXP|9RCR|aLIT
74	62743 14731	   	176.67	DCR|3DMG|2VULN|2ZMB|1CDMG	167DMG|2MBVNT|3CDMG|47VULN|57ZMB|7BPWR|8FEWX|9RCR|aLWND
75	62743 14732	   	176.67	DCR|3DMG|2VULN|2ZMB|1CDMG	167DMG|2MBVNT|3CDMG|47VULN|57ZMB|7BPWR|8FEWX|9RCR|aCGEN
76	62743 14733	   	176.67	DCR|3DMG|2VULN|2ZMB|1CDMG	167DMG|2MBVNT|3CDMG|47VULN|57ZMB|7BPWR|8FEWX|9RCR|aLHND
77	62743 14137	   	176.57	DCR|3DMG|2VULN|2ZMB|1CDMG	167DMG|2MBVNT|3CDMG|47VULN|57ZMB|7BPWR|8LWND|9RCR|aDUST
78	62743 14334	   	176.57	DCR|3DMG|2VULN|2ZMB|1CDMG	167DMG|2MBVNT|3CDMG|47VULN|57ZMB|7BPWR|8BEXP|9RCR|aBASICY
79	62743 14338	   	176.57	DCR|3DMG|2VULN|2ZMB|1CDMG	167DMG|2MBVNT|3CDMG|47VULN|57ZMB|7BPWR|8BEXP|9RCR|aDUST
80	62743 14734	   	176.57	DCR|3DMG|2VULN|2ZMB|1CDMG	167DMG|2MBVNT|3CDMG|47VULN|57ZMB|7BPWR|8FEWX|9RCR|aBASICY
81	62143 26371	   	176.55	DCR|3VULN|2DMG|3ZMB	18DMG|2MBVNT|368ZMB|4FEWX|5LHND|78aVULN|8BPWR|9RCR
82	62162 24263	   	176.54	ACR|2VULN|2DMG|1AART|2ZMB|1SELL	1aDMG|2MBVNT|36ZMB|4RCR|57VULN|8AART|9SELL
83	62182 27433	   	176.47	DCR|2VULN|2DMG|1AART|2ZMB	1aDMG|2MBVNT|3aZMB|4AART|5DUST|6DMSP|7MGNSTR|8RCR|9aVULN|aBPWR
84	62144 26371	   	176.45	DCR|3VULN|2DMG|3ZMB	18DMG|2MBVNT|368ZMB|4FEWX|5DUST|78aVULN|8BPWR|9RCR
85	62144 84371	   	176.45	DCR|3VULN|2DMG|3ZMB	18DMG|2MBVNT|378ZMB|4FEWX|5DUST|68aVULN|8BPWR|9RCR
86	62162 22253	   	175.94	ACR|2VULN|2DMG|1AART|2ZMB|1SELL	1aDMG|2MBVNT|36ZMB|4RCR|58VULN|7SELL|9AART
87	43141 43233	   	175.94	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1ERES|2ZMB|3LWND|4RCR|5CDMG|6VULN|7aDMG|8AART|9DUR
88	43341 43233	   	175.94	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1ERES|2ZMB|3LHND|4RCR|5CDMG|6VULN|7aDMG|8AART|9DUR
89	62161 18432	   	175.91	ACR|2DMG|1AART|1VULN|2CDMG|1ZMB	16DMG|2MBVNT|3ZMB|4RCR|59CDMG|7AART|8VULN|aFEWX
90	62161 18434	   	175.91	ACR|2DMG|1AART|1VULN|2CDMG|1ZMB	16DMG|2MBVNT|3ZMB|4RCR|59CDMG|7AART|8VULN|aRCVC
91	62161 48433	   	175.91	ACR|2DMG|1AART|1VULN|2CDMG|1ZMB	1aDMG|2MBVNT|3ZMB|4RCR|59CDMG|6DMSP|7AART|8VULN
92	62161 14214	   	175.84	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	16DMG|2MBVNT|3ZMB|4RCR|5CDMG|7AIRHEL|8AART|9DUR|aVULN
93	62161 18431	   	175.81	ACR|2DMG|1AART|1VULN|2CDMG|1ZMB	16DMG|2MBVNT|3ZMB|4RCR|59CDMG|7AART|8VULN|aNUKE
94	62162 42534	   	175.79	ACR|2VULN|2DMG|1AART|2ZMB	19DMG|2MBVNT|39ZMB|4RCR|58VULN|6CGEN|79BEXP|9BPWR|aAART
95	62274 33543	 * 	175.27	DCR|3VULN|2DMG|1AART	1aDMG|2MBVNT|3CGEN|459VULN|6DUST|7AART|8RCR
96	63142 25332	   	175.08	ACR|3DMG|2VULN|2ZMB|1DUR	19aDMG|26ZMB|3LWND|4RCR|57VULN|8DUR
97	63342 25332	   	175.08	ACR|3DMG|2VULN|2ZMB|1DUR	19aDMG|26ZMB|3LHND|4RCR|57VULN|8DUR
98	62764 44231	 * 	174.99	ACR|2DMG|3CDMG|1AART|1VULN|1DUR	14DMG|2MBVNT|349CDMG|4BPWR|5RCR|6LWND|7VULN|8AART|aDUR
99	62162 24222	 * 	174.85	ACR|3VULN|1AART|1DMG|2ZMB	1DMG|2MBVNT|36ZMB|4RCR|57aVULN|8AART|9LWND
100	62162 24232	   	174.85	ACR|3VULN|1AART|1DMG|2ZMB	1DMG|2MBVNT|36ZMB|4RCR|57aVULN|8AART|9LHND
101	61341 51333	   	174.85	ACR|3VULN|1AART|1DMG|1CDMG	1DMG|2TLV|3LHND|4RCR|5CDMG|6AART|7FEWX|89aVULN
102	63341 16133	   	174.84	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD	16DMG|2ZMB|3LHND|4RCR|5CDMG|7LWND|8ASPD|9VULN|aAART
103	62162 24244	   	174.75	ACR|3VULN|1AART|1DMG|2ZMB	1DMG|2MBVNT|36ZMB|4RCR|57aVULN|8AART|9ERES
104	62162 74242	   	174.75	ACR|3VULN|1AART|1DMG|2ZMB	1DMG|2MBVNT|3aZMB|4RCR|567VULN|8AART|9ERES
105	61241 51333	   	174.75	ACR|3VULN|1AART|1DMG|1CDMG	1DMG|2TLV|3DUST|4RCR|5CDMG|6AART|7FEWX|89aVULN
106	61241 52313	   	174.75	ACR|3DMG|1AART|1VULN|1CDMG	18aDMG|2TLV|3DUST|4RCR|5CDMG|6AART|7RCVC|9VULN
107	62148 21534	   	174.66	DCR|3VULN|2DMG|2ZMB|1DUR	19DMG|2MBVNT|39ZMB|4FEWX|5ERES|689VULN|7RCR|9BPWR|aDUR
108	63141 53321	   	174.15	ACR|2DMG|1AART|1VULN|2ZMB|1CDMG	18DMG|29ZMB|3LWND|4RCR|5CDMG|6AART|7RMIN|aVULN
109	23141 55321	   	174.15	ACR|2DMG|1AART|1VULN|2ZMB|1CDMG	1CGEN|29ZMB|3LWND|4RCR|5CDMG|6AART|78DMG|aVULN
110	61241 16113	   	174.15	ACR|3DMG|1AART|1VULN|1CDMG	16aDMG|2TLV|3DUST|4RCR|5CDMG|7AART|8RCVC|9VULN
111	63242 23162	 * 	174.13	ACR|2AART|3ZMB|1VULN|1DMG|1DUR	1DMG|269ZMB|3DUST|4RCR|5VULN|7aAART|8DUR
112	61561 23322	   	174.07	DCR|3VULN|2DMG|1AART	17DMG|2TLV|37ERES|4FEWX|5DUST|67aVULN|7BPWR|8RCR|9AART
113	35563 31313	   	174.05	DCR|2AART|2DMG|1VULN|1ASPD|1DUR	1LIT|23DMG|48AART|5NUKE|6RCR|7DUR|9ASPD|aVULN
114	35351 33252	   	173.92	DCR|2AART|2VULN|1DMG|1CDMG	1LIT|2DMG|3CGEN|45AART|6RCR|7LWND|89VULN|aCDMG
115	32551 33252	   	173.82	DCR|2AART|2VULN|1DMG|1CDMG	1LIT|2ERES|3DMG|45AART|6RCR|7LWND|89VULN|aCDMG
116	62274 14634	   	173.57	DCR|3DMG|2VULN|1AART	169DMG|2MBVNT|3CGEN|45VULN|7BEXP|8RCR|aAART
117	63242 63211	   	173.54	ACR|2VULN|2DMG|1AART|1ZMB	1aDMG|2ZMB|3DUST|4RCR|56VULN|7AART|8LIT|9FEWX
118	63242 63231	   	173.54	ACR|2VULN|2DMG|1AART|1ZMB	1aDMG|2ZMB|3DUST|4RCR|56VULN|7AART|8LIT|9LWND
119	63242 63331	   	173.54	ACR|2VULN|2DMG|1AART|1ZMB	1aDMG|2ZMB|3DUST|4RCR|56VULN|7AART|8FEWX|9LIT
120	63242 23252	 * 	173.45	ACR|2VULN|1AART|1DMG|2ZMB|1CDMG	1DMG|26ZMB|3DUST|4RCR|59VULN|7AART|8LIT|aCDMG
121	62161 18122	   	173.45	ACR|2DMG|1AART|1VULN|2ZMB|1CDMG	16DMG|2MBVNT|39ZMB|4RCR|5CDMG|7AART|8RCVC|aVULN
122	62161 48322	   	173.45	ACR|2DMG|1AART|1VULN|2ZMB|1CDMG	18DMG|2MBVNT|39ZMB|4RCR|5CDMG|6DMSP|7AART|aVULN
123	63242 63221	   	173.44	ACR|2VULN|2DMG|1AART|1ZMB	1aDMG|2ZMB|3DUST|4RCR|56VULN|7AART|8LIT|9LEGI
124	23242 63412	 * 	173.33	ACR|2VULN|3ZMB|1AART|1DMG	1CGEN|28aZMB|3DUST|4RCR|56VULN|7AART|9DMG
125	26142 33431	 * 	173.27	ACR|2VULN|2DMG|2ZMB|1CDMG|1DUR	19CGEN|2FEWX|39ZMB|4RCR|58VULN|6DUR|79DMG|9BPWR|aCDMG
126	62764 42341	   	173.13	ACR|2VULN|2DMG|2CDMG|1ZMB|1ASPD	14DMG|2MBVNT|34CDMG|4BPWR|5RCR|6LWND|7ASPD|8aVULN|9ZMB
127	62421 26323	 * 	173.11	DCR|2VULN|2DMG|3DUR|1CDMG|1ZMB	18DMG|2MBVNT|348DUR|5DUST|6ZMB|78VULN|8BPWR|9RCR|aCDMG
128	62436 26323	   	173.11	DCR|2VULN|2DMG|3DUR|1CDMG|1ZMB	18DMG|2MBVNT|358DUR|4DUST|6ZMB|78VULN|8BPWR|9RCR|aCDMG
129	61242 34131	   	172.97	ACR|2VULN|2DMG|2ZMB|1CDMG|1DUR	19DMG|2TLV|39DUST|4RCR|57VULN|6DUR|89ZMB|9BPWR|aCDMG
130	35562 21232	   	172.86	DCR|2VULN|2DMG|1AART|1CDMG	1LIT|23DMG|4AART|5LWND|68VULN|7CGEN|9RCR|aCDMG
131	35126 42133	 * 	172.75	DCR|2VULN|2DMG|3CDMG|1DUR	19LIT|29DMG|3DUR|4RPLT|5aVULN|6RCR|789CDMG|9BPWR
132	62162 24238	   	172.73	ACR|2VULN|3ZMB|1AART|1DMG	1DMG|2MBVNT|36aZMB|4RCR|57VULN|8AART|9LHND
133	62162 24242	   	172.63	ACR|2VULN|3ZMB|1AART|1DMG	1DMG|2MBVNT|36aZMB|4RCR|57VULN|8AART|9ERES
134	62344 26354	   	172.52	DCR|3VULN|3DMG|1ZMB	189DMG|2MBVNT|389FEWX|4DUST|5RCVC|6ZMB|789VULN|89BPWR|aRCR
135	43131 43333	   	172.52	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1ERES|2ZMB|3LWND|4DUR|5CDMG|6VULN|7aDMG|8RCR|9AART
136	43131 43334	   	172.52	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1ERES|2ZMB|3LWND|4DUR|5CDMG|6aVULN|7DMG|8RCR|9AART
137	62187 14422	 * 	172.43	DCR|2DMG|1AART|1VULN|2ZMB|1CDMG	15DMG|2MBVNT|37ZMB|4AART|6DMSP|8RCR|9CDMG|aVULN
138	62343 26354	   	172.42	DCR|3VULN|3DMG|1ZMB	189DMG|2MBVNT|389FEWX|45DUST|6ZMB|789VULN|89BPWR|aRCR
139	62182 41512	   	172.42	DCR|2VULN|2DMG|1AART|1ZMB	16DMG|2MBVNT|3ZMB|4AART|5DUST|7aVULN|8RCR|9CGEN
140	62183 33531	   	172.42	DCR|2VULN|2DMG|1AART|1ZMB	1aDMG|2MBVNT|3ZMB|4AART|56VULN|7DUST|8RCR|9LIT
141	62163 84122	   	172.34	ACR|2VULN|2DMG|1AART|1ZMB	16DMG|2MBVNT|3ZMB|4RCR|5LHND|7aVULN|8RMIN|9AART
142	63132 25532	   	172.26	DCR|3DMG|2VULN|2ZMB|1DUR	19aDMG|26ZMB|3LWND|4DUR|57VULN|8RCR
143	63251 13243	 * 	171.96	DCR|3DMG|1AART|2ZMB|1CDMG|1DUR	16aDMG|24ZMB|34DUST|4BPWR|5DUR|7CDMG|8RCR|9AART
144	62426 23228	 * 	171.92	DCR|2VULN|1AART|1DMG|2CDMG|2DUR	1DMG|2MBVNT|34DUR|56VULN|7AART|8aCDMG|9RCR
145	62274 33542	 * 	171.78	DCR|4VULN|1AART|1DMG	1DMG|2MBVNT|3CGEN|459aVULN|6DUST|7AART|8RCR
146	63142 25233	   	171.75	ACR|2VULN|1AART|1DMG|2ZMB|1CDMG	1DMG|26ZMB|3LWND|4RCR|57VULN|8DMSP|9CDMG|aAART
147	62162 23334	   	171.73	ACR|2DMG|3ZMB|1AART|1VULN	19DMG|2MBVNT|369ZMB|4RCR|5VULN|7FEWX|89MLV|9BPWR|aAART
148	62162 25234	   	171.73	ACR|2DMG|3ZMB|1AART|1VULN	19DMG|2MBVNT|369ZMB|4RCR|5VULN|7MLV|89BEXP|9BPWR|aAART
149	62162 42834	   	171.73	ACR|2DMG|3ZMB|1AART|1VULN	19DMG|2MBVNT|389ZMB|4RCR|5VULN|6CGEN|79BEXP|9BPWR|aAART
150	62162 44834	   	171.73	ACR|2DMG|3ZMB|1AART|1VULN	19DMG|2MBVNT|389ZMB|4RCR|5VULN|6CGEN|79FEWX|9BPWR|aAART
151	62162 54334	   	171.73	ACR|2DMG|3ZMB|1AART|1VULN	19DMG|2MBVNT|379ZMB|4RCR|5VULN|6FEWX|89MLV|9BPWR|aAART
152	62764 13243	   	171.71	ACR|2DMG|1AART|1VULN|2CDMG|1ZMB	14DMG|2MBVNT|34CDMG|4BPWR|5RCR|6LHND|7ERES|8VULN|9ZMB|aAART
153	62162 24644	   	171.65	ACR|2VULN|1AART|1DMG|2ZMB|1CDMG	1DMG|2MBVNT|36ZMB|4RCR|57VULN|8RMIN|9CDMG|aAART
154	23244 26434	   	171.63	ACR|2DMG|3ZMB|1AART|1VULN	19CGEN|269ZMB|3DUST|4RCR|5MBVNT|7VULN|89DMG|9BPWR|aAART
155	62162 21334	   	171.63	ACR|2DMG|3ZMB|1AART|1VULN	19DMG|2MBVNT|369ZMB|4RCR|5VULN|7DUST|89MLV|9BPWR|aAART
156	62162 27234	   	171.63	ACR|2DMG|3ZMB|1AART|1VULN	19DMG|2MBVNT|369ZMB|4RCR|5VULN|7ERES|89BEXP|9BPWR|aAART
157	63242 63312	   	171.60	ACR|3VULN|1AART|1DMG|1ZMB	1DMG|2ZMB|3DUST|4RCR|56aVULN|7AART|8FEWX|9CGEN
158	23244 71343	   	171.60	ACR|3VULN|1AART|1DMG|1ZMB	18CGEN|2ZMB|38DUST|4RCR|5MBVNT|689VULN|7AART|8BPWR|aDMG
159	62162 23234	   	171.53	ACR|2DMG|3ZMB|1AART|1VULN	19DMG|2MBVNT|369ZMB|4RCR|5VULN|7FEWX|89TLV|9BPWR|aAART
160	62162 23834	   	171.53	ACR|2DMG|3ZMB|1AART|1VULN	19DMG|2MBVNT|369ZMB|4RCR|5VULN|7FEWX|89ERES|9BPWR|aAART
161	62162 54234	   	171.53	ACR|2DMG|3ZMB|1AART|1VULN	19DMG|2MBVNT|379ZMB|4RCR|5VULN|6FEWX|89TLV|9BPWR|aAART
162	62161 18233	   	171.50	ACR|3DMG|1AART|2CDMG|1ZMB	16aDMG|2MBVNT|3ZMB|4RCR|59CDMG|7AART|8LWND
163	62161 33216	 * 	171.43	ACR|2DMG|1AART|2CDMG|2ZMB|2DUR	1aDMG|2MBVNT|3aZMB|4RCR|57CDMG|6CANSTR|8AART|9aDUR|aBPWR
