0	Index      	 *	Score 	Summary	Detail	
1	12234 34324	 * 	205.48	ACR|3VULN|1AART|1DMG|2ASPD|2DUR|1ZMB	1RCR|27DUR|3ZMB|478VULN|57ASPD|6AART|7BPWR|9LWND|aDMG
15	13211 32316	   	196.71	ACR|4VULN|1AART|1DMG|1ZMB	1RCR|2FEWX|3ZMB|4RCVC|5789VULN|6AART|aDMG
16	16122 32341	   	196.39	ACR|3VULN|2DMG|1AART|1ZMB	1RCR|29VENICY|369VULN|4ERES|5ZMB|7AART|89DMG|9BPWR|aDMSP
17	16122 32346	   	196.39	ACR|3VULN|2DMG|1AART|1ZMB	1RCR|29VENICY|369VULN|4ERES|5ZMB|7AART|89DMG|9BPWR|aRPLT
18	32221 52356	 * 	196.33	DCR|4VULN|3CDMG|1AART|2ZMB|1SELL	128aVULN|28BPWR|3SELL|48ZMB|578CDMG|6RCR|9AART
19	16122 32344	   	196.29	ACR|3VULN|2DMG|1AART|1ZMB	1RCR|29VENICY|369VULN|4aERES|5ZMB|7AART|89DMG|9BPWR
20	16122 32345	   	196.29	ACR|3VULN|2DMG|1AART|1ZMB	1RCR|29VENICY|369VULN|4ERES|5ZMB|7AART|89DMG|9BPWR|aMBVNT
21	11152 11162	   	196.04	ACR|4VULN|1AART|1DMG|2DUR	1RCR|28LIT|3RCVC|48DUR|5678VULN|8BPWR|9DMG|aAART
22	16561 32322	 * 	194.83	ACR|3DMG|2VULN|1AART|1ASPD	1RCR|29VENICY|3AART|47MLV|59VULN|689DMG|9BPWR|aASPD
23	16511 32232	   	194.73	ACR|3VULN|2DMG|1AART|1ASPD	1RCR|2VENICY|3AART|46DMG|57aVULN|8LWND|9ASPD
24	16511 32213	   	194.73	ACR|3VULN|2DMG|1AART|1DUR	1RCR|2VENICY|3AART|46DMG|579VULN|8LWND|aDUR
25	16511 32362	   	194.63	ACR|3VULN|2DMG|1AART|1DUR	1RCR|2VENICY|3AART|46DMG|57aVULN|8TLV|9DUR
26	16515 22112	 * 	194.48	ACR|2AART|2VULN|2DMG|1ZMB	1RCR|2VENICY|36AART|45DMG|7ZMB|8aVULN|9MBVNT
27	13211 32342	   	194.35	ACR|4VULN|1AART|2ZMB|1CDMG	1RCR|29FEWX|39ZMB|4RCVC|5789VULN|6AART|9BPWR|aCDMG
28	12643 23123	   	193.88	ACR|3DMG|1AART|1VULN|2ASPD|2DUR	1RCR|29DUR|38ASPD|49LWND|569DMG|7AART|9BPWR|aVULN
29	13224 34133	 * 	193.60	ACR|4VULN|1AART|3ASPD|1ZMB	1RCR|27FEWX|3ZMB|479aVULN|578ASPD|6AART|7BPWR
30	12234 34112	 * 	193.55	ACR|2VULN|1AART|3ASPD|3DUR|1FLTHEA|1ZMB	1RCR|279DUR|3ZMB|47VULN|578ASPD|6AART|7BPWR|aFLTHEA
31	13224 34324	   	193.25	ACR|3VULN|1AART|1DMG|2ASPD|1ZMB	1RCR|27FEWX|3ZMB|478VULN|57ASPD|6AART|7BPWR|9LWND|aDMG
32	12261 41311	   	192.98	ACR|2DMG|1AART|1VULN|2ZMB|1CDMG|2DUR	1RCR|25DUR|38ZMB|4CDMG|6VULN|7AART|9aDMG
33	12234 11313	   	192.91	ACR|2VULN|2DMG|1AART|1ZMB|1DUR|1ASPD	1RCR|2DUR|3ZMB|46VULN|5ASPD|7LHND|89DMG|aAART
34	12234 13324	   	192.78	ACR|3VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	1RCR|2DUR|3ZMB|468VULN|5ASPD|7AART|9LWND|aDMG
35	13224 13344	   	192.78	ACR|3VULN|1AART|1DMG|1ZMB|1ASPD|1DUR	1RCR|2FEWX|3ZMB|468VULN|5ASPD|7AART|9DUR|aDMG
36	16125 22362	   	192.23	ACR|3VULN|2DMG|1AART|1DUR	1RCR|2VENICY|35aVULN|4ERES|68DMG|7AART|9DUR
37	16125 22322	   	192.23	ACR|3DMG|2VULN|1AART|1ASPD	1RCR|29VENICY|35VULN|49ERES|689DMG|7AART|9BPWR|aASPD
38	16125 22325	   	192.23	ACR|3DMG|2VULN|1AART|1DUR	1RCR|29VENICY|35VULN|49ERES|689DMG|7AART|9BPWR|aDUR
39	16511 32121	 * 	192.10	ACR|2VULN|2DMG|1AART|2CDMG	1RCR|2VENICY|3AART|46DMG|57VULN|8LIT|9aCDMG
40	12236 43512	 * 	191.77	ACR|2VULN|3ZMB|1AART|1DMG|2DUR	1RCR|25DUR|368ZMB|46VULN|6BPWR|7LIT|9AART|aDMG
41	12232 31261	   	191.63	ACR|3VULN|1AART|1DMG|2DUR|1ZMB	1RCR|28DUR|3ZMB|48aVULN|578ERES|6AART|8BPWR|9DMG
42	12234 16335	   	191.58	ACR|3VULN|1AART|1DMG|1ZMB|1ASPD|1DUR	1RCR|2DUR|3ZMB|46aVULN|5ASPD|7BEXP|8DMG|9AART
43	23254 53232	 * 	191.47	DCR|3DMG|2VULN|1AART|1ZMB	158FEWX|2ZMB|38aDMG|48VULN|6RCR|7AART|8BPWR|9BELT
44	16535 32322	   	191.30	ACR|2VULN|2DMG|1AART|2DUR|1ASPD	1RCR|2VENICY|3AART|49DUR|56DMG|7aVULN|8ASPD
45	11152 11212	   	191.29	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1RCR|2LIT|3RCVC|4DUR|567VULN|8AART|9DMG|aCDMG
46	12341 24114	   	191.12	ACR|4VULN|1AART|1CDMG|2DUR	1RCR|29DUR|3CDMG|479aVULN|5AART|69LIT|8RCVC|9BPWR
47	16515 23213	   	190.52	ACR|2AART|2VULN|2DMG|1DUR	1RCR|2VENICY|36AART|45DMG|79VULN|8LWND|aDUR
48	16515 23232	   	190.52	ACR|2AART|2VULN|2DMG|1ASPD	1RCR|2VENICY|36AART|45DMG|7aVULN|8LWND|9ASPD
49	12231 15146	 * 	190.39	ACR|4VULN|3CDMG|3DUR|1ZMB	1RCR|29aDUR|3ZMB|479aVULN|5LWND|6LIT|89aCDMG|9aBPWR
50	13211 32312	   	190.30	ACR|4VULN|1AART|1CDMG|1ZMB	1RCR|2FEWX|3ZMB|4RCVC|5789VULN|6AART|aCDMG
51	15336 31261	   	190.19	ACR|3VULN|1AART|1DMG|2ZMB|1DUR	1RCR|248ERES|3DUR|58ZMB|6AART|78aVULN|8BPWR|9DMG
52	16511 32116	   	190.07	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1RCR|2VENICY|3AART|46DMG|57VULN|8LIT|9ZMB|aDUR
53	16511 34213	   	190.07	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1RCR|2VENICY|3AART|46DMG|59VULN|7CGEN|8ZMB|aDUR
54	16511 32363	   	189.97	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1RCR|2VENICY|3AART|46DMG|57VULN|8TLV|9DUR|aZMB
55	12331 41361	   	189.93	ACR|2AART|1VULN|1DMG|1CDMG|2DUR|1ZMB|1ASPD	1RCR|25DUR|3CDMG|4ASPD|6VULN|79AART|8ZMB|aDMG
56	12234 34225	   	189.83	ACR|2VULN|1AART|1DMG|2ASPD|2DUR|1ZMB	1RCR|27DUR|3ZMB|47VULN|57ASPD|6AART|7BPWR|8CGEN|9RPLT|aDMG
57	12234 34121	   	189.73	ACR|2VULN|1AART|3ASPD|1CDMG|2DUR|1ZMB	1RCR|27DUR|3ZMB|47VULN|578ASPD|6AART|7BPWR|9CDMG|aCGEN
58	12234 34122	   	189.73	ACR|2VULN|1AART|3ASPD|1CDMG|2DUR|1ZMB	1RCR|27DUR|3ZMB|47VULN|578ASPD|6AART|7BPWR|9CDMG|aRMIN
59	12234 34124	   	189.73	ACR|2VULN|1AART|3ASPD|1CDMG|2DUR|1ZMB	1RCR|27DUR|3ZMB|47VULN|578ASPD|6AART|7BPWR|9CDMG|aBEXP
60	12234 34125	   	189.73	ACR|2VULN|1AART|3ASPD|1CDMG|2DUR|1ZMB	1RCR|27DUR|3ZMB|47VULN|578ASPD|6AART|7BPWR|9CDMG|aMLV
61	12234 34126	   	189.73	ACR|2VULN|1AART|3ASPD|1CDMG|2DUR|1ZMB	1RCR|27DUR|3ZMB|47VULN|578ASPD|6AART|7BPWR|9CDMG|aDMSP
62	12236 45122	   	189.68	ACR|3VULN|1AART|2ZMB|1CDMG|2DUR	1RCR|25DUR|36ZMB|468VULN|6BPWR|7RCVC|9AART|aCDMG
63	12232 31264	   	189.63	ACR|2VULN|1AART|1DMG|1CDMG|2DUR|1ZMB	1RCR|28DUR|3ZMB|48VULN|578ERES|6AART|8BPWR|9DMG|aCDMG
64	12234 34123	   	189.63	ACR|2VULN|1AART|3ASPD|1CDMG|2DUR|1ZMB	1RCR|27DUR|3ZMB|47VULN|578ASPD|6AART|7BPWR|9CDMG|aDLOT
65	16125 22243	   	189.59	ACR|3VULN|1AART|1DMG|2ZMB|1DUR	1RCR|29VENICY|359VULN|4ERES|6DMG|7AART|89ZMB|9BPWR|aDUR
66	12361 26513	   	189.59	ACR|3DMG|1AART|1VULN|1CDMG|1DUR	1RCR|2DUR|3CDMG|4DUST|5AART|6LIT|78aDMG|9VULN
67	12341 35124	 * 	189.56	ACR|2VULN|1AART|1DMG|2CDMG|3DUR	1RCR|28aDUR|38CDMG|48VULN|5AART|6BELT|7LEGI|8BPWR|9DMG
68	11311 21242	   	189.35	ACR|2DMG|1AART|1VULN|1CDMG|1FLTHEA|1ZMB	1RCR|2LIT|3CDMG|4ZMB|5aDMG|6LWND|7FLTHEA|8VULN|9AART
69	12236 46133	 * 	189.28	ACR|3DMG|2VULN|2ZMB|2DUR	1RCR|25DUR|36ZMB|46VULN|6BPWR|78aDMG|9RCVC
70	12234 34235	 * 	189.24	ACR|3VULN|1AART|3DUR|2ASPD|1ZMB	1RCR|27aDUR|3ZMB|479VULN|57ASPD|6AART|7BPWR|8CGEN
71	12234 34315	   	189.24	ACR|3VULN|1AART|3DUR|2ASPD|1ZMB	1RCR|27aDUR|3ZMB|478VULN|57ASPD|6AART|7BPWR|9CGEN
72	13224 33344	   	189.17	ACR|2VULN|2AART|1DMG|1ZMB|1ASPD|1DUR	1RCR|2FEWX|3ZMB|48VULN|5ASPD|67AART|9DUR|aDMG
73	12234 33324	   	189.17	ACR|2VULN|2AART|1DMG|1ZMB|1DUR|1ASPD	1RCR|2DUR|3ZMB|48VULN|5ASPD|67AART|9LWND|aDMG
74	32221 52354	 * 	189.17	DCR|3VULN|3CDMG|1AART|2ZMB|1DUR|1SELL	128VULN|28BPWR|3SELL|48ZMB|578CDMG|6RCR|9AART|aDUR
75	16511 32212	   	189.09	ACR|3VULN|2DMG|1AART	1RCR|2VENICY|3AART|46DMG|579VULN|8LWND|aRCVC
76	16144 32313	   	188.84	ACR|4VULN|1AART|1DMG|1DUR	1RCR|2VENICY|3569VULN|4LHND|7AART|8DMG|aDUR
77	16144 32332	   	188.84	ACR|4VULN|1AART|1DMG|1ASPD	1RCR|2VENICY|356aVULN|4LHND|7AART|8DMG|9ASPD
78	12162 16313	   	188.62	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	1RCR|2DUR|3CGEN|4CDMG|5RPLT|67VULN|89DMG|aAART
79	13224 34353	   	188.60	ACR|4VULN|1AART|2ASPD|1ZMB	1RCR|27FEWX|3ZMB|4789VULN|57ASPD|6AART|7BPWR|aRCVC
80	16511 42232	 * 	188.59	ACR|3VULN|2AART|1DMG|1ASPD	1RCR|2VENICY|36AART|4DMG|57aVULN|8LWND|9ASPD
81	16511 34332	 * 	188.59	ACR|3DMG|2AART|1VULN|1ASPD	1RCR|2VENICY|39AART|468DMG|5VULN|7CGEN|aASPD
82	16511 42213	   	188.59	ACR|3VULN|2AART|1DMG|1DUR	1RCR|2VENICY|36AART|4DMG|579VULN|8LWND|aDUR
83	13224 32126	   	188.57	ACR|2VULN|2DMG|1AART|1ZMB|1ASPD	1RCR|2aFEWX|3ZMB|4aVULN|5ASPD|6AART|7LHND|8aDMG|9RPLT|aBPWR
84	12323 16213	   	188.52	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	1RCR|2DUR|3CDMG|4RPLT|59DMG|67VULN|8TLV|aAART
85	12232 14641	   	188.49	ACR|4VULN|1DMG|1CDMG|1ZMB|1DUR	1RCR|2DUR|3ZMB|4689VULN|5ERES|7CDMG|aDMG
86	13211 32146	   	188.43	ACR|3VULN|1AART|1DMG|2ZMB	1RCR|29FEWX|39ZMB|48RCVC|579VULN|6AART|9BPWR|aDMG
87	12643 23133	   	188.39	ACR|3DMG|1AART|1VULN|2ASPD|1DUR	1RCR|2DUR|38ASPD|4LWND|569DMG|7AART|aVULN
88	11544 11213	   	188.34	ACR|4VULN|1AART|1DMG|1DUR	1RCR|2LIT|3DUR|4567VULN|8AART|9DMG|aCGEN
89	13341 24216	   	188.19	ACR|4VULN|1AART|1CDMG|1ZMB	1RCR|289FEWX|3CDMG|4789VULN|5AART|689LIT|89BPWR|aZMB
90	12333 56141	 * 	188.04	ACR|2VULN|1DMG|2CDMG|2ZMB|2ASPD|2DUR	1RCR|27DUR|36CDMG|47ASPD|57ZMB|7BPWR|89VULN|aDMG
91	16511 25213	   	188.04	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	1RCR|2VENICY|3AART|4DMG|579VULN|6ERES|8ZMB|aDUR
92	12341 24116	   	188.03	ACR|3VULN|1AART|1CDMG|2DUR|1ZMB	1RCR|29DUR|3CDMG|479VULN|5AART|69LIT|8RCVC|9BPWR|aZMB
93	11422 56212	   	187.89	ACR|3VULN|1AART|1DMG|1CDMG|1ASPD	1RCR|2LIT|3ASPD|456VULN|7RMIN|8AART|9DMG|aCDMG
94	11652 11212	   	187.89	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1RCR|23LIT|4DUR|567VULN|8AART|9DMG|aCDMG
95	16561 32323	   	187.89	ACR|3DMG|2VULN|1AART	1RCR|29VENICY|3AART|47aMLV|59VULN|689DMG|9BPWR
96	16511 32135	   	187.79	ACR|3VULN|2DMG|1AART	1RCR|2VENICY|3AART|46DMG|57aVULN|8LIT|9LHND
97	16511 32211	   	187.79	ACR|3VULN|2DMG|1AART	1RCR|2VENICY|3AART|46DMG|579VULN|8LWND|aDMSP
98	16511 32621	   	187.79	ACR|3VULN|2DMG|1AART	1RCR|29VENICY|3AART|46DMG|579VULN|89CGEN|9BPWR|aNUKE
99	16511 32622	   	187.79	ACR|3VULN|2DMG|1AART	1RCR|29VENICY|3AART|46DMG|579VULN|89CGEN|9BPWR|aDUST
100	16511 32623	   	187.79	ACR|3VULN|2DMG|1AART	1RCR|29VENICY|3AART|46DMG|579VULN|89CGEN|9BPWR|aERES
101	36632 11341	   	187.77	DCR|4VULN|2DMG|1AART	1479VULN|2AART|3DMSP|5LWND|69DMG|89DUST|9BPWR|aRCR
102	36632 12341	   	187.77	DCR|4VULN|2DMG|1AART	1489VULN|2AART|3DMSP|5LWND|69DMG|79DUST|9BPWR|aRCR
103	32413 53313	   	187.69	DCR|2VULN|2DMG|1AART|1ZMB|1DUR|1ASPD	12VULN|2BPWR|3ZMB|4ASPD|5LWND|6RCR|7DUR|89DMG|aAART
104	34413 53313	   	187.69	DCR|2VULN|2DMG|1AART|1ZMB|1DUR|1ASPD	12VULN|3ZMB|4ASPD|5LWND|6RCR|7DUR|89DMG|aAART
105	12266 51311	   	187.69	ACR|2DMG|1AART|1VULN|2ZMB|1CDMG|1DUR	1RCR|2DUR|38ZMB|4CDMG|5VULN|6DMSP|7AART|9aDMG
106	16511 32214	   	187.69	ACR|3VULN|2DMG|1AART	1RCR|2VENICY|3AART|46DMG|579VULN|8LWND|aERES
107	16511 32222	   	187.69	ACR|3VULN|2DMG|1AART	1RCR|2VENICY|3AART|46DMG|57aVULN|8LWND|9ERES
108	16511 32325	   	187.69	ACR|3VULN|2DMG|1AART	1RCR|29VENICY|3AART|46DMG|579VULN|89TLV|9BPWR|aBEXP
109	16511 32352	   	187.69	ACR|3VULN|2DMG|1AART	1RCR|2VENICY|3AART|46DMG|57aVULN|8TLV|9FEWX
110	16511 25312	   	187.59	ACR|3VULN|2DMG|1AART	1RCR|2VENICY|3AART|48DMG|57aVULN|6ERES|9MBVNT
111	16511 25321	   	187.59	ACR|3VULN|2DMG|1AART	1RCR|29VENICY|3AART|48DMG|579VULN|69ERES|9BPWR|aNUKE
112	16511 25322	   	187.59	ACR|3VULN|2DMG|1AART	1RCR|29VENICY|3AART|48DMG|579VULN|69ERES|9BPWR|aDUST
113	16511 25323	   	187.59	ACR|3VULN|2DMG|1AART	1RCR|29VENICY|3AART|48DMG|579VULN|69aERES|9BPWR
114	16511 32312	   	187.59	ACR|3VULN|2DMG|1AART	1RCR|2VENICY|3AART|46DMG|57aVULN|8TLV|9MBVNT
115	16511 32321	   	187.59	ACR|3VULN|2DMG|1AART	1RCR|29VENICY|3AART|46DMG|579VULN|89TLV|9BPWR|aNUKE
116	16511 32322	   	187.59	ACR|3VULN|2DMG|1AART	1RCR|29VENICY|3AART|46DMG|579VULN|89TLV|9BPWR|aDUST
117	16511 32323	   	187.59	ACR|3VULN|2DMG|1AART	1RCR|29VENICY|3AART|46DMG|579VULN|89TLV|9BPWR|aERES
118	16511 32334	   	187.59	ACR|3VULN|2DMG|1AART	1RCR|2VENICY|3AART|46DMG|57aVULN|89TLV
119	16511 32341	   	187.59	ACR|3VULN|2DMG|1AART	1RCR|2VENICY|3AART|46DMG|579VULN|8TLV|aNUKE
120	16511 32342	   	187.59	ACR|3VULN|2DMG|1AART	1RCR|2VENICY|3AART|46DMG|579VULN|8TLV|aDUST
121	16511 32343	   	187.59	ACR|3VULN|2DMG|1AART	1RCR|2VENICY|3AART|46DMG|579VULN|8TLV|aERES
122	11422 44264	 * 	187.59	ACR|3VULN|2DMG|3ASPD|1DUR	1RCR|27aLIT|37aASPD|457VULN|6MBVNT|7aBPWR|8DUR|9aDMG
123	16125 22363	   	187.57	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1RCR|2VENICY|35VULN|4ERES|68DMG|7AART|9DUR|aZMB
124	12236 44122	   	187.47	ACR|3VULN|1AART|2ZMB|1CDMG|2DUR	1RCR|25DUR|36ZMB|468VULN|6BPWR|7DMSP|9AART|aCDMG
125	12643 23126	   	187.47	ACR|3DMG|1AART|1CDMG|2ASPD|2DUR	1RCR|29DUR|38ASPD|49LWND|569DMG|7AART|9BPWR|aCDMG
126	12234 34142	 * 	187.43	ACR|2VULN|2AART|3ASPD|2DUR|1ZMB	1RCR|27DUR|3ZMB|47VULN|578ASPD|6aAART|7BPWR|9ERES
127	12234 34162	   	187.43	ACR|2VULN|2AART|3ASPD|2DUR|1ZMB	1RCR|27DUR|3ZMB|47VULN|578ASPD|6aAART|7BPWR|9NUKE
128	13224 34234	   	187.29	ACR|4VULN|1AART|2ASPD|1ZMB	1RCR|27FEWX|3ZMB|479aVULN|57ASPD|6AART|7BPWR|8CGEN
129	13224 34314	   	187.29	ACR|4VULN|1AART|2ASPD|1ZMB	1RCR|27FEWX|3ZMB|478aVULN|57ASPD|6AART|7BPWR|9CGEN
130	13224 34351	   	187.29	ACR|4VULN|1AART|2ASPD|1ZMB	1RCR|27FEWX|3ZMB|4789VULN|57ASPD|6AART|7BPWR|aLIT
131	13224 34433	   	187.29	ACR|4VULN|1AART|2ASPD|1ZMB	1RCR|27FEWX|3ZMB|479aVULN|57ASPD|6AART|7BPWR|8RMIN
132	13224 34352	   	187.19	ACR|4VULN|1AART|2ASPD|1ZMB	1RCR|27FEWX|3ZMB|4789VULN|57ASPD|6AART|7BPWR|aERES
133	11422 31462	   	187.14	ACR|4VULN|1AART|1DMG|1ASPD	1RCR|28LIT|3ASPD|4578VULN|68TLV|8BPWR|9DMG|aAART
134	12234 34341	   	187.03	ACR|3VULN|1AART|2ASPD|2DUR|1ZMB	1RCR|27DUR|3ZMB|478VULN|57ASPD|6AART|7BPWR|9RCVC|aLIT
135	12234 34343	   	187.03	ACR|3VULN|1AART|2ASPD|2DUR|1ZMB	1RCR|27DUR|3ZMB|478VULN|57ASPD|6AART|7BPWR|9RCVC|aBELT
136	16512 32741	   	186.99	ACR|2VULN|2DMG|1AART|2ZMB	1RCR|29VENICY|3AART|46DMG|5MBVNT|79VULN|89ZMB|9BPWR|aCGEN
137	16512 32743	   	186.99	ACR|2VULN|2DMG|1AART|2ZMB	1RCR|29VENICY|3AART|46DMG|5MBVNT|79VULN|89ZMB|9BPWR|aRMIN
138	12234 34342	   	186.93	ACR|3VULN|1AART|2ASPD|2DUR|1ZMB	1RCR|27DUR|3ZMB|478VULN|57ASPD|6AART|7BPWR|9RCVC|aERES
139	16512 32744	   	186.89	ACR|2VULN|2DMG|1AART|2ZMB	1RCR|29VENICY|3AART|46DMG|5MBVNT|79VULN|89ZMB|9BPWR|aDUST
140	12261 41316	 * 	186.84	ACR|2AART|1VULN|1DMG|2ZMB|1CDMG|2DUR	1RCR|25DUR|38ZMB|4CDMG|6VULN|7aAART|9DMG
141	12234 13234	   	186.82	ACR|4VULN|1AART|1ZMB|1DUR|1ASPD	1RCR|2DUR|3ZMB|469aVULN|5ASPD|7AART|8CGEN
142	12234 13314	   	186.82	ACR|4VULN|1AART|1ZMB|1DUR|1ASPD	1RCR|2DUR|3ZMB|468aVULN|5ASPD|7AART|9CGEN
143	12234 13434	   	186.82	ACR|4VULN|1AART|1ZMB|1ASPD|1DUR	1RCR|2DUR|3ZMB|469aVULN|5ASPD|7AART|8RMIN
144	13224 13356	   	186.82	ACR|4VULN|1AART|1ZMB|1ASPD|1DUR	1RCR|2FEWX|3ZMB|4689VULN|5ASPD|7AART|aDUR
145	12234 34233	   	186.73	ACR|3VULN|1AART|2ASPD|2DUR|1ZMB	1RCR|27DUR|3ZMB|479VULN|57ASPD|6AART|7BPWR|8CGEN|aRCVC
146	12234 34313	   	186.73	ACR|3VULN|1AART|2ASPD|2DUR|1ZMB	1RCR|27DUR|3ZMB|478VULN|57ASPD|6AART|7BPWR|9CGEN|aRCVC
147	12234 34323	   	186.73	ACR|3VULN|1AART|2ASPD|2DUR|1ZMB	1RCR|27DUR|3ZMB|478VULN|57ASPD|6AART|7BPWR|9LWND|aRCVC
148	12234 34433	   	186.73	ACR|3VULN|1AART|2ASPD|2DUR|1ZMB	1RCR|27DUR|3ZMB|479VULN|57ASPD|6AART|7BPWR|8RMIN|aRCVC
149	12331 43641	   	186.72	ACR|3VULN|1DMG|1CDMG|2DUR|1ZMB|1ASPD	1RCR|25DUR|3CDMG|4ASPD|679VULN|8ZMB|aDMG
150	12234 13354	   	186.72	ACR|4VULN|1AART|1ZMB|1DUR|1ASPD	1RCR|2DUR|3ZMB|468aVULN|5ASPD|7AART|9ERES
151	12234 34621	 * 	186.64	ACR|2VULN|2AART|3DUR|2ASPD|1ZMB	1RCR|278DUR|3ZMB|47VULN|57ASPD|6aAART|7BPWR|9RCVC
152	12234 34353	   	186.63	ACR|3VULN|1AART|2ASPD|2DUR|1ZMB	1RCR|27DUR|3ZMB|478VULN|57ASPD|6AART|7BPWR|9ERES|aRCVC
153	12341 24314	   	186.57	ACR|3VULN|2AART|1CDMG|2DUR	1RCR|29DUR|3CDMG|479VULN|5aAART|689LIT|9BPWR
154	13224 32135	   	186.44	ACR|3VULN|1AART|1DMG|1ZMB|1ASPD	1RCR|2FEWX|3ZMB|49aVULN|5ASPD|6AART|7LHND|8DMG
155	12234 13236	   	186.37	ACR|3VULN|1AART|1CDMG|1ZMB|1DUR|1ASPD	1RCR|2DUR|3ZMB|469VULN|5ASPD|7AART|8CGEN|aCDMG
156	12234 13316	   	186.37	ACR|3VULN|1AART|1CDMG|1ZMB|1DUR|1ASPD	1RCR|2DUR|3ZMB|468VULN|5ASPD|7AART|9CGEN|aCDMG
157	12234 13436	   	186.37	ACR|3VULN|1AART|1CDMG|1ZMB|1ASPD|1DUR	1RCR|2DUR|3ZMB|469VULN|5ASPD|7AART|8RMIN|aCDMG
158	13224 13634	   	186.37	ACR|3VULN|1AART|1FLTHEA|1ZMB|1DUR|1ASPD	1RCR|2FEWX|3ZMB|46aVULN|5ASPD|7AART|8DUR|9FLTHEA
159	11143 41263	   	186.35	ACR|3VULN|1AART|1DMG|1CDMG	1RCR|28LIT|3RCVC|4CDMG|5AART|68BEXP|789VULN|8BPWR|aDMG
160	13224 35135	   	186.34	ACR|3VULN|1AART|1DMG|1ZMB|1ASPD	1RCR|2FEWX|3ZMB|49aVULN|5ASPD|6AART|7DUST|8DMG
161	12234 13356	   	186.27	ACR|3VULN|1AART|1CDMG|1ZMB|1DUR|1ASPD	1RCR|2DUR|3ZMB|468VULN|5ASPD|7AART|9ERES|aCDMG
162	12236 16151	   	186.22	ACR|3DMG|2VULN|2DUR|1ZMB	1RCR|25DUR|3ZMB|4aVULN|6RCVC|789DMG
163	51133 52353	   	186.13	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2CGEN|3DMG|49aVULN|5ZMB|6CDMG|7FEWX|8RCR
164	12335 43334	   	186.01	ACR|2AART|2VULN|1CDMG|1FLTHEA|1DUR|1ASPD	1RCR|2DUR|3CDMG|4ASPD|57AART|6RPLT|8aVULN|9FLTHEA
165	36134 11241	   	186.00	DCR|3VULN|2DMG|1AART|2DUR	179VULN|2AART|3RMIN|4DMSP|59DMG|6NUKE|89DUR|9BPWR|aRCR
