0	Index      	 *	Score 	Summary	Detail	
1	31832 54274	 * 	189.87	DCR|3DMG|1AART|1VULN|2ZMB|2DUR	149DMG|2MBVNT|3RPLT|59DUR|6RCR|7AART|89ZMB|9BPWR|aVULN
93	32123 67314	   	173.62	DCR|2VULN|2DMG|1AART|1ZMB	18DMG|2ZMB|39VULN|4BEXP|5MBVNT|6RCR|7TLV|aAART
94	32143 65314	   	173.62	DCR|2VULN|2DMG|1AART|1ZMB	18DMG|2ZMB|39VULN|4DUST|5MBVNT|6RCR|7CGEN|aAART
95	31831 54284	   	173.58	DCR|3DMG|1AART|1VULN|1ZMB	149DMG|2MBVNT|3RPLT|5FEWX|6RCR|7AART|8ZMB|aVULN
96	31834 54284	   	173.58	DCR|3DMG|1AART|1VULN|1ZMB	149DMG|2MBVNT|3RPLT|5BEXP|6RCR|7AART|8ZMB|aVULN
97	36121 41221	   	173.56	DCR|2AART|2DMG|1VULN|1CDMG|1ASPD	15DMG|2VULN|3LWND|46AART|7CDMG|8ASPD|9RCR|aERES
98	36121 41222	   	173.56	DCR|2AART|2DMG|1VULN|1CDMG|1ASPD	15DMG|2VULN|3LWND|46AART|7CDMG|8ASPD|9RCR|aMBVNT
99	35222 62331	 * 	173.55	DCR|3VULN|2DMG|1CDMG|1DUR	18DMG|2DLOT|38LWND|4DUR|5LHND|689VULN|7RCR|8BPWR|aCDMG
100	62111 53423	 * 	173.45	ACR|2VULN|1AART|1DMG|2ZMB|1CDMG	12ZMB|3TLV|4RCR|5CDMG|6DMG|7AART|8LHND|9aVULN
101	62111 53323	   	173.35	ACR|2VULN|1AART|1DMG|2ZMB|1CDMG	12ZMB|3TLV|4RCR|5CDMG|6DMG|7AART|8DUST|9aVULN
102	35141 23242	   	173.32	DCR|3DMG|1AART|1VULN|1ZMB|1DUR	135DMG|2DLOT|4ZMB|6VULN|7AART|8DUR|9RCR|aLWND
103	35141 23243	   	173.32	DCR|3DMG|1AART|1VULN|1ZMB|1DUR	135DMG|2DLOT|4ZMB|6VULN|7AART|8DUR|9RCR|aRMIN
104	35141 23241	   	173.22	DCR|3DMG|1AART|1VULN|1ZMB|1DUR	135DMG|2DLOT|4ZMB|6VULN|7AART|8DUR|9RCR|aERES
105	14153 42121	   	173.02	DCR|3VULN|1AART|1DMG|1DUR	1RCVC|239VULN|4AART|5DUR|6FEWX|7RCR|8DMG|aBEXP
106	14153 42122	   	173.02	DCR|3VULN|1AART|1DMG|1DUR	1RCVC|239VULN|4AART|5DUR|6FEWX|7RCR|8DMG|aRPLT
107	14151 16334	   	172.89	DCR|4VULN|1AART|1DMG	1RCVC|2378VULN|4AART|5DMG|6LHND|9MBVNT|aRCR
108	14151 26334	   	172.89	DCR|4VULN|1AART|1DMG	1RCVC|2378VULN|4AART|5DMG|6LWND|9MBVNT|aRCR
109	14151 11224	 * 	172.83	DCR|2VULN|1AART|1DMG|2ASPD|1CDMG	1RCVC|23VULN|4AART|5DMG|6LHND|7CDMG|8aASPD|9RCR
110	14151 21224	   	172.83	DCR|2VULN|1AART|1DMG|2ASPD|1CDMG	1RCVC|23VULN|4AART|5DMG|6LWND|7CDMG|8aASPD|9RCR
111	31227 32537	   	172.82	DCR|2VULN|2DMG|2FLTHEA|1ZMB|1DUR	1aDMG|2MBVNT|3DMSP|4DUR|5aVULN|6CGEN|7ZMB|8RCR|9aFLTHEA|aBPWR
112	31228 18824	   	172.57	ACR|2VULN|2DMG|1AART|2DUR	1aDMG|2MBVNT|3DMSP|4aDUR|5RCR|6LWND|7AART|8FEWX|9aVULN|aBPWR
113	32424 31353	   	172.42	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	16DMG|2ZMB|3NUKE|4DUR|5AART|7CDMG|8DUST|9RCR|aVULN
114	36135 52334	 * 	172.37	DCR|2VULN|2DMG|1AART|2ZMB	1aDMG|2aVULN|3LWND|4RMIN|5FEWX|6aZMB|7AART|8MBVNT|9RCR|aBPWR
115	36121 16334	   	172.37	DCR|3VULN|2DMG|1AART	15DMG|278VULN|3LWND|4AART|6DMSP|9MBVNT|aRCR
116	36121 56334	   	172.37	DCR|3VULN|2DMG|1AART	15DMG|278VULN|36LWND|4AART|9MBVNT|aRCR
117	31261 47482	   	172.36	DCR|3DMG|2VULN|2ZMB|1ASPD	19aDMG|2MBVNT|3DMSP|49VULN|5ASPD|6CGEN|79ZMB|8RCR|9BPWR
118	31182 12634	   	172.27	DCR|2VULN|2DMG|1AART|2ZMB	1aDMG|2MBVNT|3LWND|4aZMB|5LEGI|6RMIN|7AART|8aVULN|9RCR|aBPWR
119	31261 37482	   	172.26	DCR|3DMG|2VULN|2ZMB|1ASPD	19aDMG|2MBVNT|3DMSP|49VULN|5ASPD|6ERES|79ZMB|8RCR|9BPWR
120	36252 33225	   	172.23	DCR|3VULN|1AART|1DMG|1CDMG	1DMG|247VULN|3DMSP|5CDMG|6RCVC|8RCR|9CGEN|aAART
121	36124 12111	   	172.21	DCR|2DMG|1AART|1VULN|1CDMG|2DUR	18DMG|2VULN|3LWND|4AART|59DUR|6DUST|7RCR|aCDMG
122	36124 12311	   	172.21	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	1DMG|28VULN|3LWND|4AART|59DUR|6DUST|7RCR|aCDMG
123	31833 48121	   	172.16	DCR|3DMG|1VULN|2ASPD|2DUR|1ZMB	148DMG|2MBVNT|3RPLT|58ASPD|68DUR|7RCR|8BPWR|9VULN|aZMB
124	31115 28534	   	171.97	ACR|2VULN|2DMG|1AART|2DUR	1aDMG|2MBVNT|3aLWND|4LHND|5RCR|69VULN|7aDUR|8AART|aBPWR
125	31228 12724	   	171.97	ACR|2VULN|2DMG|1AART|2DUR	1aDMG|2MBVNT|3DMSP|4aDUR|5RCR|6LWND|7LHND|8AART|9aVULN|aBPWR
126	35151 32341	   	171.67	DCR|3DMG|2VULN|3CDMG	138DMG|2DLOT|48VULN|567CDMG|8BPWR|9MLV|aRCR
127	32431 54411	   	171.60	DCR|2VULN|2DMG|2ASPD|2DUR|1ZMB	17DMG|2ZMB|3NUKE|47ASPD|5MBVNT|67DUR|7BPWR|8RCR|9aVULN
128	35151 32351	   	171.57	DCR|3DMG|2VULN|3CDMG	138DMG|2DLOT|48VULN|567CDMG|8BPWR|9TLV|aRCR
129	31832 54183	   	171.45	DCR|2VULN|2DMG|1AART|1DUR	14DMG|2MBVNT|3RPLT|5DUR|6RCR|7AART|8CGEN|9aVULN
130	32123 72414	   	171.42	DCR|2VULN|2DMG|1AART|1ZMB	16DMG|2ZMB|39VULN|46BEXP|5MBVNT|6BPWR|7RCR|8CGEN|aAART
131	36311 21365	   	171.42	DCR|2VULN|2DMG|1AART|1ZMB	18DMG|28VULN|3BEXP|4LHND|58TLV|6RPLT|7RCR|8BPWR|9ZMB|aAART
132	32123 72614	   	171.32	DCR|2VULN|2DMG|1AART|1ZMB	16DMG|2ZMB|39VULN|46BEXP|5MBVNT|6BPWR|7RCR|8TLV|aAART
133	36334 14312	   	171.20	DCR|2VULN|2DMG|1FLTHEA|1ZMB|1DUR	18DMG|29VULN|3BEXP|4DUR|5ZMB|6RCR|7CGEN|aFLTHEA
134	32143 72614	   	171.12	DCR|2VULN|2DMG|1AART|1ZMB	16DMG|2ZMB|39VULN|46DUST|5MBVNT|6BPWR|7RCR|8TLV|aAART
135	36334 16312	   	171.10	DCR|2VULN|2DMG|1FLTHEA|1ZMB|1DUR	18DMG|29VULN|3BEXP|4DUR|5ZMB|6RCR|7TLV|aFLTHEA
136	42231 21322	   	171.08	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	15FEWX|2RPLT|34DMG|6RCR|7ZMB|8AART|9VULN|aCDMG
137	36135 42334	   	171.06	DCR|2VULN|2DMG|1AART|2ASPD	1aDMG|2aVULN|3LWND|4RMIN|5FEWX|6aASPD|7AART|8MBVNT|9RCR|aBPWR
138	31113 74754	   	171.05	DCR|2VULN|2DMG|1AART|1ASPD	1aDMG|2MBVNT|3aLWND|4LHND|5ASPD|6RCR|7RMIN|8AART|9aVULN|aBPWR
139	14153 42111	   	171.02	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1RCVC|23VULN|4AART|5DUR|6FEWX|7RCR|8DMG|9BEXP|aCDMG
140	36124 42132	   	170.95	DCR|2VULN|2DMG|1AART|1DUR	18DMG|29VULN|3LWND|4AART|5DUR|6LHND|7RCR|aBEXP
141	35141 23533	   	170.92	DCR|3DMG|1AART|1VULN|1ZMB|1DUR	135DMG|2DLOT|4ZMB|6VULN|7AART|8BEXP|9DUR|aRCR
142	36111 14312	   	170.92	DCR|3VULN|3DMG	18aDMG|29aVULN|3LWND|4LEGI|5TLV|6RCR|7aCGEN|aBPWR
143	36111 16312	   	170.92	DCR|3VULN|3DMG	18aDMG|29aVULN|3LWND|4LEGI|5TLV|6RCR|7aMLV|aBPWR
144	14153 42223	   	170.90	DCR|3VULN|1AART|1ZMB|1ASPD|1DUR	1RCVC|239VULN|4AART|5DUR|6FEWX|7RCR|8ZMB|aASPD
145	36124 12122	   	170.85	DCR|2VULN|2DMG|1AART|1DUR	18DMG|29VULN|3LWND|4AART|5DUR|6DUST|7RCR|aBEXP
146	36124 12125	   	170.85	DCR|2VULN|2DMG|1AART|1DUR	18DMG|29VULN|3LWND|4AART|5DUR|6DUST|7RCR|aFEWX
147	36124 12126	   	170.85	DCR|2VULN|2DMG|1AART|1DUR	18DMG|29VULN|3LWND|4AART|5DUR|6DUST|7RCR|aCGEN
148	36124 12522	   	170.85	DCR|2VULN|2DMG|1AART|1DUR	19DMG|2aVULN|3LWND|4AART|5DUR|6DUST|7RCR|8LIT
149	36124 42133	   	170.85	DCR|2VULN|2DMG|1AART|1DUR	18DMG|29VULN|3LWND|4AART|5DUR|6LHND|7RCR|aERES
150	35141 23433	   	170.82	DCR|3DMG|1AART|1VULN|1ZMB|1DUR	135DMG|2DLOT|4ZMB|6VULN|7AART|8LEGI|9DUR|aRCR
151	32123 72316	   	170.81	DCR|3VULN|2DMG|1ZMB|1ASPD	16DMG|2ZMB|39aVULN|46BEXP|5MBVNT|6BPWR|7RCR|8ASPD
152	32123 22437	   	170.78	DCR|2VULN|2DMG|2FLTHEA|1ZMB	1aDMG|2ZMB|3aVULN|4BEXP|5MBVNT|6RCVC|7RCR|8CGEN|9aFLTHEA|aBPWR
153	36124 12123	   	170.75	DCR|2VULN|2DMG|1AART|1DUR	18DMG|29VULN|3LWND|4AART|5DUR|6DUST|7RCR|aERES
154	36124 12124	   	170.75	DCR|2VULN|2DMG|1AART|1DUR	18DMG|29VULN|3LWND|4AART|5DUR|6DUST|7RCR|aNUKE
155	35141 22121	   	170.71	DCR|3DMG|2VULN|1ZMB|1ASPD	135DMG|2DLOT|4ZMB|69VULN|7RCR|8FEWX|aASPD
156	35141 22521	   	170.71	DCR|3DMG|2VULN|1ZMB|1ASPD	135DMG|2DLOT|4ZMB|69VULN|7RCR|8LWND|aASPD
157	65141 22121	   	170.71	DCR|3DMG|2VULN|1ZMB|1ASPD	1ZMB|2DLOT|345DMG|69VULN|7RCR|8FEWX|aASPD
158	32123 22637	   	170.68	DCR|2VULN|2DMG|2FLTHEA|1ZMB	1aDMG|2ZMB|3aVULN|4BEXP|5MBVNT|6RCVC|7RCR|8TLV|9aFLTHEA|aBPWR
159	32143 22637	   	170.58	DCR|2VULN|2DMG|2FLTHEA|1ZMB	1aDMG|2ZMB|3aVULN|4DUST|5MBVNT|6RCVC|7RCR|8TLV|9aFLTHEA|aBPWR
160	32133 31565	   	170.58	DCR|2VULN|2DMG|2CDMG|1ZMB	1aDMG|2ZMB|3aVULN|4LIT|5FEWX|6RCR|7LEGI|8aCDMG|9MBVNT|aBPWR
161	32133 32535	   	170.48	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1DMG|2ZMB|3aVULN|4LIT|5FEWX|6RCR|7BEXP|8CDMG|9AART
162	32343 67114	   	170.38	DCR|2DMG|1AART|1VULN|2ASPD|1ZMB	1aDMG|2ZMB|3aLHND|4DUST|5MBVNT|6RCR|7VULN|8aASPD|9AART|aBPWR
