0	Index      	 *	Score 	Summary	Detail	
1	56363 11212	 * 	194.07	ACR|3VULN|1AART|2CDMG|1DMG|1ZMB	19ERES|2ZMB|3RCR|49CDMG|5DMG|6CGEN|7AART|89aVULN|9BPWR
30	46623 31213	   	182.02	DCR|2VULN|2DMG|1AART|2CDMG|1ASPD	1BEXP|29CDMG|3ERES|4ASPD|59DMG|6MLV|7AART|89VULN|9BPWR|aRCR
31	53311 41316	   	181.48	ACR|2VULN|1AART|1DMG|1FLTHEA|1CDMG|1DUR	12ERES|3RCR|4DMG|5CDMG|6aVULN|7AART|8DUR|9FLTHEA
32	53311 51216	   	181.48	ACR|2VULN|1AART|1DMG|1FLTHEA|1CDMG|1DUR	12ERES|3RCR|4DMG|5CDMG|6DUR|7AART|8aVULN|9FLTHEA
33	34213 24262	   	180.69	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1LHND|2LWND|378VULN|4AART|5RCR|6DMG|9DUR|aCDMG
34	12236 51262	 * 	180.47	DCR|3VULN|2AART|1DMG|1DUR	134VULN|25LHND|6RCR|7DUR|89AART|aDMG
35	33236 51262	   	180.47	DCR|3VULN|2AART|1DMG|1DUR	15LHND|234VULN|6RCR|7DUR|89AART|aDMG
36	15263 11231	 * 	180.38	DCR|3VULN|1AART|1DMG|1CDMG|1FLTHEA	138VULN|2FEWX|4CDMG|5DMG|6CGEN|7AART|9FLTHEA|aRCR
37	15263 21231	   	180.28	DCR|3VULN|1AART|1DMG|1CDMG|1FLTHEA	138VULN|2FEWX|4CDMG|5DMG|6TLV|7AART|9FLTHEA|aRCR
38	11612 33216	   	180.24	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	147VULN|26ERES|3RCR|5ZMB|8AART|9DMG|aDUR
39	13623 15422	 * 	180.05	ACR|3VULN|1DMG|2CDMG|2ZMB|1ASPD	19aVULN|2RMIN|3RCR|4BELT|59ZMB|6ASPD|7DMG|89CDMG|9BPWR
40	13612 22344	 * 	178.69	ACR|3VULN|2DMG|1AART	149VULN|2RMIN|3RCR|5CANSTR|67DMG|8TLV|aAART
41	34213 24261	 * 	178.49	ACR|3VULN|2AART|1DMG|1DUR	1LHND|2LWND|378VULN|4aAART|5RCR|6DMG|9DUR
42	53311 21252	   	178.48	ACR|2VULN|2DMG|1AART|1CDMG	12ERES|3RCR|49DMG|5CDMG|6LWND|7AART|8aVULN
43	53316 31252	   	178.48	ACR|2VULN|2DMG|1AART|1CDMG	12ERES|3RCR|49DMG|5LHND|6CDMG|7AART|8aVULN
44	53341 21252	   	178.48	ACR|2VULN|2DMG|1AART|1CDMG	12ERES|3RCR|4CDMG|59DMG|6LWND|7AART|8aVULN
45	54311 21252	   	178.48	ACR|2VULN|2DMG|1AART|1CDMG	12ERES|2BPWR|3RCR|49DMG|5CDMG|6LWND|7AART|8aVULN
46	56363 11213	   	178.41	ACR|2VULN|1AART|2CDMG|1DMG|1ZMB	19ERES|2ZMB|3RCR|49CDMG|5DMG|6CGEN|7AART|89VULN|9BPWR|aLWND
47	56363 31213	   	178.41	ACR|2VULN|1AART|1DMG|2CDMG|1ZMB	19ERES|2ZMB|3RCR|49CDMG|5DMG|6MLV|7AART|89VULN|9BPWR|aLWND
48	56363 11211	   	178.31	ACR|2VULN|1AART|2CDMG|1DMG|1ZMB	19ERES|2ZMB|3RCR|49CDMG|5DMG|6CGEN|7AART|89VULN|9BPWR|aDUST
49	56363 31211	   	178.31	ACR|2VULN|1AART|1DMG|2CDMG|1ZMB	19ERES|2ZMB|3RCR|49CDMG|5DMG|6MLV|7AART|89VULN|9BPWR|aDUST
50	34213 22246	   	177.79	ACR|3VULN|2DMG|1AART	1aLHND|2LWND|38aVULN|4AART|5RCR|6aDMG|7DMSP|9LEGI|aBPWR
51	13624 12111	   	177.73	ACR|4VULN|1AART|1CDMG|1DUR	1589VULN|2RMIN|3RCR|4BELT|6CDMG|7AART|aDUR
52	13624 12142	 * 	177.30	ACR|4VULN|1AART|2CDMG	158aVULN|2RMIN|3RCR|4BELT|6aCDMG|7AART|9aLWND|aBPWR
53	13624 12232	   	177.30	ACR|4VULN|1AART|2CDMG	159aVULN|2RMIN|3RCR|4BELT|6aCDMG|7AART|8aLWND|aBPWR
54	13624 12332	   	177.30	ACR|4VULN|1AART|2CDMG	159aVULN|2RMIN|3RCR|4BELT|6aCDMG|7AART|8aLHND|aBPWR
55	11612 33213	 * 	177.15	ACR|3VULN|1AART|1DMG|2ZMB	147VULN|26ERES|3RCR|5aZMB|8AART|9DMG
56	13614 33112	 * 	176.96	ACR|4VULN|1AART|1DMG|1SELL	148aVULN|2RMIN|3RCR|5LWND|6SELL|7AART|9DMG
57	13664 33112	 * 	176.96	ACR|4VULN|1AART|1DMG|1SELL	148aVULN|2RMIN|3RCR|4BPWR|5LWND|6SELL|7AART|9DMG
58	13624 12131	   	176.75	ACR|3VULN|1AART|1DMG|1CDMG	158VULN|2RMIN|3RCR|4BELT|6CDMG|7AART|9DMG|aLIT
59	13624 12132	   	176.75	ACR|3VULN|1AART|1DMG|1CDMG	158VULN|2RMIN|3RCR|4BELT|6CDMG|7AART|9DMG|aFEWX
60	13624 12133	   	176.75	ACR|3VULN|1AART|1DMG|1CDMG	158VULN|2RMIN|3RCR|4BELT|6CDMG|7AART|9DMG|aCGEN
61	13624 12134	   	176.75	ACR|3VULN|1AART|1DMG|1CDMG	158VULN|2aRMIN|3RCR|4BELT|6CDMG|7AART|9DMG
62	13624 12135	   	176.75	ACR|3VULN|1AART|1DMG|1CDMG	158VULN|2RMIN|3RCR|4BELT|6CDMG|7AART|9DMG|aLHND
63	11612 45331	   	176.65	ACR|4VULN|1DMG|1CDMG|1ZMB	1479VULN|2ERES|3RCR|5ZMB|6DUST|8CDMG|aDMG
64	13624 12136	   	176.65	ACR|3VULN|1AART|1DMG|1CDMG	158VULN|2RMIN|3RCR|4BELT|6CDMG|7AART|9DMG|aMBVNT
65	53311 41252	   	176.55	ACR|3VULN|1AART|1DMG|1CDMG	12ERES|3RCR|4DMG|5CDMG|68aVULN|7AART|9FEWX
66	13624 11623	   	176.47	ACR|3VULN|2DMG|1CDMG|1DUR	159VULN|2RMIN|3RCR|4BELT|6CDMG|79LWND|89DMG|9BPWR|aDUR
67	25334 22731	 * 	176.40	DCR|4VULN|2DMG|1DUR	128FEWX|3MBVNT|4589VULN|6RCR|78DMG|8BPWR|aDUR
68	25334 22738	   	176.40	DCR|4VULN|2DMG|1ASPD	128FEWX|3MBVNT|4589VULN|6RCR|78DMG|8BPWR|aASPD
69	11612 12624	   	175.94	ACR|2VULN|2DMG|1AART|1ZMB	14VULN|2ERES|3RCR|5ZMB|6CANHEL|79DMG|8RCVC|aAART
70	53311 41236	   	175.85	ACR|2VULN|1AART|1DMG|1FLTHEA|1CDMG	12ERES|3RCR|4DMG|5CDMG|68VULN|7AART|9FLTHEA|aRCVC
71	16123 42313	 * 	175.07	DCR|3VULN|3DMG|1CDMG	147VULN|2CDMG|37LIT|5MBVNT|679DMG|7BPWR|8MLV|aRCR
72	16123 42713	   	175.07	DCR|3VULN|3DMG|1CDMG	147VULN|2CDMG|37LIT|5MBVNT|679DMG|7BPWR|8CGEN|aRCR
73	31612 63222	   	175.01	ACR|3VULN|1AART|1DMG|1ZMB	1LHND|2ERES|3RCR|457VULN|6ZMB|8AART|9RCVC|aDMG
74	13656 33122	   	174.97	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	18VULN|2RMIN|3RCR|4ASPD|5DMG|6CDMG|7AART|9DUR|aCGEN
75	13656 33322	   	174.97	ACR|2DMG|1AART|1VULN|1CDMG|1ASPD|1DUR	1VULN|2RMIN|3RCR|4ASPD|58DMG|6CDMG|7AART|9DUR|aCGEN
76	56263 11212	 * 	174.95	3VULN|3DMG|3ZMB|1AART|1CDMG	1ERES|29aZMB|3BEXP|4CDMG|59aDMG|6CGEN|7AART|89aVULN|9aBPWR
77	56263 31212	   	174.95	3VULN|3DMG|3ZMB|1AART|1CDMG	1ERES|29aZMB|3BEXP|4CDMG|59aDMG|6MLV|7AART|89aVULN|9aBPWR
78	13656 33121	   	174.87	ACR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	18VULN|2RMIN|3RCR|4ASPD|5DMG|6CDMG|7AART|9DUR|aERES
79	13656 33321	   	174.87	ACR|2DMG|1AART|1VULN|1CDMG|1DUR|1ASPD	1VULN|2RMIN|3RCR|4ASPD|58DMG|6CDMG|7AART|9DUR|aERES
80	11312 23222	   	174.59	DCR|3VULN|1AART|1DMG|1ZMB	147VULN|2ERES|3LHND|5ZMB|6RCR|8AART|9RCVC|aDMG
81	53311 41231	   	174.55	ACR|2VULN|1AART|1DMG|1FLTHEA|1CDMG	12ERES|3RCR|4DMG|5CDMG|68VULN|7AART|9FLTHEA|aRMIN
82	53311 41232	   	174.55	ACR|2VULN|1AART|1DMG|1FLTHEA|1CDMG	12ERES|3RCR|4DMG|5CDMG|68VULN|7AART|9FLTHEA|aRPLT
83	53311 41234	   	174.55	ACR|2VULN|1AART|1DMG|1FLTHEA|1CDMG	12ERES|3RCR|4DMG|5CDMG|68VULN|7AART|9FLTHEA|aBEXP
84	53311 41235	   	174.55	ACR|2VULN|1AART|1DMG|1FLTHEA|1CDMG	12ERES|3RCR|4DMG|5CDMG|68VULN|7AART|9FLTHEA|aLHND
85	53313 31216	   	174.55	ACR|2VULN|1AART|1DMG|1FLTHEA|1CDMG	12ERES|3RCR|4DMG|5BEXP|6CDMG|7AART|8aVULN|9FLTHEA
86	53316 31216	   	174.55	ACR|2VULN|1AART|1DMG|1FLTHEA|1CDMG	12ERES|3RCR|4DMG|5LHND|6CDMG|7AART|8aVULN|9FLTHEA
87	53341 41231	   	174.55	ACR|2VULN|1AART|1DMG|1FLTHEA|1CDMG	12ERES|3RCR|4CDMG|5DMG|68VULN|7AART|9FLTHEA|aRMIN
88	53341 41232	   	174.55	ACR|2VULN|1AART|1DMG|1FLTHEA|1CDMG	12ERES|3RCR|4CDMG|5DMG|68VULN|7AART|9FLTHEA|aRPLT
89	53343 41231	   	174.55	ACR|2VULN|1AART|1DMG|1FLTHEA|1CDMG	12ERES|3RCR|4CDMG|58VULN|6DMG|7AART|9FLTHEA|aRMIN
90	53343 41232	   	174.55	ACR|2VULN|1AART|1DMG|1FLTHEA|1CDMG	12ERES|3RCR|4CDMG|58VULN|6DMG|7AART|9FLTHEA|aRPLT
91	54311 41231	   	174.55	ACR|2VULN|1AART|1DMG|1FLTHEA|1CDMG	12ERES|2BPWR|3RCR|4DMG|5CDMG|68VULN|7AART|9FLTHEA|aRMIN
92	54311 41232	   	174.55	ACR|2VULN|1AART|1DMG|1FLTHEA|1CDMG	12ERES|2BPWR|3RCR|4DMG|5CDMG|68VULN|7AART|9FLTHEA|aRPLT
93	54313 31216	   	174.55	ACR|2VULN|1AART|1DMG|1FLTHEA|1CDMG	12ERES|2BPWR|3RCR|4DMG|5BEXP|6CDMG|7AART|8aVULN|9FLTHEA
94	53311 31216	   	174.45	ACR|2VULN|1AART|1DMG|1FLTHEA|1CDMG	12ERES|3RCR|4DMG|5CDMG|6DUST|7AART|8aVULN|9FLTHEA
95	53312 31216	   	174.45	ACR|2VULN|1AART|1DMG|1FLTHEA|1CDMG	12ERES|3RCR|4DMG|5DUST|6CDMG|7AART|8aVULN|9FLTHEA
96	53341 31216	   	174.45	ACR|2VULN|1AART|1DMG|1FLTHEA|1CDMG	12ERES|3RCR|4CDMG|5DMG|6DUST|7AART|8aVULN|9FLTHEA
97	54311 31216	   	174.45	ACR|2VULN|1AART|1DMG|1FLTHEA|1CDMG	12ERES|2BPWR|3RCR|4DMG|5CDMG|6DUST|7AART|8aVULN|9FLTHEA
98	54312 31216	   	174.45	ACR|2VULN|1AART|1DMG|1FLTHEA|1CDMG	12ERES|2BPWR|3RCR|4DMG|5DUST|6CDMG|7AART|8aVULN|9FLTHEA
99	11116 16411	   	174.38	DCR|2VULN|2DMG|1AART|2CDMG	19VULN|2ERES|3DMSP|49DMG|5LHND|6CANHEL|79CDMG|8AART|9BPWR|aRCR
100	64111 53211	   	174.38	DCR|2VULN|2DMG|1AART|2CDMG	1RPLT|2DMSP|35CDMG|49DMG|67VULN|8AART|aRCR
101	16225 51233	 * 	174.34	ACR|2VULN|1AART|1FLTHEA|2ASPD|1CDMG|1ZMB	18VULN|2CDMG|3TLV|46ASPD|5RCR|7AART|9FLTHEA|aZMB
102	52122 53213	   	174.14	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1SELL	1ERES|2SELL|3RCVC|4CDMG|57VULN|6RCR|8AART|9DMG|aZMB
103	34213 24243	 * 	174.10	ACR|4VULN|1AART|1DMG	1LHND|2LWND|378aVULN|4AART|5RCR|6DMG|9LEGI
104	13614 33253	   	173.86	ACR|3VULN|1AART|1DMG|1ZMB|1SELL	14aVULN|2RMIN|3RCR|5LWND|6SELL|7AART|8ZMB|9DMG
105	34213 24232	   	173.75	ACR|3VULN|1AART|1DMG|1CDMG	1LHND|2LWND|378VULN|4AART|5RCR|6DMG|9FEWX|aCDMG
106	13524 12134	   	173.67	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	158VULN|2RMIN|3DUR|4BELT|6CDMG|7AART|9DMG|aRCR
107	32334 26272	   	173.43	DCR|3VULN|2AART|1DMG	12LHND|3MBVNT|457VULN|6RCR|89AART|aDMG
108	13612 22453	   	173.34	ACR|3VULN|3DMG	14aVULN|2RMIN|3RCR|5CANSTR|67aDMG|8RCVC|9aBEXP|aBPWR
109	11612 13525	 * 	173.32	ACR|3VULN|3ZMB|1DMG|1ASPD	147VULN|2ERES|3RCR|57aZMB|67CANHEL|7BPWR|8ASPD|9DMG
110	11612 33211	   	173.30	ACR|3VULN|1AART|1DMG|1ZMB	147VULN|26ERES|3RCR|5ZMB|8AART|9DMG|aCGEN
111	11612 33212	   	173.30	ACR|3VULN|1AART|1DMG|1ZMB	147VULN|26ERES|3RCR|5ZMB|8AART|9DMG|aLHND
112	11612 33242	   	173.30	ACR|3VULN|1AART|1DMG|1ZMB	147VULN|26ERES|3RCR|5ZMB|8AART|9FEWX|aDMG
113	13611 33213	   	173.30	ACR|3VULN|1AART|1DMG|1ZMB	147VULN|2RMIN|3RCR|56ERES|8AART|9DMG|aZMB
114	13661 33213	   	173.30	ACR|3VULN|1AART|1DMG|1ZMB	147VULN|2RMIN|3RCR|4BPWR|56ERES|8AART|9DMG|aZMB
115	31612 63252	   	173.30	ACR|3VULN|1AART|1DMG|1ZMB	1LHND|29ERES|3RCR|457VULN|6ZMB|8AART|aDMG
116	53311 41513	   	173.20	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	12ERES|3RCR|49DMG|5CDMG|6VULN|7AART|8ZMB|aRCVC
117	55334 33213	   	173.20	ACR|3VULN|1AART|1DMG|1ZMB	16ERES|25TLV|3RCR|457VULN|5BPWR|8AART|9DMG|aZMB
118	11612 33214	   	173.20	ACR|3VULN|1AART|1DMG|1ZMB	147VULN|26ERES|3RCR|5ZMB|8AART|9DMG|aDUST
119	11612 33232	   	173.20	ACR|3VULN|1AART|1DMG|1ZMB	147VULN|26ERES|3RCR|5ZMB|8AART|9DUST|aDMG
120	11512 22134	   	173.11	DCR|3VULN|2DMG|1ZMB|1DUR	149VULN|2ERES|3DUR|5ZMB|6RCR|7aDMG|8RPLT
121	11312 23252	   	172.88	DCR|3VULN|1AART|1DMG|1ZMB	147VULN|29ERES|3LHND|5ZMB|6RCR|8AART|aDMG
122	11123 53213	   	172.88	DCR|3VULN|1AART|1DMG|1ZMB	147VULN|2ERES|3DMSP|5TLV|6RCR|8AART|9DMG|aZMB
123	13514 24313	 * 	172.86	DCR|4VULN|1AART|1ZMB|1DUR	1479VULN|2RMIN|3DUR|5LWND|6RCR|8ZMB|aAART
124	11512 25113	   	172.76	DCR|4VULN|1AART|1ZMB|1DUR	1479VULN|2ERES|3DUR|5ZMB|6RCR|8LHND|aAART
125	11512 25313	   	172.76	DCR|4VULN|1AART|1ZMB|1DUR	1479VULN|2ERES|3DUR|5ZMB|6RCR|8FEWX|aAART
126	11512 25213	   	172.66	DCR|4VULN|1AART|1ZMB|1DUR	1479VULN|2ERES|3DUR|5ZMB|6RCR|8DUST|aAART
127	11315 26411	 * 	172.44	DCR|3VULN|1AART|1DMG|2CDMG	149VULN|2ERES|39LHND|5AIRHEA|6DMG|79CDMG|8AART|9BPWR|aRCR
128	16625 31231	   	172.37	ACR|3VULN|1AART|1FLTHEA|1CDMG|1ASPD	168VULN|2CDMG|3ERES|4ASPD|5RCR|7AART|9FLTHEA|aRMIN
129	16625 31232	   	172.37	ACR|3VULN|1AART|1FLTHEA|1CDMG|1ASPD	168VULN|2CDMG|3ERES|4ASPD|5RCR|7AART|9FLTHEA|aRPLT
130	13654 12113	 * 	172.33	ACR|3VULN|1DMG|1CDMG|1FLTHEA|1ASPD	16aVULN|2RMIN|3RCR|4ASPD|5FLTHEA|7DMG|8LWND|9CDMG
131	13654 12213	   	172.33	ACR|3VULN|1DMG|1CDMG|1FLTHEA|1ASPD	16aVULN|2RMIN|3RCR|4ASPD|5FLTHEA|7DMG|8BEXP|9CDMG
132	13654 12313	   	172.33	ACR|3VULN|1DMG|1CDMG|1FLTHEA|1ASPD	16aVULN|2RMIN|3RCR|4ASPD|5FLTHEA|7DMG|8FEWX|9CDMG
133	13612 23624	   	171.98	ACR|2VULN|2DMG|1AART|1ASPD	14VULN|2RMIN|3RCR|5CANSTR|69DMG|7ASPD|8RCVC|aAART
134	53311 41215	   	171.90	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	12ERES|3RCR|4DMG|5CDMG|68VULN|7AART|9LIT|aZMB
135	53311 41512	   	171.90	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	12ERES|3RCR|49DMG|5CDMG|6VULN|7AART|8ZMB|aRMIN
136	53311 41511	   	171.80	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	12aERES|3RCR|49DMG|5CDMG|6VULN|7AART|8ZMB
137	13612 21453	   	171.79	ACR|4VULN|2DMG	149aVULN|2RMIN|3RCR|5CANSTR|6aDMG|7aBEXP|8RCVC|aBPWR
138	13612 32623	   	171.79	ACR|4VULN|2DMG	146aVULN|2RMIN|3RCR|5CANSTR|7aBEXP|8RCVC|9aDMG|aBPWR
139	13615 32623	   	171.79	ACR|4VULN|2DMG	146aVULN|2RMIN|3RCR|5VENICY|7aBEXP|8RCVC|9aDMG|aBPWR
140	13662 32623	   	171.79	ACR|4VULN|2DMG	146aVULN|2RMIN|3RCR|4aBPWR|5CANSTR|7aBEXP|8RCVC|9aDMG
141	16523 61231	   	171.66	DCR|2VULN|1AART|1DMG|1CDMG|1FLTHEA|1ASPD	18VULN|2CDMG|3MLV|4ASPD|5DMG|6RMIN|7AART|9FLTHEA|aRCR
142	11142 41231	 * 	171.56	DCR|2DMG|1AART|1VULN|1FLTHEA|1CDMG|1DUR	1VULN|2ERES|3DMSP|4CDMG|5DUR|68DMG|7AART|9FLTHEA|aRCR
143	16223 31231	   	171.56	DCR|2VULN|1AART|1DMG|1CDMG|1FLTHEA|1ASPD	18VULN|2CDMG|3TLV|4ASPD|5DMG|6RMIN|7AART|9FLTHEA|aRCR
144	16623 61231	   	171.56	DCR|2VULN|1AART|1DMG|1FLTHEA|1CDMG|1ASPD	18VULN|2CDMG|3ERES|4ASPD|5DMG|6RMIN|7AART|9FLTHEA|aRCR
145	34213 24231	   	171.55	ACR|3VULN|2AART|1DMG	1LHND|2LWND|378VULN|4aAART|5RCR|6DMG|9FEWX
146	13623 15423	   	171.34	ACR|2VULN|1DMG|2CDMG|2ZMB|1DUR|1ASPD	19VULN|2RMIN|3RCR|4BELT|59ZMB|6ASPD|7DMG|89CDMG|9BPWR|aDUR
147	11121 45214	 * 	171.17	DCR|3VULN|2DMG|1AART	147VULN|2ERES|3DMSP|5LWND|6AART|89DMG|aRCR
148	11311 45214	   	171.07	DCR|3VULN|2DMG|1AART	147VULN|25ERES|3LHND|6AART|89DMG|aRCR
149	25334 22716	   	171.02	DCR|3VULN|3DMG	128FEWX|3MBVNT|458VULN|6RCR|78aDMG|8BPWR|9LHND
150	13624 12114	   	170.79	ACR|4VULN|1AART|1CDMG	1589VULN|2RMIN|3RCR|4BELT|6CDMG|7AART|aCGEN
151	13624 12162	   	170.79	ACR|4VULN|1AART|1CDMG	158aVULN|2RMIN|3RCR|4BELT|6CDMG|7AART|9RPLT
152	13624 12113	   	170.69	ACR|4VULN|1AART|1CDMG	1589VULN|2RMIN|3RCR|4BELT|6CDMG|7AART|aTLV
153	13624 12115	   	170.69	ACR|4VULN|1AART|1CDMG	1589VULN|2RMIN|3RCR|4BELT|6CDMG|7AART|aERES
154	52322 53213	   	170.63	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1SELL	13ERES|2SELL|3BPWR|4CDMG|57VULN|6RCR|8AART|9DMG|aZMB
155	12236 51222	   	170.62	DCR|3VULN|1AART|1DMG|1DUR	134VULN|25LHND|6RCR|7DUR|8AART|9RCVC|aDMG
156	33236 51222	   	170.62	DCR|3VULN|1AART|1DMG|1DUR	15LHND|234VULN|6RCR|7DUR|8AART|9RCVC|aDMG
157	13612 33422	 * 	170.09	ACR|4VULN|1AART|1FLTHEA	1467VULN|2RMIN|3RCR|5CANSTR|8AART|9BELT|aFLTHEA
158	13615 33422	   	170.09	ACR|4VULN|1AART|1FLTHEA	1467VULN|2RMIN|3RCR|5VENICY|8AART|9BELT|aFLTHEA
159	13662 33422	   	170.09	ACR|4VULN|1AART|1FLTHEA	1467VULN|2RMIN|3RCR|4BPWR|5CANSTR|8AART|9BELT|aFLTHEA
160	52122 53216	   	170.07	DCR|2VULN|1AART|1DMG|1CDMG|1DUR|1SELL	1ERES|2SELL|3RCVC|4CDMG|57VULN|6RCR|8AART|9DMG|aDUR
161	11612 13344	 * 	169.99	ACR|4VULN|1AART|2ZMB	1479VULN|2ERES|3RCR|57ZMB|67CANHEL|7BPWR|8TLV|aAART
162	11615 22512	   	169.97	ACR|2VULN|2DMG|1AART|1ASPD	14VULN|2ERES|3RCR|5AIRHEA|67DMG|8ASPD|9MLV|aAART
163	11633 21144	   	169.97	ACR|2VULN|2DMG|1AART|1DUR	19VULN|2ERES|3RCR|4BEXP|5DUR|6MBVNT|78DMG|aAART
164	41613 21144	   	169.97	ACR|2VULN|2DMG|1AART|1DUR	1BEXP|2ERES|3RCR|49VULN|5DUR|6MBVNT|78DMG|aAART
