0	Index      	 *	Score 	Summary	Detail	
1	32213 36143	 * 	193.42	DCR|3DMG|2VULN|3ASPD|1CDMG|1DUR	129DMG|29BPWR|3DUR|49aASPD|5ERES|6CDMG|7RCR|89VULN
25	33261 34133	   	183.17	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	14DMG|27VULN|3BELT|5AART|6DUST|8ZMB|9RCR|aCDMG
26	33424 33225	 * 	183.01	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1DMG|23aVULN|4DUR|5ASPD|6CDMG|7AART|8LIT|9RCR
27	32252 32632	   	183.01	DCR|3VULN|3DMG|2DUR|1SELL	12aDMG|2aBPWR|3aDUR|4SELL|5LWND|6RCR|7TLV|89aVULN
28	32252 35632	   	183.01	DCR|3VULN|3DMG|2DUR|1SELL	12aDMG|2aBPWR|3aDUR|4SELL|5LWND|6RCR|7ERES|89aVULN
29	32255 32632	   	183.01	DCR|3VULN|3DMG|2DUR|1SELL	12aDMG|2aBPWR|3aDUR|4SELL|5LHND|6RCR|7TLV|89aVULN
30	33112 15422	   	182.76	DCR|3DMG|2VULN|2CDMG|2DUR	15aDMG|26VULN|3aDUR|45ERES|5aBPWR|7FEWX|8RCR|9aCDMG
31	33115 15422	   	182.76	DCR|3DMG|2VULN|2CDMG|2DUR	15aDMG|26VULN|3aDUR|4ERES|7FEWX|8RCR|9aCDMG|aBPWR
32	33263 54133	   	182.67	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	14DMG|27VULN|3BELT|5BEXP|6AART|8ZMB|9RCR|aCDMG
33	35121 16421	 * 	182.57	DCR|3VULN|2DMG|1AART	19DMG|24MLV|3AART|58aVULN|6RCR|7NUKE
34	36133 31651	 * 	182.37	DCR|3VULN|3DMG|3DUR	149DMG|234DUR|4aBPWR|5aLIT|67aVULN|8RCR
35	42633 36132	 * 	181.95	DCR|2DMG|3ZMB|1VULN|2CDMG|1DUR|1ASPD	1DUR|24aZMB|3ASPD|5ERES|6aCDMG|7RCR|8VULN|9aDMG|aBPWR
36	33452 32132	   	181.55	DCR|4VULN|2DMG|2DUR|1SELL	1aDMG|239aVULN|4SELL|5LHND|6RCR|7MLV|8aDUR|aBPWR
37	32413 36151	   	181.50	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	12DMG|2BPWR|3LWND|4ASPD|5ERES|6CDMG|7RCR|8aVULN|9AART
38	36136 51131	   	181.47	DCR|3DMG|1AART|1VULN|3DUR|1ASPD	148DMG|234DUR|4BPWR|5ASPD|6AIRHEL|7RCR|9VULN|aAART
39	32232 45234	   	181.46	DCR|3DMG|1AART|1VULN|1CDMG|2DUR	124DMG|24BPWR|34DUR|5CDMG|6LIT|7AART|8MLV|9RCR|aVULN
40	33452 35132	   	181.45	DCR|4VULN|2DMG|2DUR|1SELL	1aDMG|239aVULN|4SELL|5LHND|6RCR|7ERES|8aDUR|aBPWR
41	33352 16512	   	181.38	DCR|3VULN|3DMG|2CDMG	158DMG|268VULN|3LWND|45TLV|58BPWR|78CDMG|9CGEN|aRCR
42	33261 14136	   	181.06	DCR|2VULN|2AART|2DMG|1ZMB	14DMG|27VULN|3BELT|5aAART|6BEXP|8ZMB|9RCR
43	33634 51132	   	181.01	DCR|3VULN|2DMG|1AART|1DUR	14DMG|26aVULN|3AIRHEL|5DUST|7DUR|8RCR|9AART
44	33261 34136	   	180.96	DCR|2VULN|2AART|2DMG|1ZMB	14DMG|27VULN|3BELT|5aAART|6DUST|8ZMB|9RCR
45	32236 55123	   	180.83	DCR|3DMG|1AART|1VULN|3DUR|1ZMB	124DMG|24BPWR|345DUR|6ZMB|7VULN|8LIT|9RCR|aAART
46	32236 42323	   	180.83	DCR|3DMG|1AART|1VULN|3DUR|1ZMB	124DMG|24BPWR|345DUR|6LIT|7VULN|8ZMB|9RCR|aAART
47	36135 42323	   	180.83	DCR|3DMG|1AART|1VULN|3DUR|1ZMB	145DMG|234DUR|4BPWR|6LIT|7VULN|8ZMB|9RCR|aAART
48	36532 32342	   	180.23	DCR|3DMG|1AART|2CDMG|3DUR|1ZMB	134DMG|246DUR|46BPWR|56CDMG|7AART|8FEWX|9ZMB|aRCR
49	33262 34333	 * 	180.22	DCR|4VULN|3DMG	147DMG|269aVULN|3BELT|5LIT|8RCR
50	31413 36141	   	180.16	DCR|3VULN|2DMG|2ASPD|1CDMG	19DMG|2DMSP|3LWND|49ASPD|5ERES|6CDMG|7RCR|89aVULN|9BPWR
51	32413 36112	   	180.16	DCR|3DMG|2VULN|2ASPD|1CDMG	12aDMG|2aBPWR|3LWND|4aASPD|5ERES|6CDMG|7RCR|8aVULN|9RMIN
52	32413 36142	   	180.16	DCR|3DMG|2VULN|2ASPD|1CDMG	129DMG|29BPWR|3LWND|49ASPD|5ERES|6CDMG|7RCR|89VULN|aRMIN
53	33413 36241	   	180.07	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	1DMG|23aVULN|4ASPD|5ERES|6CDMG|7RCR|8AART|9DUST
54	32413 36132	   	180.06	DCR|3DMG|2VULN|2ASPD|1CDMG	12aDMG|2aBPWR|3LWND|4aASPD|5ERES|6CDMG|7RCR|8aVULN|9NUKE
55	32413 36141	   	180.06	DCR|3DMG|2VULN|2ASPD|1CDMG	129DMG|29BPWR|3LWND|49ASPD|5ERES|6CDMG|7RCR|89VULN|aDUST
56	35141 16221	   	180.01	DCR|3VULN|2DMG|1AART|1DUR	16DMG|2MLV|3AART|479VULN|5LHND|8DUR|aRCR
57	33534 42122	 * 	179.99	DCR|2VULN|3ASPD|1DMG|2CDMG|1ZMB|1DUR	1DMG|2aVULN|3CGEN|4ZMB|57aASPD|6RCR|8DUR|9aCDMG|aBPWR
58	35142 16221	   	179.91	DCR|3VULN|2DMG|1AART|1DUR	16DMG|2MLV|3AART|479VULN|5LEGI|8DUR|aRCR
59	33413 36412	   	179.77	DCR|3VULN|2DMG|2CDMG|1ASPD	1aDMG|23aVULN|4ASPD|5ERES|6aCDMG|7RCR|8LEGI|9RMIN|aBPWR
60	33413 36432	   	179.67	DCR|3VULN|2DMG|2CDMG|1ASPD	1aDMG|23aVULN|4ASPD|5ERES|6aCDMG|7RCR|8LEGI|9NUKE|aBPWR
61	33322 35364	 * 	179.46	DCR|2DMG|1AART|1VULN|1CDMG|1FLTHEA|1ASPD	19DMG|2VULN|3LWND|4LHND|5CDMG|6RCR|7FLTHEA|8ASPD|aAART
62	33261 23143	   	179.45	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	14DMG|27VULN|3BELT|5AART|69DUR|8ZMB|aRCR
63	35121 15116	   	179.35	DCR|2VULN|2DMG|1AART|2DUR	1aDMG|24MLV|3AART|5aVULN|6RCR|7LEGI|8RMIN|9aDUR|aBPWR
64	33261 14633	   	179.20	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	14DMG|27VULN|3BELT|5AART|6BEXP|8ASPD|9RCR|aCDMG
65	33444 12312	   	178.89	DCR|4VULN|2DMG|2DUR|1ASPD|1SELL	18DMG|2368VULN|4LWND|5ASPD|78DUR|8BPWR|9SELL|aRCR
66	33634 61332	   	178.87	DCR|3VULN|2DMG|1AART	14DMG|27aVULN|3AIRHEL|5DUST|6RCR|8LHND|9AART
67	32234 34342	   	178.59	DCR|3DMG|2VULN|1CDMG|2DUR|1ASPD	124DMG|24BPWR|34DUR|5CGEN|6CDMG|7ASPD|89VULN|aRCR
68	33422 64221	   	178.50	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1aDMG|23VULN|4DUR|5LIT|6AART|7TLV|8CDMG|9RCR
69	32232 14342	   	178.49	DCR|3DMG|2VULN|1CDMG|2DUR|1ASPD	124DMG|24BPWR|34DUR|5CDMG|6ERES|7ASPD|89VULN|aRCR
70	33223 25355	   	178.31	DCR|3VULN|2DMG|1AART|1DUR	16DMG|256VULN|3BELT|4RPLT|6BPWR|7CGEN|8DUR|9RCR|aAART
71	33223 53355	   	178.21	DCR|3VULN|2DMG|1AART|1DUR	17DMG|257VULN|3BELT|4RPLT|67TLV|7BPWR|8DUR|9RCR|aAART
72	42533 36112	 * 	178.05	DCR|2VULN|2DMG|2ZMB|1CDMG|2DUR	1aDUR|24ZMB|3aDMG|5ERES|6CDMG|7RCR|8aVULN|9RMIN|aBPWR
73	32534 12533	   	178.03	DCR|3DMG|1AART|1VULN|1CDMG	127DMG|2BPWR|3CGEN|4AART|5BELT|6RCR|8VULN|9ERES|aCDMG
74	33412 33221	   	178.00	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	1aDMG|23VULN|4ASPD|5FEWX|6CDMG|7AART|8LIT|9RCR
75	33423 33221	   	178.00	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1aDMG|23VULN|4DUR|5RMIN|6CDMG|7AART|8LIT|9RCR
76	33434 33221	   	178.00	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	1aDMG|23VULN|4FEWX|5ASPD|6CDMG|7AART|8LIT|9RCR
77	33152 33225	   	177.90	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	15DMG|2aVULN|3DUR|45TLV|5BPWR|6CDMG|7AART|8LIT|9RCR
78	33155 33225	   	177.90	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	15DMG|2aVULN|3DUR|4TLV|6CDMG|7AART|8LIT|9RCR
79	33413 36221	 * 	177.77	DCR|2VULN|1AART|1DMG|2CDMG|1DUR|1ASPD	1DMG|23VULN|4ASPD|5ERES|69CDMG|7RCR|8AART|aDUR
80	33362 12422	   	177.67	DCR|3DMG|2VULN|2CDMG|1DUR	15aDMG|26VULN|3aLWND|45CGEN|5aBPWR|7DUR|8RCR|9aCDMG
81	33562 12422	   	177.67	DCR|3DMG|2VULN|2CDMG|1DUR	15aDMG|26VULN|3aCGEN|45LHND|5aBPWR|7DUR|8RCR|9aCDMG
82	33522 36343	   	177.67	DCR|3DMG|2VULN|2CDMG|1DUR	159DMG|29VULN|3CGEN|45BEXP|59BPWR|6RMIN|79CDMG|8RCR|aDUR
83	33365 12422	   	177.57	DCR|3DMG|2VULN|2CDMG|1DUR	15aDMG|26VULN|3aLWND|4CGEN|7DUR|8RCR|9aCDMG|aBPWR
84	33436 12422	   	177.57	DCR|3VULN|2DMG|2CDMG|1DUR	1aDMG|236VULN|4aFEWX|5CGEN|7DUR|8RCR|9aCDMG|aBPWR
85	35512 12422	   	177.57	DCR|3VULN|2DMG|2CDMG|1DUR	1aDMG|24MLV|36aVULN|5FEWX|7DUR|8RCR|9aCDMG|aBPWR
86	35522 12422	   	177.57	DCR|3VULN|2DMG|2CDMG|1DUR	1aDMG|2MLV|36aVULN|4RCVC|5FEWX|7DUR|8RCR|9aCDMG|aBPWR
87	32253 32632	   	177.51	DCR|3VULN|3DMG|1DUR|1SELL	12aDMG|2aBPWR|3DUR|4SELL|5LEGI|6RCR|7aTLV|89aVULN
88	32253 35632	   	177.51	DCR|3DMG|3VULN|1DUR|1SELL	12aDMG|2aBPWR|3DUR|4SELL|5LEGI|6RCR|7aERES|89aVULN
89	33312 12422	   	177.47	DCR|3DMG|2VULN|2CDMG|1DUR	15aDMG|26VULN|3aLWND|45ERES|5aBPWR|7DUR|8RCR|9aCDMG
90	33315 12422	   	177.47	DCR|3DMG|2VULN|2CDMG|1DUR	15aDMG|26VULN|3aLWND|4ERES|7DUR|8RCR|9aCDMG|aBPWR
91	33352 12422	   	177.47	DCR|3DMG|2VULN|2CDMG|1DUR	15aDMG|26VULN|3aLWND|45TLV|5aBPWR|7DUR|8RCR|9aCDMG
92	33355 12422	   	177.47	DCR|3DMG|2VULN|2CDMG|1DUR	15aDMG|26VULN|3aLWND|4TLV|7DUR|8RCR|9aCDMG|aBPWR
93	33431 53422	   	177.47	DCR|3DMG|2VULN|2CDMG|1DUR	17aDMG|23VULN|4aFEWX|5DUR|6ERES|8RCR|9aCDMG|aBPWR
94	33452 31226	   	177.42	DCR|2VULN|2DMG|1AART|1CDMG|1SELL	1aDMG|23VULN|4SELL|5LHND|6RCR|7RCVC|8AART|9CDMG
95	33161 51331	   	177.37	DCR|3VULN|2DMG|2CDMG|1DUR	19DMG|26aVULN|3DUR|4CGEN|56CDMG|6BPWR|7ERES|8RCR
96	36423 23422	   	177.37	DCR|3DMG|2VULN|2CDMG|1DUR	17aDMG|2DUR|3aVULN|4LHND|56ERES|8RCR|9aCDMG|aBPWR
97	14613 16133	 * 	177.34	DCR|2VULN|2DMG|2CDMG|2FLTHEA	1RMIN|2aDMG|3aFLTHEA|49VULN|58CDMG|6aCGEN|7RCR|aBPWR
98	33161 33318	   	177.30	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	17DMG|2aVULN|3DUR|4CGEN|5CDMG|6MBVNT|8AART|9RCR
99	33111 33318	   	177.20	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	17DMG|2aVULN|3DUR|4ERES|5CDMG|6MBVNT|8AART|9RCR
100	33151 33318	   	177.20	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	17DMG|2aVULN|3DUR|4TLV|5CDMG|6MBVNT|8AART|9RCR
101	36411 33318	   	177.20	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	17DMG|2DUR|3aVULN|4ERES|5CDMG|6MBVNT|8AART|9RCR
102	42113 36141	 * 	177.12	DCR|2VULN|1AART|3DUR|2ASPD|1CDMG|1ZMB	139DUR|2ZMB|49ASPD|5ERES|6CDMG|7RCR|89VULN|9BPWR|aAART
103	33261 23236	   	177.00	DCR|2VULN|2AART|2DMG|1DUR	14DMG|27VULN|3BELT|5aAART|6DUR|8RMIN|9RCR
104	33312 12321	   	176.91	DCR|3VULN|2DMG|1AART|1DUR	15DMG|269VULN|3LWND|45ERES|5BPWR|7DUR|8AART|aRCR
105	33315 12321	   	176.91	DCR|3VULN|2DMG|1AART|1DUR	15DMG|269VULN|3LWND|4ERES|7DUR|8AART|aRCR
106	33441 53321	   	176.91	DCR|3VULN|2DMG|1AART|1DUR	17DMG|239VULN|4LWND|5DUR|6ERES|8AART|aRCR
107	33461 53321	   	176.91	DCR|3VULN|2DMG|1AART|1DUR	17DMG|239VULN|4LHND|5DUR|6ERES|8AART|aRCR
108	33413 36111	   	176.81	DCR|4VULN|1DMG|1CDMG|1DUR|1ASPD	1DMG|238aVULN|4ASPD|5ERES|6CDMG|7RCR|9DUR
109	33413 36342	   	176.74	DCR|2VULN|2DMG|2ASPD|1CDMG|2DUR	1aDMG|23VULN|4aASPD|5ERES|6CDMG|7RCR|8RMIN|9aDUR|aBPWR
110	36113 36112	   	176.74	DCR|2VULN|2DMG|2ASPD|1CDMG|2DUR	1aDMG|23DUR|4aASPD|5ERES|6CDMG|7RCR|8aVULN|9RMIN|aBPWR
111	36113 36142	   	176.74	DCR|2VULN|2DMG|2ASPD|1CDMG|2DUR	19DMG|23DUR|49ASPD|5ERES|6CDMG|7RCR|89VULN|9BPWR|aLWND
112	36113 36143	   	176.74	DCR|2VULN|2DMG|2ASPD|1CDMG|2DUR	19DMG|23DUR|49ASPD|5ERES|6CDMG|7RCR|89VULN|9BPWR|aBEXP
113	46412 32332	   	176.65	DCR|3VULN|2DMG|1CDMG|2DUR	1aDUR|25BEXP|35aVULN|4RCVC|5aBPWR|6CDMG|7CGEN|8RCR|9aDMG
114	36113 36132	   	176.64	DCR|2VULN|2DMG|2ASPD|1CDMG|2DUR	1aDMG|23DUR|4aASPD|5ERES|6CDMG|7RCR|8aVULN|9NUKE|aBPWR
115	33421 31463	 * 	176.58	DCR|5VULN|1DMG|2DUR|1ASPD	1DMG|2378aVULN|45DUR|6ASPD|9RCR
116	33424 11163	   	176.58	DCR|5VULN|1DMG|2DUR|1ASPD	1DMG|2367aVULN|48DUR|5ASPD|9RCR
117	33261 23131	   	176.56	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	14DMG|27VULN|3aBELT|5AART|6DUR|8ZMB|9RCR
118	33261 23132	   	176.56	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	14DMG|27VULN|3BELT|5AART|6DUR|8ZMB|9RCR|aRPLT
119	33261 23135	   	176.56	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	14DMG|27VULN|3BELT|5AART|6DUR|8ZMB|9RCR|aLWND
120	46412 31332	   	176.55	DCR|3VULN|2DMG|1CDMG|2DUR	1aDUR|25BEXP|35aVULN|4RCVC|5aBPWR|6CDMG|7ERES|8RCR|9aDMG
121	35121 13441	 * 	176.53	DCR|3VULN|2AART|1DMG	1DMG|24MLV|39AART|58aVULN|6RCR|7CGEN
122	33562 11161	   	176.51	DCR|3VULN|2DMG|1AART|1DUR	15DMG|267VULN|3CGEN|45LHND|5BPWR|8DUR|9AART|aRCR
123	33261 23133	   	176.46	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	14DMG|27VULN|3BELT|5AART|6DUR|8ZMB|9RCR|aDUST
124	33261 23134	   	176.46	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	14DMG|27VULN|3BELT|5AART|6DUR|8ZMB|9RCR|aERES
125	45412 32332	   	176.45	DCR|3VULN|2DMG|1CDMG|2DUR	1aDUR|25DUST|35aVULN|4RCVC|5aBPWR|6CDMG|7CGEN|8RCR|9aDMG
126	45412 31332	   	176.35	DCR|3VULN|2DMG|1CDMG|2DUR	1aDUR|25DUST|35aVULN|4RCVC|5aBPWR|6CDMG|7ERES|8RCR|9aDMG
127	35122 35531	   	176.22	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	16DMG|24MLV|3AART|5CDMG|7VULN|8RCR|9ZMB|aDUR
128	33262 31641	   	176.20	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	14DMG|26VULN|3BELT|5LIT|7DUR|8CDMG|9RCR|aAART
129	36532 32312	   	176.17	DCR|3DMG|1AART|2CDMG|3DUR|1ASPD	134DMG|246DUR|46BPWR|56CDMG|7AART|8FEWX|9ASPD|aRCR
130	36532 32512	   	176.17	DCR|3DMG|1AART|2CDMG|3DUR|1ASPD	134DMG|246DUR|46BPWR|56CDMG|7AART|8BEXP|9ASPD|aRCR
131	33412 33225	   	176.07	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	1DMG|23aVULN|4ASPD|5FEWX|6CDMG|7AART|8LIT|9RCR
132	33434 33225	   	176.07	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	1DMG|23aVULN|4FEWX|5ASPD|6CDMG|7AART|8LIT|9RCR
133	33152 33221	   	175.97	DCR|3DMG|1AART|1VULN|1CDMG|1DUR	15aDMG|2VULN|3DUR|45TLV|5BPWR|6CDMG|7AART|8LIT|9RCR
134	33155 33221	   	175.97	DCR|3DMG|1AART|1VULN|1CDMG|1DUR	15aDMG|2VULN|3DUR|4TLV|6CDMG|7AART|8LIT|9RCR
135	36452 33221	   	175.97	DCR|3DMG|1AART|1VULN|1CDMG|1DUR	15aDMG|2DUR|3VULN|45TLV|5BPWR|6CDMG|7AART|8LIT|9RCR
136	33112 65124	   	175.87	DCR|3DMG|1AART|1VULN|1CDMG|1DUR	158DMG|2VULN|3DUR|456ERES|5BPWR|7AART|9RCR|aCDMG
137	33423 32312	   	175.75	DCR|2VULN|2DMG|2ZMB|1CDMG|2DUR	1aDMG|23VULN|4aDUR|5RMIN|6CDMG|7CGEN|8RCR|9aZMB|aBPWR
138	33261 22136	   	175.71	DCR|2AART|2DMG|1VULN|2DUR|1ZMB	14DMG|2VULN|3BELT|5aAART|67DUR|8ZMB|9RCR
139	33423 31312	   	175.65	DCR|2VULN|2DMG|2ZMB|1CDMG|2DUR	1aDMG|23VULN|4aDUR|5RMIN|6CDMG|7ERES|8RCR|9aZMB|aBPWR
140	35121 12216	   	175.51	DCR|2DMG|1AART|1VULN|1CDMG|2DUR	1aDMG|24aMLV|3AART|5VULN|6RCR|7RPLT|8CDMG|9aDUR|aBPWR
141	33261 23643	   	175.38	DCR|2VULN|2DMG|1AART|2DUR|1ASPD	14DMG|27VULN|3BELT|5AART|69DUR|8ASPD|aRCR
142	33413 33122	   	175.07	DCR|3VULN|2DMG|2CDMG|1ASPD	17DMG|237VULN|4ASPD|5ERES|67CDMG|7BPWR|8BEXP|9RCR|aLWND
143	33413 33123	   	175.07	DCR|3VULN|2DMG|2CDMG|1ASPD	17DMG|237VULN|4ASPD|5ERES|67CDMG|7BPWR|8BEXP|9RCR|aFEWX
144	33413 33125	   	175.07	DCR|3VULN|2DMG|2CDMG|1ASPD	17DMG|237VULN|4ASPD|5ERES|67CDMG|7BPWR|8BEXP|9RCR|aLHND
145	33413 33126	   	175.07	DCR|3VULN|2DMG|2CDMG|1ASPD	17DMG|237VULN|4ASPD|5ERES|67CDMG|7BPWR|8BEXP|9RCR|aRPLT
146	33413 33522	   	174.97	DCR|3VULN|2DMG|2CDMG|1ASPD	17DMG|237VULN|4ASPD|5ERES|67CDMG|7BPWR|8DUST|9RCR|aLWND
147	33413 33523	   	174.97	DCR|3VULN|2DMG|2CDMG|1ASPD	17DMG|237VULN|4ASPD|5ERES|67CDMG|7BPWR|8DUST|9RCR|aFEWX
148	33413 33525	   	174.97	DCR|3VULN|2DMG|2CDMG|1ASPD	17DMG|237VULN|4ASPD|5ERES|67CDMG|7BPWR|8DUST|9RCR|aLHND
149	33413 33526	   	174.97	DCR|3VULN|2DMG|2CDMG|1ASPD	17DMG|237VULN|4ASPD|5ERES|67CDMG|7BPWR|8DUST|9RCR|aRPLT
150	32244 35111	   	174.19	DCR|2VULN|2DMG|1AART|1DUR|1ASPD	12DMG|2BPWR|3DUR|4LWND|5ASPD|6AART|79VULN|8RCR|aTLV
151	32244 35112	   	174.19	DCR|2VULN|2DMG|1AART|1DUR|1ASPD	12DMG|2BPWR|3DUR|4LWND|5ASPD|6AART|79VULN|8RCR|aLEGI
152	32244 35113	   	174.19	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	12DMG|2BPWR|3DUR|4LWND|5ASPD|6AART|79VULN|8RCR|aDUST
153	32424 35111	   	174.19	DCR|2VULN|2DMG|1AART|1DUR|1ASPD	12DMG|2BPWR|3LWND|4DUR|5ASPD|6AART|79VULN|8RCR|aTLV
154	32424 35112	   	174.19	DCR|2VULN|2DMG|1AART|1DUR|1ASPD	12DMG|2BPWR|3LWND|4DUR|5ASPD|6AART|79VULN|8RCR|aLEGI
155	32424 35113	   	174.19	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	12DMG|2BPWR|3LWND|4DUR|5ASPD|6AART|79VULN|8RCR|aDUST
156	33262 32225	   	174.17	DCR|3VULN|2DMG|1AART	14DMG|26aVULN|3BELT|5LIT|7BASICY|8RCR|9AART
157	33261 23163	   	174.16	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	14DMG|27VULN|39BELT|5AART|6DUR|8ZMB|aRCR
158	33634 52132	   	174.07	DCR|3VULN|2DMG|1AART	14DMG|26aVULN|3AIRHEL|5DUST|7LWND|8RCR|9AART
159	33634 53132	   	174.07	DCR|3VULN|2DMG|1AART	14DMG|26aVULN|3AIRHEL|5DUST|7FEWX|8RCR|9AART
160	42113 36143	 * 	173.98	DCR|2VULN|1DMG|3DUR|2ASPD|1CDMG|1ZMB	139DUR|2ZMB|49ASPD|5ERES|6CDMG|7RCR|89VULN|9BPWR|aDMG
161	32232 34225	 * 	173.97	DCR|3DMG|3CDMG|1AART|3DUR	124DMG|246BPWR|346DUR|568CDMG|7DUST|9AART|aRCR
