0	Index      	Bounty	 *	Score 	Summary	Detail	
1	32613 21562	1	 * 	287.63	DCR|3VULN|3DMG|3TLV|1DUR|1AART	18aVULN|2DUR|38aDMG|48aTLV|5AART|6RCR|7BBNT|8aBPWR|9BELT
40	33513 25325	1	   	266.24	DCR|2VULN|2TLV|2DUR|1DMG|1CDMG|1AART	17VULN|2ASPD|37DUR|47TLV|5AART|6RCR|7BPWR|8CDMG|9LWND|aDMG
41	33513 25335	1	   	266.24	DCR|2VULN|2TLV|2DUR|1DMG|1CDMG|1AART	17VULN|2ASPD|37DUR|47TLV|5AART|6RCR|7BPWR|8CDMG|9LHND|aDMG
42	31421 25354	4	   	265.83	DCR|3VULN|2DMG|2DUR|1CDMG|1AART	17aVULN|2CGEN|37DUR|4AART|57DMG|6RCR|7BPWR|8CDMG|9MBVNT
43	31221 25354	2	   	265.83	DCR|3VULN|2DMG|2DUR|1CDMG|1AART	17aVULN|2CGEN|3AART|47DUR|57DMG|6RCR|7BPWR|8CDMG|9MBVNT
44	34221 25354	1	   	265.73	DCR|3VULN|2DMG|2DUR|1CDMG|1AART	17aVULN|2ERES|3AART|47DUR|57DMG|6RCR|7BPWR|8CDMG|9MBVNT
45	33513 21551	1	   	265.43	DCR|3VULN|2TLV|2DUR|1AART	18aVULN|2ASPD|38DUR|48TLV|5AART|6RCR|7BBNT|8BPWR|9LIT
46	33366 33153	1	   	265.28	DCR|3VULN|2TLV|2DUR|1AART|1SELL	158VULN|2ASPD|3AART|4SELL|68DUR|78TLV|8BPWR|9RCR|aLIT
47	33151 32316	1	 * 	265.27	DCR|3VULN|3DMG|2CDMG|1AART	139VULN|2ASPD|4TBNT|589DMG|69CDMG|7RCR|9BPWR|aAART
48	33151 32313	1	   	263.92	DCR|3VULN|3DMG|2CDMG	139VULN|2ASPD|4TBNT|589DMG|69CDMG|7RCR|9BPWR|aLIT
49	32613 21526	1	   	262.84	DCR|2VULN|3DMG|2TLV|1DUR|1AART	18VULN|2DUR|38aDMG|48TLV|5AART|6RCR|7BBNT|8BPWR|9LWND
50	32613 25223	1	   	262.84	DCR|2VULN|3DMG|3TLV|1DUR|1AART	17VULN|2DUR|37aDMG|479TLV|5AART|6RCR|7BPWR|8MLV
51	36413 25223	3	   	262.84	DCR|2VULN|3DMG|3TLV|1DUR|1AART	17VULN|2DUR|37aDMG|479TLV|5AART|6RCR|7BPWR|8MLV
52	36613 25223	2	   	262.84	DCR|2VULN|3DMG|3TLV|1DUR|1AART	17VULN|2DUR|37aDMG|479TLV|5AART|6RCR|7BPWR|8MLV
53	33513 25343	1	   	262.33	DCR|2VULN|2TLV|2DUR|2ASPD|1CDMG|1AART	17VULN|29ASPD|37DUR|47TLV|5AART|6RCR|7BPWR|8CDMG|aLIT
54	31433 43322	1	   	262.22	DCR|3VULN|2DMG|2TLV|1DUR	169VULN|2TBNT|39TLV|4DUST|56FEWX|69BPWR|7RCR|89DMG|aDUR
55	31432 53322	1	   	262.12	DCR|3VULN|2DMG|2TLV|1DUR	159VULN|2TBNT|39TLV|4DUST|6FEWX|7RCR|89DMG|9BPWR|aDUR
56	31421 25421	4	   	262.00	DCR|2VULN|2DMG|2DUR|1TLV|1AART	17VULN|2CGEN|37DUR|4AART|57DMG|6RCR|7BPWR|8MBVNT|9LIT|aTLV
57	31221 25421	2	   	262.00	DCR|2VULN|2DMG|2DUR|1TLV|1AART	17VULN|2CGEN|3AART|47DUR|57DMG|6RCR|7BPWR|8MBVNT|9LIT|aTLV
58	34221 25421	1	   	261.90	DCR|2VULN|2DMG|2DUR|1TLV|1AART	17VULN|2ERES|3AART|47DUR|57DMG|6RCR|7BPWR|8MBVNT|9LIT|aTLV
59	32613 25141	1	 * 	261.87	DCR|2VULN|2DMG|2TLV|2DUR|1AART	17VULN|29DUR|37DMG|47TLV|5AART|6RCR|7BPWR|8BEXP|aRMIN
60	32613 25142	1	   	261.87	DCR|2VULN|2DMG|2TLV|2DUR|1AART	17VULN|29DUR|37DMG|47TLV|5AART|6RCR|7BPWR|8BEXP|aLHND
61	32613 25162	1	   	261.87	DCR|2VULN|2DMG|2TLV|2DUR|1AART	17VULN|2aDUR|37DMG|47TLV|5AART|6RCR|7BPWR|8BEXP|9LWND
62	32421 21513	4	   	261.77	DCR|2VULN|2DMG|2TLV|2DUR|1AART	18VULN|2MLV|38DUR|4AART|58DMG|6RCR|7BBNT|8BPWR|9aTLV
63	32424 21513	5	   	261.77	DCR|2VULN|2DMG|2TLV|2DUR|1AART	18VULN|2MLV|38DUR|4AART|58DMG|6RCR|7BBNT|8BPWR|9aTLV
64	32613 21522	1	   	261.77	DCR|2VULN|2DMG|2TLV|2DUR|1AART	18VULN|2aDUR|38DMG|48TLV|5AART|6RCR|7BBNT|8BPWR|9LWND
65	32613 21542	1	   	261.77	DCR|2VULN|2DMG|2TLV|2DUR|1AART	18VULN|2aDUR|38DMG|48TLV|5AART|6RCR|7BBNT|8BPWR|9BEXP
66	32613 25132	1	   	261.77	DCR|2VULN|2DMG|2TLV|2DUR|1AART	17VULN|2aDUR|37DMG|47TLV|5AART|6RCR|7BPWR|8BEXP|9TBNT
67	32613 25143	1	   	261.77	DCR|2VULN|2DMG|2TLV|2DUR|1AART	17VULN|29DUR|37DMG|47TLV|5AART|6RCR|7BPWR|8BEXP|aERES
68	32613 25412	1	   	261.77	DCR|2VULN|2DMG|2TLV|2DUR|1AART	17VULN|2aDUR|37DMG|47TLV|5AART|6RCR|7BPWR|8MBVNT|9BEXP
69	36413 21522	3	   	261.77	DCR|2VULN|2DMG|2TLV|2DUR|1AART	18VULN|2aDUR|38DMG|48TLV|5AART|6RCR|7BBNT|8BPWR|9LWND
70	36413 25132	3	   	261.77	DCR|2VULN|2DMG|2TLV|2DUR|1AART	17VULN|2aDUR|37DMG|47TLV|5AART|6RCR|7BPWR|8BEXP|9TBNT
71	36613 21522	2	   	261.77	DCR|2VULN|2DMG|2TLV|2DUR|1AART	18VULN|2aDUR|38DMG|48TLV|5AART|6RCR|7BBNT|8BPWR|9LWND
72	36613 25132	2	   	261.77	DCR|2VULN|2DMG|2TLV|2DUR|1AART	17VULN|2aDUR|37DMG|47TLV|5AART|6RCR|7BPWR|8BEXP|9TBNT
73	32221 21513	2	   	261.77	DCR|2VULN|2DMG|2TLV|2DUR|1AART	18VULN|2MLV|3AART|48DUR|58DMG|6RCR|7BBNT|8BPWR|9aTLV
74	33151 32314	1	 * 	261.65	DCR|3VULN|3DMG|3CDMG	139VULN|2ASPD|4TBNT|589DMG|69aCDMG|7RCR|9BPWR
75	32613 25322	1	   	260.94	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG|1AART	17VULN|2DUR|37DMG|47TLV|5AART|6RCR|7BPWR|8CDMG|9LWND|aRCVC
76	32613 25324	1	   	260.94	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG|1AART	17VULN|2DUR|37DMG|47TLV|5AART|6RCR|7BPWR|8CDMG|9LWND|aFEWX
77	32613 25326	1	   	260.94	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG|1AART	17VULN|2DUR|37DMG|47TLV|5AART|6RCR|7BPWR|8CDMG|9LWND|aLHND
78	32613 25332	1	   	260.94	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG|1AART	17VULN|2DUR|37DMG|47TLV|5AART|6RCR|7BPWR|8CDMG|9LHND|aRCVC
79	32613 25334	1	   	260.94	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG|1AART	17VULN|2DUR|37DMG|47TLV|5AART|6RCR|7BPWR|8CDMG|9LHND|aFEWX
80	32613 25336	1	   	260.94	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG|1AART	17VULN|2DUR|37DMG|47TLV|5AART|6RCR|7BPWR|8CDMG|9aLHND
81	32613 25362	1	   	260.94	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG|1AART	17VULN|2DUR|37DMG|47TLV|5AART|6RCR|7BPWR|8CDMG|9FEWX|aRCVC
82	36413 25322	3	   	260.94	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG|1AART	17VULN|2DUR|37DMG|47TLV|5AART|6RCR|7BPWR|8CDMG|9LWND|aRCVC
83	36413 25332	3	   	260.94	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG|1AART	17VULN|2DUR|37DMG|47TLV|5AART|6RCR|7BPWR|8CDMG|9LHND|aRCVC
84	36613 25322	2	   	260.94	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG|1AART	17VULN|2DUR|37DMG|47TLV|5AART|6RCR|7BPWR|8CDMG|9LWND|aRCVC
85	36613 25332	2	   	260.94	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG|1AART	17VULN|2DUR|37DMG|47TLV|5AART|6RCR|7BPWR|8CDMG|9LHND|aRCVC
86	12215 33114	1	 * 	260.89	DCR|4VULN|2TLV|1CDMG|1AART	18DUST|2AART|3489VULN|5CDMG|6ASPD|78TLV|8BPWR|aRCR
87	16215 33114	2	   	260.89	DCR|4VULN|2TLV|1CDMG|1AART	18DUST|2AART|3489VULN|5CDMG|6ASPD|78TLV|8BPWR|aRCR
88	32613 21516	1	   	260.84	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG|1AART	18VULN|2DUR|38DMG|48TLV|5AART|6RCR|7BBNT|8BPWR|9MLV|aCDMG
89	32613 25236	1	   	260.84	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG|1AART	17VULN|2DUR|37DMG|47TLV|5AART|6RCR|7BPWR|8MLV|9TBNT|aCDMG
90	32613 25321	1	   	260.84	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG|1AART	17VULN|2DUR|37DMG|47TLV|5AART|6RCR|7BPWR|8CDMG|9LWND|aERES
91	32613 25331	1	   	260.84	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG|1AART	17VULN|2DUR|37DMG|47TLV|5AART|6RCR|7BPWR|8CDMG|9LHND|aERES
92	32613 25352	1	   	260.84	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG|1AART	17VULN|2DUR|37DMG|47TLV|5AART|6RCR|7BPWR|8CDMG|9MBVNT|aRCVC
93	32613 25361	1	   	260.84	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG|1AART	17VULN|2DUR|37DMG|47TLV|5AART|6RCR|7BPWR|8CDMG|9FEWX|aERES
94	32613 25434	1	   	260.84	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG|1AART	17VULN|2DUR|37DMG|47TLV|5AART|6RCR|7BPWR|8MBVNT|9MLV|aCDMG
95	36413 25321	3	   	260.84	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG|1AART	17VULN|2DUR|37DMG|47TLV|5AART|6RCR|7BPWR|8CDMG|9LWND|aERES
96	36413 25331	3	   	260.84	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG|1AART	17VULN|2DUR|37DMG|47TLV|5AART|6RCR|7BPWR|8CDMG|9LHND|aERES
97	36613 25321	2	   	260.84	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG|1AART	17VULN|2DUR|37DMG|47TLV|5AART|6RCR|7BPWR|8CDMG|9LWND|aERES
98	36613 25331	2	   	260.84	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG|1AART	17VULN|2DUR|37DMG|47TLV|5AART|6RCR|7BPWR|8CDMG|9LHND|aERES
99	32613 25351	1	   	260.74	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG|1AART	17VULN|2DUR|37DMG|47TLV|5AART|6RCR|7BPWR|8CDMG|9MBVNT|aERES
100	32613 21532	1	   	260.59	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG|1AART|1SELL	18VULN|2DUR|38DMG|48TLV|5AART|6RCR|7BBNT|8BPWR|9SELL|aCDMG
101	36413 21532	3	   	260.59	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG|1AART|1SELL	18VULN|2DUR|38DMG|48TLV|5AART|6RCR|7BBNT|8BPWR|9SELL|aCDMG
102	36613 21532	2	   	260.59	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG|1AART|1SELL	18VULN|2DUR|38DMG|48TLV|5AART|6RCR|7BBNT|8BPWR|9SELL|aCDMG
103	31421 21551	4	   	260.49	DCR|3VULN|2DMG|2DUR|1AART	18aVULN|2CGEN|38DUR|4AART|58DMG|6RCR|7BBNT|8BPWR|9LIT
104	32421 21551	4	   	260.49	DCR|3VULN|2DMG|2DUR|1AART	18aVULN|2MLV|38DUR|4AART|58DMG|6RCR|7BBNT|8BPWR|9LIT
105	31221 21551	2	   	260.49	DCR|3VULN|2DMG|2DUR|1AART	18aVULN|2CGEN|3AART|48DUR|58DMG|6RCR|7BBNT|8BPWR|9LIT
106	31221 25427	2	   	260.49	DCR|3VULN|2DMG|2DUR|1AART	17aVULN|2CGEN|3AART|47DUR|57DMG|6RCR|7BPWR|8MBVNT|9LIT
107	32221 21551	2	   	260.49	DCR|3VULN|2DMG|2DUR|1AART	18aVULN|2MLV|3AART|48DUR|58DMG|6RCR|7BBNT|8BPWR|9LIT
108	32221 25427	2	   	260.49	DCR|3VULN|2DMG|2DUR|1AART	17aVULN|2MLV|3AART|47DUR|57DMG|6RCR|7BPWR|8MBVNT|9LIT
109	34221 21551	1	   	260.39	DCR|3VULN|2DMG|2DUR|1AART	18aVULN|2ERES|3AART|48DUR|58DMG|6RCR|7BBNT|8BPWR|9LIT
110	12215 33152	1	   	259.90	DCR|3VULN|2TLV|1DMG|1CDMG|1AART	18DUST|2AART|348VULN|5CDMG|6ASPD|78TLV|8BPWR|9RCR|aDMG
111	16215 33152	2	   	259.90	DCR|3VULN|2TLV|1DMG|1CDMG|1AART	18DUST|2AART|348VULN|5CDMG|6ASPD|78TLV|8BPWR|9RCR|aDMG
112	32145 22336	2	 * 	259.35	DCR|5VULN|1TLV|1DMG|1SELL	13467VULN|2MLV|5TLV|8SELL|9DMG|aRCR
113	33326 21415	1	 * 	258.84	DCR|4VULN|2DUR|2LIT|1AART	1569VULN|2ASPD|3AART|49DUR|79LIT|8RPLT|9BPWR|aRCR
114	33326 21435	1	   	258.84	DCR|4VULN|2DUR|2LIT|1AART	156aVULN|2ASPD|3AART|4aDUR|7aLIT|8RPLT|9RCR|aBPWR
115	32613 23345	1	   	257.96	DCR|2VULN|2DUR|1TLV|1DMG|1CDMG|1AART	1aVULN|27DUR|3DMG|4TLV|5AART|6RCR|8CDMG|9ASPD
