0	Index      	 *	Score 	Summary	Detail	
1	13133 34336	 * 	199.51	DCR|3VULN|3DMG|3ZMB	19aDMG|2BEXP|39aZMB|4FEWX|5DUST|6RCR|7MBVNT|89aVULN|9aBPWR
39	33144 22142	   	182.98	DCR|3VULN|1AART|1DMG|2CDMG|1DUR	18CDMG|2DUR|345VULN|6AART|7DMG|9RCR|aCGEN
40	33144 22143	   	182.88	DCR|3VULN|1AART|1DMG|2CDMG|1DUR	18CDMG|2DUR|345VULN|6AART|7DMG|9RCR|aNUKE
41	11113 11515	 * 	182.48	DCR|3DMG|2AART|1VULN|1CDMG	135DMG|2CDMG|4CGEN|67AART|8VULN|9RCR|aRCVC
42	58338 32334	 * 	182.43	DCR|2AART|2VULN|1DMG|1FLTHEA|1ZMB	1MBVNT|2DMG|3LIT|49AART|5aVULN|6FLTHEA|7RCR|8ZMB
43	11141 52632	   	182.37	DCR|3DMG|2VULN|2CDMG|1DUR	138DMG|29CDMG|4RPLT|59VULN|6RCR|79LWND|9BPWR|aDUR
44	13233 34336	   	182.12	DCR|3VULN|3DMG|1ZMB	19aDMG|2BEXP|39aLWND|4ZMB|5DUST|6RCR|7MBVNT|89aVULN|9aBPWR
45	13433 34336	   	182.02	DCR|3VULN|3DMG|1ZMB	19aDMG|29aBEXP|3LEGI|4ZMB|5DUST|6RCR|7MBVNT|89aVULN|9aBPWR
46	34123 15315	 * 	181.82	DCR|2VULN|2DMG|3CDMG|1AART	147CDMG|2BEXP|37VULN|57DMG|6AART|7BPWR|8RPLT|9LWND|aRCR
47	34123 15335	   	181.82	DCR|2VULN|2DMG|3CDMG|1AART	147CDMG|2BEXP|37VULN|57DMG|6AART|7BPWR|8RPLT|9FEWX|aRCR
48	34123 15325	   	181.72	DCR|2VULN|2DMG|3CDMG|1AART	147CDMG|2BEXP|37VULN|57DMG|6AART|7BPWR|8RPLT|9LEGI|aRCR
49	32143 13562	   	181.43	DCR|4VULN|1AART|1DMG|1CDMG	1CDMG|2389VULN|4BEXP|5DMG|6AART|7FEWX|aRCR
50	32144 22362	   	181.43	DCR|4VULN|1AART|1DMG|1CDMG	1CDMG|2359VULN|4BEXP|6AART|7DMG|8FEWX|aRCR
51	32165 26241	   	181.37	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|235VULN|4MBVNT|6AART|7RCR|8CGEN|9DMG|aDUR
52	11342 61133	   	181.35	DCR|3DMG|2VULN|1CDMG|2DUR	17aDMG|2CDMG|3aDUR|4RMIN|5BEXP|6RCR|8LHND|9aVULN|aBPWR
53	31144 22362	   	181.33	DCR|4VULN|1AART|1DMG|1CDMG	1CDMG|2DUST|3459VULN|6AART|7DMG|8FEWX|aRCR
54	32114 22362	   	181.33	DCR|4VULN|1AART|1DMG|1CDMG	1CDMG|2359VULN|4LEGI|6AART|7DMG|8FEWX|aRCR
55	11143 53224	   	181.33	DCR|2DMG|2AART|1VULN|1CDMG|1ZMB	13DMG|2CDMG|4RPLT|5CGEN|6aAART|7RCR|8ZMB|9VULN
56	11345 61133	   	181.25	DCR|3DMG|2VULN|1CDMG|2DUR	17aDMG|2CDMG|3aDUR|4RMIN|5DUST|6RCR|8LHND|9aVULN|aBPWR
57	11113 11512	   	181.18	DCR|3DMG|2AART|1VULN|1CDMG	135DMG|2CDMG|4CGEN|67AART|8VULN|9RCR|aMLV
58	11113 11513	   	181.18	DCR|3DMG|2AART|1VULN|1CDMG	135DMG|2CDMG|4CGEN|67AART|8VULN|9RCR|aRPLT
59	11113 11514	   	181.18	DCR|3DMG|2AART|1VULN|1CDMG	135DMG|2CDMG|4CGEN|67AART|8VULN|9RCR|aBELT
60	32133 46423	   	180.97	DCR|4VULN|1DMG|1CDMG|1ZMB|1ASPD	1CDMG|2389VULN|4ASPD|5ZMB|6LSRICY|7RCR|aDMG
61	53634 33842	   	180.66	DCR|2VULN|2DMG|1AART|1CDMG	1MBVNT|2aBEXP|3AART|4CGEN|5aDMG|6RCR|7DUST|8CDMG|9aVULN|aBPWR
62	33124 22362	   	180.58	DCR|3VULN|1AART|1DMG|2CDMG|1DUR	14CDMG|2DUR|359VULN|6AART|7DMG|8FEWX|aRCR
63	58142 11741	   	180.32	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1MBVNT|28DMG|3ZMB|4AART|5CDMG|6RCR|7DMSP|9VULN|aDUR
64	32333 25452	   	180.22	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1CDMG|29VULN|3RCVC|4ASPD|5ZMB|6AART|7RCR|8BELT|aDMG
65	58142 14621	   	180.22	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1MBVNT|2DMG|3ZMB|4AART|5CDMG|6RCR|7DUST|8aVULN|9DUR
66	11141 52612	   	179.92	DCR|3DMG|2VULN|1CDMG|1ZMB	138DMG|2CDMG|4RPLT|5aVULN|6RCR|7LWND|9ZMB
67	11113 26366	 * 	179.90	DCR|3DMG|2VULN|1CDMG|1FLTHEA|1DUR	135DMG|2CDMG|4CGEN|6FLTHEA|78VULN|9DUR|aRCR
68	32165 26433	 * 	179.82	DCR|4VULN|2AART|1CDMG	1CDMG|2359VULN|4MBVNT|6aAART|7RCR|8LSRHEA
69	58142 12633	   	179.69	DCR|2DMG|1AART|1VULN|2CDMG|1ZMB	1MBVNT|29DMG|3ZMB|4AART|5aCDMG|6RCR|7LWND|8VULN
70	58142 14643	   	179.59	DCR|2VULN|1AART|1DMG|2CDMG|1ZMB	1MBVNT|2DMG|3ZMB|4AART|5aCDMG|6RCR|7DUST|89VULN
71	58114 44471	   	179.57	DCR|2VULN|2DMG|1AART|2ZMB	1MBVNT|29DMG|39ZMB|4BEXP|5MLV|6RCR|7AART|89VULN|9BPWR|aLWND
72	58114 44473	   	179.57	DCR|2VULN|2DMG|1AART|2ZMB	1MBVNT|29DMG|39ZMB|4BEXP|5MLV|6RCR|7AART|89VULN|9BPWR|aLIT
73	58114 44474	   	179.57	DCR|2VULN|2DMG|1AART|2ZMB	1MBVNT|29DMG|39ZMB|4BEXP|5MLV|6RCR|7AART|89VULN|9BPWR|aFEWX
74	58134 44471	   	179.57	DCR|2VULN|2DMG|1AART|2ZMB	1MBVNT|29DMG|39ZMB|4FEWX|5MLV|6RCR|7AART|89VULN|9BPWR|aLWND
75	58134 44473	   	179.57	DCR|2VULN|2DMG|1AART|2ZMB	1MBVNT|29DMG|39ZMB|4FEWX|5MLV|6RCR|7AART|89VULN|9BPWR|aLIT
76	58134 44474	   	179.57	DCR|2VULN|2DMG|1AART|2ZMB	1MBVNT|29DMG|39ZMB|4FEWX|5MLV|6RCR|7AART|89VULN|9BPWR|aBEXP
77	32132 15362	 * 	179.56	DCR|3VULN|1AART|2CDMG|2ASPD|2DUR	17CDMG|239VULN|47ASPD|57DUR|6AART|7BPWR|8FEWX|aRCR
78	33144 22322	   	179.56	DCR|3VULN|1AART|1DMG|1CDMG|2DUR	1CDMG|29DUR|345VULN|6AART|7DMG|8FEWX|aRCR
79	33154 22362	   	179.56	DCR|3VULN|1AART|1DMG|1CDMG|2DUR	1CDMG|24DUR|359VULN|6AART|7DMG|8FEWX|aRCR
80	52824 48431	 * 	179.38	ACR|2AART|2VULN|1DMG|1CDMG|1DUR	1MBVNT|2CDMG|38AART|4RCR|5LIT|67VULN|9DMG|aDUR
81	32133 25361	   	179.35	DCR|3VULN|1AART|1CDMG|1ZMB|1ASPD|1DUR	1CDMG|239VULN|4ASPD|5ZMB|6AART|7RCR|8BEXP|aDUR
82	32133 25511	   	179.35	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR|1ASPD	1CDMG|238VULN|4ASPD|5ZMB|6AART|7RCR|9LWND|aDUR
83	32133 25541	   	179.35	DCR|3VULN|1AART|1CDMG|1ZMB|1ASPD|1DUR	1CDMG|238VULN|4ASPD|5ZMB|6AART|7RCR|9LHND|aDUR
84	32133 25561	   	179.25	DCR|3VULN|1AART|1CDMG|1ZMB|1ASPD|1DUR	1CDMG|238VULN|4ASPD|5ZMB|6AART|7RCR|9MBVNT|aDUR
85	32343 15362	   	179.18	DCR|2VULN|2DMG|1AART|2CDMG	17CDMG|29VULN|3RCVC|47BEXP|57DMG|6AART|7BPWR|8FEWX|aRCR
86	14364 11113	   	179.17	DCR|2VULN|2DMG|1AART|1CDMG	17DMG|2BELT|347BEXP|57VULN|6RCR|7BPWR|8AART|9CDMG|aRCVC
87	11432 12552	   	178.70	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1aDMG|2CDMG|3aMLV|4DUR|5BEXP|6AART|7LEGI|8aVULN|9RCR|aBPWR
88	11232 12552	   	178.50	DCR|2DMG|2VULN|1AART|1CDMG|1DUR	1aDMG|2CDMG|3aERES|4DUR|5BEXP|6AART|7LEGI|8aVULN|9RCR|aBPWR
89	41132 12552	   	178.50	DCR|2DMG|2VULN|1AART|1CDMG|1DUR	1aERES|2CDMG|3aDMG|4DUR|5BEXP|6AART|7LEGI|8aVULN|9RCR|aBPWR
90	11235 12552	   	178.40	DCR|2DMG|2VULN|1AART|1CDMG|1DUR	1aDMG|2CDMG|3aERES|4DUR|5DUST|6AART|7LEGI|8aVULN|9RCR|aBPWR
91	11352 61431	   	178.14	DCR|2VULN|2DMG|1CDMG|1ZMB|1ASPD|1DUR	17DMG|2CDMG|3DUR|4ZMB|5BEXP|6RCR|89VULN|aASPD
92	32133 25121	   	178.12	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1CDMG|23VULN|4ASPD|5ZMB|6AART|7RCR|8LWND|9DMG|aRCVC
93	13243 34336	   	178.06	DCR|3VULN|3DMG|1ASPD	19aDMG|2BEXP|39aLWND|4ASPD|5DUST|6RCR|7MBVNT|89aVULN|9aBPWR
94	32133 25621	   	178.02	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1CDMG|23VULN|4ASPD|5ZMB|6AART|7RCR|8LEGI|9DMG|aRCVC
95	12133 33433	   	177.77	DCR|2VULN|2DMG|1AART|2ZMB	18DMG|2LHND|38ZMB|4FEWX|5DUST|6RCR|78VULN|8BPWR|9LWND|aAART
96	12233 33453	   	177.77	DCR|2VULN|2DMG|1AART|2ZMB	18DMG|2LHND|38LWND|49ZMB|5DUST|6RCR|78VULN|8BPWR|aAART
97	13233 33456	   	177.77	DCR|2VULN|2DMG|1AART|2ZMB	18DMG|2BEXP|38LWND|49ZMB|5DUST|6RCR|78VULN|8BPWR|aAART
98	14364 11112	   	177.76	DCR|2VULN|2DMG|1AART|1CDMG	17DMG|2BELT|347BEXP|57VULN|6RCR|7BPWR|8AART|9CDMG|aERES
99	11115 33643	   	177.47	DCR|3VULN|3DMG|1CDMG	138DMG|2CDMG|48CGEN|568VULN|7RPLT|8BPWR|9RCR|aDUST
100	11115 42362	   	177.47	DCR|3VULN|3DMG|1CDMG	136DMG|2CDMG|4CGEN|567VULN|6BPWR|8LIT|9RCR|aLWND
101	11115 31452	   	177.37	DCR|3VULN|3DMG|1CDMG	137DMG|2CDMG|4CGEN|568VULN|9RCR|aBEXP
102	11115 31453	   	177.37	DCR|3VULN|3DMG|1CDMG	137DMG|2CDMG|4CGEN|568VULN|9RCR|aLIT
103	11115 42363	   	177.37	DCR|3VULN|3DMG|1CDMG	136DMG|2CDMG|4CGEN|567VULN|6BPWR|8LIT|9RCR|aERES
104	11113 16515	 * 	177.35	DCR|3DMG|1AART|1VULN|2CDMG	135DMG|27CDMG|4CGEN|6AART|8VULN|9RCR|aRCVC
105	57151 14143	 * 	177.23	DCR|2VULN|1AART|1DMG|2ZMB|1CDMG	1MBVNT|23ZMB|4AART|59VULN|6RCR|7RPLT|8DMG|aCDMG
106	57153 31222	 * 	177.01	DCR|2VULN|3ZMB|1AART|1DMG	1MBVNT|235ZMB|4AART|6RCR|7DUST|89VULN|aDMG
107	57153 31242	   	177.01	DCR|2VULN|3ZMB|1AART|1DMG	1MBVNT|235ZMB|4AART|6RCR|79DUST|89VULN|9BPWR|aDMG
108	12441 25312	   	176.98	DCR|2VULN|2DMG|1AART|2CDMG	17DMG|2LHND|3DMSP|4AART|57VULN|67CDMG|7BPWR|89FEWX|aRCR
109	14343 11632	   	176.83	DCR|3DMG|2VULN|2CDMG|1ZMB	167DMG|2BELT|3BEXP|47VULN|57CDMG|7BPWR|8LWND|9ZMB|aRCR
110	32133 25122	   	176.82	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1CDMG|23VULN|4ASPD|5ZMB|6AART|7RCR|8LWND|9DMG|aLHND
111	32133 25123	   	176.82	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1CDMG|23VULN|4ASPD|5ZMB|6AART|7RCR|8LWND|9DMG|aCGEN
112	32133 25322	   	176.82	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1CDMG|23VULN|4ASPD|5ZMB|6AART|7RCR|8BEXP|9DMG|aCGEN
113	32133 25323	   	176.82	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1CDMG|23VULN|4ASPD|5ZMB|6AART|7RCR|8aBEXP|9DMG
114	32133 25325	   	176.82	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1CDMG|23VULN|4ASPD|5ZMB|6AART|7RCR|8BEXP|9DMG|aLHND
115	57351 14143	   	176.78	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1MBVNT|2ZMB|3RCVC|4AART|59VULN|6RCR|7RPLT|8DMG|aCDMG
116	14146 11332	   	176.73	DCR|3DMG|2VULN|2CDMG|1ZMB	167DMG|2BELT|3LEGI|47VULN|57CDMG|7BPWR|8BEXP|9ZMB|aRCR
117	11141 51343	   	176.72	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	13DMG|2CDMG|4RPLT|5VULN|6RCR|7ERES|8DUR|9ZMB|aAART
118	32133 25125	   	176.72	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1CDMG|23VULN|4ASPD|5ZMB|6AART|7RCR|8LWND|9DMG|aLEGI
119	32133 25126	   	176.72	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1CDMG|23VULN|4ASPD|5ZMB|6AART|7RCR|8LWND|9DMG|aDUST
120	32133 25326	   	176.72	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1CDMG|23VULN|4ASPD|5ZMB|6AART|7RCR|8BEXP|9DMG|aERES
121	32133 25622	   	176.72	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1CDMG|23VULN|4ASPD|5ZMB|6AART|7RCR|8LEGI|9DMG|aLHND
122	32133 25623	   	176.72	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1CDMG|23VULN|4ASPD|5ZMB|6AART|7RCR|8LEGI|9DMG|aCGEN
123	11133 62516	 * 	176.67	DCR|3DMG|2VULN|3CDMG	135DMG|29aCDMG|4RMIN|6aBEXP|7aVULN|8RCR|aBPWR
124	32314 16263	   	176.63	DCR|3VULN|1AART|1DMG|1CDMG	1CDMG|259VULN|3RCVC|4LEGI|6MLV|7RCR|8AART|aDMG
125	32133 25626	   	176.62	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1CDMG|23VULN|4ASPD|5ZMB|6AART|7RCR|8LEGI|9DMG|aERES
126	11113 42533	   	176.57	DCR|3DMG|1AART|1VULN|1CDMG|1DUR	135DMG|2CDMG|4CGEN|6DUR|7VULN|8RCR|9DUST|aAART
127	11133 42533	   	176.57	DCR|3DMG|1AART|1VULN|1CDMG|1DUR	135DMG|2CDMG|4RMIN|6DUR|7VULN|8RCR|9DUST|aAART
128	33121 36536	 * 	176.28	DCR|4VULN|1DMG|2CDMG|1DUR	14CDMG|2DUR|369aVULN|5MLV|7RCR|8DMG
129	33123 36536	   	176.28	DCR|4VULN|1DMG|2CDMG|1DUR	14CDMG|2DUR|369aVULN|5CGEN|7RCR|8DMG
130	32133 25263	 * 	176.26	DCR|3VULN|1AART|2ZMB|1CDMG|1ASPD	1CDMG|239VULN|4ASPD|5aZMB|6AART|7RCR|8CGEN
131	32133 25363	   	176.26	DCR|3VULN|1AART|2ZMB|1CDMG|1ASPD	1CDMG|239VULN|4ASPD|5aZMB|6AART|7RCR|8BEXP
132	32133 25523	   	176.26	DCR|3VULN|1AART|2ZMB|1CDMG|1ASPD	1CDMG|238VULN|4ASPD|5aZMB|6AART|7RCR|9CGEN
133	52864 14133	   	176.23	DCR|2DMG|1AART|1VULN|2CDMG|1DUR	1MBVNT|2aCDMG|3AART|4VULN|5DUR|6RCR|7RMIN|89DMG
134	33131 53653	   	176.20	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1CDMG|2DUR|37VULN|4BEXP|5RPLT|68DMG|9RCR|aAART
135	11353 52153	   	176.13	DCR|2DMG|1AART|1VULN|2CDMG|1ZMB|1DUR	17DMG|27CDMG|3DUR|4ZMB|57CGEN|6RPLT|7BPWR|8VULN|9RCR|aAART
136	11333 63653	   	176.10	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	18DMG|2CDMG|3DUR|4DUST|57VULN|6RPLT|9RCR|aAART
137	33111 53653	   	176.10	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1CDMG|2DUR|37VULN|4DUST|5RPLT|68DMG|9RCR|aAART
138	52112 47128	   	176.08	DCR|2VULN|2DMG|1AART|2CDMG	1MBVNT|28CDMG|38VULN|4DUST|5AART|6ERES|78DMG|8BPWR|9BEXP|aRCR
139	11113 16512	   	176.04	DCR|3DMG|1AART|1VULN|2CDMG	135DMG|27CDMG|4CGEN|6AART|8VULN|9RCR|aMLV
140	11113 16513	   	176.04	DCR|3DMG|1AART|1VULN|2CDMG	135DMG|27CDMG|4CGEN|6AART|8VULN|9RCR|aRPLT
141	11113 16514	   	176.04	DCR|3DMG|1AART|1VULN|2CDMG	135DMG|27CDMG|4CGEN|6AART|8VULN|9RCR|aBELT
142	32144 22141	   	176.04	DCR|3VULN|1AART|1DMG|2CDMG	18CDMG|235VULN|4BEXP|6AART|7DMG|9RCR|aFEWX
143	32144 22142	   	176.04	DCR|3VULN|1AART|1DMG|2CDMG	18CDMG|235VULN|4BEXP|6AART|7DMG|9RCR|aCGEN
144	12113 34836	   	175.96	DCR|3VULN|3DMG|3ZMB|1MSE	19aDMG|2LHND|39aZMB|4MSE|5DUST|6RCR|7MBVNT|89aVULN|9aBPWR
145	13113 34336	   	175.96	DCR|3VULN|3DMG|3ZMB|1MSE	19aDMG|2BEXP|39aZMB|4MSE|5DUST|6RCR|7MBVNT|89aVULN|9aBPWR
146	13433 31335	   	175.96	DCR|3VULN|3DMG|3ZMB|1MSE	19aDMG|2BEXP|3LEGI|49aZMB|5DUST|6RCR|7MSE|89aVULN|9aBPWR
147	15113 34336	   	175.96	DCR|3VULN|3DMG|3ZMB|1MSE	19aDMG|2MSE|39aZMB|4BEXP|5DUST|6RCR|7MBVNT|89aVULN|9aBPWR
148	15433 33335	   	175.96	DCR|3VULN|3DMG|3ZMB|1MSE	19aDMG|2MSE|3LEGI|49aZMB|5DUST|6RCR|7BEXP|89aVULN|9aBPWR
149	31144 22141	   	175.94	DCR|3VULN|1AART|1DMG|2CDMG	18CDMG|2DUST|345VULN|6AART|7DMG|9RCR|aFEWX
150	31144 22142	   	175.94	DCR|3VULN|1AART|1DMG|2CDMG	18CDMG|2DUST|345VULN|6AART|7DMG|9RCR|aCGEN
151	32114 22141	   	175.94	DCR|3VULN|1AART|1DMG|2CDMG	18CDMG|235VULN|4LEGI|6AART|7DMG|9RCR|aFEWX
152	32114 22142	   	175.94	DCR|3VULN|1AART|1DMG|2CDMG	18CDMG|235VULN|4LEGI|6AART|7DMG|9RCR|aCGEN
153	32114 22146	   	175.94	DCR|3VULN|1AART|1DMG|2CDMG	18CDMG|235VULN|4LEGI|6AART|7DMG|9RCR|aRPLT
154	32144 22143	   	175.94	DCR|3VULN|1AART|1DMG|2CDMG	18CDMG|235VULN|4BEXP|6AART|7DMG|9RCR|aNUKE
155	11351 52153	   	175.93	DCR|2DMG|1AART|1VULN|2CDMG|1ZMB|1DUR	17DMG|27CDMG|3DUR|4ZMB|57TLV|6RPLT|7BPWR|8VULN|9RCR|aAART
156	11354 22353	   	175.93	DCR|2VULN|1AART|2CDMG|1DMG|1ZMB|1DUR	1DMG|26CDMG|3DUR|4ZMB|56VULN|6BPWR|7ERES|8RPLT|9RCR|aAART
157	11141 52232	   	175.85	DCR|3DMG|2VULN|1CDMG|1DUR	139DMG|2CDMG|4RPLT|58VULN|6RCR|7LWND|aDUR
158	11141 55232	   	175.85	DCR|3DMG|2VULN|1CDMG|1DUR	139DMG|2CDMG|4RPLT|58VULN|6RCR|7BEXP|aDUR
159	52824 14833	 * 	175.85	ACR|2DMG|1AART|1VULN|2ZMB|1CDMG	1MBVNT|2CDMG|3AART|4RCR|5LIT|67ZMB|89DMG|aVULN
160	31144 22143	   	175.84	DCR|3VULN|1AART|1DMG|2CDMG	18CDMG|2DUST|345VULN|6AART|7DMG|9RCR|aNUKE
161	32114 22143	   	175.84	DCR|3VULN|1AART|1DMG|2CDMG	18CDMG|235VULN|4LEGI|6AART|7DMG|9RCR|aNUKE
