0	Index      	 *	Score 	Summary	Detail	
1	11366 12632	 * 	213.96	DCR|4VULN|2DMG|1AART|1CDMG	1258VULN|28BPWR|3DUR|48DMG|6RCR|78LWND|9AART|aCDMG
14	15166 12232	   	199.66	DCR|3VULN|2DMG|1AART|1CDMG	135VULN|2DUR|48DMG|6RCR|7LWND|9AART|aCDMG
15	11366 12232	   	199.66	DCR|3VULN|2DMG|1AART|1CDMG	125VULN|2BPWR|3DUR|48DMG|6RCR|7LWND|9AART|aCDMG
16	11113 53662	 * 	199.43	ACR|4VULN|2AART|3CDMG	1269VULN|269BPWR|37AART|469CDMG|5RCR|89LIT|aDUR
17	11113 51531	   	199.08	ACR|5VULN|2AART|2CDMG	12678VULN|26BPWR|3aAART|46CDMG|5RCR|9CGEN
18	11113 51551	   	199.08	ACR|5VULN|2AART|2CDMG	12678VULN|26BPWR|3aAART|46CDMG|5RCR|9RMIN
19	11113 53514	   	199.08	ACR|5VULN|2AART|2CDMG	1268aVULN|26BPWR|37AART|46CDMG|5RCR|9LWND
20	11113 53534	   	199.08	ACR|5VULN|2AART|2CDMG	1268aVULN|26BPWR|37AART|46CDMG|5RCR|9LHND
21	11113 16515	 * 	198.78	ACR|3VULN|2DMG|1AART|1CDMG	12aVULN|2BPWR|3AART|4CDMG|5RCR|6DUR|79DMG|8ERES
22	11113 51254	   	198.63	ACR|5VULN|1AART|2CDMG|1ZMB	1267aVULN|26BPWR|3AART|46CDMG|5RCR|8CGEN|9ZMB
23	13236 15274	   	198.11	DCR|3VULN|3DMG|2ZMB|2DUR	159VULN|24ZMB|39DUR|6RCR|7MBVNT|89aDMG|9BPWR
24	12213 54134	 * 	197.42	DCR|3VULN|3DMG|1AART	18aVULN|28aLIT|3RPLT|4RMIN|5AART|6RCR|789DMG|8aBPWR
25	13216 15274	   	197.36	DCR|3VULN|3DMG|2DUR|1ZMB	159VULN|2ZMB|39DUR|4RCVC|6RCR|7MBVNT|89aDMG|9BPWR
26	11113 53254	   	197.25	ACR|4VULN|2AART|2CDMG|1ZMB	126aVULN|26BPWR|37AART|46CDMG|5RCR|8CGEN|9ZMB
27	11113 53553	   	197.25	ACR|4VULN|2AART|2CDMG|1ZMB	1268VULN|26BPWR|37AART|46CDMG|5RCR|9RPLT|aZMB
28	11366 11353	 * 	196.47	DCR|4VULN|2DMG|2CDMG	125aVULN|2aBPWR|3DUR|4aDMG|6RCR|7LIT|8BEXP|9aCDMG
29	11366 11253	   	196.37	DCR|4VULN|2DMG|2CDMG	125aVULN|2aBPWR|3DUR|4aDMG|6RCR|7LIT|8DUST|9aCDMG
30	15166 12132	   	196.17	DCR|4VULN|1AART|1DMG|1CDMG	1358VULN|2DUR|4DMG|6RCR|7LWND|9AART|aCDMG
31	11366 12132	   	196.17	DCR|4VULN|1AART|1DMG|1CDMG	1258VULN|2BPWR|3DUR|4DMG|6RCR|7LWND|9AART|aCDMG
32	13236 12266	   	196.08	DCR|3VULN|2DMG|3ZMB|2DUR	159VULN|249ZMB|3aDUR|6RCR|7LWND|89DMG|9BPWR
33	11113 16246	 * 	195.97	ACR|2AART|2VULN|2DMG|1CDMG	12VULN|2BPWR|38AART|4CDMG|5RCR|6DUR|79DMG|aRCVC
34	11113 51612	   	194.86	ACR|4VULN|1AART|1DMG|2CDMG	1267VULN|26BPWR|3AART|46CDMG|5RCR|8LIT|9LHND|aDMG
35	11113 51624	   	194.86	ACR|4VULN|1AART|1DMG|2CDMG	1267VULN|26BPWR|3AART|46CDMG|5RCR|8LIT|9LSRICY|aDMG
36	11113 51631	   	194.86	ACR|4VULN|1AART|1DMG|2CDMG	1267VULN|26BPWR|3AART|46CDMG|5RCR|8LIT|9BELT|aDMG
37	11113 52244	   	194.86	ACR|4VULN|1AART|1DMG|2CDMG	126aVULN|26BPWR|3AART|46CDMG|5RCR|79CGEN|8DMG
38	11113 52265	   	194.86	ACR|4VULN|1AART|1DMG|2CDMG	126aVULN|26BPWR|3AART|46CDMG|5RCR|7CGEN|8DMG|9FEWX
39	11113 54213	   	194.86	ACR|4VULN|1AART|1DMG|2CDMG	126aVULN|26BPWR|3AART|46CDMG|5RCR|7LHND|8BEXP|9DMG
40	11113 54413	   	194.86	ACR|4VULN|1AART|1DMG|2CDMG	126aVULN|26BPWR|3AART|46CDMG|5RCR|7LHND|8LWND|9DMG
41	11113 51652	   	194.76	ACR|4VULN|1AART|2CDMG|1DMG	1267VULN|26BPWR|3AART|46CDMG|5RCR|8LIT|9DUST|aDMG
42	11113 52235	   	194.76	ACR|4VULN|1AART|1DMG|2CDMG	126aVULN|26BPWR|3AART|46CDMG|5RCR|7CGEN|8DMG|9DUST
43	12356 62112	   	194.71	DCR|4VULN|2DMG|1AART	1458VULN|2LIT|38TLV|6AART|78DMG|8BPWR|9RCR|aDUR
44	11113 16241	   	194.67	ACR|2AART|2DMG|2VULN|1CDMG	12VULN|2BPWR|38AART|4CDMG|5RCR|6DUR|79DMG|aLWND
45	11113 16242	   	194.67	ACR|2AART|2DMG|2VULN|1CDMG	12VULN|2BPWR|38AART|4CDMG|5RCR|6DUR|79DMG|aLHND
46	11113 56235	   	194.66	ACR|4VULN|1AART|1DMG|2CDMG	126aVULN|26BPWR|3AART|46CDMG|5RCR|7TLV|8DMG|9DUST
47	11113 16243	   	194.57	ACR|2AART|2VULN|2DMG|1CDMG	12VULN|2BPWR|38AART|4CDMG|5RCR|6DUR|79DMG|aERES
48	11113 16514	   	194.57	ACR|2AART|2VULN|2DMG|1CDMG	12VULN|2BPWR|3aAART|4CDMG|5RCR|6DUR|79DMG|8ERES
49	11113 51533	   	194.57	ACR|5VULN|1AART|2CDMG	12678VULN|26BPWR|3AART|46CDMG|5RCR|9CGEN|aDUR
50	11113 51553	   	194.57	ACR|5VULN|1AART|2CDMG	12678VULN|26BPWR|3AART|46CDMG|5RCR|9RMIN|aDUR
51	11123 12116	   	194.43	DCR|3VULN|3DMG|1AART	128VULN|28BPWR|3AART|4RCVC|5LIT|68MLV|78aDMG|9RCR
52	11123 62116	   	194.23	DCR|3VULN|3DMG|1AART	128VULN|28BPWR|3AART|4RCVC|5LIT|68ERES|78aDMG|9RCR
53	11113 51152	   	194.05	ACR|4VULN|1AART|2CDMG|1ZMB	1267VULN|26BPWR|3AART|46CDMG|5RCR|8ASPD|9ZMB|aRCVC
54	11113 51635	   	193.87	ACR|5VULN|1AART|3CDMG	1267aVULN|26aBPWR|3AART|46aCDMG|5RCR|8aLIT|9BELT
55	11113 51661	   	193.87	ACR|5VULN|1AART|3CDMG	12679VULN|269BPWR|3AART|469CDMG|5RCR|89LIT|aBEXP
56	11113 51663	   	193.87	ACR|5VULN|1AART|3CDMG	12679VULN|269BPWR|3AART|469CDMG|5RCR|89LIT|aCGEN
57	11113 51463	   	193.67	ACR|5VULN|1AART|3CDMG	1267aVULN|26BPWR|3AART|469CDMG|5RCR|8BEXP
58	11123 44126	 * 	193.63	DCR|3VULN|2DMG|1AART|2ZMB	127VULN|27BPWR|3AART|4RCVC|57LIT|67ZMB|8aDMG|9RCR
59	11113 53552	   	193.19	ACR|4VULN|2AART|2CDMG	1268VULN|26BPWR|37AART|46CDMG|5RCR|9RPLT|aASPD
60	11113 52256	   	193.07	ACR|3VULN|1AART|1DMG|2CDMG|1ZMB	126VULN|26BPWR|3AART|46CDMG|5RCR|7CGEN|8DMG|9ZMB|aRCVC
61	11356 12261	   	192.80	DCR|4VULN|2DMG|2DUR|1ZMB	1259VULN|29BPWR|39DUR|4ZMB|6RCR|7LWND|89DMG|aFEWX
62	11356 12263	   	192.80	DCR|4VULN|2DMG|2DUR|1ZMB	1259VULN|29BPWR|39DUR|4ZMB|6RCR|7LWND|89DMG|aLHND
63	11113 51153	   	192.74	ACR|4VULN|1AART|2CDMG|1ZMB	1267VULN|26BPWR|3AART|46CDMG|5RCR|8ASPD|9ZMB|aLHND
64	11113 11223	 * 	192.74	ACR|3VULN|2AART|1DMG|1CDMG	128VULN|2BPWR|3aAART|4CDMG|5RCR|6DUR|7LIT|9DMG
65	11113 13123	   	192.74	ACR|3VULN|2AART|1DMG|1CDMG	127VULN|2BPWR|3aAART|4CDMG|5RCR|6DUR|8LIT|9DMG
66	11113 16235	   	192.74	ACR|3VULN|2AART|1DMG|1CDMG	12aVULN|2BPWR|38AART|4CDMG|5RCR|6DUR|7DMG|9MLV
67	11356 12262	   	192.70	DCR|4VULN|2DMG|2DUR|1ZMB	1259VULN|29BPWR|39DUR|4ZMB|6RCR|7LWND|89DMG|aNUKE
68	12213 54133	   	192.67	DCR|3DMG|2VULN|1AART|1ZMB	18VULN|28LIT|3RPLT|4RMIN|5AART|6RCR|789DMG|8BPWR|aZMB
69	11113 51151	   	192.64	ACR|4VULN|1AART|2CDMG|1ZMB	1267VULN|26BPWR|3AART|46CDMG|5RCR|8ASPD|9ZMB|aDUST
70	11113 16265	   	192.64	ACR|3VULN|2AART|1DMG|1CDMG	12aVULN|2BPWR|38AART|4CDMG|5RCR|6DUR|7DMG|9ERES
71	11266 13232	   	192.62	DCR|3VULN|2DMG|1AART|1CDMG	125VULN|2BPWR|3LWND|48DMG|6RCR|7DUST|9AART|aCDMG
72	11113 53635	   	192.49	ACR|4VULN|2AART|3CDMG	126aVULN|26aBPWR|37AART|46aCDMG|5RCR|8aLIT|9BELT
73	11113 53663	   	192.49	ACR|4VULN|2AART|3CDMG	1269VULN|269BPWR|37AART|469CDMG|5RCR|89LIT|aMLV
74	11163 44312	   	192.48	DCR|3VULN|1AART|1DMG|2ASPD|1CDMG	128VULN|28BPWR|3AART|4CGEN|58ASPD|6RCR|78LHND|9DMG|aCDMG
75	11113 53661	   	192.39	ACR|4VULN|2AART|3CDMG	1269VULN|269BPWR|37AART|469CDMG|5RCR|89LIT|aDUST
76	11153 44312	   	192.38	DCR|3VULN|1AART|1DMG|2ASPD|1CDMG	128VULN|28BPWR|3AART|4ERES|58ASPD|6RCR|78LHND|9DMG|aCDMG
77	11113 53463	   	192.29	ACR|4VULN|2AART|3CDMG	126aVULN|26BPWR|37AART|469CDMG|5RCR|8BEXP
78	11163 42312	   	192.28	DCR|3VULN|1AART|1DMG|2ASPD|1CDMG	128VULN|28BPWR|3AART|4CGEN|58ASPD|6RCR|78DUST|9DMG|aCDMG
79	11113 52264	 * 	192.21	ACR|3VULN|2AART|1DMG|2CDMG	126VULN|26BPWR|3aAART|46CDMG|5RCR|7CGEN|8DMG|9FEWX
80	11113 53612	   	192.21	ACR|3VULN|2AART|1DMG|2CDMG	126VULN|26BPWR|37AART|46CDMG|5RCR|8LIT|9LHND|aDMG
81	11113 53624	   	192.21	ACR|3VULN|2AART|1DMG|2CDMG	126VULN|26BPWR|37AART|46CDMG|5RCR|8LIT|9LSRICY|aDMG
82	11113 53631	   	192.21	ACR|3VULN|2AART|1DMG|2CDMG	126VULN|26BPWR|37AART|46CDMG|5RCR|8LIT|9BELT|aDMG
83	11113 54123	   	192.21	ACR|3VULN|2AART|1DMG|2CDMG	126VULN|26BPWR|3aAART|46CDMG|5RCR|7LHND|8LIT|9DMG
84	11153 42312	   	192.18	DCR|3VULN|1AART|1DMG|2ASPD|1CDMG	128VULN|28BPWR|3AART|4ERES|58ASPD|6RCR|78DUST|9DMG|aCDMG
85	12352 62116	   	192.13	DCR|3VULN|3DMG|1AART	148VULN|2LIT|38TLV|5RCVC|6AART|78aDMG|8BPWR|9RCR
86	11113 52234	   	192.11	ACR|3VULN|2AART|1DMG|2CDMG	126VULN|26BPWR|3aAART|46CDMG|5RCR|7CGEN|8DMG|9DUST
87	11113 53652	   	192.11	ACR|3VULN|2AART|2CDMG|1DMG	126VULN|26BPWR|37AART|46CDMG|5RCR|8LIT|9DUST|aDMG
88	11113 56253	   	192.11	ACR|3VULN|2AART|1DMG|2CDMG	126VULN|26BPWR|3aAART|46CDMG|5RCR|7TLV|8DMG|9LHND
89	11113 56234	   	192.01	ACR|3VULN|2AART|1DMG|2CDMG	126VULN|26BPWR|3aAART|46CDMG|5RCR|7TLV|8DMG|9DUST
90	13342 34553	   	191.85	DCR|3VULN|3DMG|2DUR|1ZMB	18aVULN|2ZMB|3MBVNT|489DMG|5RMIN|68DUR|7RCR|8BPWR
91	11113 26515	   	191.84	ACR|3VULN|2DMG|1AART|1CDMG	12aVULN|2BPWR|3AART|4CDMG|5RCR|6FEWX|79DMG|8ERES
92	11113 52221	   	191.77	ACR|3VULN|1AART|1DMG|2CDMG|1ZMB	126VULN|26BPWR|3AART|46CDMG|5RCR|7CGEN|8DMG|9RPLT|aZMB
93	11113 52251	   	191.77	ACR|3VULN|1AART|1DMG|2CDMG|1ZMB	126VULN|26BPWR|3AART|46CDMG|5RCR|7CGEN|8DMG|9ZMB|aLWND
94	11113 52252	   	191.77	ACR|3VULN|1AART|1DMG|2CDMG|1ZMB	126VULN|26BPWR|3AART|46CDMG|5RCR|7CGEN|8DMG|9ZMB|aLHND
95	11113 52253	   	191.67	ACR|3VULN|1AART|2CDMG|1DMG|1ZMB	126VULN|26BPWR|3AART|46CDMG|5RCR|7CGEN|8DMG|9ZMB|aERES
96	11113 56221	   	191.67	ACR|3VULN|1AART|2CDMG|1DMG|1ZMB	126VULN|26BPWR|3AART|46CDMG|5RCR|7TLV|8DMG|9RPLT|aZMB
97	11113 53152	   	191.39	ACR|3VULN|2AART|2CDMG|1ZMB	126VULN|26BPWR|37AART|46CDMG|5RCR|8ASPD|9ZMB|aRCVC
98	13342 34534	   	191.29	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	18VULN|2ZMB|3MBVNT|48DMG|5RMIN|68DUR|7RCR|8BPWR|9AART|aASPD
99	13236 12262	   	190.79	DCR|3VULN|2DMG|3ZMB	159VULN|249ZMB|3DUR|6RCR|7LWND|89DMG|9BPWR|aCGEN
100	13236 12263	   	190.79	DCR|3VULN|2DMG|3ZMB	159VULN|249ZMB|3DUR|6RCR|7LWND|89DMG|9BPWR|aLHND
101	13236 12264	   	190.79	DCR|3VULN|2DMG|3ZMB	159VULN|249ZMB|3DUR|6RCR|7LWND|89DMG|9BPWR|aFEWX
102	13236 16262	   	190.79	DCR|3VULN|2DMG|3ZMB	159VULN|249ZMB|3DUR|6RCR|7LHND|89DMG|9BPWR|aCGEN
103	13236 16263	   	190.79	DCR|3VULN|2DMG|3ZMB	159VULN|249ZMB|3DUR|6RCR|7aLHND|89DMG|9BPWR
104	11363 63633	 * 	190.72	DCR|3VULN|3DMG|2CDMG	12aVULN|2aBPWR|3DUR|46aDMG|5CGEN|7DUST|8aCDMG|9RCR
105	13236 12261	   	190.69	DCR|3VULN|2DMG|3ZMB	159VULN|249ZMB|3DUR|6RCR|7LWND|89DMG|9BPWR|aLSRHEA
106	13236 16261	   	190.69	DCR|3VULN|2DMG|3ZMB	159VULN|249ZMB|3DUR|6RCR|7LHND|89DMG|9BPWR|aLSRHEA
107	11362 63633	   	190.62	DCR|3VULN|3DMG|2CDMG	12aVULN|2aBPWR|3DUR|46aDMG|5TLV|7DUST|8aCDMG|9RCR
108	11313 15524	 * 	190.59	DCR|5VULN|1DMG|2ASPD|2DUR	1248aVULN|28BPWR|38DUR|58ASPD|6RCR|7RPLT|9DMG
109	11113 15242	   	190.33	ACR|2AART|2VULN|1DMG|2CDMG	12VULN|2BPWR|38AART|4aCDMG|5RCR|6DUR|7ASPD|9DMG
110	11366 13632	   	190.31	DCR|4VULN|2DMG|1AART|1CDMG|2MSE	1258VULN|28BPWR|3DUR|48DMG|6RCR|78MSE|9AART|aCDMG
111	11113 11442	   	190.16	ACR|2VULN|2DMG|1AART|1CDMG	12VULN|2BPWR|3AART|4CDMG|5RCR|6DUR|7LIT|8aDMG|9ASPD
112	11113 53153	   	190.09	ACR|3VULN|2AART|2CDMG|1ZMB	126VULN|26BPWR|37AART|46CDMG|5RCR|8ASPD|9ZMB|aLHND
113	11113 53151	   	189.99	ACR|3VULN|2AART|2CDMG|1ZMB	126VULN|26BPWR|37AART|46CDMG|5RCR|8ASPD|9ZMB|aDUST
114	11113 51146	   	189.98	ACR|4VULN|1AART|2CDMG	1267VULN|26BPWR|3AART|46CDMG|5RCR|8ASPD|9DUR|aRCVC
115	12355 32116	   	189.92	DCR|3VULN|3DMG|1AART	148VULN|26LIT|38TLV|5AART|78aDMG|8BPWR|9RCR
116	13342 34584	   	189.85	DCR|3DMG|2VULN|1CDMG|2DUR|1ZMB	18VULN|2ZMB|3MBVNT|48aDMG|5RMIN|68DUR|7RCR|8BPWR|9CDMG
117	11123 43126	   	189.57	DCR|3VULN|2DMG|1AART|1ZMB	127VULN|2BPWR|3AART|4RCVC|5LIT|6ZMB|8aDMG|9RCR
118	11113 16441	 * 	189.53	ACR|2VULN|2DMG|1AART|2CDMG	12VULN|2BPWR|3AART|48CDMG|5RCR|6DUR|79DMG|aLWND
119	11113 16442	   	189.53	ACR|2VULN|2DMG|1AART|2CDMG	12VULN|2BPWR|3AART|48CDMG|5RCR|6DUR|79DMG|aLHND
120	11266 11353	   	189.53	DCR|4VULN|2DMG|2CDMG	125aVULN|2aBPWR|3LWND|4aDMG|6RCR|7LIT|8BEXP|9aCDMG
121	11153 41512	   	189.51	DCR|3VULN|2DMG|1AART	12aVULN|2BPWR|3AART|4ERES|5ASPD|6RCR|7CGEN|89DMG
122	11113 16443	   	189.43	ACR|2VULN|2DMG|1AART|2CDMG	12VULN|2BPWR|3AART|48CDMG|5RCR|6DUR|79DMG|aERES
123	11266 11253	   	189.43	DCR|4VULN|2DMG|2CDMG	125aVULN|2aBPWR|3LWND|4aDMG|6RCR|7LIT|8DUST|9aCDMG
124	12353 62116	   	189.32	DCR|3VULN|3DMG|1AART	148VULN|25LIT|38TLV|6AART|78aDMG|8BPWR|9RCR
125	11113 51364	   	189.23	ACR|5VULN|1AART|2CDMG	1267aVULN|26BPWR|3AART|46CDMG|5RCR|8LHND|9RCVC
126	15163 33633	   	189.17	DCR|4VULN|2DMG|2CDMG	136aVULN|2DUR|4aDMG|5CGEN|7DUST|8aCDMG|9RCR|aBPWR
127	11363 33633	   	189.17	DCR|4VULN|2DMG|2CDMG	126aVULN|2aBPWR|3DUR|4aDMG|5CGEN|7DUST|8aCDMG|9RCR
128	11266 13132	   	189.13	DCR|4VULN|1AART|1DMG|1CDMG	1258VULN|2BPWR|3LWND|4DMG|6RCR|7DUST|9AART|aCDMG
129	11113 26246	   	189.03	ACR|2AART|2VULN|2DMG|1CDMG	12VULN|2BPWR|38AART|4CDMG|5RCR|6FEWX|79DMG|aRCVC
130	11113 51516	   	188.93	ACR|5VULN|1AART|2CDMG	12678VULN|26BPWR|3AART|46CDMG|5RCR|9FEWX|aRCVC
131	11113 51526	   	188.93	ACR|5VULN|1AART|2CDMG	12678VULN|26BPWR|3AART|46CDMG|5RCR|9LWND|aRCVC
132	11313 12261	   	188.74	DCR|4VULN|2DMG|2DUR	1249VULN|29BPWR|39DUR|5ASPD|6RCR|7LWND|89DMG|aFEWX
133	11313 12263	   	188.74	DCR|4VULN|2DMG|2DUR	1249VULN|29BPWR|39DUR|5ASPD|6RCR|7LWND|89DMG|aBEXP
134	11313 12266	   	188.74	DCR|4VULN|2DMG|2DUR	1249VULN|29BPWR|39DUR|5ASPD|6RCR|7LWND|89DMG|aLHND
135	15113 12261	   	188.74	DCR|4VULN|2DMG|2DUR	1349VULN|29DUR|5ASPD|6RCR|7LWND|89DMG|9BPWR|aFEWX
136	15113 12263	   	188.74	DCR|4VULN|2DMG|2DUR	1349VULN|29DUR|5ASPD|6RCR|7LWND|89DMG|9BPWR|aBEXP
137	15113 12266	   	188.74	DCR|4VULN|2DMG|2DUR	1349VULN|29DUR|5ASPD|6RCR|7LWND|89DMG|9BPWR|aLHND
138	11113 51141	   	188.68	ACR|4VULN|1AART|2CDMG	1267VULN|26BPWR|3AART|46CDMG|5RCR|8ASPD|9DUR|aLWND
139	11113 51142	   	188.68	ACR|4VULN|1AART|2CDMG	1267VULN|26BPWR|3AART|46CDMG|5RCR|8ASPD|9DUR|aLHND
140	11313 12264	   	188.64	DCR|4VULN|2DMG|2DUR	1249VULN|29BPWR|39DUR|5ASPD|6RCR|7LWND|89DMG|aERES
141	15113 12264	   	188.64	DCR|4VULN|2DMG|2DUR	1349VULN|29DUR|5ASPD|6RCR|7LWND|89DMG|9BPWR|aERES
142	11113 51143	   	188.58	ACR|4VULN|1AART|2CDMG	1267VULN|26BPWR|3AART|46CDMG|5RCR|8ASPD|9DUR|aERES
143	11162 21245	   	188.56	DCR|3VULN|1AART|1DMG|1CDMG|2DUR	12aVULN|2BPWR|3AART|4CGEN|58DUR|6CDMG|7RCR|9DMG
144	11313 12262	   	188.49	DCR|4VULN|2DMG|2DUR|1SELL	1249VULN|29BPWR|39DUR|5ASPD|6RCR|7LWND|89DMG|aSELL
145	15113 12262	   	188.49	DCR|4VULN|2DMG|2DUR|1SELL	1349VULN|29DUR|5ASPD|6RCR|7LWND|89DMG|9BPWR|aSELL
146	16114 51133	   	188.25	DCR|4VULN|2DMG|1CDMG|2DUR	134aVULN|2FEWX|5aDUR|6CDMG|7CGEN|8aDMG|9RCR|aBPWR
147	11414 51133	   	188.25	DCR|4VULN|2DMG|1CDMG|2DUR	124aVULN|2aBPWR|3LHND|5aDUR|6CDMG|7CGEN|8aDMG|9RCR
148	11113 53364	   	187.85	ACR|4VULN|2AART|2CDMG	126aVULN|26BPWR|37AART|46CDMG|5RCR|8LHND|9RCVC
149	11113 53521	   	187.85	ACR|4VULN|2AART|2CDMG	1268VULN|26BPWR|37AART|46CDMG|5RCR|9RCVC|aLHND
150	12356 62111	   	187.77	DCR|4VULN|2DMG|1AART	1458VULN|2aLIT|38TLV|6AART|78DMG|8BPWR|9RCR
151	12356 62113	   	187.77	DCR|4VULN|2DMG|1AART	1458VULN|2LIT|38TLV|6AART|78DMG|8BPWR|9RCR|aDMSP
152	11113 53522	   	187.75	ACR|4VULN|2AART|2CDMG	1268VULN|26BPWR|37AART|46CDMG|5RCR|9RCVC|aERES
153	11113 53526	   	187.75	ACR|4VULN|2AART|2CDMG	1268VULN|26BPWR|37AART|46CDMG|5RCR|9RCVC|aDUST
154	11113 26241	   	187.73	ACR|2AART|2DMG|2VULN|1CDMG	12VULN|2BPWR|38AART|4CDMG|5RCR|6FEWX|79DMG|aLWND
155	11113 26242	   	187.73	ACR|2AART|2DMG|2VULN|1CDMG	12VULN|2BPWR|38AART|4CDMG|5RCR|6FEWX|79DMG|aLHND
156	11113 54142	   	187.70	ACR|3VULN|1AART|1DMG|2CDMG	126VULN|26BPWR|3AART|46CDMG|5RCR|7LHND|8LIT|9DUR|aDMG
157	11115 31543	   	187.68	DCR|3VULN|2AART|1DMG|1CDMG	128VULN|2BPWR|3aAART|4CDMG|5ERES|6LHND|7RCR|9DMG
158	11113 26243	   	187.63	ACR|2AART|2VULN|2DMG|1CDMG	12VULN|2BPWR|38AART|4CDMG|5RCR|6FEWX|79DMG|aERES
159	11113 26514	   	187.63	ACR|2AART|2VULN|2DMG|1CDMG	12VULN|2BPWR|3aAART|4CDMG|5RCR|6FEWX|79DMG|8ERES
160	11113 51354	   	187.63	ACR|5VULN|1AART|2CDMG	1267aVULN|26BPWR|3AART|46CDMG|5RCR|89LHND
161	11113 51512	   	187.63	ACR|5VULN|1AART|2CDMG	12678VULN|26BPWR|3AART|46CDMG|5RCR|9FEWX|aLHND
162	11113 51513	   	187.63	ACR|5VULN|1AART|2CDMG	12678VULN|26BPWR|3AART|46CDMG|5RCR|9FEWX|aMLV
163	11113 51514	   	187.63	ACR|5VULN|1AART|2CDMG	12678VULN|26BPWR|3AART|46CDMG|5RCR|9FEWX|aLIT
164	11113 51515	   	187.63	ACR|5VULN|1AART|2CDMG	12678VULN|26BPWR|3AART|46CDMG|5RCR|9FEWX|aRPLT
165	11113 51522	   	187.63	ACR|5VULN|1AART|2CDMG	12678VULN|26BPWR|3AART|46CDMG|5RCR|9LWND|aLHND
166	11113 51523	   	187.63	ACR|5VULN|1AART|2CDMG	12678VULN|26BPWR|3AART|46CDMG|5RCR|9LWND|aMLV
167	11113 51524	   	187.63	ACR|5VULN|1AART|2CDMG	12678VULN|26BPWR|3AART|46CDMG|5RCR|9LWND|aLIT
168	11113 51525	   	187.63	ACR|5VULN|1AART|2CDMG	12678VULN|26BPWR|3AART|46CDMG|5RCR|9LWND|aRPLT
169	11113 51534	   	187.63	ACR|5VULN|1AART|2CDMG	12678VULN|26BPWR|3AART|46CDMG|5RCR|9CGEN|aBELT
170	11113 51535	   	187.63	ACR|5VULN|1AART|2CDMG	12678VULN|26BPWR|3AART|46CDMG|5RCR|9aCGEN
171	11113 51562	   	187.63	ACR|5VULN|1AART|2CDMG	12678VULN|26BPWR|3AART|46CDMG|5RCR|9aLHND
172	11122 13422	   	187.62	DCR|3VULN|2AART|2DMG	125VULN|2BPWR|37AART|4RCVC|69DMG|8FEWX|aRCR
173	11122 13622	   	187.62	DCR|3VULN|2AART|2DMG	125VULN|2BPWR|37AART|4RCVC|69DMG|8BEXP|aRCR
174	11113 16435	   	187.60	ACR|3VULN|1AART|1DMG|2CDMG	12aVULN|2BPWR|3AART|48CDMG|5RCR|6DUR|7DMG|9MLV
175	11113 51335	   	187.53	ACR|5VULN|1AART|2CDMG	1267aVULN|26BPWR|3AART|46CDMG|5RCR|8LHND|9DUST
176	11113 51511	   	187.53	ACR|5VULN|1AART|2CDMG	12678VULN|26BPWR|3AART|46CDMG|5RCR|9FEWX|aCANSTR
177	11113 51521	   	187.53	ACR|5VULN|1AART|2CDMG	12678VULN|26BPWR|3AART|46CDMG|5RCR|9LWND|aCANSTR
178	11113 51532	   	187.53	ACR|5VULN|1AART|2CDMG	12678VULN|26BPWR|3AART|46CDMG|5RCR|9CGEN|aDUST
