0	Index      	 *	Score 	Summary	Detail	
1	64332 31151	 * 	213.16	DCR|3VULN|2DMG|1AART|2ASPD|1ZMB|1DUR	1AART|29aVULN|3ZMB|49DMG|5LWND|6DUR|7RCR|89ASPD|9BPWR
52	64151 21233	   	188.88	DCR|3VULN|2AART|1DMG|1CDMG	15AART|236VULN|3BPWR|4LWND|7RCR|8DMG|9CDMG|aLEGI
53	13212 16355	   	188.49	DCR|2AART|2DMG|2VULN|2DUR	19LHND|29VULN|3aAART|46DUR|5LWND|7RCR|89DMG|9BPWR
54	62135 21261	   	188.41	DCR|3DMG|2VULN|1AART|1ASPD	1AART|25CGEN|36VULN|48aDMG|7RCR|9ASPD
55	64132 36321	   	188.31	DCR|3VULN|2DMG|1AART|1DUR	1AART|23aVULN|3BPWR|4DUST|5LWND|6DUR|7RCR|89DMG
56	62131 21213	   	188.26	DCR|2AART|2VULN|2DMG|1ZMB	15AART|2CGEN|36VULN|48DMG|7RCR|9ZMB|aFEWX
57	62131 21215	   	188.26	DCR|2AART|2DMG|2VULN|1ZMB	15AART|2CGEN|36VULN|48DMG|7RCR|9ZMB|aLWND
58	62131 21216	   	188.26	DCR|2AART|2VULN|2DMG|1ZMB	15AART|2CGEN|36VULN|48DMG|7RCR|9ZMB|aLIT
59	64123 41212	   	188.21	DCR|3VULN|2DMG|1AART|1ASPD	1AART|236VULN|3BPWR|4ERES|5ASPD|7RCR|89DMG|aDUST
60	64123 41213	   	188.21	DCR|3VULN|2DMG|1AART|1ASPD	1AART|236VULN|3BPWR|4aERES|5ASPD|7RCR|89DMG
61	66131 21213	   	188.16	DCR|2AART|2VULN|2DMG|1ZMB	15AART|2ERES|36VULN|48DMG|7RCR|9ZMB|aFEWX
62	66131 21215	   	188.16	DCR|2AART|2VULN|2DMG|1ZMB	15AART|2ERES|36VULN|48DMG|7RCR|9ZMB|aLWND
63	66131 21216	   	188.16	DCR|2AART|2VULN|2DMG|1ZMB	15AART|2ERES|36VULN|48DMG|7RCR|9ZMB|aLIT
64	21161 21264	   	187.89	DCR|2AART|2VULN|2DMG|2DUR	1RMIN|2aCGEN|36VULN|45AART|7RCR|8aDMG|9aDUR|aBPWR
65	35612 23211	   	187.74	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1RCVC|2ZMB|349VULN|5AART|6BELT|7CDMG|8RCR|aDMG
66	61531 31152	   	187.71	DCR|2VULN|2DMG|1AART|2ZMB|1ASPD	1AART|2LEGI|39ZMB|49VULN|5aLHND|6ASPD|7RCR|89DMG|9BPWR
67	61531 31153	   	187.61	DCR|2VULN|2DMG|1AART|2ZMB|1ASPD	1AART|2LEGI|39ZMB|49VULN|5LHND|6ASPD|7RCR|89DMG|9BPWR|aTLV
68	13262 36351	   	187.41	DCR|3VULN|2DMG|1AART|1DUR	149LHND|29aVULN|3AART|5LWND|6DUR|7RCR|89DMG|9BPWR
69	45531 21213	   	186.96	DCR|2AART|2VULN|2DMG|1ZMB	1ERES|26VULN|35AART|48DMG|7RCR|9ZMB|aFEWX
70	11162 36351	   	186.81	DCR|3VULN|2DMG|1AART|1DUR	129LHND|39aVULN|4AART|5LWND|6DUR|7RCR|89DMG|9BPWR
71	21162 36351	   	186.81	DCR|3VULN|2DMG|1AART|1DUR	1RMIN|29CGEN|39aVULN|4AART|5LWND|6DUR|7RCR|89DMG|9BPWR
72	64112 13263	   	186.77	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|238VULN|3BPWR|4RPLT|5DUR|6RCR|7SNIHEL|9DMG|aCDMG
73	64332 31163	   	186.76	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD|1DUR	1AART|2aVULN|3ZMB|4DMG|5LWND|6DUR|7RCR|8ASPD|9CDMG
74	64333 13321	   	186.62	DCR|2VULN|1AART|1DMG|2CDMG|2DUR|1ZMB	1AART|2aVULN|3ZMB|4DMG|58CDMG|67DUR|9RCR
75	64221 26222	   	186.53	DCR|2DMG|1AART|1VULN|1FLTHEA|1CDMG|1ZMB	1AART|2VULN|3BELT|4FLTHEA|5ZMB|68DMG|7RCR|9CDMG|aFEWX
76	64221 26223	   	186.53	DCR|2DMG|1AART|1VULN|1CDMG|1FLTHEA|1ZMB	1AART|2VULN|3BELT|4FLTHEA|5ZMB|68DMG|7RCR|9CDMG|aLWND
77	62132 36151	   	186.50	DCR|2VULN|2DMG|1AART|2ASPD|1DUR	1AART|29CGEN|3aVULN|49DMG|5LWND|6DUR|7RCR|89ASPD|9BPWR
78	64123 11231	   	186.33	DCR|2VULN|1AART|1DMG|1CDMG|2ASPD|1ZMB	1AART|23VULN|3BPWR|4ERES|56ASPD|7RCR|8DMG|9CDMG|aZMB
79	62131 21461	   	186.10	DCR|2AART|2VULN|2DMG|1ASPD	15AART|2CGEN|36VULN|4aDMG|7RCR|8RCVC|9ASPD
80	33132 36355	   	185.90	DCR|2AART|2DMG|2VULN|1DUR	1RCVC|29LWND|39VULN|4DUST|5aAART|6DUR|7RCR|89DMG|9BPWR
81	42253 33351	 * 	185.78	DCR|2VULN|2DMG|1AART|2CDMG	19ERES|29CDMG|3BEXP|4RPLT|5AART|6RCR|7aVULN|89DMG|9BPWR
82	64333 24121	   	185.64	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1AART|26aVULN|3ZMB|4DMG|5CDMG|7FEWX|8RCVC|9RCR
83	13214 61163	   	185.56	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD|1DUR	1LHND|2aVULN|3AART|4DUR|5ZMB|6DMG|7RCR|8ASPD|9CDMG
84	26222 36351	   	185.41	DCR|2VULN|2DMG|1AART|2ZMB|1DUR	1RMIN|29ZMB|39LWND|4aVULN|5AART|6DUR|7RCR|89DMG|9BPWR
85	14342 26321	   	185.41	DCR|3VULN|2DMG|1AART|1DUR	1LHND|2LWND|3DUR|45aVULN|6AART|7RCR|89DMG
86	64133 22221	   	184.61	DCR|4VULN|1AART|1CDMG|1ZMB|1ASPD	1AART|236aVULN|3BPWR|4DUST|5CDMG|7ASPD|8ZMB|9RCR
87	64332 31125	   	184.55	DCR|2AART|2DMG|1VULN|1ZMB|1DUR|1ASPD	1aAART|2VULN|3ZMB|49DMG|5LWND|6DUR|7RCR|8ASPD
88	64121 11236	   	184.37	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	1AART|235VULN|3BPWR|4ERES|6CGEN|7RCR|8DMG|9CDMG|aASPD
89	64123 41233	   	184.37	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	1AART|236VULN|3BPWR|4ERES|5ASPD|7RCR|8DMG|9CDMG|aDMSP
90	64123 41232	   	184.27	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	1AART|236VULN|3BPWR|4aERES|5ASPD|7RCR|8DMG|9CDMG
91	62131 21252	   	184.20	DCR|2AART|2VULN|2DMG|1DUR	15AART|2CGEN|36VULN|48DMG|7RCR|9DUR|aFEWX
92	62131 21253	   	184.20	DCR|2AART|2VULN|2DMG|1DUR	15AART|2CGEN|36VULN|48DMG|7RCR|9DUR|aRMIN
93	62131 21255	   	184.20	DCR|2AART|2VULN|2DMG|1DUR	15AART|2CGEN|36VULN|48DMG|7RCR|9DUR|aMLV
94	62131 21264	   	184.20	DCR|2AART|2VULN|2DMG|1ASPD	15AART|2CGEN|36VULN|48DMG|7RCR|9ASPD|aFEWX
95	62131 21265	   	184.20	DCR|2AART|2DMG|2VULN|1ASPD	15AART|2CGEN|36VULN|48DMG|7RCR|9ASPD|aLWND
96	62131 21266	   	184.20	DCR|2AART|2VULN|2DMG|1ASPD	15AART|2CGEN|36VULN|48DMG|7RCR|9ASPD|aLIT
97	64333 13521	   	184.16	DCR|2VULN|1AART|1DMG|2ZMB|1CDMG|2DUR	1AART|2aVULN|38ZMB|4DMG|5CDMG|67DUR|9RCR
98	25222 36151	   	184.10	DCR|2VULN|2DMG|1AART|2ASPD|1DUR	1RMIN|29ASPD|39LWND|4aVULN|5AART|6DUR|7RCR|89DMG|9BPWR
99	62131 21241	   	184.10	DCR|2AART|2VULN|2DMG|1ASPD	15AART|2CGEN|36VULN|48DMG|7RCR|9TLV|aASPD
100	62131 21251	   	184.10	DCR|2AART|2VULN|2DMG|1DUR	15AART|2CGEN|36VULN|48DMG|7RCR|9DUR|aTLV
101	62131 21262	   	184.10	DCR|2AART|2VULN|2DMG|1ASPD	15AART|2CGEN|36VULN|48DMG|7RCR|9ASPD|aDUST
102	62131 21263	   	184.10	DCR|2AART|2VULN|2DMG|1ASPD	15AART|2CGEN|36VULN|48DMG|7RCR|9ASPD|aERES
103	66131 21221	   	184.10	DCR|2AART|2VULN|2DMG|1ASPD	15AART|2ERES|36VULN|48DMG|7RCR|9CGEN|aASPD
104	66131 21252	   	184.10	DCR|2AART|2VULN|2DMG|1DUR	15AART|2ERES|36VULN|48DMG|7RCR|9DUR|aFEWX
105	66131 21253	   	184.10	DCR|2AART|2VULN|2DMG|1DUR	15AART|2ERES|36VULN|48DMG|7RCR|9DUR|aRMIN
106	13214 61151	   	184.01	DCR|2VULN|1AART|1DMG|2ASPD|2DUR|1ZMB	19LHND|2aVULN|3AART|49DUR|5ZMB|6DMG|7RCR|89ASPD|9BPWR
107	66131 21241	   	184.00	DCR|2AART|2VULN|2DMG|1ASPD	15AART|2ERES|36VULN|48DMG|7RCR|9TLV|aASPD
108	66131 21251	   	184.00	DCR|2AART|2VULN|2DMG|1DUR	15AART|2ERES|36VULN|48DMG|7RCR|9DUR|aTLV
109	66131 21262	   	184.00	DCR|2AART|2VULN|2DMG|1ASPD	15AART|2ERES|36VULN|48DMG|7RCR|9ASPD|aDUST
110	66131 21263	   	184.00	DCR|2AART|2VULN|2DMG|1ASPD	15AART|2aERES|36VULN|48DMG|7RCR|9ASPD
111	64332 31215	   	183.96	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1AART|2aVULN|3ZMB|4aDMG|5LWND|6DUR|7RCR|8aFEWX|9BELT|aBPWR
112	64114 22231	 * 	183.89	DCR|5VULN|1AART|1ZMB|1ASPD	1AART|2356aVULN|3BPWR|4RPLT|7ASPD|8ZMB|9RCR
113	64321 61121	   	183.76	DCR|2VULN|2DMG|1AART|1ZMB|1ASPD	1AART|2aVULN|3ZMB|4LWND|5LHND|69DMG|7RCR|8ASPD
114	64332 31521	   	183.76	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1AART|2aVULN|3ZMB|49DMG|5LWND|6DUR|7RCR|8CGEN
115	62135 21211	   	183.76	DCR|2VULN|2DMG|1AART|1ZMB|1ASPD	1AART|25CGEN|36VULN|48DMG|7RCR|9ZMB|aASPD
116	35613 41131	   	183.66	DCR|3VULN|2DMG|1CDMG|1ZMB|1DUR	1RCVC|2ZMB|34aVULN|58DMG|6CDMG|7DUR|9RCR
117	35613 42331	   	183.66	DCR|3VULN|2DMG|1CDMG|1ZMB|1DUR	1RCVC|2ZMB|34aVULN|57DMG|6CDMG|8DUR|9RCR
118	61264 31121	   	183.66	DCR|2VULN|2DMG|1AART|1ZMB|1ASPD	1AART|2LEGI|3aVULN|4LHND|5ZMB|6ASPD|7RCR|89DMG
119	61531 31121	   	183.66	DCR|2VULN|2DMG|1AART|1ZMB|1ASPD	1AART|2LEGI|3ZMB|4aVULN|5LHND|6ASPD|7RCR|89DMG
120	61531 61121	   	183.66	DCR|2VULN|2DMG|1AART|1ZMB|1ASPD	1AART|2LEGI|3ZMB|4aVULN|5LHND|69DMG|7RCR|8ASPD
121	64333 26121	   	183.63	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1AART|26aVULN|3ZMB|4DMG|5CDMG|7DMSP|8DUST|9RCR
122	13213 26525	   	183.62	DCR|4VULN|1AART|1DMG|1DUR	1LHND|2589VULN|3AART|4DUR|6ERES|7RCR|aDMG
123	13214 61125	   	183.35	DCR|2AART|2DMG|1VULN|1ZMB|1DUR|1ASPD	1LHND|2VULN|3aAART|4DUR|5ZMB|69DMG|7RCR|8ASPD
