0	Index      	 *	Score 	Summary	Detail	
1	24216 15231	 * 	194.32	DCR|3VULN|3DMG|1AART	127LIT|279BPWR|39LSRHEA|479DMG|579VULN|6RCR|8RMIN|aAART
76	15232 33452	   	169.39	DCR|2VULN|2DMG|1AART|1DUR|1ASPD	1TLV|29DMG|3ASPD|48VULN|5DUR|6AART|7LHND|aRCR
77	15232 35252	   	169.39	DCR|2VULN|2DMG|1AART|1DUR|1ASPD	1TLV|29DMG|3ASPD|47VULN|5DUR|6AART|8LWND|aRCR
78	34313 52211	 * 	169.30	ACR|2AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1CDMG|2FEWX|3RMIN|4RCR|5DUR|6ZMB|7DMG|8VULN|9aAART
79	55433 13233	 * 	169.24	ACR|2DMG|1AART|1VULN|2ZMB|1ASPD	1ASPD|29DMG|3RCR|48ZMB|5LHND|6CGEN|7AART|aVULN
80	12422 26322	   	169.23	ACR|3DMG|2VULN|1CDMG	17TLV|27LHND|3RCR|4CDMG|5DUST|679DMG|7BPWR|8aVULN
81	12422 22322	   	169.13	ACR|3DMG|2VULN|1CDMG	1TLV|2LHND|3RCR|4CDMG|5DUST|679DMG|8aVULN
82	33111 64323	 * 	169.12	DCR|3VULN|1AART|2CDMG|1DUR	19CDMG|2BEXP|389VULN|4AART|5RMIN|69CGEN|7RCR|9BPWR|aDUR
83	52413 33153	   	169.03	ACR|2DMG|1AART|1VULN|1CDMG|1ASPD	1ASPD|2LHND|3RCR|46ERES|5AART|79DMG|8VULN|aCDMG
84	52424 24414	 * 	168.92	ACR|3VULN|1AART|2ASPD|2DUR	18ASPD|2LHND|3RCR|4MBVNT|58DUR|68aVULN|7AART|8BPWR|9MGNSTR
85	33413 26322	 * 	168.84	ACR|3DMG|3CDMG|1VULN|1DUR	17aCDMG|27BEXP|3CGEN|4RCR|5DUR|679DMG|7BPWR|8VULN
86	52424 24431	   	168.82	ACR|3VULN|1AART|2ASPD|2DUR	18ASPD|2LHND|3RCR|4MBVNT|58DUR|68aVULN|7AART|8BPWR|9DUST
87	15233 23452	   	168.79	DCR|2VULN|2DMG|1AART|1DUR|1ASPD	1TLV|29DMG|3ASPD|48VULN|5LHND|6DUR|7AART|aRCR
88	33513 26322	   	168.74	ACR|3DMG|3CDMG|1VULN|1DUR	17aCDMG|27BEXP|3ERES|4RCR|5DUR|679DMG|7BPWR|8VULN
89	52452 13131	   	168.51	ACR|2VULN|1AART|3ASPD|1DMG	169ASPD|2LHND|3RCR|4RMIN|5AART|7DMG|8aVULN
90	52412 12162	 * 	168.46	ACR|2DMG|1AART|1CDMG|1FLTHEA|1ASPD|1DUR	1ASPD|2LHND|3RCR|4ERES|5FLTHEA|6DUR|7AART|8CDMG|9aDMG
91	52413 13131	   	168.41	ACR|2VULN|1AART|3ASPD|1DMG	169ASPD|2LHND|3RCR|4ERES|5AART|7DMG|8aVULN
92	52413 13136	 * 	168.41	ACR|2DMG|1AART|1VULN|3ASPD	169ASPD|2LHND|3RCR|4ERES|5AART|7aDMG|8VULN
93	52413 13342	   	168.41	ACR|2DMG|1AART|1VULN|3ASPD	168ASPD|2LHND|3RCR|4ERES|5AART|79DMG|aVULN
94	52561 11113	 * 	168.13	DCR|3DMG|2VULN|3ASPD	13aASPD|2LHND|47aDMG|5RMIN|6aVULN|8DMSP|9RCR|aBPWR
95	55432 21313	   	168.12	ACR|2DMG|1AART|1CDMG|1ZMB|1ASPD|1DUR	1ASPD|28DMG|3RCR|4ZMB|5DUR|6AART|7FEWX|9RCVC|aCDMG
96	52424 24137	   	168.03	ACR|2DMG|1AART|1VULN|2ASPD|1DUR	1aASPD|2aLHND|3RCR|4MBVNT|5DUR|6VULN|7AART|8aDMG|9RMIN|aBPWR
97	12423 23321	   	167.93	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1TLV|2aLHND|3RCR|4CDMG|5DUR|6DMG|7AART|89VULN
98	12423 23322	   	167.93	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1TLV|2LHND|3RCR|4CDMG|5DUR|6DMG|7AART|89VULN|aCGEN
99	12423 23325	   	167.93	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1TLV|2LHND|3RCR|4CDMG|5DUR|6DMG|7AART|89VULN|aLIT
100	12423 23326	   	167.93	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1TLV|2LHND|3RCR|4CDMG|5DUR|6DMG|7AART|89VULN|aBEXP
101	12423 23351	   	167.93	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1TLV|2LHND|3RCR|4CDMG|5DUR|6aDMG|7AART|8VULN|9LWND
102	33411 53522	   	167.90	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1CDMG|2BEXP|3CGEN|4RCR|5FEWX|6ZMB|78VULN|9DMG|aAART
103	12422 23361	   	167.83	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1TLV|2LHND|3RCR|4CDMG|5DUST|6aDMG|7AART|8VULN|9DUR
104	12423 23211	   	167.83	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1TLV|2LHND|3RCR|4CDMG|5DUR|6aDMG|7AART|8LEGI|9VULN
105	12423 23324	   	167.83	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1aTLV|2LHND|3RCR|4CDMG|5DUR|6DMG|7AART|89VULN
106	33511 53522	   	167.80	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1CDMG|2BEXP|3ERES|4RCR|5FEWX|6ZMB|78VULN|9DMG|aAART
107	33316 23762	   	167.80	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1CDMG|2BEXP|3RMIN|4RCR|5MBVNT|6DMG|79VULN|8ZMB|aAART
108	43423 22511	   	167.63	ACR|2AART|1VULN|1DMG|1CDMG|1ASPD|1DUR	1BEXP|2CGEN|3RCR|4CDMG|5DUR|6DMG|7ASPD|8VULN|9aAART
109	31121 61311	   	167.61	DCR|2DMG|1AART|2CDMG|1ZMB|1ASPD|1DUR	13CDMG|2MGNSTR|4ZMB|5DUR|6AART|79DMG|8RCR|aASPD
110	55433 22313	   	167.52	ACR|2DMG|1AART|1CDMG|1ZMB|1ASPD|1DUR	1ASPD|28DMG|3RCR|4ZMB|5LHND|6DUR|7AART|9RCVC|aCDMG
111	15232 35162	   	167.46	DCR|3VULN|1AART|1DMG|1DUR|1ASPD	1TLV|2DMG|3ASPD|478VULN|5DUR|6AART|9LWND|aRCR
112	52421 24453	   	167.41	ACR|2VULN|1AART|3ASPD|1DMG	189ASPD|2LHND|3RCR|4MBVNT|58BEXP|68VULN|7AART|8BPWR|aDMG
113	15231 43632	 * 	167.22	DCR|2AART|1VULN|1DMG|1FLTHEA|1CDMG|1ASPD	1TLV|2DMG|3ASPD|4VULN|5FLTHEA|6CDMG|7LIT|8aAART|9RCR
114	12422 23323	   	167.21	ACR|2VULN|1AART|1DMG|2CDMG	1TLV|2LHND|3RCR|4aCDMG|5DUST|6DMG|7AART|89VULN
115	52423 24453	   	167.21	ACR|2VULN|1AART|3ASPD|1DMG	189ASPD|2LHND|3RCR|4MBVNT|58DUST|68VULN|7AART|8BPWR|aDMG
116	15232 21216	   	167.14	DCR|3VULN|2DMG|2DUR|1ASPD	1TLV|27DMG|3ASPD|48aVULN|56DUR|9RCR
117	65232 21216	   	167.14	DCR|3VULN|2DMG|2DUR|1ASPD	1ERES|27DMG|3ASPD|48aVULN|56DUR|9RCR
118	55332 42313	   	167.10	DCR|2DMG|1AART|1CDMG|1ZMB|1ASPD|1DUR	1ASPD|28DMG|3LHND|4ZMB|5DUR|6RCR|7AART|9RCVC|aCDMG
119	55132 42313	   	167.00	DCR|2DMG|1AART|1CDMG|1ZMB|1DUR|1ASPD	1ASPD|28DMG|3LEGI|4ZMB|5DUR|6RCR|7AART|9RCVC|aCDMG
120	32312 22422	   	166.83	ACR|3DMG|2VULN|1CDMG	1CDMG|2LWND|3RMIN|4RCR|5DUST|679DMG|8aVULN
121	32412 22322	   	166.83	ACR|3DMG|2VULN|1CDMG	1CDMG|2LWND|3CGEN|4RCR|5DUST|679DMG|8aVULN
122	34412 22422	   	166.83	ACR|3DMG|2VULN|1CDMG	1CDMG|2FEWX|3CGEN|4RCR|5DUST|679DMG|8aVULN
123	35311 22422	   	166.83	ACR|3DMG|2VULN|1CDMG	1CDMG|2DUST|3RMIN|4RCR|5FEWX|679DMG|8aVULN
124	35314 22422	   	166.83	ACR|3DMG|2VULN|1CDMG	1CDMG|2DUST|3RMIN|4RCR|5LHND|679DMG|8aVULN
125	35411 22422	   	166.83	ACR|3DMG|2VULN|1CDMG	1CDMG|2DUST|3CGEN|4RCR|5FEWX|679DMG|8aVULN
126	35414 22322	   	166.83	ACR|3DMG|2VULN|1CDMG	1CDMG|2DUST|3CGEN|4RCR|5LHND|679DMG|8aVULN
127	43436 22133	   	166.83	ACR|2VULN|2DMG|1AART	1BEXP|2CGEN|3RCR|4AART|59DMG|6BELT|7aVULN|8LIT
128	52424 24462	   	166.81	ACR|2VULN|1AART|2ASPD|1CDMG|2DUR	18ASPD|2LHND|3RCR|4MBVNT|58DUR|68VULN|7AART|8BPWR|9CDMG|aERES
129	32512 22322	   	166.73	ACR|3DMG|2VULN|1CDMG	1CDMG|2LWND|3ERES|4RCR|5DUST|679DMG|8aVULN
130	34512 22422	   	166.73	ACR|3DMG|2VULN|1CDMG	1CDMG|2FEWX|3ERES|4RCR|5DUST|679DMG|8aVULN
131	35316 22522	   	166.73	ACR|3DMG|2VULN|1CDMG	1CDMG|2DUST|3RMIN|4RCR|5MBVNT|679DMG|8aVULN
132	35511 22422	   	166.73	ACR|3DMG|2VULN|1CDMG	1CDMG|2DUST|3ERES|4RCR|5FEWX|679DMG|8aVULN
133	35514 22322	   	166.73	ACR|3DMG|2VULN|1CDMG	1CDMG|2DUST|3ERES|4RCR|5LHND|679DMG|8aVULN
134	33112 23521	 * 	166.72	DCR|2AART|2DMG|1VULN|1CDMG	1CDMG|2BEXP|3VULN|4aAART|58DMG|6FEWX|7LHND|9RCR
135	33112 25521	   	166.72	DCR|2AART|2DMG|1VULN|1CDMG	1CDMG|2BEXP|3VULN|4aAART|58DMG|6FEWX|7LWND|9RCR
136	33115 35621	 * 	166.72	DCR|2AART|2VULN|1DMG|1CDMG	1CDMG|2BEXP|37VULN|4aAART|5FEWX|6LHND|8DMG|9RCR
137	34112 43521	   	166.72	DCR|2AART|2DMG|1VULN|1CDMG	1CDMG|2FEWX|3VULN|4aAART|58DMG|6BEXP|7LHND|9RCR
138	21425 53333	   	166.72	DCR|3DMG|1VULN|2CDMG|1ZMB	1LIT|25aDMG|35CDMG|47RCVC|5BPWR|6ZMB|8VULN|9RCR
139	33112 21521	   	166.62	DCR|2AART|2DMG|1VULN|1CDMG	1CDMG|2BEXP|3VULN|4aAART|58DMG|6FEWX|7DUST|9RCR
140	34112 41521	   	166.62	DCR|2AART|2DMG|1VULN|1CDMG	1CDMG|2FEWX|3VULN|4aAART|58DMG|6BEXP|7DUST|9RCR
141	35112 26521	   	166.62	DCR|2AART|2DMG|1VULN|1CDMG	1CDMG|2DUST|3VULN|4aAART|58DMG|6FEWX|7BEXP|9RCR
142	31263 61311	   	166.59	DCR|2DMG|1AART|1CDMG|2DUR|1ZMB|1ASPD	1CDMG|2MGNSTR|3ZMB|45DUR|6AART|79DMG|8RCR|aASPD
143	52434 23211	   	166.36	ACR|2VULN|2AART|1CDMG|1ASPD|1DUR	1ASPD|2LHND|3RCR|46VULN|5DUR|7aAART|8CDMG|9BEXP
144	52434 23231	   	166.36	ACR|2VULN|2AART|1CDMG|1ASPD|1DUR	1ASPD|2LHND|3RCR|46VULN|5DUR|7aAART|8CDMG|9FEWX
145	33413 63511	   	166.23	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1CDMG|2BEXP|3CGEN|4RCR|5DUR|6AART|7LHND|8aDMG|9VULN
146	43423 23252	   	166.23	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1BEXP|2CGEN|3RCR|4CDMG|5DUR|6DMG|79VULN|8RMIN|aAART
147	33412 63511	   	166.13	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1CDMG|2BEXP|3CGEN|4RCR|5DUST|6AART|7DUR|8aDMG|9VULN
148	33413 61511	   	166.13	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1CDMG|2BEXP|3CGEN|4RCR|5DUR|6AART|7DUST|8aDMG|9VULN
149	43423 33522	   	166.13	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1BEXP|2CGEN|3RCR|4CDMG|5DUR|6ERES|78VULN|9DMG|aAART
150	52421 24461	   	166.13	ACR|2VULN|2AART|2ASPD|1CDMG	18ASPD|2LHND|3RCR|4MBVNT|58BEXP|68VULN|7aAART|8BPWR|9CDMG
151	52423 24461	   	165.93	ACR|2VULN|2AART|2ASPD|1CDMG	18ASPD|2LHND|3RCR|4MBVNT|58DUST|68VULN|7aAART|8BPWR|9CDMG
152	12432 24161	   	165.73	ACR|2VULN|2AART|1DMG|1DUR	1TLV|2LHND|3RCR|4DUR|5BEXP|69VULN|7aAART|8DMG
153	32413 23361	   	165.63	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2LWND|3CGEN|4RCR|5DUR|6DMG|7AART|89VULN|aLHND
154	32413 23363	   	165.63	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2aLWND|3CGEN|4RCR|5DUR|6DMG|7AART|89VULN
155	32413 23366	   	165.63	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2LWND|3CGEN|4RCR|5DUR|6DMG|7AART|89VULN|aMLV
156	32413 23411	   	165.63	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1CDMG|2LWND|3CGEN|4RCR|5DUR|6aDMG|7AART|8LHND|9VULN
157	32314 23325	   	165.63	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2LWND|3RMIN|4RCR|5LHND|6DMG|7AART|89VULN|aDUR
158	12433 24161	   	165.63	ACR|2VULN|2AART|1DMG|1DUR	1TLV|2LHND|3RCR|4DUR|5DUST|69VULN|7aAART|8DMG
159	12436 24171	   	165.63	ACR|2VULN|2AART|1DMG|1DUR	1TLV|2LHND|3RCR|4DUR|5MBVNT|69VULN|7aAART|8DMG
160	32412 23365	   	165.53	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2LWND|3CGEN|4RCR|5DUST|6DMG|7AART|89VULN|aDUR
161	32413 23211	   	165.53	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1CDMG|2LWND|3CGEN|4RCR|5DUR|6aDMG|7AART|8LEGI|9VULN
