0	Index      	 *	Score 	Summary	Detail	
1	34123 34316	 * 	200.62	DCR|4VULN|3DMG|1AART	19FEWX|2569VULN|389DMG|4BELT|7AART|9BPWR|aRCR
38	63151 22446	   	181.23	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB	1MBVNT|2aAART|39VULN|4LSRICY|5CDMG|6ZMB|7DMG|8RCR
39	63171 22446	   	181.23	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB	1MBVNT|2aAART|39VULN|4MGNLIT|5CDMG|6ZMB|7DMG|8RCR
40	63641 22143	   	181.21	ACR|2VULN|1AART|1DMG|2CDMG|1ZMB	1MBVNT|2AART|3RCR|4CANHEL|5aCDMG|6ZMB|7DMG|89VULN
41	63641 22153	   	181.21	ACR|2DMG|1AART|1VULN|2CDMG|1ZMB	1MBVNT|2AART|3RCR|4CANHEL|5aCDMG|6ZMB|79DMG|8VULN
42	63151 62343	   	180.89	DCR|2VULN|1AART|2CDMG|1DMG|1ZMB	1MBVNT|2AART|39VULN|4LSRICY|5aCDMG|6RCR|7ZMB|8DMG
43	63171 62343	   	180.89	DCR|2VULN|1AART|2CDMG|1DMG|1ZMB	1MBVNT|2AART|39VULN|4MGNLIT|5aCDMG|6RCR|7ZMB|8DMG
44	61114 13717	 * 	180.77	DCR|2VULN|2DMG|1AART|2ZMB	1MBVNT|248LHND|38DMG|5AART|6RCR|78ZMB|8BPWR|9aVULN
45	21562 11161	   	180.40	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	1MLV|2aVULN|3CDMG|4ASPD|5aERES|6FEWX|7AART|8RCR|9aDMG|aBPWR
46	63234 23736	 * 	180.19	DCR|3VULN|1AART|1DMG|2ZMB|1SELL	1MBVNT|2AART|39TLV|459VULN|6RCR|79ZMB|8SELL|9BPWR|aDMG
47	21543 13132	 * 	180.07	DCR|3VULN|2DMG|2CDMG|1DUR	1MLV|24aVULN|34CDMG|4aBPWR|5DUR|6aFEWX|7RCR|8BEXP|9aDMG
48	21543 13632	   	180.07	DCR|3VULN|2DMG|2CDMG|1DUR	1MLV|24aVULN|34CDMG|4aBPWR|5DUR|6aFEWX|7RCR|8LHND|9aDMG
49	51543 13132	   	179.97	DCR|3VULN|2DMG|2CDMG|1DUR	1ERES|24aVULN|34CDMG|4aBPWR|5DUR|6aFEWX|7RCR|8BEXP|9aDMG
50	21543 63132	   	179.87	DCR|3VULN|2DMG|2CDMG|1DUR	1MLV|24aVULN|34CDMG|4aBPWR|5DUR|6aDUST|7RCR|8FEWX|9aDMG
51	21543 63332	   	179.87	DCR|3VULN|2DMG|2CDMG|1DUR	1MLV|24aVULN|34CDMG|4aBPWR|5DUR|6aDUST|7RCR|8BEXP|9aDMG
52	61114 11717	   	179.46	DCR|2VULN|2DMG|1AART|2ASPD	1MBVNT|248LHND|38DMG|5AART|6RCR|78ASPD|8BPWR|9aVULN
53	61154 13744	 * 	179.36	DCR|3DMG|1AART|2ZMB|1CDMG|1DUR	1MBVNT|28LHND|348DMG|5AART|6RCR|78ZMB|8BPWR|9CDMG|aDUR
54	63224 38438	   	179.36	DCR|3VULN|1AART|2CDMG|1DUR|1ASPD	1MBVNT|2AART|39TLV|4DUR|589VULN|6RCR|79CDMG|9BPWR|aASPD
55	63641 22621	 * 	178.85	ACR|2VULN|1AART|1DMG|2ZMB|1CDMG	1MBVNT|2AART|3RCR|4aCANHEL|5CDMG|6aZMB|7DMG|8CGEN|9aVULN|aBPWR
56	63611 24843	   	178.84	ACR|2VULN|2DMG|1AART|1ZMB	1MBVNT|2AART|3RCR|4LIT|5ERES|69VULN|7ZMB|8aDMG
57	63613 24843	   	178.84	ACR|2VULN|2DMG|1AART|1ZMB	1MBVNT|2AART|3RCR|4LIT|5TLV|69VULN|7ZMB|8aDMG
58	61114 13748	 * 	178.84	DCR|3DMG|1AART|1VULN|2ZMB	1MBVNT|248LHND|389DMG|5AART|6RCR|78ZMB|8BPWR|aVULN
59	63641 23151	 * 	178.75	ACR|2DMG|1AART|1VULN|2ZMB|1CDMG	1MBVNT|2AART|3RCR|4aCANHEL|5CDMG|6aZMB|7TLV|8VULN|9aDMG|aBPWR
60	63641 23221	   	178.75	ACR|2VULN|1AART|1DMG|2ZMB|1CDMG	1MBVNT|2AART|3RCR|4aCANHEL|5CDMG|6aZMB|7TLV|8DMG|9aVULN|aBPWR
61	63641 22272	   	178.75	ACR|2DMG|1AART|1VULN|2ZMB|1CDMG	1MBVNT|2AART|3RCR|49CANHEL|5CDMG|69ZMB|79DMG|8NUKE|9BPWR|aVULN
62	54332 31433	   	178.52	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1ERES|2DMG|39VULN|4CDMG|5DMSP|6RCR|7AART|8ZMB|aASPD
63	54332 31611	   	178.52	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1ERES|2aDMG|3VULN|4CDMG|5DMSP|6RCR|7AART|8DUR|9ZMB
64	63114 13848	   	178.52	DCR|2VULN|2DMG|1AART|1ZMB	1MBVNT|2AART|3aVULN|49DMG|5DMSP|6RCR|7ZMB|8CGEN
65	63224 38634	 * 	178.46	DCR|3VULN|1AART|3CDMG|1DUR	1MBVNT|2AART|39TLV|4DUR|59aVULN|6RCR|789CDMG|9BPWR
66	63114 13562	   	178.42	DCR|2VULN|2DMG|1AART|1ZMB	1MBVNT|2AART|3aVULN|49DMG|5DMSP|6RCR|7ZMB|8VENICY
67	63113 81312	   	178.37	DCR|3DMG|2VULN|1AART	1MBVNT|2AART|39VULN|469DMG|59TLV|7BELT|8RCR|9BPWR|aFEWX
68	63113 81314	   	178.37	DCR|3DMG|2VULN|1AART	1MBVNT|2AART|39VULN|469DMG|59TLV|7BELT|8RCR|9BPWR|aRPLT
69	63113 81318	   	178.37	DCR|3DMG|2VULN|1AART	1MBVNT|2AART|39VULN|469DMG|59TLV|7BELT|8RCR|9BPWR|aLHND
70	63115 81312	   	178.37	DCR|3DMG|2VULN|1AART	1MBVNT|2AART|39VULN|469DMG|59ERES|7BELT|8RCR|9BPWR|aFEWX
71	63115 81314	   	178.37	DCR|3DMG|2VULN|1AART	1MBVNT|2AART|39VULN|469DMG|59ERES|7BELT|8RCR|9BPWR|aRPLT
72	63514 13712	 * 	178.31	DCR|2DMG|3ZMB|1AART|1VULN	1MBVNT|2AART|38DUST|48DMG|5DMSP|6RCR|78aZMB|8BPWR|9VULN
73	63114 13726	   	178.27	DCR|2VULN|2DMG|1AART|1ZMB|1SELL	1MBVNT|2AART|39VULN|4aDMG|5DMSP|6RCR|7ZMB|8SELL
74	63114 16731	   	178.27	DCR|2VULN|2DMG|1AART|1ZMB|1SELL	1MBVNT|2AART|39VULN|47DMG|5DMSP|6RCR|8SELL|aZMB
75	63113 81316	   	178.27	DCR|3DMG|2VULN|1AART	1MBVNT|2AART|39VULN|469DMG|59TLV|7BELT|8RCR|9BPWR|aCANSTR
76	63633 23164	 * 	178.23	ACR|3VULN|1AART|1DMG|2DUR	1MBVNT|2AART|3RCR|46DUR|589VULN|7LWND|aDMG
77	63234 23741	   	178.17	DCR|2VULN|2DMG|1AART|1ZMB|1SELL	1MBVNT|2AART|3TLV|45VULN|6RCR|7ZMB|8SELL|9aDMG
78	61154 11744	 * 	178.06	DCR|3DMG|1AART|1CDMG|2ASPD|1DUR	1MBVNT|28LHND|348DMG|5AART|6RCR|78ASPD|8BPWR|9CDMG|aDUR
79	63633 41174	   	178.05	ACR|2AART|1VULN|1DMG|2CDMG|1ASPD|1DUR	1MBVNT|28AART|3RCR|4DUR|5VULN|6aCDMG|7ASPD|9DMG
80	63633 14446	 * 	177.87	ACR|3VULN|2AART|1CDMG|1DUR	1MBVNT|29AART|3RCR|4DUR|58aVULN|6DUST|7CDMG
81	63633 16332	   	177.77	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1MBVNT|2AART|3RCR|4DUR|57VULN|6DUST|8DMG|9ASPD|aCDMG
82	63224 37161	   	177.71	DCR|3VULN|1AART|1DMG|2DUR	1MBVNT|2AART|3TLV|4aDUR|589VULN|6RCR|7DMG
83	63224 38434	   	177.71	DCR|3VULN|1AART|2CDMG|2DUR	1MBVNT|2AART|39TLV|4aDUR|589VULN|6RCR|79CDMG|9BPWR
84	63234 14711	 * 	177.70	DCR|5VULN|1AART|2ZMB	1MBVNT|2AART|38TLV|45789VULN|68ZMB|8BPWR|aRCR
85	22323 35345	   	177.62	DCR|2VULN|2DMG|3ASPD|1ZMB|1DUR	18MLV|28aASPD|3DUR|47VULN|58DMG|6RCR|8BPWR|9ZMB
86	22323 35354	   	177.62	DCR|2VULN|2DMG|3ASPD|1ZMB|1DUR	18MLV|289ASPD|3DUR|47VULN|58DMG|6RCR|8BPWR|aZMB
87	63151 63222	   	177.55	DCR|3VULN|2AART|1CDMG|1ASPD	1MBVNT|27AART|39aVULN|4LSRICY|5CDMG|6RCR|8ASPD
88	63171 63222	   	177.55	DCR|3VULN|2AART|1CDMG|1ASPD	1MBVNT|27AART|39aVULN|4MGNLIT|5CDMG|6RCR|8ASPD
89	61114 11748	 * 	177.53	DCR|3DMG|1AART|1VULN|2ASPD	1MBVNT|248LHND|389DMG|5AART|6RCR|78ASPD|8BPWR|aVULN
90	61154 11812	   	177.52	DCR|2AART|2DMG|1VULN|1ZMB|1ASPD	1MBVNT|2LHND|34DMG|58AART|6RCR|7ASPD|9VULN|aZMB
91	61154 13811	   	177.52	DCR|2AART|2DMG|1VULN|1ZMB|1DUR	1MBVNT|2LHND|34DMG|58AART|6RCR|7ZMB|9VULN|aDUR
92	63633 41173	   	177.03	ACR|2AART|1VULN|1DMG|1CDMG|2DUR|1ASPD	1MBVNT|28AART|3RCR|4aDUR|5VULN|6CDMG|7ASPD|9DMG
93	14231 13261	   	176.92	DCR|3DMG|2VULN|1AART|1SELL	1DUST|23VULN|49aDMG|5SELL|6FEWX|7RCR|8AART
94	34231 63261	   	176.92	DCR|3DMG|2VULN|1AART|1SELL	1FEWX|23VULN|49aDMG|5SELL|6DUST|7RCR|8AART
95	22323 36341	   	176.92	DCR|2DMG|1AART|1VULN|2ASPD|1ZMB|1DUR	18MLV|28ASPD|3DUR|4VULN|58DMG|6RCR|7DMSP|8BPWR|9ZMB|aAART
96	52323 36341	   	176.72	DCR|2DMG|1AART|1VULN|2ASPD|1ZMB|1DUR	18ERES|28ASPD|3DUR|4VULN|58DMG|6RCR|7DMSP|8BPWR|9ZMB|aAART
97	63151 22447	   	176.72	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1MBVNT|2AART|39VULN|4LSRICY|5CDMG|6ZMB|7DMG|8RCR|aDUR
98	63171 22447	   	176.72	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1MBVNT|2AART|39VULN|4MGNLIT|5CDMG|6ZMB|7DMG|8RCR|aDUR
99	61114 13712	   	176.71	DCR|2DMG|3ZMB|1AART|1VULN	1MBVNT|248LHND|38DMG|5AART|6RCR|78aZMB|8BPWR|9VULN
100	63114 13167	   	176.58	DCR|3VULN|1AART|1DMG|1ZMB	1MBVNT|2AART|39aVULN|4DMG|5DMSP|6RCR|7ZMB|8LHND
101	63125 33162	   	176.58	DCR|3VULN|1AART|1DMG|1ZMB	1MBVNT|2AART|389VULN|4LWND|5MLV|6RCR|7DMG|aZMB
102	63145 33162	   	176.58	DCR|3VULN|1AART|1DMG|1ZMB	1MBVNT|2AART|389VULN|4LHND|5MLV|6RCR|7DMG|aZMB
103	63431 33162	   	176.58	DCR|3VULN|1AART|1DMG|1ZMB	1MBVNT|2AART|3CGEN|489VULN|5LWND|6RCR|7DMG|aZMB
104	63122 33162	   	176.48	DCR|3VULN|1AART|1DMG|1ZMB	1MBVNT|2AART|389VULN|4LWND|5ERES|6RCR|7DMG|aZMB
105	63142 33162	   	176.48	DCR|3VULN|1AART|1DMG|1ZMB	1MBVNT|2AART|389VULN|4LHND|5ERES|6RCR|7DMG|aZMB
106	63214 37162	   	176.48	DCR|3VULN|1AART|1DMG|1ZMB	1MBVNT|2AART|3TLV|4BEXP|589VULN|6RCR|7DMG|aZMB
107	63231 33162	   	176.48	DCR|3VULN|1AART|1DMG|1ZMB	1MBVNT|2AART|3TLV|489VULN|5LWND|6RCR|7DMG|aZMB
108	63731 33162	   	176.48	DCR|3VULN|1AART|1DMG|1ZMB	1MBVNT|2AART|3ERES|489VULN|5LWND|6RCR|7DMG|aZMB
109	63113 83383	   	176.47	DCR|3DMG|1AART|1VULN|1CDMG|1ASPD	1MBVNT|2AART|3VULN|467DMG|5TLV|8CDMG|9ASPD|aRCR
110	63432 32171	   	176.46	DCR|2VULN|2DMG|1AART|1CDMG	1MBVNT|2AART|3aCGEN|4aVULN|5CDMG|6RMIN|7ERES|8RCR|9aDMG|aBPWR
111	63234 23726	   	176.24	DCR|3VULN|1AART|1DMG|1ZMB|1SELL	1MBVNT|2AART|3TLV|459VULN|6RCR|7ZMB|8SELL|aDMG
112	63154 74224	   	176.22	DCR|2VULN|2DMG|1AART|1ZMB	1MBVNT|2AART|39VULN|49LSRICY|5BELT|6DLOT|7RCR|89DMG|9BPWR|aZMB
113	63174 74224	   	176.22	DCR|2VULN|2DMG|1AART|1ZMB	1MBVNT|2AART|39VULN|49MGNLIT|5BELT|6DLOT|7RCR|89DMG|9BPWR|aZMB
114	63434 23736	 * 	176.18	DCR|2AART|2VULN|1DMG|2ZMB|1SELL	1MBVNT|25AART|39CGEN|49VULN|6RCR|79ZMB|8SELL|9BPWR|aDMG
115	22251 21345	 * 	176.13	DCR|2DMG|1AART|1VULN|2CDMG|1ZMB|1ASPD	18MLV|2ASPD|38DMG|4RPLT|5ZMB|6VULN|78CDMG|8BPWR|9RCR|aAART
116	63151 22443	   	176.09	DCR|2VULN|1AART|2CDMG|1DMG|1ZMB	1MBVNT|2AART|39VULN|4LSRICY|5aCDMG|6ZMB|7DMG|8RCR
117	63151 22453	   	176.09	DCR|2DMG|1AART|1VULN|2CDMG|1ZMB	1MBVNT|2AART|3VULN|4LSRICY|5aCDMG|6ZMB|79DMG|8RCR
118	63171 22443	   	176.09	DCR|2VULN|1AART|2CDMG|1DMG|1ZMB	1MBVNT|2AART|39VULN|4MGNLIT|5aCDMG|6ZMB|7DMG|8RCR
119	63171 22453	   	176.09	DCR|2DMG|1AART|1VULN|2CDMG|1ZMB	1MBVNT|2AART|3VULN|4MGNLIT|5aCDMG|6ZMB|79DMG|8RCR
120	22323 35331	   	175.95	DCR|3VULN|2DMG|2ASPD|1DUR	18MLV|28ASPD|3DUR|479VULN|58DMG|6RCR|8BPWR|aBEXP
121	22323 35332	   	175.95	DCR|3VULN|2DMG|2ASPD|1DUR	18MLV|28ASPD|3DUR|479VULN|58DMG|6RCR|8BPWR|aFEWX
122	22323 35334	   	175.95	DCR|3VULN|2DMG|2ASPD|1DUR	18MLV|28ASPD|3DUR|479VULN|58DMG|6RCR|8BPWR|aRPLT
123	22323 35335	   	175.95	DCR|3VULN|2DMG|2ASPD|1DUR	18MLV|28ASPD|3DUR|479VULN|58DMG|6RCR|8BPWR|aLWND
124	22323 35336	   	175.95	DCR|3VULN|2DMG|2ASPD|1DUR	18MLV|28ASPD|3DUR|479VULN|58DMG|6RCR|8BPWR|aLIT
125	22323 35333	   	175.85	DCR|3VULN|2DMG|2ASPD|1DUR	18MLV|28ASPD|3DUR|479VULN|58DMG|6RCR|8BPWR|aNUKE
126	63633 48121	   	175.80	ACR|2AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1MBVNT|28AART|3RCR|4DUR|5VULN|6CDMG|7ZMB|9RCVC|aDMG
127	52323 35331	   	175.75	DCR|3VULN|2DMG|2ASPD|1DUR	18ERES|28ASPD|3DUR|479VULN|58DMG|6RCR|8BPWR|aBEXP
128	52323 35332	   	175.75	DCR|3VULN|2DMG|2ASPD|1DUR	18ERES|28ASPD|3DUR|479VULN|58DMG|6RCR|8BPWR|aFEWX
129	52323 35334	   	175.75	DCR|3VULN|2DMG|2ASPD|1DUR	18ERES|28ASPD|3DUR|479VULN|58DMG|6RCR|8BPWR|aRPLT
130	52323 35335	   	175.75	DCR|3VULN|2DMG|2ASPD|1DUR	18ERES|28ASPD|3DUR|479VULN|58DMG|6RCR|8BPWR|aLWND
131	52323 35336	   	175.75	DCR|3VULN|2DMG|2ASPD|1DUR	18ERES|28ASPD|3DUR|479VULN|58DMG|6RCR|8BPWR|aLIT
132	52323 35333	   	175.65	DCR|3VULN|2DMG|2ASPD|1DUR	18ERES|28ASPD|3DUR|479VULN|58DMG|6RCR|8BPWR|aNUKE
133	21551 23533	   	175.62	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1MLV|26VULN|3CDMG|4FEWX|5ZMB|7RCR|8AART|9DMG|aDUR
134	54351 32331	   	175.51	DCR|3VULN|2DMG|1CDMG|1DUR|1SELL	1ERES|29DMG|348VULN|5SELL|6RCR|7CDMG|aDUR
135	63618 42323	   	175.44	ACR|2AART|2VULN|1DMG|1CDMG	1MBVNT|27AART|3RCR|4LIT|5aVULN|6LSRICY|8DMG|9CDMG
136	63652 34231	   	175.44	ACR|2AART|2DMG|1VULN|1CDMG	1MBVNT|26AART|3RCR|4CDMG|5FEWX|7VULN|8RCVC|9aDMG
137	63611 31228	   	175.34	ACR|2AART|2VULN|1DMG|1CDMG	1MBVNT|28AART|3RCR|4LIT|5ERES|6DMG|7aVULN|9CDMG
138	63672 32331	   	175.34	ACR|2AART|2DMG|1VULN|1CDMG	1MBVNT|28AART|3RCR|4aDMG|5CDMG|6RMIN|7ERES|9VULN
139	54351 31311	   	175.27	DCR|2VULN|2DMG|1AART|1ZMB|1SELL	1ERES|2aDMG|34VULN|5SELL|6RCR|7AART|8BEXP|9ZMB
140	63641 33152	   	175.24	ACR|2AART|2VULN|1DMG|1CDMG	1MBVNT|27AART|3RCR|4CANHEL|5CDMG|6DUST|8aVULN|9DMG
141	63641 33222	   	175.24	ACR|2AART|2VULN|1DMG|1CDMG	1MBVNT|27AART|3RCR|4CANHEL|5CDMG|6DUST|8DMG|9aVULN
142	63641 33272	   	175.24	ACR|2AART|2DMG|1VULN|1CDMG	1MBVNT|27AART|3RCR|49CANHEL|5CDMG|69DUST|89DMG|9BPWR|aVULN
143	63673 42431	   	175.24	ACR|2AART|2DMG|1VULN|1CDMG	1MBVNT|28AART|3RCR|4aDMG|5TLV|6CDMG|7ERES|9VULN
144	34231 51131	   	175.22	DCR|3VULN|2DMG|1AART|1SELL	1FEWX|239VULN|4aDMG|5SELL|6LWND|7AART|8RCR
145	34141 51131	   	175.22	DCR|3DMG|2VULN|1AART|1SELL	1FEWX|29VULN|34aDMG|5SELL|6LWND|7AART|8RCR
146	34231 51161	   	175.22	DCR|3DMG|2VULN|1AART|1SELL	1FEWX|23VULN|49aDMG|5SELL|6LWND|7AART|8RCR
147	63652 34111	   	175.17	ACR|2AART|1VULN|1DMG|2CDMG|1ZMB	1MBVNT|26AART|3RCR|48CDMG|5FEWX|7VULN|9ZMB|aDMG
148	14141 51131	   	175.12	DCR|3DMG|2VULN|1AART|1SELL	1DUST|29VULN|34aDMG|5SELL|6LWND|7AART|8RCR
149	14231 51131	   	175.12	DCR|3VULN|2DMG|1AART|1SELL	1DUST|239VULN|4aDMG|5SELL|6LWND|7AART|8RCR
150	34231 61161	   	175.12	DCR|3DMG|2VULN|1AART|1SELL	1FEWX|23VULN|49aDMG|5SELL|6DUST|7AART|8RCR
151	14231 11161	   	175.12	DCR|3DMG|2VULN|1AART|1SELL	1DUST|23VULN|49aDMG|5SELL|6FEWX|7AART|8RCR
152	14231 51161	   	175.12	DCR|3DMG|2VULN|1AART|1SELL	1DUST|23VULN|49aDMG|5SELL|6LWND|7AART|8RCR
153	63652 24211	   	175.00	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1MBVNT|2AART|3RCR|4CDMG|5FEWX|67VULN|8RCVC|9ZMB|aDMG
154	63674 41111	   	175.00	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	1MBVNT|2AART|3RCR|4aDMG|5DMSP|6CDMG|7VULN|8RMIN|9ZMB
155	63674 41211	   	175.00	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	1MBVNT|2AART|3RCR|4aDMG|5DMSP|6CDMG|7VULN|8CGEN|9ZMB
156	63623 42463	   	174.90	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1MBVNT|2AART|3RCR|4DUST|58VULN|6CDMG|7FEWX|9DMG|aZMB
157	63641 22122	   	174.90	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1MBVNT|2AART|3RCR|4CANHEL|5CDMG|6ZMB|7DMG|8aVULN|9RMIN
158	63641 22141	   	174.90	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1MBVNT|2AART|3RCR|4CANHEL|5CDMG|6ZMB|7DMG|89VULN|aBELT
159	63641 22145	   	174.90	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1MBVNT|2AART|3RCR|4CANHEL|5CDMG|6ZMB|7DMG|89VULN|aRCVC
160	63641 22148	   	174.90	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1MBVNT|2AART|3RCR|4CANHEL|5CDMG|6ZMB|7DMG|89VULN|aFEWX
