0	Index      	 *	Score 	Summary	Detail	
1	15262 12335	 * 	206.88	ACR|3DMG|2VULN|1AART|1CDMG|1ZMB|1DUR	136DMG|27VULN|4DUR|5RCR|8AART|9CDMG|aZMB
35	26531 36223	 * 	191.45	DCR|3VULN|1AART|1DMG|2CDMG|1ZMB	17LHND|27CDMG|3AART|4DMG|5LIT|679VULN|7BPWR|8RCR|aZMB
36	12211 13623	   	191.02	DCR|3VULN|3DMG|1AART	134DMG|2LHND|59aVULN|6TLV|7AART|8RCR
37	15214 13623	   	191.02	DCR|3VULN|3DMG|1AART	134DMG|29aVULN|5LHND|6TLV|7AART|8RCR
38	14213 44376	   	190.93	DCR|3DMG|2VULN|1AART|1ZMB|1SELL	134DMG|2MBVNT|59VULN|6RCR|7AART|8SELL|aZMB
39	14213 33468	   	190.91	DCR|3DMG|2VULN|1AART|1ZMB|1DUR	134DMG|2MBVNT|56VULN|7AART|8ZMB|9RCR|aDUR
40	15235 82114	   	190.80	DCR|3DMG|2VULN|1AART|2DUR	139DMG|2aVULN|4MBVNT|5aLWND|6AART|7RCR|8aDUR|aBPWR
41	14213 41346	   	190.57	DCR|3DMG|2VULN|1AART|1ZMB	134DMG|2MBVNT|5aVULN|6RCR|7RCVC|8AART|9ZMB
42	14213 44814	   	190.11	DCR|3DMG|1AART|1VULN|1CDMG|1ASPD|1DUR	134DMG|2MBVNT|5VULN|6RCR|7AART|8CDMG|9ASPD|aDUR
43	15213 22116	   	190.06	DCR|3DMG|2VULN|1AART|1CDMG|1DUR	134DMG|26VULN|5CDMG|7CGEN|8DUR|9AART|aRCR
44	15213 24116	   	190.06	DCR|3DMG|2VULN|1AART|1CDMG|1DUR	134DMG|26VULN|5CDMG|7DUR|8CGEN|9AART|aRCR
45	14247 11414	 * 	190.01	DCR|3VULN|3DMG|3ZMB	137DMG|2MBVNT|479ZMB|579VULN|6RMIN|79BPWR|89FEWX|aRCR
46	14231 71463	   	189.72	DCR|3VULN|3DMG|1AART	137DMG|2MBVNT|48TLV|5AART|68aVULN|8BPWR|9RCR
47	15223 12615	   	189.55	DCR|3VULN|3DMG|2DUR|1ZMB	136DMG|279VULN|49FEWX|59DUR|8RCR|9BPWR|aZMB
48	15213 23136	 * 	189.43	DCR|3DMG|2VULN|1AART|2CDMG	134DMG|26VULN|57CDMG|8FEWX|9AART|aRCR
49	15213 23236	   	189.33	DCR|3DMG|2VULN|1AART|2CDMG	134DMG|26VULN|57CDMG|8DUST|9AART|aRCR
50	12611 11625	   	189.32	DCR|3VULN|3DMG|1AART	167DMG|2LHND|357VULN|47DUST|7BPWR|8RCR|9LIT|aAART
51	15262 13335	   	189.29	ACR|3DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	136DMG|2VULN|4DUR|5RCR|7DMSP|8AART|9CDMG|aZMB
52	15111 11613	   	189.21	DCR|3VULN|3DMG|3DUR|1ASPD	167DMG|259VULN|379DUR|479DUST|79BPWR|8RCR|aASPD
53	15152 12133	   	188.90	DCR|2VULN|2DMG|1AART|1CDMG|2DUR	19DMG|28VULN|39DUR|4CDMG|5BEXP|6RCR|79LIT|9BPWR|aAART
54	12662 31632	 * 	188.89	ACR|3VULN|2DMG|2CDMG|1ZMB|1DUR	1aDMG|2LHND|36aVULN|4DUR|5RCR|7LEGI|8ZMB|9aCDMG|aBPWR
55	15153 12133	   	188.80	DCR|2VULN|2DMG|1AART|1CDMG|2DUR	19DMG|28VULN|39DUR|4CDMG|5DUST|6RCR|79LIT|9BPWR|aAART
56	12632 12623	 * 	188.79	ACR|4VULN|2DMG|1AART	16DMG|24LHND|378aVULN|5RCR|9AART
57	15532 12623	   	188.79	ACR|4VULN|2DMG|1AART	16DMG|278aVULN|34LHND|5RCR|9AART
58	14744 13143	   	188.72	DCR|3VULN|3DMG|1AART	146DMG|2MBVNT|34aVULN|4BPWR|5LHND|7AART|8BEXP|9RCR
59	24221 11332	 * 	188.57	DCR|3VULN|2DMG|2CDMG|1ZMB|1DUR	1LHND|25aVULN|3ZMB|4LWND|6aDMG|7DUR|8RCR|9aCDMG|aBPWR
60	24261 12332	   	188.57	DCR|3VULN|2DMG|2CDMG|1ZMB|1DUR	1LHND|25aVULN|3ZMB|4DUR|6aDMG|7LWND|8RCR|9aCDMG|aBPWR
61	12632 11634	   	187.94	ACR|3DMG|2VULN|1AART|1CDMG	167DMG|247LHND|37VULN|5RCR|7BPWR|8RMIN|9CDMG|aAART
62	14244 11266	   	187.92	DCR|3DMG|2VULN|1AART|2ZMB	135DMG|2MBVNT|45ZMB|5BPWR|6RCVC|7AART|8aVULN|9RCR
63	12632 11134	   	187.84	ACR|3DMG|2VULN|1AART|1CDMG	167DMG|247LHND|37VULN|5RCR|7BPWR|8TLV|9CDMG|aAART
64	15532 11134	   	187.84	ACR|3DMG|2VULN|1AART|1CDMG	167DMG|27VULN|347LHND|5RCR|7BPWR|8TLV|9CDMG|aAART
65	14231 71464	   	187.72	DCR|3DMG|2VULN|1AART|1CDMG	137DMG|2MBVNT|48TLV|5AART|68VULN|8BPWR|9RCR|aCDMG
66	15211 21431	   	187.65	DCR|4VULN|3DMG|2DUR	134DMG|2567VULN|7BPWR|89DUR|aRCR
67	15211 22431	   	187.65	DCR|4VULN|3DMG|2DUR	134DMG|2567VULN|89DUR|aRCR
68	14241 71722	   	187.57	DCR|3DMG|2VULN|1AART|1ZMB	137DMG|2MBVNT|4ZMB|5AART|69VULN|8RCR|aRMIN
69	14241 71724	   	187.57	DCR|3DMG|2VULN|1AART|1ZMB	137DMG|2MBVNT|4ZMB|5AART|69VULN|8RCR|aLHND
70	15262 12325	   	187.52	ACR|3DMG|2VULN|1AART|2DUR	136DMG|27VULN|4aDUR|5RCR|8AART|9BEXP
71	14241 71721	   	187.47	DCR|3DMG|2VULN|1AART|1ZMB	137DMG|2MBVNT|4ZMB|5AART|69VULN|8RCR|aTLV
72	14241 71723	   	187.47	DCR|3DMG|2VULN|1AART|1ZMB	137DMG|2MBVNT|4ZMB|5AART|69VULN|8RCR|aERES
73	26531 36222	   	187.38	DCR|3VULN|1AART|1DMG|2CDMG|1ASPD	17LHND|27CDMG|3AART|4DMG|5LIT|679VULN|7BPWR|8RCR|aASPD
74	12632 11553	   	187.33	ACR|3VULN|3DMG|1CDMG|1ASPD	167DMG|247LHND|379VULN|5RCR|7BPWR|8ASPD|aCDMG
75	15243 23123	   	187.30	DCR|3VULN|3DMG|1CDMG|2DUR	138DMG|289VULN|4ERES|5BELT|6CDMG|78DUR|8BPWR|aRCR
76	14213 44146	   	187.23	DCR|3DMG|1AART|1VULN|1CDMG|1ZMB	134DMG|2MBVNT|5VULN|6RCR|7AART|8FEWX|9CDMG|aZMB
77	14213 44654	   	187.23	DCR|3DMG|1AART|1VULN|1CDMG|1ZMB	134DMG|2MBVNT|5VULN|6RCR|7AART|8MLV|9ZMB|aCDMG
78	14213 44183	   	187.11	DCR|3DMG|2VULN|1AART|1DUR	134DMG|2MBVNT|5aVULN|6RCR|7AART|8FEWX|9DUR
79	14213 44628	   	187.11	DCR|3DMG|2VULN|1AART|1DUR	134DMG|2MBVNT|59VULN|6RCR|7AART|8MLV|aDUR
80	15262 12153	   	187.03	ACR|3VULN|3DMG|1CDMG|1DUR	136DMG|279VULN|4DUR|5RCR|8TLV|aCDMG
81	14213 83722	   	186.97	DCR|3DMG|2VULN|1AART|1ZMB	134DMG|2MBVNT|59VULN|6AART|7ZMB|8RCR|aRMIN
82	14213 83724	   	186.97	DCR|3DMG|2VULN|1AART|1ZMB	134DMG|2MBVNT|59VULN|6AART|7ZMB|8RCR|aLHND
83	14213 83721	   	186.87	DCR|3DMG|2VULN|1AART|1ZMB	134DMG|2MBVNT|59VULN|6AART|7ZMB|8RCR|aTLV
84	14213 83723	   	186.87	DCR|3DMG|2VULN|1AART|1ZMB	134DMG|2MBVNT|59VULN|6AART|7ZMB|8RCR|aERES
85	14213 44313	   	186.86	DCR|3DMG|2VULN|1AART|1ASPD|1SELL	134DMG|2MBVNT|5aVULN|6RCR|7AART|8SELL|9ASPD
86	14213 41336	   	186.63	DCR|3DMG|1AART|1VULN|1CDMG|1ZMB	134DMG|2MBVNT|5VULN|6RCR|7RCVC|8AART|9CDMG|aZMB
87	15211 21321	   	186.42	DCR|4VULN|3DMG|1ZMB	134DMG|2567VULN|7BPWR|8ZMB|9CGEN|aRCR
88	15211 22321	   	186.42	DCR|4VULN|3DMG|1ZMB	134DMG|2567VULN|8ZMB|9CGEN|aRCR
89	12211 13644	   	186.37	DCR|3DMG|2VULN|1AART|1ZMB	134DMG|2LHND|5aVULN|6TLV|7AART|8RCR|9ZMB
90	15211 21311	   	186.32	DCR|4VULN|3DMG|1ZMB	134DMG|2567VULN|7BPWR|8ZMB|9TLV|aRCR
91	15211 22311	   	186.32	DCR|4VULN|3DMG|1ZMB	134DMG|2567VULN|8ZMB|9TLV|aRCR
92	15111 11625	   	185.90	DCR|3DMG|2VULN|1AART|2DUR	167DMG|25VULN|37DUR|47DUST|7BPWR|8RCR|9LIT|aAART
93	15211 23485	   	185.87	DCR|3VULN|3DMG|1CDMG|1ZMB	134DMG|256VULN|7MBVNT|8CDMG|9ZMB|aRCR
94	15238 51332	   	185.82	DCR|3VULN|3DMG|1AART	137DMG|257VULN|4MBVNT|67BEXP|7BPWR|8AART|9BELT|aRCR
95	12632 12622	   	185.69	ACR|3VULN|2DMG|1AART|1ZMB	16DMG|24LHND|378VULN|5RCR|9AART|aZMB
96	15532 12622	   	185.69	ACR|3VULN|2DMG|1AART|1ZMB	16DMG|278VULN|34LHND|5RCR|9AART|aZMB
97	14721 82243	   	185.51	DCR|3VULN|2DMG|1AART|1ASPD	18DMG|2MBVNT|358VULN|48LWND|6AART|7RCR|8BPWR|9LHND|aASPD
98	15235 82223	   	185.51	DCR|3DMG|2VULN|1AART|1DUR	138DMG|28VULN|4MBVNT|58LWND|6AART|7RCR|8BPWR|9BEXP|aDUR
99	14743 11316	   	185.48	DCR|3VULN|3DMG|1AART|1SELL	147DMG|2MBVNT|347VULN|47BPWR|5NUKE|6RMIN|8AART|9SELL|aRCR
100	14721 82213	   	185.41	DCR|3VULN|2DMG|1AART|1ASPD	18DMG|2MBVNT|358VULN|48LWND|6AART|7RCR|8BPWR|9DUST|aASPD
101	14241 71462	   	185.17	DCR|3DMG|2VULN|1AART|1ZMB	137DMG|2MBVNT|4ZMB|5AART|68VULN|9RCR|aRMIN
102	14241 71464	   	185.17	DCR|3DMG|2VULN|1AART|1ZMB	137DMG|2MBVNT|4ZMB|5AART|68VULN|9RCR|aLHND
103	14241 71461	   	185.07	DCR|3DMG|2VULN|1AART|1ZMB	137DMG|2MBVNT|4ZMB|5AART|68VULN|9RCR|aTLV
104	14241 71463	   	185.07	DCR|3DMG|2VULN|1AART|1ZMB	137DMG|2MBVNT|4ZMB|5AART|68VULN|9RCR|aERES
105	15262 12533	   	185.02	ACR|3DMG|2VULN|2ASPD|1CDMG|1DUR	136DMG|27VULN|4DUR|5RCR|89ASPD|aCDMG
106	15211 16136	   	184.88	DCR|3VULN|3DMG|1AART|1SELL	134DMG|257VULN|6SELL|8FEWX|9AART|aRCR
107	15211 11536	   	184.78	DCR|3VULN|3DMG|1AART|1SELL	134DMG|258VULN|6SELL|7DUST|9AART|aRCR
108	15211 16236	   	184.78	DCR|3VULN|3DMG|1AART|1SELL	134DMG|257VULN|6SELL|8DUST|9AART|aRCR
109	14213 83462	   	184.57	DCR|3DMG|2VULN|1AART|1ZMB	134DMG|2MBVNT|58VULN|6AART|7ZMB|9RCR|aRMIN
110	14213 83464	   	184.57	DCR|3DMG|2VULN|1AART|1ZMB	134DMG|2MBVNT|58VULN|6AART|7ZMB|9RCR|aLHND
111	14772 43414	   	184.50	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	19DMG|2MBVNT|38VULN|4AART|5DUR|6LWND|7RCR|aCDMG
112	14772 43444	   	184.50	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1aDMG|2MBVNT|38VULN|4AART|5DUR|6LWND|7RCR|9CDMG
113	14213 83461	   	184.47	DCR|3DMG|2VULN|1AART|1ZMB	134DMG|2MBVNT|58VULN|6AART|7ZMB|9RCR|aTLV
114	14213 83463	   	184.47	DCR|3DMG|2VULN|1AART|1ZMB	134DMG|2MBVNT|58VULN|6AART|7ZMB|9RCR|aERES
115	14213 33462	   	183.97	DCR|3DMG|2VULN|1AART|1ZMB	134DMG|2MBVNT|56VULN|7AART|8ZMB|9RCR|aRMIN
116	14213 33464	   	183.97	DCR|3DMG|2VULN|1AART|1ZMB	134DMG|2MBVNT|56VULN|7AART|8ZMB|9RCR|aLHND
117	14213 33465	   	183.97	DCR|3DMG|2VULN|1AART|1ZMB	134DMG|2MBVNT|56VULN|7AART|8ZMB|9RCR|aFEWX
118	14213 33461	   	183.87	DCR|3DMG|2VULN|1AART|1ZMB	134DMG|2MBVNT|56VULN|7AART|8ZMB|9RCR|aTLV
119	14213 33463	   	183.87	DCR|3DMG|2VULN|1AART|1ZMB	134DMG|2MBVNT|56VULN|7AART|8ZMB|9RCR|aERES
120	15213 62423	   	183.72	DCR|3DMG|2VULN|1AART|1CDMG	134DMG|29VULN|5CDMG|6LIT|7RCVC|8AART|aRCR
121	45316 21113	   	183.67	DCR|3VULN|2DMG|1AART	1AART|24aVULN|348ERES|4BPWR|5CGEN|6RCR|79DMG
122	14241 71731	   	183.63	DCR|3DMG|1AART|1VULN|1CDMG|1ZMB	137DMG|2MBVNT|4ZMB|5AART|6VULN|8RCR|9LWND|aCDMG
123	14241 71744	   	183.63	DCR|3DMG|1AART|1VULN|1CDMG|1ZMB	137DMG|2MBVNT|4ZMB|5AART|6VULN|8RCR|9CGEN|aCDMG
124	42253 31225	   	183.58	DCR|2VULN|2DMG|1AART|2CDMG	1AART|23aLIT|3aBPWR|4aCDMG|5LHND|69VULN|7aDMG|8RCR
125	12611 12226	 * 	183.47	DCR|4VULN|2DMG|1AART	16DMG|2LHND|3578VULN|4DUST|9AART|aRCR
126	15511 12226	   	183.47	DCR|4VULN|2DMG|1AART	16DMG|2578VULN|3LHND|4DUST|9AART|aRCR
127	14721 82114	   	183.30	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	19DMG|2MBVNT|35VULN|4LWND|6AART|7RCR|8DUR|aCDMG
128	14721 82144	   	183.30	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1aDMG|2MBVNT|35VULN|4LWND|6AART|7RCR|8DUR|9CDMG
129	41142 26211	 * 	183.23	ACR|2AART|2DMG|1VULN|2DUR|1ZMB	19AART|2ZMB|3DUST|4RCR|57DUR|6aDMG|8VULN
130	14213 44142	   	183.17	DCR|3DMG|1AART|1VULN|1CDMG|1ASPD	134DMG|2MBVNT|5VULN|6RCR|7AART|8FEWX|9CDMG|aASPD
131	14213 44226	   	183.17	DCR|3DMG|1AART|1VULN|1CDMG|1ASPD	134DMG|2MBVNT|5VULN|6RCR|7AART|8LIT|9ASPD|aCDMG
132	14213 44255	   	183.17	DCR|3DMG|1AART|1VULN|1CDMG|1ASPD	134DMG|2MBVNT|5VULN|6RCR|7AART|8LIT|9CDMG|aASPD
133	14213 44442	   	183.17	DCR|3DMG|1AART|1VULN|1CDMG|1ASPD	134DMG|2MBVNT|5VULN|6RCR|7AART|8LWND|9CDMG|aASPD
134	14213 44811	   	183.17	DCR|3DMG|1AART|1VULN|1CDMG|1ASPD	134DMG|2MBVNT|5VULN|6RCR|7AART|8CDMG|9ASPD|aCGEN
135	14213 44812	   	183.17	DCR|3DMG|1AART|1VULN|1CDMG|1ASPD	134DMG|2MBVNT|5VULN|6RCR|7AART|8CDMG|9ASPD|aFEWX
136	14213 44817	   	183.17	DCR|3DMG|1AART|1VULN|1CDMG|1ASPD	134DMG|2MBVNT|5VULN|6RCR|7AART|8CDMG|9ASPD|aLHND
137	14213 44818	   	183.17	DCR|3DMG|1AART|1VULN|1CDMG|1ASPD	134DMG|2MBVNT|5VULN|6RCR|7AART|8CDMG|9ASPD|aRCVC
138	14213 44824	   	183.17	DCR|3DMG|1AART|1VULN|1CDMG|1DUR	134DMG|2MBVNT|5VULN|6RCR|7AART|8CDMG|9RMIN|aDUR
139	14213 44832	   	183.17	DCR|3DMG|1AART|1VULN|1CDMG|1ASPD	134DMG|2MBVNT|5VULN|6RCR|7AART|8CDMG|9LWND|aASPD
140	14213 44842	   	183.17	DCR|3DMG|1AART|1VULN|1CDMG|1ASPD	134DMG|2MBVNT|5VULN|6RCR|7AART|8CDMG|9LHND|aASPD
141	14213 44854	   	183.17	DCR|3DMG|1AART|1VULN|1CDMG|1DUR	134DMG|2MBVNT|5VULN|6RCR|7AART|8CDMG|9MLV|aDUR
142	15213 22216	   	183.12	DCR|3DMG|2VULN|1AART|1CDMG	134DMG|26VULN|5CDMG|7CGEN|8FEWX|9AART|aRCR
143	15213 22536	   	183.12	DCR|3DMG|2VULN|1AART|1CDMG	134DMG|26VULN|5CDMG|7CGEN|8RMIN|9AART|aRCR
144	14213 83731	   	183.03	DCR|3DMG|1AART|1VULN|1CDMG|1ZMB	134DMG|2MBVNT|5VULN|6AART|7ZMB|8RCR|9LWND|aCDMG
145	14213 83744	   	183.03	DCR|3DMG|1AART|1VULN|1CDMG|1ZMB	134DMG|2MBVNT|5VULN|6AART|7ZMB|8RCR|9CGEN|aCDMG
146	15213 21116	   	183.02	DCR|3DMG|2VULN|1AART|1CDMG	134DMG|26VULN|5CDMG|7DUST|8CGEN|9AART|aRCR
147	15213 25336	   	183.02	DCR|3DMG|2VULN|1AART|1CDMG	134DMG|26VULN|5CDMG|7ERES|8CGEN|9AART|aRCR
148	14772 43344	   	182.57	DCR|3DMG|1AART|1VULN|1CDMG|1DUR	18aDMG|2MBVNT|3VULN|4AART|5DUR|6LWND|7RCR|9CDMG
149	14213 44251	   	182.54	DCR|3DMG|1AART|1VULN|2CDMG	134DMG|2MBVNT|5VULN|6RCR|7AART|8LIT|9aCDMG
150	14213 44446	   	182.54	DCR|3DMG|1AART|1VULN|2CDMG	134DMG|2MBVNT|5VULN|6RCR|7AART|8LWND|9aCDMG
151	14213 44836	   	182.54	DCR|3DMG|1AART|1VULN|2CDMG	134DMG|2MBVNT|5VULN|6RCR|7AART|8aCDMG|9LWND
152	14213 44846	   	182.54	DCR|3DMG|1AART|1VULN|2CDMG	134DMG|2MBVNT|5VULN|6RCR|7AART|8aCDMG|9LHND
153	15216 33622	   	182.41	DCR|3DMG|2VULN|1AART|1DUR	134DMG|29VULN|5CGEN|6DUR|7AART|8RCR|aRMIN
154	15222 11335	   	182.35	ACR|3DMG|1AART|1VULN|1CDMG|1ZMB	136DMG|2VULN|4FEWX|5RCR|7RCVC|8AART|9CDMG|aZMB
155	15216 33621	   	182.31	DCR|3DMG|2VULN|1AART|1DUR	134DMG|29VULN|5CGEN|6DUR|7AART|8RCR|aTLV
156	15216 33623	   	182.31	DCR|3DMG|2VULN|1AART|1DUR	134DMG|29VULN|5CGEN|6DUR|7AART|8RCR|aERES
157	15111 11352	   	182.30	DCR|3DMG|2VULN|1AART|2DUR	167DMG|25VULN|37DUR|47DUST|7BPWR|8AART|9CGEN|aRCR
158	15111 11611	   	182.27	DCR|3VULN|3DMG|3DUR	167DMG|259VULN|379DUR|479DUST|79BPWR|8RCR|aRCVC
159	15111 11614	   	182.27	DCR|3VULN|3DMG|3DUR	167DMG|259VULN|379DUR|479DUST|79BPWR|8RCR|aLIT
160	15111 11615	   	182.27	DCR|3VULN|3DMG|3DUR	167DMG|259VULN|379DUR|479DUST|79BPWR|8RCR|aRMIN
161	15111 11616	   	182.27	DCR|3VULN|3DMG|3DUR	167DMG|259VULN|379DUR|479DUST|79BPWR|8RCR|aBELT
162	15252 11335	   	182.25	ACR|3DMG|1AART|1VULN|1CDMG|1ZMB	136DMG|2VULN|4DUST|5RCR|7RCVC|8AART|9CDMG|aZMB
163	15262 12322	   	182.23	ACR|3DMG|2VULN|1AART|1DUR	136DMG|27VULN|4DUR|5RCR|8AART|9BEXP|aFEWX
164	15262 12323	   	182.23	ACR|3DMG|2VULN|1AART|1DUR	136DMG|27VULN|4DUR|5RCR|8AART|9BEXP|aLHND
165	15262 12352	   	182.23	ACR|3DMG|2VULN|1AART|1DUR	136DMG|27VULN|4DUR|5RCR|8AART|9CGEN|aRMIN
166	15262 12362	   	182.23	ACR|3DMG|2VULN|1AART|1DUR	136DMG|27VULN|4DUR|5RCR|8AART|9LWND|aBEXP
167	15262 13324	   	182.23	ACR|3DMG|2VULN|1AART|1DUR	136DMG|2aVULN|4DUR|5RCR|7DMSP|8AART|9BEXP
168	41251 43321	   	182.22	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1AART|2ZMB|3LIT|4DMG|5CDMG|6RCR|7CGEN|8DUR|9aVULN
169	15111 11312	   	182.20	DCR|3DMG|2VULN|1AART|2DUR	167DMG|25VULN|37DUR|47DUST|7BPWR|8AART|9NUKE|aRCR
170	15262 12312	   	182.13	ACR|3DMG|2VULN|1AART|1DUR	136DMG|27VULN|4DUR|5RCR|8AART|9NUKE|aRMIN
171	15262 12314	   	182.13	ACR|3DMG|2VULN|1AART|1DUR	136DMG|27VULN|4DUR|5RCR|8AART|9NUKE|aBEXP
172	15262 12316	   	182.13	ACR|3DMG|2VULN|1AART|1DUR	136DMG|27VULN|4DUR|5RCR|8AART|9NUKE|aLHND
173	15262 12321	   	182.13	ACR|3DMG|2VULN|1AART|1DUR	136DMG|27VULN|4DUR|5RCR|8AART|9BEXP|aERES
174	15262 12351	   	182.13	ACR|3DMG|2VULN|1AART|1DUR	136DMG|27VULN|4DUR|5RCR|8AART|9CGEN|aTLV
175	15262 12353	   	182.13	ACR|3DMG|2VULN|1AART|1DUR	136DMG|27VULN|4DUR|5RCR|8AART|9CGEN|aERES
176	15262 12361	   	182.13	ACR|3DMG|2VULN|1AART|1DUR	136DMG|27VULN|4DUR|5RCR|8AART|9LWND|aERES
177	15262 12363	   	182.13	ACR|3DMG|2VULN|1AART|1DUR	136DMG|27VULN|4DUR|5RCR|8AART|9LWND|aLEGI
178	15262 13315	   	182.13	ACR|3DMG|2VULN|1AART|1DUR	136DMG|2aVULN|4DUR|5RCR|7DMSP|8AART|9NUKE
