0	Index      	 *	Score 	Summary	Detail	
1	34561 11322	 * 	236.48	DCR|4VULN|2AART|2ASPD|1DUR	18ASPD|27AART|3468VULN|5RCVC|8BPWR|9RCR|aDUR
58	35511 22211	   	211.84	DCR|2VULN|2DMG|2ASPD|1CDMG|1SELL	18ASPD|2SELL|38VULN|4CDMG|5LWND|6RCR|78DMG|8BPWR|9CGEN|aERES
59	35511 22214	   	211.84	DCR|2VULN|2DMG|2ASPD|1CDMG|1SELL	18ASPD|2SELL|38VULN|4CDMG|5LWND|6RCR|78DMG|8BPWR|9CGEN|aDUST
60	35511 22232	   	211.84	DCR|2VULN|2DMG|2ASPD|1CDMG|1SELL	18ASPD|2SELL|38VULN|4CDMG|59LWND|6RCR|78DMG|8BPWR|aTLV
61	35511 22235	   	211.84	DCR|2VULN|2DMG|2ASPD|1CDMG|1SELL	18ASPD|2SELL|38VULN|4CDMG|59LWND|6RCR|78DMG|8BPWR|aERES
62	35511 22236	   	211.84	DCR|2VULN|2DMG|2ASPD|1CDMG|2SELL	18ASPD|2aSELL|38VULN|4CDMG|59LWND|6RCR|78DMG|8BPWR
63	35511 22241	   	211.84	DCR|2VULN|2DMG|2ASPD|1CDMG|1SELL	18ASPD|2SELL|38VULN|4CDMG|5LWND|6RCR|78DMG|8BPWR|9BASARM|aFEWX
64	35511 22251	   	211.84	DCR|2VULN|2DMG|2ASPD|1CDMG|1SELL	18ASPD|2SELL|38VULN|4CDMG|5LWND|6RCR|78DMG|8BPWR|9DUST|aFEWX
65	35511 22252	   	211.84	DCR|2VULN|2DMG|2ASPD|1CDMG|1SELL	18ASPD|2SELL|38VULN|4CDMG|5LWND|6RCR|78DMG|8BPWR|9DUST|aDMSP
66	35514 22211	   	211.84	DCR|2VULN|2DMG|2ASPD|1CDMG|1SELL	18ASPD|2SELL|38VULN|4CDMG|5LHND|6RCR|78DMG|8BPWR|9CGEN|aERES
67	35513 22211	   	211.74	DCR|2VULN|2DMG|2ASPD|1CDMG|1SELL	18ASPD|2SELL|38VULN|4CDMG|5DUST|6RCR|78DMG|8BPWR|9CGEN|aERES
68	35513 22214	   	211.74	DCR|2VULN|2DMG|2ASPD|1CDMG|1SELL	18ASPD|2SELL|38VULN|4CDMG|5aDUST|6RCR|78DMG|8BPWR|9CGEN
69	35513 22235	   	211.74	DCR|2VULN|2DMG|2ASPD|1CDMG|1SELL|1MSE	18ASPD|2SELL|38VULN|4CDMG|5DUST|6RCR|78DMG|8BPWR|9LWND|aMSE
70	35513 22241	   	211.74	DCR|2VULN|2DMG|2ASPD|1CDMG|1SELL	18ASPD|2SELL|38VULN|4CDMG|5DUST|6RCR|78DMG|8BPWR|9BASARM|aBELT
71	35513 22242	   	211.74	DCR|2VULN|2DMG|2ASPD|1CDMG|1SELL	18ASPD|2SELL|38VULN|4CDMG|5DUST|6RCR|78DMG|8BPWR|9BASARM|aLWND
72	35513 22243	   	211.74	DCR|2VULN|2DMG|2ASPD|1CDMG|1SELL	18ASPD|2SELL|38VULN|4CDMG|5DUST|6RCR|78DMG|8BPWR|9BASARM|aBEXP
73	35513 22251	   	211.74	DCR|2VULN|2DMG|2ASPD|1CDMG|1SELL	18ASPD|2SELL|38VULN|4CDMG|59DUST|6RCR|78DMG|8BPWR|aBEXP
74	35513 22253	   	211.74	DCR|2VULN|2DMG|2ASPD|1CDMG|1SELL	18ASPD|2SELL|38VULN|4CDMG|59DUST|6RCR|78DMG|8BPWR|aCGEN
75	35513 22261	   	211.74	DCR|2VULN|2DMG|2ASPD|1CDMG|1SELL	18ASPD|2SELL|38VULN|4CDMG|5DUST|6RCR|78DMG|8BPWR|9LIT|aERES
76	35513 22262	   	211.74	DCR|2VULN|2DMG|2ASPD|1CDMG|1SELL	18ASPD|2SELL|38VULN|4CDMG|5DUST|6RCR|78DMG|8BPWR|9LIT|aDLOT
77	35511 22221	   	211.74	DCR|2VULN|2DMG|2ASPD|1CDMG|1SELL|1MSE	18ASPD|2SELL|38VULN|4CDMG|5LWND|6RCR|78DMG|8BPWR|9MSE|aFEWX
78	35511 22222	   	211.74	DCR|2VULN|2DMG|2ASPD|1CDMG|1SELL|1MSE	18ASPD|2SELL|38VULN|4CDMG|5LWND|6RCR|78DMG|8BPWR|9MSE|aDMSP
79	35511 22223	 * 	211.74	DCR|2VULN|2DMG|2ASPD|2CDMG|1SELL|1MSE	18ASPD|2SELL|38VULN|4aCDMG|5LWND|6RCR|78DMG|8BPWR|9MSE
80	35511 22224	 * 	211.74	DCR|3DMG|2VULN|2ASPD|1CDMG|1SELL|1MSE	18ASPD|2SELL|38VULN|4CDMG|5LWND|6RCR|78aDMG|8BPWR|9MSE
81	35511 22225	   	211.74	DCR|2VULN|2DMG|2ASPD|1CDMG|1SELL|2MSE	18ASPD|2SELL|38VULN|4CDMG|5LWND|6RCR|78DMG|8BPWR|9aMSE
82	35511 22226	   	211.74	DCR|2VULN|2DMG|2ASPD|1CDMG|1SELL|1MSE	18ASPD|2SELL|38VULN|4CDMG|5LWND|6RCR|78DMG|8BPWR|9MSE|aCGEN
83	35511 22243	   	211.74	DCR|2VULN|2DMG|2ASPD|1CDMG|1SELL	18ASPD|2SELL|38VULN|4CDMG|5LWND|6RCR|78DMG|8BPWR|9BASARM|aERES
84	35514 22221	   	211.74	DCR|2VULN|2DMG|2ASPD|1CDMG|1SELL|1MSE	18ASPD|2SELL|38VULN|4CDMG|5LHND|6RCR|78DMG|8BPWR|9MSE|aFEWX
85	35514 22222	   	211.74	DCR|2VULN|2DMG|2ASPD|1CDMG|1SELL|1MSE	18ASPD|2SELL|38VULN|4CDMG|5LHND|6RCR|78DMG|8BPWR|9MSE|aDMSP
86	35514 22223	 * 	211.74	DCR|2VULN|2DMG|2ASPD|2CDMG|1SELL|1MSE	18ASPD|2SELL|38VULN|4aCDMG|5LHND|6RCR|78DMG|8BPWR|9MSE
87	35513 22221	   	211.64	DCR|2VULN|2DMG|2ASPD|1CDMG|1SELL|1MSE	18ASPD|2SELL|38VULN|4CDMG|5DUST|6RCR|78DMG|8BPWR|9MSE|aFEWX
88	35513 22222	   	211.64	DCR|2VULN|2DMG|2ASPD|1CDMG|1SELL|1MSE	18ASPD|2SELL|38VULN|4CDMG|5DUST|6RCR|78DMG|8BPWR|9MSE|aLEGI
89	35513 22223	   	211.64	DCR|2VULN|2DMG|2ASPD|1CDMG|1SELL|1MSE	18ASPD|2SELL|38VULN|4CDMG|5DUST|6RCR|78DMG|8BPWR|9MSE|aBEXP
90	35513 22224	 * 	211.64	DCR|3DMG|2VULN|2ASPD|1CDMG|1SELL|1MSE	18ASPD|2SELL|38VULN|4CDMG|5DUST|6RCR|78aDMG|8BPWR|9MSE
91	35513 22252	   	211.64	DCR|2VULN|2DMG|2ASPD|1CDMG|1SELL	18ASPD|2SELL|38VULN|4CDMG|59DUST|6RCR|78DMG|8BPWR|aTLV
92	63214 14111	   	211.14	DCR|2VULN|1MDPS|2DMG|1ASPD|1NUKE	1RPLT|28DMG|38MLV|4ASPD|5SPLJET|6RCR|78VULN|8BPWR|9NUKE|aMDPS
93	63314 14111	   	211.14	DCR|2VULN|2DMG|1MDPS|1ASPD|1NUKE	1RPLT|28DMG|38CGEN|4ASPD|5SPLJET|6RCR|78VULN|8BPWR|9NUKE|aMDPS
94	34315 11335	   	210.75	DCR|3VULN|2AART|2ASPD	18ASPD|27AART|38AELBLL|4RCVC|568VULN|8BPWR|9TSLFST|aRCR
95	34123 35361	 * 	210.34	DCR|1SPLARM|2VULN|1AART|1ASPD|1DMG|1AAC	1ASPD|2AART|3DUST|4DMG|5FEWX|6SPLARM|7RCR|89VULN|aAAC
96	35613 23316	 * 	210.32	DCR|3ASPD|2VULN|1AART|2CDMG|1AAC|1SELL	137ASPD|2SELL|37BPWR|4AAC|57VULN|67CDMG|8AART|9LHND|aRCR
97	12622 73141	 * 	210.31	DCR|3VULN|2DMG|3CDMG	178CDMG|2FEWX|3MBVNT|478CGEN|578VULN|6RCR|78BPWR|9aDMG
98	16622 73141	   	210.31	DCR|3VULN|2DMG|3CDMG	178CDMG|2BEXP|3MBVNT|478CGEN|578VULN|6RCR|78BPWR|9aDMG
99	32224 21122	   	209.50	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	1ASPD|2DUR|3AART|47DMG|5LIT|6DUST|8RCR|9aVULN
100	34224 21126	   	209.50	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	1ASPD|2AART|37DMG|49VULN|5LIT|6DUST|8RCR|aDUR
101	34222 61423	   	209.49	DCR|3ASPD|2DMG|1VULN|1AART|1AAC	178ASPD|2AART|37DMG|4VULN|5TLV|67FEWX|7BPWR|9RCR|aAAC
102	16221 13336	 * 	209.10	DCR|2AART|2DMG|1VULN|2CDMG|1DUR	19CDMG|2BEXP|3aAART|49CGEN|5DUR|6VULN|79DMG|8RCR|9BPWR
103	32323 41423	   	209.08	DCR|3ASPD|2VULN|1AART|2DUR|1AAC	178ASPD|27DUR|3RCVC|4LEGI|57VULN|6AART|7BPWR|9RCR|aAAC
104	12264 41221	   	208.81	DCR|3VULN|1AART|1ASPD|1CDMG|1ZMB	1CDMG|2FEWX|3AART|467VULN|5ASPD|8RCR|9RCVC|aZMB
105	34222 41422	   	208.75	DCR|3ASPD|2VULN|1AART|1DMG	178ASPD|2AART|3DMG|47VULN|57TLV|6LEGI|7BPWR|9RCR|aCGEN
106	34222 41423	   	208.75	DCR|3ASPD|2VULN|1AART|1DMG	178ASPD|2AART|3DMG|47VULN|57TLV|6LEGI|7BPWR|9RCR|aFEWX
107	16221 13332	 * 	208.68	DCR|3DMG|1VULN|1AART|2CDMG|1DUR	19CDMG|2BEXP|3AART|49CGEN|5DUR|6VULN|79aDMG|8RCR|9BPWR
108	34262 31212	   	208.35	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|1DUR	1ASPD|2AART|3aDMG|4RCVC|5DUR|6CDMG|7BEXP|8RCR|9VULN
109	34224 36121	   	208.15	DCR|2VULN|2ASPD|1AART|1DMG|1ZMB	1aASPD|2AART|3DMG|49VULN|5LIT|6TLV|7ZMB|8RCR
110	12264 41211	   	208.05	DCR|3VULN|1AART|1ASPD|1CDMG|1ZMB	1CDMG|29FEWX|3AART|467VULN|5ASPD|8RCR|aZMB
111	34124 31126	   	207.98	DCR|2VULN|2AART|1ASPD|1DMG|1DUR	1ASPD|26AART|3DUST|4DMG|5LIT|79VULN|8RCR|aDUR
112	12255 41233	   	207.95	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1CDMG|2FEWX|3AART|4ZMB|567VULN|8RCR|9TSLARM|aDMG
113	12262 22335	   	207.58	DCR|2VULN|1AART|2CDMG|1ASPD|1DMG	19CDMG|2FEWX|3AART|49VULN|5BEXP|6DMG|79CGEN|8RCR|9BPWR|aASPD
114	12264 32332	   	207.58	DCR|2VULN|1AART|2CDMG|1ASPD|1DMG	19CDMG|2FEWX|3AART|49VULN|5ASPD|6BEXP|79CGEN|8RCR|9BPWR|aDMG
115	12264 11332	   	207.48	DCR|2VULN|1AART|2CDMG|1ASPD|1DMG	19CDMG|2FEWX|3AART|49VULN|5ASPD|6ERES|79BEXP|8RCR|9BPWR|aDMG
116	12264 61332	   	207.48	DCR|2VULN|1AART|2CDMG|1ASPD|1DMG	19CDMG|2FEWX|3AART|49VULN|5ASPD|6TLV|79BEXP|8RCR|9BPWR|aDMG
117	12262 23335	   	207.38	DCR|2VULN|1AART|2CDMG|1ASPD|1DMG	19CDMG|2FEWX|3AART|49VULN|5BEXP|6DMG|79ERES|8RCR|9BPWR|aASPD
118	12262 25335	   	207.38	DCR|2VULN|1AART|2CDMG|1ASPD|1DMG	19CDMG|2FEWX|3AART|49VULN|5BEXP|6DMG|79TLV|8RCR|9BPWR|aASPD
119	12264 33332	   	207.38	DCR|2VULN|1AART|2CDMG|1ASPD|1DMG	19CDMG|2FEWX|3AART|49VULN|5ASPD|6BEXP|79ERES|8RCR|9BPWR|aDMG
120	12264 35332	   	207.38	DCR|2VULN|1AART|2CDMG|1ASPD|1DMG	19CDMG|2FEWX|3AART|49VULN|5ASPD|6BEXP|79TLV|8RCR|9BPWR|aDMG
121	12264 15332	   	207.28	DCR|2VULN|1AART|2CDMG|1ASPD|1DMG	19CDMG|2FEWX|3AART|49VULN|5ASPD|6ERES|79DUST|8RCR|9BPWR|aDMG
122	12331 61643	 * 	207.12	DCR|2VULN|2DMG|1MDPS|1ASPD|1CDMG	1CDMG|2FEWX|39VULN|47DMG|5LWND|6RCR|8ASPD|aMDPS
123	31212 14625	 * 	206.68	DCR|3DMG|2ASPD|1VULN|1AART|1NUKE	18ASPD|2NUKE|3AART|4RMIN|567DMG|9VULN|aRCR
