0	Index      	 *	Score 	Summary	Detail	
1	52124 15331	 * 	218.99	DCR|1SPLARM|2VULN|1MDPS|1ASPD|1DMG|1CDMG	13VULN|23MLV|3BPWR|4TLV|5DMG|6ASPD|7CDMG|8RCR|9SPLARM|aMDPS
46	52155 33313	   	201.42	DCR|4VULN|1AART|1ASPD	139aVULN|23MLV|3BPWR|4ASPD|5LWND|6RCR|7FEWX|8AART
47	52112 34313	   	201.32	DCR|4VULN|1AART|1ASPD	139aVULN|23MLV|3BPWR|4LWND|5ASPD|6RCR|7MBVNT|8AART
48	52132 51151	 * 	200.41	DCR|2VULN|1AART|1ASPD|1DMG|3DUR	13VULN|23MLV|3BPWR|468DUR|5ASPD|7AART|9RCR|aDMG
49	53522 42321	   	200.34	DCR|3VULN|2ASPD|1AART|1AAC	124VULN|3RCVC|4BPWR|5AELBLL|68ASPD|7AART|9RCR|aAAC
50	52152 33316	   	200.28	DCR|3VULN|2ASPD|1DMG|1DUR	136VULN|23MLV|3BPWR|47ASPD|5DUST|8RCR|9DUR|aDMG
51	53132 31353	 * 	199.55	DCR|3VULN|2AART|1DMG	12aVULN|3BEXP|4LIT|5LHND|68AART|7RCR|9DMG
52	53135 11353	   	199.55	DCR|3VULN|2AART|1DMG	12aVULN|3BEXP|4LIT|58AART|6LHND|7RCR|9DMG
53	52112 34624	   	199.54	DCR|3VULN|2DMG|1ASPD	13aVULN|23aMLV|3aBPWR|4LWND|5ASPD|6RCR|7MBVNT|8DMSP|9aDMG
54	52112 35223	   	199.44	DCR|3VULN|2DMG|1ASPD	137VULN|23MLV|3BPWR|4LWND|5ASPD|6RCR|8BEXP|9aDMG
55	52112 35522	   	199.44	DCR|3VULN|2DMG|1ASPD	137VULN|23MLV|3BPWR|49LWND|5ASPD|6RCR|8aDMG
56	52112 36123	   	199.44	DCR|3VULN|2DMG|1ASPD	138VULN|23MLV|3BPWR|4LWND|5ASPD|6RCR|7LHND|9aDMG
57	56235 23112	 * 	199.41	DCR|4VULN|2ASPD|2DUR	145aVULN|2RPLT|34DUR|4BPWR|67ASPD|8BEXP|9RCR
58	53231 31355	 * 	199.38	DCR|2VULN|2AART|1MDPS|1DMG|1DUR	12VULN|3LHND|4LIT|5DUR|68AART|7RCR|9DMG|aMDPS
59	52112 34123	   	199.34	DCR|3VULN|2DMG|1ASPD	138VULN|23MLV|3BPWR|4LWND|5ASPD|6RCR|7MBVNT|9aDMG
60	52112 35423	   	199.34	DCR|3VULN|2DMG|1ASPD	137VULN|23MLV|3BPWR|4LWND|5ASPD|6RCR|8DUST|9aDMG
61	56235 23212	   	199.31	DCR|4VULN|2ASPD|2DUR	145aVULN|2RPLT|34DUR|4BPWR|67ASPD|8DUST|9RCR
62	53612 34123	   	199.14	DCR|3VULN|2DMG|1ASPD	128VULN|3ERES|4LWND|5ASPD|6RCR|7MBVNT|9aDMG
63	52123 12312	   	198.48	DCR|3VULN|2ASPD|1DMG|1DUR	137VULN|237MLV|37BPWR|4TLV|5CGEN|67ASPD|8DUR|9RCR|aDMG
64	52112 35334	 * 	198.27	DCR|3VULN|1MDPS|1AART|1ASPD|1AAC	137VULN|23MLV|3BPWR|4LWND|5ASPD|6RCR|8AART|9MDPS|aAAC
65	52112 61335	   	198.21	DCR|3VULN|1AART|1ASPD|1ZMB|1DUR	136VULN|23MLV|3BPWR|4LWND|5ASPD|7DUR|8AART|9RCR|aZMB
66	52132 25335	   	198.21	DCR|3VULN|1AART|1ASPD|1ZMB|1DUR	137VULN|23MLV|3BPWR|4DUR|5ASPD|6LWND|8AART|9RCR|aZMB
67	52152 31135	   	198.11	DCR|3VULN|1AART|1ASPD|1ZMB|1DUR	136VULN|23MLV|3BPWR|4ASPD|5DUST|7AART|8DUR|9RCR|aZMB
68	53123 11135	   	198.11	DCR|3VULN|1AART|1ASPD|1ZMB|1DUR	125VULN|3BEXP|4MLV|6ASPD|7AART|8DUR|9RCR|aZMB
69	53123 21135	   	198.11	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	125VULN|3BEXP|4MLV|6DMG|7AART|8DUR|9RCR|aZMB
70	53222 61335	   	198.11	DCR|3VULN|1AART|1ASPD|1ZMB|1DUR	126VULN|3LHND|4MLV|5ASPD|7DUR|8AART|9RCR|aZMB
71	56235 23113	 * 	198.09	DCR|3VULN|1SPLARM|2ASPD|2DUR	145VULN|2RPLT|34DUR|4BPWR|67ASPD|8BEXP|9RCR|aSPLARM
72	56235 23213	   	197.99	DCR|3VULN|1SPLARM|2ASPD|2DUR	145VULN|2RPLT|34DUR|4BPWR|67ASPD|8DUST|9RCR|aSPLARM
73	53524 23223	   	197.79	DCR|3VULN|1ASPD|1CDMG|1ZMB|1DUR	124VULN|3RCVC|4BPWR|5DUR|6ERES|7RCR|8ZMB|9CDMG|aASPD
74	52123 22313	   	197.63	DCR|4VULN|2DMG|1DUR	137aVULN|237MLV|37BPWR|4TLV|5CGEN|67DMG|8DUR|9RCR
75	52123 22312	 * 	197.44	DCR|3VULN|3DMG|1DUR	137VULN|237MLV|37BPWR|4TLV|5CGEN|67aDMG|8DUR|9RCR
76	55111 24127	 * 	197.37	DCR|3DMG|2VULN|1ASPD|1DUR	18VULN|2MBVNT|3DUR|4FEWX|579DMG|6ASPD|aRCR
77	53222 55333	   	197.14	DCR|3VULN|1MDPS|1AART|1ASPD|1DUR	127VULN|3LHND|4MLV|5ASPD|6DUR|8AART|9RCR|aMDPS
78	53222 61333	   	197.14	DCR|3VULN|1MDPS|1AART|1ASPD|1DUR	126VULN|3LHND|4MLV|5ASPD|7DUR|8AART|9RCR|aMDPS
79	32125 42321	   	197.13	DCR|3VULN|2ASPD|1AART|1AAC	1DMSP|24AELBLL|345VULN|4BPWR|68ASPD|7AART|9RCR|aAAC
80	52512 31313	   	197.09	DCR|3VULN|1AART|1ASPD|1DUR	19aVULN|2MLV|3RCVC|4LWND|5ASPD|6RCR|7DUR|8AART
81	53522 42322	   	196.90	DCR|3VULN|2ASPD|1AART	124VULN|3RCVC|4BPWR|5AELBLL|68ASPD|7AART|9RCR|aERES
82	53522 42323	   	196.90	DCR|3VULN|2ASPD|1AART	124VULN|3RCVC|4BPWR|5AELBLL|68ASPD|7AART|9RCR|aDUST
83	55232 37133	 * 	196.65	DCR|3DMG|1VULN|1AART|1CDMG	1VULN|2MBVNT|3MULARM|4CDMG|5MLV|6RCR|789DMG|aAART
84	52133 63334	   	196.56	DCR|3VULN|1AART|1DMG|2DUR|1AAC	136VULN|235MLV|36BPWR|46DUR|7DMG|8AART|9RCR|aAAC
85	55234 37133	   	196.55	DCR|3DMG|1VULN|1AART|1CDMG	1VULN|2MBVNT|3MULARM|4CDMG|5TLV|6RCR|789DMG|aAART
86	55236 33133	   	196.55	DCR|3DMG|1VULN|1AART|1CDMG	1VULN|2MBVNT|3MULARM|4CDMG|5ERES|6RCR|789DMG|aAART
87	55432 37133	   	196.55	DCR|3DMG|1VULN|1AART|1CDMG	1VULN|2MBVNT|3CANARM|4CDMG|5MLV|6RCR|789DMG|aAART
88	55434 37133	   	196.45	DCR|3DMG|1VULN|1AART|1CDMG	1VULN|2MBVNT|3CANARM|4CDMG|5TLV|6RCR|789DMG|aAART
89	55436 33133	   	196.45	DCR|3DMG|1VULN|1AART|1CDMG	1VULN|2MBVNT|3CANARM|4CDMG|5ERES|6RCR|789DMG|aAART
90	52152 32351	 * 	196.11	DCR|5VULN|1ASPD|1DUR	13679VULN|23MLV|3BPWR|4ASPD|5DUST|8RCR|aDUR
91	52152 33353	   	196.07	DCR|4VULN|2ASPD|1DUR	1369VULN|23MLV|3BPWR|47ASPD|5DUST|8RCR|aDUR
92	52153 13321	   	196.05	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	13VULN|23MLV|3BPWR|4ASPD|5CGEN|6DMG|7FEWX|8AART|9CDMG|aRCR
93	52154 33311	   	196.05	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	13VULN|23MLV|3BPWR|4ASPD|5DMG|6LWND|7CDMG|8AART|9RMIN|aRCR
94	52164 13321	   	196.05	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	13VULN|23MLV|3BPWR|4CGEN|5DMG|6ASPD|7FEWX|8AART|9CDMG|aRCR
95	52112 36315	   	195.90	DCR|3VULN|1AART|1ASPD|1ZMB	139VULN|23MLV|3BPWR|4LWND|5ASPD|6RCR|7LHND|8AART|aZMB
96	52112 34311	   	195.80	DCR|3VULN|1AART|1ASPD|1ZMB	139VULN|23MLV|3BPWR|4LWND|5ASPD|6RCR|7MBVNT|8AART|aZMB
97	53233 52511	   	195.80	DCR|3VULN|1AART|1ASPD|1ZMB	128VULN|3LHND|4LIT|5RPLT|6RCR|7ASPD|9ZMB|aAART
98	52112 34723	   	195.73	DCR|2VULN|2DMG|2ASPD	13VULN|23MLV|3BPWR|4LWND|58ASPD|6RCR|7MBVNT|9aDMG
99	52123 22343	   	195.63	DCR|4VULN|2DMG|1DUR	1379VULN|237MLV|37BPWR|4TLV|5CGEN|67DMG|8DUR|aRCR
100	53612 34311	   	195.60	DCR|3VULN|1AART|1ASPD|1ZMB	129VULN|3ERES|4LWND|5ASPD|6RCR|7MBVNT|8AART|aZMB
101	53336 13633	   	195.43	DCR|4VULN|2DMG|1DUR	1248VULN|3LIT|56DMG|7AELBLL|9DUR|aRCR
102	52112 63333	   	195.42	DCR|4VULN|1AART|1ASPD	136aVULN|23MLV|3BPWR|4LWND|5ASPD|7FEWX|8AART|9RCR
103	53336 11343	   	195.33	DCR|4VULN|2DMG|1DUR	1248VULN|3LIT|56DMG|7ERES|9DUR|aRCR
104	52152 31433	   	195.32	DCR|4VULN|1AART|1ASPD	136aVULN|23MLV|3BPWR|4ASPD|5DUST|7AART|8BEXP|9RCR
105	52156 31333	   	195.32	DCR|4VULN|1AART|1ASPD	136aVULN|23MLV|3BPWR|4ASPD|5FEWX|7AART|8LEGI|9RCR
106	53362 43111	   	195.32	DCR|4VULN|1AART|1DMG	1267VULN|38LIT|4AART|5LHND|9RCR|aDMG
107	53336 13421	 * 	195.24	DCR|3VULN|2DMG|1NUKE	124VULN|3LIT|56DMG|7AELBLL|8RCR|9NUKE|aLHND
108	53336 13422	   	195.24	DCR|3VULN|2DMG|1NUKE	124VULN|3LIT|56DMG|7AELBLL|8RCR|9NUKE|aERES
109	53336 13423	   	195.24	DCR|3VULN|2DMG|1NUKE	124VULN|3LIT|56DMG|7AELBLL|8RCR|9NUKE|aTSLFST
110	52152 31333	   	195.22	DCR|4VULN|1AART|1ASPD	136aVULN|23MLV|3BPWR|4ASPD|5DUST|7AART|8LEGI|9RCR
111	53123 11333	   	195.22	DCR|4VULN|1AART|1ASPD	125aVULN|3BEXP|4MLV|6ASPD|7AART|8LEGI|9RCR
112	53123 21333	   	195.22	DCR|4VULN|1AART|1DMG	125aVULN|3BEXP|4MLV|6DMG|7AART|8LEGI|9RCR
113	52112 31333	 * 	194.98	DCR|2MDPS|2VULN|1AART|1ASPD|1DUR	13VULN|23MLV|3BPWR|4LWND|5ASPD|6RCR|7DUR|8AART|9aMDPS
114	52155 31333	   	194.98	DCR|2MDPS|2VULN|1AART|1ASPD|1DUR	13VULN|23MLV|3BPWR|4ASPD|5LWND|6RCR|7DUR|8AART|9aMDPS
115	52112 35313	   	194.93	DCR|3VULN|1MDPS|1AART|1ASPD	137VULN|23MLV|3BPWR|4LWND|5ASPD|6RCR|8AART|9CGEN|aMDPS
116	52112 35323	   	194.93	DCR|3VULN|1MDPS|1AART|1ASPD	137VULN|23MLV|3BPWR|4LWND|5ASPD|6RCR|8AART|9RMIN|aMDPS
117	52112 35353	   	194.93	DCR|3VULN|1MDPS|1AART|1ASPD	137VULN|23MLV|3BPWR|4LWND|5ASPD|6RCR|8AART|9LHND|aMDPS
118	52112 36313	   	194.93	DCR|3VULN|1MDPS|1AART|1ASPD	139VULN|23MLV|3BPWR|4LWND|5ASPD|6RCR|7LHND|8AART|aMDPS
119	53521 15312	 * 	194.91	DCR|5VULN|1DMG	1249aVULN|3RCVC|4BPWR|57ERES|6RCR|8DMG
120	52112 35331	   	194.83	DCR|3VULN|1MDPS|1AART|1ASPD	137VULN|23aMLV|3BPWR|4LWND|5ASPD|6RCR|8AART|9MDPS
121	52112 35332	   	194.83	DCR|3VULN|1MDPS|1AART|1ASPD	137VULN|23MLV|3BPWR|4LWND|5ASPD|6RCR|8AART|9MDPS|aDUST
122	52112 35333	   	194.83	DCR|3VULN|1MDPS|1AART|1ASPD|1DUR	137VULN|23MLV|3BPWR|4LWND|5ASPD|6RCR|8AART|9MDPS|aDUR
123	52112 35335	   	194.83	DCR|3VULN|1MDPS|1AART|1ASPD	137VULN|23MLV|3BPWR|4LWND|5ASPD|6RCR|8AART|9MDPS|aLHND
124	52112 35336	   	194.83	DCR|3VULN|1MDPS|1AART|1ASPD|1MSE	137VULN|23MLV|3BPWR|4LWND|5ASPD|6RCR|8AART|9MDPS|aMSE
125	53612 31333	   	194.78	DCR|2MDPS|2VULN|1AART|1ASPD|1DUR	12VULN|3ERES|4LWND|5ASPD|6RCR|7DUR|8AART|9aMDPS
126	55354 34432	 * 	194.78	DCR|3DMG|2VULN|1MDPS|1AART|1AAC	18VULN|2MBVNT|3AAC|4MDPS|58aDMG|68LIT|7AART|8BPWR|9RCR
127	53243 34333	 * 	194.73	DCR|3VULN|1MDPS|1AART|1DMG	127VULN|3LHND|4BASFIG|5LIT|6RCR|8DMG|9AART|aMDPS
128	53323 34333	   	194.73	DCR|3VULN|1MDPS|1AART|1DMG	127VULN|3LIT|4AIRARM|5LWND|6RCR|8DMG|9AART|aMDPS
129	53324 34333	   	194.73	DCR|3VULN|1MDPS|1AART|1DMG	127VULN|3LIT|4AIRARM|5LHND|6RCR|8DMG|9AART|aMDPS
130	52153 15313	   	194.61	DCR|2VULN|2DMG|1ASPD|1CDMG	13VULN|23MLV|3BPWR|4ASPD|5CGEN|6aDMG|7CDMG|8RCR|9RCVC
131	52124 15313	   	194.51	DCR|2VULN|2DMG|1ASPD|1CDMG	13VULN|23MLV|3BPWR|4TLV|5aDMG|6ASPD|7CDMG|8RCR|9RCVC
132	52153 15331	   	194.11	DCR|3VULN|1ASPD|1DMG|1CDMG	139VULN|23MLV|3BPWR|4ASPD|5CGEN|6DMG|7CDMG|8RCR|aFEWX
133	53231 31154	   	194.01	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	12VULN|38LHND|4LIT|5DUR|6AART|7RCR|9DMG|aASPD
134	53231 31624	   	194.01	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	12VULN|3LHND|4LIT|5DUR|6AART|7RCR|8MLV|9DMG|aASPD
135	52153 15332	   	194.01	DCR|3VULN|1ASPD|1DMG|1CDMG	139VULN|23MLV|3BPWR|4ASPD|5CGEN|6DMG|7CDMG|8RCR|aERES
136	53332 22635	   	193.90	DCR|4VULN|1AART|1ZMB|1DUR	1246VULN|3LIT|5LHND|7DUR|8ZMB|9RCR|aAART
137	52112 31136	   	193.88	DCR|3VULN|1AART|1ASPD|1DUR	138VULN|23MLV|3BPWR|4LWND|5ASPD|6RCR|7DUR|9CGEN|aAART
138	52112 31156	   	193.88	DCR|3VULN|1AART|1ASPD|1DUR	138VULN|23MLV|3BPWR|4LWND|5ASPD|6RCR|7DUR|9AME|aAART
139	52112 31311	   	193.88	DCR|3VULN|1AART|1ASPD|1DUR	139VULN|23MLV|3BPWR|4LWND|5ASPD|6RCR|7DUR|8AART|aRPLT
140	52112 31312	   	193.88	DCR|3VULN|1AART|1ASPD|1DUR	139VULN|23MLV|3BPWR|4LWND|5ASPD|6RCR|7DUR|8AART|aLHND
141	52112 31314	   	193.88	DCR|3VULN|1AART|1ASPD|1DUR	139VULN|23MLV|3BPWR|4LWND|5ASPD|6RCR|7DUR|8AART|aFEWX
142	52112 35315	   	193.88	DCR|3VULN|1AART|1ASPD|1DUR	137VULN|23MLV|3BPWR|4LWND|5ASPD|6RCR|8AART|9CGEN|aDUR
143	52112 35325	   	193.88	DCR|3VULN|1AART|1ASPD|1DUR	137VULN|23MLV|3BPWR|4LWND|5ASPD|6RCR|8AART|9RMIN|aDUR
144	52112 35363	   	193.88	DCR|3VULN|1AART|1ASPD|1DUR	137VULN|23MLV|3BPWR|4LWND|5ASPD|6RCR|8AART|9LIT|aDUR
145	52155 31311	   	193.88	DCR|3VULN|1AART|1ASPD|1DUR	139VULN|23MLV|3BPWR|4ASPD|5LWND|6RCR|7DUR|8AART|aRPLT
146	52155 31312	   	193.88	DCR|3VULN|1AART|1ASPD|1DUR	139VULN|23MLV|3BPWR|4ASPD|5LWND|6RCR|7DUR|8AART|aLHND
147	52153 15323	   	193.86	DCR|2VULN|2DMG|1ASPD|1CDMG	13VULN|23MLV|3BPWR|4ASPD|59CGEN|6aDMG|7CDMG|8RCR
148	13433 61333	   	193.80	DCR|4VULN|1AART|1ZMB|1DUR	1DUST|256aVULN|3ZMB|4DUR|7AME|8AART|9RCR
149	32125 42325	   	193.79	DCR|3VULN|2ASPD|1AART	1DMSP|24AELBLL|345VULN|4BPWR|68ASPD|7AART|9RCR|aMLV
150	52112 31316	   	193.78	DCR|3VULN|1AART|1ASPD|1DUR|1MSE	139VULN|23MLV|3BPWR|4LWND|5ASPD|6RCR|7DUR|8AART|aMSE
151	53113 11621	   	193.72	DCR|3VULN|1AART|1ASPD|1CDMG	125VULN|3BEXP|4CGEN|6ASPD|7AART|8LHND|9CDMG|aRCR
152	53113 21621	   	193.72	DCR|3VULN|1AART|1DMG|1CDMG	125VULN|3BEXP|4CGEN|6DMG|7AART|8LHND|9CDMG|aRCR
153	53215 13321	   	193.72	DCR|3VULN|1AART|1ASPD|1CDMG	125VULN|3LHND|4CGEN|6ASPD|7FEWX|8AART|9CDMG|aRCR
154	53215 23321	   	193.72	DCR|3VULN|1AART|1DMG|1CDMG	125VULN|3LHND|4CGEN|6DMG|7FEWX|8AART|9CDMG|aRCR
155	53216 53321	   	193.72	DCR|3VULN|1AART|1DMG|1CDMG	127VULN|3LHND|4CGEN|5LWND|6AART|8DMG|9CDMG|aRCR
156	53263 13321	   	193.72	DCR|3VULN|1AART|1ASPD|1CDMG	124VULN|3LHND|5CGEN|6ASPD|7FEWX|8AART|9CDMG|aRCR
157	53263 23321	   	193.72	DCR|3VULN|1AART|1DMG|1CDMG	124VULN|3LHND|5CGEN|6DMG|7FEWX|8AART|9CDMG|aRCR
158	32125 42322	   	193.69	DCR|3VULN|2ASPD|1AART	1DMSP|24AELBLL|345VULN|4BPWR|68ASPD|7AART|9RCR|aERES
159	32125 42323	   	193.69	DCR|3VULN|2ASPD|1AART	1DMSP|24AELBLL|345VULN|4BPWR|68ASPD|7AART|9RCR|aDUST
160	32125 42324	   	193.69	DCR|3VULN|2ASPD|1AART|1MSE	1DMSP|24AELBLL|345VULN|4BPWR|68ASPD|7AART|9RCR|aMSE
161	53612 31136	   	193.68	DCR|3VULN|1AART|1ASPD|1DUR	128VULN|3ERES|4LWND|5ASPD|6RCR|7DUR|9CGEN|aAART
162	53612 31311	   	193.68	DCR|3VULN|1AART|1ASPD|1DUR	129VULN|3ERES|4LWND|5ASPD|6RCR|7DUR|8AART|aRPLT
163	53612 31312	   	193.68	DCR|3VULN|1AART|1ASPD|1DUR	129VULN|3ERES|4LWND|5ASPD|6RCR|7DUR|8AART|aLHND
164	53612 31313	   	193.68	DCR|3VULN|1AART|1ASPD|1DUR	129VULN|3ERES|4LWND|5ASPD|6RCR|7DUR|8AART|aAELBLL
165	53612 31314	   	193.68	DCR|3VULN|1AART|1ASPD|1DUR	129VULN|3ERES|4LWND|5ASPD|6RCR|7DUR|8AART|aFEWX
166	53113 11321	   	193.62	DCR|3VULN|1AART|1ASPD|1CDMG	125VULN|3BEXP|4CGEN|6ASPD|7AART|8LEGI|9CDMG|aRCR
167	53113 21321	   	193.62	DCR|3VULN|1AART|1DMG|1CDMG	125VULN|3BEXP|4CGEN|6DMG|7AART|8LEGI|9CDMG|aRCR
168	52152 32342	   	193.60	DCR|4VULN|1ASPD|1DMG	1367VULN|23MLV|3BPWR|4ASPD|5DUST|8RCR|9RMIN|aDMG
