0	Index      	 *	Score 	Summary	Detail	
1	43313 71622	 * 	204.59	ACR|2VULN|2DMG|1AART|2CDMG|1ZMB|1ASPD|1SELL	1SELL|2MBVNT|3RCR|4AART|59VULN|6ASPD|79DMG|89CDMG|9BPWR|aZMB
44	23232 26113	   	185.44	ACR|3VULN|2DMG|3DUR|1ZMB	1RPLT|2RCR|35aDUR|45aVULN|5aBPWR|68LHND|7ZMB|9aDMG
45	23231 62251	   	185.37	ACR|3VULN|2AART|2ZMB|2DUR	1RPLT|2RCR|39DUR|489VULN|57AART|69ZMB|9BPWR|aBELT
46	23231 62253	   	185.37	ACR|3VULN|2AART|2ZMB|2DUR	1RPLT|2RCR|39DUR|489VULN|57AART|69ZMB|9BPWR|aCGEN
47	23231 62255	   	185.37	ACR|3VULN|2AART|2ZMB|2DUR	1RPLT|2RCR|39DUR|489VULN|57AART|69ZMB|9BPWR|aFEWX
48	23231 62256	   	185.37	ACR|3VULN|2AART|2ZMB|2DUR	1RPLT|2RCR|39DUR|489VULN|57AART|69ZMB|9BPWR|aBEXP
49	43313 44414	 * 	185.14	ACR|3VULN|1AART|1DMG|1CDMG|1DUR|1SELL	1SELL|2MBVNT|3RCR|4AART|58aVULN|6CDMG|7DMG|9DUR
50	43316 74414	 * 	185.14	ACR|3VULN|1AART|1DMG|1CDMG|1DUR|1SELL	1SELL|2MBVNT|3RCR|4AART|5CDMG|68aVULN|7DMG|9DUR
51	43313 44457	 * 	185.00	ACR|2AART|2VULN|1DMG|1CDMG|1ZMB|1SELL	1SELL|2MBVNT|3RCR|49AART|58VULN|6CDMG|7DMG|aZMB
52	43374 44414	 * 	184.54	ACR|3VULN|1AART|1DMG|1CDMG|1DUR|1SELL	1SELL|2MBVNT|3RCR|48aVULN|5AART|6CDMG|7DMG|9DUR
53	23232 34536	 * 	184.50	ACR|4VULN|1DMG|3DUR|2ASPD	1RPLT|2RCR|35aDUR|459aVULN|5aBPWR|6LIT|7DMG|8aASPD
54	23232 12114	   	184.42	ACR|4VULN|2DMG|2DUR	1RPLT|2RCR|35DUR|4589VULN|5BPWR|6aDMG|7ERES
55	23232 13211	   	184.42	ACR|4VULN|2DMG|2DUR	1RPLT|2RCR|35DUR|458aVULN|5BPWR|69DMG|7DUST
56	23232 15211	   	184.42	ACR|4VULN|2DMG|2DUR	1RPLT|2RCR|35DUR|458aVULN|5BPWR|69DMG|7LEGI
57	23231 12551	   	184.07	ACR|3VULN|2AART|2ASPD|2DUR	1RPLT|2RCR|39DUR|489VULN|57AART|69ASPD|9BPWR|aBELT
58	23231 12553	   	184.07	ACR|3VULN|2AART|2ASPD|2DUR	1RPLT|2RCR|39DUR|489VULN|57AART|69ASPD|9BPWR|aCGEN
59	23231 12555	   	184.07	ACR|3VULN|2AART|2ASPD|2DUR	1RPLT|2RCR|39DUR|489VULN|57AART|69ASPD|9BPWR|aFEWX
60	23231 12556	   	184.07	ACR|3VULN|2AART|2ASPD|2DUR	1RPLT|2RCR|39DUR|489VULN|57AART|69ASPD|9BPWR|aBEXP
61	23218 18213	 * 	183.97	ACR|3VULN|2DMG|2ASPD|2DUR	1RPLT|2RCR|3aDUR|4MBVNT|56ASPD|78aVULN|9aDMG|aBPWR
62	23232 12215	 * 	183.97	ACR|3VULN|2DMG|1CDMG|2DUR	1RPLT|2RCR|35DUR|459VULN|5BPWR|68DMG|7ERES|aCDMG
63	23232 32316	 * 	183.72	ACR|4VULN|1AART|1CDMG|2DUR	1RPLT|2RCR|35DUR|4589VULN|5BPWR|6LIT|7CDMG|aAART
64	23233 52215	   	183.57	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1RPLT|2RCR|3DUR|47VULN|5CGEN|6ZMB|89DMG|aAART
65	43318 21841	 * 	182.93	ACR|3DMG|1AART|3CDMG|2DUR|1SELL	1SELL|2MBVNT|3RCR|4AART|579DMG|69DUR|89aCDMG|9BPWR
66	43313 33134	 * 	182.87	ACR|5VULN|2AART|1SELL	1SELL|2MBVNT|3RCR|48AART|5679aVULN
67	43343 72842	 * 	182.72	ACR|3DMG|1AART|1VULN|2CDMG|1SELL	1SELL|2MBVNT|3RCR|49DUST|569DMG|7AART|89CDMG|9BPWR|aVULN
68	43374 33134	 * 	182.27	ACR|5VULN|2AART|1SELL	1SELL|2MBVNT|3RCR|4679aVULN|58AART
69	43311 34373	   	182.24	ACR|3VULN|2DMG|1AART|1SELL	1SELL|2MBVNT|3RCR|4AART|5aLIT|68aVULN|7aDMG|9LEGI|aBPWR
70	23232 25413	   	181.37	ACR|3VULN|2DMG|3DUR|1ASPD	1RPLT|2RCR|35aDUR|45aVULN|5aBPWR|67LHND|8ASPD|9aDMG
71	23232 43413	   	181.37	ACR|3VULN|2DMG|3DUR|1ASPD	1RPLT|2RCR|35aDUR|45aVULN|5aBPWR|67BEXP|8ASPD|9aDMG
72	23231 62244	   	181.32	ACR|3VULN|2AART|2DUR|1ZMB	1RPLT|2RCR|39DUR|48aVULN|57AART|6ZMB
73	43318 25224	 * 	181.30	ACR|2DMG|1AART|1VULN|2CDMG|2DUR|1SELL	1SELL|2MBVNT|3RCR|4AART|58DMG|68DUR|78CDMG|8BPWR|9BEXP|aVULN
74	43318 25234	 * 	181.30	ACR|2DMG|1AART|1VULN|2CDMG|2DUR|1SELL	1SELL|2MBVNT|3RCR|4AART|58DMG|68DUR|78CDMG|8BPWR|9LHND|aVULN
75	23332 11215	   	181.19	ACR|3VULN|2DMG|1AART	1RPLT|2RCR|35DUST|458VULN|5BPWR|69DMG|7BEXP|aAART
76	23232 33212	 * 	181.05	ACR|3VULN|1AART|1DMG|3DUR	1RPLT|2RCR|357DUR|45aVULN|5BPWR|6LIT|8AART|9DMG
77	43313 44458	 * 	180.94	ACR|2AART|2VULN|1DMG|1CDMG|1DUR|1SELL	1SELL|2MBVNT|3RCR|49AART|58VULN|6CDMG|7DMG|aDUR
78	43313 44714	 * 	180.94	ACR|2AART|2VULN|1DMG|1CDMG|1DUR|1SELL	1SELL|2MBVNT|3RCR|48AART|5aVULN|6CDMG|7DMG|9DUR
79	43313 15453	 * 	180.59	ACR|3VULN|2AART|1CDMG|1ZMB|1SELL	1SELL|2MBVNT|3RCR|49AART|58aVULN|6ZMB|7CDMG
80	23232 12115	 * 	180.48	ACR|4VULN|1DMG|1CDMG|2DUR	1RPLT|2RCR|35DUR|4589VULN|5BPWR|6DMG|7ERES|aCDMG
81	43374 44714	 * 	180.34	ACR|2VULN|2AART|1DMG|1CDMG|1DUR|1SELL	1SELL|2MBVNT|3RCR|4aVULN|58AART|6CDMG|7DMG|9DUR
82	43313 44467	 * 	179.87	ACR|2VULN|1AART|1DMG|2CDMG|1ZMB|1SELL	1SELL|2MBVNT|3RCR|4AART|58VULN|69CDMG|7DMG|aZMB
83	23233 64432	   	179.87	ACR|2VULN|2DMG|1AART|2DUR	1RPLT|2RCR|3aDUR|4aVULN|5CGEN|6BELT|7AART|8MLV|9aDMG|aBPWR
84	23233 64232	   	179.77	ACR|2VULN|2DMG|1AART|2DUR	1RPLT|2RCR|3aDUR|4aVULN|5CGEN|6BELT|7AART|8ERES|9aDMG|aBPWR
85	23231 35252	   	179.12	ACR|4VULN|2AART|1DUR	1RPLT|2RCR|3DUR|4689VULN|5aAART|7LWND
86	23232 33214	 * 	179.04	ACR|2VULN|1AART|1DMG|3DUR|1CDMG	1RPLT|2RCR|357DUR|45VULN|5BPWR|6LIT|8AART|9DMG|aCDMG
87	23231 31521	   	179.03	ACR|3VULN|1AART|2CDMG|2DUR	1RPLT|2RCR|39DUR|469VULN|5AART|7DMSP|89CDMG|9BPWR|aFEWX
88	23231 31523	   	179.03	ACR|3VULN|1AART|2CDMG|2DUR	1RPLT|2RCR|39DUR|469VULN|5AART|7DMSP|89CDMG|9BPWR|aCGEN
89	23231 31525	   	179.03	ACR|3VULN|1AART|2CDMG|2DUR	1RPLT|2RCR|39DUR|469VULN|5AART|7DMSP|89CDMG|9BPWR|aLIT
90	23231 31526	   	179.03	ACR|3VULN|1AART|2CDMG|2DUR	1RPLT|2RCR|39DUR|469VULN|5AART|7DMSP|89CDMG|9BPWR|aLHND
91	23231 33252	   	179.02	ACR|4VULN|2AART|1DUR	1RPLT|2RCR|3DUR|4689VULN|5aAART|7DUST
92	23231 25223	   	178.93	ACR|3VULN|1AART|1DMG|2DUR	1RPLT|2RCR|36DUR|48aVULN|5AART|7LWND|9DMG
93	23231 35623	   	178.93	ACR|3VULN|1AART|1DMG|2DUR	1RPLT|2RCR|38DUR|46aVULN|5AART|7LWND|9DMG
94	23231 35243	   	178.68	ACR|4VULN|1AART|1ZMB|1DUR	1RPLT|2RCR|3DUR|468aVULN|5AART|7LWND|9ZMB
95	43313 33474	   	178.66	ACR|4VULN|1AART|1DMG|1SELL	1SELL|2MBVNT|3RCR|4AART|567aVULN|8RPLT|9DMG
96	43313 44751	 * 	178.27	ACR|3AART|2VULN|1DMG|1CDMG|1SELL	1SELL|2MBVNT|3RCR|489AART|5aVULN|6CDMG|7DMG
97	43313 44444	 * 	178.20	ACR|3VULN|1AART|1DMG|1CDMG|1SELL	1SELL|2MBVNT|3RCR|4AART|58aVULN|6CDMG|7DMG|9BEXP
98	43316 74444	 * 	178.20	ACR|3VULN|1AART|1DMG|1CDMG|1SELL	1SELL|2MBVNT|3RCR|4AART|5CDMG|68aVULN|7DMG|9BEXP
99	43313 31674	 * 	178.10	ACR|3VULN|1AART|1DMG|1CDMG|1SELL	1SELL|2MBVNT|3RCR|4AART|56aVULN|7DUST|8CDMG|9DMG
100	43313 44434	 * 	178.10	ACR|3VULN|1AART|1DMG|1CDMG|1SELL	1SELL|2MBVNT|3RCR|4AART|58aVULN|6CDMG|7DMG|9DUST
101	43316 74434	 * 	178.10	ACR|3VULN|1AART|1DMG|1CDMG|1SELL	1SELL|2MBVNT|3RCR|4AART|5CDMG|68aVULN|7DMG|9DUST
102	43374 33474	   	178.06	ACR|4VULN|1AART|1DMG|1SELL	1SELL|2MBVNT|3RCR|467aVULN|5AART|8RPLT|9DMG
103	23232 43215	   	177.97	ACR|2VULN|2DMG|1AART|2DUR	1RPLT|2RCR|35DUR|45VULN|5BPWR|67BEXP|89DMG|aAART
104	23231 31565	 * 	177.95	ACR|2VULN|1AART|1DMG|2CDMG|1DUR	1RPLT|2RCR|3DUR|46VULN|5AART|7DMSP|8aCDMG|9DMG
105	23232 12254	   	177.87	ACR|2VULN|2DMG|1AART|2DUR	1RPLT|2RCR|35DUR|45VULN|5BPWR|68DMG|7ERES|9LWND|aAART
106	23232 13315	   	177.87	ACR|2VULN|2DMG|1AART|2DUR	1RPLT|2RCR|35DUR|45VULN|5BPWR|69DMG|7DUST|8RCVC|aAART
107	23232 52215	   	177.87	ACR|2VULN|2DMG|1AART|2DUR	1RPLT|2RCR|35DUR|45VULN|5BPWR|6RMIN|7ERES|89DMG|aAART
108	43374 44444	 * 	177.60	ACR|3VULN|1AART|1DMG|1CDMG|1SELL	1SELL|2MBVNT|3RCR|48aVULN|5AART|6CDMG|7DMG|9BEXP
109	43374 44434	 * 	177.50	ACR|3VULN|1AART|1DMG|1CDMG|1SELL	1SELL|2MBVNT|3RCR|48aVULN|5AART|6CDMG|7DMG|9DUST
110	43313 11672	 * 	177.41	ACR|2DMG|1AART|1VULN|2ZMB|1CDMG|1SELL	1SELL|2MBVNT|3RCR|4AART|5VULN|6aZMB|79DMG|8CDMG
111	43313 44422	 * 	177.41	ACR|2VULN|1AART|1DMG|2ZMB|1CDMG|1SELL	1SELL|2MBVNT|3RCR|4AART|58VULN|6CDMG|7DMG|9aZMB
112	43316 74422	 * 	177.41	ACR|2VULN|1AART|1DMG|2ZMB|1CDMG|1SELL	1SELL|2MBVNT|3RCR|4AART|5CDMG|68VULN|7DMG|9aZMB
113	23218 78213	   	177.35	ACR|3VULN|2DMG|2DUR|1ASPD	1RPLT|2RCR|3aDUR|4MBVNT|5ASPD|6RCVC|78aVULN|9aDMG|aBPWR
114	23231 12544	   	177.25	ACR|3VULN|2AART|2DUR|1ASPD	1RPLT|2RCR|39DUR|48aVULN|57AART|6ASPD
115	43313 33132	   	176.98	ACR|4VULN|2AART|1DUR|1SELL	1SELL|2MBVNT|3RCR|48AART|5679VULN|aDUR
116	43318 21843	 * 	176.89	ACR|3DMG|1AART|2CDMG|2DUR|1SELL	1SELL|2MBVNT|3RCR|4AART|579DMG|69DUR|89CDMG|9BPWR|aRCVC
117	23211 17468	 * 	176.83	ACR|2DMG|1AART|1VULN|2ASPD|2DUR	1RPLT|2RCR|37DUR|4MBVNT|5AART|67ASPD|7BPWR|8aDMG|9VULN
118	43374 44422	 * 	176.81	ACR|2VULN|1AART|1DMG|2ZMB|1CDMG|1SELL	1SELL|2MBVNT|3RCR|48VULN|5AART|6CDMG|7DMG|9aZMB
119	43318 21844	 * 	176.79	ACR|3DMG|1AART|2CDMG|2DUR|1SELL	1SELL|2MBVNT|3RCR|4AART|579DMG|69DUR|89CDMG|9BPWR|aTLV
120	23333 52215	   	176.54	ACR|2VULN|2DMG|1AART|1ZMB	1RPLT|2RCR|3DUST|47VULN|5CGEN|6ZMB|89DMG|aAART
121	23166 42216	   	176.44	ACR|2VULN|2DMG|1AART|1ZMB	1RPLT|2RCR|3ERES|47VULN|5MBVNT|6ZMB|89DMG|aAART
122	23232 33216	   	176.40	ACR|2VULN|1AART|1DMG|3DUR|1ZMB	1RPLT|2RCR|357DUR|45VULN|5BPWR|6LIT|8AART|9DMG|aZMB
123	43374 33132	   	176.38	ACR|4VULN|2AART|1DUR|1SELL	1SELL|2MBVNT|3RCR|4679VULN|58AART|aDUR
124	43313 15414	   	176.08	ACR|3VULN|1AART|1CDMG|1ZMB|1DUR|1SELL	1SELL|2MBVNT|3RCR|4AART|58aVULN|6ZMB|7CDMG|9DUR
125	43373 24283	   	176.03	ACR|3VULN|2DMG|2ASPD|1DUR|1SELL	1SELL|2MBVNT|3RCR|48aVULN|5aDMG|6DUR|7BEXP|9aASPD|aBPWR
126	23231 62213	   	176.03	ACR|3VULN|2AART|1ZMB|1DUR	1RPLT|2RCR|3DUR|48aVULN|57AART|6ZMB|9FEWX
127	23231 62223	   	176.03	ACR|3VULN|2AART|1ZMB|1DUR	1RPLT|2RCR|3DUR|48aVULN|57AART|6ZMB|9LHND
128	23233 52211	   	176.03	ACR|3VULN|2DMG|1ZMB|1DUR	1RPLT|2RCR|3DUR|47aVULN|5CGEN|6ZMB|89DMG
129	43316 64214	 * 	176.00	ACR|2DMG|1AART|1VULN|2CDMG|1DUR|1SELL	1SELL|2MBVNT|3RCR|4AART|58CDMG|68LWND|78DMG|8BPWR|9DUR|aVULN
130	43313 33151	 * 	176.00	ACR|3VULN|2AART|1DMG|1SELL	1SELL|2MBVNT|3RCR|48AART|567VULN|9RCVC|aDMG
131	43313 33188	 * 	176.00	ACR|3VULN|2AART|1DMG|1SELL	1SELL|2MBVNT|3RCR|48AART|567VULN|9MLV|aDMG
132	23232 12154	   	175.93	ACR|3VULN|1AART|1DMG|2DUR	1RPLT|2RCR|35DUR|458VULN|5BPWR|6DMG|7ERES|9LWND|aAART
133	23232 13221	   	175.93	ACR|3VULN|1AART|1DMG|2DUR	1RPLT|2RCR|35DUR|458VULN|5BPWR|6DMG|7DUST|9FEWX|aAART
134	23232 13251	   	175.93	ACR|3VULN|1AART|1DMG|2DUR	1RPLT|2RCR|35DUR|458VULN|5BPWR|6DMG|7DUST|9LWND|aAART
135	23232 15221	   	175.93	ACR|3VULN|1AART|1DMG|2DUR	1RPLT|2RCR|35DUR|458VULN|5BPWR|6DMG|7LEGI|9FEWX|aAART
136	23232 15234	   	175.93	ACR|3VULN|1AART|1DMG|2DUR	1RPLT|2RCR|35DUR|458VULN|5BPWR|6DMG|7LEGI|9MLV|aAART
137	23232 22214	   	175.93	ACR|3VULN|1AART|1DMG|2DUR	1RPLT|2RCR|35DUR|458VULN|5BPWR|6LHND|7ERES|9DMG|aAART
138	23232 55214	   	175.93	ACR|3VULN|1AART|1DMG|2DUR	1RPLT|2RCR|35DUR|458VULN|5BPWR|6RMIN|7LEGI|9DMG|aAART
139	43373 23283	   	175.93	ACR|3VULN|2DMG|2ASPD|1DUR|1SELL	1SELL|2MBVNT|3RCR|48aVULN|5aDMG|6DUR|7DUST|9aASPD|aBPWR
140	23231 62233	   	175.93	ACR|3VULN|2AART|1ZMB|1DUR	1RPLT|2RCR|3DUR|48aVULN|57AART|6ZMB|9LEGI
141	43313 33148	 * 	175.90	ACR|3VULN|2AART|1DMG|1SELL	1SELL|2MBVNT|3RCR|48AART|567VULN|9TLV|aDMG
142	23232 15261	   	175.83	ACR|3VULN|1AART|1DMG|2DUR	1RPLT|2RCR|35DUR|458VULN|5BPWR|6DMG|7LEGI|9DUST|aAART
143	23211 18233	   	175.83	ACR|2VULN|1AART|1DMG|1ZMB|1ASPD|1DUR	1RPLT|2RCR|3DUR|4MBVNT|5AART|6ASPD|7DMG|8aVULN|9ZMB
144	43313 44468	   	175.80	ACR|2VULN|1AART|1DMG|2CDMG|1DUR|1SELL	1SELL|2MBVNT|3RCR|4AART|58VULN|69CDMG|7DMG|aDUR
145	43313 34622	   	175.66	ACR|3VULN|1AART|2CDMG|1ZMB|1SELL	1SELL|2MBVNT|3RCR|4AART|569VULN|79LWND|89CDMG|9BPWR|aZMB
146	43313 38622	   	175.66	ACR|3VULN|1AART|2CDMG|1ZMB|1SELL	1SELL|2MBVNT|3RCR|4AART|569VULN|79LHND|89CDMG|9BPWR|aZMB
147	43313 47422	   	175.66	ACR|3VULN|1AART|2CDMG|1ZMB|1SELL	1SELL|2MBVNT|3RCR|4AART|589VULN|69CDMG|79LWND|9BPWR|aZMB
148	43374 15414	   	175.48	ACR|3VULN|1AART|1CDMG|1ZMB|1DUR|1SELL	1SELL|2MBVNT|3RCR|48aVULN|5AART|6ZMB|7CDMG|9DUR
149	43313 15463	   	175.46	ACR|3VULN|1AART|2CDMG|1ZMB|1SELL	1SELL|2MBVNT|3RCR|4AART|58aVULN|6ZMB|79CDMG
150	43313 31622	   	175.46	ACR|3VULN|1AART|2CDMG|1ZMB|1SELL	1SELL|2MBVNT|3RCR|4AART|569VULN|79DUST|89CDMG|9BPWR|aZMB
151	43313 33338	   	175.46	ACR|3VULN|1AART|1DMG|1ZMB|1SELL	1SELL|2MBVNT|3RCR|4AART|567VULN|8LEGI|9ZMB|aDMG
152	43374 33151	 * 	175.40	ACR|3VULN|2AART|1DMG|1SELL	1SELL|2MBVNT|3RCR|467VULN|58AART|9RCVC|aDMG
153	23311 18228	   	175.37	ACR|2VULN|2DMG|1AART|1ASPD	1RPLT|2RCR|3DUST|4MBVNT|5AART|6ASPD|7aDMG|89VULN
154	43313 35622	   	175.31	ACR|3VULN|1AART|2CDMG|1ZMB|2SELL	17SELL|2MBVNT|3RCR|4AART|569VULN|89CDMG|9BPWR|aZMB
155	43374 33148	 * 	175.30	ACR|3VULN|2AART|1DMG|1SELL	1SELL|2MBVNT|3RCR|467VULN|58AART|9TLV|aDMG
156	43374 34622	   	175.06	ACR|3VULN|1AART|2CDMG|1ZMB|1SELL	1SELL|2MBVNT|3RCR|469VULN|5AART|79LWND|89CDMG|9BPWR|aZMB
157	43374 47422	   	175.06	ACR|3VULN|1AART|2CDMG|1ZMB|1SELL	1SELL|2MBVNT|3RCR|489VULN|5AART|69CDMG|79LWND|9BPWR|aZMB
158	43316 41418	 * 	175.00	ACR|2DMG|1AART|3CDMG|1VULN|1SELL	1SELL|2MBVNT|3RCR|4AART|589CDMG|6RPLT|79DMG|9BPWR|aVULN
