0	Index      	 *	Score 	Summary	Detail	
1	11613 55213	 * 	214.19	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1DUST|2BEXP|3ZMB|4AART|5CDMG|6RCR|79VULN|8DMG|aASPD
28	61316 22135	 * 	199.43	DCR|3VULN|1MDPS|1AART|1ASPD|1DMG	1LWND|2BEXP|367VULN|4MDPS|5AART|8DMG|9RCR|aASPD
29	11611 33511	   	198.43	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DUST|2BEXP|3ZMB|4AART|5DUR|6DMG|7CDMG|8RCR|9aVULN
30	12643 15212	   	198.43	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR	1DUST|2ASPD|3CDMG|4DUR|56VULN|7ZMB|8RCR|9RPLT|aAART
31	11611 33515	   	198.11	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1DUST|2BEXP|3ZMB|4AART|5DUR|6DMG|7CDMG|8RCR|9VULN|aASPD
32	12345 24322	   	197.81	DCR|4VULN|1ASPD|1DMG|1DUR	1DUST|2ASPD|3DMG|4DUR|5689VULN|7LIT|aRCR
33	12352 14322	   	197.81	DCR|4VULN|1ASPD|1DMG|1DUR	15DUST|2ASPD|3DMG|4589VULN|5BPWR|6DUR|7LIT|aRCR
34	12355 14322	   	197.81	DCR|4VULN|1ASPD|1DMG|1DUR	1DUST|2ASPD|3DMG|4589VULN|6DUR|7LIT|aRCR
35	11613 51123	   	197.44	DCR|2VULN|1AART|1ASPD|1CDMG|2ZMB	19DUST|2BEXP|39ZMB|4AART|5CDMG|6RCR|7VENFST|89VULN|9BPWR|aASPD
36	22663 23316	 * 	196.80	DCR|3DMG|2VULN|1ASPD	1LEGI|2RCVC|37aDMG|4BELT|56VULN|8RCR|9ASPD
37	22611 21661	   	196.41	DCR|2VULN|2DMG|1MDPS|1AART|2DUR|1AAC	1LEGI|2RCVC|38DMG|48VULN|58DUR|6AAC|7MDPS|8BPWR|9RCR|aAART
38	61323 43253	   	195.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1LWND|29BEXP|35VULN|4AART|6ASPD|7CDMG|8DMG|aRCR
39	61323 43523	   	195.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	18LWND|2BEXP|35VULN|4AART|6ASPD|7CDMG|9DMG|aRCR
40	64353 13344	 * 	195.84	DCR|3VULN|2DMG|1CDMG|1DUR	19LWND|29DMG|3CDMG|4DUR|569VULN|7LEGI|8MBVNT|9BPWR|aRCR
41	11613 51126	   	195.21	DCR|3VULN|1AART|1CDMG|2ZMB	19DUST|2BEXP|39ZMB|4AART|5CDMG|6RCR|7VENFST|89aVULN|9BPWR
42	11613 51143	   	194.12	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB	1DUST|2BEXP|3ZMB|4AART|5CDMG|6RCR|7VENFST|89VULN|aASPD
43	11613 52211	   	194.12	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1DUST|2BEXP|3ZMB|4AART|5CDMG|6RCR|7FEWX|8DMG|9aVULN
44	11613 55221	   	194.12	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1DUST|2BEXP|3ZMB|4AART|5CDMG|6RCR|7aVULN|8DMG|9LWND
45	61311 41142	   	194.12	DCR|2VULN|1MDPS|1AART|1DMG|1CDMG|1ZMB	1LWND|2BEXP|35VULN|4MDPS|6RCR|7CDMG|8DMG|9ZMB|aAART
46	11613 55212	   	194.02	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1aDUST|2BEXP|3ZMB|4AART|5CDMG|6RCR|79VULN|8DMG
47	13345 21412	   	193.91	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1DUST|2RMIN|3DMG|4DUR|56VULN|7RCR|8ASPD|9FEWX|aAART
48	13355 11412	   	193.91	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1DUST|2RMIN|3DMG|45VULN|6DUR|7RCR|8ASPD|9FEWX|aAART
49	13355 21621	 * 	193.81	DCR|3VULN|1ASPD|1DMG|1CDMG	1DUST|2RMIN|3DMG|456VULN|7TLV|8RCR|9ASPD|aCDMG
50	11613 52215	   	193.80	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1DUST|2BEXP|3ZMB|4AART|5CDMG|6RCR|7FEWX|8DMG|9VULN|aASPD
51	14316 36321	   	193.46	DCR|2VULN|2DMG|1MDPS|1AART|1ZMB	19DUST|23DMG|49VULN|5MDPS|6AART|7RCR|89LWND|9BPWR|aZMB
52	12352 21643	   	193.40	DCR|4VULN|1ASPD|1DMG	15DUST|2ASPD|3DMG|456aVULN|5BPWR|7TLV|8RCR|9LHND
53	12352 21661	   	193.40	DCR|4VULN|1ASPD|1DMG	15DUST|2ASPD|3DMG|4569VULN|5BPWR|7TLV|8RCR|aLHND
54	12352 21663	   	193.40	DCR|4VULN|1ASPD|1DMG	15DUST|2ASPD|3DMG|4569VULN|5BPWR|7TLV|8RCR|aFEWX
55	22663 23142	   	193.20	DCR|2VULN|2DMG|1AART|1ZMB	1LEGI|2RCVC|37DMG|4BELT|56VULN|8AART|9RCR|aZMB
56	14312 31441	   	193.04	DCR|2DMG|1VULN|1AART|1ASPD|1ZMB	1DUST|23DMG|4VULN|5BEXP|6ERES|7RCR|8ASPD|9ZMB|aAART
57	14313 31441	   	193.04	DCR|2DMG|1VULN|1AART|1ASPD|1ZMB	1DUST|23DMG|4VULN|5FEWX|6ERES|7RCR|8ASPD|9ZMB|aAART
58	12631 35261	   	193.01	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB	1DUST|2ASPD|3CDMG|4RCVC|5LWND|6aVULN|7ZMB|8RCR|9AART
59	15332 41411	   	192.78	DCR|3ASPD|2VULN|1AART	1DUST|24CGEN|34VULN|4BPWR|5BEXP|689ASPD|7RCR|aAART
60	15333 41411	   	192.78	DCR|3ASPD|2VULN|1AART	1DUST|24CGEN|34VULN|4BPWR|5FEWX|689ASPD|7RCR|aAART
61	12631 35263	   	192.69	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1DUST|2ASPD|3CDMG|4RCVC|5LWND|6VULN|7ZMB|8RCR|9AART|aDMG
62	21165 31411	   	192.68	DCR|3ASPD|2VULN|1AART	1LEGI|2FEWX|3CGEN|46VULN|589ASPD|7RCR|aAART
63	62353 13344	 * 	192.47	DCR|3VULN|2ASPD|1CDMG|1DUR	19LWND|29ASPD|3CDMG|4DUR|569VULN|7LEGI|8MBVNT|9BPWR|aRCR
64	22663 23143	   	192.23	DCR|2VULN|2DMG|1MDPS|1AART	1LEGI|2RCVC|37DMG|4BELT|56VULN|8AART|9RCR|aMDPS
65	61325 31143	 * 	192.01	DCR|2VULN|2ASPD|1AART|1CDMG	1LWND|2BEXP|38VULN|4AART|5CDMG|6aASPD|7TSLFST|9RCR
66	12352 25621	   	191.87	DCR|3VULN|2ASPD|1DMG	15DUST|29ASPD|3DMG|456VULN|5BPWR|7AME|8RCR|aLHND
67	12352 25623	   	191.87	DCR|3VULN|2ASPD|1DMG	15DUST|29ASPD|3DMG|456VULN|5BPWR|7AME|8RCR|aFEWX
68	12352 15612	   	191.81	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	15DUST|2ASPD|3DMG|45VULN|5BPWR|6DUR|7ERES|8RCR|9FEWX|aAART
69	12352 15622	   	191.81	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	15DUST|2ASPD|3DMG|45VULN|5BPWR|6DUR|7ERES|8RCR|9BEXP|aAART
70	12352 15631	   	191.81	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	15DUST|2ASPD|3DMG|45VULN|5BPWR|6DUR|7ERES|8RCR|9RMIN|aAART
71	33155 34113	   	191.80	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1AME|2BEXP|3DUST|4AART|5ASPD|6VULN|7RCR|8DMG|9CDMG|aZMB
72	12352 21621	   	191.77	DCR|3VULN|2ASPD|1DMG	15DUST|29ASPD|3DMG|456VULN|5BPWR|7TLV|8RCR|aLHND
73	12352 21623	   	191.77	DCR|3VULN|2ASPD|1DMG	15DUST|29ASPD|3DMG|456VULN|5BPWR|7TLV|8RCR|aFEWX
74	12352 21625	   	191.77	DCR|3VULN|2ASPD|1DMG	15DUST|29ASPD|3DMG|456VULN|5BPWR|7TLV|8RCR|aDMSP
75	12352 26621	   	191.77	DCR|3VULN|2ASPD|1DMG	15DUST|29ASPD|3DMG|456VULN|5BPWR|7ERES|8RCR|aLHND
76	12352 26623	   	191.77	DCR|3VULN|2ASPD|1DMG	15DUST|29ASPD|3DMG|456VULN|5BPWR|7ERES|8RCR|aFEWX
77	12355 21621	   	191.77	DCR|3VULN|2ASPD|1DMG	1DUST|29ASPD|3DMG|456VULN|7TLV|8RCR|aLHND
78	12355 21623	   	191.77	DCR|3VULN|2ASPD|1DMG	1DUST|29ASPD|3DMG|456VULN|7TLV|8RCR|aFEWX
79	12352 21626	   	191.67	DCR|3VULN|2ASPD|1DMG|1SELL	15DUST|29ASPD|3DMG|456VULN|5BPWR|7TLV|8RCR|aSELL
80	12415 26231	   	191.66	DCR|2VULN|1AART|1ASPD|1DMG|1DUR|1SELL	1DUST|2ASPD|3LWND|4DUR|5DMG|6aVULN|7SELL|8RCR|9AART
81	62115 26231	   	191.66	DCR|2VULN|1AART|1ASPD|1DMG|1DUR|1SELL	1LWND|2ASPD|3DUST|4DUR|5DMG|6aVULN|7SELL|8RCR|9AART
82	22642 32343	   	191.34	DCR|2VULN|1AART|1ASPD|1DMG	1LEGI|2RCVC|3DMG|4LIT|5AME|6RCR|78VULN|9ASPD|aAART
83	12354 24122	   	191.24	DCR|3VULN|2DMG|1ASPD	1DUST|2ASPD|38DMG|469VULN|5BEXP|7LIT|aRCR
84	12352 44122	   	191.24	DCR|3VULN|2DMG|1ASPD	15DUST|2ASPD|38DMG|459VULN|5BPWR|6BEXP|7LIT|aRCR
85	14312 44322	   	191.24	DCR|3VULN|2DMG|1ASPD	1DUST|23DMG|489VULN|5BEXP|6ASPD|7LIT|aRCR
86	14313 44322	   	191.24	DCR|3VULN|2DMG|1ASPD	1DUST|23DMG|489VULN|5FEWX|6ASPD|7LIT|aRCR
87	61311 41153	 * 	191.22	DCR|2VULN|1MDPS|1AART|2CDMG|1DMG	1LWND|2BEXP|35VULN|4MDPS|6RCR|7aCDMG|8DMG|9AART
88	12352 21634	   	191.11	DCR|3VULN|1ASPD|1DMG|2DUR	15DUST|2ASPD|3DMG|456VULN|5BPWR|7TLV|8RCR|9aDUR
89	14311 31412	   	191.01	DCR|2DMG|1VULN|1AART|1ASPD|1DUR	1DUST|23DMG|4VULN|5DUR|6ERES|7RCR|8ASPD|9FEWX|aAART
90	14311 31422	   	191.01	DCR|2DMG|1VULN|1AART|1ASPD|1DUR	1DUST|23DMG|4VULN|5DUR|6ERES|7RCR|8ASPD|9BEXP|aAART
91	14311 31431	   	191.01	DCR|2DMG|1VULN|1AART|1ASPD|1DUR	1DUST|23DMG|4VULN|5DUR|6ERES|7RCR|8ASPD|9RMIN|aAART
92	14316 32632	 * 	190.55	DCR|3DMG|1MDPS|1VULN|1AART|1CDMG	1DUST|23aDMG|4VULN|5MDPS|6AART|7CDMG|8LWND|9RCR
93	12621 35261	   	190.12	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB	1DUST|2ASPD|3CDMG|4AELBLL|5LWND|6aVULN|7ZMB|8RCR|9AART
94	21165 31611	   	190.06	DCR|3VULN|2ASPD|1CDMG	1LEGI|2FEWX|3CGEN|468VULN|59ASPD|7RCR|aCDMG
95	23155 31611	   	190.06	DCR|3VULN|2ASPD|1CDMG	1LEGI|2LWND|3CGEN|49ASPD|568VULN|7RCR|aCDMG
96	61322 52135	   	190.01	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1LWND|2BEXP|37VULN|4AART|5DUR|6FEWX|8DMG|9RCR|aASPD
97	23355 31611	   	189.96	DCR|3VULN|2ASPD|1CDMG	1LEGI|2LWND|3ERES|49ASPD|568VULN|7RCR|aCDMG
98	61322 22135	   	189.91	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1LWND|2BEXP|37VULN|4AART|5DUR|6DUST|8DMG|9RCR|aASPD
99	12323 12636	   	189.84	DCR|2VULN|1AART|1ASPD|1DMG|1AAC|1ZMB	1DUST|2ASPD|3DMG|4LIT|5AAC|6ZMB|79VULN|8AART|aRCR
100	12325 12636	 * 	189.84	DCR|2VULN|1AART|1ASPD|1DMG|1NUKE|1ZMB	1DUST|2ASPD|3DMG|4LIT|5NUKE|6ZMB|79VULN|8AART|aRCR
101	11613 55223	   	189.81	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB	1DUST|2BEXP|3ZMB|4aAART|5CDMG|6RCR|7VULN|8DMG|9LWND
102	12621 35263	   	189.80	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1DUST|2ASPD|3CDMG|4AELBLL|5LWND|6VULN|7ZMB|8RCR|9AART|aDMG
103	12352 16372	   	189.71	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	15DUST|2ASPD|3DMG|45VULN|5BPWR|6DUR|7MBVNT|8ERES|9RCR|aAART
104	61316 22131	   	189.70	DCR|3VULN|1MDPS|1AART|1DMG|1ZMB	1LWND|2BEXP|367VULN|4MDPS|5AART|8DMG|9RCR|aZMB
105	12344 34211	   	189.62	DCR|2VULN|1ASPD|1DMG|1CDMG|2DUR	1DUST|2ASPD|3DMG|4aDUR|5BEXP|6CDMG|79VULN|8RCR
106	12415 34211	   	189.62	DCR|2VULN|1ASPD|1DMG|1CDMG|2DUR	1DUST|2ASPD|3LWND|4aDUR|5DMG|6CDMG|79VULN|8RCR
107	54342 11211	   	189.62	DCR|2VULN|1ASPD|1DMG|1CDMG|2DUR	1BEXP|2DMG|3CDMG|4aDUR|5DUST|69VULN|7ASPD|8RCR
108	62115 34211	   	189.62	DCR|2VULN|1ASPD|1DMG|1CDMG|2DUR	1LWND|2ASPD|3DUST|4aDUR|5DMG|6CDMG|79VULN|8RCR
109	64352 11211	   	189.62	DCR|2VULN|1ASPD|1DMG|1CDMG|2DUR	1LWND|2DMG|3CDMG|4aDUR|5DUST|69VULN|7ASPD|8RCR
110	13345 21432	   	189.59	DCR|2VULN|2ASPD|1DMG|2DUR	1DUST|2RMIN|3DMG|4aDUR|56VULN|7RCR|89ASPD
111	13355 11432	   	189.59	DCR|2VULN|2ASPD|1DMG|2DUR	1DUST|2RMIN|3DMG|45VULN|6aDUR|7RCR|89ASPD
112	12352 11344	 * 	189.52	DCR|2VULN|1MDPS|1ASPD|1DMG|1CDMG|2DUR	15DUST|2ASPD|3DMG|45VULN|5BPWR|69DUR|7MDPS|8RCR|aCDMG
113	12352 44322	   	189.50	DCR|4VULN|1ASPD|1DMG	15DUST|2ASPD|3DMG|4589VULN|5BPWR|6BEXP|7LIT|aRCR
114	12354 24322	   	189.50	DCR|4VULN|1ASPD|1DMG	1DUST|2ASPD|3DMG|4689VULN|5BEXP|7LIT|aRCR
115	22663 23314	   	189.46	DCR|2VULN|2DMG|1ASPD|1DUR	1LEGI|2RCVC|37DMG|4BELT|56VULN|8RCR|9ASPD|aDUR
116	11531 41152	   	189.30	DCR|2DMG|1VULN|1AART|1CDMG|1DUR	1DUST|2BEXP|3DUR|4VULN|5FEWX|6RCR|7CDMG|8aDMG|9AART
117	12323 35124	   	189.06	DCR|3DMG|2VULN|1ASPD|1AAC	18DUST|2ASPD|389DMG|4LIT|5AAC|6BEXP|78VULN|8BPWR|aRCR
118	12325 35124	 * 	189.06	DCR|3DMG|2VULN|1ASPD|1NUKE	18DUST|2ASPD|389DMG|4LIT|5NUKE|6BEXP|78VULN|8BPWR|aRCR
119	14311 36612	   	189.01	DCR|2DMG|1VULN|1AART|1ASPD|1DUR	1DUST|23DMG|4VULN|5DUR|6ERES|7ASPD|8RCR|9FEWX|aAART
120	14311 36622	   	189.01	DCR|2DMG|1VULN|1AART|1ASPD|1DUR	1DUST|23DMG|4VULN|5DUR|6ERES|7ASPD|8RCR|9BEXP|aAART
121	14311 36631	   	189.01	DCR|2DMG|1VULN|1AART|1ASPD|1DUR	1DUST|23DMG|4VULN|5DUR|6ERES|7ASPD|8RCR|9RMIN|aAART
122	23155 31412	 * 	188.97	DCR|3ASPD|2VULN|1DMG	1LEGI|2LWND|3CGEN|489ASPD|56VULN|7RCR|aDMG
123	23355 31412	   	188.87	DCR|3ASPD|2VULN|1DMG	1LEGI|2LWND|3ERES|489ASPD|56VULN|7RCR|aDMG
124	54225 32322	 * 	188.64	DCR|3VULN|1MDPS|2DMG	1BEXP|25DMG|3RMIN|4LIT|6RCR|789VULN|aMDPS
125	22642 32143	   	188.55	DCR|2DMG|1VULN|1AART|1ASPD	1LEGI|2RCVC|38DMG|4LIT|5AME|6RCR|7VULN|9ASPD|aAART
126	14346 22133	 * 	188.20	DCR|2DMG|1ASPD|1NUKE|1CDMG|1ZMB|1DUR	1DUST|23DMG|4LIT|5DUR|6CDMG|7ASPD|8RCR|9ZMB|aNUKE
127	11151 33511	   	188.09	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUST|2BEXP|3CGEN|4AART|5DUR|6DMG|7CDMG|8RCR|9aVULN
128	15251 33511	   	188.09	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUST|2CGEN|3FEWX|4AART|5DUR|6DMG|7CDMG|8RCR|9aVULN
129	32151 33511	   	188.09	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1AME|2FEWX|3DUST|4AART|5DUR|6DMG|7CDMG|8RCR|9aVULN
130	33151 33511	   	188.09	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1AME|2BEXP|3DUST|4AART|5DUR|6DMG|7CDMG|8RCR|9aVULN
131	42151 33511	   	188.09	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1CGEN|2FEWX|3DUST|4AART|5DUR|6DMG|7CDMG|8RCR|9aVULN
132	43151 33511	   	188.09	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1CGEN|2BEXP|3DUST|4AART|5DUR|6DMG|7CDMG|8RCR|9aVULN
133	52151 33511	   	188.09	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1BEXP|2MLV|3DUST|4AART|5DUR|6DMG|7CDMG|8RCR|9aVULN
134	62354 13231	   	188.09	DCR|2VULN|1AART|1ASPD|1CDMG|1AAC|1DUR	1LWND|2ASPD|3CDMG|4DUR|5BEXP|6aVULN|7AAC|8RCR|9AART
135	62355 13231	   	188.09	DCR|2VULN|1AART|1ASPD|1CDMG|1AAC|1DUR	1LWND|2ASPD|3CDMG|4DUR|5FEWX|6aVULN|7AAC|8RCR|9AART
136	54113 23511	   	187.99	DCR|2VULN|1AART|1DMG|1CDMG|1AAC|1DUR	1BEXP|2DMG|3DUST|4AART|5CDMG|6AAC|7DUR|8RCR|9aVULN
137	62352 13231	   	187.99	DCR|2VULN|1AART|1ASPD|1CDMG|1AAC|1DUR	1LWND|2ASPD|3CDMG|4DUR|5DUST|6aVULN|7AAC|8RCR|9AART
138	61325 14311	   	187.96	DCR|3VULN|1AART|1CDMG|1DUR	18LWND|2BEXP|39aVULN|4AART|5CDMG|6DUR|7RCR
139	61325 36313	   	187.90	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1LWND|2BEXP|3VULN|4AART|5CDMG|6ASPD|7DMG|8MLV|9RCR|aZMB
140	12351 13513	   	187.80	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1DUST|2ASPD|3DMG|4VULN|5RMIN|6AART|7CDMG|8LWND|9RCR|aZMB
141	12352 21651	   	187.79	DCR|3VULN|1ASPD|1DMG|1ZMB	15DUST|2ASPD|3DMG|456VULN|5BPWR|7TLV|8RCR|9TSLFST|aZMB
142	61323 32261	   	187.78	DCR|3VULN|1AART|1DMG|1DUR	18LWND|2BEXP|356VULN|4AART|7DMG|9RCR|aDUR
143	12344 34222	   	187.78	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG|1DUR	1DUST|2ASPD|3DMG|4DUR|5BEXP|6CDMG|7VULN|8RCR|9LHND|aAART
144	12415 34223	   	187.78	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1DUST|2ASPD|3LWND|4DUR|5DMG|6CDMG|7VULN|8RCR|9LHND|aAART
145	12415 34232	   	187.78	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1DUST|2ASPD|3aLWND|4DUR|5DMG|6CDMG|7VULN|8RCR|9AART
146	12415 35212	   	187.78	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1DUST|2ASPD|3LWND|4DUR|5DMG|6CDMG|7BEXP|8RCR|9VULN|aAART
147	12415 36213	   	187.78	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1DUST|2ASPD|3LWND|4DUR|5DMG|6CDMG|7LHND|8RCR|9VULN|aAART
148	54342 11222	   	187.78	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG|1DUR	1BEXP|2DMG|3CDMG|4DUR|5DUST|6VULN|7ASPD|8RCR|9LHND|aAART
149	62115 34223	   	187.78	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1LWND|2ASPD|3DUST|4DUR|5DMG|6CDMG|7VULN|8RCR|9LHND|aAART
150	62115 34232	   	187.78	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1aLWND|2ASPD|3DUST|4DUR|5DMG|6CDMG|7VULN|8RCR|9AART
151	62115 35212	   	187.78	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1LWND|2ASPD|3DUST|4DUR|5DMG|6CDMG|7BEXP|8RCR|9VULN|aAART
152	62115 36213	   	187.78	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1LWND|2ASPD|3DUST|4DUR|5DMG|6CDMG|7LHND|8RCR|9VULN|aAART
153	64352 11223	   	187.78	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1LWND|2DMG|3CDMG|4DUR|5DUST|6VULN|7ASPD|8RCR|9LHND|aAART
154	64352 11232	   	187.78	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1aLWND|2DMG|3CDMG|4DUR|5DUST|6VULN|7ASPD|8RCR|9AART
155	11151 33515	   	187.78	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG|1DUR	1DUST|2BEXP|3CGEN|4AART|5DUR|6DMG|7CDMG|8RCR|9VULN|aASPD
156	32151 33515	   	187.78	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1AME|2FEWX|3DUST|4AART|5DUR|6DMG|7CDMG|8RCR|9VULN|aASPD
157	33151 33515	   	187.78	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1AME|2BEXP|3DUST|4AART|5DUR|6DMG|7CDMG|8RCR|9VULN|aASPD
