0	Index      	 *	Score 	Summary	Detail	
1	25323 62483	 * 	177.12	DCR|3VULN|3DMG|2ASPD|1SELL	1RMIN|2MBVNT|38aDMG|48ASPD|568VULN|7SELL|8BPWR|9RCR
21	53151 31335	 * 	168.36	DCR|3VULN|3DMG|1ASPD	1DMSP|2MLV|357DMG|458VULN|5BPWR|6LWND|9ASPD|aRCR
22	25251 14371	   	168.32	DCR|3VULN|1AART|1DMG|1DUR	1RMIN|2MBVNT|3DUR|489VULN|5AART|6LWND|7RCR|aDMG
23	25251 24371	   	168.32	DCR|3VULN|1AART|1DMG|1DUR	1RMIN|2MBVNT|3DUR|489VULN|5AART|6LHND|7RCR|aDMG
24	36141 33312	   	168.31	DCR|2VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	1BEXP|2ASPD|3DUR|47VULN|5AART|6ZMB|8RCR|9LHND|aDMG
25	62151 31335	   	168.26	DCR|3VULN|3DMG|1ASPD	1ERES|2RCVC|357DMG|458VULN|5BPWR|6LWND|9ASPD|aRCR
26	36141 33322	   	168.21	DCR|2VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	1BEXP|2ASPD|3DUR|47VULN|5AART|6ZMB|8RCR|9LEGI|aDMG
27	36141 33331	   	168.21	DCR|2VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	1BEXP|2ASPD|3DUR|47VULN|5AART|6ZMB|8RCR|9TLV|aDMG
28	12241 61153	   	167.58	DCR|2VULN|2DMG|2DUR|1ZMB|1ASPD	1LHND|29BEXP|3ASPD|4aVULN|59DUR|6ZMB|7RCR|89DMG|9BPWR
29	25425 74344	   	167.51	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1RMIN|2MBVNT|3AART|4LHND|58VULN|6DUR|7RCR|9DMG|aCDMG
30	25253 11161	   	167.48	DCR|2VULN|2DMG|2DUR|1ZMB|1ASPD	1RMIN|2MBVNT|39DUR|49VULN|5BEXP|6ASPD|7RCR|89DMG|9BPWR|aZMB
31	25254 11161	   	167.48	DCR|2VULN|2DMG|2DUR|1ZMB|1ASPD	1RMIN|2MBVNT|39DUR|49VULN|5LWND|6ASPD|7RCR|89DMG|9BPWR|aZMB
32	25252 11161	   	167.38	DCR|2VULN|2DMG|2DUR|1ZMB|1ASPD	1RMIN|2MBVNT|39DUR|49VULN|5DUST|6ASPD|7RCR|89DMG|9BPWR|aZMB
33	25428 33472	 * 	167.22	DCR|2AART|2VULN|1DMG|1CDMG	1RMIN|2MBVNT|3aAART|4LHND|5CDMG|67VULN|8DMG|9RCR
34	25428 42472	 * 	167.22	DCR|2AART|2DMG|1VULN|1CDMG	1RMIN|2MBVNT|3aAART|4LHND|5CDMG|67DMG|8VULN|9RCR
35	25425 48442	   	166.91	DCR|2VULN|2DMG|1AART	1RMIN|2MBVNT|3AART|47LHND|57VULN|6RCR|7BPWR|8DUST|9aDMG
36	16116 23324	 * 	166.85	DCR|3VULN|2AART|1CDMG|1ASPD	1LHND|2ASPD|3RCVC|49AART|5CDMG|678VULN|aRCR
37	33641 11153	   	166.84	DCR|3VULN|2DMG|1DUR|1ASPD	19BEXP|2NUKE|3LHND|49aVULN|5DUR|6ASPD|7RCR|89DMG|9BPWR
38	25425 47342	   	166.81	DCR|2VULN|2DMG|1AART	1RMIN|2MBVNT|3AART|4LHND|58VULN|6RCR|7DUST|9aDMG
39	16632 31153	   	166.74	DCR|3VULN|2DMG|1DUR|1ASPD	19LHND|2ASPD|39aVULN|4NUKE|5DUR|6DUST|7RCR|89DMG|9BPWR
40	33142 11153	   	166.74	DCR|3VULN|2DMG|1DUR|1ASPD	19BEXP|2NUKE|3DUR|49aVULN|5DUST|6ASPD|7RCR|89DMG|9BPWR
41	33145 31153	   	166.74	DCR|3VULN|2DMG|1DUR|1ASPD	19BEXP|2NUKE|3DUR|49aVULN|5ASPD|6DUST|7RCR|89DMG|9BPWR
42	33332 31153	   	166.74	DCR|3VULN|2DMG|1DUR|1ASPD	19BEXP|2NUKE|3ASPD|49aVULN|5DUR|6DUST|7RCR|89DMG|9BPWR
43	22332 42621	 * 	166.62	DCR|3DMG|1AART|1VULN|1ASPD	1RMIN|2FEWX|3ASPD|45aDMG|6LHND|7RCR|8AART|9VULN
44	25222 22648	 * 	166.61	DCR|3DMG|2VULN|3DUR	1RMIN|2MBVNT|357DUR|47aDMG|6RPLT|7aBPWR|8RCR|9aVULN
45	25232 22648	   	166.61	DCR|3DMG|2VULN|3DUR	1RMIN|2MBVNT|347DUR|57aDMG|6RPLT|7aBPWR|8RCR|9aVULN
46	16342 22621	   	166.52	DCR|3DMG|1AART|1VULN|1ASPD	1LHND|2ASPD|3ERES|45aDMG|6FEWX|7RCR|8AART|9VULN
47	16342 32621	   	166.52	DCR|3DMG|1AART|1VULN|1ASPD	1LHND|2ASPD|3ERES|45aDMG|6BEXP|7RCR|8AART|9VULN
48	25251 14344	   	166.31	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1RMIN|2MBVNT|3DUR|48VULN|5AART|6LWND|7RCR|9DMG|aCDMG
49	25251 24344	   	166.31	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1RMIN|2MBVNT|3DUR|48VULN|5AART|6LHND|7RCR|9DMG|aCDMG
50	25251 24364	   	166.31	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1RMIN|2MBVNT|3DUR|48VULN|5AART|6LHND|7RCR|9CDMG|aDMG
51	25251 35442	   	166.07	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1RMIN|2MBVNT|3DUR|49VULN|5AART|6RCR|7ZMB|8LWND|aDMG
52	25425 48123	 * 	166.06	DCR|4VULN|1AART|1ASPD	1RMIN|2MBVNT|3AART|47LHND|579aVULN|6RCR|7BPWR|8ASPD
53	42233 41153	 * 	166.04	DCR|2VULN|2DMG|2ZMB|1DUR|1ASPD	1DUST|29BEXP|3ASPD|4DUR|59ZMB|6aVULN|7RCR|89DMG|9BPWR
54	53235 34231	   	165.97	ACR|2VULN|2DMG|1AART|1ASPD	1DMSP|2MLV|3ASPD|47DMG|5RCR|6BELT|8aVULN|9AART
55	25251 35342	   	165.97	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1RMIN|2MBVNT|3DUR|49VULN|5AART|6RCR|7ZMB|8DUST|aDMG
56	35233 41153	   	165.94	DCR|2VULN|2DMG|2ZMB|1DUR|1ASPD	1BEXP|29DUST|3ASPD|4DUR|59ZMB|6aVULN|7RCR|89DMG|9BPWR
57	25751 33442	   	165.61	DCR|2VULN|2DMG|1AART	1RMIN|2MBVNT|3FEWX|47VULN|5AART|6RCR|8DUST|9aDMG
58	32532 42134	 * 	165.53	DCR|3VULN|1AART|1DMG|1FLTHEA	12BEXP|356VULN|4RPLT|7FLTHEA|8DMG|9AART|aRCR
59	25225 22541	 * 	165.14	ACR|3DMG|1AART|1VULN|1DUR	1RMIN|2MBVNT|3DUR|49aDMG|5RCR|6CGEN|7AART|8VULN
60	25323 61134	 * 	165.07	DCR|4VULN|1DMG|1CDMG|1ASPD	1RMIN|2MBVNT|3DMG|4ASPD|5678VULN|9RCR|aCDMG
61	25225 12541	   	165.04	ACR|3DMG|1AART|1VULN|1DUR	1RMIN|2MBVNT|3DUR|49aDMG|5RCR|6ERES|7AART|8VULN
62	23335 61212	   	165.01	ACR|2DMG|1AART|1VULN|2CDMG	1RMIN|2aTLV|3AART|4LHND|5RCR|6aCDMG|7LWND|8VULN|9aDMG|aBPWR
63	23335 62232	 * 	165.01	ACR|2VULN|1AART|1DMG|2CDMG	1RMIN|2aTLV|3AART|4LHND|5RCR|6aCDMG|7DMG|8FEWX|9aVULN|aBPWR
64	23335 62432	   	165.01	ACR|2VULN|1AART|1DMG|2CDMG	1RMIN|2aTLV|3AART|4LHND|5RCR|6aCDMG|7DMG|8BEXP|9aVULN|aBPWR
65	25425 43823	   	164.98	DCR|3VULN|1AART|1DMG	1RMIN|2MBVNT|3AART|4LHND|59aVULN|6RCR|7DMSP|8DMG
66	25323 21661	 * 	164.88	DCR|2VULN|1AART|1DMG|2ASPD|1ZMB	1RMIN|2MBVNT|3DMG|46ASPD|57VULN|8RCR|9ZMB|aAART
67	25428 33425	   	164.38	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1RMIN|2MBVNT|3AART|4LHND|5CDMG|67VULN|8DMG|9ZMB|aRCR
68	25428 42425	   	164.38	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1RMIN|2MBVNT|3AART|4LHND|5CDMG|67DMG|8VULN|9ZMB|aRCR
69	25447 43281	 * 	164.38	DCR|2VULN|1AART|2CDMG|2ASPD|1ZMB	1RMIN|2MBVNT|3AART|49ASPD|59CDMG|6LIT|7ZMB|89VULN|9BPWR|aRCR
70	25251 33374	   	164.21	DCR|3VULN|1AART|1CDMG|1DUR	1RMIN|2MBVNT|3DUR|489VULN|5AART|6RCR|7LEGI|aCDMG
71	25251 34374	   	164.21	DCR|3VULN|1AART|1CDMG|1DUR	1RMIN|2MBVNT|3DUR|489VULN|5AART|6RCR|7DUST|aCDMG
72	25251 24642	   	164.11	DCR|2AART|2DMG|1VULN|1DUR	1RMIN|2MBVNT|3DUR|4VULN|58AART|6LHND|7RCR|9aDMG
73	36141 33361	   	163.90	DCR|3VULN|1AART|1ZMB|1DUR|1ASPD	1BEXP|2ASPD|3DUR|479VULN|5AART|6ZMB|8RCR|aLHND
74	36141 33362	   	163.90	DCR|3VULN|1AART|1ZMB|1ASPD|1DUR	1BEXP|2ASPD|3DUR|479VULN|5AART|6ZMB|8RCR|aRCVC
75	36141 33335	   	163.80	DCR|3VULN|1AART|1ZMB|1DUR|1ASPD	1BEXP|2ASPD|3DUR|47aVULN|5AART|6ZMB|8RCR|9TLV
76	36141 33363	   	163.80	DCR|3VULN|1AART|1ZMB|1ASPD|1DUR	1BEXP|2ASPD|3DUR|479VULN|5AART|6ZMB|8RCR|aDUST
77	33123 41441	   	163.31	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1BEXP|2NUKE|3DUR|49DMG|5LWND|6VULN|7RCR|8CDMG|aAART
78	25425 46123	   	163.30	DCR|3VULN|2AART|1ASPD	1RMIN|2MBVNT|37AART|4LHND|59aVULN|6RCR|8ASPD
79	33126 31441	   	163.21	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1BEXP|2NUKE|3DUR|49DMG|5VULN|6DUST|7RCR|8CDMG|aAART
80	25425 48444	   	162.98	DCR|2VULN|1AART|1DMG|1CDMG	1RMIN|2MBVNT|3AART|47LHND|57VULN|6RCR|7BPWR|8DUST|9DMG|aCDMG
81	25425 47344	   	162.88	DCR|2VULN|1AART|1DMG|1CDMG	1RMIN|2MBVNT|3AART|4LHND|58VULN|6RCR|7DUST|9DMG|aCDMG
82	16642 31131	   	162.52	DCR|4VULN|1DMG|1ZMB|1ASPD	1aLHND|2ASPD|3478VULN|5DMG|6ZMB|9RCR
83	16642 31132	   	162.42	DCR|4VULN|1DMG|1ZMB|1ASPD	1LHND|2ASPD|3478VULN|5DMG|6ZMB|9RCR|aERES
84	42234 61223	   	162.19	DCR|2VULN|2DMG|1ZMB|1DUR|1ASPD	1DUST|2aBEXP|3ASPD|4DUR|5aVULN|6ZMB|7RCR|8BELT|9aDMG|aBPWR
85	35234 61223	   	162.09	DCR|2VULN|2DMG|1ZMB|1DUR|1ASPD	1BEXP|2aDUST|3ASPD|4DUR|5aVULN|6ZMB|7RCR|8BELT|9aDMG|aBPWR
86	51522 31133	   	162.07	DCR|3VULN|1DMG|1CDMG|1ZMB|1ASPD	1DMSP|2LWND|378VULN|4ASPD|5DMG|6ZMB|9RCR|aCDMG
87	25751 33142	   	162.00	DCR|2VULN|1AART|1DMG|1ASPD|1DUR	1RMIN|2MBVNT|3FEWX|47VULN|5AART|6RCR|8ASPD|9DUR|aDMG
88	22332 42622	   	161.97	DCR|2DMG|1AART|1VULN|1ZMB|1ASPD	1RMIN|2FEWX|3ASPD|45DMG|6LHND|7RCR|8AART|9VULN|aZMB
89	25441 12375	 * 	161.92	DCR|2VULN|1AART|2ZMB|2ASPD|1CDMG	1RMIN|2MBVNT|3AART|49ASPD|59ZMB|6FEWX|7CDMG|89VULN|9BPWR|aRCR
90	25251 14374	   	161.91	DCR|3VULN|1AART|1CDMG|1DUR	1RMIN|2MBVNT|3DUR|489VULN|5AART|6LWND|7RCR|aCDMG
91	25251 24374	   	161.91	DCR|3VULN|1AART|1CDMG|1DUR	1RMIN|2MBVNT|3DUR|489VULN|5AART|6LHND|7RCR|aCDMG
92	53632 53231	 * 	161.90	ACR|3VULN|1AART|1DMG	1DMSP|2MLV|3RCR|4FEWX|5DMG|67aVULN|8CGEN|9AART
93	53633 31323	   	161.90	ACR|3VULN|1AART|1DMG	1DMSP|2MLV|3RCR|45FEWX|67aVULN|8DMG|9AART
94	53634 31323	   	161.90	ACR|3VULN|1AART|1DMG	1DMSP|2MLV|3RCR|4FEWX|5RCVC|67aVULN|8DMG|9AART
95	53636 31323	   	161.90	ACR|3VULN|1AART|1DMG	15DMSP|2MLV|3RCR|4FEWX|67aVULN|8DMG|9AART
96	55633 31323	   	161.90	ACR|3VULN|1AART|1DMG	1DMSP|2CGEN|3RCR|45FEWX|67aVULN|8DMG|9AART
97	36141 33342	   	161.89	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR|1ASPD	1BEXP|2ASPD|3DUR|47VULN|5AART|6ZMB|8RCR|9LIT|aCDMG
98	16342 22622	   	161.87	DCR|2DMG|1AART|1VULN|1ZMB|1ASPD	1LHND|2ASPD|3ERES|45DMG|6FEWX|7RCR|8AART|9VULN|aZMB
99	16342 32622	   	161.87	DCR|2DMG|1AART|1VULN|1ZMB|1ASPD	1LHND|2ASPD|3ERES|45DMG|6BEXP|7RCR|8AART|9VULN|aZMB
100	31253 25423	   	161.79	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1BEXP|2LIT|3MLV|4RCR|5ZMB|6aVULN|7DUR|8DMG|9AART
101	24242 62313	 * 	161.79	ACR|3VULN|2DMG|1ZMB	1RMIN|2aCANSTR|36aVULN|4ZMB|5RCR|7LHND|8LEGI|9aDMG|aBPWR
102	25251 42711	   	161.71	DCR|2VULN|2AART|1DMG|1DUR	1RMIN|2MBVNT|3DUR|4aVULN|56AART|7BELT|8RCR|9DMG
103	22232 42625	   	161.51	DCR|2VULN|2DMG|1AART	1RMIN|2FEWX|3ERES|45DMG|6LHND|7RCR|8AART|9aVULN
104	25323 62481	 * 	161.47	DCR|3VULN|2DMG|2ASPD|1SELL	1RMIN|2MBVNT|38DMG|48ASPD|568VULN|7SELL|8BPWR|9RCR|aLIT
105	25323 62484	 * 	161.37	DCR|3VULN|2DMG|2ASPD|1SELL	1RMIN|2MBVNT|38DMG|48ASPD|568VULN|7SELL|8BPWR|9RCR|aDUST
106	32355 61313	 * 	161.12	ACR|3VULN|1AART|1CDMG|1ASPD	12BEXP|3AART|4ERES|5RCR|68aVULN|7ASPD|9CDMG
107	32355 63113	   	161.12	ACR|3VULN|1AART|1CDMG|1ASPD	12BEXP|3AART|4ERES|5RCR|67aVULN|8ASPD|9CDMG
108	63325 61313	   	161.12	ACR|3VULN|1AART|1CDMG|1ASPD	1ERES|2BEXP|3AART|4DMSP|5RCR|68aVULN|7ASPD|9CDMG
109	63325 63113	   	161.12	ACR|3VULN|1AART|1CDMG|1ASPD	1ERES|2BEXP|3AART|4DMSP|5RCR|67aVULN|8ASPD|9CDMG
110	53151 11114	   	160.85	DCR|2VULN|2DMG|1AART|1ASPD	1DMSP|2MLV|35DMG|45VULN|5BPWR|6RPLT|7FEWX|8ASPD|9AART|aRCR
111	63463 12313	   	160.81	DCR|2VULN|2DMG|1AART	16ERES|2BEXP|3BELT|47DMG|5AART|8RCR|9aVULN
112	53151 13214	   	160.75	DCR|2VULN|2DMG|1AART|1ASPD	1DMSP|2MLV|35DMG|45VULN|5BPWR|6RPLT|7ASPD|8DUST|9AART|aRCR
113	62151 11114	   	160.75	DCR|2VULN|2DMG|1AART|1ASPD	1ERES|2RCVC|35DMG|45VULN|5BPWR|6RPLT|7FEWX|8ASPD|9AART|aRCR
114	25425 46442	   	160.67	DCR|2AART|2DMG|1VULN	1RMIN|2MBVNT|37AART|4LHND|5VULN|6RCR|8DUST|9aDMG
115	25332 34223	   	160.67	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1RMIN|2MBVNT|3DMG|4RPLT|5DUR|6ZMB|7RCR|89VULN|aAART
116	25332 34253	   	160.67	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1RMIN|2MBVNT|39DMG|4RPLT|5DUR|6ZMB|7RCR|8VULN|aAART
117	62151 13214	   	160.65	DCR|2VULN|2DMG|1AART|1ASPD	1ERES|2RCVC|35DMG|45VULN|5BPWR|6RPLT|7ASPD|8DUST|9AART|aRCR
118	53415 11313	   	160.62	ACR|3VULN|1AART|1CDMG|1ASPD	1DMSP|2MLV|38aVULN|4AART|5RCR|6FEWX|7ASPD|9CDMG
119	53415 13113	   	160.62	ACR|3VULN|1AART|1CDMG|1ASPD	1DMSP|2MLV|37aVULN|4AART|5RCR|6FEWX|8ASPD|9CDMG
120	23335 14621	   	160.60	ACR|3DMG|1AART|1VULN	1RMIN|2TLV|3AART|4LHND|5RCR|6VULN|7FEWX|89aDMG
121	25253 71223	   	160.55	DCR|2VULN|2DMG|2DUR|1ZMB	1RMIN|2MBVNT|3aDUR|4aVULN|5BEXP|6ZMB|7RCR|8BELT|9aDMG|aBPWR
122	62415 13113	   	160.52	ACR|3VULN|1AART|1CDMG|1ASPD	1ERES|2RCVC|37aVULN|4AART|5RCR|6FEWX|8ASPD|9CDMG
123	62415 11313	   	160.52	ACR|3VULN|1AART|1CDMG|1ASPD	1ERES|2RCVC|38aVULN|4AART|5RCR|6FEWX|7ASPD|9CDMG
124	25225 22542	   	160.49	ACR|2DMG|1AART|1VULN|1ZMB|1DUR	1RMIN|2MBVNT|3DUR|49DMG|5RCR|6CGEN|7AART|8VULN|aZMB
125	25225 12542	   	160.39	ACR|2DMG|1AART|1VULN|1ZMB|1DUR	1RMIN|2MBVNT|3DUR|49DMG|5RCR|6ERES|7AART|8VULN|aZMB
126	25251 32711	 * 	160.36	DCR|2VULN|1AART|1DMG|2DUR	1RMIN|2MBVNT|38DUR|4aVULN|5AART|6RCR|7BELT|9DMG
127	25425 45442	   	160.33	DCR|2VULN|1AART|1DMG|1ZMB	1RMIN|2MBVNT|3AART|4LHND|59VULN|6RCR|7ZMB|8LWND|aDMG
128	25322 61612	 * 	160.30	DCR|3DMG|1VULN|1CDMG|1ASPD|1DUR	1RMIN|2MBVNT|359DMG|4ASPD|6DUR|7VULN|8RCR|aCDMG
129	25425 45342	   	160.23	DCR|2VULN|1AART|1DMG|1ZMB	1RMIN|2MBVNT|3AART|4LHND|59VULN|6RCR|7ZMB|8DUST|aDMG
130	25251 24644	   	160.17	DCR|2AART|1VULN|1DMG|1CDMG|1DUR	1RMIN|2MBVNT|3DUR|4VULN|58AART|6LHND|7RCR|9DMG|aCDMG
131	11351 54113	   	159.81	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1LHND|24LIT|3CDMG|5DMG|6aVULN|7DUR|8AART|9RCR
132	25223 51128	   	159.70	DCR|3VULN|2DMG|1DUR	1RMIN|2MBVNT|3DUR|48DMG|5LWND|69aVULN|7RCR
133	53134 31422	   	159.67	DCR|3DMG|1VULN|1CDMG|1ZMB|1DUR	1DMSP|2MLV|345DMG|6ZMB|7VULN|8DUR|9CDMG|aRCR
134	22232 42621	   	159.58	DCR|3DMG|1AART|1VULN	1RMIN|2FEWX|3ERES|45aDMG|6LHND|7RCR|8AART|9VULN
135	41253 52112	   	159.55	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1DUST|2LIT|3MLV|4RCR|5ZMB|6AART|7DMG|8ASPD|9VULN|aCDMG
136	53235 16131	   	159.29	ACR|2VULN|1AART|1DMG|1ZMB|1ASPD	1DMSP|2MLV|3ASPD|4DMG|5RCR|6TLV|7ZMB|8aVULN|9AART
137	42213 41153	   	159.10	DCR|2VULN|2DMG|2ZMB|1ASPD	1DUST|29BEXP|3ASPD|4LHND|59ZMB|6aVULN|7RCR|89DMG|9BPWR
138	35213 41153	   	159.00	DCR|2VULN|2DMG|2ZMB|1ASPD	1BEXP|29DUST|3ASPD|4LHND|59ZMB|6aVULN|7RCR|89DMG|9BPWR
139	12133 62621	 * 	158.88	DCR|2DMG|1AART|1VULN|2ZMB	1LHND|2BEXP|3MLV|4aDMG|56ZMB|7RCR|8AART|9VULN
140	12133 62625	 * 	158.88	DCR|2VULN|1AART|1DMG|2ZMB	1LHND|2BEXP|3MLV|4DMG|56ZMB|7RCR|8AART|9aVULN
141	21223 62621	   	158.88	DCR|2DMG|1AART|1VULN|2ZMB	1RMIN|2LWND|3BEXP|4aDMG|56ZMB|7RCR|8AART|9VULN
142	21223 62625	   	158.88	DCR|2VULN|1AART|1DMG|2ZMB	1RMIN|2LWND|3BEXP|4DMG|56ZMB|7RCR|8AART|9aVULN
143	22523 62621	   	158.88	DCR|2DMG|1AART|1VULN|2ZMB	1RMIN|2FEWX|3LWND|4aDMG|56ZMB|7RCR|8AART|9VULN
144	22633 62621	   	158.88	DCR|2DMG|1AART|1VULN|2ZMB	1RMIN|2FEWX|3LHND|4aDMG|56ZMB|7RCR|8AART|9VULN
145	23335 63632	   	158.82	ACR|2VULN|1AART|2CDMG|1DUR|1ASPD	1RMIN|2aTLV|3AART|4LHND|5RCR|6aCDMG|7DUR|8ASPD|9aVULN|aBPWR
146	15133 62621	   	158.78	DCR|2DMG|1AART|1VULN|2ZMB	1LHND|2DUST|3MLV|4aDMG|56ZMB|7RCR|8AART|9VULN
147	51235 12315	   	158.69	ACR|2VULN|1AART|1DMG|1CDMG	1DMSP|27LWND|3AART|4LHND|5RCR|68VULN|9CDMG|aDMG
148	61223 62621	   	158.68	DCR|2DMG|1AART|1VULN|2ZMB	1ERES|2LEGI|3BEXP|4aDMG|56ZMB|7RCR|8AART|9VULN
149	23335 62122	   	158.59	ACR|2DMG|1AART|1VULN|1CDMG	1RMIN|2TLV|3AART|4LHND|5RCR|6CDMG|7aDMG|8RPLT|9VULN
150	25315 22541	   	158.20	ACR|3DMG|1AART|1VULN	1RMIN|2MBVNT|39aDMG|4FEWX|5RCR|6CGEN|7AART|8VULN
151	25447 53212	 * 	158.15	DCR|1AART|1VULN|2CDMG|2FLTHEA|2ASPD	1RMIN|2MBVNT|3AART|47ASPD|57CDMG|67FLTHEA|7BPWR|8LWND|9RCR|aVULN
152	25315 12541	   	158.10	ACR|3DMG|1AART|1VULN	1RMIN|2MBVNT|39aDMG|4FEWX|5RCR|6ERES|7AART|8VULN
153	23322 62532	   	158.08	DCR|2VULN|1AART|1DMG|1CDMG	1RMIN|2aTLV|3AART|4BEXP|5aDUST|6CDMG|7DMG|8RCR|9aVULN|aBPWR
154	23332 62532	   	158.08	DCR|2VULN|1AART|1DMG|1CDMG	1RMIN|2aTLV|3AART|4LHND|5aDUST|6CDMG|7DMG|8RCR|9aVULN|aBPWR
155	25221 11175	   	158.00	DCR|3DMG|2VULN|2DUR	1RMIN|2MBVNT|38DUR|468DMG|5BELT|78VULN|8BPWR|9LHND|aRCR
156	12232 41153	   	157.80	DCR|2VULN|2DMG|2ASPD|1DUR	19LHND|2BEXP|39ASPD|4NUKE|5DUR|6aVULN|7RCR|89DMG|9BPWR
157	53251 31153	 * 	157.78	DCR|3VULN|1DMG|2ASPD|1CDMG	1DMSP|2MLV|35ASPD|458VULN|5BPWR|6LWND|7DMG|9RCR|aCDMG
158	25215 81124	   	157.70	DCR|2VULN|2DMG|1CDMG|1DUR	1RMIN|2MBVNT|3DUR|4LHND|59VULN|68DMG|7RCR|aCDMG
159	25223 51124	   	157.70	DCR|2VULN|2DMG|1CDMG|1DUR	1RMIN|2MBVNT|3DUR|48DMG|5LWND|69VULN|7RCR|aCDMG
160	25227 51124	   	157.70	DCR|2VULN|2DMG|1CDMG|1DUR	1RMIN|2MBVNT|3DUR|48DMG|5LHND|69VULN|7RCR|aCDMG
161	25228 51124	   	157.70	DCR|2VULN|2DMG|1CDMG|1DUR	1RMIN|2MBVNT|3DUR|48DMG|5FEWX|69VULN|7RCR|aCDMG
