0	Index      	 *	Score 	Summary	Detail	
1	51216 61231	 * 	212.10	ACR|4VULN|1AART|1DMG|3DUR|1CDMG	178MLV|2RCR|3AART|4DMG|578aVULN|678DUR|78BPWR|9CDMG
44	51216 24134	   	192.43	ACR|3VULN|2DMG|1AART|1ASPD	1MLV|2RCR|3AART|46DMG|56aVULN|6BPWR|7ASPD|8BEXP|9MBVNT
45	51216 24311	   	192.43	ACR|3VULN|2DMG|1AART|1ASPD	1MLV|2RCR|3AART|46DMG|568VULN|6BPWR|7ASPD|9NUKE|aLIT
46	51216 24323	   	192.43	ACR|3VULN|2DMG|1AART|1ASPD	1MLV|2RCR|3AART|46DMG|568VULN|6BPWR|7ASPD|9BEXP|aDUST
47	51216 24331	   	192.43	ACR|3VULN|2DMG|1AART|1ASPD	1MLV|2RCR|3AART|46DMG|568VULN|6BPWR|7ASPD|9TLV|aLIT
48	51216 22422	   	192.43	ACR|3DMG|2VULN|1AART|1DUR	1MLV|2RCR|3AART|468DMG|56VULN|6BPWR|7ERES|9RMIN|aDUR
49	51216 25222	   	192.43	ACR|3DMG|2VULN|1AART|1DUR	1MLV|2RCR|3AART|467DMG|56VULN|6BPWR|8TLV|9RMIN|aDUR
50	51216 22633	   	192.33	ACR|3DMG|2VULN|1AART|1DUR	1MLV|2RCR|3AART|46aDMG|56VULN|6BPWR|7ERES|8BASICY|9DUR
51	51216 24312	   	192.33	ACR|3VULN|2DMG|1AART|1ASPD	1MLV|2RCR|3AART|46DMG|568VULN|6BPWR|7ASPD|9NUKE|aDUST
52	51216 24313	   	192.33	ACR|3VULN|2DMG|1AART|1ASPD	1MLV|2RCR|3AART|46DMG|568VULN|6BPWR|7ASPD|9NUKE|aMBVNT
53	51216 24332	   	192.33	ACR|3VULN|2DMG|1AART|1ASPD	1MLV|2RCR|3AART|46DMG|568VULN|6BPWR|7ASPD|9TLV|aDUST
54	51214 31511	   	192.33	ACR|3DMG|2VULN|1AART|1DUR	1MLV|2RCR|3AART|456DMG|7LSRHEA|89VULN|aDUR
55	61253 22521	   	192.01	DCR|2AART|2VULN|2DMG|1CDMG	1DUST|27DMG|3aAART|4FEWX|59VULN|6RCR|8CDMG
56	51213 16242	 * 	191.78	ACR|3VULN|2AART|1DMG|2DUR	18MLV|2RCR|35AART|4DMG|68aVULN|78DUR|8BPWR|9LIT
57	51216 61223	   	191.29	ACR|3VULN|1AART|1DMG|3DUR|1ASPD	178MLV|2RCR|3AART|4DMG|578VULN|678DUR|78BPWR|9BEXP|aASPD
58	51253 21251	   	190.83	ACR|4VULN|3ZMB|1AART	178MLV|2RCR|3AART|49FEWX|5789VULN|678ZMB|789BPWR|aMGNLIT
59	51253 21252	   	190.83	ACR|4VULN|3ZMB|1AART	178MLV|2RCR|3AART|49FEWX|5789VULN|678ZMB|789BPWR|aDMSP
60	51253 21216	   	190.73	ACR|4VULN|3ZMB|1AART	178MLV|2RCR|3AART|4aFEWX|578aVULN|678ZMB|78aBPWR|9NUKE
61	51216 21313	   	190.42	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	1MLV|2RCR|3AART|46DMG|56VULN|6BPWR|7DLOT|8CDMG|9LIT|aDUR
62	51216 21352	   	190.42	ACR|2VULN|2DMG|1AART|1CDMG|1ASPD	1aMLV|2RCR|3AART|46DMG|56VULN|6BPWR|7DLOT|8CDMG|9ASPD
63	51216 21353	   	190.42	ACR|2VULN|2DMG|1AART|1CDMG|1ASPD	1MLV|2RCR|3AART|46DMG|56VULN|6BPWR|7DLOT|8CDMG|9ASPD|aLWND
64	51216 24133	   	190.42	ACR|2VULN|2DMG|1AART|1CDMG|1ASPD	1MLV|2RCR|3AART|46DMG|56VULN|6BPWR|7ASPD|8BEXP|9MBVNT|aCDMG
65	51216 24223	   	190.42	ACR|2VULN|2DMG|1AART|1CDMG|1ASPD	1MLV|2RCR|3AART|46DMG|56VULN|6BPWR|7ASPD|8DUST|9BEXP|aCDMG
66	51213 15511	   	190.35	ACR|3DMG|2AART|1VULN|1ZMB	1MLV|2RCR|35AART|479DMG|6VULN|8ZMB|aLHND
67	51213 15513	   	190.35	ACR|3DMG|2AART|1VULN|1ZMB	1MLV|2RCR|35AART|479DMG|6VULN|8ZMB|aDMSP
68	51213 31255	   	190.35	ACR|3DMG|2AART|1VULN|1ZMB	1MLV|2RCR|35AART|46aDMG|7BEXP|8VULN|9ZMB
69	51216 52333	   	190.32	ACR|2VULN|2DMG|1AART|1CDMG|1ASPD	1MLV|2RCR|3AART|47DMG|58VULN|6ASPD|9TLV|aCDMG
70	51216 21351	   	190.32	ACR|2VULN|2DMG|1AART|1CDMG|1ASPD	1MLV|2RCR|3AART|46DMG|56VULN|6BPWR|7DLOT|8CDMG|9ASPD|aCANSTR
71	51214 14333	   	190.32	ACR|2VULN|2DMG|1AART|1CDMG|1ASPD	1MLV|2RCR|3AART|45DMG|68VULN|7ASPD|9TLV|aCDMG
72	51253 21231	   	190.27	ACR|3VULN|3ZMB|1AART|1CDMG	178MLV|2RCR|3AART|4FEWX|578VULN|678ZMB|78BPWR|9CDMG|aLWND
73	51253 21232	   	190.27	ACR|3VULN|3ZMB|1AART|1CDMG	178MLV|2RCR|3AART|4FEWX|578VULN|678ZMB|78BPWR|9CDMG|aBEXP
74	51253 21233	   	190.27	ACR|3VULN|3ZMB|1AART|1CDMG	178MLV|2RCR|3AART|4FEWX|578VULN|678ZMB|78BPWR|9CDMG|aCGEN
75	51213 32152	   	190.25	ACR|3DMG|2AART|1VULN|1ZMB	1MLV|2RCR|35AART|467DMG|8ERES|9ZMB|aVULN
76	51213 32214	   	190.25	ACR|3DMG|2AART|1VULN|1ZMB	1MLV|2RCR|35AART|467DMG|8AIRHEL|9VULN|aZMB
77	35212 22512	   	190.20	DCR|3DMG|2VULN|1AART|2DUR	17aDMG|2aDUR|3AART|4NUKE|5LWND|6MGNSTR|8RCR|9aVULN|aBPWR
78	35211 12512	   	190.10	DCR|3DMG|2VULN|1AART|2DUR	17aDMG|2aDUR|3AART|4NUKE|5CANHEL|6LWND|8RCR|9aVULN|aBPWR
79	24231 21542	   	190.04	ACR|2VULN|2DMG|1AART|2ASPD|1CDMG	19ASPD|2ERES|3RPLT|49VULN|5RCR|6RCVC|7AART|89DMG|9BPWR|aCDMG
80	51216 21311	 * 	189.80	ACR|2VULN|2DMG|1AART|2CDMG	1MLV|2RCR|3AART|46DMG|56VULN|6BPWR|7DLOT|8aCDMG|9LIT
81	32221 25252	 * 	189.77	DCR|4VULN|2DMG|1AART	17DMG|257BEXP|3AART|4RPLT|678aVULN|7BPWR|9RCR
82	32263 22255	   	189.61	DCR|3DMG|2VULN|1AART|1DUR	17aDMG|2BEXP|3AART|4DUR|59VULN|6RCR|8LWND
83	32263 22355	   	189.61	DCR|3DMG|2VULN|1AART|1DUR	17aDMG|2BEXP|3AART|4DUR|59VULN|6RCR|8LHND
84	32216 22532	   	189.41	DCR|3DMG|2AART|2VULN	17aDMG|2BEXP|39AART|4NUKE|5aVULN|6aLSRICY|8RCR|aBPWR
85	51214 12431	   	188.39	ACR|3DMG|1AART|1VULN|1CDMG|1DUR	1MLV|2RCR|3AART|458DMG|6VULN|7ERES|9CDMG|aDUR
86	51214 15231	   	188.39	ACR|3DMG|1AART|1VULN|1CDMG|1DUR	1MLV|2RCR|3AART|457DMG|6VULN|8TLV|9CDMG|aDUR
87	51213 66122	   	188.35	ACR|2AART|2DMG|1VULN|1CDMG|1ZMB	1MLV|2RCR|35AART|47DMG|6RPLT|8ZMB|9VULN|aCDMG
88	51213 11366	   	188.25	ACR|2AART|2DMG|1VULN|1CDMG|1ZMB	1MLV|2RCR|35AART|49DMG|6VULN|7DLOT|8CDMG|aZMB
89	51216 26123	   	188.22	ACR|2AART|2VULN|2DMG|1DUR	1MLV|2RCR|3aAART|46DMG|56VULN|6BPWR|7DUR|8ERES|9BEXP
90	51213 14325	   	188.22	ACR|2AART|2VULN|2DMG|1ASPD	1MLV|2RCR|35AART|4aDMG|68VULN|7ASPD|9BEXP
91	51213 15352	   	188.22	ACR|2AART|2VULN|2DMG|1DUR	1MLV|2RCR|35AART|47DMG|6aVULN|8LIT|9DUR
92	33431 53423	   	188.17	DCR|4VULN|2DMG|1AART	18DMG|2DMSP|358MGNSTR|4578VULN|58BPWR|6RCVC|9RCR|aAART
93	24231 21541	   	187.83	ACR|2VULN|2DMG|2AART|2ASPD	19ASPD|2ERES|3RPLT|49VULN|5RCR|6RCVC|7aAART|89DMG|9BPWR
94	51216 21231	   	187.77	ACR|2VULN|2DMG|1AART|1ZMB|1ASPD	1MLV|2RCR|3AART|46DMG|56VULN|6BPWR|7DLOT|8BEXP|9ZMB|aASPD
95	51216 21236	   	187.77	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1MLV|2RCR|3AART|46DMG|56VULN|6BPWR|7DLOT|8BEXP|9ZMB|aDUR
96	51216 21431	   	187.77	ACR|2VULN|2DMG|1AART|1ZMB|1ASPD	1MLV|2RCR|3AART|46DMG|56VULN|6BPWR|7DLOT|8FEWX|9ZMB|aASPD
97	51216 21631	   	187.67	ACR|2VULN|2DMG|1AART|1ZMB|1ASPD	1MLV|2RCR|3AART|46DMG|56VULN|6BPWR|7DLOT|8DUST|9ZMB|aASPD
98	32263 22533	   	187.60	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	17DMG|28BEXP|3AART|4DUR|5aVULN|6RCR|9CDMG
99	35253 22533	   	187.60	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	17DMG|2DUR|3AART|48BEXP|5aVULN|6RCR|9CDMG
100	43263 22316	   	187.60	DCR|2VULN|2DMG|1AART|2ASPD|1DUR	1LEGI|2aASPD|3AART|4DUR|5aVULN|6RCR|7aDMG|8BELT|9RPLT|aBPWR
101	51213 14363	   	187.59	ACR|3VULN|2AART|1DMG|1ASPD	1MLV|2RCR|35AART|4DMG|689VULN|7ASPD|aRCVC
102	51216 25311	   	187.49	ACR|3DMG|2VULN|1AART	1MLV|2RCR|3AART|467DMG|56VULN|6BPWR|8RCVC|9RPLT|aLWND
103	63253 22522	 * 	187.48	DCR|2VULN|2DMG|1AART|2CDMG	1DUST|2AART|37DMG|4FEWX|59VULN|6RCR|8aCDMG
104	51216 25313	   	187.39	ACR|3DMG|2VULN|1AART	1MLV|2RCR|3AART|467DMG|56VULN|6BPWR|8RCVC|9RPLT|aDUST
105	51216 25321	   	187.39	ACR|3DMG|2VULN|1AART	1MLV|2RCR|3AART|467DMG|56VULN|6BPWR|8RCVC|9TLV|aLHND
106	51216 25331	   	187.39	ACR|3DMG|2VULN|1AART	1MLV|2RCR|3AART|467DMG|56VULN|6BPWR|8RCVC|9DUST|aLHND
107	51216 25333	   	187.39	ACR|3DMG|2VULN|1AART	1MLV|2RCR|3AART|467DMG|56VULN|6BPWR|8RCVC|9DUST|aLWND
108	51213 16252	   	187.13	ACR|2AART|2VULN|1DMG|2DUR|1ZMB	18MLV|2RCR|35AART|4DMG|68VULN|78DUR|8BPWR|9ZMB|aLWND
109	51213 16253	   	187.03	ACR|2AART|2VULN|1DMG|2DUR|1ZMB	18MLV|2RCR|35AART|4DMG|68VULN|78DUR|8BPWR|9ZMB|aDUST
110	63322 22143	   	186.88	DCR|2VULN|2DMG|1AART|2DUR|1ASPD	1DUST|2AART|3aVULN|4ASPD|5LHND|6RCR|7aDMG|8LWND|9aDUR|aBPWR
111	61253 22522	   	186.88	DCR|2VULN|2DMG|1AART|2CDMG	1DUST|27DMG|3AART|4FEWX|59VULN|6RCR|8aCDMG
112	32263 22431	   	186.76	DCR|2AART|2DMG|1VULN|1CDMG|2DUR	17DMG|2BEXP|3aAART|48DUR|5VULN|6RCR|9CDMG
113	32263 24433	   	186.76	DCR|2AART|2VULN|1DMG|1CDMG|2DUR	1DMG|2BEXP|37AART|48DUR|5aVULN|6RCR|9CDMG
114	35253 22431	   	186.76	DCR|2AART|2DMG|1VULN|1CDMG|2DUR	17DMG|28DUR|3aAART|4BEXP|5VULN|6RCR|9CDMG
115	33433 61363	 * 	186.70	ACR|3VULN|3DMG|2CDMG	17aDMG|2DMSP|3MGNSTR|49aVULN|5RCR|6aCDMG|8RMIN|aBPWR
116	51213 14361	   	186.29	ACR|3VULN|2AART|1DMG|1ASPD	1MLV|2RCR|35AART|4DMG|689VULN|7ASPD|aCGEN
117	51213 33365	   	186.19	ACR|3DMG|2AART|1VULN|1DUR	1MLV|2RCR|35AART|46aDMG|7NUKE|8DUR|9VULN
118	51213 12412	   	186.19	ACR|3DMG|2AART|1VULN|1ASPD	1MLV|2RCR|35AART|489DMG|6VULN|7ERES|aASPD
119	51213 32211	   	186.19	ACR|3DMG|2AART|1VULN|1DUR	1MLV|2RCR|35AART|467DMG|8AIRHEL|9VULN|aDUR
120	51214 31111	   	186.19	ACR|3DMG|2AART|1VULN|1DUR	1MLV|2RCR|3aAART|456DMG|7LSRHEA|8DUR|9VULN
121	51223 15412	   	186.19	ACR|3DMG|2AART|1VULN|1ASPD	1MLV|2RCR|35AART|4ERES|6VULN|789DMG|aASPD
122	51223 34412	   	186.19	ACR|3DMG|2AART|1VULN|1ASPD	1MLV|2RCR|35AART|4ERES|689DMG|7VULN|aASPD
123	51213 14315	   	186.19	ACR|3VULN|2AART|1DMG|1ASPD	1MLV|2RCR|35AART|4DMG|68aVULN|7ASPD|9NUKE
124	51213 14335	   	186.19	ACR|3VULN|2AART|1DMG|1ASPD	1MLV|2RCR|35AART|4DMG|68aVULN|7ASPD|9TLV
125	51213 14362	   	186.19	ACR|3VULN|2AART|1DMG|1ASPD	1MLV|2RCR|35AART|4DMG|689VULN|7ASPD|aVENICY
126	63263 22253	   	185.90	DCR|2AART|2VULN|2DMG|1DUR	1DUST|2aAART|37DMG|4DUR|59VULN|6RCR|8LWND
127	51216 21213	   	185.69	ACR|3VULN|2DMG|1AART	1aMLV|2RCR|3AART|46DMG|56aVULN|6aBPWR|7DLOT|8aBEXP|9BELT
128	51216 21413	   	185.69	ACR|3VULN|2DMG|1AART	1aMLV|2RCR|3AART|46DMG|56aVULN|6aBPWR|7DLOT|8aFEWX|9BELT
129	51216 25111	   	185.59	ACR|3DMG|2VULN|1AART	1MLV|2RCR|3AART|467DMG|56VULN|6BPWR|8aLWND|9LIT
130	51216 25113	   	185.59	ACR|3DMG|2VULN|1AART	1MLV|2RCR|3AART|467DMG|56VULN|6BPWR|8LWND|9LIT|aRPLT
131	51216 25122	   	185.59	ACR|3DMG|2VULN|1AART	1MLV|2RCR|3AART|467DMG|56VULN|6BPWR|8LWND|9BEXP|aCGEN
132	51216 21613	   	185.49	ACR|3VULN|2DMG|1AART	1aMLV|2RCR|3AART|46DMG|56aVULN|6aBPWR|7DLOT|8aDUST|9BELT
133	51216 22423	   	185.49	ACR|3DMG|2VULN|1AART	1MLV|2RCR|3AART|468DMG|56VULN|6BPWR|7ERES|9RMIN|aBEXP
134	51216 25121	   	185.49	ACR|3DMG|2VULN|1AART	1MLV|2RCR|3AART|467DMG|56VULN|6BPWR|8LWND|9BEXP|aDUST
135	51216 25223	   	185.49	ACR|3DMG|2VULN|1AART	1MLV|2RCR|3AART|467DMG|56VULN|6BPWR|8TLV|9RMIN|aBEXP
136	32263 22253	   	185.40	DCR|2AART|2VULN|2DMG|1DUR	17DMG|2BEXP|3aAART|4DUR|59VULN|6RCR|8LWND
137	35253 22253	   	185.40	DCR|2AART|2VULN|2DMG|1DUR	17DMG|2DUR|3aAART|4BEXP|59VULN|6RCR|8LWND
138	51214 31513	   	185.39	ACR|3DMG|2VULN|1AART	1MLV|2RCR|3AART|456DMG|7LSRHEA|89VULN|aRPLT
139	51216 22325	   	185.39	ACR|3DMG|2VULN|1AART	1MLV|2RCR|3AART|46aDMG|56VULN|6BPWR|7ERES|8TLV|9CGEN
140	51216 22335	   	185.39	ACR|3VULN|2DMG|1AART	19MLV|2RCR|3AART|46DMG|56aVULN|6BPWR|7ERES|8TLV
141	51216 22342	   	185.39	ACR|3VULN|2DMG|1AART	1MLV|2RCR|3AART|46DMG|56aVULN|6BPWR|7ERES|8TLV|9LIT
142	51216 22411	   	185.39	ACR|3DMG|2VULN|1AART	1MLV|2RCR|3AART|468DMG|56VULN|6BPWR|7ERES|9DUST|aRMIN
143	51216 22412	   	185.39	ACR|3DMG|2VULN|1AART	1MLV|2RCR|3AART|468DMG|56VULN|6BPWR|7ERES|9DUST|aCGEN
144	51216 22413	   	185.39	ACR|3DMG|2VULN|1AART	1MLV|2RCR|3AART|468DMG|56VULN|6BPWR|7ERES|9DUST|aLHND
145	51216 22421	   	185.39	ACR|3DMG|2VULN|1AART	1MLV|2RCR|3AART|468DMG|56VULN|6BPWR|7ERES|9RMIN|aLEGI
146	51216 25211	   	185.39	ACR|3DMG|2VULN|1AART	1MLV|2RCR|3AART|467DMG|56VULN|6BPWR|8TLV|9DUST|aRMIN
147	51216 25212	   	185.39	ACR|3DMG|2VULN|1AART	1MLV|2RCR|3AART|467DMG|56VULN|6BPWR|8TLV|9DUST|aCGEN
148	51216 25213	   	185.39	ACR|3DMG|2VULN|1AART	1MLV|2RCR|3AART|467DMG|56VULN|6BPWR|8TLV|9DUST|aLHND
149	51216 25221	   	185.39	ACR|3DMG|2VULN|1AART	1MLV|2RCR|3AART|467DMG|56VULN|6BPWR|8TLV|9RMIN|aLEGI
150	61263 22253	   	185.30	DCR|2AART|2VULN|2DMG|1DUR	1DUST|27DMG|3aAART|4DUR|59VULN|6RCR|8LWND
151	32253 22542	 * 	185.24	DCR|3DMG|1AART|1VULN|2CDMG	179DMG|29BEXP|3AART|4FEWX|5VULN|6RCR|89CDMG|9BPWR|aDMSP
152	32253 22543	   	185.24	DCR|3DMG|1AART|1VULN|2CDMG	179DMG|29BEXP|3AART|4FEWX|5VULN|6RCR|89CDMG|9BPWR|aLHND
153	32253 22541	   	185.14	DCR|3DMG|1AART|1VULN|2CDMG	179DMG|29BEXP|3AART|4FEWX|5VULN|6RCR|89CDMG|9BPWR|aDUST
154	51212 33361	 * 	184.89	ACR|2VULN|2DMG|1AART|2ZMB	1MLV|2RCR|3AART|4aDMG|5LWND|6LIT|7aZMB|8LHND|9aVULN|aBPWR
155	51212 33461	   	184.89	ACR|2VULN|2DMG|1AART|2ZMB	1MLV|2RCR|3AART|4aDMG|5LWND|6LIT|7aZMB|8FEWX|9aVULN|aBPWR
156	51212 33561	   	184.79	ACR|2VULN|2DMG|1AART|2ZMB	1MLV|2RCR|3AART|4aDMG|5LWND|6LIT|7aZMB|8DUST|9aVULN|aBPWR
157	51215 33361	   	184.79	ACR|2VULN|2DMG|1AART|2ZMB	1MLV|2RCR|3AART|4aDMG|5DUST|6LIT|7aZMB|8LWND|9aVULN|aBPWR
158	51216 61222	   	184.35	ACR|3VULN|1AART|1DMG|3DUR	178MLV|2RCR|3AART|4DMG|578VULN|678DUR|78BPWR|9aBEXP
159	51216 61212	   	184.25	ACR|3VULN|1AART|1DMG|3DUR	178MLV|2RCR|3AART|4DMG|578VULN|678DUR|78BPWR|9DUST|aBEXP
160	51213 14333	   	184.18	ACR|2AART|2VULN|1DMG|1CDMG|1ASPD	1MLV|2RCR|35AART|4DMG|68VULN|7ASPD|9TLV|aCDMG
161	51213 14433	   	184.18	ACR|2AART|2DMG|1VULN|1CDMG|1ASPD	1MLV|2RCR|35AART|48DMG|6VULN|7ASPD|9TLV|aCDMG
162	34441 22231	   	184.17	DCR|3VULN|2DMG|1AART|1ZMB	17DMG|25ERES|3AART|457VULN|57BPWR|67CGEN|8LIT|9ZMB|aRCR
163	34441 32231	   	184.17	DCR|3VULN|2DMG|1AART|1ZMB	17DMG|25ERES|3AART|457VULN|57BPWR|67MLV|8LIT|9ZMB|aRCR
164	51216 61213	   	184.15	ACR|3VULN|1AART|1DMG|3DUR	178MLV|2RCR|3AART|4DMG|578VULN|678DUR|78BPWR|9DUST|aSNIHEL
165	51214 52212	   	183.95	ACR|3DMG|1AART|1VULN|1CDMG	1MLV|2RCR|3AART|457DMG|6RCVC|8AIRHEL|9VULN|aCDMG
166	51213 52215	   	183.78	ACR|2AART|2VULN|2DMG	1MLV|2RCR|35AART|47DMG|6RCVC|8aVULN|9LWND
167	51213 52226	   	183.78	ACR|2AART|2VULN|2DMG	1MLV|2RCR|35AART|47DMG|6RCVC|8aVULN|9RMIN
168	51213 52251	   	183.78	ACR|2AART|2VULN|2DMG	1MLV|2RCR|35AART|47DMG|6RCVC|89VULN|aFEWX
169	51213 52253	   	183.78	ACR|2AART|2VULN|2DMG	1MLV|2RCR|35AART|47DMG|6RCVC|89VULN|aLHND
