0	Index      	 *	Score 	Summary	Detail	
1	66151 32333	 * 	204.96	ACR|4VULN|2DMG|2DUR|1ZMB|1ASPD	1RCR|278aVULN|3RPLT|4ASPD|58DUR|68DMG|8BPWR|9ZMB
50	66132 53332	 * 	185.39	ACR|4VULN|1AART|1FLTHEA|1ZMB	1RCR|256aVULN|3RPLT|4FLTHEA|7ZMB|8FEWX|9AART
51	16532 12333	   	185.14	ACR|4VULN|2AART|1CDMG	1TLV|2RCR|3478VULN|5LWND|69AART|aCDMG
52	26532 12333	   	185.14	ACR|4VULN|2AART|1CDMG	1ERES|2RCR|3478VULN|5LWND|69AART|aCDMG
53	66212 16313	   	184.99	ACR|2VULN|1AART|1DMG|2CDMG|1ASPD|1DUR	1RCR|26VULN|35LHND|45CDMG|5BPWR|7DMG|8ASPD|9AART|aDUR
54	66132 53331	   	184.94	ACR|3VULN|1AART|1FLTHEA|1CDMG|1ZMB	1RCR|256VULN|3RPLT|4FLTHEA|7ZMB|8FEWX|9AART|aCDMG
55	66132 53111	   	184.57	ACR|3VULN|1AART|1FLTHEA|1ZMB|1DUR|1ASPD	1RCR|256VULN|3RPLT|4FLTHEA|7ZMB|8ASPD|9DUR|aAART
56	66131 53222	 * 	184.44	ACR|3VULN|2AART|1FLTHEA|1ZMB	1RCR|29aVULN|3RPLT|4FLTHEA|5DUST|68AART|7ZMB
57	66132 34122	 * 	184.20	ACR|4VULN|2FLTHEA|2ASPD|1CDMG	1RCR|2579VULN|3RPLT|47FLTHEA|679TLV|79BPWR|89ASPD|aCDMG
58	16522 33233	   	184.07	ACR|3VULN|2DMG|1CDMG|2DUR	1TLV|2RCR|37aVULN|4CDMG|5LHND|6aDUR|8LIT|9aDMG|aBPWR
59	61431 16211	   	184.04	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	1RCR|2MLV|3BEXP|469VULN|5ZMB|7DUR|8DMG|aAART
60	61231 16211	   	183.94	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	1RCR|2MLV|3DUST|469VULN|5ZMB|7DUR|8DMG|aAART
61	63431 16211	   	183.94	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	1RCR|2TLV|3BEXP|469VULN|5ZMB|7DUR|8DMG|aAART
62	64231 16211	   	183.94	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	1RCR|2CGEN|3DUST|469VULN|5ZMB|7DUR|8DMG|aAART
63	63231 16211	   	183.84	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	1RCR|2TLV|3DUST|469VULN|5ZMB|7DUR|8DMG|aAART
64	62531 31433	   	183.77	ACR|3VULN|1AART|1CDMG|1FLTHEA|1ASPD	1RCR|2LHND|3DUST|4AART|5CDMG|68aVULN|7FLTHEA|9ASPD
65	61231 55223	   	183.74	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1RCR|2MLV|3DUST|48VULN|5ZMB|6DMG|7AART|9CDMG|aDUR
66	63231 55223	   	183.64	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1RCR|2TLV|3DUST|48VULN|5ZMB|6DMG|7AART|9CDMG|aDUR
67	66231 31531	   	183.35	ACR|3VULN|1AART|1DMG|1CDMG	1RCR|269VULN|3LHND|4AART|5CDMG|7LWND|8DMG|aFEWX
68	66231 31532	   	183.35	ACR|3VULN|1AART|1DMG|1CDMG	1RCR|269VULN|3LHND|4AART|5CDMG|7LWND|8DMG|aCGEN
69	62331 35523	   	183.25	ACR|3VULN|1AART|1DMG|1CDMG	1RCR|2LHND|3BEXP|4AART|5CDMG|69aVULN|7CANSTR|8DMG
70	61526 11213	 * 	183.00	ACR|4VULN|3CDMG|1DMG	1RCR|2MLV|359aVULN|467CDMG|8DMG
71	63526 11213	   	182.90	ACR|4VULN|3CDMG|1DMG	1RCR|2TLV|359aVULN|467CDMG|8DMG
72	64532 12313	   	182.60	ACR|4VULN|1AART|1DMG	1RCR|2CGEN|3478VULN|59LWND|6AART|aDMG
73	61532 12343	   	182.50	ACR|4VULN|1AART|1DMG	1RCR|2MLV|3478VULN|5LWND|6AART|9MBVNT|aDMG
74	66131 53221	 * 	182.43	ACR|2VULN|2AART|1FLTHEA|1CDMG|1ZMB	1RCR|29VULN|3RPLT|4FLTHEA|5DUST|68AART|7ZMB|aCDMG
75	63532 12343	   	182.40	ACR|4VULN|1AART|1DMG	1RCR|2TLV|3478VULN|5LWND|6AART|9MBVNT|aDMG
76	66632 12323	 * 	182.30	ACR|5VULN|1AART|1ASPD	1RCR|24789VULN|39ERES|59LWND|6AART|9BPWR|aASPD
77	63521 52212	   	182.28	ACR|2VULN|2DMG|1AART|1CDMG	1RCR|28TLV|38VULN|4CDMG|5BEXP|6DMSP|78DMG|8BPWR|9AART|aLWND
78	63521 52211	   	182.18	ACR|2VULN|2DMG|1AART|1CDMG	1RCR|28TLV|38VULN|4CDMG|5BEXP|6DMSP|78DMG|8BPWR|9AART|aBASHEA
79	63521 52213	   	182.18	ACR|2VULN|2DMG|1AART|1CDMG	1RCR|28TLV|38VULN|4CDMG|5BEXP|6DMSP|78DMG|8BPWR|9AART|aVENICY
80	66231 11511	 * 	182.14	ACR|2AART|1DMG|1VULN|1CDMG|1FLTHEA|1ASPD	1RCR|2VULN|3LHND|4aAART|5CDMG|6LWND|7FLTHEA|8DMG|9ASPD
81	33126 36263	 * 	182.13	DCR|3DMG|2AART|1VULN|1ZMB	1RPLT|2LIT|3ZMB|4aAART|579DMG|6VULN|8RCR
82	66231 33353	   	181.57	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1RCR|26VULN|3LHND|4AART|5CDMG|7CGEN|8ASPD|9DMG|aDUR
83	16431 16211	   	181.54	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	1TLV|2RCR|3BEXP|469VULN|5ZMB|7DUR|8DMG|aAART
84	26431 16211	   	181.54	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	1ERES|2RCR|3BEXP|469VULN|5ZMB|7DUR|8DMG|aAART
85	46231 16211	   	181.54	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	1CGEN|2RCR|3DUST|469VULN|5ZMB|7DUR|8DMG|aAART
86	66151 32313	   	181.46	ACR|3VULN|2DMG|2DUR|1ASPD	1RCR|278VULN|3RPLT|4ASPD|58DUR|68DMG|8BPWR|9RCVC|aBELT
87	16231 16211	   	181.44	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	1TLV|2RCR|3DUST|469VULN|5ZMB|7DUR|8DMG|aAART
88	26231 16211	   	181.44	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	1ERES|2RCR|3DUST|469VULN|5ZMB|7DUR|8DMG|aAART
89	66151 32311	   	181.36	ACR|3VULN|2DMG|2DUR|1ASPD	1RCR|278VULN|3RPLT|4ASPD|58DUR|68DMG|8BPWR|9RCVC|aVENICY
90	66151 32312	   	181.36	ACR|3VULN|2DMG|2DUR|1ASPD	1RCR|278VULN|3RPLT|4ASPD|58DUR|68DMG|8BPWR|9RCVC|aERES
91	66231 11226	   	181.35	ACR|2VULN|1AART|1DMG|1CDMG|1FLTHEA	1RCR|29VULN|3LHND|4AART|5CDMG|6LWND|7FLTHEA|8CGEN|aDMG
92	66331 11226	   	181.35	ACR|2VULN|1AART|1DMG|1CDMG|1FLTHEA	1RCR|29VULN|3FEWX|4AART|5CDMG|6LWND|7FLTHEA|8CGEN|aDMG
93	62331 31226	   	181.35	ACR|2VULN|1AART|1DMG|1CDMG|1FLTHEA	1RCR|2LHND|3BEXP|4AART|5CDMG|69VULN|7FLTHEA|8CGEN|aDMG
94	62331 31524	   	181.35	ACR|2VULN|1AART|1DMG|1CDMG|1FLTHEA	1RCR|2LHND|3BEXP|4AART|5CDMG|69VULN|7FLTHEA|8DMG|aLIT
95	62331 31525	   	181.35	ACR|2VULN|1AART|1DMG|1CDMG|1FLTHEA	1RCR|2LHND|3BEXP|4AART|5CDMG|69VULN|7FLTHEA|8DMG|aLWND
96	62331 31541	   	181.35	ACR|2VULN|1AART|1DMG|1CDMG|1FLTHEA	1RCR|2LHND|3BEXP|4AART|5CDMG|6aVULN|7FLTHEA|8DMG|9FEWX
97	62531 31226	   	181.25	ACR|2VULN|1AART|1DMG|1CDMG|1FLTHEA	1RCR|2LHND|3DUST|4AART|5CDMG|69VULN|7FLTHEA|8CGEN|aDMG
98	62331 31551	   	181.25	ACR|2VULN|1AART|1DMG|1CDMG|1FLTHEA	1RCR|2LHND|3BEXP|4AART|5CDMG|6aVULN|7FLTHEA|8DMG|9DUST
99	16231 55223	   	181.24	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1TLV|2RCR|3DUST|48VULN|5ZMB|6DMG|7AART|9CDMG|aDUR
100	26231 55223	   	181.24	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1ERES|2RCR|3DUST|48VULN|5ZMB|6DMG|7AART|9CDMG|aDUR
101	66231 13333	   	180.95	ACR|2VULN|1AART|1DMG|2CDMG|1DUR	1RCR|29VULN|3LHND|4AART|58CDMG|6LWND|7DMG|aDUR
102	66231 13353	 * 	180.95	ACR|2DMG|1AART|1VULN|2CDMG|1DUR	1RCR|2VULN|3LHND|4AART|58CDMG|6LWND|79DMG|aDUR
103	62331 33353	   	180.95	ACR|2DMG|1AART|1VULN|2CDMG|1DUR	1RCR|2LHND|3BEXP|4AART|58CDMG|6VULN|79DMG|aDUR
104	62531 33333	   	180.85	ACR|2VULN|1AART|1DMG|2CDMG|1DUR	1RCR|2LHND|3DUST|4AART|58CDMG|69VULN|7DMG|aDUR
105	62531 33353	   	180.85	ACR|2DMG|1AART|1VULN|2CDMG|1DUR	1RCR|2LHND|3DUST|4AART|58CDMG|6VULN|79DMG|aDUR
106	66531 13333	   	180.85	ACR|2VULN|1AART|1DMG|2CDMG|1DUR	1RCR|29VULN|3DUST|4AART|58CDMG|6LWND|7DMG|aDUR
107	66132 14332	 * 	180.80	ACR|4VULN|1AART|2FLTHEA	1RCR|257aVULN|3RPLT|47FLTHEA|6RMIN|7BPWR|8FEWX|9AART
108	66512 13333	   	180.70	ACR|3VULN|1DMG|2CDMG|1ZMB|1ASPD	1RCR|26aVULN|35DUST|45CDMG|5BPWR|7ZMB|8ASPD|9DMG
109	66212 16123	 * 	180.55	ACR|3VULN|2DMG|2CDMG	1RCR|26aVULN|35LHND|45CDMG|5BPWR|79DMG|8FEWX
110	16526 11213	   	180.50	ACR|4VULN|3CDMG|1DMG	1TLV|2RCR|359aVULN|467CDMG|8DMG
111	26526 11213	   	180.50	ACR|4VULN|3CDMG|1DMG	1ERES|2RCR|359aVULN|467CDMG|8DMG
112	62312 35211	   	180.47	ACR|3VULN|1AART|1CDMG|1FLTHEA|1DUR	1RCR|28LHND|38BEXP|4CDMG|5FLTHEA|678VULN|8BPWR|9DUR|aAART
113	61362 33163	 * 	180.35	ACR|2VULN|1AART|1DMG|2ZMB|1CDMG	1RCR|2aMLV|3aZMB|4CDMG|5BELT|6DMG|7RPLT|8AART|9aVULN|aBPWR
114	66132 14331	 * 	180.35	ACR|3VULN|1AART|2FLTHEA|1CDMG	1RCR|257VULN|3RPLT|47FLTHEA|6RMIN|7BPWR|8FEWX|9AART|aCDMG
115	66512 13313	 * 	180.23	ACR|2VULN|2AART|2CDMG|1ZMB|1ASPD	1RCR|26VULN|35DUST|45CDMG|5BPWR|7ZMB|8ASPD|9aAART
116	46532 12313	   	180.20	ACR|4VULN|1AART|1DMG	1CGEN|2RCR|3478VULN|59LWND|6AART|aDMG
117	16532 12343	   	180.00	ACR|4VULN|1AART|1DMG	1TLV|2RCR|3478VULN|5LWND|6AART|9MBVNT|aDMG
118	26532 12343	   	180.00	ACR|4VULN|1AART|1DMG	1ERES|2RCR|3478VULN|5LWND|6AART|9MBVNT|aDMG
119	66132 14111	   	179.98	ACR|3VULN|1AART|2FLTHEA|1ASPD|1DUR	1RCR|257VULN|3RPLT|47FLTHEA|6RMIN|7BPWR|8ASPD|9DUR|aAART
120	26532 12323	   	179.90	ACR|5VULN|1AART|1ASPD	19ERES|2RCR|34789VULN|59LWND|6AART|9BPWR|aASPD
121	16521 52212	   	179.88	ACR|2VULN|2DMG|1AART|1CDMG	18TLV|2RCR|38VULN|4CDMG|5BEXP|6DMSP|78DMG|8BPWR|9AART|aLWND
122	66132 34111	   	179.88	ACR|3VULN|1AART|2FLTHEA|1DUR|1ASPD	1RCR|257VULN|3RPLT|47FLTHEA|67TLV|7BPWR|8ASPD|9DUR|aAART
123	66151 32321	   	179.85	ACR|3VULN|2DMG|2DUR|1ASPD	1RCR|278VULN|3RPLT|4ASPD|58DUR|68DMG|8BPWR|9BEXP|aFEWX
124	66151 32322	   	179.85	ACR|3VULN|2DMG|2DUR|1ASPD	1RCR|278VULN|3RPLT|4ASPD|58DUR|68DMG|8BPWR|9aBEXP
125	16521 52211	   	179.78	ACR|2VULN|2DMG|1AART|1CDMG	18TLV|2RCR|38VULN|4CDMG|5BEXP|6DMSP|78DMG|8BPWR|9AART|aBASHEA
126	16521 52213	   	179.78	ACR|2VULN|2DMG|1AART|1CDMG	18TLV|2RCR|38VULN|4CDMG|5BEXP|6DMSP|78DMG|8BPWR|9AART|aVENICY
127	66151 32323	   	179.75	ACR|3VULN|2DMG|2DUR|1ASPD	1RCR|278VULN|3RPLT|4ASPD|58DUR|68DMG|8BPWR|9BEXP|aERES
128	66231 11151	   	179.67	ACR|2AART|2VULN|1CDMG|1FLTHEA|1DUR	1RCR|29VULN|3LHND|4aAART|5CDMG|6LWND|7FLTHEA|8DUR
129	66331 51322	   	179.67	ACR|2AART|2VULN|1CDMG|1FLTHEA|1DUR	1RCR|29VULN|3FEWX|4aAART|5CDMG|6DUR|7FLTHEA|8RMIN
130	62135 52311	   	179.65	ACR|3VULN|1AART|1DMG|1CDMG	1RCR|2LHND|3RPLT|4TLV|5CDMG|6DMG|789VULN|aAART
131	66125 12211	   	179.55	ACR|3VULN|1AART|1DMG|1CDMG	1RCR|269VULN|3RPLT|4ERES|5CDMG|7DUST|8DMG|aAART
132	61331 12343	   	179.30	ACR|3VULN|1AART|1DMG|1ZMB	1RCR|2MLV|3ZMB|4ERES|578VULN|6AART|9MBVNT|aDMG
133	63351 12343	   	179.30	ACR|3VULN|1AART|1DMG|1ZMB	1RCR|2TLV|3ZMB|4MLV|578VULN|6AART|9MBVNT|aDMG
134	64331 12343	   	179.30	ACR|3VULN|1AART|1DMG|1ZMB	1RCR|2CGEN|3ZMB|4ERES|578VULN|6AART|9MBVNT|aDMG
135	64331 12363	   	179.30	ACR|3VULN|1AART|1DMG|1ZMB	1RCR|2CGEN|3ZMB|49ERES|578VULN|6AART|aDMG
136	63331 12343	   	179.20	ACR|3VULN|1AART|1DMG|1ZMB	1RCR|2TLV|3ZMB|4ERES|578VULN|6AART|9MBVNT|aDMG
137	66331 13531	   	179.14	ACR|2AART|2VULN|1DMG|1CDMG	1RCR|29VULN|3aFEWX|48AART|5CDMG|6LWND|7DMG
138	62331 33551	   	179.14	ACR|2AART|2DMG|1VULN|1CDMG	1RCR|2LHND|3BEXP|48AART|5CDMG|6VULN|79DMG|aFEWX
139	62331 33552	   	179.14	ACR|2AART|2DMG|1VULN|1CDMG	1RCR|2LHND|3BEXP|48AART|5CDMG|6VULN|79DMG|aCGEN
140	62531 33531	   	179.04	ACR|2AART|2VULN|1DMG|1CDMG	1RCR|2LHND|3DUST|48AART|5CDMG|69VULN|7DMG|aFEWX
141	62531 33532	   	179.04	ACR|2AART|2VULN|1DMG|1CDMG	1RCR|2LHND|3DUST|48AART|5CDMG|69VULN|7DMG|aCGEN
142	66331 13533	   	179.04	ACR|2AART|2VULN|1DMG|1CDMG	1RCR|29VULN|3FEWX|48AART|5CDMG|6LWND|7DMG|aDUST
143	66151 33323	   	179.02	ACR|2VULN|2DMG|3DUR|1ZMB|1ASPD	1RCR|28VULN|3RPLT|4ASPD|578DUR|68DMG|8BPWR|9LIT|aZMB
144	61231 55232	   	179.00	ACR|3VULN|1AART|1DMG|1ZMB	1RCR|2aMLV|3DUST|48aVULN|5ZMB|6DMG|7AART|9aBEXP|aBPWR
145	61526 11121	   	178.98	ACR|3VULN|3CDMG|1AART|1DUR	1RCR|2MLV|358VULN|467CDMG|9DUR|aAART
146	66125 11133	   	178.93	ACR|3VULN|1AART|2CDMG|2DUR	1RCR|26aVULN|3RPLT|4ERES|5aCDMG|7BELT|8aDUR|9AART|aBPWR
147	63526 11121	   	178.88	ACR|3VULN|3CDMG|1AART|1DUR	1RCR|2TLV|358VULN|467CDMG|9DUR|aAART
148	66231 33611	   	178.70	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1RCR|26VULN|3LHND|4AART|5CDMG|7CGEN|8DMG|9ZMB|aFEWX
149	66231 33612	   	178.60	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1RCR|26VULN|3LHND|4AART|5CDMG|7CGEN|8DMG|9ZMB|aERES
150	54533 33321	 * 	178.57	DCR|3VULN|2DMG|1AART	18BEXP|28DMG|348VULN|5RMIN|6RCR|7RPLT|8BPWR|9AIRHEL|aAART
151	66212 16311	   	178.05	ACR|2VULN|1AART|1DMG|2CDMG|1ASPD	1RCR|26VULN|35LHND|45CDMG|5BPWR|7DMG|8ASPD|9AART|aMLV
152	66212 16312	   	178.05	ACR|2VULN|1AART|1DMG|2CDMG|1ASPD	1RCR|26VULN|35LHND|45CDMG|5BPWR|7DMG|8ASPD|9AART|aBEXP
153	66231 63134	 * 	178.04	ACR|3VULN|1AART|2ZMB|1CDMG	1RCR|29aVULN|3LHND|4AART|5CDMG|67ZMB|8MBVNT
154	66361 33214	   	177.99	ACR|3VULN|2DMG|2DUR	1RCR|29aVULN|3FEWX|4aDUR|56RCVC|7MBVNT|8aDMG|aBPWR
155	61532 12363	   	177.79	ACR|4VULN|1AART|1CDMG	1RCR|2MLV|3478VULN|5LWND|6AART|9RCVC|aCDMG
156	62312 36522	   	177.75	ACR|2VULN|1AART|1DMG|1CDMG|1FLTHEA	1RCR|2LHND|3BEXP|4CDMG|5FLTHEA|68VULN|7RPLT|9DMG|aAART
157	63532 12363	   	177.69	ACR|4VULN|1AART|1CDMG	1RCR|2TLV|3478VULN|5LWND|6AART|9RCVC|aCDMG
158	62312 23535	   	177.65	ACR|2VULN|1AART|1DMG|1CDMG|1FLTHEA	1RCR|2LHND|3BEXP|4CDMG|5FLTHEA|6DUST|78VULN|9DMG|aAART
159	62312 33486	   	177.65	ACR|2VULN|1AART|1DMG|1CDMG|1FLTHEA	1RCR|2LHND|3BEXP|4CDMG|5FLTHEA|69VULN|7MBVNT|8DMG|aAART
160	62312 33636	   	177.65	ACR|2VULN|1AART|1DMG|1CDMG|1FLTHEA	1RCR|2LHND|3BEXP|4CDMG|5FLTHEA|68VULN|7MBVNT|9DMG|aAART
161	66132 53132	   	177.53	ACR|3VULN|1AART|1FLTHEA|1ZMB|1ASPD	1RCR|256VULN|3RPLT|4FLTHEA|7ZMB|8ASPD|9ERES|aAART
162	66132 34121	   	177.49	ACR|4VULN|2FLTHEA|2ASPD|1DUR	1RCR|2579VULN|3RPLT|47FLTHEA|679TLV|79BPWR|89ASPD|aDUR
163	66234 32323	   	177.48	ACR|2VULN|1AART|1DMG|2DUR|1ZMB	1RCR|28VULN|3LHND|4AART|58CGEN|68DUR|7RMIN|8BPWR|9ZMB|aDMG
164	66236 21323	   	177.48	ACR|2VULN|1AART|1DMG|2DUR|1ZMB	1RCR|28VULN|3LHND|4AART|5RMIN|68CGEN|78DUR|8BPWR|9ZMB|aDMG
