0	Index      	 *	Score 	Summary	Detail	
1	33112 14321	 * 	181.65	DCR|2DMG|1AART|1VULN|1CDMG|2DUR|1ASPD	1MGNLIT|2VULN|38DUR|4AART|5ASPD|6RCR|7CDMG|9aDMG
19	63411 34322	   	169.48	DCR|3VULN|1AART|1DMG|1ZMB	1BEXP|2ZMB|3LWND|4DMG|5CGEN|6AART|79aVULN|8RCR
20	11524 11613	   	169.41	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1CGEN|2LIT|3VULN|4AART|5DUR|6RCR|7aDMG|8CDMG|9LHND
21	21524 11532	   	169.41	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1MLV|2LIT|38VULN|4AART|5DUR|6RCR|7DMG|9CDMG|aRPLT
22	21524 11533	   	169.41	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1MLV|2LIT|38VULN|4AART|5DUR|6RCR|7DMG|9CDMG|aLWND
23	21524 11613	   	169.41	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1MLV|2LIT|3VULN|4AART|5DUR|6RCR|7aDMG|8CDMG|9LHND
24	42324 11613	   	169.41	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1LIT|2VULN|3CGEN|4AART|5DUR|6RCR|7aDMG|8CDMG|9LHND
25	21524 11531	   	169.31	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1MLV|2LIT|38VULN|4AART|5DUR|6RCR|7DMG|9CDMG|aDLOT
26	32234 53423	 * 	168.15	DCR|2VULN|2DMG|1AART|1ASPD	1aMGNLIT|2ASPD|3aLHND|4BEXP|58VULN|6aDMG|7RCR|9AART|aBPWR
27	13333 15561	   	168.13	DCR|3DMG|2AART|1VULN	1CGEN|2RPLT|3VULN|478DMG|56AART|9RCR|aFEWX
28	23333 15561	   	168.13	DCR|3DMG|2AART|1VULN	1MLV|2RPLT|3VULN|478DMG|56AART|9RCR|aFEWX
29	13333 15563	   	168.03	DCR|3DMG|2AART|1VULN	1CGEN|2RPLT|3VULN|478DMG|56AART|9RCR|aSNIHEL
30	13333 15634	   	168.03	DCR|3DMG|2AART|1VULN	1CGEN|2RPLT|3VULN|47aDMG|56AART|8NUKE|9RCR
31	23333 15563	   	168.03	DCR|3DMG|2AART|1VULN	1MLV|2RPLT|3VULN|478DMG|56AART|9RCR|aSNIHEL
32	23333 15634	   	168.03	DCR|3DMG|2AART|1VULN	1MLV|2RPLT|3VULN|47aDMG|56AART|8NUKE|9RCR
33	32114 53423	   	167.95	DCR|2VULN|2DMG|1AART|1ASPD	1aMGNLIT|2ASPD|3aDUST|4LWND|58VULN|6aDMG|7RCR|9AART|aBPWR
34	33663 31125	   	167.82	DCR|3VULN|1AART|1DMG|1ASPD	1MGNLIT|248VULN|3LIT|5LSRICY|6AART|7RCR|9ASPD|aDMG
35	33663 31315	 * 	167.68	DCR|2VULN|2AART|1DMG|1ZMB	1MGNLIT|24VULN|3LIT|5LSRICY|68AART|7RCR|9ZMB|aDMG
36	11524 11116	   	167.41	DCR|2AART|2VULN|1DMG|1DUR	1aCGEN|2LIT|3aVULN|48AART|5DUR|6RCR|7DMG|9aLHND|aBPWR
37	21525 11135	   	167.34	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB	1MLV|2LIT|3VULN|48AART|5FEWX|6RCR|7DMG|9CDMG|aZMB
38	33112 11213	   	167.29	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR|1ASPD	1MGNLIT|29VULN|3DUR|4AART|5ASPD|6RCR|7ZMB|8RPLT|aCDMG
39	11553 35443	   	167.28	ACR|4VULN|2DMG	1CGEN|2LIT|3679VULN|4RCR|5MBVNT|8aDMG
40	42353 35443	   	167.28	ACR|4VULN|2DMG	1LIT|2679VULN|3CGEN|4RCR|5MBVNT|8aDMG
41	22246 21814	 * 	167.27	ACR|2VULN|2DMG|1AART|1DUR	13aMLV|2DUR|4MBVNT|5RCR|6aVULN|7AART|8aDMG|9RPLT|aBPWR
42	11524 11521	   	167.21	DCR|2AART|2VULN|1DMG|1DUR	19CGEN|2LIT|38VULN|4aAART|5DUR|6RCR|7DMG
43	42324 11521	   	167.21	DCR|2AART|2VULN|1DMG|1DUR	1LIT|28VULN|39CGEN|4aAART|5DUR|6RCR|7DMG
44	13152 51421	   	166.74	ACR|3VULN|3DMG	18CGEN|2RPLT|3DMSP|489DMG|5RCR|678VULN|8BPWR|aBEXP
45	13152 51423	   	166.74	ACR|3VULN|3DMG	18CGEN|2RPLT|3DMSP|489DMG|5RCR|678VULN|8BPWR|aLIT
46	13333 15635	 * 	166.02	DCR|2AART|2DMG|1VULN|1CDMG	1CGEN|2RPLT|3VULN|47DMG|56AART|8NUKE|9RCR|aCDMG
47	23333 15635	   	166.02	DCR|2AART|2DMG|1VULN|1CDMG	1MLV|2RPLT|3VULN|47DMG|56AART|8NUKE|9RCR|aCDMG
48	11531 11345	   	165.68	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1CGEN|2LIT|34VULN|5CDMG|6LWND|7DMG|8RCR|9AART|aZMB
49	21531 11345	   	165.68	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1MLV|2LIT|34VULN|5CDMG|6LWND|7DMG|8RCR|9AART|aZMB
50	42331 11345	   	165.68	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LIT|24VULN|3CGEN|5CDMG|6LWND|7DMG|8RCR|9AART|aZMB
51	33663 31111	 * 	165.47	DCR|3VULN|1AART|1CDMG|1ZMB	1MGNLIT|248VULN|3LIT|5LSRICY|6AART|7RCR|9ZMB|aCDMG
52	11524 12633	   	165.46	DCR|4VULN|1AART|1DUR	1CGEN|2LIT|3789VULN|4AART|5DUR|6RCR|aBEXP
53	42324 12633	   	165.46	DCR|4VULN|1AART|1DUR	1LIT|2789VULN|3CGEN|4AART|5DUR|6RCR|aBEXP
54	11524 12632	   	165.36	DCR|4VULN|1AART|1DUR	1CGEN|2LIT|3789VULN|4AART|5DUR|6RCR|aERES
55	42324 12632	   	165.36	DCR|4VULN|1AART|1DUR	1LIT|2789VULN|3CGEN|4AART|5DUR|6RCR|aERES
56	33112 11214	   	165.09	DCR|2AART|2VULN|1ZMB|1DUR|1ASPD	1MGNLIT|29VULN|3DUR|4aAART|5ASPD|6RCR|7ZMB|8RPLT
57	33112 14551	   	165.08	DCR|1AART|1VULN|1DMG|2CDMG|1ASPD|1DUR	1MGNLIT|2VULN|3DUR|4AART|5ASPD|6RCR|79CDMG|8CGEN|aDMG
58	33112 14623	   	165.08	DCR|1AART|1VULN|1DMG|2CDMG|1DUR|1ASPD	1MGNLIT|2VULN|3DUR|4AART|5ASPD|6RCR|7aCDMG|8FEWX|9DMG
59	25126 12335	   	164.61	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1MLV|2CDMG|3DMG|4BEXP|5aVULN|6BELT|7RCR|8AART|9DUR
60	33111 63334	 * 	164.28	DCR|3AART|2VULN|1DMG|1DUR	1MGNLIT|27VULN|3DUR|45aAART|6DMG|8LHND|9RCR
61	52316 22314	 * 	164.19	DCR|3DMG|3ZMB|1CDMG|1DUR	19ERES|2DUR|359ZMB|4FEWX|6CDMG|7RCR|89aDMG|9BPWR
62	33111 63534	   	164.18	DCR|3AART|2VULN|1DMG|1DUR	1MGNLIT|27VULN|3DUR|45aAART|6DMG|8LEGI|9RCR
63	52326 22314	   	164.09	DCR|3DMG|3ZMB|1CDMG|1DUR	19ERES|2DUR|359ZMB|4DUST|6CDMG|7RCR|89aDMG|9BPWR
64	33112 14325	   	164.06	DCR|1AART|1VULN|1DMG|1CDMG|2DUR|1ASPD	1MGNLIT|2VULN|38DUR|4AART|5ASPD|6RCR|7CDMG|9DMG|aBEXP
65	33112 14351	   	164.06	DCR|1AART|1VULN|1DMG|1CDMG|2DUR|1ASPD	1MGNLIT|2VULN|38DUR|4AART|5ASPD|6RCR|7CDMG|9CGEN|aDMG
66	33112 14361	   	164.06	DCR|1AART|1VULN|1DMG|1CDMG|2DUR|1ASPD	1MGNLIT|2VULN|38DUR|4AART|5ASPD|6RCR|7CDMG|9RMIN|aDMG
67	33112 14322	   	163.96	DCR|1AART|1VULN|1DMG|1CDMG|2DUR|1ASPD	1MGNLIT|2VULN|38DUR|4AART|5ASPD|6RCR|7CDMG|9DMG|aDUST
68	33112 14323	   	163.96	DCR|1AART|1VULN|1DMG|1CDMG|2DUR|1ASPD	1MGNLIT|2VULN|38DUR|4AART|5ASPD|6RCR|7CDMG|9DMG|aNUKE
69	63342 21823	   	163.89	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1BEXP|2ZMB|3RCVC|4MBVNT|5RCR|69VULN|7AART|8DMG|aDUR
70	22331 26453	   	163.67	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1MLV|2DUR|3DLOT|4BELT|58DMG|6RCR|7ZMB|9AART|aVULN
71	33663 31325	   	163.61	DCR|2VULN|2AART|1DMG|1ASPD	1MGNLIT|24VULN|3LIT|5LSRICY|68AART|7RCR|9ASPD|aDMG
72	11524 12621	 * 	163.59	DCR|3VULN|1AART|2DUR|1ASPD	1CGEN|2LIT|378VULN|4AART|59DUR|6RCR|aASPD
73	42324 12621	   	163.59	DCR|3VULN|1AART|2DUR|1ASPD	1LIT|278VULN|3CGEN|4AART|59DUR|6RCR|aASPD
74	21524 11132	   	163.27	DCR|2AART|1VULN|1DMG|1CDMG|1DUR	1MLV|2LIT|3VULN|48AART|5DUR|6RCR|7DMG|9CDMG|aRPLT
75	21524 11133	   	163.27	DCR|2AART|1VULN|1DMG|1CDMG|1DUR	1MLV|2LIT|3VULN|48AART|5DUR|6RCR|7DMG|9CDMG|aLWND
76	21524 11136	   	163.27	DCR|2AART|1VULN|1DMG|1CDMG|1DUR	1MLV|2LIT|3VULN|48AART|5DUR|6RCR|7DMG|9CDMG|aLHND
77	63314 22312	   	163.25	DCR|2DMG|1AART|1CDMG|2DUR|1ZMB	19BEXP|2ZMB|3RCVC|49DUR|5CGEN|6CDMG|7RCR|89DMG|9BPWR|aAART
78	51524 11132	   	163.17	DCR|2AART|1VULN|1DMG|1CDMG|1DUR	1ERES|2LIT|3VULN|48AART|5DUR|6RCR|7DMG|9CDMG|aRPLT
79	51524 11133	   	163.17	DCR|2AART|1VULN|1DMG|1CDMG|1DUR	1ERES|2LIT|3VULN|48AART|5DUR|6RCR|7DMG|9CDMG|aLWND
80	21524 11131	   	163.17	DCR|2AART|1VULN|1DMG|1CDMG|1DUR	1MLV|2LIT|3VULN|48AART|5DUR|6RCR|7DMG|9CDMG|aDLOT
81	21524 11134	   	163.17	DCR|2AART|1VULN|1DMG|1CDMG|1DUR	1MLV|2LIT|3VULN|48AART|5DUR|6RCR|7DMG|9CDMG|aDUST
82	51524 11131	   	163.07	DCR|2AART|1VULN|1DMG|1CDMG|1DUR	1ERES|2LIT|3VULN|48AART|5DUR|6RCR|7DMG|9CDMG|aDLOT
83	15133 21332	 * 	162.87	DCR|3VULN|2CDMG|1DMG|2DUR	1CGEN|28CDMG|3DMG|4FEWX|58DUR|6LWND|78aVULN|8BPWR|9RCR
84	15253 21332	   	162.87	DCR|3VULN|2CDMG|1DMG|2DUR	1CGEN|28CDMG|3FEWX|4DMG|58DUR|6LWND|78aVULN|8BPWR|9RCR
85	11524 11611	   	162.83	DCR|1AART|1DMG|1VULN|1CDMG|1ZMB|1DUR	1CGEN|2LIT|3VULN|4AART|5DUR|6RCR|7DMG|8CDMG|9LHND|aZMB
86	21524 11235	   	162.83	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1MLV|28LIT|3VULN|4AART|5DUR|6RCR|7DMG|9CDMG|aZMB
87	21524 11611	   	162.83	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1MLV|2LIT|3VULN|4AART|5DUR|6RCR|7DMG|8CDMG|9LHND|aZMB
88	42324 11611	   	162.83	DCR|1AART|1DMG|1VULN|1CDMG|1ZMB|1DUR	1LIT|2VULN|3CGEN|4AART|5DUR|6RCR|7DMG|8CDMG|9LHND|aZMB
89	33212 13433	   	162.80	DCR|3VULN|1DMG|1CDMG|1DUR|1ASPD	1MGNLIT|28aVULN|3LWND|4DUR|5DMG|6ASPD|7RCR|9CDMG
90	33214 53433	   	162.80	DCR|3VULN|1DMG|1CDMG|1DUR|1ASPD	1MGNLIT|28aVULN|3LWND|4DUR|5ASPD|6DMG|7RCR|9CDMG
91	13353 15335	 * 	162.63	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1CGEN|2RPLT|39VULN|4MGNSTR|5RCR|6DUR|7CDMG|8AART|aDMG
92	31433 15335	   	162.63	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1MGNLIT|2RPLT|3CGEN|49VULN|5RCR|6DUR|7CDMG|8AART|aDMG
93	33212 13124	 * 	162.60	DCR|2VULN|1AART|1DMG|2DUR|1ASPD	1MGNLIT|2aVULN|3LWND|48DUR|5DMG|6ASPD|7RCR|9AART
94	33214 53124	   	162.60	DCR|2VULN|1AART|1DMG|2DUR|1ASPD	1MGNLIT|2aVULN|3LWND|48DUR|5ASPD|6DMG|7RCR|9AART
95	11525 11613	   	162.48	DCR|2DMG|1AART|1VULN|1CDMG	1CGEN|2LIT|3VULN|4AART|5FEWX|6RCR|7aDMG|8CDMG|9LHND
96	21525 11532	   	162.48	DCR|2VULN|1AART|1DMG|1CDMG	1MLV|2LIT|38VULN|4AART|5FEWX|6RCR|7DMG|9CDMG|aRPLT
97	21525 11533	   	162.48	DCR|2VULN|1AART|1DMG|1CDMG	1MLV|2LIT|38VULN|4AART|5FEWX|6RCR|7DMG|9CDMG|aLWND
98	21525 11613	   	162.48	DCR|2DMG|1AART|1VULN|1CDMG	1MLV|2LIT|3VULN|4AART|5FEWX|6RCR|7aDMG|8CDMG|9LHND
99	42325 11613	   	162.48	DCR|2DMG|1AART|1VULN|1CDMG	1LIT|2VULN|3CGEN|4AART|5FEWX|6RCR|7aDMG|8CDMG|9LHND
100	21525 11531	   	162.38	DCR|2VULN|1AART|1DMG|1CDMG	1MLV|2LIT|38VULN|4AART|5FEWX|6RCR|7DMG|9CDMG|aDLOT
101	33122 43335	   	161.97	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1MGNLIT|2aVULN|3DUR|4BEXP|5DMG|6ZMB|7RCR|8AART|9BELT
102	33212 43235	   	161.97	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1MGNLIT|2aVULN|3LWND|4DUR|5DMG|6ZMB|7RCR|8AART|9BELT
103	33112 14334	 * 	161.58	DCR|2VULN|1AART|1CDMG|2DUR|1ASPD	1MGNLIT|2aVULN|38DUR|4AART|5ASPD|6RCR|7CDMG|9BELT
104	33112 14534	   	161.58	DCR|2VULN|1AART|1CDMG|2DUR|1ASPD	1MGNLIT|29VULN|3aDUR|4AART|5ASPD|6RCR|7CDMG|8CGEN
105	23111 45114	 * 	161.56	DCR|3VULN|3ZMB|2CDMG	157MLV|2RPLT|3DMSP|47aVULN|67aZMB|7aBPWR|8RCR|9aCDMG
106	33663 31121	   	161.41	DCR|3VULN|1AART|1CDMG|1ASPD	1MGNLIT|248VULN|3LIT|5LSRICY|6AART|7RCR|9ASPD|aCDMG
107	52335 22312	 * 	161.31	DCR|2DMG|1AART|2ZMB|1CDMG|1DUR	19ERES|2DUR|39ZMB|4RCVC|5FEWX|6CDMG|7RCR|89DMG|9BPWR|aAART
108	33322 64512	   	161.28	DCR|3VULN|1AART|1DMG	1MGNLIT|24aVULN|346ERES|4BPWR|5AART|7RCR|8DMG|9LWND
109	33663 31311	 * 	161.26	DCR|2VULN|2AART|1CDMG|1ZMB	1MGNLIT|24VULN|3LIT|5LSRICY|68AART|7RCR|9ZMB|aCDMG
110	33212 16563	 * 	161.24	DCR|2VULN|2DMG|2ZMB|1DUR|1ASPD	1MGNLIT|2aVULN|3LWND|4DUR|5aDMG|6ASPD|7LEGI|8aZMB|9RCR|aBPWR
111	33322 64522	   	161.18	DCR|3VULN|1AART|1DMG	1MGNLIT|24aVULN|346ERES|4BPWR|5AART|7RCR|8DMG|9DUST
112	13233 11263	   	161.11	DCR|2VULN|2DMG|1AART	1aCGEN|2RPLT|3DUST|4aDMG|5AART|6DMSP|7BELT|8RCR|9aVULN|aBPWR
113	13112 63154	   	161.03	ACR|2VULN|2DMG|1AART	18CGEN|2RPLT|3DMSP|48VULN|5RCR|6AART|78MLV|8BPWR|9aDMG
114	52315 22312	   	161.01	DCR|2DMG|1AART|2ZMB|1CDMG|1DUR	19ERES|2DUR|39ZMB|4FEWX|5RCVC|6CDMG|7RCR|89DMG|9BPWR|aAART
115	52325 22312	   	160.91	DCR|2DMG|1AART|2ZMB|1CDMG|1DUR	19ERES|2DUR|39ZMB|4DUST|5RCVC|6CDMG|7RCR|89DMG|9BPWR|aAART
116	33112 15324	   	160.84	DCR|3AART|1VULN|1DMG|1DUR|1ASPD	1MGNLIT|2VULN|3DUR|48aAART|5ASPD|6RCR|7RPLT|9DMG
117	13112 63354	   	160.83	ACR|2VULN|2DMG|1AART	1CGEN|2RPLT|3DMSP|48VULN|5RCR|6AART|7MLV|9aDMG
118	23112 63154	   	160.83	ACR|2VULN|2DMG|1AART	18MLV|2RPLT|3DMSP|48VULN|5RCR|6AART|78TLV|8BPWR|9aDMG
119	13152 11535	 * 	160.80	ACR|3DMG|1AART|1VULN	1CGEN|2RPLT|3DMSP|48aDMG|5RCR|6RCVC|7AART|9VULN
120	23152 11535	   	160.80	ACR|3DMG|1AART|1VULN	1MLV|2RPLT|3DMSP|48aDMG|5RCR|6RCVC|7AART|9VULN
121	13112 61421	   	160.73	ACR|2VULN|2DMG|1AART	1CGEN|2RPLT|3DMSP|47VULN|5RCR|6AART|8AIRHEA|9aDMG
122	13512 61421	   	160.73	ACR|2VULN|2DMG|1AART	1CGEN|23RPLT|47VULN|5RCR|6AART|8AIRHEA|9aDMG
123	23112 61421	   	160.73	ACR|2VULN|2DMG|1AART	1MLV|2RPLT|3DMSP|47VULN|5RCR|6AART|8AIRHEA|9aDMG
124	23112 63354	   	160.73	ACR|2VULN|2DMG|1AART	1MLV|2RPLT|3DMSP|48VULN|5RCR|6AART|7TLV|9aDMG
125	23512 61421	   	160.73	ACR|2VULN|2DMG|1AART	1MLV|23RPLT|47VULN|5RCR|6AART|8AIRHEA|9aDMG
126	53112 61421	   	160.63	ACR|2VULN|2DMG|1AART	1ERES|2RPLT|3DMSP|47VULN|5RCR|6AART|8AIRHEA|9aDMG
127	13333 51234	   	160.52	DCR|2VULN|2DMG|1AART	1CGEN|2RPLT|37VULN|4aDMG|5AART|6MLV|8RCVC|9RCR
128	11525 11116	   	160.47	DCR|2AART|2VULN|1DMG	1aCGEN|2LIT|3aVULN|48AART|5FEWX|6RCR|7DMG|9aLHND|aBPWR
129	13333 42234	   	160.42	DCR|2VULN|2DMG|1AART	1CGEN|2RPLT|36VULN|4aDMG|5AART|7ERES|8RCVC|9RCR
130	23333 42234	   	160.42	DCR|2VULN|2DMG|1AART	1MLV|2RPLT|36VULN|4aDMG|5AART|7ERES|8RCVC|9RCR
131	23333 61234	   	160.42	DCR|2VULN|2DMG|1AART	1MLV|2RPLT|37VULN|4aDMG|5AART|6TLV|8RCVC|9RCR
132	53333 43234	   	160.42	DCR|2VULN|2DMG|1AART	1ERES|2RPLT|36VULN|4aDMG|5AART|7MLV|8RCVC|9RCR
133	53333 51234	   	160.42	DCR|2VULN|2DMG|1AART	1ERES|2RPLT|37VULN|4aDMG|5AART|6MLV|8RCVC|9RCR
134	33231 41161	   	160.41	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1MGNLIT|25VULN|34LWND|6DUR|7AART|8CDMG|9RCR|aDMG
135	11525 11521	   	160.27	DCR|2AART|2VULN|1DMG	19CGEN|2LIT|38VULN|4aAART|5FEWX|6RCR|7DMG
136	42325 11521	   	160.27	DCR|2AART|2VULN|1DMG	1LIT|28VULN|39CGEN|4aAART|5FEWX|6RCR|7DMG
137	11524 12135	   	160.25	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR	1CGEN|2LIT|37VULN|4AART|5DUR|6RCR|8CDMG|9ERES|aZMB
138	21524 12135	   	160.25	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR	1MLV|2LIT|37VULN|4AART|5DUR|6RCR|8CDMG|9ERES|aZMB
139	42324 12135	   	160.25	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR	1LIT|27VULN|3CGEN|4AART|5DUR|6RCR|8CDMG|9ERES|aZMB
140	11553 35412	 * 	160.25	ACR|3VULN|1DMG|1CDMG|1ZMB	1CGEN|2LIT|367VULN|4RCR|5MBVNT|8DMG|9ZMB|aCDMG
141	42353 35412	   	160.25	ACR|3VULN|1DMG|1CDMG|1ZMB	1LIT|267VULN|3CGEN|4RCR|5MBVNT|8DMG|9ZMB|aCDMG
142	13152 61121	   	160.23	ACR|2VULN|2DMG|1AART	1CGEN|2RPLT|3DMSP|46DMG|5RCR|7AART|8LWND|9aVULN
143	13152 61321	   	160.23	ACR|2VULN|2DMG|1AART	1CGEN|2RPLT|3DMSP|46DMG|5RCR|7AART|8LHND|9aVULN
144	13552 61121	   	160.23	ACR|2VULN|2DMG|1AART	1CGEN|23RPLT|46DMG|5RCR|7AART|8LWND|9aVULN
145	13552 61321	   	160.23	ACR|2VULN|2DMG|1AART	1CGEN|23RPLT|46DMG|5RCR|7AART|8LHND|9aVULN
146	45511 31113	 * 	160.22	ACR|1AART|1VULN|1DMG|2CDMG|1ZMB	19LIT|24CDMG|3RCR|5VULN|6RMIN|7DMG|8AART|aZMB
147	62216 41322	   	160.17	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1BEXP|2LWND|3CGEN|4DMG|5ZMB|6DUR|7AART|8RCR|9aVULN
148	63411 41322	   	160.17	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1BEXP|2ZMB|3LWND|4DMG|5CGEN|6DUR|7AART|8RCR|9aVULN
149	63415 31322	   	160.17	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1BEXP|2ZMB|3LWND|4DMG|5DUR|6RMIN|7AART|8RCR|9aVULN
150	33112 11134	 * 	160.15	DCR|2VULN|1AART|2ASPD|1ZMB|1DUR	1MGNLIT|2aVULN|3DUR|4AART|58ASPD|6RCR|7ZMB|9DUST
151	51524 12133	   	160.15	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR	19ERES|2LIT|37VULN|4AART|5DUR|6RCR|8CDMG|aZMB
152	13152 61221	   	160.13	ACR|2VULN|2DMG|1AART	1CGEN|2RPLT|3DMSP|46DMG|5RCR|7AART|8DUST|9aVULN
153	13552 61221	   	160.13	ACR|2VULN|2DMG|1AART	1CGEN|23RPLT|46DMG|5RCR|7AART|8DUST|9aVULN
154	45243 31113	   	160.07	DCR|2AART|1VULN|1DMG|1CDMG|1DUR	1LIT|2CDMG|3DUST|4VULN|5DUR|6RCR|7DMG|8LEGI|9aAART
155	33112 14221	   	160.07	DCR|1AART|1VULN|1DMG|1CDMG|1DUR|1ASPD	1MGNLIT|2VULN|3DUR|4AART|5ASPD|6RCR|7CDMG|8LHND|9DMG|aRCVC
156	33112 14621	   	160.07	DCR|1AART|1VULN|1DMG|1CDMG|1DUR|1ASPD	1MGNLIT|2VULN|3DUR|4AART|5ASPD|6RCR|7CDMG|8FEWX|9DMG|aRCVC
157	33111 63332	   	160.01	DCR|2AART|2VULN|1DMG|1DUR	1MGNLIT|27VULN|3DUR|45AART|6DMG|8LHND|9RCR|aRPLT
158	33111 63333	   	160.01	DCR|2AART|2VULN|1DMG|1DUR	1MGNLIT|27VULN|3DUR|45AART|6DMG|8LHND|9RCR|aFEWX
159	45513 22222	 * 	159.99	ACR|2VULN|2DMG|2CDMG	156LIT|24CDMG|3RCR|79DMG|8aVULN
160	33111 63331	   	159.91	DCR|2AART|2VULN|1DMG|1DUR	1MGNLIT|27VULN|3DUR|45AART|6DMG|8LHND|9RCR|aDUST
161	33111 63336	   	159.91	DCR|2AART|2VULN|1DMG|1DUR	1MGNLIT|27VULN|3DUR|45AART|6DMG|8LHND|9RCR|aERES
162	33111 63532	   	159.91	DCR|2AART|2VULN|1DMG|1DUR	1MGNLIT|27VULN|3DUR|45AART|6DMG|8LEGI|9RCR|aRPLT
163	33111 63533	   	159.91	DCR|2AART|2VULN|1DMG|1DUR	1MGNLIT|27VULN|3DUR|45AART|6DMG|8LEGI|9RCR|aFEWX
164	33111 63632	   	159.91	DCR|2AART|2VULN|1DMG|1DUR	1MGNLIT|27VULN|3DUR|45AART|6DMG|8DUST|9RCR|aRPLT
