0	Index      	 *	Score 	Summary	Detail	
1	13422 53334	 * 	204.79	ACR|4VULN|2DMG|1AART|1ZMB	1AART|237aVULN|47LIT|5RCR|67DMG|7BPWR|8RMIN|9ZMB
108	11233 53365	   	182.00	DCR|2AART|2VULN|2DMG|1DUR	15AART|27LIT|3FEWX|47VULN|67DMG|7BPWR|8RCR|9BEXP|aDUR
109	13321 53355	   	181.97	DCR|3VULN|2DMG|1AART	1AART|27aVULN|3DUST|47LIT|5RCVC|67DMG|7BPWR|8RCR|9RMIN
110	13321 53363	   	181.97	DCR|3VULN|2DMG|1AART	1AART|27aVULN|3DUST|47LIT|5RCVC|67DMG|7BPWR|8RCR|9BEXP
111	13323 53326	   	181.90	DCR|2AART|2DMG|2VULN|1DUR	15AART|27VULN|3DUST|47LIT|67DMG|7BPWR|8RCR|9LHND|aDUR
112	13323 53353	   	181.90	DCR|2AART|2VULN|2DMG|1DUR	15AART|27VULN|3DUST|47LIT|67DMG|7BPWR|8RCR|9RMIN|aDUR
113	13323 53365	   	181.90	DCR|2AART|2VULN|2DMG|1DUR	15AART|27VULN|3DUST|47LIT|67DMG|7BPWR|8RCR|9BEXP|aDUR
114	13422 52331	   	181.77	ACR|2VULN|2DMG|1AART|1ZMB|1ASPD	1AART|23VULN|4aLIT|5RCR|68DMG|7ASPD|9ZMB
115	13422 52332	   	181.77	ACR|2VULN|2DMG|1AART|1ZMB|1ASPD	1AART|23VULN|4LIT|5RCR|68DMG|7ASPD|9ZMB|aRPLT
116	13422 52343	   	181.77	ACR|2VULN|2DMG|1AART|1ZMB|1ASPD	1AART|23VULN|4LIT|5RCR|68DMG|7ASPD|9RPLT|aZMB
117	13435 21263	   	181.77	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1AART|23VULN|4FEWX|5RCR|6ZMB|7LWND|8aDMG|9DUR
118	13435 23213	   	181.77	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1AART|23VULN|4FEWX|5RCR|6ZMB|7DUR|8aDMG|9LWND
119	13415 22263	   	181.67	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1AART|23VULN|4LHND|5RCR|6ZMB|7DUST|8aDMG|9DUR
120	13435 22263	   	181.67	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1AART|23VULN|4FEWX|5RCR|6ZMB|7DUST|8aDMG|9DUR
121	12461 28233	   	181.50	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1AART|2DUR|37VULN|4CDMG|5RPLT|6MBVNT|8aDMG|9RCR
122	51231 53363	   	181.47	DCR|3VULN|2DMG|1AART	17LIT|2AART|3FEWX|47aVULN|5RCVC|67DMG|7BPWR|8RCR|9BEXP
123	51233 53353	   	181.40	DCR|2AART|2VULN|2DMG|1DUR	17LIT|25AART|3FEWX|47VULN|67DMG|7BPWR|8RCR|9RMIN|aDUR
124	13217 32862	   	181.11	DCR|3DMG|2VULN|1AART|1DUR	1AART|26VULN|3LHND|4MBVNT|5DUR|789DMG|aRCR
125	22141 44323	   	181.07	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1TLV|25DMG|3RCR|4DUR|68VULN|7FEWX|9ZMB|aAART
126	32263 55213	   	181.04	ACR|4VULN|1AART|2CDMG|1DUR	1LHND|256aVULN|36CDMG|4RCR|6BPWR|7NUKE|8AART|9DUR
127	32263 16161	 * 	181.04	ACR|4VULN|2DMG|1CDMG	1LHND|2568VULN|3CDMG|4RCR|7BELT|9aDMG
128	13422 53235	   	180.99	ACR|3VULN|2DMG|1AART	1AART|237VULN|47LIT|5RCR|67DMG|7BPWR|8CGEN|9BEXP|aRCVC
129	13422 53316	   	180.99	ACR|3VULN|2DMG|1AART	1AART|237VULN|47LIT|5RCR|67DMG|7BPWR|8RMIN|9CGEN|aRCVC
130	13311 27212	 * 	180.98	DCR|2VULN|2DMG|1AART|2CDMG	1AART|2aVULN|3DUST|4MBVNT|5aCDMG|6BEXP|7LIT|8aDMG|9RCR|aBPWR
131	13364 27212	   	180.98	DCR|2VULN|2DMG|1AART|2CDMG	1AART|2aVULN|3DUST|4aCDMG|5MBVNT|6BEXP|7LIT|8aDMG|9RCR|aBPWR
132	22141 42323	   	180.97	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1TLV|25DMG|3RCR|4DUR|68VULN|7DUST|9ZMB|aAART
133	22141 56323	   	180.97	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1TLV|25DMG|3RCR|4DUR|6DUST|78VULN|9ZMB|aAART
134	22324 31563	   	180.90	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	13TLV|23DMG|3BPWR|4CDMG|5DUR|68VULN|7RCR|9RPLT|aAART
135	22325 53623	   	180.90	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	13TLV|23DMG|3BPWR|4CDMG|58VULN|6RPLT|7RCR|9DUR|aAART
136	13422 53226	   	180.89	ACR|3VULN|2DMG|1AART	1AART|237VULN|47LIT|5RCR|67DMG|7BPWR|8CGEN|9ERES|aRCVC
137	13422 53326	   	180.89	ACR|3VULN|2DMG|1AART	1AART|237VULN|47LIT|5RCR|67DMG|7BPWR|8RMIN|9TLV|aRCVC
138	13415 32523	   	180.59	ACR|4VULN|1AART|1CDMG|1ZMB	1AART|236aVULN|4LHND|5RCR|7ZMB|8CDMG|9LWND
139	12423 53343	   	180.51	DCR|2AART|2VULN|1DMG|2DUR|1ZMB	15AART|2aDUR|37VULN|4LIT|6DMG|8RCR|9ZMB
140	13261 13421	   	180.28	DCR|2VULN|2DMG|1AART|2DUR|1ASPD	1AART|28VULN|3LHND|48DMG|5ERES|6BEXP|78DUR|8BPWR|9RCR|aASPD
141	22131 22425	   	179.99	ACR|3VULN|2DMG|1AART	1TLV|25DMG|3RCR|4BEXP|6LIT|79aVULN|8AART
142	32117 32862	   	179.91	DCR|3DMG|2VULN|1AART|1DUR	1LHND|26VULN|3AART|4MBVNT|5DUR|789DMG|aRCR
143	33321 63354	   	179.89	DCR|2VULN|2DMG|1AART|1ZMB|1DUR|1ASPD	1LHND|2DUR|34VULN|59DMG|6ASPD|7AART|8ZMB|aRCR
144	12423 53363	   	179.87	DCR|3VULN|2AART|1DMG|1DUR	15AART|2DUR|37aVULN|4LIT|6DMG|8RCR|9BEXP
145	13422 51143	   	179.84	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	1AART|23aVULN|4LIT|5RCR|6DMG|7DUR|8CGEN|9ZMB
146	13422 51243	   	179.84	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	1AART|23aVULN|4LIT|5RCR|6DMG|7DUR|8MLV|9ZMB
147	13435 23222	   	179.84	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	1AART|23aVULN|4FEWX|5RCR|6ZMB|7DUR|8DMG|9RMIN
148	13435 23242	   	179.84	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	1AART|23aVULN|4FEWX|5RCR|6ZMB|7DUR|8DMG|9CGEN
149	32263 52234	 * 	179.84	ACR|4VULN|3CDMG|1AART	1aLHND|256aVULN|368CDMG|4RCR|6aBPWR|7aFEWX|9AART
150	13435 24311	   	179.77	ACR|5VULN|1AART|1ZMB	1AART|2379aVULN|48FEWX|5RCR|6ZMB
151	13435 32311	   	179.77	ACR|5VULN|1AART|1ZMB	1AART|2369aVULN|48FEWX|5RCR|7ZMB
152	13622 53231	 * 	179.75	ACR|3AART|2DMG|2VULN	13aAART|27VULN|47LIT|5RCR|67DMG|7BPWR|8CGEN|9BEXP
153	13622 53261	   	179.75	ACR|3AART|2DMG|2VULN	13aAART|27VULN|47LIT|5RCR|67DMG|7BPWR|8CGEN|9FEWX
154	13622 53531	   	179.75	ACR|3AART|2DMG|2VULN	13aAART|27VULN|47LIT|5RCR|67DMG|7BPWR|8FEWX|9CGEN
155	13422 22642	   	179.74	ACR|3VULN|1AART|1DMG|1ZMB|1ASPD	1AART|239VULN|4LIT|5RCR|6BASICY|7DMG|8ZMB|aASPD
156	13422 22643	   	179.74	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	1AART|239VULN|4LIT|5RCR|6BASICY|7DMG|8ZMB|aDUR
157	13422 31443	   	179.74	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	1AART|23aVULN|4LIT|5RCR|6TLV|7DUR|8DMG|9ZMB
158	13422 51343	   	179.74	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	1AART|23aVULN|4LIT|5RCR|6DMG|7DUR|8ERES|9ZMB
159	13422 52143	   	179.74	ACR|3VULN|1AART|1DMG|1ZMB|1ASPD	1AART|23aVULN|4LIT|5RCR|6DMG|7ASPD|8DUST|9ZMB
160	13422 53213	   	179.69	ACR|3VULN|2DMG|1AART	1AART|237VULN|47LIT|5RCR|67DMG|7BPWR|89CGEN|aFEWX
161	13422 53215	   	179.69	ACR|3VULN|2DMG|1AART	1AART|237VULN|47LIT|5RCR|67DMG|7BPWR|89CGEN|aBEXP
162	13422 53234	   	179.69	ACR|3VULN|2DMG|1AART	1AART|237VULN|47LIT|5RCR|67DMG|7BPWR|8aCGEN|9BEXP
163	13422 53241	   	179.69	ACR|3VULN|2DMG|1AART	1AART|237VULN|47LIT|5RCR|67DMG|7BPWR|8CGEN|9RPLT|aLHND
164	13422 53242	   	179.69	ACR|3VULN|2DMG|1AART	1AART|237VULN|47LIT|5RCR|67DMG|7BPWR|8aCGEN|9RPLT
165	13422 53311	   	179.69	ACR|3VULN|2DMG|1AART	1AART|237VULN|47aLIT|5RCR|67DMG|7BPWR|8RMIN|9CGEN
166	13422 53313	   	179.69	ACR|3VULN|2DMG|1AART	1AART|237VULN|47LIT|5RCR|67DMG|7BPWR|8RMIN|9CGEN|aDMSP
167	13422 53341	   	179.69	ACR|3VULN|2DMG|1AART	1AART|237VULN|47LIT|5RCR|67DMG|7BPWR|8RMIN|9RPLT|aLHND
168	13422 53342	   	179.69	ACR|3VULN|2DMG|1AART	1AART|237VULN|47LIT|5RCR|67DMG|7BPWR|8RMIN|9RPLT|aCGEN
169	13422 53361	   	179.69	ACR|3VULN|2DMG|1AART	1AART|237VULN|47LIT|5RCR|67DMG|7BPWR|8RMIN|9FEWX|aDMSP
170	13422 53521	   	179.69	ACR|3VULN|2DMG|1AART	1AART|237VULN|47LIT|5RCR|67DMG|7BPWR|8FEWX|9LHND|aLWND
