0	Index      	 *	Score 	Summary	Detail	
1	54311 13224	 * 	188.58	ACR|3VULN|1AART|1DMG|1CDMG|1ASPD|1DUR|1SELL	1CDMG|2ASPD|3RCR|478VULN|5SELL|6DMG|9DUR|aAART
71	42332 33331	   	176.70	ACR|2AART|1DMG|2CDMG|1VULN|2DUR	18LWND|26AART|3RCR|4FEWX|58CDMG|78DUR|8BPWR|9VULN|aDMG
72	51312 13116	   	176.65	ACR|3VULN|1AART|1DMG|1CDMG	1CDMG|2TLV|3RCR|46aVULN|5BEXP|7AART|8DMG|9RPLT
73	51312 13662	   	176.65	ACR|3VULN|1AART|1DMG|1CDMG	1CDMG|2TLV|3RCR|468VULN|5BEXP|7AART|9DMG|aDMSP
74	51312 13663	   	176.65	ACR|3VULN|1AART|1DMG|1CDMG	1CDMG|2TLV|3RCR|468VULN|5BEXP|7AART|9DMG|aLIT
75	51316 23116	   	176.65	ACR|3VULN|1AART|1DMG|1CDMG	1CDMG|2TLV|3RCR|45aVULN|6LWND|7AART|8DMG|9RPLT
76	51314 13136	   	176.48	ACR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	1CDMG|2TLV|3RCR|46VULN|5DUR|7AART|8DMG|9RCVC|aASPD
77	62323 32614	   	176.46	DCR|3VULN|1AART|1DMG|1DUR|1ASPD	1MLV|2DMG|34aVULN|5DUR|6RCR|7AART|8BASHEA|9ASPD
78	51611 33116	   	176.23	DCR|3VULN|1AART|1DMG|1CDMG	1CDMG|2TLV|34aVULN|5BEXP|6RCR|7AART|8DMG|9RPLT
79	51621 33116	   	176.23	DCR|3VULN|1AART|1DMG|1CDMG	1CDMG|24TLV|34aVULN|4BPWR|5BEXP|6RCR|7AART|8DMG|9RPLT
80	51316 51231	 * 	175.93	ACR|3VULN|2DMG|1CDMG|1DUR|1SELL	1CDMG|2TLV|3RCR|458VULN|69DMG|7SELL|aDUR
81	42332 31133	   	175.90	ACR|2AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1LWND|26AART|3RCR|4FEWX|5CDMG|7ZMB|8DMG|9VULN|aDUR
82	54315 13111	   	175.85	ACR|2VULN|1AART|2CDMG|2ZMB|2ASPD	1aCDMG|2aASPD|3RCR|46VULN|5LHND|7AART|8NUKE|9aZMB|aBPWR
83	15361 24112	 * 	175.85	ACR|2DMG|1AART|1VULN|2ASPD|1CDMG	17CGEN|2DLOT|3RCR|47DMG|5AART|67ASPD|7BPWR|8CDMG|9TLV|aVULN
84	42321 42131	   	175.54	ACR|2AART|2DMG|1VULN|1CDMG	1LWND|26AART|3RCR|4LHND|5VULN|7RMIN|8aDMG|9CDMG
85	42331 42131	   	175.54	ACR|2AART|2DMG|1VULN|1CDMG	1LWND|26AART|3RCR|4FEWX|5VULN|7RMIN|8aDMG|9CDMG
86	51313 53613	 * 	175.45	ACR|3DMG|2VULN|2CDMG	15CDMG|28TLV|3RCR|47VULN|69aDMG
87	42321 44131	   	175.44	ACR|2AART|2DMG|1VULN|1CDMG	1LWND|26AART|3RCR|4LHND|5VULN|7ERES|8aDMG|9CDMG
88	42331 44131	   	175.44	ACR|2AART|2DMG|1VULN|1CDMG	1LWND|26AART|3RCR|4FEWX|5VULN|7ERES|8aDMG|9CDMG
89	15361 12253	   	174.63	ACR|2VULN|1AART|1DMG|1CDMG|2DUR	19CGEN|2DLOT|3RCR|4DMG|5AART|69DUR|79VULN|8DMSP|9BPWR|aCDMG
90	62243 38111	   	174.56	DCR|2VULN|2DMG|1AART|1CDMG	1MLV|2aDMG|3BEXP|4CDMG|5MBVNT|68VULN|7RCR|9AART
91	62343 28111	   	174.56	DCR|2VULN|2DMG|1AART|1CDMG	1MLV|2aDMG|38VULN|4CDMG|5MBVNT|6BEXP|7RCR|9AART
92	33323 42431	   	174.45	DCR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	1TLV|2ASPD|34VULN|5DUR|6RCR|7AART|8LHND|9CDMG|aDMG
93	54312 23253	   	174.35	ACR|2VULN|1AART|1DMG|2CDMG|1ASPD	15CDMG|2ASPD|3RCR|48VULN|6LWND|7AART|9RPLT|aDMG
94	51312 13166	   	174.25	ACR|2VULN|1AART|1DMG|2CDMG|1ASPD	19CDMG|2TLV|3RCR|46VULN|5BEXP|7AART|8DMG|aASPD
95	51314 13162	   	174.25	ACR|2VULN|1AART|1DMG|2CDMG|1DUR	19CDMG|2TLV|3RCR|46VULN|5DUR|7AART|8DMG|aDMSP
96	51314 13163	   	174.25	ACR|2VULN|1AART|2CDMG|1DMG|1DUR	19CDMG|2TLV|3RCR|46VULN|5DUR|7AART|8DMG|aLIT
97	51316 23132	   	174.05	ACR|2VULN|2AART|1DMG|1CDMG	1CDMG|2TLV|3RCR|45VULN|6LWND|7aAART|8DMG|9RCVC
98	51346 13132	   	174.05	ACR|2VULN|2AART|1DMG|1CDMG	1CDMG|2TLV|3RCR|4LHND|56VULN|7aAART|8DMG|9RCVC
99	51356 13132	   	174.05	ACR|2VULN|2AART|1DMG|1CDMG	1CDMG|2TLV|3RCR|4LWND|56VULN|7aAART|8DMG|9RCVC
100	51313 23636	   	173.90	ACR|3VULN|1AART|2CDMG|1ZMB	15CDMG|2TLV|3RCR|489VULN|6LWND|7AART|aZMB
101	54311 11412	   	173.73	ACR|2VULN|2DMG|2CDMG|1DUR|1ASPD|1SELL	19CDMG|2ASPD|3RCR|49VULN|5SELL|69DMG|7MBVNT|8RMIN|9BPWR|aDUR
102	13543 35111	   	173.67	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1CGEN|2ASPD|3RCR|4CDMG|5MBVNT|6DUR|78VULN|9AART|aDMG
103	54323 35111	   	173.67	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1CDMG|2ASPD|3RCR|4CGEN|5MBVNT|6DUR|78VULN|9AART|aDMG
104	15361 52233	   	173.64	ACR|2AART|2VULN|1DMG|1CDMG	1CGEN|2DLOT|3RCR|4DMG|58AART|6LHND|79VULN|aCDMG
105	51416 33132	 * 	173.63	DCR|2VULN|2AART|1DMG|1CDMG	1CDMG|2TLV|3LHND|45VULN|6RCR|7aAART|8DMG|9RCVC
106	33543 35111	   	173.57	ACR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	1TLV|2ASPD|3RCR|4CDMG|5MBVNT|6DUR|78VULN|9AART|aDMG
107	42322 31351	   	173.39	ACR|3VULN|1AART|1CDMG|1ZMB	1aLWND|2AART|3RCR|4aLHND|5CDMG|6RCVC|7ZMB|89aVULN|aBPWR
108	13323 44511	   	173.35	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1CGEN|2ASPD|34VULN|5DUR|6RCR|7FEWX|8CDMG|9AART|aDMG
109	13323 46511	   	173.35	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1CGEN|2ASPD|34VULN|5DUR|6RCR|7BEXP|8CDMG|9AART|aDMG
110	54331 31121	 * 	173.30	ACR|2AART|3CDMG|3ASPD|3DUR|1ZMB	178CDMG|278ASPD|3RCR|4ZMB|5LHND|678DUR|78BPWR|9aAART
111	54311 13622	 * 	173.30	ACR|3VULN|1DMG|2ZMB|1CDMG|1ASPD|1SELL	1CDMG|2ASPD|3RCR|479VULN|5SELL|6DMG|8aZMB
112	13321 41511	   	173.25	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1CGEN|2ASPD|34VULN|5DUST|6RCR|7DUR|8CDMG|9AART|aDMG
113	13323 43511	   	173.25	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1CGEN|2ASPD|34VULN|5DUR|6RCR|7DUST|8CDMG|9AART|aDMG
114	33323 44511	   	173.25	DCR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	1TLV|2ASPD|34VULN|5DUR|6RCR|7FEWX|8CDMG|9AART|aDMG
115	33323 46511	   	173.25	DCR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	1TLV|2ASPD|34VULN|5DUR|6RCR|7BEXP|8CDMG|9AART|aDMG
116	51314 13123	   	173.23	ACR|2VULN|1AART|1DMG|1CDMG|2DUR	1CDMG|2TLV|3RCR|46VULN|5aDUR|7AART|8DMG|9FEWX
117	51314 13153	   	173.23	ACR|2VULN|1AART|1DMG|1CDMG|2DUR	1CDMG|2TLV|3RCR|46VULN|5aDUR|7AART|8DMG|9LWND
118	33321 41511	   	173.15	DCR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	1TLV|2ASPD|34VULN|5DUST|6RCR|7DUR|8CDMG|9AART|aDMG
119	33323 43511	   	173.15	DCR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	1TLV|2ASPD|34VULN|5DUR|6RCR|7DUST|8CDMG|9AART|aDMG
120	42331 12326	   	173.04	ACR|3VULN|1AART|1DMG|1DUR	18LWND|2AART|3RCR|4FEWX|59aVULN|6DUR|7DMG
121	62321 12563	 * 	172.97	DCR|3DMG|2VULN|1AART	1MLV|26aDMG|34VULN|5DUST|7AART|8FEWX|9RCR
122	62321 12663	   	172.97	DCR|3DMG|2VULN|1AART	1MLV|26aDMG|34VULN|5DUST|7AART|8LWND|9RCR
123	62325 12363	   	172.97	DCR|3DMG|2VULN|1AART	1MLV|26aDMG|34VULN|5LWND|7AART|8DUST|9RCR
124	62323 32433	   	172.91	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	1MLV|2DMG|34VULN|5aDUR|6RCR|7AART|8LHND|9CDMG
125	42321 42253	   	172.90	ACR|2AART|2VULN|1DMG|1ZMB	1LWND|26AART|3RCR|4LHND|58VULN|7RMIN|9ZMB|aDMG
126	42331 42253	   	172.90	ACR|2AART|2VULN|1DMG|1ZMB	1LWND|26AART|3RCR|4FEWX|58VULN|7RMIN|9ZMB|aDMG
127	42331 51253	   	172.90	ACR|2AART|2VULN|1DMG|1ZMB	1LWND|27AART|3RCR|4FEWX|58VULN|6CGEN|9ZMB|aDMG
128	51313 53413	   	172.87	ACR|2VULN|2DMG|3CDMG|1DUR	158CDMG|2TLV|3RCR|47VULN|6aDMG|9DUR
129	54353 13311	 * 	172.82	ACR|3CDMG|1VULN|3ASPD|1DMG|2ZMB|1DUR	149CDMG|249ASPD|3RCR|49BPWR|5RPLT|6DMG|7VULN|89ZMB|aDUR
130	54331 61221	   	172.70	ACR|2VULN|1AART|2CDMG|2ASPD|1ZMB	1aCDMG|2aASPD|3RCR|4ZMB|59LHND|6AART|7RMIN|8aVULN|aBPWR
131	54311 13213	 * 	172.54	ACR|4VULN|1DMG|1CDMG|1ASPD|1SELL	1CDMG|2ASPD|3RCR|478aVULN|5SELL|6DMG|9LHND
132	54311 13233	 * 	172.54	ACR|4VULN|1DMG|1CDMG|1ASPD|1SELL	1CDMG|2ASPD|3RCR|478aVULN|5SELL|6DMG|9FEWX
133	54311 13241	 * 	171.99	ACR|3VULN|1DMG|2ASPD|1CDMG|1DUR|1SELL	1CDMG|29ASPD|3RCR|478VULN|5SELL|6DMG|aDUR
134	33521 22743	   	171.87	ACR|2VULN|2DMG|1AART|1ASPD	18TLV|2ASPD|3RCR|48VULN|58MLV|6MBVNT|7AART|8BPWR|9aDMG
135	33551 32743	   	171.87	ACR|2VULN|2DMG|1AART|1ASPD	18TLV|2ASPD|3RCR|4MBVNT|58MLV|68VULN|7AART|8BPWR|9aDMG
136	25236 61311	 * 	171.86	DCR|1AART|1DMG|2ASPD|1CDMG|1FLTHEA|2DUR|1ZMB	18LHND|28ASPD|3DMG|4CDMG|58DUR|6AART|7RCR|8BPWR|9ZMB|aFLTHEA
137	42352 26131	   	171.73	ACR|2AART|1VULN|1DMG|1CDMG|1DUR|1ASPD	1LWND|28AART|3RCR|4ASPD|5ERES|6DUR|7VULN|9CDMG|aDMG
138	62323 34513	   	171.71	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	1MLV|2DMG|34VULN|5aDUR|6RCR|7FEWX|8CDMG|9AART
139	62323 36513	   	171.71	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	1MLV|2DMG|34VULN|5aDUR|6RCR|7BEXP|8CDMG|9AART
140	54312 51223	   	171.69	ACR|3VULN|1DMG|2CDMG|1ASPD|1DUR|1SELL	15CDMG|2ASPD|3RCR|48aVULN|6DMG|7SELL|9DUR
141	62321 31513	   	171.61	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	1MLV|2DMG|34VULN|5DUST|6RCR|7aDUR|8CDMG|9AART
142	62323 33513	   	171.61	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	1MLV|2DMG|34VULN|5aDUR|6RCR|7DUST|8CDMG|9AART
143	54311 13153	 * 	171.56	ACR|3VULN|1DMG|2CDMG|2ASPD|1SELL	19CDMG|29ASPD|3RCR|47aVULN|5SELL|6DMG|89BEXP|9BPWR
144	62323 32313	   	171.45	DCR|2VULN|2DMG|1AART|1DUR	1MLV|2aDMG|34VULN|5DUR|6RCR|7AART|8ERES|9CGEN
145	54311 13161	   	171.38	ACR|2VULN|2DMG|1CDMG|1ZMB|1ASPD|1SELL	1CDMG|2ASPD|3RCR|47VULN|5SELL|6aDMG|8BEXP|9ZMB
146	54311 13631	   	171.38	ACR|2VULN|2DMG|1CDMG|1ZMB|1ASPD|1SELL	1CDMG|2ASPD|3RCR|47VULN|5SELL|6aDMG|8ZMB|9FEWX
147	42332 33431	   	171.21	ACR|2AART|1VULN|1DMG|2CDMG|1DUR	1LWND|26AART|3RCR|4FEWX|58CDMG|7DUR|9VULN|aDMG
148	42322 22631	   	171.03	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1LWND|2AART|3RCR|4LHND|5CDMG|6ASPD|78VULN|9CGEN|aDMG
149	42332 22653	   	171.03	ACR|2DMG|1AART|1VULN|1CDMG|1ASPD	1LWND|2AART|3RCR|4FEWX|5CDMG|6ASPD|7VULN|8aDMG|9RPLT
150	13521 16613	   	170.97	ACR|2VULN|2DMG|1AART|1ASPD	1aCGEN|2ASPD|3RCR|4aVULN|5MLV|6BEXP|7aDMG|8RPLT|9AART|aBPWR
151	42332 62633	   	170.93	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1LWND|2AART|3RCR|4FEWX|5CDMG|6TLV|79VULN|8DMG|aDUR
152	42322 22641	   	170.93	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1LWND|2AART|3RCR|4LHND|5CDMG|6ASPD|78VULN|9ERES|aDMG
153	42332 22614	   	170.93	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1LWND|2AART|3RCR|4FEWX|5CDMG|6ASPD|7aVULN|8DMG|9TLV
154	42332 22624	   	170.93	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1LWND|2AART|3RCR|4FEWX|5CDMG|6ASPD|7aVULN|8DMG|9ERES
155	42352 36231	   	170.93	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1LWND|2AART|3RCR|4ASPD|5ERES|6LHND|78VULN|9CDMG|aDMG
156	42322 11351	   	170.89	ACR|3VULN|1AART|1CDMG|1ZMB	1aLWND|2AART|3RCR|46aLHND|5CDMG|7ZMB|89aVULN|aBPWR
157	13343 36111	   	170.85	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1CGEN|2ASPD|38VULN|4CDMG|5MBVNT|6DUR|7RCR|9AART|aDMG
158	13358 36111	   	170.85	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1CGEN|2ASPD|38VULN|4MBVNT|5CDMG|6DUR|7RCR|9AART|aDMG
159	51333 24111	   	170.80	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1CDMG|2TLV|3RCR|4ZMB|5FEWX|6BEXP|78VULN|9AART|aDMG
160	13526 63111	   	170.77	ACR|2VULN|2DMG|1AART|1ASPD	1CGEN|2ASPD|3RCR|48VULN|5RMIN|6aDMG|7RPLT|9AART
